DIRECTORATE,PAYMENT DATE, PAYMENT AMOUNT ,PAYEE,SUPPLIER NO,ACTIVITY
Resources Directorate,14/07/2023," 3,168.00 ",Hands On At Work Ltd,Invoice,Consultants Specific Project
Resources Directorate,17/07/2023," 13,233.50 ",BT Global Services,Invoice,WAN line charges
Resources Directorate,17/07/2023," 10,800.00 ",PENNA PLC,Invoice,Recruitment Costs
Resources Directorate,17/07/2023," 141,757.28 ",Marsh Ltd,Invoice,Premises Insurance
Resources Directorate,17/07/2023, 850.00 ,Specsavers Optical Superstores Ltd.,Invoice,Other Indirect Employee Exp
Resources Directorate,18/07/2023," 4,663.36 ",Gamma Business Communications Ltd,Invoice,Telephone Charges
Adult Social Services Directorate,18/07/2023," 3,425.60 ",Baltimore Consulting Ltd,Invoice,Recruitment Costs
Resources Directorate,18/07/2023," 4,354.96 ",CFH Docmail Ltd,Invoice,Materials
Resources Directorate,18/07/2023," 66,000.00 ",Specialist Computer Centres plc,Invoice,Software Maintenance
Adult Social Services Directorate,18/07/2023," 5,280.00 ",Number 10 Interim,Invoice,Consultants Fees
Adult Social Services Directorate,18/07/2023," 4,954.18 ",NonStop Consulting Ltd,Invoice,Agency Staff
Adult Social Services Directorate,18/07/2023," 1,209.60 ",Globe Locums Ltd,Invoice,Agency Staff
Housing & Regeneration Directorate,18/07/2023," 3,300.00 ",Marks Consulting Partners Limited,Invoice,Agency Staff
Adult Social Services Directorate,18/07/2023," 31,080.00 ",Tile Hill Interim & Executive Ltd,Invoice,Recruitment Costs
Adult Social Services Directorate,18/07/2023," 17,208.14 ",Flex360 Limited,Invoice,Agency Staff
Resources Directorate,19/07/2023," 1,230.73 ",CFH Docmail Ltd,Invoice,Materials
Adult Social Services Directorate,19/07/2023," 2,640.00 ",Number 10 Interim,Invoice,Consultants Fees
Resources Directorate,19/07/2023, 781.06 ,Upgrade Recruitment Tra Div of,Invoice,Agency Staff
Housing & Regeneration Directorate,19/07/2023," 6,600.00 ",Marks Consulting Partners Limited,Invoice,Agency Staff
Adult Social Services Directorate,19/07/2023," 16,113.53 ",Flex360 Limited,Invoice,Agency Staff
Environment & Community Services Directorate,19/07/2023," 3,966.30 ",Starfish Search Limited,Invoice,Agency Staff
Resources Directorate,20/07/2023, 525.00 ,Richmond Borough Mind,Invoice,Health Promotion Service
Resources Directorate,20/07/2023," 31,467.00 ",CIPFA Business Limited,Invoice,Subscriptions
Resources Directorate,20/07/2023," 28,672.37 ",PHOENIX SOFTWARE LTD,Invoice,Cloud Server Managment
Resources Directorate,20/07/2023," 8,944.25 ",EE LTD,Invoice,Mobile Phones
Adult Social Services Directorate,20/07/2023," 3,978.00 ",Traverse Procurement Ltd,Invoice,Consultants Fees
Resources Directorate,20/07/2023," 11,607.40 ",Upgrade Recruitment Tra Div of,Invoice,Agency Staff
Adult Social Services Directorate,20/07/2023," 1,361.66 ",NonStop Consulting Ltd,Invoice,Agency Staff
Resources Directorate,20/07/2023, 990.00 ,Jia Fit Ltd,Invoice,Consultants Specific Project
Adult Social Services Directorate,21/07/2023," 3,806.22 ",Baltimore Consulting Ltd,Invoice,Recruitment Costs
Adult Social Services Directorate,21/07/2023," 2,400.00 ",PANORAMIC ASSOCIATES LTD,Invoice,Agency Staff
Resources Directorate,21/07/2023," 7,992.21 ",Upgrade Recruitment Tra Div of,Invoice,Agency Staff
Environment & Community Services Directorate,21/07/2023," 2,694.51 ",NKU Limited,Invoice,Consultants Fees
Environment & Community Services Directorate,21/07/2023," 3,966.30 ",Starfish Search Limited,Invoice,Agency Staff
Resources Directorate,24/07/2023," 3,219.62 ",Upgrade Recruitment Tra Div of,Invoice,Agency Staff
Adult Social Services Directorate,24/07/2023," 10,207.30 ",NonStop Consulting Ltd,Invoice,Agency Staff
Resources Directorate,24/07/2023," 90,600.00 ",Undivided Ltd,Invoice,Consultants Fees
Adult Social Services Directorate,25/07/2023," 3,562.71 ",Reed Specialist Recruitment Ltd,Invoice,Materials
Adult Social Services Directorate,25/07/2023," 5,760.00 ",Westco Trading Ltd,Invoice,Materials
Adult Social Services Directorate,25/07/2023," 3,806.22 ",Baltimore Consulting Ltd,Invoice,Recruitment Costs
Resources Directorate,25/07/2023," 264,329.22 ",XMA LIMITED,Invoice,Hardware purchases
Chief Executives Directorate,25/07/2023," 15,990.00 ",CACI LTD,Invoice,Project Work
Resources Directorate,25/07/2023," 1,735.00 ",REDACTED PERSONAL DATA,Invoice,Consultants Fees
Resources Directorate,25/07/2023," 4,191.84 ",PHOENIX SOFTWARE LTD,Invoice,Software purchases
Adult Social Services Directorate,25/07/2023," 1,624.40 ",ENABLE LEISURE AND CULTURE,Invoice,Training
Adult Social Services Directorate,25/07/2023," 2,400.00 ",PANORAMIC ASSOCIATES LTD,Invoice,Agency Staff
Adult Social Services Directorate,25/07/2023," 5,280.00 ",Number 10 Interim,Invoice,Consultants Fees
Adult Social Services Directorate,25/07/2023," 2,040.00 ",3 Spirit Enterprise UK Ltd,Invoice,Other Minor Contract Payments
Resources Directorate,25/07/2023," 2,225.60 ",Upgrade Recruitment Tra Div of,Invoice,Agency Staff
Adult Social Services Directorate,25/07/2023," 1,361.66 ",NonStop Consulting Ltd,Invoice,Agency Staff
Adult Social Services Directorate,26/07/2023," 3,562.71 ",Reed Specialist Recruitment Ltd,Invoice,Materials
Resources Directorate,26/07/2023," 1,955.74 ",INCOM TELECOMMUNICATIONS,Invoice,Hardware purchases
Adult Social Services Directorate,26/07/2023," 1,800.00 ",PANORAMIC ASSOCIATES LTD,Invoice,Agency Staff
Resources Directorate,26/07/2023, 781.06 ,Upgrade Recruitment Tra Div of,Invoice,Agency Staff
Adult Social Services Directorate,27/07/2023," 1,187.57 ",Reed Specialist Recruitment Ltd,Invoice,Materials
Environment & Community Services Directorate,27/07/2023," 6,840.00 ",Transoft Solutions (UK) Ltd,Invoice,Software Maintenance
Adult Social Services Directorate,27/07/2023," 1,020.00 ",3 Spirit Enterprise UK Ltd,Invoice,Other Minor Contract Payments
Adult Social Services Directorate,27/07/2023, 650.00 ,Herts Handling Training Limited,Invoice,Conference Expenses
Adult Social Services Directorate,28/07/2023," 8,880.00 ",Permanent Futures Ltd,Invoice,Agency Staff
Capital Expenditure,31/07/2023," 72,442.68 ",EUROPEAN ELECTRONIQUE LTD,Invoice,CAPEXP Equipment Purchase
Adult Social Services Directorate,31/07/2023," 17,390.28 ",Flex360 Limited,Invoice,Agency Staff
Adult Social Services Directorate,03/07/2023," 3,108.91 ",REDACTED PERSONAL DATA,Invoice,Direct Payments to  Clients
Children's Services Directorate,04/07/2023, 972.00 ,REFIL EATERIE LTD,Invoice,Food & Consumables
Children's Services Directorate,04/07/2023, 650.00 ,Prepaid Financial Services (E-,Invoice,Food & Consumables
Housing & Regeneration Directorate,04/07/2023, 581.39 ,Octopus Energy,Invoice,Energy - Electricity
Environment & Community Services Directorate,04/07/2023," 1,944.83 ",ARC Hall t/a The Hales Partner,Invoice,Materials
Housing & Regeneration Directorate,04/07/2023, 880.00 ,EMERALD LAW LTD,Invoice,Legal & Court Fees 
Children's Services Directorate,04/07/2023, 900.00 ,REDACTED PERSONAL DATA,Invoice,SEN Personal Budget
Housing & Regeneration Directorate,04/07/2023," 2,277.28 ",FLEXI PROEPRTY SOLUTIONS,Invoice,Homeless Red Act Initiatives
Housing & Regeneration Directorate,04/07/2023," 9,512.00 ",REDACTED PERSONAL DATA,Invoice,Homeless Red Act Initiatives
Children's Services Directorate,04/07/2023, 504.00 ,FireText Communications Ltd,Invoice,Software purchases
Chief Executives Directorate,04/07/2023," 1,000.00 ","Rachel Riveros, E33 Dance Comp",Invoice,Project Work
Housing & Regeneration Directorate,04/07/2023," 2,700.00 ",REDACTED PERSONAL DATA,Invoice,Homeless Red Act Initiatives
Resources Directorate,04/07/2023," 3,833.70 ",REDACTED PERSONAL DATA,Invoice,Personal Account
Housing & Regeneration Directorate,04/07/2023," 1,634.00 ",REDACTED PERSONAL DATA,Invoice,Under Occupation Payments
Housing & Regeneration Directorate,04/07/2023," 2,173.24 ",REDACTED PERSONAL DATA,Invoice,Under Occupation Payments
Resources Directorate,04/07/2023," 1,245.89 ",REDACTED PERSONAL DATA,Invoice,Personal Account
Resources Directorate,04/07/2023," 1,532.82 ",REDACTED PERSONAL DATA,Invoice,Personal Account
Children's Services Directorate,05/07/2023," 9,424.50 ",FINTON HOUSE SCHOOL,Invoice,Independent Fees
Housing & Regeneration Directorate,05/07/2023," 58,204.38 ",PURDY CONTRACTS LTD,Invoice,General Repairs Non S/C
Adult Social Services Directorate,05/07/2023," 9,808.32 ",DALEMEAD,Invoice,External Residential Care
Children's Services Directorate,05/07/2023," 1,105.92 ",REDACTED PERSONAL DATA,Invoice,Direct Payments to  Clients
Children's Services Directorate,05/07/2023, 655.44 ,REDACTED PERSONAL DATA,Invoice,Direct Payments to  Clients
Children's Services Directorate,05/07/2023," 1,139.70 ",Prepaid Financial Services (E-,Invoice,Subsistance
Children's Services Directorate,05/07/2023," 1,549.36 ",REDACTED PERSONAL DATA,Invoice,Direct Payments to  Clients
Children's Services Directorate,05/07/2023," 2,481.84 ",REDACTED PERSONAL DATA,Invoice,Direct Payments to  Clients
Children's Services Directorate,05/07/2023, 556.66 ,REDACTED PERSONAL DATA,Invoice,Direct Payments to  Clients
Children's Services Directorate,05/07/2023," 1,630.54 ",REDACTED PERSONAL DATA,Invoice,Direct Payments to  Clients
Housing & Regeneration Directorate,05/07/2023," 1,451.17 ",REDACTED PERSONAL DATA,Invoice,Homeless Red Act Initiatives
Housing & Regeneration Directorate,05/07/2023," 1,000.00 ",REDACTED PERSONAL DATA,Invoice,Homeless Red Act Initiatives
Resources Directorate,05/07/2023," 1,020.91 ",REDACTED PERSONAL DATA,Invoice,HB Overpayments
Chief Executives Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Project Work
Chief Executives Directorate,05/07/2023," 1,000.00 ",Mind and Planet Ltd,Invoice,Project Work
Resources Directorate,05/07/2023," 8,811.20 ",REDACTED PERSONAL DATA,Invoice,Personal Account
Resources Directorate,05/07/2023, 520.93 ,REDACTED PERSONAL DATA,Invoice,Personal Account
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 564.52 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 650.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 620.97 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 781.67 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023," 1,219.35 ",REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,Spyridon Apostolopoulos,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/07/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
