Date,ACC.DEFAULT ACCOUNTING CODE 01 DESCRIPTION,MCH.MERCHANT NAME - ORIGINAL,FIN.NET TRANSACTION AMOUNT,FIN.TAX.TAX AMOUNT,MCH.MERCHANT CATEGORY CODE (MCC),MCH.MCC DESCRIPTION,MCH.MERCHANT NAME,FIN.ACCOUNTING CODE 02 VALUE,FIN.ACCOUNTING CODE 02 DESCRIPTION
03/04/2023,MOORLANDS GRANGE,ASDA GROCERIES ONLINE,-0.6,0,5411,"GROCERY STORES, SUPERMARKETS",ASDA GROCERIES ONLINE,104080,MOORLANDS GRANGE
03/04/2023,ORCHARD VIEW,ASDA STORES,17.81,3.56,5411,"GROCERY STORES, SUPERMARKETS",ASDA STORES,100095,ORCHARD VIEW
03/04/2023,CLIFFE HOUSE - OPERATIONAL,CENTRAL CO-OP RETA,3.6,0,5411,"GROCERY STORES, SUPERMARKETS",CENTRAL CO-OP RETA,100318,CLIFFE HOUSE - OPERA
03/04/2023,INGS GROVE HOUSE,LIDL GB MIRFIELD,16.5,0,5411,"GROCERY STORES, SUPERMARKETS",LIDL GB MIRFIELD,104076,INGS GROVE HOUSE
03/04/2023,INGS GROVE HOUSE,WWW.ARGOS.CO.UK,202.95,0,5311,DEPARTMENT STORES,WWW.ARGOS.CO.UK,104076,INGS GROVE HOUSE
03/04/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),TRAVELODGE GB0000,201.43,40.28,3615,TRAVELODGE,TRAVELODGE,100037,ASSESSMENT & INT STH
03/04/2023,ELM GROVE,WWW.ARGOS.CO.UK,20,0,5311,DEPARTMENT STORES,WWW.ARGOS.CO.UK,100094,ELM GROVE
03/04/2023,BED AND BREAKFAST,TRAVELODGE GB0000,136.82,27.37,3615,TRAVELODGE,TRAVELODGE,103491,BED AND BREAKFAST
03/04/2023,THE GLASS BOX (FRIENDLY STREET),WWW.BRITISHGAS.CO.,24.34,1.22,4900,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",WWW.BRITISHGAS.CO.,102108,BATLEY BUSINESS PARK
03/04/2023,THE GLASS BOX (FRIENDLY STREET),E.ON NEXT,38.93,1.95,4900,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",E.ON NEXT,102108,BATLEY BUSINESS PARK
03/04/2023,STRATEGIC LEADERSHIP AND INTERVENTION,ASDA STORES,2.08,0.42,5411,"GROCERY STORES, SUPERMARKETS",ASDA STORES,100303,STRAT LEAD/INTERVNTN
03/04/2023,DUKE OF EDINBURGH AWARDS,POUNDSTRETCHER 546,6.67,1.33,5331,VARIETY STORES,POUNDSTRETCHER 546,100133,DUKE OF EDIN AWARDS
03/04/2023,DUKE OF EDINBURGH AWARDS,LIDL GB MIRFIELD,24.82,0.3,5411,"GROCERY STORES, SUPERMARKETS",LIDL GB MIRFIELD,100133,DUKE OF EDIN AWARDS
03/04/2023,DUKE OF EDINBURGH AWARDS,LIDL GB MIRFIELD,1.48,0,5411,"GROCERY STORES, SUPERMARKETS",LIDL GB MIRFIELD,100133,DUKE OF EDIN AWARDS
03/04/2023,OAKWELL HALL MUSEUM,CANVA I03744-19479360,12.99,0,7221,PHOTOGRAPHIC STUDIOS,CANVA I03744-19479360,101142,OAKWELL HALL MUSEUM
03/04/2023,LAC 0-18 TEAM,VESTA VODAFONE TOPUP,10,0,4814,TELECOM INCL PREPAID/RECURRING PHONE SVCS,VESTA VODAFONE TOPUP,100068,LAC 0-18 TEAM
03/04/2023,ASSESSMENT & INTERVENTION TEAM (NORTH),LNER WEB SALES,65,0,4112,PASSENGER RAILWAYS,LNER WEB SALES,100040,ASSESSMENT & INT NTH
03/04/2023,ASSESSMENT & INTERVENTION TEAM (NORTH),WWW.TPEXPRESS.CO.UK,21.2,0,4112,PASSENGER RAILWAYS,WWW.TPEXPRESS.CO.UK,100040,ASSESSMENT & INT NTH
03/04/2023,ASSESSMENT & INTERVENTION TEAM (NORTH),WWW.TPEXPRESS.CO.UK,249.7,0,4112,PASSENGER RAILWAYS,WWW.TPEXPRESS.CO.UK,100040,ASSESSMENT & INT NTH
03/04/2023,LAC 0-18 TEAM,YW INTERNET BRADFORD,88.24,0,4900,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",YW INTERNET BRADFORD,100068,LAC 0-18 TEAM
03/04/2023,IT PEOPLE,MSFT E0100MQONZ,160.99,32.2,5045,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",MSFT E0100MQONZ,103854,IT INFRASTRUCTURE
03/04/2023,COPTHORNE (PROPOSED 4 BED UNIT),,7.38,0,,,,100079,COPTHORNE (PROPOSED
03/04/2023,ELM GROVE,,7.08,0,,,,100094,ELM GROVE
03/04/2023,WOODLANDS,,4.43,0,,,,100077,HEALDS ROAD
03/04/2023,WOODLANDS,,7.38,0,,,,100081,WOODLANDS
03/04/2023,LOCAL ELECTIONS,AMZNBUSINESS SM3HL57P5,45.5,9.03,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS SM3HL57P5,103917,LOCAL ELECTIONS
04/04/2023,STRATEGIC LEADERSHIP AND INTERVENTION,AMZNBUSINESS A33BW0PE5,10.92,2.19,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS A33BW0PE5,100303,STRAT LEAD/INTERVNTN
04/04/2023,TEMPORARY ACCOMMODATION TEAM,CEDAR COURT HUDDERSFIE,663.55,0,7011,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",CEDAR COURT HUDDERSFIE,103490,TEMP ACCOMMODAT TEAM
04/04/2023,TEMPORARY ACCOMMODATION TEAM,CEDAR COURT HUDDERSFIE,733.55,0,7011,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",CEDAR COURT HUDDERSFIE,103490,TEMP ACCOMMODAT TEAM
04/04/2023,ELM GROVE,AMZNBUSINESS TY9R89QM5,22.46,4.48,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS TY9R89QM5,100094,ELM GROVE
04/04/2023,TEMPORARY ACCOMMODATION TEAM,PPOINT_ GO LOCAL PADDO,19.05,0.95,5499,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS",PPOINT_ GO LOCAL PADDO,103490,TEMP ACCOMMODAT TEAM
04/04/2023,ORCHARD VIEW,ASDA GROCERIES ONLINE,19.75,0,5411,"GROCERY STORES, SUPERMARKETS",ASDA GROCERIES ONLINE,100095,ORCHARD VIEW
04/04/2023,ORCHARD VIEW,ASDA GROCERIES ONLINE,127.06,0,5411,"GROCERY STORES, SUPERMARKETS",ASDA GROCERIES ONLINE,100095,ORCHARD VIEW
04/04/2023,IYCE,MAILCHIMP,32.35,3.17,5818,DIGITAL GOODS MULTI CATEGORY,MAILCHIMP,103936,PLACE B WKG TEAM
04/04/2023,INGS GROVE HOUSE,WWW.ARGOS.CO.UK,-43.95,0,5311,DEPARTMENT STORES,WWW.ARGOS.CO.UK,104076,INGS GROVE HOUSE
04/04/2023,INGS GROVE HOUSE,WWW.ARGOS.CO.UK,-202.95,0,5311,DEPARTMENT STORES,WWW.ARGOS.CO.UK,104076,INGS GROVE HOUSE
04/04/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),PONDEROSA-ZOO.CO.UK,22.79,4.56,7991,TOURIST ATTRACTIONS AND EXHIBITS,PONDEROSA-ZOO.CO.UK,100037,ASSESSMENT & INT STH
04/04/2023,THE GLASS BOX (FRIENDLY STREET),GB ENTREPRENEUR AWARDS,102,0,7922,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY",GB ENTREPRENEUR AWARDS,107215,START UP GAINSHARE FUNDING
04/04/2023,OAKWELL HALL MUSEUM,WASTE MANAGED,15,3,7399,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,WASTE MANAGED,104842,OAKWELL EVT & REF
04/04/2023,TEMPORARY ACCOMMODATION TEAM,WWW.UTILITA.CO.UK,19.05,0.95,4900,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",WWW.UTILITA.CO.UK,103490,TEMP ACCOMMODAT TEAM
04/04/2023,THE GLASS BOX (FRIENDLY STREET),WWW.SCREWFIX.COM,6.66,1.33,5211,"BUILDING MATERIALS, LUMBER STORES",WWW.SCREWFIX.COM,102108,BATLEY BUSINESS PARK
04/04/2023,THE GLASS BOX (FRIENDLY STREET),WWW.OPUSENERGY.COM,92.66,4.63,4900,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",WWW.OPUSENERGY.COM,102108,BATLEY BUSINESS PARK
04/04/2023,LONG TERM CONDITIONS GENERIC WORKERS SK,EB EVIDENCE COLLECTIN,10,0,7399,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,EB EVIDENCE COLLECTIN,103975,CONTRACTS AND MONITORING
04/04/2023,CLEANSING MANAGEMENT,WWW.SCREWFIX.COM,20.82,4.17,5211,"BUILDING MATERIALS, LUMBER STORES",WWW.SCREWFIX.COM,103553,CLEANSING MANAGEMNT
04/04/2023,DUKE OF EDINBURGH AWARDS,LIDL GB MIRFIELD,4.17,0,5411,"GROCERY STORES, SUPERMARKETS",LIDL GB MIRFIELD,100133,DUKE OF EDIN AWARDS
04/04/2023,DUKE OF EDINBURGH AWARDS,LIDL GB MIRFIELD,6.46,0.05,5411,"GROCERY STORES, SUPERMARKETS",LIDL GB MIRFIELD,100133,DUKE OF EDIN AWARDS
04/04/2023,DUKE OF EDINBURGH AWARDS,LIDL GB MIRFIELD,0.25,0,5411,"GROCERY STORES, SUPERMARKETS",LIDL GB MIRFIELD,100133,DUKE OF EDIN AWARDS
04/04/2023,CHERRY TREES,TESCO STORES 5731,164.7,32.94,5411,"GROCERY STORES, SUPERMARKETS",TESCO STORES 5731,104083,CHERRY TREES
04/04/2023,CLEANSING MANAGEMENT,WWW.SCREWFIX.COM,183.73,36.75,5211,"BUILDING MATERIALS, LUMBER STORES",WWW.SCREWFIX.COM,103553,CLEANSING MANAGEMNT
04/04/2023,LAC 0-18 TEAM,CURRYS HUDDERSFIELD,226.98,0,5732,ELECTRONIC SALES,CURRYS HUDDERSFIELD,100069,LEAVING CARE 18-21 (
04/04/2023,LAC 0-18 TEAM,WWW.ADRENALINE-INTERNA,44,0,7999,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED),WWW.ADRENALINE-INTERNA,100068,LAC 0-18 TEAM
04/04/2023,YOUTH JUSTICE SERVICE,WWW.ARGOS.CO.UK,11.25,2.25,5311,DEPARTMENT STORES,WWW.ARGOS.CO.UK,107167,YOUTH JUSTICE SERVICE
04/04/2023,LAC 0-18 TEAM,HM PASSPORT OFFICE,53.5,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,HM PASSPORT OFFICE,100068,LAC 0-18 TEAM
04/04/2023,MUSEUMS & GALLERIES HQ,JACKSONSART.COM : INGR,19.17,3.83,5198,"PAINTS,VARNISHES AND SUPPLIES",JACKSONSART.COM : INGR,104847,TECHNICAL EVT & REF
04/04/2023,MUSEUMS & GALLERIES HQ,JOHNSTONES DECORATING,5.33,1.07,5231,"GLASS, PAINT, WALLPAPER STORES",JOHNSTONES DECORATING,104847,TECHNICAL EVT & REF
04/04/2023,LAC 0-18 TEAM,WWW.BILLPLANT.CO.UK,283.49,0,8299,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,WWW.BILLPLANT.CO.UK,100069,LEAVING CARE 18-21 (
04/04/2023,LAC 0-18 TEAM,KIRKLEES COUNCIL,120,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,KIRKLEES COUNCIL,100069,LEAVING CARE 18-21 (
04/04/2023,CASTLE GRANGE,AMZNMKTPLACE AMAZON.CO,8.93,1.78,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,104079,CASTLE GRANGE
04/04/2023,EARLY SUPPORT SERVICE WIDE,TRAINLINE,135.01,0,4112,PASSENGER RAILWAYS,TRAINLINE,107172,CONNECTED PERSON
04/04/2023,WOODLANDS,BKG BOOKING.COM HOTEL,226.17,45.23,4722,TRAVEL AGENCIES AND TOUR OPERATORS,BKG BOOKING.COM HOTEL,100081,WOODLANDS
04/04/2023,WOODLANDS,THORPE PARK,166.67,33.33,7922,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY",THORPE PARK,100081,WOODLANDS
04/04/2023,YOUNG PEOPLES ENGAGEMENT TEAM,LIDL GB MIRFIELD,13.21,0.63,5411,"GROCERY STORES, SUPERMARKETS",LIDL GB MIRFIELD,100133,DUKE OF EDIN AWARDS
04/04/2023,YOUNG PEOPLES ENGAGEMENT TEAM,LIDL GB MIRFIELD,3.16,0,5411,"GROCERY STORES, SUPERMARKETS",LIDL GB MIRFIELD,100133,DUKE OF EDIN AWARDS
04/04/2023,,,-121159.31,0,,,,,
04/04/2023,STRATEGIC COMMUNICATIONS,123 REG LTD 006277970,215.82,0,4816,COMPUTER NETWORK/INFORMATION SERVICES,123 REG LTD 006277970,102115,TOURISM
04/04/2023,INGS GROVE HOUSE,AMZNMKTPLACE,27.64,0,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,104076,INGS GROVE HOUSE
04/04/2023,OAKWELL HALL,AMZNMKTPLACE,24.99,5,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,107176,OAKWELL HALL
05/04/2023,WOODLANDS,WM MORRISONS STORE PIC,305.75,0,5411,"GROCERY STORES, SUPERMARKETS",WM MORRISONS STORE PIC,100081,WOODLANDS
05/04/2023,LD DAY SERVICES SK,AMZNMKTPLACE AMAZON.CO,7.39,1.48,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,104047,LD DAY SERVICES SK
05/04/2023,LD DAY SERVICES SK,AMZNMKTPLACE AMAZON.CO,13.88,1.11,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,104047,LD DAY SERVICES SK
05/04/2023,OD,ST JOHN AMBULANCE,3.6,0,8398,"ORGANIZATIONS, CHARITABLE AND SOCIAL SERVICES",ST JOHN AMBULANCE,107033,OD
05/04/2023,WORKSHOPS,PUGBITZ LTD,85,17,5013,MOTOR VEHICLE SUPPLIES AND NEW PARTS,PUGBITZ LTD,103372,WORKSHOPS
05/04/2023,CLEANSING MANAGEMENT,WWW.SCREWFIX.COM,224.99,45,5211,"BUILDING MATERIALS, LUMBER STORES",WWW.SCREWFIX.COM,103570,STRATEGIC WASTE
05/04/2023,CLEANSING MANAGEMENT,J J EMBROIDERY LIMITE,25,5,5137,MEN'S/WOMEN'S/CHILDREN'S UNIFORMS/COMMERCIAL CLOTH,J J EMBROIDERY LIMITE,103553,CLEANSING MANAGEMNT
05/04/2023,AMHP SERVICES (SESSIONAL),HMCTS GRIMSBY&SCUNTHOR,81,0,9222,FINES,HMCTS GRIMSBY&SCUNTHOR,104099,AMHP SERVS (SESSION)
05/04/2023,OAKWELL HALL MUSEUM,MAKE AN ENTRANCE,114.96,22.99,5713,FLOOR COVERING STORES,MAKE AN ENTRANCE,104847,TECHNICAL EVT & REF
05/04/2023,OAKWELL HALL MUSEUM,MAKE AN ENTRANCE,102,20.4,5713,FLOOR COVERING STORES,MAKE AN ENTRANCE,104847,TECHNICAL EVT & REF
05/04/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),HULL CITY COUNCIL,11,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,HULL CITY COUNCIL,100037,ASSESSMENT & INT STH
05/04/2023,MUSEUMS & GALLERIES HQ,SCREWFIX DIR. LTD,39.92,7.98,5211,"BUILDING MATERIALS, LUMBER STORES",SCREWFIX DIR. LTD,104847,TECHNICAL EVT & REF
05/04/2023,MUSEUMS & GALLERIES HQ,WILKO RETAIL LIMITED,19.54,3.91,5399,MISCELLANEOUS GENERAL MERCHANDISE,WILKO RETAIL LIMITED,104847,TECHNICAL EVT & REF
05/04/2023,CREATIVE ECONOMY,SPOTIFY UK,8.32,1.67,5815,DIGITAL GOODS AUDIOVISUAL MEDIA,SPOTIFY UK,107111,YEAR OF MUSIC
05/04/2023,STRATEGIC LEADERSHIP AND INTERVENTION,AMZNBUSINESS I87Y36CP5,24.37,4.89,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS I87Y36CP5,106251,EARLY YEARS OUTCOMES
05/04/2023,STRATEGIC LEADERSHIP AND INTERVENTION,AMZNBUSINESS KD0YM7E35,73.33,14.67,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS KD0YM7E35,106251,EARLY YEARS OUTCOMES
05/04/2023,IT PEOPLE,AMZNBUSINESS Y300X8IV5,24.99,5,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS Y300X8IV5,103858,IT SERVICES
05/04/2023,STRATEGIC LEADERSHIP AND INTERVENTION,AMZNBUSINESS 006PP2ZF5,69.87,13.98,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS 006PP2ZF5,106251,EARLY YEARS OUTCOMES
05/04/2023,LAC 0-18 TEAM,HM PASSPORT OFFICE,53.5,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,HM PASSPORT OFFICE,100068,LAC 0-18 TEAM
05/04/2023,IT PEOPLE,AMZNMKTPLACE AMAZON.CO,16.66,3.33,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,107225,COMPLIANCE TEAM
05/04/2023,WOODLANDS,IKEA LTD SHOP ONLINE,105,0,5712,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",IKEA LTD SHOP ONLINE,100077,HEALDS ROAD
05/04/2023,WOODLANDS,WWW.ARGOS.CO.UK,88,0,5311,DEPARTMENT STORES,WWW.ARGOS.CO.UK,100077,HEALDS ROAD
05/04/2023,WOODLANDS,WWW.ARGOS.CO.UK,-88,0,5311,DEPARTMENT STORES,WWW.ARGOS.CO.UK,100077,HEALDS ROAD
05/04/2023,CONNECTED PERSON SUPPORT TEAM,WWW.MARKSELECTRICAL.CO,-130.82,-26.16,5065,ELECTRICAL PARTS AND EQUIPMENT,WWW.MARKSELECTRICAL.CO,100081,WOODLANDS
05/04/2023,LEAVING CARE 18-21 (25) TEAM,IKEA LTD 261 LEEDS MAI,477.75,0,5712,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",IKEA LTD 261 LEEDS MAI,100069,LEAVING CARE 18-21 (
