LONDON BOROUGH OF ENFIELD,Service Area Categorisation ,Expenses Type,Payment Date,Transaction Number,Net Amount,Supplier Name
LONDON BOROUGH OF ENFIELD,PLACE,BusinessConsult Serv,45323,4100815564,11000,ASTWOOD LTD T/A GRANT MILLS WOOD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45323,4100815652,355,ST MARY'S FAMILY CENTRE
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,4100815656,3823.8,AVANCE LTD T/A AVANCE CARE SERVICES
LONDON BOROUGH OF ENFIELD,HRA,Security/Safety Eqpm,45323,4100815088,1152,IGNITE LOGISTICS LTD
LONDON BOROUGH OF ENFIELD,HRA,Security/Safety Eqpm,45323,4100815089,2317,IGNITE LOGISTICS LTD
LONDON BOROUGH OF ENFIELD,HRD,Construction Capital,45323,4100815090,2654.4,IGNITE LOGISTICS LTD
LONDON BOROUGH OF ENFIELD,HRA,Build/Constrct Srvcs,45323,4100811923,4050,AMBERCYCLE LTD
LONDON BOROUGH OF ENFIELD,RESOURCES,Education services,45323,4100815719,320,HOLISTIC EDUCATION & SPORT SUPPORT
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490108,512.96,PERSONALISED COMMUNITY CARE LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490110,329.76,PERSONALISED COMMUNITY CARE LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490114,1428.96,PERSONALISED COMMUNITY CARE LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490116,480.9,PERSONALISED COMMUNITY CARE LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490120,732.8,PERSONALISED COMMUNITY CARE LTD
