Entity Name,Directorate,Service/Board,Cost Centre,Description,Subjective,Description,Supplier Name,Payment Date,Line Amount,Invoice Amount,Net Amount,
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89204,Design Fees,Campbell Reith Hill LLP,45041.041666666664,3000,3600,3000,
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89209,Other Professional Fees,Currie & Brown UK Ltd,45043.041666666664,4450,5340,4450,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45048.041666666664,1598.5,1918.2,1598.5,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45048.041666666664,1598.5,1918.2,1598.5,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45048.041666666664,1598.5,1918.2,1598.5,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45048.041666666664,1598.5,1918.2,1598.5,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,41304,Cleaning & Domestic Materials,Scilly Self Catering,45064.041666666664,2219.5,2663.4,2219.5,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,47013,Grants & Conts to Other Bodies - Discretionary,Isles of Scilly Museum Association,45048.041666666664,41430.17,41430.17,41430.17,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600002,Public Conveniences,21101,R&M - Buildings - Planned,,45055.041666666664,775,775,775,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600002,Public Conveniences,21101,R&M - Buildings - Planned,,45076.041666666664,860,860,860,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600002,Public Conveniences,41304,Cleaning & Domestic Materials,,45064.041666666664,796.25,796.25,796.25,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600002,Public Conveniences,49372,Legionella Testing,C & M Water Ltd,45064.041666666664,1200,1440,1200,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600002,Public Conveniences,49372,Legionella Testing,C & M Water Ltd,45064.041666666664,5760,6912,5760,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600003,Commercial Property,22002,Electricity,Edf Energy Plc,45065.041666666664,-150,1126.62,913.85,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600003,Commercial Property,22002,Electricity,Edf Energy Plc,45065.041666666664,1063.85,1126.62,913.85,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600005,AONB,31601,Rail,,45069.041666666664,143.2,647.69,647.69,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600005,AONB,31603,Other Public Transport,,45069.041666666664,10,647.69,647.69,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600005,AONB,31608,Ferries,,45069.041666666664,154.5,647.69,647.69,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600005,AONB,46102,Subsistence,,45069.041666666664,18,647.69,647.69,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600005,AONB,46102,Subsistence,,45069.041666666664,50,647.69,647.69,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600005,AONB,46103,Hotel Expenses,,45069.041666666664,111.99,647.69,647.69,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600005,AONB,46103,Hotel Expenses,,45069.041666666664,160,647.69,647.69,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600005,AONB,47002,Subscriptions,NAAONB,45048.041666666664,2928,2928,2928,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600006,Adaptive Scillies,43505,Professional Services,Currie & Brown UK Ltd,45076.041666666664,960,1152,960,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600006,Adaptive Scillies,89104,Major Enhancement Works,Marine Management Organisation,45076.041666666664,1982.5,1982.5,1982.5,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600010,Operational R & M Services,41118,Health & Safety Equipment,Boc Ltd,45058.041666666664,-181.5,1797.61,1498.02,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600010,Operational R & M Services,41118,Health & Safety Equipment,Boc Ltd,45058.041666666664,-134.11,1797.61,1498.02,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600010,Operational R & M Services,41118,Health & Safety Equipment,Boc Ltd,45058.041666666664,481.64,1797.61,1498.02,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600010,Operational R & M Services,41118,Health & Safety Equipment,Boc Ltd,45058.041666666664,1331.99,1797.61,1498.02,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600012,Highways,22002,Electricity,Edf Energy Plc,45051.041666666664,-1084.46,1084.46,903.73,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600012,Highways,22002,Electricity,Edf Energy Plc,45051.041666666664,903.73,1084.46,903.73,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600012,Highways,22002,Electricity,Edf Energy Plc,45051.041666666664,1084.46,1084.46,903.73,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600013,Open Spaces & Beaches,31102,Vehicle Repair and Maintenance,Vincent Tractors Ltd,45071.041666666664,562.64,675.16,562.64,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Planning and Development,600023,Planning Enforcement,43505,Professional Services,Bloom Procurement Services Ltd,45055.041666666664,8459.83,10151.8,8459.83,
51 Council of the Isles of Scilly,Community,Fire and Rescue,600030,Fire & Rescue,31102,Vehicle Repair and Maintenance,Richard Hand Haulage,45048.041666666664,831,997.2,831,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,31102,Vehicle Repair and Maintenance,Lift Safe Ltd,45062.041666666664,1179.88,1415.86,1179.88,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,41310,Delivery Charges,Richard Hand Haulage,45048.041666666664,650,780,650,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,43532,Professional Fees - Other,Larac,45050.041666666664,445,534,445,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,46103,Hotel Expenses,Star Castle Hotel,45050.041666666664,425,510,425,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,46119,Haulage Costs,Island Carriers,45048.041666666664,-2464.01,2949.16,2464.01,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,46119,Haulage Costs,Island Carriers,45048.041666666664,38.36,2949.16,2464.01,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,46119,Haulage Costs,Island Carriers,45048.041666666664,2425.65,2949.16,2464.01,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,46119,Haulage Costs,Island Carriers,45048.041666666664,2464.01,2949.16,2464.01,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,46119,Haulage Costs,Island Carriers,45069.041666666664,-5169.67,6203.65,5169.67,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,46119,Haulage Costs,Island Carriers,45069.041666666664,-1033.98,6203.65,5169.67,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,46119,Haulage Costs,Island Carriers,45069.041666666664,1033.98,6203.65,5169.67,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,46119,Haulage Costs,Island Carriers,45069.041666666664,5169.67,6203.65,5169.67,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,Bryher Forge,45062.041666666664,-1265.5,1265.5,1265.5,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,Bryher Forge,45062.041666666664,1265.5,1265.5,1265.5,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,,45048.041666666664,1000,1000,1000,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,,45069.041666666664,1100,1100,1100,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,Suez Recycling and Recovery UK Ltd (was Sita UK Ltd),45048.041666666664,9897.64,11877.17,9897.64,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,Tresco Estate,45062.041666666664,3033.33,3640,3033.33,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,94238,Weighbridge Charges,,45057.041666666664,6292.8,6292.8,6292.8,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600042,Waste Recycling (Code Closed),46119,Haulage Costs,Isles Of Scilly Steamship Co,45048.041666666664,9564.62,11477.53,9564.62,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600042,Waste Recycling (Code Closed),46119,Haulage Costs,Isles Of Scilly Steamship Co,45048.041666666664,3433.62,4120.34,3433.62,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600042,Waste Recycling (Code Closed),46119,Haulage Costs,Isles Of Scilly Steamship Co,45064.041666666664,12042.2,14450.62,12042.2,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600042,Waste Recycling (Code Closed),46119,Haulage Costs,Isles Of Scilly Steamship Co,45069.041666666664,5248.45,6298.12,5248.45,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600042,Waste Recycling (Code Closed),46119,Haulage Costs,Suez Recycling and Recovery UK Ltd (was Sita UK Ltd),45076.041666666664,24188.42,29026.1,24188.42,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,22002,Electricity,Edf Energy Plc,45058.041666666664,570.68,684.81,570.68,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,27001,Contract Cleaning,Island Cleaning co,45064.041666666664,-1170,1170,1170,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,27001,Contract Cleaning,Island Cleaning co,45064.041666666664,1170,1170,1170,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,43501,External Testing & Analysis,Perren Engineering Ltd,45064.041666666664,1397.54,1677.05,1397.54,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,43501,External Testing & Analysis,Terberg Dts Ltd,45071.041666666664,1905.8,2286.96,1905.8,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,43532,Professional Fees - Other,Systems Interface Ltd,45048.041666666664,4310,5172,4310,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,43534,Licences,Ofcom,45057.041666666664,2850,2850,2850,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,45208,IT Software Support,CTI Communications Ltd,45048.041666666664,645,774,645,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,45208,IT Software Support,Joint Application Development Enterprises Ltd,45069.041666666664,2220,2664,2220,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,46109,Car Park Charges,Isles Of Scilly Steamship Co,45050.041666666664,495.83,595,495.83,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,89106,Landscaping,Scillonian Trading Ltd,45062.041666666664,6539.43,7847.32,6539.43,
51 Council of the Isles of Scilly,Community,Adult Social Care,600100,Adult Social Care,21101,R&M - Buildings - Planned,,45076.041666666664,905,905,905,
51 Council of the Isles of Scilly,Community,Adult Social Care,600100,Adult Social Care,21101,R&M - Buildings - Planned,,45062.041666666664,1091,1091,1091,
51 Council of the Isles of Scilly,Community,Adult Social Care,600100,Adult Social Care,22501,Rent,,45058.041666666664,822.84,822.84,822.84,
51 Council of the Isles of Scilly,Community,Adult Social Care,600101,Better Care Fund,31603,Other Public Transport,Tresco Estate,45064.041666666664,910,910,910,
51 Council of the Isles of Scilly,Community,Adult Social Care,600101,Better Care Fund,43532,Professional Fees - Other,Healthwatch I.O.S,45064.041666666664,10000,10000,10000,
51 Council of the Isles of Scilly,Community,Adult Social Care,600101,Better Care Fund,47013,Grants & Conts to Other Bodies - Discretionary,Age UK Cornwall & The Isles of Scilly (Age Concern In Cornwall & The Isles of Scilly),45051.041666666664,3375,3375,3375,
51 Council of the Isles of Scilly,Community,Adult Social Care,600103,Short and Long Term Support 18-64,57053,Independent Schools - Private Contractors,Autism West Midlands,45065.041666666664,6942.6,6942.6,6942.6,
51 Council of the Isles of Scilly,Community,Adult Social Care,600103,Short and Long Term Support 18-64,57053,Independent Schools - Private Contractors,Shared Lives South West,45064.041666666664,-790.04,864.05,790.04,
51 Council of the Isles of Scilly,Community,Adult Social Care,600103,Short and Long Term Support 18-64,57053,Independent Schools - Private Contractors,Shared Lives South West,45064.041666666664,370.04,864.05,790.04,
51 Council of the Isles of Scilly,Community,Adult Social Care,600103,Short and Long Term Support 18-64,57053,Independent Schools - Private Contractors,Shared Lives South West,45064.041666666664,420,864.05,790.04,
51 Council of the Isles of Scilly,Community,Adult Social Care,600103,Short and Long Term Support 18-64,57053,Independent Schools - Private Contractors,Shared Lives South West,45064.041666666664,790.04,864.05,790.04,
51 Council of the Isles of Scilly,Community,Adult Social Care,600103,Short and Long Term Support 18-64,62004,Direct Payments,,45058.041666666664,1232,1232,1232,
51 Council of the Isles of Scilly,Community,Adult Social Care,600103,Short and Long Term Support 18-64,62004,Direct Payments,One Off Payments,45051.041666666664,1232,1232,1232,
51 Council of the Isles of Scilly,Community,Adult Social Care,600104,Short and Long Term Support 65,57066,Independent Meals at Home - Private Contractors,Cornwall Partnership NHS Foundation Trust,45076.041666666664,1360,1632,1360,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Newcross Healthcare Solutions Ltd,45050.041666666664,1592.18,1592.18,1592.18,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Newcross Healthcare Solutions Ltd,45048.041666666664,202.33,3063.69,3063.69,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Newcross Healthcare Solutions Ltd,45048.041666666664,2861.36,3063.69,3063.69,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Newcross Healthcare Solutions Ltd,45064.041666666664,1057.93,1057.93,1057.93,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Newcross Healthcare Solutions Ltd,45076.041666666664,1962.04,1962.04,1962.04,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Nurse Plus,45076.041666666664,-3326.01,3326.01,3326.01,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Nurse Plus,45076.041666666664,-2321.68,3326.01,3326.01,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Nurse Plus,45076.041666666664,-1004.33,3326.01,3326.01,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Nurse Plus,45076.041666666664,1004.33,3326.01,3326.01,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Nurse Plus,45076.041666666664,2321.68,3326.01,3326.01,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Nurse Plus,45076.041666666664,3326.01,3326.01,3326.01,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Nurse Plus,45055.041666666664,3934.2,3934.2,3934.2,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Sibleys Island Homes,45057.041666666664,1145,1145,1145,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,22501,Rent,,45051.041666666664,655,655,655,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,22501,Rent,Sibleys Island Homes,45058.041666666664,950,950,950,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,41304,Cleaning & Domestic Materials,Protec Healthcare LLP,45048.041666666664,540.35,648.42,540.35,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,42001,Catering - Provisions,Westcountry Fruit Sales Ltd,45051.041666666664,806.33,806.33,806.33,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,42001,Catering - Provisions,Westcountry Fruit Sales Ltd,45065.041666666664,750.01,750.01,750.01,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,89005,Acquisition Costs - Equipment,Protec Healthcare LLP,45071.041666666664,839,1006.8,839,
51 Council of the Isles of Scilly,Community,Childrens Services,600113,Early Year Provision,31603,Other Public Transport,St Mary's Boatmens Association,45050.041666666664,1150,1150,1150,
51 Council of the Isles of Scilly,Community,Childrens Services,600113,Early Year Provision,31603,Other Public Transport,Tresco Estate,45057.041666666664,2684.25,2684.25,2684.25,
51 Council of the Isles of Scilly,Community,Childrens Services,600113,Early Year Provision,31603,Other Public Transport,Tresco Estate,45071.041666666664,1857.75,1857.75,1857.75,
51 Council of the Isles of Scilly,Community,Childrens Services,600113,Early Year Provision,47001,Grants & Conts to Other Bodies - Non Discretionary,Cherry Blossom Childcare,45057.041666666664,521.09,521.09,521.09,
51 Council of the Isles of Scilly,Community,Childrens Services,600113,Early Year Provision,47001,Grants & Conts to Other Bodies - Non Discretionary,Cherry Blossom Childcare,45064.041666666664,7887.45,7887.45,7887.45,
51 Council of the Isles of Scilly,Community,Childrens Services,600113,Early Year Provision,47001,Grants & Conts to Other Bodies - Non Discretionary,,45071.041666666664,974,974,974,
51 Council of the Isles of Scilly,Community,Childrens Services,600113,Early Year Provision,47013,Grants & Conts to Other Bodies - Discretionary,Cherry Blossom Childcare,45064.041666666664,2414.14,2414.14,2414.14,
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,45071.041666666664,1905.32,1905.32,1905.32,
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,45048.041666666664,855.76,855.76,855.76,
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,45057.041666666664,2213.17,2213.17,2213.17,
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,45057.041666666664,1905.32,1905.32,1905.32,
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,45062.041666666664,1768,1768,1768,
51 Council of the Isles of Scilly,Community,Childrens Services,600121,Home to School Transport,31603,Other Public Transport,Tresco Estate,45071.041666666664,2820,2820,2820,
51 Council of the Isles of Scilly,Community,Childrens Services,600123,High Need SEND,31603,Other Public Transport,Tresco Estate,45076.041666666664,520,520,520,
51 Council of the Isles of Scilly,Community,Childrens Services,600123,High Need SEND,43532,Professional Fees - Other,Aurora Boveridge College,45048.041666666664,44176.66,44176.66,44176.66,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,31603,Other Public Transport,Tresco Estate,45071.041666666664,1263,1263,1263,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,Cornwall Council,45071.041666666664,-2400,2400,2400,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,Cornwall Council,45071.041666666664,2400,2400,2400,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,FFT Education Ltd,45071.041666666664,2792.63,3351.16,2792.63,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,46104,Conferences & Seminars,ADCS,45069.041666666664,1370,1644,1370,
51 Council of the Isles of Scilly,Community,Childrens Services,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45069.041666666664,1384.5,1661.4,1384.5,
51 Council of the Isles of Scilly,Community,Childrens Services,600130,Children Social Care - Strategic,11601,Agency Costs,iPeople Solutions Ltd,45062.041666666664,3190,3828,3190,
51 Council of the Isles of Scilly,Community,Childrens Services,600130,Children Social Care - Strategic,11601,Agency Costs,iPeople Solutions Ltd,45062.041666666664,3987.5,4785,3987.5,
51 Council of the Isles of Scilly,Community,Learning and Library,600210,Adult Education,12301,Training,Kernow Training Ltd,45071.041666666664,1500,1500,1500,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Inshore Fisheries and Conservation Authorities,600220,IFCA,44004,Insurance Premiums - Marine,Knighthood Insurance with Distinction,45048.041666666664,3017,3017,3017,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Inshore Fisheries and Conservation Authorities,600220,IFCA,46120,Mooring Costs,Duchy Of Cornwall,45050.041666666664,89.33,536,536,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Inshore Fisheries and Conservation Authorities,600220,IFCA,46120,Mooring Costs,Duchy Of Cornwall,45050.041666666664,446.67,536,536,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement,600233,CIOS Cultural Centre,12301,Training,Islands & Tourism Business Partnership Ltd,45076.041666666664,500,600,500,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement,600233,CIOS Cultural Centre,43504,Consultancy,Sara Hilton Associates Ltd,45064.041666666664,-2500,2250,2250,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement,600233,CIOS Cultural Centre,43504,Consultancy,Sara Hilton Associates Ltd,45064.041666666664,2250,2250,2250,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement,600233,CIOS Cultural Centre,43504,Consultancy,Sara Hilton Associates Ltd,45064.041666666664,2500,2250,2250,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement,600233,CIOS Cultural Centre,43505,Professional Services,Flying Lizard Designs Ltd,45055.041666666664,712,712,712,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement,600233,CIOS Cultural Centre,43532,Professional Fees - Other,,45064.041666666664,2912,2912,2912,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement,600233,CIOS Cultural Centre,43532,Professional Fees - Other,,45064.041666666664,2970,2970,2970,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600241,Private Housing,22501,Rent,,45065.041666666664,700,700,700,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600243,Housing Delivery Project,89202,Legal Fees & Expenses,Ashfords,45050.041666666664,2428,2913.6,2428,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management,600261,GO-EV Smart,31203,Vehicle Excise (VED),West End Motors,45055.041666666664,55,26705.98,22264.15,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management,600261,GO-EV Smart,31203,Vehicle Excise (VED),West End Motors,45055.041666666664,55,26705.98,22264.15,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Lisensing,600300,Licensing,43532,Professional Fees - Other,Cornwall Council,45050.041666666664,780,936,780,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600303,Corporate Management,12601,Professional subscriptions,LGiU Enterprises Ltd,45048.041666666664,1798,2157.6,1798,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600303,Corporate Management,47002,Subscriptions,South West Councils,45048.041666666664,2805,3366,2805,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600303,Corporate Management,49002,Miscellaneous Expenditure,Appletree Technology,45062.041666666664,1145.37,1374.45,1145.37,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600303,Corporate Management,49002,Miscellaneous Expenditure,Cilex,45069.041666666664,3700,3700,3700,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600305,Members,12301,Training,Tim Burton Planning Ltd,45064.041666666664,1033,1033,1033,
51 Council of the Isles of Scilly,Community,Active Scilly,600313,Normandy Swimming Pool,22002,Electricity,Edf Energy Plc,45058.041666666664,1592.56,1911.07,1592.56,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Support Services,600321,Finance,31102,Vehicle Repair and Maintenance,Sibleys Fuel & Marine Services,45048.041666666664,534.73,2776.21,2567.62,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Support Services,600321,Finance,31102,Vehicle Repair and Maintenance,Sibleys Fuel & Marine Services,45048.041666666664,2032.89,2776.21,2567.62,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Support Services,600321,Finance,45105,Telephone Usage,The Phone Co-Op Ltd,45051.041666666664,438.52,526.22,438.52,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600328,Levelling Up Fund – Sea Link Project,43504,Consultancy,Bloom Procurement Services Ltd,45069.041666666664,13152.17,15782.61,13152.17,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600328,Levelling Up Fund – Sea Link Project,43504,Consultancy,Bloom Procurement Services Ltd,45069.041666666664,2695,3234,2695,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600400,Council Tax Account,65003,Police Authority Precept,Devon & Cornwall Police Authority,45065.041666666664,26311.57,26311.57,26311.57,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89004,Acquisition Costs - Vehicles & Plant,Mardon Recycling machinery Ltd,45064.041666666664,39354,47224.8,39354,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89207,Consultancy Costs,Bloom Procurement Services Ltd,45055.041666666664,26177.17,31412.6,26177.17,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89207,Consultancy Costs,Bloom Procurement Services Ltd,45062.041666666664,18716.51,22459.81,18716.51,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89209,Other Professional Fees,Arcadis LLP,45062.041666666664,9867.82,11841.38,9867.82,
