Entity Name,Directorate,Service/Board,Cost Centre,Description,Subjective,Description,Supplier Name,Payment Date,Line Amount,Invoice Amount,Net Amount
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,43501,External Testing & Analysis,KK Controls & Equipment Ltd,45111.041666666664,550,666,555
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,43501,External Testing & Analysis,KK Controls & Equipment Ltd,45111.041666666664,555,666,555
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,43532,Professional Fees - Other,Expedite Building Services Ltd,45120.041666666664,3920,4704,3920
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,46103,Hotel Expenses,Advanced Fire and Security South West Ltd,45120.041666666664,680,816,680
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,49002,Miscellaneous Expenditure,Davey & Gilbert Ltd,45132.041666666664,1219,1462.8,1219
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600002,Public Conveniences,21101,R&M - Buildings - Planned,,45111.041666666664,-750,750,750
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600002,Public Conveniences,21101,R&M - Buildings - Planned,,45111.041666666664,750,750,750
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600002,Public Conveniences,21101,R&M - Buildings - Planned,Ginnick Property Maintenance,45125.041666666664,580,580,580
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600002,Public Conveniences,27001,Contract Cleaning,,45125.041666666664,782.5,782.5,782.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600002,Public Conveniences,41304,Cleaning & Domestic Materials,The Consortium,45127.041666666664,749.7,899.64,749.7
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600003,Commercial Property,22002,Electricity,Edf Energy Plc,45114.041666666664,1250.04,1500.05,1250.04
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600005,AONB,47013,Grants & Conts to Other Bodies - Discretionary,Lower Town Farm St Agnes,45125.041666666664,3323.52,3323.52,3323.52
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600005,AONB,94561,Conference Charges,NAAONB,45120.041666666664,525,525,525
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,43532,Professional Fees - Other,Bloom Procurement Services Ltd,45111.041666666664,2342.05,2810.46,2342.05
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,49002,Miscellaneous Expenditure,,45120.041666666664,12267,14720.4,12267
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,89104,Major Enhancement Works,Seaways Flower Farm,45127.041666666664,4275,5130,4275
51 Council of the Isles of Scilly,"Place, Economy and Environment",Highway and Environmental Assets,600010,Operational R & M Services,31102,Vehicle Repair and Maintenance,Opie Oils Ltd,45118.041666666664,599.63,719.56,599.63
51 Council of the Isles of Scilly,"Place, Economy and Environment",Highway and Environmental Assets,600011,Cemeteries,43532,Professional Fees - Other,Ios Wildlife Trust Ltd,45132.041666666664,750,750,750
51 Council of the Isles of Scilly,"Place, Economy and Environment",Highway and Environmental Assets,600011,Cemeteries,43532,Professional Fees - Other,South West Archaeology Ltd,45118.041666666664,1725,2070,1725
51 Council of the Isles of Scilly,"Place, Economy and Environment",Highway and Environmental Assets,600012,Highways,31102,Vehicle Repair and Maintenance,Vincent Tractors Ltd,45118.041666666664,563.71,676.45,563.71
51 Council of the Isles of Scilly,People and Communities,Fire and Rescue.,600030,Fire & Rescue,21124,R&M - Planned Fire equip servicing,Max Fire Services Ltd,45120.041666666664,1215,1458,1215
51 Council of the Isles of Scilly,People and Communities,Fire and Rescue.,600030,Fire & Rescue,41118,Health & Safety Equipment,Speedings Ltd,45132.041666666664,887,1064.4,887
51 Council of the Isles of Scilly,People and Communities,Fire and Rescue.,600030,Fire & Rescue,57074,Bulky Waste Collection - Private Contractors,Pellows Waste Disposal Services Ltd,45111.041666666664,3150,3780,3150
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,22002,Electricity,Edf Energy Plc,45114.041666666664,507.49,532.87,507.49
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,31102,Vehicle Repair and Maintenance,Harrison Fork Trucks Ltd,45132.041666666664,746.47,895.76,746.47
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,41109,R&M of Plant & Equipment,SJ Andrew And Sons Ltd,45127.041666666664,500.53,600.64,500.53
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,41305,Purchase of Waste Sacks,D A Pak Ltd,45127.041666666664,1150.4,1380.48,1150.4
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,41305,Purchase of Waste Sacks,Elite Plastics Ltd,45125.041666666664,1433.7,1720.44,1433.7
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,41308,Construction Materials,Travis Perkins Trading Co Ltd,45113.041666666664,474.72,569.66,474.72
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46118,Freight Costs,Isles Of Scilly Steamship Co,45132.041666666664,17757.24,21308.66,17757.24
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46118,Freight Costs,Wheal Alfred Metals Recycling Ltd,45132.041666666664,800,960,800
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46119,Haulage Costs,Island Carriers,45132.041666666664,4688.22,5625.91,4688.22
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46119,Haulage Costs,Sibleys Fuel & Marine Services,45127.041666666664,709.8,3640.21,3122.24
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46119,Haulage Costs,Sibleys Fuel & Marine Services,45127.041666666664,2412.44,3640.21,3122.24
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46119,Haulage Costs,Suez Recycling and Recovery UK Ltd (was Sita UK Ltd),45134.041666666664,34938.93,41926.72,34938.93
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,Bryher Forge,45113.041666666664,-1265.5,1265.5,1265.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,Bryher Forge,45113.041666666664,1265.5,1265.5,1265.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,Bryher Forge,45120.041666666664,1265.5,1265.5,1265.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,Tresco Island Ltd,45134.041666666664,3033.33,3640,3033.33
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600042,Waste Recycling (Code Closed),41109,R&M of Plant & Equipment,Pernic Forge,45118.041666666664,896.67,1076,896.67
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,12301,Training,CAA International Ltd,45125.041666666664,1453,1743.6,1453
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,12301,Training,Serco Ltd,45118.041666666664,6265,7518,6265
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,12301,Training,Serco Ltd,45118.041666666664,6265,7518,6265
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,21101,R&M - Buildings - Planned,Wright Construction,45111.041666666664,2052.75,2463.3,2052.75
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,22002,Electricity,Edf Energy Plc,45114.041666666664,-560.69,985.87,821.56
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,22002,Electricity,Edf Energy Plc,45114.041666666664,467.61,985.87,821.56
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,22002,Electricity,Edf Energy Plc,45114.041666666664,914.64,985.87,821.56
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,22002,Electricity,Edf Energy Plc,45114.041666666664,822.86,987.43,822.86
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,22002,Electricity,Edf Energy Plc,45127.041666666664,2250.04,2700.05,2250.04
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,27001,Contract Cleaning,Island Cleaning co,45120.041666666664,1170,1170,1170
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,41103,Equipment - Spares,Muir Matheson Aviation Limited,45111.041666666664,8114,9736.8,8114
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,41104,Equipment & Plant - Direct Purchase,RS Components Ltd,45120.041666666664,1745.52,2094.62,1745.52
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,41310,Delivery Charges,Richard Hand Haulage,45125.041666666664,462.37,554.85,462.37
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,42503,Uniforms / Clothing,Engelbert Strauss Ltd,45113.041666666664,440.74,528.89,440.74
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43534,Licences,CAA International Ltd,45135.041666666664,826.8,826.8,826.8
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,45210,IT Communications,Servicom (High Tech) Ltd,45125.041666666664,491.67,589.99,491.67
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,45210,IT Communications,Servicom (High Tech) Ltd,45125.041666666664,622.08,746.49,622.08
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,11601,Agency Costs,Eden Brown Synergy Ltd,45118.041666666664,1989,2386.8,1989
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,11601,Agency Costs,Eden Brown Synergy Ltd,45118.041666666664,1326,1591.2,1326
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,11601,Agency Costs,Eden Brown Synergy Ltd,45118.041666666664,1443,1731.6,1443
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,11601,Agency Costs,Eden Brown Synergy Ltd,45118.041666666664,1755,2106,1755
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,11601,Agency Costs,Eden Brown Synergy Ltd,45118.041666666664,1365,1638,1365
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,11601,Agency Costs,Eden Brown Synergy Ltd,45118.041666666664,2028,2433.6,2028
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,11601,Agency Costs,Eden Brown Synergy Ltd,45134.041666666664,1521,1825.2,1521
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,11601,Agency Costs,Eden Brown Synergy Ltd,45134.041666666664,1599,1918.8,1599
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,11601,Agency Costs,Eden Brown Synergy Ltd,45134.041666666664,1248,1497.6,1248
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,21201,R&M - Buildings - Reactive,Wright Construction,45125.041666666664,2000,2400,2000
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,22501,Rent,,45114.041666666664,822.84,822.84,822.84
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,43506,Professional Fees - Legal,Cornwall Council,45120.041666666664,837.8,1005.36,837.8
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600101,Better Care Fund,47013,Grants & Conts to Other Bodies - Discretionary,NHS Cornwall and the Isles of Scilly ICB,45113.041666666664,10552,10552,10552
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600101,Better Care Fund,47013,Grants & Conts to Other Bodies - Discretionary,Age UK Cornwall & The Isles of Scilly (Age Concern In Cornwall & The Isles of Scilly),45114.041666666664,3375,3375,3375
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600103,Short and Long Term Support 18-64,57053,Independent Schools - Private Contractors,Autism West Midlands,45128.041666666664,9413.84,9413.84,9413.84
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600103,Short and Long Term Support 18-64,62004,Direct Payments,One Off Payments,45135.041666666664,1232,1232,1232
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600104,Short and Long Term Support 65,57066,Independent Meals at Home - Private Contractors,Cornwall Partnership NHS Foundation Trust,45113.041666666664,1720,2064,1720
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600104,Short and Long Term Support 65,57066,Independent Meals at Home - Private Contractors,Cornwall Partnership NHS Foundation Trust,45134.041666666664,1410,1692,1410
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,,45120.041666666664,880,880,880
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Newcross Healthcare Solutions Ltd,45127.041666666664,2969.79,2969.79,2969.79
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Nurse Plus,45111.041666666664,3495.15,3495.15,3495.15
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Nurse Plus,45118.041666666664,4833.19,4833.19,4833.19
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Nurse Plus,45132.041666666664,4136.53,4136.53,4136.53
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Kistvaen,45118.041666666664,920,920,920
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Sibleys Island Homes,45113.041666666664,1990,1990,1990
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Sibleys Island Homes,45125.041666666664,1000,1000,1000
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Sibleys Island Homes,45125.041666666664,725,725,725
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Synergy Carers Ltd,45132.041666666664,2124,2124,2124
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,TXM Healthcare Ltd,45118.041666666664,1036.05,1243.26,1036.05
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,TXM Healthcare Ltd,45118.041666666664,736.65,883.98,736.65
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,TXM Healthcare Ltd,45120.041666666664,1208.68,1450.42,1208.68
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,TXM Healthcare Ltd,45120.041666666664,1318.3,1581.96,1318.3
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,TXM Healthcare Ltd,45132.041666666664,1045.2,1254.24,1045.2
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,TXM Healthcare Ltd,45132.041666666664,1368.2,1641.84,1368.2
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,,45111.041666666664,780,780,780
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,,45118.041666666664,520,520,520
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Sibleys Island Homes,45132.041666666664,700,700,700
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,21101,R&M - Buildings - Planned,P & P Lifts Ltd,45125.041666666664,682,818.4,682
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,21101,R&M - Buildings - Planned,Wright Construction,45125.041666666664,1300,1560,1300
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,21201,R&M - Buildings - Reactive,Dormakaba UK Ltd,45113.041666666664,566.03,679.24,566.03
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,22501,Rent,,45114.041666666664,655,655,655
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,22501,Rent,,45114.041666666664,1100,1100,1100
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,22501,Rent,Sibleys Island Homes,45114.041666666664,950,950,950
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,22501,Rent,Sibleys Island Homes,45134.041666666664,1356.62,1356.62,1356.62
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,24001,Water,South West Water Ltd,45132.041666666664,592.5,592.5,592.5
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,25003,Fire Equipment,Advanced Fire and Security South West Ltd,45118.041666666664,419,502.8,419
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,41304,Cleaning & Domestic Materials,Protec Healthcare LLP,45111.041666666664,1083.61,1300.33,1083.61
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,42001,Catering - Provisions,Booker Ltd,45113.041666666664,38.87,806.82,799.05
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,42001,Catering - Provisions,Booker Ltd,45113.041666666664,760.18,806.82,799.05
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,42001,Catering - Provisions,The Store (IOS) Ltd,45134.041666666664,212.9,539.35,496.79
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,42001,Catering - Provisions,The Store (IOS) Ltd,45134.041666666664,283.89,539.35,496.79
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,46103,Hotel Expenses,Star Castle Hotel,45118.041666666664,425,510,425
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600113,Early Year Provision,21236,R&M - Playgrounds - Reactive,The Play Inspection Company Ltd,45125.041666666664,995,1194,995
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600113,Early Year Provision,47001,Grants & Conts to Other Bodies - Non Discretionary,,45120.041666666664,623.36,623.36,623.36
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600127,C&YP Central Support Services,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45132.041666666664,1590.3,1908.36,1590.3
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600127,C&YP Central Support Services,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45132.041666666664,1287,1544.4,1287
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600127,C&YP Central Support Services,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45132.041666666664,820,984,820
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600127,C&YP Central Support Services,11601,Agency Costs,iPeople Solutions Ltd,45125.041666666664,3987.5,4785,3987.5
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600127,C&YP Central Support Services,11601,Agency Costs,iPeople Solutions Ltd,45125.041666666664,3190,3828,3190
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600127,C&YP Central Support Services,11601,Agency Costs,iPeople Solutions Ltd,45125.041666666664,3987.5,4785,3987.5
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600127,C&YP Central Support Services,28001,Maintenance of Grounds,Broxap Ltd,45125.041666666664,675,810,675
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600127,C&YP Central Support Services,43532,Professional Fees - Other,CSW Group Ltd,45113.041666666664,2750,3300,2750
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600127,C&YP Central Support Services,47002,Subscriptions,CSW Group Ltd,45113.041666666664,-2750,3300,2750
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600127,C&YP Central Support Services,47002,Subscriptions,CSW Group Ltd,45113.041666666664,2750,3300,2750
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45111.041666666664,1365,1638,1365
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45111.041666666664,820,984,820
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45111.041666666664,897,1076.4,897
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45111.041666666664,2917.5,3501,2917.5
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45111.041666666664,1326,1591.2,1326
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45111.041666666664,820,984,820
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45111.041666666664,1815,2178,1815
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45111.041666666664,1287,1544.4,1287
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45111.041666666664,820,984,820
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,iPeople Solutions Ltd,45111.041666666664,3300,3960,3300
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,iPeople Solutions Ltd,45111.041666666664,3987.5,4785,3987.5
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,iPeople Solutions Ltd,45111.041666666664,3190,3828,3190
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,31603,Other Public Transport,,45111.041666666664,650,650,650
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,43532,Professional Fees - Other,Wave Multi Academy Trust,45127.041666666664,3950,3950,3950
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,43532,Professional Fees - Other,Wave Multi Academy Trust,45132.041666666664,3950,3950,3950
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600133,CSC Short Break Care,57014,Client Related Personal Needs - Private Contractors,,45111.041666666664,1850,1850,1850
51 Council of the Isles of Scilly,"Place, Economy and Environment",Environmental Services.,600200,Environmental Health & Food,43610,Water Sample Testing,South West Water Ltd,45120.041666666664,1115.93,1339.12,1115.93
51 Council of the Isles of Scilly,"Place, Economy and Environment",Environmental Services.,600200,Environmental Health & Food,43610,Water Sample Testing,South West Water Ltd,45127.041666666664,717.42,860.9,717.42
51 Council of the Isles of Scilly,"Place, Economy and Environment",Environmental Services.,600200,Environmental Health & Food,94424,Membership Fees,RH Environmental Ltd,45113.041666666664,600,720,600
51 Council of the Isles of Scilly,People and Communities,Learning and Library.,600210,Adult Education,12301,Training,Kernow Training Ltd,45111.041666666664,2167.28,2167.28,2167.28
51 Council of the Isles of Scilly,People and Communities,Learning and Library.,600210,Adult Education,12301,Training,The Play Inspection Company Ltd,45127.041666666664,-2895,3254,2895
51 Council of the Isles of Scilly,People and Communities,Learning and Library.,600210,Adult Education,12301,Training,The Play Inspection Company Ltd,45127.041666666664,1100,3254,2895
51 Council of the Isles of Scilly,People and Communities,Learning and Library.,600210,Adult Education,12301,Training,The Play Inspection Company Ltd,45127.041666666664,1795,3254,2895
51 Council of the Isles of Scilly,People and Communities,Learning and Library.,600210,Adult Education,12301,Training,The Play Inspection Company Ltd,45127.041666666664,2895,3254,2895
51 Council of the Isles of Scilly,People and Communities,Learning and Library.,600212,Customer Hub,41101,Office Equipment,ESPO Eastern Shires Purchasing Organisation,45134.041666666664,794.45,953.34,794.45
51 Council of the Isles of Scilly,People and Communities,Learning and Library.,600212,Customer Hub,45301,Postage/Franking Charges,Francotyp-Postalia Ltd,45128.041666666664,733.07,879.69,733.07
