Organisation name,Effective date,Cost Centre,Supplier (Beneficiary) details,Payment date,Transaction number,Amount,Purpose of spend
Somerset Council,2023-09-30 00:00:00,Baltonsborough Primary School,Baltonsborough Village Hall And Playing Field Trust,2023-07-03 00:00:00,SC01-000027896|SC-ISC-100015032|S0000013|5642151640,1060.15,Grounds Maintenance - Planned Grounds Maintenance
Somerset Council,2023-09-30 00:00:00,North Newton Primary School,Eastern Shires Purchasing Organisat,2023-07-03 00:00:00,SC01-000027764|SC-ISC-100015053|S0007257|5642152511,577.55,Equip Furn Mat - Loose Furniture LR
Somerset Council,2023-09-30 00:00:00,North Newton Primary School,Eastern Shires Purchasing Organisat,2023-07-03 00:00:00,SC01-000027764|SC-ISC-100015055|S0007257|5642152513,560.3,Equip Furn Mat - Equipment - Teaching (schools only)
Somerset Council,2023-09-30 00:00:00,High Ham Primary School,Parrett House Catering Ltd,2023-07-03 00:00:00,SC01-000005708|SC-ISC-100014703|S0008006|5642055124,776.02,Catering - Catering
Somerset Council,2023-09-30 00:00:00,Eastover Primary School,2IT Systems Limited,2023-07-03 00:00:00,SC01-000027532|SC-ISC-100014945|S0009168|5642084674,4290,Computing Costs - ICT - Hardware
Somerset Council,2023-09-30 00:00:00,South Petherton Infants School,Figs Catering Ltd,2023-07-03 00:00:00,SC01-000027415|SC-ISC-100014870|S0009429|5642080853,1090,Catering - Contract Catering
Somerset Council,2023-09-30 00:00:00,Tintinhull St Margarets School,Figs Catering Ltd,2023-07-03 00:00:00,SC01-000027522|SC-ISC-100014938|S0009429|5642083435,505.3,Catering - Catering
Somerset Council,2023-09-30 00:00:00,Residential Placements,Cambian Childcare Ltd,2023-07-03 00:00:00,SC01-000026045|16731|S0009715|5642152963,23480.76,TPP Other - Purchased Services - Personal Care
Somerset Council,2023-09-30 00:00:00,Residential Placements,Cambian Childcare Ltd,2023-07-03 00:00:00,SC01-000026048|16734|S0009715|5642082430,17515.62,TPP Other - Purchased Services - Personal Care
Somerset Council,2023-09-30 00:00:00,St Johns Primary Sch (Frome),An Apple A Day Supply Limited,2023-07-03 00:00:00,SC01-000027520|SC-ISC-100014931|S0009876|5642083428,2752.5,Employee Agency
Somerset Council,2023-09-30 00:00:00,Recharg - TTRO,Airband Community Internet Ltd,2023-07-03 00:00:00,SC01-000023935|SC-SID-100005687|S0010256|5642148978,1375,Other Income - Recoupment
Somerset Council,2023-09-30 00:00:00,Westonzoyland Primary School,Education People Ltd,2023-07-03 00:00:00,SC01-000027539|SC-ISC-100014952|S0011439|5642083680,525,Employee Agency
Somerset Council,2023-09-30 00:00:00,St Bartholomews Primary School,Computeam Limited,2023-07-03 00:00:00,SC01-000027509|SC-ISC-100014905|S0012227|5642084105,606.75,Internal - Learning Resources (non ICT)
Somerset Council,2023-09-30 00:00:00,North Newton Primary School,Computeam Limited,2023-07-03 00:00:00,SC01-000027764|SC-ISC-100015048|S0012227|5642152506,1744,Computing Costs - ICT - Mobile Phones
Somerset Council,2023-09-30 00:00:00,Eastover Primary School,Wonde Ltd - Evouchers,2023-07-03 00:00:00,SC01-000027532|SC-ISC-100014948|S0012476|5642084677,8040,Catering - Catering
Somerset Council,2023-09-30 00:00:00,Westonzoyland Primary School,Educational Equipment Supplies Ltd,2023-07-03 00:00:00,SC01-000027539|SC-ISC-100014951|S0012328|5642083679,1050,Employee Agency
Somerset Council,2023-09-30 00:00:00,North Newton Primary School,Wonde Ltd - Evouchers,2023-07-03 00:00:00,SC01-000027764|SC-ISC-100015063|S0012476|5642152521,660,Catering - Catering
Somerset Council,2023-09-30 00:00:00,North Newton Primary School,Praestantia Technology Ltd,2023-07-03 00:00:00,SC01-000027764|SC-ISC-100015057|S0012756|5642152515,1635,Computing Costs - ICT - Hardware
Somerset Council,2023-09-30 00:00:00,St John's School Wellington,ASDA Stores Limited,2023-07-03 00:00:00,SC01-000027432|SC-ISC-100014883|S0013048|5642080949,4095,Catering - Catering
Somerset Council,2023-09-30 00:00:00,Personal Travel Pilot Project,[Redacted],2023-07-03 00:00:00,SC01-000000839|SC-SIN-100000210|S0013751|5637202754,655.4,Direct Transport - Pupil Transport - Special Facilities
Somerset Council,2023-09-30 00:00:00,St John's School Wellington,ANZUK Education Ltd,2023-07-03 00:00:00,SC01-000027412|SC-ISC-100014862|S0013639|5642080030,573,Employee Agency
Somerset Council,2023-09-30 00:00:00,Unregulated Placements,Young Futures,2023-07-03 00:00:00,SC01-000017466|13747|S0013833|5642152933,2097.9,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,Residential Placements,Empower Outreach Limited,2023-07-03 00:00:00,SC01-000017487|11247|S0014304|5642152934,13200,TPP Other - Purchased Services - Personal Care
Somerset Council,2023-09-30 00:00:00,Homecare (Disability) - South Somerset,Medgen Limited,2023-07-03 00:00:00,SC01-000022661|14646|S0014329|5642083757,602.2,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,Homecare (Disability) - South Somerset,Medgen Limited,2023-07-03 00:00:00,SC01-000022941|14746|S0014329|5642083758,605.4,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,Residential Placements,1848 Ltd,2023-07-03 00:00:00,SC01-000008296|5409|S0014357|5642152921,25517.14,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,Recharg - TTRO,Jurassic Fibre Ltd,2023-07-03 00:00:00,SC01-000023935|SC-SID-100005685|S0014986|5642148976,1250,Other Income - Recoupment
Somerset Council,2023-09-30 00:00:00,Heathfield Community School,Shepton Mallet Prison Ltd,2023-07-03 00:00:00,SC01-000027473|SC-ISC-100014884|S0015466|5642081276,843.75,Equip Furn Mat - Equipment - Teaching (schools only)
Somerset Council,2023-09-30 00:00:00,St Bartholomews Primary School,Martock Minibuses Ltd T/A Vickerys Coaches,2023-07-03 00:00:00,SC01-000027509|SC-ISC-100014907|S0015827|5642084107,600,Direct Transport - Pupil Transport
Somerset Council,2023-09-30 00:00:00,BST 2 HMRC VAT - Control Account,Aves Contract Services Ltd,2023-07-03 00:00:00,SC01-000026460|16999|S0015991|5642058119,3350.2,BST HMRC - Control Account - Input VAT
Somerset Council,2023-09-30 00:00:00,BST 2 HMRC VAT - Control Account,Aves Contract Services Ltd,2023-07-03 00:00:00,SC01-000026461|17000|S0015991|5642058120,6451.44,BST HMRC - Control Account - Input VAT
Somerset Council,2023-09-30 00:00:00,Cutcombe Primary School,Tracie Skinner t/a PurePools,2023-07-03 00:00:00,SC01-000026895|SC-ISC-100014671|S0016493|5642054198,739.17,Grounds Maintenance - Planned Grounds Maintenance
Somerset Council,2023-09-30 00:00:00,Avalon Special School,Sedgemoor Tree Services Ltd,2023-07-03 00:00:00,SC01-000027475|SC-ISC-100014885|S0016492|5642081277,2397.92,Fees & Hired - Prof/Tech Serv Grounds
Somerset Council,2023-09-30 00:00:00,Personal Travel Pilot Project,[Redacted],2023-07-03 00:00:00,SC01-000027853|SC-SIN-100003287|S0021427|5642151252,523.6,Direct Transport - Pupil Transport - Special Facilities
Somerset Council,2023-09-30 00:00:00,Personal Travel Pilot Project,[Redacted],2023-07-03 00:00:00,SC01-000027853|SC-SIN-100003288|S0021427|5642151253,523.6,Direct Transport - Pupil Transport - Special Facilities
Somerset Council,2023-09-30 00:00:00,BEREAVEMENT SERVICES - TAUNTON,College Way Surgery,2023-07-03 00:00:00,SC01-000027893|SC-SID-100005689|S0017002|5642151078,7640.5,Fees & Hired - Medical Examinations
Somerset Council,2023-09-30 00:00:00,Tton LT Phys Support - Direct Payments,[Redacted],2023-07-03 00:00:00,SC01-000027140|SC-IAS-100005602|S0032573|5642082267,4807.92,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,Asst to Families - Sedgemoor,Project One Alternative Provision L,2023-07-03 00:00:00,SC01-000024677|15873|S0033159|5642084945,825,TPP Payments To Clients - Awards - Holidays & Outings
Somerset Council,2023-09-30 00:00:00,BST 2 Inventories - Consumables Stores,Cromwell Polythene Ltd,2023-07-03 00:00:00,SC01-000025501|17099|S0034084|5642077231,875.7,BST Inventories - Purchase Stock
Somerset Council,2023-09-30 00:00:00,Homelessness,AJ Accommodation Ltd / The Town Hotel,2023-07-03 00:00:00,SC01-000026390|16939|S0035533|5642151161,650,Rents - Hire of Accommodation
Somerset Council,2023-09-30 00:00:00,Homelessness,AJ Accommodation Ltd / The Town Hotel,2023-07-03 00:00:00,SC01-000026391|16940|S0035533|5642151162,973,Rents - Hire of Accommodation
Somerset Council,2023-09-30 00:00:00,Homelessness,AJ Accommodation Ltd / The Town Hotel,2023-07-03 00:00:00,SC01-000026392|16941|S0035533|5642151163,1365,Rents - Hire of Accommodation
Somerset Council,2023-09-30 00:00:00,Homelessness,Thornbury BnB,2023-07-03 00:00:00,SC01-000026159|16806|S0035903|5642083048,630,Rents - Hire of Accommodation
Somerset Council,2023-09-30 00:00:00,Homelessness,Building Recruitment Company Ltd,2023-07-03 00:00:00,SC01-000023862|15399|S0036244|5642149875,879.35,Employee Agency
Somerset Council,2023-09-30 00:00:00,Homelessness,Building Recruitment Company Ltd,2023-07-03 00:00:00,SC01-000027310|17682|S0036244|5642083051,1331.58,Employees Other - Recruitment Expenses
Somerset Council,2023-09-30 00:00:00,Development Management,3R Finance,2023-07-03 00:00:00,SC01-000019459|12668|S0037179|5642031489,720,Employee Agency
Somerset Council,2023-09-30 00:00:00,Recharg - TTRO,Wales & West Utilities Ltd,2023-07-03 00:00:00,SC01-000023935|SC-SID-100005686|S0037495|5642148977,1250,Other Income - Recoupment
Somerset Council,2023-09-30 00:00:00,St Johns Primary Sch (Frome),J Bailey & Sons Ltd,2023-07-03 00:00:00,SC01-000027520|SC-ISC-100014936|S0037564|5642083433,1485,Premises Other - Building Work - Revenue
Somerset Council,2023-09-30 00:00:00,Eastover Primary School,Berrys Coaches (Taunton) Ltd,2023-07-03 00:00:00,SC01-000027532|SC-ISC-100014946|S0037625|5642084675,550,Direct Transport - Pupil Transport
Somerset Council,2023-09-30 00:00:00,Adoption Support Fund SGO,Dorset Vehicle Rentals,2023-07-03 00:00:00,SC01-000018482|12007|S0037983|5642084911,1488,Car Allowances - Vehicle Mileage Allowance
Somerset Council,2023-09-30 00:00:00,Development Management,Potterton Associates Ltd,2023-07-03 00:00:00,SC01-000023164|14932|S0038511|5642082178,760.6,Fees & Hired - Consultant & Professional Fees
Somerset Council,2023-09-30 00:00:00,Westlands Leisure Complex,T.R.U Event Security & Consultancy,2023-07-03 00:00:00,SC01-000000596|17469|S0038793|5642082028,2087,Sup & Serv Oth - Performance Costs
Somerset Council,2023-09-30 00:00:00,Ilchester Primary School,WATER2BUSINESS,2023-07-03 00:00:00,SC01-000028028|SC-ISC-100015102|S0039175|5642153280,1050.83,Water - Water Charges / Sewer
Somerset Council,2023-09-30 00:00:00,Communications & Marketing General,DELIB LIMITED,2023-07-03 00:00:00,SC01-000015782|10190|S0040128|5642083009,36190,Fees & Hired - Fees & Hired
Somerset Council,2023-09-30 00:00:00,Elmwood Special School,[Redacted],2023-07-03 00:00:00,SC01-000010632|SC-ISC-100009367|S0041741|5640999279,1150,Fees & Hired - Prof/Tech Serv Non-Curric
Somerset Council,2023-09-30 00:00:00,Avalon Special School,[Redacted],2023-07-03 00:00:00,SC01-000018579|SC-ISC-100009301|S0041741|5640797713,575,Fees & Hired - Prof/Tech Serv Curric
Somerset Council,2023-09-30 00:00:00,Avalon Special School,[Redacted],2023-07-03 00:00:00,SC01-000018579|SC-ISC-100009302|S0041741|5640797714,575,Fees & Hired - Prof/Tech Serv Curric
Somerset Council,2023-09-30 00:00:00,The Bridge School,[Redacted],2023-07-03 00:00:00,SC01-000020514|SC-ISC-100010286|S0041741|5641122889,575,Fees & Hired - Prof/Tech Serv Curric
Somerset Council,2023-09-30 00:00:00,The Bridge School,[Redacted],2023-07-03 00:00:00,SC01-000020532|SC-ISC-100010339|S0041741|5641121768,1150,Fees & Hired - Prof/Tech Serv Curric
Somerset Council,2023-09-30 00:00:00,Fiveways Teaching School,[Redacted],2023-07-03 00:00:00,SC01-000020714|SC-ISC-100014587|S0041741|5642051913,650,Salaries - Basic Pay - Instructors
Somerset Council,2023-09-30 00:00:00,The Bridge School,[Redacted],2023-07-03 00:00:00,SC01-000022654|SC-ISC-100012134|S0041741|5641399140,575,Fees & Hired - Prof/Tech Serv Curric
Somerset Council,2023-09-30 00:00:00,ICT Comms - WAN,BT PLC,2023-07-03 00:00:00,SC01-000024667|15868|S0042788|5642016069,5450.4,Computing Costs - ICT - Wide Area Network (WAN)
Somerset Council,2023-09-30 00:00:00,Westonzoyland Primary School,GLS EDUCATIONAL SUPPLIES LTD,2023-07-03 00:00:00,SC01-000027539|SC-ISC-100014954|S0042806|5642083682,643.86,Equip Furn Mat - Equipment - Teaching (schools only)
Somerset Council,2023-09-30 00:00:00,Fostering Placements,Action for Children Services Ltd,2023-07-03 00:00:00,SC01-000027692|17799|S0043002|5642152971,4123,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,Fostering Placements,Action for Children Services Ltd,2023-07-03 00:00:00,SC01-000027693|17800|S0043002|5642152972,4144.08,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,Knights Templar Primary School,Harry Singer ta Singer Instruments,2023-07-03 00:00:00,SC01-000011475|SC-ISC-100014718|S0044271|5642054488,1000,Premises Other - Swimming Pool Maintenance
Somerset Council,2023-09-30 00:00:00,AONB Core Costs Mendip,Gerald Wiliams t/a Bristol Plain Farm,2023-07-03 00:00:00,SC01-000026211|SC-SID-100005557|S0044259|5642022523,989.21,TPP Payments To Clients - Grants - Other
Somerset Council,2023-09-30 00:00:00,Tton LT Phys Support - Direct Payments,[Redacted],2023-07-03 00:00:00,SC01-000027497|SC-IAS-100005603|S0044305|5642082268,1906.77,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,BST 2 HMRC VAT - Control Account,Badenoch & Clark,2023-07-04 00:00:00,SC01-000027854|SC-SIN-100003424|S0000189|5642174617,509.22,BST HMRC - Control Account - Input VAT
Somerset Council,2023-09-30 00:00:00,Contraception,Wells City Practice,2023-07-04 00:00:00,SC01-000026535|SC-SID-100005621|S0000697|5642055296,531.13,TPP Other - Contract Payment
Somerset Council,2023-09-30 00:00:00,SSom LT Phys Support - Homecare,Care South,2023-07-04 00:00:00,SC01-000027028|17459|S0000965|5642155829,1300.45,TPP Other - Purchased Services - Personal Care
Somerset Council,2023-09-30 00:00:00,ASC MH Home Care,Care South,2023-07-04 00:00:00,SC01-000027262|17641|S0000965|5642156508,625,TPP Other - Purchased Services - Personal Care
Somerset Council,2023-09-30 00:00:00,SSom LT Phys Support - Homecare,Care South,2023-07-04 00:00:00,SC01-000027307|17696|S0000965|5642155833,715.16,Fees & Charges - Other Fees & Charges Income
Somerset Council,2023-09-30 00:00:00,ASC MH Home Care,Care South,2023-07-04 00:00:00,SC01-000027393|17698|S0000965|5642158671,518.75,TPP Other - Purchased Services - Personal Care
Somerset Council,2023-09-30 00:00:00,BST 3 Short Term Creditor - Other Organisations/Individuals,Southern Microbiological Services Limited,2023-07-04 00:00:00,SC01-000016203|SC-SIN-100003347|S0001184|5642172075,4574.4,BST AP Supplier Returned Payments
Somerset Council,2023-09-30 00:00:00,Contraception,Taunton Vale Healthcare,2023-07-04 00:00:00,SC01-000026535|SC-SID-100005615|S0001401|5642055290,796.47,TPP Other - Contract Payment
Somerset Council,2023-09-30 00:00:00,LD Supp Living Mdp,InFocus Charity,2023-07-04 00:00:00,SC01-000024968|16054|S0001890|5642157611,3028.2,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Shared Lives SaWS,[Redacted],2023-07-04 00:00:00,SC01-000025321|16233|S0002127|5642156450,7164.44,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Supp Living SaWS,Voyage Limited,2023-07-04 00:00:00,SC01-000003571|16925|S0002227|5642156056,4778.1,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Supp Living SaWS,Voyage Limited,2023-07-04 00:00:00,SC01-000026000|16689|S0002227|5642157616,5335.32,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Supp Living SaWS,Voyage Limited,2023-07-04 00:00:00,SC01-000026001|16690|S0002227|5642157617,4312.42,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Supp Living SaWS,Voyage Limited,2023-07-04 00:00:00,SC01-000026002|16691|S0002227|5642157618,5515.24,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Supp Living SaWS,Voyage Limited,2023-07-04 00:00:00,SC01-000026003|16692|S0002227|5642157619,5050.32,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Supp Living SaWS,Voyage Limited,2023-07-04 00:00:00,SC01-000026004|16693|S0002227|5642157620,5124,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Supp Living Tton,Voyage Limited,2023-07-04 00:00:00,SC01-000026005|16694|S0002227|5642157621,5027.04,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Supp Living SaWS,Voyage Limited,2023-07-04 00:00:00,SC01-000026006|16695|S0002227|5642157622,3439.06,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Supp Living Tton,Voyage Limited,2023-07-04 00:00:00,SC01-000026007|16696|S0002227|5642157623,7080.96,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Supp Living SaWS,Voyage Limited,2023-07-04 00:00:00,SC01-000026008|16697|S0002227|5642157624,4870.68,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Supp Living SaWS,Voyage Limited,2023-07-04 00:00:00,SC01-000026009|16698|S0002227|5642157625,4361.76,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Supp Living Tton,Voyage Limited,2023-07-04 00:00:00,SC01-000026378|16926|S0002227|5642157627,4781.16,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Residential Tton,[Redacted],2023-07-04 00:00:00,SC01-000027719|17884|S0002302|5642156516,7255.67,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Residential Tton,[Redacted],2023-07-04 00:00:00,SC01-000027720|17885|S0002302|5642156517,7039.39,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Residential SaWS,[Redacted],2023-07-04 00:00:00,SC01-000027722|17887|S0002302|5642156518,7376.36,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Residential SaWS,[Redacted],2023-07-04 00:00:00,SC01-000027723|17888|S0002302|5642156519,6559.5,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,Bowlish Infant School,Arleen Coach Hire & Services Ltd,2023-07-04 00:00:00,SC01-000028164|SC-ISC-100015177|S0002332|5642155845,655,Sup & Serv Oth - Visits & Activities
Somerset Council,2023-09-30 00:00:00,Concessionary Fares Management,Ridlers Ltd,2023-07-04 00:00:00,SC01-000027985|SC-SID-100005695|S0002363|5642154792,1355,Sup & Serv Oth - Contractors Costs - Not 3rd Party
Somerset Council,2023-09-30 00:00:00,Home to School Transport,Ridlers Ltd,2023-07-04 00:00:00,SC01-000028287|SC-IST-100001769|S0002363|5642158593,6222.2,Vehicle Contract Hire/Op Leases - Vehicle Hire
Somerset Council,2023-09-30 00:00:00,Home to School Transport,Ridlers Ltd,2023-07-04 00:00:00,SC01-000028287|SC-IST-100001770|S0002363|5642158594,4774.14,Vehicle Contract Hire/Op Leases - Vehicle Hire
Somerset Council,2023-09-30 00:00:00,Home to School Transport,Ridlers Ltd,2023-07-04 00:00:00,SC01-000028287|SC-IST-100001771|S0002363|5642158595,5426,Vehicle Contract Hire/Op Leases - Vehicle Hire
Somerset Council,2023-09-30 00:00:00,Home to School Transport,Ridlers Ltd,2023-07-04 00:00:00,SC01-000028287|SC-IST-100001772|S0002363|5642158596,5439,Vehicle Contract Hire/Op Leases - Vehicle Hire
Somerset Council,2023-09-30 00:00:00,Home to School Transport,Ridlers Ltd,2023-07-04 00:00:00,SC01-000028287|SC-IST-100001773|S0002363|5642158597,3880,Vehicle Contract Hire/Op Leases - Vehicle Hire
Somerset Council,2023-09-30 00:00:00,Home to School Transport,Ridlers Ltd,2023-07-04 00:00:00,SC01-000028287|SC-IST-100001774|S0002363|5642158598,5331,Vehicle Contract Hire/Op Leases - Vehicle Hire
Somerset Council,2023-09-30 00:00:00,Home to School Transport,Ridlers Ltd,2023-07-04 00:00:00,SC01-000028287|SC-IST-100001775|S0002363|5642158599,5439,Vehicle Contract Hire/Op Leases - Vehicle Hire
Somerset Council,2023-09-30 00:00:00,Home to School Transport,Ridlers Ltd,2023-07-04 00:00:00,SC01-000028287|SC-IST-100001776|S0002363|5642158600,5983.8,Vehicle Contract Hire/Op Leases - Vehicle Hire
Somerset Council,2023-09-30 00:00:00,Home to School Transport,Ridlers Ltd,2023-07-04 00:00:00,SC01-000028287|SC-IST-100001777|S0002363|5642158601,4513.2,Vehicle Contract Hire/Op Leases - Vehicle Hire
