Organisation Name,Organisation Code,Organisational Structure Tier 1(T),Cost Centre(T),Cost Centre,Supplier ID(T),Supplier ID,Pay Date,Trans Number,Net Amount,Account(T),Account,Proclass Level 1,Proclass Level 1 - code,Proclass Level 2,Proclass Level 2 - code,Proclass Level 3,Proclass Level 3 - code
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Adults,Northwich Adult Community Social Care team,R202105,ICS Operations Limited T/A Xyla Health and Social,12531469,45201,12300200208,4693,Service Charges,R2205,Human Resources,P1018,Recruitment & Assessment,P2156,Recruitment & Assessment,P3214
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,School Finance Leases,R162078,Societe Generale Equipment Finance Limited,12502226,45201,12300200460,4450.77,Equipment - Lease,R4002,Financial Services,P1011,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Domm and Comm,R160903,Medgen Limited,12521055,45201,12300200416,3929.08,Services - Professional Fees,R4400,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Economic Growth,C300009,Curtins Consulting Limited,12503341,45201,12300193358,3900,External Professional Fees,C6002,Consultancy,P1006,Technical & Feasibility,P2053,Technical & Feasibility,P3075
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Culture & Leisure,C300008,Carbon Reduction Technology Ltd,12530718,45201,12300199983,3780,"Conversion, Renovation & Improvement",C1101,Facilities & Management Services,P1010,Property Management,P2091,Property Management,P3137
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Forum Shopping Centre,R309101,Legat Owen Client Account,12500368,45201,12300198748,3750,Services - Professional Fees,R4400,Consultancy,P1006,Property,P2051,Property,P3073
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Adults,Northwich Adult Community Social Care team,R202105,ICS Operations Limited T/A Xyla Health and Social,12531469,45201,12300200205,3251,Service Charges,R2205,Human Resources,P1018,Recruitment & Assessment,P2156,Recruitment & Assessment,P3214
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Domm and Comm,R160903,Medgen Limited,12521055,45201,12300200325,3153.08,Services - Professional Fees,R4400,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Community Safety,R302710,Community Safety Professionals Training,12531009,45201,12300200463,3135,Training Expenses,R1650,Human Resources,P1018,Training & Conferences,P2158,Training,P3224
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Employment Support,R307100,Inclusive Training CIC,12534091,45201,12300200193,3000,Services - Professional Fees,R4400,Human Resources,P1018,Training & Conferences,P2158,Training,P3224
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Homelessness Reduction Act,R306010,Laura Paterson Ltd,12528915,45201,12300198886,2787.8,Services - Professional Fees,R4400,Consultancy,P1006,Business,P2047,Business,P3067
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Adults,Comm MH Team CH&EP Team,R202106,Stonham Housing Association Ltd,12503202,45201,129000469035,2776.72,TPP - Care Expense,R5701,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Adults,Comm MH Team CH&EP Team,R202106,Stonham Housing Association Ltd,12503202,45201,129000469036,2776.72,TPP - Care Expense,R5701,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Overleigh Cemetery,R302424,Blackwells Stonecraft Ltd,12502095,45201,12300200454,2770,Training Expenses,R1650,Cemetery & Crematorium,P1003,Burial & Cremation,P2034,Burial & Cremation,P3042
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Property,C300010,Ramboll UK Limited,12500254,45201,12300200238,2676,"Conversion, Renovation & Improvement",C1101,Consultancy,P1006,Business,P2047,Business,P3067
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Reference Book Fund,R301924,JCS Online Resources Ltd,12505775,45201,12300200175,2662.86,Subscriptions,R4701,Education,P1008,Supplies,P2068,Supplies,P3092
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Domm and Comm,R160903,Medgen Limited,12521055,45201,12300200305,2632.93,Services - Professional Fees,R4400,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Domm and Comm,R160903,Medgen Limited,12521055,45201,12300200310,2632.93,Services - Professional Fees,R4400,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Overleigh Cemetery,R302424,Blackwells Stonecraft Ltd,12502095,45201,12300200455,2560,Training Expenses,R1650,Cemetery & Crematorium,P1003,Burial & Cremation,P2034,Burial & Cremation,P3042
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Indep Non-Maint Spec Sch,R161069,Reflexion Care Group Limited,12532912,45201,12300200559,2471.56,Services - Fees and Charges,R4401,Social Community Care Supplies & Services - Children,P1025,Respite,P2194,Respite,P3288
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Indep Non-Maint Spec Sch,R161069,Firs Education Ltd,12500634,45201,12300200338,2375,Services - Fees and Charges,R4401,Education,P1008,School Services,P2066,School Services,P3088
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Domm and Comm,R160903,Medgen Limited,12521055,45201,12300200417,2354.05,Services - Professional Fees,R4400,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Waste & Environment,C300004,Helsby Parish Council,12500595,45201,12300200013,2318,"Conversion, Renovation & Improvement",C1101,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Domm and Comm,R160903,AJ And Friends C.I.C,12527571,45201,12300200385,2150,Services - Professional Fees,R4400,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Customer Services,R301000,Allied Publicity Services (Manchester) Limited T/A Aps Group,12518074,45201,12300200461,2131.47,Materials,R4007,Health & Safety,P1013,Products,P2119,Products,P3175
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Economic Growth,C300009,Curtins Consulting Limited,12503341,45201,12300198347,1950,External Professional Fees,C6002,Consultancy,P1006,Technical & Feasibility,P2053,Technical & Feasibility,P3075
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Early Yrs Consultants,R162036,Can I Go And Play Now LTD,12535137,45201,12300199905,1850,Training Expenses,R1650,Education,P1008,Literature,P2063,Literature,P3085
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,CCTV,R302600,Synectics Security Limited,12502112,45201,12300200111,1816.2,Services - Fees and Charges,R4401,Facilities & Management Services,P1010,Security,P2097,Closed-Circuit Television,P3145
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,CPP Perm Hub Winsford,R160663,AJ And Friends C.I.C,12527571,45201,12300200104,1750,Services - Fees and Charges,R4401,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Capital - Corporate,C400001,Vectos (North) Limited,12527954,45201,12300199436,1703.1,External Professional Fees,C6002,Consultancy,P1006,Business,P2047,Business,P3067
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Northgate Market Chester,R309256,Plasma Clean Air Limited,12535110,45201,12300200113,1635,Equipment - R & M,R4003,Cleaning & Janitorial,P1004,Cleaning Service,P2038,Specialist,P3051
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Indep Non-Maint Spec Sch,R161069,Firs Education Ltd,12500634,45201,12300200293,1500,Services - Fees and Charges,R4401,Education,P1008,School Services,P2066,School Services,P3088
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,StreetCare Delivery,R300201,Cromwell Polythene Ltd,12510964,45201,12300199613,1355,Materials,R4007,Environmental Services,P1009,Waste Management,P2079,Waste Collection,P3119
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,School Finance Leases,R162078,Grenke Leasing Ltd,12504561,45201,12300200222,1297.98,Photocopier Operating Lease,R4304,Facilities & Management Services,P1010,Reprographics,P2094,Reprographics,P3140
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Youth Service,R163400,The Neuromuscular Centre,12501674,45201,12300199896,1112.5,Grant Payments,R4700,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Additonal Learning Needs,R161070,Randstad Solutions Limited,12503988,45201,12300200549,1030,Services - Professional Fees,R4400,Human Resources,P1018,Temporary & Agency Staff,P2157,Temporary & Agency Staff,P3215
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,StreetCare Delivery,R300201,F R Sharrock Ltd,12501243,45201,12300199432,1020,Hire of Vehicles,R3200,Vehicle Management,P1030,Leasing,P2162,Leasing,P3229
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Blacon Cemetery,R302423,Blackwells Stonecraft Ltd,12502095,45201,12300200457,1010,Training Expenses,R1650,Cemetery & Crematorium,P1003,Burial & Cremation,P2034,Burial & Cremation,P3042
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Castle Park,R309413,Private & Industrial Cleaning Services Ltd,12502928,45201,12300199880,888.44,Contract Cleaning,R2700,Cleaning & Janitorial,P1004,Cleaning Service,P2038,Cleaning Service,P3048
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Business Growth Team,R307050,Tmc Creative T/A Tmc Strategic Communications,12524383,45201,12300199887,870,Marketing \ Non-staff advertising,R4317,Consultancy,P1006,Business,P2047,Business,P3067
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,CP PP Court Care Plan EP,R160228,East Northants Child Contact Services - CIC,12533782,45201,12300200126,810,Services - Professional Fees,R4400,Information Communication Technology,P1019,Services,P2120,Services,P3176
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Economic Growth,C300009,Cheshire Scaffolds Ltd,12510063,45201,12300200465,800,External Professional Fees,C6002,"Works - Construction, Repair & Maintenance",P1031,Buildings,P2231,Construction,P3394
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,School Finance Leases,R162078,Grenke Leasing Ltd,12504561,45201,12300200367,767.88,Photocopier Operating Lease,R4304,Facilities & Management Services,P1010,Reprographics,P2094,Reprographics,P3140
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Adults,Winsford and Northwich ALD,R202109,REDACTED,12506027,45201,12300200341,687,Services - Professional Fees,R4400,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Overpool Cemetery,R302421,Blackwells Stonecraft Ltd,12502095,45201,12300200456,650,Training Expenses,R1650,Cemetery & Crematorium,P1003,Burial & Cremation,P2034,Burial & Cremation,P3042
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Overpool Cemetery,R302421,Grab And Shift Ltd,12513832,45201,12300200568,648,Services - Fees and Charges,R4401,Environmental Services,P1009,Waste Management,P2079,Waste Management,P3114
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Adoption Support Fund,R160614,Gateway Psychology Ltd,12504763,45201,12300199175,625,Services - Professional Fees,R4400,Healthcare,P1014,Counselling,P2123,Counselling,P3178
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Support Independence PC,R160400,Rely On Flooring,12513483,45201,12300199917,625,Services - Fees and Charges,R4401,Building Construction Materials,P1001,Floor Coverings,P2011,Floor Coverings,P3012
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Manager Total Environment,R308600,Ringwood Fencing Limited,12502878,45201,12300199977,608.75,Grounds Maintenance - Non Contract,R2076,"Works - Construction, Repair & Maintenance",P1031,Open Spaces,P2235,Open Spaces,P3401
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Management and Compliance,R307114,Solvendis Ltd,12509471,45201,12300200506,580,Services - Professional Fees,R4400,Human Resources,P1018,Training & Conferences,P2158,,
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Support Independence PC,R160400,Pathways Therapeutic Services,12531017,45201,12300199914,560,Services - Fees and Charges,R4401,Social Community Care Supplies & Services - Adult,P1024,"Advice, Advocacy & Counselling Services",P2182,"Advice, Advocacy & Counselling Services",P3274
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Woodlea Childrens Home,R160641,Woodlea Children's Home,12506354,45201,12300200424,551.57,Allowances and Assistance,R6304,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Property,C300010,Asbestos Associated UK Ltd,12534306,45201,12300198569,540,External Professional Fees,C6002,"Works - Construction, Repair & Maintenance",P1031,Buildings,P2231,Demolition & Asbestos Removal,P3395
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Domm and Comm,R160903,Medgen Limited,12521055,45201,12300200285,520.82,Services - Professional Fees,R4400,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Adults,CH&EP ALD Day Services,R204501,H Jenkinson & Co Ltd/Plc,12502408,45201,12300200302,519.48,Equipment - Purchase,R4000,Furniture & Soft Furnishings,P1012,Office Furniture,P2117,Office Furniture,P3173
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Additonal Learning Needs,R161070,Randstad Solutions Limited,12503988,45201,12300200547,515,Services - Professional Fees,R4400,Human Resources,P1018,Temporary & Agency Staff,P2157,Temporary & Agency Staff,P3215
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Dean O - Rudheath,R303606,Northwich Victoria Juniors FC,12535268,45201,12300199069,500,Grant Payments,R4700,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Economic Growth,C300009,Curtins Consulting Limited,12503341,45201,12300194529,-3900,External Professional Fees,C6002,Consultancy,P1006,Technical & Feasibility,P2053,Technical & Feasibility,P3075
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Central Billing - Com&Dev,R401400,Water Plus Limited,12513845,45201,12300199497,-30157.83,Water Services,R2400,Utilities,P1029,Water,P2222,Water,P3385
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,HRA,C300012,Forhousing,12508695,45202,12300198378,896034.22,"Conversion, Renovation & Improvement",C1101,Housing Management,P1017,Stock Management,P2151,Stock Management,P3209
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Housing Revenue Account,R304462,Forhousing,12508695,45202,12300195979,862072.95,TPP - Private Contractors,R5700,Housing Management,P1017,Stock Management,P2151,Stock Management,P3209
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Qwest Building Maint,R304430,Cowest Services Limted T/A Qwest Services,12505847,45202,12300200704,490448.83999999997,TPP - Private Contractors,R5700,Facilities & Management Services,P1010,Property Management,P2091,Property Management,P3137
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,HWRC Sites,R304455,H W Martin Waste Limited,12500295,45202,12300200708,226087.33,TPP - Private Contractors,R5700,Environmental Services,P1009,Waste Management,P2079,Waste Disposal,P3121
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Childrens,C200003,Sterling Services (Northern) Ltd,12535017,45202,12300199291,75274.83,External Professional Fees,C6002,"Works - Construction, Repair & Maintenance",P1031,Buildings,P2231,Construction,P3394
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Libraries,C300005,Recclesia Ltd,12524469,45202,12300198965,73216,External Professional Fees,C6002,Consultancy,P1006,Technical & Feasibility,P2053,Technical & Feasibility,P3075
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Treatment Contract,R304454,FCC Recycling (UK) Ltd,12513866,45202,12300200707,62984.59,TPP - Private Contractors,R5700,Environmental Services,P1009,Waste Management,P2079,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Indep Fostering,R160603,1st Affinity Fostering Service,12505106,45202,129000469193,55007.1,TPP - Care Expense,R5701,Social Community Care Supplies & Services - Children,P1025,Residential Services,P2202,Foster Care,P3331
