Organisation Name,Organisation Code,Organisational Structure Tier 1(T),Cost Centre(T),Cost Centre,Supplier ID(T),Supplier ID,Pay Date,Trans Number,Net Amount,Account(T),Account,Proclass Level 1,Proclass Level 1 - code,Proclass Level 2,Proclass Level 2 - code,Proclass Level 3,Proclass Level 3 - code
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,3+4 Year Old Funding,R161041,REDACTED,12500489,45293,129000504907,35893.62,Grant Payments,R4700,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Adults,Ellesmere Port Adult Community Social Care Team,R202101,Millbrook Healthcare Ltd,12533755,45293,12300217973,33890.89,Service Charges,R2205,Social Community Care Supplies & Services - Adult,P1024,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,3+4 Year Old Funding,R161041,REDACTED,12502008,45293,129000504910,33582.44,Grant Payments,R4700,Education,P1008,School Services,P2066,School Services,P3088
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,3+4 Year Old Funding,R161041,REDACTED,12501758,45293,129000504768,33226.12,Grant Payments,R4700,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,PA Tree Maintenance,R300323,Man Coed VM Ltd,12512030,45293,12300216425,28783.95,Grounds Maintenance - Contract,R2075,Horticultural,P1016,Trees & Shrubs,P2145,Trees & Shrubs,P3203
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,3+4 Year Old Funding,R161041,REDACTED,12506014,45293,129000504781,26063.74,Grant Payments,R4700,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Central Billing - Com&Dev,R401400,Babble Cloud (VIV) Limited,12506132,45293,12300217759,18738.23,Comms - Mobile Telephones,R4507,Information Communication Technology,P1019,Telecommunications,P2165,Mobile,P3248
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Safeguarding,R402100,REDACTED,12531821,45293,12300216811,18150,Services - Professional Fees,R4400,Legal Services,P1020,General Support,P2168,General Support,P3251
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Central Billing - Com&Dev,R401400,Dsi Billing Services Ltd,12534384,45293,12300217192,14773.3,Comms - Postage,R4503,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Mersey Forest General,R308800,Heathwood Nurseries Ltd,12531878,45293,12300216496,13938.34,Services - Fees and Charges,R4401,Horticultural,P1016,Trees & Shrubs,P2145,Trees & Shrubs,P3203
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Treatment Contract,R300803,Biffa Waste Services Ltd,12501755,45293,12300216615,13834.7,TPP - Private Contractors,R5700,Environmental Services,P1009,Waste Management,P2079,Waste Disposal,P3121
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Adults,Northwich Adult Community Social Care team,R202105,ICS Operations Limited T/A Xyla Health and Social,12531469,45293,12300216892,13331,Service Charges,R2205,Human Resources,P1018,Recruitment & Assessment,P2156,Recruitment & Assessment,P3214
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,3+4 Year Old Funding,R161041,REDACTED,12503267,45293,129000504865,12700.07,Grant Payments,R4700,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Public Health,Integrated Substance Misuse Service,R203112,VIA Community Ltd,12517869,45293,12300217452,12545.75,Services - Fees and Charges,R4401,Social Community Care Supplies & Services - Adult,P1024,Alcohol & Drug Rehabilitation,P2183,Alcohol & Drug Rehabilitation,P3275
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,TS Technical Support,R302250,CCL Solutions Group,12535575,45293,12300216895,12129.09,Services - Fees and Charges,R4401,Health & Safety,P1013,Services,P2120,,
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Billing and Debt,R401201,Dsi Billing Services Ltd,12534384,45293,12300217729,10912.61,Printing,R4300,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,3+4 Year Old Funding,R161041,REDACTED,12507050,45293,129000504946,10003.14,Grant Payments,R4700,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Insight and Intelligence,R404100,Local Government Information Unit,12500812,45293,12300221063,9968,Subscriptions,R4701,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Transport,C300007,Voxel Limited trading as Tricks Studio,12535438,45293,12300217095,8741.25,External Professional Fees,C6002,Arts & Leisure Services,P1000,Outsourced Service,P2003,Outsourced Service,P3004
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,StreetCare Delivery,R300201,Quantum Traffic Management (Northern) Limited,12527992,45293,12300216759,8500,Services - Fees and Charges,R4401,"Works - Construction, Repair & Maintenance",P1031,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Crematorium General,R302410,Matthews Environmental Solutions,12503325,45293,12300215634,8036.5,Equipment - R & M,R4003,Environmental Services,P1009,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Vehicle Provision Hire,R300751,SG Fleet Solutions UK Limited,12504487,45293,12300217772,7806.03,Vehicle Operating Lease,R3204,Vehicle Management,P1030,Leasing,P2162,Leasing,P3229
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Central Billing - Com&Dev,R401400,Corporate Travel Management (North) Limited,12529067,45293,12300216873,7773.12,Public Transport,R3300,Passenger Transport,P1022,Concessionary Fares & Subsidized Travel,P2176,Concessionary Fares & Subsidized Travel,P3264
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,TMO StreetCare Vehicles,R300755,Dawsongroup Environmental Municipal Civil Limited,12515013,45293,12300217202,7000.2,Vehicle Operating Lease,R3204,Environmental Services,P1009,Street Cleansing,P2075,Sweeping,P3105
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Housing,C300011,Savills (UK) Limited,12525415,45293,12300217457,7000,Acquisition of Buildings,C1001,Consultancy,P1006,Business,P2047,Business,P3067
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Mersey Forest General,R308800,Land Use Consultants Ltd,12535605,45293,12300216559,6998.88,Services - Fees and Charges,R4401,Consultancy,P1006,Efficiency,P2048,Efficiency,P3068
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Culture & Leisure,C300008,Currie & Brown UK Ltd,12534685,45293,12300217011,6500,External Professional Fees,C6002,"Works - Construction, Repair & Maintenance",P1031,Consultancy,P2232,Consultancy,P3233
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Resources Book Fund,R301906,Askews And Holts Library Services Limited,12501026,45293,12300217825,5130.73,Books,R4309,Education,P1008,Supplies,P2068,Supplies,P3092
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Childrens,C200003,Yorkshire Purchasing Organisation,12500791,45293,12300216370,5105.54,Capital Sundries Expenditure,C4009,Education,P1008,Supplies,P2068,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Economic Growth,C300009,DAC Beachcroft,12503790,45293,12300216812,4275,External Professional Fees,C6002,Legal Services,P1020,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Enforcement Activity,R302550,Capita Business Services Limited,12500185,45293,12300216860,4228,Equipment - Purchase,R4000,Information Communication Technology,P1019,Software,P2164,Software,P3241
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Work Zones - East,R307111,The Arch Company Properties Limited Partnership,12531997,45293,12300216545,4000,Rent,R2200,Housing Management,P1017,Letting / Estate Agents,P2150,Letting / Estate Agents,P3208
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,SLA Holding Account,R300750,Direct Tyre Management Limited,12530440,45293,12300218189,3781.66,Tyres,R3008,Passenger Transport,P1022,Repair,P2180,Repair,P3268
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Farms Estate,R309010,DAC Beachcroft,12503790,45293,12300216777,3755.5,Services - Professional Fees,R4400,Legal Services,P1020,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Streetworks Team,R300701,Leicestershire County Council,12535755,45293,12300220538,3750,Services - Fees and Charges,R4401,Financial Services,P1011,Subscriptions,P2113,Subscriptions,P3169
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Streetworks Team,R300701,Leicestershire County Council,12535755,45293,12300220539,3750,Services - Fees and Charges,R4401,Financial Services,P1011,Subscriptions,P2113,Subscriptions,P3169
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Economic Growth Manager,R307000,Global Tourism Solutions (UK) Ltd,12517610,45293,12300217299,3600,Services - Professional Fees,R4400,Consultancy,P1006,Strategic Planning,P2052,Strategic Planning,P3074
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,3+4 Year Old Funding,R161041,REDACTED,12509721,45293,129000504926,3412.84,Grant Payments,R4700,Education,P1008,School Services,P2066,School Services,P3088
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Property Team,R309000,CIPFA Business Limited,12501901,45293,12300217691,3412.5,Services - Professional Fees,R4400,Consultancy,P1006,Business,P2047,Business,P3067
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,3+4 Year Old Funding,R161041,REDACTED,12507413,45293,129000504837,3295.15,Grant Payments,R4700,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Central Billing - Com&Dev,R401400,Dsi Billing Services Ltd,12534384,45293,12300217108,3149.21,Comms - Postage,R4503,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Director of Governance,R402000,Anthony Collins Solicitors Llp,12504434,45293,12300217345,3100,Services - Professional Fees,R4400,Legal Services,P1020,General Support,P2168,General Support,P3251
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Waste & Environment,C300004,Ridley Recycling Limited,12533209,45293,12300216970,3015,"Plant, Equipment & Machinery",C3000,Environmental Services,P1009,Waste Management,P2079,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,2 Year Old Place Funding,R161040,REDACTED,12506014,45293,129000504656,2985.18,Grant Payments,R4700,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Homelessness Reduction Act,R306010,Housing Partners Limited,12532678,45293,12300217811,2962.5,Services - Professional Fees,R4400,Information Communication Technology,P1019,Software,P2164,Software,P3241
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,2 Year Old Place Funding,R161040,REDACTED,12503267,45293,129000504699,2774.52,Grant Payments,R4700,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,HRM Contract,R300304,RSK ADAS Ltd,12526307,45293,12300216478,2763,Hedge + Tree,R5716,Environmental Services,P1009,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Council Wide Initiatives,R403030,ThemPra Social Pedagogy CIC,12535015,45293,12300216498,2500,Training Expenses,R1650,Human Resources,P1018,Training & Conferences,P2158,Training,P3224
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Homelessness Reduction Act,R306010,Birkenhead Forum Housing Association,12533811,45293,12300217833,2483.47,Services - Professional Fees,R4400,Housing Management,P1017,Housing Association Services,P2149,Housing Association Services,P3207
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Closed Landfill Sites,R300800,Coopers,12517451,45293,12300217055,2465,Grounds Maintenance - Contract,R2075,Consultancy,P1006,Business,P2047,Business,P3067
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Scambusters,R302270,Altia Solutions Limited,12527905,45293,12300219536,2440,Service Charges,R2205,Information Communication Technology,P1019,Software,P2164,,
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,3+4 Year Old Funding,R161041,REDACTED,12506826,45293,129000504901,2353.68,Grant Payments,R4700,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Recruitment and Pay,R401210,Latcham Direct Ltd,12535129,45293,12300216939,2334.6,Services - Fees and Charges,R4401,Mail Services,P1021,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Domm and Comm,R160903,Alcedo Orange Ltd t/a Alcedo Care Chester,12530507,45293,12300216375,2270.2,Services - Professional Fees,R4400,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Homelessness Reduction Act,R306010,Housing Partners Limited,12532678,45293,12300217812,2250,Services - Professional Fees,R4400,Information Communication Technology,P1019,Software,P2164,Software,P3241
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Domm and Comm,R160903,Alcedo Orange Ltd t/a Alcedo Care Chester,12530507,45293,12300216328,2220.84,Services - Professional Fees,R4400,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Assessment Centre,R401202,Capita Business Services Limited,12500185,45293,12300217229,2130,Council Tax,R2301,Information Communication Technology,P1019,Software,P2164,Software,P3241
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Customer Services,R301000,The Message Pad Ltd,12502083,45293,12300216535,2096.75,Comms - Telephone Rental,R4504,Information Communication Technology,P1019,Software,P2164,Software,P3241
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Domm and Comm,R160903,Medgen Limited,12521055,45293,12300220578,2064.04,Services - Professional Fees,R4400,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Schl Improvement Advisers,R162010,REDACTED,12530904,45293,12300216851,2000,Services - Professional Fees,R4400,Consultancy,P1006,Management,P2049,Efficiency,P3068
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Schl Improvement Advisers,R162010,REDACTED,12530904,45293,12300216852,2000,Services - Professional Fees,R4400,Consultancy,P1006,Management,P2049,Efficiency,P3068
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,ICT Hybrid Model,R404304,Dawson Kaveney HR,12535282,45293,12300216731,1890,Services - Consultants,R4404,Human Resources,P1018,Professional & Advisory Services,P2155,Professional & Advisory Services,P3213
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,2 Year Old Place Funding,R161040,REDACTED,12501758,45293,129000504648,1849.68,Grant Payments,R4700,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,2 Year Old Place Funding,R161040,REDACTED,12503536,45293,129000504725,1849.68,Grant Payments,R4700,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Property Team,R309000,Coulson Property Services Limited,12535595,45293,12300217806,1821.21,Services - Professional Fees,R4400,Consultancy,P1006,Strategic Planning,P2052,Strategic Planning,P3074
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Adults,LSAB Board,R202303,REDACTED,12519183,45293,12300216753,1812.5,Services - Professional Fees,R4400,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,3+4 Year Old Funding,R161041,REDACTED,12522594,45293,129000504838,1797.95,Grant Payments,R4700,Education,P1008,School Services,P2066,School Services,P3088
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,TMO StreetCare Vehicles,R300755,Dawsongroup Environmental Municipal Civil Limited,12515013,45293,12300216877,1738.1,Vehicle Operating Lease,R3204,Environmental Services,P1009,Street Cleansing,P2075,Sweeping,P3105
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Business Growth Team,R307050,REDACTED,12534940,45293,12300216360,1700,Services - Professional Fees,R4400,Consultancy,P1006,Business,P2047,Business,P3067
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Highways,C300003,Groundwork & Leisure Services Ltd,12500998,45293,12300215636,1600,"Conversion, Renovation & Improvement",C1101,Horticultural,P1016,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Closed Churchyards H&S,R302426,Chester Headstones,12518177,45293,12300216447,1600,Grounds Maintenance - Contract,R2075,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,2 Year Old Place Funding,R161040,REDACTED,12504022,45293,129000504629,1541.4,Grant Payments,R4700,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,3+4 Year Old Funding,R161041,REDACTED,12506809,45293,129000504794,1536.43,Grant Payments,R4700,Education,P1008,School Services,P2066,School Services,P3088
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Economic Growth,C300009,DAC Beachcroft,12503790,45293,12300216474,1500,External Professional Fees,C6002,Legal Services,P1020,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Work Zones - West,R307110,Aim Qualifications and Assessment Group,12512189,45293,12300216547,1462.5,Services - Professional Fees,R4400,Education,P1008,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Adults,CH&EP Older People Day Service,R204403,I Care GB Ltd,12530592,45293,12300217534,1411.67,Provisions,R4101,Catering,P1002,Social Care,P2030,Meals On Wheels,P3038
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Gadbrook Park & Dalby Court,R309207,Land Law LLP,12532614,45293,12300217757,1300,Services - Professional Fees,R4400,Legal Services,P1020,Legal Opinion,P2169,Legal Opinion,P3252
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,3+4 Year Old Funding,R161041,REDACTED,12516083,45293,129000504834,1294.52,Grant Payments,R4700,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,2 Year Old Place Funding,R161040,REDACTED,12522594,45293,129000504682,1284.5,Grant Payments,R4700,Education,P1008,School Services,P2066,School Services,P3088
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,3+4 Year Old Funding,R161041,REDACTED,12509066,45293,129000504812,1261.83,Grant Payments,R4700,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Schl Improvement Advisers,R162010,REDACTED,12503913,45293,12300217322,1250,Services - Professional Fees,R4400,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,3+4 Year Old Funding,R161041,REDACTED,12505628,45293,129000504798,1244.45,Grant Payments,R4700,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Domm and Comm,R160903,Alcedo Orange Ltd t/a Alcedo Care Chester,12530507,45293,12300216373,1217.36,Services - Professional Fees,R4400,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Crematorium General,R302410,Vivedia Ltd,12504161,45293,12300217828,1217,Services - Fees and Charges,R4401,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
