Cost Centre,Supplier,Date,Account,Amount
Annual Vehicle Replacement,INTOMOVE LTD,21/06/2023,Vehicles - Road,20348.13
Annual Vehicle Replacement,MERCEDES-BENZ VANS UK LIMITED,10/05/2023,Vehicles - Road,44252.00
Annual Vehicle Replacement,MERCEDES-BENZ VANS UK LIMITED,10/05/2023,Vehicles - Road,44252.00
Annual Vehicle Replacement,MERCEDES-BENZ VANS UK LIMITED,10/05/2023,Vehicles - Road,44252.00
Annual Vehicle Replacement,MERCEDES-BENZ VANS UK LIMITED,10/05/2023,Vehicles - Road,44252.00
Annual Vehicle Replacement,PEUGEOT MOTOR COMPANY PLC (VEHICLES),18/05/2023,Vehicles - Road,28732.30
Annual Vehicle Replacement,ROGER DYSON LTD,26/04/2023,Vehicles - Road,123010.00
Annual Vehicle Replacement,SONIC COMMUNICATIONS (INTERNATIONAL) LTD,24/05/2023,Vehicles - Road,2740.00
Annual Vehicle Replacement,VANS NORTHWEST LTD,21/06/2023,Vehicles - Road,22957.75
Annual Vehicle Replacement,VANS NORTHWEST LTD,21/06/2023,Vehicles - Road,22957.75
Annual Vehicle Replacement,VANS NORTHWEST LTD,21/06/2023,Vehicles - Road,22957.75
Annual Vehicle Replacement,VOLVO CAR UK LTD,03/05/2023,Vehicles - Road,36995.82
ANPR,CAPITA BUSINESS SERVICES LTD (TRAVEL),03/05/2023,Public Transport & Parking,76.56
ANPR,EE LTD (AIRTIME),05/04/2023,Mobile Phone Call Charges & Contract Cost,6442.54
ANPR,EE LTD (AIRTIME),03/05/2023,Mobile Phone Call Charges & Contract Cost,6442.54
ANPR,EE LTD (AIRTIME),07/06/2023,Mobile Phone Call Charges & Contract Cost,6442.54
ANPR,EE LTD (AIRTIME),28/06/2023,Mobile Phone Call Charges & Contract Cost,6442.54
ANPR,QRO SOLUTIONS LTD,10/05/2023,Specialist Equipment,6100.00
ANPR,QRO SOLUTIONS LTD,24/05/2023,Specialist Equipment,53321.95
ANPR,SPECIALIST COMPUTER CENTRES PLC,24/05/2023,Specialist Equipment,16672.58
ANPR Highways England Camera RQeRfrOe sShOLUTIONS,LTD,03/05/2023,Non IT Equipment,7780.00
ANPR Highways England Camera RQeRfrOe sShOLUTIONS,LTD,03/05/2023,Non IT Equipment,8963.00
ANPR Highways England Camera RQeRfrOe sShOLUTIONS,LTD,10/05/2023,Non IT Equipment,7780.00
AP Control,HM REVENUE & CUSTOMS,26/04/2023,CIS Deductions,821.40
AP Control,HM REVENUE & CUSTOMS,17/05/2023,CIS Deductions,915.40
CENTRALISED,HEATING CONTROLISRIS DESIGN SOLUTIONS LTD,28/06/2023,Fees - Other,1103.00
Cheshire Road Safety Group -,GLCUBIC TRANSPORTATION SYSTEMS (ITMS) LTD,03/05/2023,Software Licences,3139.65
Cheshire Road Safety Group -,GLCUBIC TRANSPORTATION SYSTEMS (ITMS) LTD,24/05/2023,Software Licences,3142.18
Cheshire Road Safety Group -,GLEXPERIAN LTD,21/06/2023,Professional Fees,615.90
Cheshire Road Safety Group -,GLEXPERIAN LTD,21/06/2023,Professional Fees,615.90
Cheshire Road Safety Group -,GLEXPERIAN LTD,21/06/2023,Professional Fees,615.90
Cheshire Road Safety Group -,GLEXPERIAN LTD,21/06/2023,Professional Fees,615.90
Cheshire Road Safety Group -,GLEXPERIAN LTD,21/06/2023,Professional Fees,615.90
Cheshire Road Safety Group -,GLEXPERIAN LTD,21/06/2023,Professional Fees,615.90
Cheshire Road Safety Group -,GLEXPERIAN LTD,28/06/2023,Professional Fees,615.90
Cheshire Road Safety Group -,GLFRANCO-POSTALIA LTD (EZ LEASE),05/04/2023,Hire of Equipment,1044.34
Cheshire Road Safety Group -,GLFRANCO-POSTALIA LTD (EZ LEASE),07/06/2023,Hire of Equipment,1084.59
Cheshire Road Safety Group -,GLFRANCO-POSTALIA LTD (EZ LEASE),28/06/2023,Hire of Equipment,1044.34
Cheshire Road Safety Group -,GLFRANCO-POSTALIA LTD (EZ LEASE),28/06/2023,Hire of Equipment,1044.34
Cheshire Road Safety Group -,GLROYAL MAIL GROUP LTD,12/04/2023,Postage Costs,1475.17
Cheshire Road Safety Group -,GLROYAL MAIL GROUP LTD,19/04/2023,Postage Costs,1714.54
Cheshire Road Safety Group -,GLROYAL MAIL GROUP LTD,19/04/2023,Postage Costs,1034.19
Cheshire Road Safety Group -,GLROYAL MAIL GROUP LTD,03/05/2023,Postage Costs,1763.32
Cheshire Road Safety Group -,GLROYAL MAIL GROUP LTD,10/05/2023,Postage Costs,1644.30
Cheshire Road Safety Group -,GLROYAL MAIL GROUP LTD,17/05/2023,Postage Costs,1380.59
Cheshire Road Safety Group -,GLROYAL MAIL GROUP LTD,24/05/2023,Postage Costs,1515.89
Cheshire Road Safety Group -,GLROYAL MAIL GROUP LTD,31/05/2023,Postage Costs,1909.14
Cheshire Road Safety Group -,GLROYAL MAIL GROUP LTD,07/06/2023,Postage Costs,1777.72
Cheshire Road Safety Group -,GLROYAL MAIL GROUP LTD,14/06/2023,Postage Costs,1678.13
Cheshire Road Safety Group -,GLROYAL MAIL GROUP LTD,21/06/2023,Postage Costs,1825.33
Cheshire Road Safety Group -,GLROYAL MAIL GROUP LTD,28/06/2023,Postage Costs,1931.20
Chester Command,SOG RESOURCES LTD,17/05/2023,Conference & Seminar Fees,1320.00
Chester Command,SPECIALIST COMPUTER CENTRES PLC,21/06/2023,Hardware - purchase,597.89
Chester,LPU Neighbourhood AMAZON,03/05/2023,Specialist Equipment,520.40
Chester,LPU Neighbourhood BIKERIGHT! LTD,05/04/2023,Bicycle Repairs & Maintenance,306.02
Chester,LPU Neighbourhood CAPITA BUSINESS SERVICES LTD (TRAVEL),05/04/2023,Public Transport & Parking,321.80
Chester,LPU Neighbourhood CAPITA BUSINESS SERVICES LTD (TRAVEL),03/05/2023,Public Transport & Parking,380.16
Chester,LPU Neighbourhood SOLON SECURITY LTD,26/04/2023,Specialist Equipment,877.50
Chester,LPU Response CAPITA BUSINESS SERVICES LTD (TRAVEL),05/04/2023,Public Transport & Parking,235.00
Chronicle,POLICE AND CRIME COMMISSIONER FOR LANCASHIRE,10/05/2023,Collaboration service,22813.45
CID Command - cs,COMMUNICATION NORTH WEST LTD,10/05/2023,Professional Fees,729.85
CID Proactive & Crime Hub West,-C cAsPITA BUSINESS SERVICES LTD (TRAVEL),28/06/2023,Hotel Accommodation,178.00
CID Reactive East,CAPITA BUSINESS SERVICES LTD (TRAVEL),28/06/2023,Hotel Accommodation,391.71
CID Reactive West,SPECIALIST COMPUTER CENTRES PLC,07/06/2023,Hardware - purchase,895.24
CID Reactive West - cs,CAPITA BUSINESS SERVICES LTD (TRAVEL),07/06/2023,Public Transport & Parking,372.96
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,17/05/2023,Cleaning Equipment,1191.95
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,17/05/2023,Cleaning Equipment,514.95
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,17/05/2023,Cleaning Equipment,1053.25
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,17/05/2023,Cleaning Equipment,713.25
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,17/05/2023,Cleaning Equipment,971.20
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,24/05/2023,Cleaning Equipment,875.30
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,24/05/2023,Cleaning Equipment,596.80
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,21/06/2023,Cleaning Equipment,537.15
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,21/06/2023,Cleaning Equipment,1057.55
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,21/06/2023,Cleaning Equipment,626.35
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,28/06/2023,Cleaning Equipment,1480.25
Cleaning Services - cs,EASTERN SHIRES PURCHASING ORGANISATION,05/04/2023,Cleaning Equipment,515.90
Cleaning Services - cs,EASTERN SHIRES PURCHASING ORGANISATION,05/04/2023,Cleaning Equipment,768.47
Cleaning Services - cs,EASTERN SHIRES PURCHASING ORGANISATION,19/04/2023,Cleaning Equipment,1345.48
Cleaning Services - cs,EASTERN SHIRES PURCHASING ORGANISATION,26/04/2023,Cleaning Equipment,583.50
Cleaning Services - cs,EASTERN SHIRES PURCHASING ORGANISATION,03/05/2023,Cleaning Equipment,572.48
Cleaning Services - cs,EASTERN SHIRES PURCHASING ORGANISATION,07/06/2023,Cleaning Equipment,840.95
Cleaning Services - cs,EASTERN SHIRES PURCHASING ORGANISATION,14/06/2023,Cleaning Equipment,572.48
Command,ATALIAN SERVEST FOOD CO LTD (CATERING),26/04/2023,External Catering,1972.77
Command,CAPITA BUSINESS SERVICES LTD (TRAVEL),26/04/2023,Hotel Accommodation,1009.84
Command,CAPITA BUSINESS SERVICES LTD (TRAVEL),24/05/2023,Hotel Accommodation,676.13
Command,CAPITA BUSINESS SERVICES LTD (TRAVEL),28/06/2023,Hotel Accommodation,652.50
Command,CAPITA BUSINESS SERVICES LTD (TRAVEL),05/04/2023,Public Transport & Parking,10.00
Command,CAPITA BUSINESS SERVICES LTD (TRAVEL),03/05/2023,Public Transport & Parking,1401.60
Command,CAPITA BUSINESS SERVICES LTD (TRAVEL),07/06/2023,Public Transport & Parking,785.52
Command,CARE OF POLICE SURVIVORS,28/06/2023,Donations / Contributions,2500.00
Command,CHESTER CATHEDRAL,21/06/2023,Corporate Hospitality,500.00
Command,COLLEGE OF POLICING,19/04/2023,External Training Courses,1822.40
Command,COLLEGE OF POLICING,31/05/2023,External Training Courses,2094.40
Command,COLLEGE OF POLICING,21/06/2023,External Training Courses,3667.50
Command,CPOSA,17/05/2023,Insurance NPCC / Supers Legal Protection,2900.00
Command,CPOSA,17/05/2023,Insurance NPCC / Supers Legal Protection,515.00
Command,CPOSA,17/05/2023,Insurance NPCC / Supers Legal Protection,2900.00
Command,CPOSA,17/05/2023,Insurance NPCC / Supers Legal Protection,515.00
Command,CPOSA,17/05/2023,Insurance NPCC / Supers Legal Protection,2900.00
Command,CPOSA,17/05/2023,Insurance NPCC / Supers Legal Protection,515.00
Command,CPOSA,17/05/2023,Insurance NPCC / Supers Legal Protection,2900.00
Command,CPOSA,17/05/2023,Insurance NPCC / Supers Legal Protection,515.00
Commissioning Appropriate AdultTHE,APPROPRIATE ADULT SERVICE LTD,19/04/2023,Specific Grants awarded,6535.85
Commissioning Appropriate AdultTHE,APPROPRIATE ADULT SERVICE LTD,17/05/2023,Specific Grants awarded,6540.00
Commissioning Community SafetyB FEuAnCdON,COUNSELLING TRUST,28/06/2023,Specific Grants awarded,25000.00
Commissioning Community SafetyB FZu AnDdVERTISING &,DESIGN LTD,26/04/2023,Specific Grants awarded,30600.00
Commissioning Community SafetyC FHuEnSdHIRE,EAST COUNCIL (CHESTER),19/04/2023,Grants to Public Bodies,38846.00
Commissioning Community SafetyC FHuEnSdHIRE,EAST COUNCIL (CHESTER),07/06/2023,Grants to Public Bodies,20000.00
Commissioning Community SafetyC FHuEnSdHIRE,EAST COUNCIL (CHESTER),14/06/2023,Grants to Public Bodies,45641.00
Commissioning Community SafetyC FHuEnSdHIRE,EAST COUNCIL (CREWE),02/05/2023,Grants to Public Bodies,20000.00
Commissioning Community SafetyC FHuEnSdHIRE,WITHOUT ABUSE,03/05/2023,Specific Grants awarded,64590.97
Commissioning Community SafetyC FHuEnSdHIRE,WITHOUT ABUSE,03/05/2023,Specific Grants awarded,266923.83
Commissioning Community SafetyD FEuTnEdCTNOLOGY,(UK) LTD,05/04/2023,Specific Grants awarded,4890.00
Commissioning Community SafetyG FLuOnBdAL,MEDIA GROUP SERVICES LTD,26/04/2023,Publicity,26357.00
Commissioning Community SafetyG FLuOnBdAL,MEDIA GROUP SERVICES LTD,21/06/2023,Publicity,7605.00
Commissioning Community SafetyH FOuLnLdIE,GAZZARD TRUST,12/04/2023,Specific Grants awarded,66666.00
Commissioning Community SafetyIN FQunUdEST,CANINE DETECTION & SECURITY LTD,19/04/2023,Specific Grants awarded,560.00
Commissioning Community SafetyL EFAuDndERS,UNLOCKED LTD,24/05/2023,Specific Grants awarded,8750.00
Commissioning Community SafetyP AFu PnRdOMOTIONS,LTD,03/05/2023,Carriage,73.95
Commissioning Community SafetyP AFu PnRdOMOTIONS,LTD,03/05/2023,Promotional material,2016.35
Commissioning Community SafetyP MFuAn dOUTDOOR,MEDIA LTD,12/04/2023,Publicity,650.00
Commissioning Community SafetyP OFuLnICdE,AND CRIME COMMISSIONER FOR MERSEYSIDE,28/06/2023,Specific Grants awarded,2000.00
Commissioning Community SafetyP OFuSnITdIVE,MEDIA PROMOTIONS LTD,05/04/2023,Specific Grants awarded,1791.00
Commissioning Community SafetyP OFuSnITdIVE,MEDIA PROMOTIONS LTD,05/04/2023,Specific Grants awarded,3130.00
Commissioning Community SafetyP OFuSnITdIVE,MEDIA PROMOTIONS LTD,12/04/2023,Specific Grants awarded,1495.00
Commissioning Community SafetyP OFuSnITdIVE,MEDIA PROMOTIONS LTD,19/04/2023,Specific Grants awarded,5505.00
Commissioning Community SafetyP OFuSnITdIVE,MEDIA PROMOTIONS LTD,19/04/2023,Specific Grants awarded,775.00
Commissioning Community SafetyP OFuSnITdIVE,MEDIA PROMOTIONS LTD,26/04/2023,Specific Grants awarded,2740.00
Commissioning Community SafetyP OFuSnITdIVE,MEDIA PROMOTIONS LTD,21/06/2023,Specific Grants awarded,2900.00
Commissioning Community SafetyP RFuEnVdEX,LTD,05/04/2023,Specific Grants awarded,41475.00
Commissioning Community SafetyP RFuEnVdEX,LTD,28/06/2023,Specific Grants awarded,41475.00
Commissioning Community SafetyS OFuGn RdESOURCES,LTD,12/04/2023,Specific Grants awarded,10000.00
Commissioning Community SafetyS PFEuCnIdALIST,COMPUTER CENTRES PLC,31/05/2023,Hardware - purchase,1800.59
Commissioning Community SafetyW FAuRnRdINGTON,BOROUGH COUNCIL (TOWN HALL),19/04/2023,Grants to Public Bodies,49529.00
Commissioning Safer CommunitieAs SFSuOnCdIATION,OF TOWNFIELD ALLOTMENTS,21/06/2023,Specific Grants awarded,926.71
Commissioning Safer CommunitieCs HFEuSnHdIRE,EAST COUNCIL (CHESTER),03/05/2023,Specific Grants awarded,850.00
Commissioning Safer CommunitieCs HFEuSnHdIRE,WITHOUT ABUSE,05/04/2023,Specific Grants awarded,2000.00
Commissioning Safer CommunitieCs OFuNnGdLETON,TOWN COUNCIL,05/04/2023,Specific Grants awarded,680.00
Commissioning Safer CommunitieFsA FLuLnEdN,ANGELS DANCE THEATRE,03/05/2023,Specific Grants awarded,2000.00
Commissioning Safer CommunitieHs AFuLTnOdN,SPEAK OUT,07/06/2023,Specific Grants awarded,4968.00
Commissioning Safer CommunitieHs AFuNnDdFORTH,TOWN COUNCIL,10/05/2023,Specific Grants awarded,1529.00
Commissioning Safer CommunitieSsA FNuDndYMOOR,ORMISTON ACADEMY SCHOOL,12/04/2023,Specific Grants awarded,5000.00
Commissioning Victims &,RJ CHESHIRE EAST COUNCIL (CHESTER),14/06/2023,Grants to Public Bodies,86600.00
Commissioning Victims &,RJ CHESHIRE EAST COUNCIL (CHESTER),14/06/2023,Grants to Public Bodies,35000.00
Commissioning Victims &,RJ CHESHIRE EAST COUNCIL (CHESTER),14/06/2023,Grants to Public Bodies,16000.00
Commissioning Victims &,RJ CHESHIRE EAST COUNCIL (CREWE),31/05/2023,Grants to Public Bodies,57600.00
Commissioning Victims &,RJ CHESTER SEXUAL ABUSE SUPPORT SERVICE,14/06/2023,Specific Grants awarded,20000.00
Commissioning Victims &,RJ INNOVATING MINDS CIC,21/06/2023,Specific Grants awarded,20000.00
Commissioning Victims &,RJ MID CHESHIRE TRUST,26/04/2023,Grants to Public Bodies,16000.00
Commissioning Victims &,RJ MID CHESHIRE TRUST,28/06/2023,Grants to Public Bodies,16000.00
Commissioning Victims &,RJ RAPE AND SEXUAL ABUSE SUPPORT CENTRE,19/04/2023,Specific Grants awarded,26250.00
Commissioning Victims &,RJ RAPE AND SEXUAL ABUSE SUPPORT CENTRE,17/05/2023,Specific Grants awarded,105000.00
Commissioning Victims &,RJ RAPE AND SEXUAL ABUSE SUPPORT CENTRE,14/06/2023,Specific Grants awarded,91000.00
Commissioning Victims &,RJ RAPE AND SEXUAL ABUSE SUPPORT CENTRE,14/06/2023,Specific Grants awarded,38365.44
Commissioning Victims &,RJ REMEDI,14/06/2023,Other PA/ OPCC Grants,45000.00
Commissioning Victims &,RJ REMEDI,17/05/2023,Specific Grants awarded,8000.00
Commissioning Victims &,RJ REMEDI,24/05/2023,Specific Grants awarded,32000.00
Commissioning Victims &,RJ SURVIVE,28/06/2023,Specific Grants awarded,15000.00
Commissioning Victims &,RJ TOMORROW'S WOMEN WIRRAL,19/04/2023,Specific Grants awarded,20000.00
Commissioning Victims &,RJ TOOLS4CHANGE CIC,24/05/2023,Specific Grants awarded,8500.00
Continuous Professional DevelopmMeInNtD,(FCUPLD )EDGE LTD,26/04/2023,External Training Courses,3000.00
Continuous Professional DevelopmPOenLtIC,(EC PDDIG)ITAL SERVICE,20/04/2023,Professional Fees,1097.94
Continuous Professional DevelopmPOenLtIC,(EC PDDIG)ITAL SERVICE,17/05/2023,Professional Fees,25828.80
Continuous Professional DevelopmUeNnIVt,E(CRPSDIT)Y OF MANCHESTER,03/05/2023,Professional Fees,7728.00
Corporate Communications,AMAZON,29/03/2023,Office Equipment,799.00
Corporate Communications,ATALIAN SERVEST FOOD CO LTD (ANGEL HILL),28/06/2023,Contract Catering,761.57
Corporate Communications,CAPITA BUSINESS SERVICES LTD (TRAVEL),26/04/2023,Hotel Accommodation,212.83
Corporate Communications,CAPITA BUSINESS SERVICES LTD (TRAVEL),03/05/2023,Public Transport & Parking,192.24
Corporate Communications,MAYOR'S OFFICE FOR POLICING & CRIME,21/06/2023,Other IT Costs,16933.08
Corporate Communications,NUNSMERE HALL LTD,28/06/2023,Presentations & Awards,3625.00
Corporate Communications,PAYPAL FACEBOOK,08/05/2023,Software Licences,665.56
Corporate Communications,POLICE DIGITAL SERVICE,20/04/2023,Professional Fees,4373.04
Corporate Communications,SOCIALSIGNIN LTD,05/04/2023,Software - purchase,19067.00
Corporate Communications,THE COPYRIGHT LICENSING AGENCY LTD,28/06/2023,Licence Fees,5397.60
Corporate Costs,CABINET OFFICE,12/04/2023,Other Operational Expenses,1240.00
Corporate Costs,DEXIA CREDIT LOCAL,28/04/2023,Interest Paid,119521.64
Corporate Costs,GRANT THORNTON UK LLP,19/04/2023,External Audit Fee,7657.25
Corporate Costs,GRANT THORNTON UK LLP,19/04/2023,External Audit Fee,3991.83
Corporate Costs,GRANT THORNTON UK LLP,03/05/2023,External Audit Fee,15888.00
Corporate Costs,GRANT THORNTON UK LLP,03/05/2023,External Audit Fee,6913.00
Corporate Costs,HOME OFFICE,26/04/2023,Seized Money Interest,6.34
Corporate Costs,HOME OFFICE,17/05/2023,Seized Money Interest,2.80
Corporate Costs,HOME OFFICE,17/05/2023,Seized Money Interest,8.50
Corporate Costs,HOME OFFICE,24/05/2023,Seized Money Interest,7.41
Corporate Costs,HOME OFFICE,24/05/2023,Seized Money Interest,3.67
Corporate Costs,HOME OFFICE,24/05/2023,Seized Money Interest,29.07
Corporate Costs,HOME OFFICE,24/05/2023,Seized Money Interest,17.56
Corporate Costs,HOME OFFICE,31/05/2023,Seized Money Interest,45.86
Corporate Costs,HOME OFFICE,07/06/2023,Seized Money Interest,0.23
Corporate Costs,HOME OFFICE,07/06/2023,Seized Money Interest,7.12
Corporate Costs,HOME OFFICE,14/06/2023,Seized Money Interest,0.01
Corporate Costs,HOME OFFICE,14/06/2023,Seized Money Interest,0.67
Corporate Costs,HOME OFFICE,14/06/2023,Seized Money Interest,4.02
Corporate Costs,HOME OFFICE,14/06/2023,Seized Money Interest,3.74
Corporate Costs,HOME OFFICE,14/06/2023,Seized Money Interest,214.07
Corporate Costs,HOME OFFICE,14/06/2023,Seized Money Interest,10.00
Corporate Costs,LINK TREASURY SERVICES LTD,10/05/2023,Treasury Costs,13250.00
Counter Terrorism Branch,POLICE AND CRIME COMMISSIONER FOR MERSEYSIDE,26/04/2023,Casual Users Mileage,1047.41
Counter Terrorism Branch,POLICE AND CRIME COMMISSIONER FOR MERSEYSIDE,26/04/2023,Secondment pay,15263.76
Counter Terrorism Branch,POLICE AND CRIME COMMISSIONER FOR MERSEYSIDE,26/04/2023,Secondment pay,21135.82
Creamfields Event -,GL SANDYMOOR ORMISTON ACADEMY SCHOOL,21/06/2023,Hire of Rooms/Premises,1250.00
Crewe Command,CAPITA BUSINESS SERVICES LTD (TRAVEL),26/04/2023,Hotel Accommodation,112.42
Crewe Command,SAFEGUARD MEDICAL TECHNOLOGIES LTD,17/05/2023,Specialist Equipment,1600.00
Crewe Command,SAFELIVES,12/05/2023,External Training Courses,2400.00
Crewe Command,SPECIALIST COMPUTER CENTRES PLC,14/06/2023,Hardware - purchase,880.78
Crewe,LPU Neighbourhood GRG PUBLIC RESOURCES LTD,17/05/2023,Vehicle Recovery Costs,676.56
,Crewe Police Station (Estates StraTtLeTg yLL)P,21/06/2023,Fees - Other,3201.73
Crime,CAPITA BUSINESS SERVICES LTD (TRAVEL),05/04/2023,Public Transport & Parking,243.20
Criminal Justice - cs,CAPITA BUSINESS SERVICES LTD (TRAVEL),26/04/2023,Hotel Accommodation,297.68
Criminal Justice - cs,CAPITA BUSINESS SERVICES LTD (TRAVEL),24/05/2023,Hotel Accommodation,114.00
Criminal Justice - cs,CAPITA BUSINESS SERVICES LTD (TRAVEL),03/05/2023,Public Transport & Parking,424.56
Criminal Justice - cs,DIMENSION STORAGE & INTERIORS LTD,17/05/2023,Furniture,5583.00
Criminal Justice - cs,SPECIALIST COMPUTER CENTRES PLC,19/04/2023,Hardware - purchase,610.66
Custody,ABBOTT TOXICOLOGY LTD,24/05/2023,Medical & Hygiene Supplies,900.00
Custody,ABBOTT TOXICOLOGY LTD,21/06/2023,Medical & Hygiene Supplies,1800.00
Custody,BIDFOOD LTD,24/05/2023,Detained Persons - Meals / Refreshments,838.40
Custody,BIDFOOD LTD,24/05/2023,Detained Persons - Meals / Refreshments,510.40
Custody,BIDFOOD LTD,24/05/2023,Detained Persons - Meals / Refreshments,500.20
Custody,BIDFOOD LTD,24/05/2023,Detained Persons - Meals / Refreshments,539.67
Custody,BIDFOOD LTD,31/05/2023,Detained Persons - Meals / Refreshments,1005.06
Custody,BIDFOOD LTD,31/05/2023,Detained Persons - Meals / Refreshments,652.11
Custody,BIDFOOD LTD,31/05/2023,Detained Persons - Meals / Refreshments,659.07
Custody,BIDFOOD LTD,07/06/2023,Detained Persons - Meals / Refreshments,1411.03
Custody,BIDFOOD LTD,14/06/2023,Detained Persons - Meals / Refreshments,1000.97
Custody,BIDFOOD LTD,21/06/2023,Detained Persons - Meals / Refreshments,721.33
Custody,BIDFOOD LTD,21/06/2023,Detained Persons - Meals / Refreshments,855.46
Custody,BIDFOOD LTD,21/06/2023,Detained Persons - Meals / Refreshments,596.80
Custody,BIDFOOD LTD,28/06/2023,Detained Persons - Meals / Refreshments,840.62
Custody,BIDFOOD LTD,28/06/2023,Detained Persons - Meals / Refreshments,702.08
Custody,BIDFOOD LTD,28/06/2023,Detained Persons - Meals / Refreshments,1541.14
Custody,CAPITA BUSINESS SERVICES LTD (TRANSLATION),31/05/2023,Interpreters Fees & Translators Fees,15183.80
Custody,CAPITA BUSINESS SERVICES LTD (TRANSLATION),28/06/2023,Interpreters Fees & Translators Fees,16969.73
Custody,CHARLES FELLOWS SUPPLIES LTD,10/05/2023,Detained Persons - Clothing,1207.00
Custody,CHARLES FELLOWS SUPPLIES LTD,17/05/2023,Detained Persons - Clothing,1810.80
Custody,CHARLES FELLOWS SUPPLIES LTD,24/05/2023,Detained Persons - Clothing,1066.20
Custody,CHARLES FELLOWS SUPPLIES LTD,24/05/2023,Detained Persons - Clothing,603.10
Custody,CHARLES FELLOWS SUPPLIES LTD,07/06/2023,Detained Persons - Clothing,781.00
Custody,CHARLES FELLOWS SUPPLIES LTD,07/06/2023,Detained Persons - Clothing,2733.00
Custody,CHARLES FELLOWS SUPPLIES LTD,07/06/2023,Detained Persons - Clothing,2898.75
Custody,CHARLES FELLOWS SUPPLIES LTD,14/06/2023,Detained Persons - Clothing,1801.70
Custody,CHARLES FELLOWS SUPPLIES LTD,21/06/2023,Detained Persons - Clothing,1353.00
Custody,CHARLES FELLOWS SUPPLIES LTD,28/06/2023,Detained Persons - Clothing,1817.05
Custody,FAST ENGINEERING LTD,24/05/2023,Detained Persons - Other Expenses,2506.00
