Cost Centre,Supplier,Date,Account,Amount
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,23/08/2023,Vehicles - Road,10699.46
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,23/08/2023,Vehicles - Road,10699.46
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,23/08/2023,Vehicles - Road,55.00
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,23/08/2023,Vehicles - Road,10699.46
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,23/08/2023,Vehicles - Road,10699.46
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,06/09/2023,Vehicles - Road,12828.36
Annual Vehicle Replacement,VISION UNIQUE EQUIPMENT LTD,19/07/2023,Vehicles - Road,1769.95
ANPR,CAPITA BUSINESS SERVICES LTD (TRAVEL),30/08/2023,Public Transport & Parking,63.80
ANPR,EE LTD (AIRTIME),02/08/2023,Mobile Phone Call Charges & Contract Cost,6442.54
ANPR,EE LTD (AIRTIME),30/08/2023,Mobile Phone Call Charges & Contract Cost,6442.96
ANPR Infrastructure Development,QRO SOLUTIONS LTD,13/09/2023,Non IT Equipment,3899.00
AP Control,HM REVENUE & CUSTOMS,19/07/2023,CIS Deductions,1054.00
Area Investigations Team East,CAPITA BUSINESS SERVICES LTD (TRAVEL),25/08/2023,Hotel Accommodation,83.67
Area Investigations Team East,FORENSIC HEALTHCARE SERVICES LTD,20/09/2023,Professional Fees,2000.00
Area Investigations Team North,VAUGHAN ERGONOMICS LTD,27/09/2023,Hardware - purchase,728.70
Area Investigations Team West,UNIVERSITY OF LIVERPOOL,02/08/2023,Professional Fees,800.00
BSF System Replacement,ALEMBA LTD,09/08/2023,Data - Consultancy - Implementation,1437.50
BSF System Replacement,ALEMBA LTD,23/08/2023,Data - Consultancy - Implementation,9660.00
BSF System Replacement,TECHYARD LTD,16/08/2023,Capitalised Salaries,12825.00
BSF System Replacement,TECHYARD LTD,16/08/2023,Capitalised Salaries,13500.00
BSF System Replacement,TECHYARD LTD,30/08/2023,Capitalised Salaries,12825.00
Cheshire Road Safety Group -,GL CLARITY INFORMATION SOLUTIONS LTD,20/09/2023,Software Licences,19899.00
Cheshire Road Safety Group -,GL CUBIC TRANSPORTATION SYSTEMS (ITMS) LTD,20/09/2023,Software Licences,36349.23
Cheshire Road Safety Group -,GL CUBIC TRANSPORTATION SYSTEMS (ITMS) LTD,27/09/2023,Software Licences,3319.26
Cheshire Road Safety Group -,GL EXPERIAN LTD,26/07/2023,Professional Fees,615.90
Cheshire Road Safety Group -,GL EXPERIAN LTD,30/08/2023,Professional Fees,615.90
Cheshire Road Safety Group -,GL EXPERIAN LTD,27/09/2023,Professional Fees,615.90
Cheshire Road Safety Group -,GL FRANCO-POSTALIA LTD (EZ LEASE),27/09/2023,Hire of Equipment,1044.34
Cheshire Road Safety Group -,GL MY GROUP SOLUTIONS LTD,23/08/2023,Stationery & Office Consumables,2111.40
Cheshire Road Safety Group -,GL ROYAL MAIL GROUP LTD,05/07/2023,Postage Costs,1725.10
Cheshire Road Safety Group -,GL ROYAL MAIL GROUP LTD,19/07/2023,Postage Costs,1579.15
Cheshire Road Safety Group -,GL ROYAL MAIL GROUP LTD,26/07/2023,Postage Costs,2053.34
Cheshire Road Safety Group -,GL ROYAL MAIL GROUP LTD,02/08/2023,Postage Costs,1962.51
Cheshire Road Safety Group -,GL ROYAL MAIL GROUP LTD,09/08/2023,Postage Costs,1882.33
Cheshire Road Safety Group -,GL ROYAL MAIL GROUP LTD,16/08/2023,Postage Costs,1904.26
Cheshire Road Safety Group -,GL ROYAL MAIL GROUP LTD,23/08/2023,Postage Costs,2176.74
Cheshire Road Safety Group -,GL ROYAL MAIL GROUP LTD,30/08/2023,Postage Costs,1829.71
Cheshire Road Safety Group -,GL ROYAL MAIL GROUP LTD,06/09/2023,Postage Costs,2132.89
Cheshire Road Safety Group -,GL ROYAL MAIL GROUP LTD,13/09/2023,Postage Costs,1810.30
Cheshire Road Safety Group -,GL ROYAL MAIL GROUP LTD,20/09/2023,Postage Costs,1380.59
Cheshire Road Safety Group -,GL ROYAL MAIL GROUP LTD,27/09/2023,Postage Costs,2097.19
Chester Command,CJS (UK MANAGEMENT) LTD,27/09/2023,Conference & Seminar Fees,1000.00
Chester Command,GRESHAM OFFICE FURNITURE LTD,05/07/2023,Furniture,1233.90
Chester Command,SPECIALIST COMPUTER CENTRES PLC,05/07/2023,Hardware - purchase,4379.08
Chester Command,SPECIALIST COMPUTER CENTRES PLC,06/09/2023,Hardware - purchase,940.09
Chester,LPU Neighbourhood BIKERIGHT! LTD,05/07/2023,Bicycle Repairs & Maintenance,376.17
Chester,LPU Neighbourhood CAPITA BUSINESS SERVICES LTD (TRAVEL),12/07/2023,Public Transport & Parking,374.40
Chester,LPU Neighbourhood CAPITA BUSINESS SERVICES LTD (TRAVEL),20/09/2023,Hotel Accommodation,633.32
Chester,LPU Neighbourhood GRG PUBLIC RESOURCES LTD,12/07/2023,Vehicle Recovery Costs,1299.00
Chester,LPU Neighbourhood JNE SECURITY LTD,13/09/2023,Specialist Equipment,3746.50
Chester,LPU Neighbourhood SOLON SECURITY LTD,16/08/2023,Specialist Equipment,516.60
Chester,LPU Neighbourhood SOLON SECURITY LTD,13/09/2023,Specialist Equipment,765.40
Chester,LPU Neighbourhood SOLON SECURITY LTD,13/09/2023,Specialist Equipment,2278.00
Chester,LPU Response SIGMA SECURITY DEVICES LTD,16/08/2023,Training Materials,960.00
Chester,LPU Response SIGMA SECURITY DEVICES LTD,16/08/2023,Carriage,20.00
Chester,LPU Response TRADE UK (SCREWFIX),16/08/2023,Training Materials,547.40
CID Reactive East,CAPITA BUSINESS SERVICES LTD (TRAVEL),27/07/2023,Hotel Accommodation,170.84
CID Reactive East,CORNWALL STREET BARRISTERS,26/07/2023,Agency / Temp Staff,900.00
CID Reactive East - cs,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12/07/2023,External Training Courses,800.00
CID Reactive East - cs,DJS MEDICAL SERVICES LTD,30/08/2023,Professional Fees,3900.00
CID Reactive North - cs,SPECIALIST COMPUTER CENTRES PLC,30/08/2023,Hardware - purchase,533.51
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,05/07/2023,Cleaning Equipment,769.35
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,19/07/2023,Cleaning Equipment,667.20
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,26/07/2023,Cleaning Equipment,528.55
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,26/07/2023,Cleaning Equipment,618.80
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,23/08/2023,Cleaning Equipment,597.00
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,23/08/2023,Cleaning Equipment,585.05
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,23/08/2023,Cleaning Equipment,586.30
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,23/08/2023,Cleaning Equipment,929.90
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,06/09/2023,Cleaning Equipment,1378.75
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,06/09/2023,Cleaning Equipment,850.35
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,06/09/2023,Cleaning Equipment,1187.15
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,06/09/2023,Cleaning Equipment,593.45
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,13/09/2023,Cleaning Equipment,726.20
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,27/09/2023,Cleaning Equipment,511.55
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,27/09/2023,Cleaning Equipment,594.00
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,27/09/2023,Cleaning Equipment,640.60
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,27/09/2023,Cleaning Equipment,656.00
Cleaning Services,EASTERN SHIRES PURCHASING ORGANISATION,27/09/2023,Cleaning Equipment,574.55
Command,ATALIAN SERVEST FOOD CO LTD (ANGEL HILL),26/07/2023,Contract Catering,899.62
Command,ATALIAN SERVEST FOOD CO LTD (ANGEL HILL),27/09/2023,Contract Catering,2504.56
Command,ATALIAN SERVEST FOOD CO LTD (CATERING),30/08/2023,Contract Catering,694.95
Command,CAPITA BUSINESS SERVICES LTD (TRAVEL),27/07/2023,Hotel Accommodation,232.50
Command,CAPITA BUSINESS SERVICES LTD (TRAVEL),02/08/2023,Public Transport & Parking,110.90
Command,CAPITA BUSINESS SERVICES LTD (TRAVEL),25/08/2023,Hotel Accommodation,609.70
Command,CAPITA BUSINESS SERVICES LTD (TRAVEL),30/08/2023,Public Transport & Parking,284.20
Command,CAPITA BUSINESS SERVICES LTD (TRAVEL),20/09/2023,Hotel Accommodation,2818.75
Command,CHESHIRE CONSTABULARY SPORTS CLUB,06/07/2023,Donations / Contributions,2443.00
Command,CPOSA,30/08/2023,Insurance NPCC / Supers Legal Protection,2900.00
Command,CPOSA,30/08/2023,Insurance NPCC / Supers Legal Protection,515.00
Command,ENGLAND POLICE RUFC,17/08/2023,Donations / Contributions,750.00
Command,POLICE AND CRIME COMMISSIONER FOR CUMBRIA,30/08/2023,Donations / Contributions,660.00
Command,QA LTD,20/09/2023,Internal Training Courses,4818.00
Command,SPECIALIST COMPUTER CENTRES PLC,27/09/2023,Hardware - purchase,640.70
Command,THE MESS DRESS LTD,06/09/2023,Professional Fees,751.00
Commissioning Appropriate Adult,THE APPROPRIATE ADULT SERVICE LTD,05/07/2023,Specific Grants awarded,7710.00
Commissioning Appropriate Adult,THE APPROPRIATE ADULT SERVICE LTD,19/07/2023,Specific Grants awarded,7010.00
Commissioning Appropriate Adult,THE APPROPRIATE ADULT SERVICE LTD,09/08/2023,Specific Grants awarded,4830.00
Commissioning Appropriate Adult,THE APPROPRIATE ADULT SERVICE LTD,20/09/2023,Specific Grants awarded,5760.00
Commissioning Community Safety Fund,CHESHIRE EAST COUNCIL (CHESTER),26/07/2023,Grants to Public Bodies,15000.00
Commissioning Community Safety Fund,CHESHIRE EAST COUNCIL (CHESTER),06/09/2023,Grants to Public Bodies,15000.00
Commissioning Community Safety Fund,CHESHIRE WEST AND CHESTER COUNCIL (MAIN),06/09/2023,Grants to Public Bodies,5250.00
Commissioning Community Safety Fund,CHESHIRE WEST AND CHESTER COUNCIL (MAIN),06/09/2023,Grants to Public Bodies,20000.00
Commissioning Community Safety Fund,CHESHIRE WEST AND CHESTER COUNCIL (MAIN),06/09/2023,Grants to Public Bodies,50000.00
Commissioning Community Safety Fund,CHESHIRE WEST AND CHESTER COUNCIL (MAIN),20/09/2023,Grants to Public Bodies,26000.00
Commissioning Community Safety Fund,CHESHIRE WEST AND CHESTER COUNCIL (MAIN),20/09/2023,Grants to Public Bodies,8500.00
Commissioning Community Safety Fund,CHESHIRE WITHOUT ABUSE,06/09/2023,Specific Grants awarded,95226.82
Commissioning Community Safety Fund,CHESHIRE WITHOUT ABUSE,20/09/2023,Specific Grants awarded,59438.31
Commissioning Community Safety Fund,FACEBOOK,14/08/2023,Promotional Material,686.04
Commissioning Community Safety Fund,FACEBOOK,28/08/2023,Promotional Material,771.43
Commissioning Community Safety Fund,HALTON BOROUGH COUNCIL,12/07/2023,Grants to Public Bodies,10972.00
Commissioning Community Safety Fund,INDIGO PROMOTIONS LTD,05/07/2023,Specific Grants awarded,9990.00
Commissioning Community Safety Fund,INTELLIGENT INSTRUMENTS LTD,13/09/2023,Specialist Equipment,4500.00
Commissioning Community Safety Fund,LEADERS UNLOCKED LTD,23/08/2023,Specific Grants awarded,8750.00
Commissioning Community Safety Fund,NIGHT CHURCH CHESTER,13/09/2023,Specific Grants awarded,1000.00
Commissioning Community Safety Fund,PAROCHIAL CHURCH COUNCIL OF GRAPPENHALL,13/09/2023,Specific Grants awarded,4000.00
Commissioning Community Safety Fund,PMA OUTDOOR MEDIA LTD,20/09/2023,Specific Grants awarded,1855.00
Commissioning Community Safety Fund,PREVEX LTD,27/09/2023,Specific Grants awarded,41475.00
Commissioning Community Safety Fund,SAFEGUARDING ON SPIKING LTD,09/08/2023,Specific Grants awarded,4275.00
Commissioning Community Safety Fund,SAVERA UK LTD,27/09/2023,Specific Grants awarded,26747.00
Commissioning Community Safety Fund,STREET PASTORS (CONGLETON),27/09/2023,Specific Grants awarded,2623.83
Commissioning Community Safety Fund,STREET PASTORS (WARRINGTON),13/09/2023,Specific Grants awarded,4998.00
Commissioning Community Safety Fund,TREACLE SEVEN LTD,19/07/2023,Specific Grants awarded,14324.00
Commissioning Community Safety Fund,TREACLE SEVEN LTD,30/08/2023,Specific Grants awarded,22074.00
Commissioning Community Safety Fund,TREACLE SEVEN LTD,20/09/2023,Specific Grants awarded,7750.00
Commissioning Community Safety Fund,WARRINGTON BOROUGH COUNCIL (FINANCE),20/07/2023,Grants to Public Bodies,49529.00
Commissioning Community Safety Fund,WARRINGTON BOROUGH COUNCIL (TOWN HALL),16/08/2023,Grants to Public Bodies,49529.00
Commissioning Community Safety Fund,WARRINGTON BOROUGH COUNCIL (TOWN HALL),27/09/2023,Grants to Public Bodies,11828.00
Commissioning Safer Communities Fund,CHESHIRE FIRE AND RESCUE SERVICE,06/09/2023,Specific Grants awarded,5000.00
Commissioning Safer Communities Fund,HALTON BOROUGH COUNCIL,23/08/2023,Specific Grants awarded,2000.00
Commissioning Safer Communities Fund,PERCEPTION THEATRE LTD,19/07/2023,Specific Grants awarded,3000.00
Commissioning Safer Communities Fund,RAGE LEISURE LTD,27/09/2023,Specific Grants awarded,5000.00
Commissioning Safer Communities Fund,TAGMASTER UK LTD,13/09/2023,Specialist Equipment,31974.60
Commissioning Safer Communities Fund,TITLE SHOT AMATUER BOXING CLUB,09/08/2023,Specific Grants awarded,5000.00
Commissioning Safer Communities Fund,TRANSITION WILMSLOW,16/08/2023,Specific Grants awarded,1500.00
Commissioning Safer Communities Fund,YOUTH FEDERATION,09/08/2023,Specific Grants awarded,4500.00
Commissioning Victims &,RJ CHESHIRE WEST AND CHESTER COUNCIL (MAIN),05/07/2023,Grants to Public Bodies,35000.00
Commissioning Victims &,RJ CHESHIRE WEST AND CHESTER COUNCIL (MAIN),05/07/2023,Grants to Public Bodies,35000.00
Commissioning Victims &,RJ CHESHIRE WEST AND CHESTER COUNCIL (MAIN),05/07/2023,Grants to Public Bodies,16000.00
Commissioning Victims &,RJ CHESHIRE WEST AND CHESTER COUNCIL (MAIN),19/07/2023,Grants to Public Bodies,88600.00
Commissioning Victims &,RJ HALTON BOROUGH COUNCIL,19/07/2023,Grants to Public Bodies,35000.00
Commissioning Victims &,RJ HALTON BOROUGH COUNCIL,19/07/2023,Grants to Public Bodies,88600.00
Commissioning Victims &,RJ RAPE AND SEXUAL ABUSE SUPPORT CENTRE,02/08/2023,Specific Grants awarded,105000.00
Commissioning Victims &,RJ RAPE AND SEXUAL ABUSE SUPPORT CENTRE,23/08/2023,Specific Grants awarded,26250.00
Commissioning Victims &,RJ REMEDI,02/08/2023,Specific Grants awarded,32000.00
Commissioning Victims &,RJ REMEDI,02/08/2023,Specific Grants awarded,20500.00
Commissioning Victims &,RJ REMEDI,23/08/2023,Specific Grants awarded,8000.00
Commissioning Victims &,RJ REMEDI,23/08/2023,Specific Grants awarded,75000.00
Commissioning Victims &,RJ TOMORROW'S WOMEN WIRRAL,26/07/2023,Specific Grants awarded,30000.00
Commissioning Victims &,RJ WARRINGTON BOROUGH COUNCIL (TOWN HALL),05/07/2023,Grants to Public Bodies,35000.00
Commissioning Victims &,RJ WARRINGTON BOROUGH COUNCIL (TOWN HALL),05/07/2023,Grants to Public Bodies,16000.00
Commissioning Victims &,RJ WARRINGTON BOROUGH COUNCIL (TOWN HALL),05/07/2023,Grants to Public Bodies,88600.00
Commissioning Victims &,RJ WARRINGTON BOROUGH COUNCIL (TOWN HALL),02/08/2023,Grants to Public Bodies,35000.00
Commissioning Victims &,RJ WEST MERCIA RAPE AND SEXUAL ABUSE SUPPORT CENTRE,12/07/2023,Specific Grants awarded,13981.68
Commissioning Victims &,RJ WEST MERCIA RAPE AND SEXUAL ABUSE SUPPORT CENTRE,02/08/2023,Specific Grants awarded,13981.68
Commissioning Victims &,RJ WEST MERCIA RAPE AND SEXUAL ABUSE SUPPORT CENTRE,30/08/2023,Specific Grants awarded,1600.00
Commissioning Victims &,RJ WEST MERCIA RAPE AND SEXUAL ABUSE SUPPORT CENTRE,06/09/2023,Specific Grants awarded,13981.68
Congleton,LPU Neighbourhood BIKERIGHT! LTD,05/07/2023,Bicycle Repairs & Maintenance,376.17
Continuous Professional Development,(CPDM)INDFUL EDGE LTD,27/09/2023,External Training Courses,2000.00
Coroners,ADECCO UK LTD,09/08/2023,Agency / Temp Staff,603.57
Corporate Communications,HAMADI MEDIA LTD,09/08/2023,Professional Fees,1650.00
Corporate Communications,MAYOR'S OFFICE FOR POLICING & CRIME,06/09/2023,Web Infrastructure,115140.52
Corporate Communications,MODES USERS ASSOCIATION,12/07/2023,Software Licences,2100.00
Corporate Communications,SPECIALIST COMPUTER CENTRES PLC,19/07/2023,Other IT Costs,1487.44
Corporate Costs,GRANT THORNTON UK LLP,05/07/2023,External Audit Fee,3991.84
Corporate Costs,GRANT THORNTON UK LLP,05/07/2023,External Audit Fee,7657.25
Corporate Costs,HOME OFFICE,05/07/2023,Seized Money Interest,16.15
Corporate Costs,HOME OFFICE,05/07/2023,Seized Money Interest,64.17
Corporate Costs,HOME OFFICE,05/07/2023,Seized Money Interest,2.34
Corporate Costs,HOME OFFICE,05/07/2023,Seized Money Interest,34.22
Corporate Costs,HOME OFFICE,05/07/2023,Seized Money Interest,0.57
Corporate Costs,HOME OFFICE,19/07/2023,Seized Money Interest,7.24
Corporate Costs,HOME OFFICE,19/07/2023,Seized Money Interest,30.93
Corporate Costs,HOME OFFICE,19/07/2023,Seized Money Interest,7.73
Corporate Costs,HOME OFFICE,19/07/2023,Seized Money Interest,17.40
Corporate Costs,HOME OFFICE,19/07/2023,Seized Money Interest,4.50
Corporate Costs,HOME OFFICE,19/07/2023,Seized Money Interest,3.31
Corporate Costs,HOME OFFICE,26/07/2023,Seized Money Interest,1.41
Corporate Costs,HOME OFFICE,26/07/2023,Seized Money Interest,7.62
Corporate Costs,HOME OFFICE,26/07/2023,Seized Money Interest,3.11
Corporate Costs,HOME OFFICE,26/07/2023,Seized Money Interest,2.79
Corporate Costs,HOME OFFICE,02/08/2023,Seized Money Interest,0.05
Corporate Costs,HOME OFFICE,09/08/2023,Seized Money Interest,0.36
Corporate Costs,HOME OFFICE,09/08/2023,Seized Money Interest,3.41
Corporate Costs,HOME OFFICE,09/08/2023,Seized Money Interest,2.52
Corporate Costs,HOME OFFICE,09/08/2023,Seized Money Interest,22.98
Corporate Costs,HOME OFFICE,16/08/2023,Seized Money Interest,2.84
Corporate Costs,HOME OFFICE,23/08/2023,Seized Money Interest,2.39
Corporate Costs,HOME OFFICE,23/08/2023,Seized Money Interest,7.83
Corporate Costs,HOME OFFICE,30/08/2023,Seized Money Interest,4.93
Corporate Costs,HOME OFFICE,13/09/2023,Seized Money Interest,0.71
Corporate Costs,HOME OFFICE,20/09/2023,Seized Money Interest,0.68
Corporate Costs,HOME OFFICE,27/09/2023,Seized Money Interest,58.96
Corporate Costs,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,06/09/2023,Internal Audit Fee,8050.00
Corporate Costs,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,06/09/2023,Internal Audit Fee,8050.00
Counter Terrorism Branch,POLICE AND CRIME COMMISSIONER FOR MERSEYSIDE,09/08/2023,Casual Users Mileage,4577.46
Counter Terrorism Branch,POLICE AND CRIME COMMISSIONER FOR MERSEYSIDE,09/08/2023,Secondment pay,17120.30
Counter Terrorism Branch,POLICE AND CRIME COMMISSIONER FOR MERSEYSIDE,09/08/2023,Secondment pay,15284.46
Creamfields Event -,GL ENTERPRISE RENT-A-CAR (UK) LTD,27/09/2023,Hire of Transport,544.00
Creamfields Event -,GL ENTERPRISE RENT-A-CAR (UK) LTD,27/09/2023,Hire of Transport,542.00
Creamfields Event -,GL ENTERPRISE RENT-A-CAR (UK) LTD,27/09/2023,Hire of Transport,568.00
Creamfields Event -,GL ENTERPRISE RENT-A-CAR (UK) LTD,27/09/2023,Hire of Transport,538.30
Creamfields Event -,GL ENTERPRISE RENT-A-CAR (UK) LTD,27/09/2023,Hire of Transport,515.86
Creamfields Event -,GL ENTERPRISE RENT-A-CAR (UK) LTD,27/09/2023,Hire of Transport,648.00
Creamfields Event -,GL ENTERPRISE RENT-A-CAR (UK) LTD,27/09/2023,Hire of Transport,568.00
Creamfields Event -,GL ENTERPRISE RENT-A-CAR (UK) LTD,27/09/2023,Hire of Transport,548.00
Creamfields Event -,GL ENTERPRISE RENT-A-CAR (UK) LTD,27/09/2023,Hire of Transport,568.00
Creamfields Event -,GL ENTERPRISE RENT-A-CAR (UK) LTD,27/09/2023,Hire of Transport,568.00
Crewe Command,CAPITA BUSINESS SERVICES LTD (TRAVEL),27/07/2023,Hotel Accommodation,206.67
Crewe,LPU Neighbourhood BIKERIGHT! LTD,05/07/2023,Bicycle Repairs & Maintenance,376.17
Crewe,LPU Neighbourhood MIDDLEWICH COMMUNITY CHURCH,12/07/2023,Hotel Accommodation,556.25
Criminal Justice,PEEL RECRUITMENT AND TRAINING SOLUTIONS LTD,05/07/2023,Agency / Temp Staff,2829.94
Criminal Justice,POLICE AND CRIME COMMISSIONER FOR MERSEYSIDE,09/08/2023,Hire of Rooms/Premises,1198.00
Criminal Justice - cs,PEEL RECRUITMENT AND TRAINING SOLUTIONS LTD,12/07/2023,Consortium service - Payroll,2751.22
Criminal Justice - cs,PEEL RECRUITMENT AND TRAINING SOLUTIONS LTD,12/07/2023,Consortium service - Payroll,2771.30
Criminal Justice - cs,PEEL RECRUITMENT AND TRAINING SOLUTIONS LTD,12/07/2023,Consortium service - Payroll,2779.25
Criminal Justice - cs,PEEL RECRUITMENT AND TRAINING SOLUTIONS LTD,12/07/2023,Consortium service - Payroll,2777.28
Custody,ABBOTT TOXICOLOGY LTD,05/07/2023,Medical & Hygiene Supplies,1800.00
Custody,ABBOTT TOXICOLOGY LTD,09/08/2023,Medical & Hygiene Supplies,900.00
Custody,ABBOTT TOXICOLOGY LTD,06/09/2023,Medical & Hygiene Supplies,900.00
Custody,ABBOTT TOXICOLOGY LTD,13/09/2023,Medical & Hygiene Supplies,1800.00
Custody,BIDFOOD LTD,12/07/2023,Detained Persons - Meals / Refreshments,671.96
Custody,BIDFOOD LTD,19/07/2023,Detained Persons - Meals / Refreshments,565.64
Custody,BIDFOOD LTD,19/07/2023,Detained Persons - Meals / Refreshments,1006.88
Custody,BIDFOOD LTD,26/07/2023,Detained Persons - Meals / Refreshments,1431.92
Custody,BIDFOOD LTD,26/07/2023,Detained Persons - Meals / Refreshments,526.49
Custody,BIDFOOD LTD,02/08/2023,Detained Persons - Meals / Refreshments,640.66
Custody,BIDFOOD LTD,16/08/2023,Detained Persons - Meals / Refreshments,621.72
Custody,BIDFOOD LTD,23/08/2023,Detained Persons - Meals / Refreshments,685.78
Custody,BIDFOOD LTD,23/08/2023,Detained Persons - Meals / Refreshments,546.96
Custody,BIDFOOD LTD,23/08/2023,Detained Persons - Meals / Refreshments,600.37
Custody,BIDFOOD LTD,30/08/2023,Detained Persons - Meals / Refreshments,868.01
Custody,BIDFOOD LTD,30/08/2023,Detained Persons - Meals / Refreshments,632.30
Custody,BIDFOOD LTD,06/09/2023,Detained Persons - Meals / Refreshments,642.02
Custody,BIDFOOD LTD,06/09/2023,Detained Persons - Meals / Refreshments,582.47
Custody,BIDFOOD LTD,13/09/2023,Detained Persons - Meals / Refreshments,1197.48
Custody,BIDFOOD LTD,13/09/2023,Detained Persons - Meals / Refreshments,1139.07
Custody,BIDFOOD LTD,13/09/2023,Detained Persons - Meals / Refreshments,667.42
Custody,BIDFOOD LTD,20/09/2023,Detained Persons - Meals / Refreshments,765.60
Custody,BIDFOOD LTD,20/09/2023,Detained Persons - Meals / Refreshments,531.76
Custody,CHARLES FELLOWS SUPPLIES LTD,05/07/2023,Detained Persons - Clothing,835.00
