Authority,Paid date,Document number,Gross,VAT,Net,Supplier,Directorate,GL description
Salford City Council,04/01/2023,601480040,564.30,94.05,470.25,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601480002,565.56,94.26,471.30,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479949,589.52,98.25,491.27,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601480003,603.49,100.58,502.91,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479909,625.62,104.27,521.35,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479960,645.19,107.53,537.66,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479912,646.48,107.75,538.73,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479910,647.09,107.85,539.24,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601480000,665.55,110.93,554.62,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479929,672.17,112.03,560.14,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479900,681.90,113.65,568.25,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601480029,695.28,115.88,579.40,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479894,702.32,117.06,585.26,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479940,703.19,117.20,585.99,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479943,711.48,118.58,592.90,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479933,768.10,128.01,640.09,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479961,769.67,128.28,641.39,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601480033,778.13,129.69,648.44,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479950,798.88,133.15,665.73,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479942,831.45,138.58,692.87,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601480034,928.13,154.69,773.44,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601480024,959.08,159.85,799.23,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479925,1075.31,179.22,896.09,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601480014,1105.30,184.22,921.08,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479939,1135.30,189.21,946.09,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479931,1242.58,207.10,1035.48,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479895,1411.29,235.21,1176.08,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479948,14768.40,2461.40,12307.00,G Jones Builders Ltd,People (Childrens) Service Group,Programme Maintenance & Works
Salford City Council,04/01/2023,1600698086,2160.00,360.00,1800.00,Good Sense (Conflict Resolution)Tra,People (Childrens) Service Group,Training expenses
Salford City Council,04/01/2023,1600702210,30986.18,5164.36,25821.82,Helping Hands Minor Repairs Service,Capital Expenditure,Payments to Contractors - Improvements
Salford City Council,04/01/2023,1600702232,36000.00,6000.00,30000.00,Helping Hands Minor Repairs Service,People (Childrens) Service Group,Equipment Purchase
Salford City Council,04/01/2023,1600702244,585.60,97.60,488.00,Ijm Electrical Contractors Ltd,Place Directorate,UV Programmed Repairs
Salford City Council,04/01/2023,1600702246,595.20,99.20,496.00,Ijm Electrical Contractors Ltd,Place Directorate,UV Programmed Repairs
Salford City Council,04/01/2023,1600701738,889.78,148.30,741.48,Ijm Electrical Contractors Ltd,Place Directorate,UV Day to Day Repairs
Salford City Council,04/01/2023,1600702259,760.82,126.80,634.02,Integrated Digital Cctv Systems Ltd,Place Directorate,Contractors
Salford City Council,04/01/2023,601479997,1560.00,260.00,1300.00,Jep Youth Engagement Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,04/01/2023,601479979,714.00,119.00,595.00,Joelec Ltd,People (Adults) - CHSC,Contractors
Salford City Council,04/01/2023,1600702223,2700.00,450.00,2250.00,L123 Ltd T/A Veriserv,Place Directorate,UV Day to Day Repairs
Salford City Council,04/01/2023,1600702256,1320.00,220.00,1100.00,M & A Brown (Engravers) Ltd,Service Reform (Corp Bus & Transform),Other Professional Fees
Salford City Council,04/01/2023,1600702233,6600.00,1100.00,5500.00,Ray Britland Contractors Ltd,Place Directorate,Contractors
Salford City Council,04/01/2023,601480008,660.00,0.00,660.00,Redacted Data,Place Directorate,Other Professional Fees
Salford City Council,04/01/2023,601480007,1020.00,0.00,1020.00,Redacted Data,Place Directorate,Other Professional Fees
Salford City Council,04/01/2023,1600702209,840.00,140.00,700.00,Shinevision Ltd,Capital Expenditure,Purchase of Computer Software
Salford City Council,04/01/2023,601480020,670.80,111.80,559.00,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,04/01/2023,601480021,838.50,139.75,698.75,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,04/01/2023,601480022,1408.50,234.75,1173.75,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,04/01/2023,1600702248,5288.70,881.45,4407.25,Teaching Personnel Ltd,People (Childrens) Service Group,Classroom Supplies Capitation
Salford City Council,04/01/2023,1600701195,3080.00,0.00,3080.00,The Redeemed Christian Church Of Go,People (Adults) - CHSC,Grants
Salford City Council,04/01/2023,601479991,811.80,135.30,676.50,Time Recruitment Solutions Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,04/01/2023,1600702231,5976.00,996.00,4980.00,Transport For Greater Manchester,Capital Expenditure,Miscellaneous Expenses
Salford City Council,04/01/2023,1600702249,3240.00,540.00,2700.00,Vivid Resourcing,Place Directorate,Agency Fees
Salford City Council,04/01/2023,1600702220,518.40,86.40,432.00,Working Office Wonders Ltd,People (Childrens) Service Group,Other Professional Fees
Salford City Council,05/01/2023,1600702260,4140.00,690.00,3450.00,Alan Franklin Builders Ltd,Capital Expenditure,Works & Building
Salford City Council,05/01/2023,1600702261,5820.00,970.00,4850.00,Alan Franklin Builders Ltd,Capital Expenditure,Works & Building
Salford City Council,05/01/2023,601480075,506.34,84.39,421.95,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,601480076,540.29,90.05,450.24,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,601480070,564.30,94.05,470.25,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,601480077,564.30,94.05,470.25,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,601480142,564.30,94.05,470.25,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,601480145,564.30,94.05,470.25,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,601480151,564.30,94.05,470.25,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,601480073,649.16,108.19,540.97,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,601480150,673.39,112.23,561.16,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,601480069,720.47,120.08,600.39,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,601480067,735.36,122.56,612.80,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,601480136,793.95,132.32,661.63,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,601480080,817.66,136.28,681.38,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,601480137,941.94,156.99,784.95,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,601480144,970.55,161.76,808.79,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,601480092,992.50,165.42,827.08,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,601480049,1003.17,167.20,835.97,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,601480085,1020.73,170.12,850.61,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,601480153,1040.02,173.34,866.68,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,601480133,1109.78,184.96,924.82,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,601480088,1384.76,230.80,1153.96,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,05/01/2023,1600702298,6667.00,0.00,6667.00,Gmw Mental Health Nhs Ft,Public Health,Payments to Agencies
Salford City Council,05/01/2023,1600702038,1584.00,264.00,1320.00,Hays Specialist Recruitment Ltd,People (Childrens) Service Group,Classroom Supplies Capitation
Salford City Council,05/01/2023,1600702035,2640.00,440.00,2200.00,Hays Specialist Recruitment Ltd,People (Childrens) Service Group,Classroom Supplies Capitation
Salford City Council,05/01/2023,601480099,7982.00,0.00,7982.00,Hm Prison & Probation Service,People (Childrens) Service Group,Payments to Agencies
Salford City Council,05/01/2023,601480095,9517.00,0.00,9517.00,Hm Prison & Probation Service,People (Childrens) Service Group,Payments to Agencies
Salford City Council,05/01/2023,601480096,9517.00,0.00,9517.00,Hm Prison & Probation Service,People (Childrens) Service Group,Payments to Agencies
Salford City Council,05/01/2023,601480097,16170.00,0.00,16170.00,Hm Prison & Probation Service,People (Childrens) Service Group,Payments to Agencies
Salford City Council,05/01/2023,1600702313,1093.22,182.20,911.02,Integrated Digital Cctv Systems Ltd,Place Directorate,Contractors
Salford City Council,05/01/2023,1600702212,1078.72,0.00,1078.72,Langworthy Cornerstone Assoc Ltd,People (Childrens) Service Group,Equipment Purchase
Salford City Council,05/01/2023,601480079,93022.96,15503.83,77519.13,Nsl Ltd,Place Directorate,Contractors
Salford City Council,05/01/2023,601480055,1380.00,230.00,1150.00,Permanent Futures Limited,Service Reform (Corp Bus & Transform),Agency Fees
Salford City Council,05/01/2023,601480056,2070.00,345.00,1725.00,Permanent Futures Limited,Service Reform (Corp Bus & Transform),Agency Fees
Salford City Council,05/01/2023,601480059,3450.00,575.00,2875.00,Permanent Futures Limited,Service Reform (Corp Bus & Transform),Agency Fees
Salford City Council,05/01/2023,601480057,6210.00,1035.00,5175.00,Permanent Futures Limited,Service Reform (Corp Bus & Transform),Agency Fees
Salford City Council,05/01/2023,1600702309,6000.00,1000.00,5000.00,Place North West Ltd,Capital Expenditure,Miscellaneous Expenses
Salford City Council,05/01/2023,1600701898,5130.00,855.00,4275.00,Pressboost Ltd,Place Directorate,UV Tank Cleaning
Salford City Council,05/01/2023,601480065,9333.33,0.00,9333.33,Project Inc Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,05/01/2023,6003627472,696.00,0.00,696.00,Redacted Data,People (Childrens) Service Group,Children & Young Persons Act-Section 23
Salford City Council,05/01/2023,1600702266,544.00,0.00,544.00,St Teresa's Treehouse Ltd,People (Adults) - CHSC,Grants
Salford City Council,05/01/2023,1600702265,816.00,0.00,816.00,T/A St Mary'S Treehouse,People (Adults) - CHSC,Grants
Salford City Council,05/01/2023,1600702314,19200.00,0.00,19200.00,University Of Salford,People (Childrens) Service Group,Payments to Agencies
Salford City Council,06/01/2023,1600702393,4659.14,149.14,4510.00,1010 Taxis,People (Childrens) Service Group,Payments to Agencies
Salford City Council,06/01/2023,6003628490,585.60,0.00,585.60,A. Venning Limited,Place Directorate,Equipment Purchase
Salford City Council,06/01/2023,6003628646,592.80,0.00,592.80,A. Venning Limited,Place Directorate,Equipment Purchase
Salford City Council,06/01/2023,6003628514,597.60,0.00,597.60,A. Venning Limited,Place Directorate,Equipment Purchase
Salford City Council,06/01/2023,6003628480,2170.46,0.00,2170.46,Adobe Acropro Subs,Service Reform (Corp Bus & Transform),IT Software
Salford City Council,06/01/2023,1600694603,1523.75,253.96,1269.79,Aecom Ltd - Europe,Capital Expenditure,External Fees - Other
Salford City Council,06/01/2023,1600702344,2675.04,445.84,2229.20,Aecom Ltd - Europe,Capital Expenditure,External Fees - Other
Salford City Council,06/01/2023,1600702345,9500.06,1583.34,7916.72,Aecom Ltd - Europe,Capital Expenditure,External Fees - Other
Salford City Council,06/01/2023,1600702336,1566.00,261.00,1305.00,Alliance Disposables Ltd,Capital Expenditure,Works & Building
Salford City Council,06/01/2023,601480295,800.00,0.00,800.00,Auntie Stephs Playgroup,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,06/01/2023,1600702331,3716.64,619.44,3097.20,Bloom Procurement Services Ltd,Capital Expenditure,Works & Building
Salford City Council,06/01/2023,1600702349,1200.00,200.00,1000.00,Desco (Design & Consultancy) Ltd,Capital Expenditure,Other Works
Salford City Council,06/01/2023,1600702350,2880.00,480.00,2400.00,Desco (Design & Consultancy) Ltd,Capital Expenditure,Other Works
Salford City Council,06/01/2023,1600702361,4864.00,0.00,4864.00,Disclosure & Barring Service,Service Reform (Corp Bus & Transform),Other Professional Fees
Salford City Council,06/01/2023,6003628377,1204.00,0.00,1204.00,Divrse 1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628729,1484.00,0.00,1484.00,Divrse 1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628443,1204.00,0.00,1204.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628446,1204.00,0.00,1204.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628478,1204.00,0.00,1204.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628527,1204.00,0.00,1204.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628389,1484.00,0.00,1484.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628444,1484.00,0.00,1484.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628771,1484.00,0.00,1484.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628778,1484.00,0.00,1484.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628849,1484.00,0.00,1484.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628424,1625.00,0.00,1625.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628636,2275.00,0.00,2275.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628831,2860.00,0.00,2860.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628476,2996.00,0.00,2996.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628783,3185.00,0.00,3185.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628465,13908.44,0.00,13908.44,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628606,1484.00,0.00,1484.00,Divrse P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628408,2996.00,0.00,2996.00,Divrse P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628460,2996.00,0.00,2996.00,Divrse P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628690,2996.00,0.00,2996.00,Divrse P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,1600702379,903.00,150.50,752.50,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,06/01/2023,1600702380,1481.05,246.84,1234.21,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,06/01/2023,6003628643,563.00,0.00,563.00,Expedia,People (Adults) - CHSC,Staff Travel
Salford City Council,06/01/2023,6003628435,3633.00,0.00,3633.00,Expedia 72454768349641,Service Reform (Corp Bus & Transform),Staff Travel
Salford City Council,06/01/2023,601480316,4325.63,0.00,4325.63,Forbes Solicitors,Service Reform (Corp Bus & Transform),Provision for Liability Insurance
Salford City Council,06/01/2023,601480317,6329.00,0.00,6329.00,Forbes Solicitors,Service Reform (Corp Bus & Transform),Provision for Liability Insurance
Salford City Council,06/01/2023,601480293,537.87,0.00,537.87,Friends Of Parr Fold Park,Place Directorate,Payments to Voluntary Organisations
Salford City Council,06/01/2023,601480294,1389.33,0.00,1389.33,Friends Of Parr Fold Park,Place Directorate,Payments to Voluntary Organisations
Salford City Council,06/01/2023,601480241,543.76,90.63,453.13,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,06/01/2023,601480253,681.90,113.65,568.25,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,06/01/2023,601480256,728.10,121.35,606.75,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,06/01/2023,601480277,745.44,124.24,621.20,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,06/01/2023,601480271,827.91,137.99,689.92,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,06/01/2023,601480240,928.13,154.69,773.44,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,06/01/2023,601480278,1281.27,213.55,1067.72,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,06/01/2023,1600702338,247536.00,0.00,247536.00,Gmw Mental Health Nhs Ft,People (Adults) - CHSC,Payments to Health Authority
Salford City Council,06/01/2023,1600702337,5670.00,0.00,5670.00,Gorse Hill Studios Creative Communi,People (Childrens) Service Group,Pupil Assistance
Salford City Council,06/01/2023,6003628742,996.98,0.00,996.98,Hn Nuttall Ltd,Place Directorate,non -UV Building Repairs & Maintenance
Salford City Council,06/01/2023,6003628836,1873.25,0.00,1873.25,Hotel At Booking.Com,People (Childrens) Service Group,Staff Travel
Salford City Council,06/01/2023,6003628730,1685.00,280.83,1404.17,Howdens - Worsley Df,People (Adults) - CHSC,Materials
Salford City Council,06/01/2023,6003628631,650.00,0.00,650.00,L M Property Maintenan,People (Adults) - CHSC,Removal Expenses
Salford City Council,06/01/2023,6003628843,650.00,0.00,650.00,L M Property Maintenan,People (Adults) - CHSC,Removal Expenses
Salford City Council,06/01/2023,6003628862,13955.23,0.00,13955.23,M & N Bland,People (Adults) - CHSC,Day Care
Salford City Council,06/01/2023,6003628861,15649.92,0.00,15649.92,M & N Bland,People (Adults) - CHSC,Day Care
Salford City Council,06/01/2023,1600702381,825.00,137.50,687.50,Manchester City Council,Service Reform (Corp Bus & Transform),Marketing & Publicity
Salford City Council,06/01/2023,1600702384,2000.00,0.00,2000.00,Manchester City Council,People (Adults) - CHSC,Other Professional Fees
Salford City Council,06/01/2023,1600702382,2277.42,379.57,1897.85,Manchester City Council,Capital Expenditure,Legal Fees
Salford City Council,06/01/2023,1600702387,2776.00,0.00,2776.00,Manchester City Council,Place Directorate,Payments to Voluntary Organisations
Salford City Council,06/01/2023,6003628741,507.00,0.00,507.00,North West Accomm,People (Childrens) Service Group,Rents
Salford City Council,06/01/2023,6003628569,1044.42,0.00,1044.42,North West Accomm,People (Childrens) Service Group,Rents
Salford City Council,06/01/2023,601480268,1349.46,224.91,1124.55,Northern Events & Catering Ltd,Place Directorate,Food and refreshments
Salford City Council,06/01/2023,6003628532,1344.00,0.00,1344.00,Park View Residence,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628565,1344.00,0.00,1344.00,Park View Residence,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628645,1344.00,0.00,1344.00,Park View Residence,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628675,1344.00,0.00,1344.00,Park View Residence,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628695,1344.00,0.00,1344.00,Park View Residence,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628727,1344.00,0.00,1344.00,Park View Residence,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628357,2976.00,0.00,2976.00,Park View Residence,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628530,5952.00,0.00,5952.00,Park View Residence,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628472,1344.00,0.00,1344.00,Parkview,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,6003628501,5952.00,0.00,5952.00,Parkview,People (Adults) - CHSC,Rents
Salford City Council,06/01/2023,601480290,2000.00,0.00,2000.00,Poorlots Allotment And Leisure,Place Directorate,Payments to Voluntary Organisations
Salford City Council,06/01/2023,6003628350,1590.04,0.00,1590.04,Quayside Bakery,Place Directorate,Food and refreshments
Salford City Council,06/01/2023,601480300,885.00,0.00,885.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,06/01/2023,6003628511,516.06,0.00,516.06,Redacted Data,People (Adults) - CHSC,Other Professional Fees
Salford City Council,06/01/2023,6003628860,8846.40,0.00,8846.40,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,06/01/2023,6003628859,8989.97,0.00,8989.97,Redacted Data,People (Adults) - CHSC,Home Helps
