DIRECTORATE,PAYMENT DATE, PAYMENT AMOUNT ,PAYEE,SUPPLIER NO,ACTIVITY
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023," 2,149.52 ",REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023," 1,990.32 ",REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 595.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023," 1,312.50 ",REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 650.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Housing & Regeneration Directorate,05/06/2023," 1,090.21 ",Royal Mail Group Ltd,Invoice,Postage
Environment & Community Services Directorate,05/06/2023," 1,140.00 ",Orange Tree Theatre Ltd,Invoice,Consultants Fees
Chief Executives Directorate,05/06/2023," 2,240.00 ",Abracadabra Event Services Ltd,Invoice,Miscellaneous Expenses
Adult Social Services Directorate,05/06/2023," 1,188.46 ",The Green & Fir Road Surgeries,Invoice,Third Party Pymt - Health
Adult Social Services Directorate,05/06/2023," 8,104.67 ",The York Medical Practice,Invoice,Third Party Pymt - Health
Adult Social Services Directorate,05/06/2023," 6,391.72 ",The Hampton Medical Centre,Invoice,Third Party Pymt - Health
Adult Social Services Directorate,05/06/2023," 4,055.00 ",Twickenham Park Surgery,Invoice,Third Party Pymt - Health
Capital Expenditure,05/06/2023," 6,720.00 ",Richmond Housing Partnership,Invoice,CAPEXP Professional Fees
Adult Social Services Directorate,05/06/2023, 552.83 ,The Partners Broad Lane Surger,Invoice,Third Party Pymt - Health
Adult Social Services Directorate,05/06/2023," 3,302.01 ",REDACTED PERSONAL DATA,Invoice,Third Party Pymt - Health
Adult Social Services Directorate,05/06/2023," 3,220.00 ",Jubilee Surgery,Invoice,Third Party Pymt - Health
Adult Social Services Directorate,05/06/2023," 2,175.00 ",Summers-Inman LLP,Invoice,Intermediate Care Service Cont
Adult Social Services Directorate,05/06/2023," 4,149.12 ",Hampton Hill Medical Centre,Invoice,Third Party Pymt - Health
Adult Social Services Directorate,05/06/2023," 4,592.23 ",Richmond Lock Surgery,Invoice,Third Party Pymt - Health
Adult Social Services Directorate,05/06/2023, 917.00 ,Hampton Wick Surgery,Invoice,Third Party Pymt - Health
Adult Social Services Directorate,05/06/2023," 2,301.71 ",Woodlawn Medical Centre,Invoice,Third Party Pymt - Health
Adult Social Services Directorate,05/06/2023," 1,230.00 ",Staines Road Surgery,Invoice,Third Party Pymt - Health
Adult Social Services Directorate,05/06/2023," 1,542.40 ",Acorn Group Practice,Invoice,Third Party Pymt - Health
Adult Social Services Directorate,05/06/2023," 1,325.90 ",Thameside Medical Practice,Invoice,Third Party Pymt - Health
Adult Social Services Directorate,05/06/2023," 3,008.47 ",Parkshot Medical Practice,Invoice,Third Party Pymt - Health
Adult Social Services Directorate,05/06/2023," 5,636.70 ",REDACTED PERSONAL DATA,Invoice,Third Party Pymt - Health
Resources Directorate,05/06/2023," 1,688.87 ",Twofold Ltd,Invoice,Hardware Maintenance
Adult Social Services Directorate,05/06/2023," 4,706.65 ",Park Road Surgery,Invoice,Third Party Pymt - Health
Environment & Community Services Directorate,05/06/2023," 1,280.44 ",Newsquest Media Group Ltd,Invoice,Section 14 RTA Costs
Adult Social Services Directorate,05/06/2023," 5,975.14 ",Cross Deep Surgery Dr Robertso,Invoice,Third Party Pymt - Health
Adult Social Services Directorate,05/06/2023," 2,050.79 ",Kew Medical Practice,Invoice,Third Party Pymt - Health
Environment & Community Services Directorate,05/06/2023," 3,000.00 ",Metis Consultants Ltd,Invoice,Consultants Fees
Environment & Community Services Directorate,05/06/2023," 72,142.54 ",F M Conway Limited,Invoice,Highways Maintenance Con
Environment & Community Services Directorate,05/06/2023," 20,220.00 ",Transform Landscape Design Ltd,Invoice,Conservation Contract
Children's Services Directorate,05/06/2023," 309,093.38 ",Hampton Junior School,Invoice,School Budget Share
Children's Services Directorate,05/06/2023," 70,294.40 ",Hampton Wick Infants School,Invoice,School Budget Share
Children's Services Directorate,05/06/2023," 88,262.60 ",St John The Baptist School,Invoice,School Budget Share
Children's Services Directorate,05/06/2023," 225,033.01 ",St Marys & St Peters Primary S,Invoice,School Budget Share
Children's Services Directorate,05/06/2023," 229,051.46 ",St James'  RC Primary School,Invoice,School Budget Share
Children's Services Directorate,05/06/2023," 150,668.15 ",Orleans Primary school,Invoice,School Budget Share
Children's Services Directorate,05/06/2023," 190,456.42 ",Stanley Primary School,Invoice,School Budget Share
Children's Services Directorate,05/06/2023," 238,753.81 ",Collis School,Invoice,School Budget Share
Children's Services Directorate,05/06/2023," 453,677.95 ",Christ's School,Invoice,School Budget Share
Children's Services Directorate,05/06/2023," 229,443.27 ",The Vineyard Primary School,Invoice,School Budget Share
Children's Services Directorate,05/06/2023," 141,996.09 ",The Queens School,Invoice,School Budget Share
Children's Services Directorate,05/06/2023," 159,495.62 ",St Edmund's R.C.School,Invoice,School Budget Share
Children's Services Directorate,05/06/2023," 155,659.63 ",Barnes Primary School,Invoice,School Budget Share
Children's Services Directorate,05/06/2023," 58,841.90 ",Kew Riverside Primary School,Invoice,School Budget Share
Adult Social Services Directorate,05/06/2023," 1,598.40 ",DAWSONRENTALS BUS & COACH LTD,Invoice,Transport Hire & Leasing Costs
Environment & Community Services Directorate,05/06/2023," 1,989.60 ",FURNITURE@ WORK LTD,Invoice,Equipment
Environment & Community Services Directorate,05/06/2023," 5,670.00 ",IDOX Software Ltd,Invoice,Software Maintenance
Environment & Community Services Directorate,05/06/2023," 6,054.47 ",Tarmac Trading Ltd,Invoice,Materials
Adult Social Services Directorate,05/06/2023," 9,463.50 ",Haven Care Ltd,Invoice,Re-ablement
Capital Expenditure,05/06/2023, 880.00 ,dts Consultancy Ltd,Invoice,CAPEXP Professional Fees
Housing & Regeneration Directorate,05/06/2023, 660.00 ,KENWAYS FURNITURE,Invoice,Social Fund Payments
Environment & Community Services Directorate,05/06/2023, 525.00 ,REDACTED PERSONAL DATA,Invoice,Consultants Fees
