Service Label,Service Code,Service division,Service division code,Organisational unit,Expenditure Category,Expenditure code,Date,Transaction number,Net Amount,Capital or Revenue,Supplier name,Supplier ID
PLACE AND COMMUNITIES,600,TRANSPORT,6410,Public Bus Subsidy,Transport Contracts,6151520,03/12/2024,5100449906,499.90,Revenue,EAST BEDS COMMUNITY BUS LTD,100214
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,Allison House OPH,Catering Supplies,6140200,03/12/2024,5100453633,594.10,Revenue,BRAKE BROS FOOD SERVICE LTD,100299
CHILDREN'S SERVICES,401,EDUCATION SEND AND INCLUSION,4230,SENAdd Pupil Support,Alternative School Provisions,6151330,03/12/2024,5100454070,"1,750.00",Revenue,THE FIRS LOWER SCHOOL ACADEMY,100499
MONITORING OFFICER,155,HEAD OF COMMITTEE & ELECTORAL SERVICES,2500,Coroners,Post Mortem Expenses,6151400,03/12/2024,5100454269,"4,723.47",Revenue,BEDS HOSPITALS NHS FOUNDATION,100584
MONITORING OFFICER,155,HEAD OF COMMITTEE & ELECTORAL SERVICES,2500,Coroners,Post Mortem Expenses,6151400,03/12/2024,5100454262,"7,347.62",Revenue,BEDS HOSPITALS NHS FOUNDATION,100584
MONITORING OFFICER,155,HEAD OF COMMITTEE & ELECTORAL SERVICES,2500,Coroners,Post Mortem Expenses,6151400,03/12/2024,5100454261,"9,446.94",Revenue,BEDS HOSPITALS NHS FOUNDATION,100584
MONITORING OFFICER,155,HEAD OF COMMITTEE & ELECTORAL SERVICES,2500,Coroners,Post Mortem Expenses,6151400,03/12/2024,5100454180,"8,397.28",Revenue,BEDS HOSPITALS NHS FOUNDATION,100584
MONITORING OFFICER,155,HEAD OF COMMITTEE & ELECTORAL SERVICES,2500,Coroners,Post Mortem Expenses,6151400,03/12/2024,5100454179,"-1,049.66",Revenue,BEDS HOSPITALS NHS FOUNDATION,100584
SOCIAL CARE HEALTH & HOUSING,500,HOUSING SOLUTIONS (GF),5150,Woodlands,Telephones,6142100,03/12/2024,5100454776,227.22,Revenue,BRITISH TELECOM,100594
SOCIAL CARE HEALTH & HOUSING,500,HOUSING SOLUTIONS (GF),5150,GF Inclusion,Supported Housing Contracts,6151515,03/12/2024,5100454493,"4,583.33",Revenue,SIGNPOSTS (LUTON),100774
MONITORING OFFICER,155,HEAD OF COMMITTEE & ELECTORAL SERVICES,2500,Coroners,Post Mortem Expenses,6151400,03/12/2024,5100454259,"5,773.13",Revenue,BEDS HOSPITALS NHS FOUNDATION,100964
MONITORING OFFICER,155,HEAD OF COMMITTEE & ELECTORAL SERVICES,2500,Coroners,Post Mortem Expenses,6151400,03/12/2024,5100454260,"6,297.96",Revenue,BEDS HOSPITALS NHS FOUNDATION,100964
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/12/2024,2100432296,250.19,Revenue,MENTAUR LTD,101095
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/12/2024,2100432297,250.19,Revenue,MENTAUR LTD,101095
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/12/2024,2100432298,250.19,Revenue,MENTAUR LTD,101095
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/12/2024,2100432299,250.19,Revenue,MENTAUR LTD,101095
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/12/2024,2100432300,643.32,Revenue,MENTAUR LTD,101095
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/12/2024,2100432301,643.32,Revenue,MENTAUR LTD,101095
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/12/2024,2100432302,643.32,Revenue,MENTAUR LTD,101095
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/12/2024,2100432303,643.32,Revenue,MENTAUR LTD,101095
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/12/2024,2100432307,474.94,Revenue,MENTAUR LTD,101095
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/12/2024,2100432304,474.94,Revenue,MENTAUR LTD,101095
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/12/2024,2100432305,474.94,Revenue,MENTAUR LTD,101095
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/12/2024,2100432306,474.94,Revenue,MENTAUR LTD,101095
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431805,429.88,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431804,416.05,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431803,425.92,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431806,390.84,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Physical Dis,Home Care,6151225,03/12/2024,2100431802,304.28,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Physical Dis,Home Care,6151225,03/12/2024,2100431801,300.96,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Physical Dis,Home Care,6151225,03/12/2024,2100431800,271.06,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431831,370.58,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431814,497.54,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431813,456.50,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431812,469.13,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431811,477.04,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431810,307.72,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431832,367.60,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431833,390.54,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431834,378.08,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431835,330.03,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431836,335.12,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431837,334.36,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431838,342.99,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431839,430.93,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431840,434.84,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431841,452.52,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431842,423.17,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431848,261.74,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431849,270.37,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431850,261.74,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431851,303.39,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431852,316.38,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431853,312.71,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431854,316.38,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431867,516.56,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431868,527.79,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431869,495.18,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431874,296.05,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431875,308.11,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431876,316.01,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431877,325.33,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431912,552.59,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431917,779.46,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431918,775.50,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431919,789.94,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431920,790.02,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431809,322.03,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431808,314.79,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431789,817.44,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Physical Dis,Home Care,6151225,03/12/2024,2100431799,285.77,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431792,802.75,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431791,765.72,Revenue,HELPERS HOMECARE LTD,101125
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Home Care,6151225,03/12/2024,2100431790,837.74,Revenue,HELPERS HOMECARE LTD,101125
OFFICE OF THE CHIEF EXECUTIVE,100,CHIEF EXECUTIVE,1100,Capital Projects,Professional Services - Consultancy,6141020,03/12/2024,5100450517,"1,620.00",Capital,RICOH UK LTD,101388
RESOURCES & ORG CHANGE,150,SERVICE DIRECTOR IT & CUSTOMER SERVICES,7550,MFDs,Printing Services,6140801,03/12/2024,5100449921,"1,179.35",Revenue,RICOH UK LTD,101388
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/12/2024,2100431952,313.41,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/12/2024,2100431953,313.41,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/12/2024,2100431954,272.97,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/12/2024,2100431951,313.41,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,HOUSING SOLUTIONS (GF),5150,GF Inclusion,Supported Housing Contracts,6151515,03/12/2024,5100454494,"4,847.96",Revenue,AMICUS TRUST LTD,102124
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Rents,6120400,03/12/2024,5100453906,"14,038.36",Revenue,GRAND UNION HOUSING GROUP,102202
PLACE AND COMMUNITIES,600,REGENERATION DIRECTOR,6100,Capital - Regen.,Capital Expenditure S106,6144325,03/12/2024,5100450595,"24,313.23",Capital,CLIFTON ALL SAINTS ACADEMY,102300
PLACE AND COMMUNITIES,600,REGENERATION DIRECTOR,6100,Capital - Regen.,Capital Expenditure S106,6144325,03/12/2024,5100450595,"2,860.56",Capital,CLIFTON ALL SAINTS ACADEMY,102300
PLACE AND COMMUNITIES,600,ENVIRONMENT,6800,Household Waste,Street Sweepings Disposal,6161520,03/12/2024,5100453158,984.40,Revenue,BIFFA WASTE SERVICES LTD,102335
PLACE AND COMMUNITIES,600,ENVIRONMENT,6800,Household Waste,Street Sweepings Disposal,6161520,03/12/2024,5100453156,"3,491.26",Revenue,BIFFA WASTE SERVICES LTD,102335
PLACE AND COMMUNITIES,600,EDUCATIONAL TRANSPORT,4350,SEN Transport,Transport Contracts,6151520,03/12/2024,5100454628,"3,676.58",Revenue,SURMA VALLEY LTD T/A DAYTIME C,102638
RESOURCES & ORG CHANGE,150,SERVICE DIR HUMAN RESOURCES & ORG DEVELP,7300,Human Resources,Subscriptions,6144305,03/12/2024,5100450971,"6,995.00",Revenue,LEXIS NEXIS,102896
PLACE AND COMMUNITIES,600,REGENERATION DIRECTOR,6100,Capital - Regen.,Capital Expenditure S106,6144325,03/12/2024,5100449900,"5,611.25",Capital,FLITWICK TOWN COUNCIL,102897
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,03/12/2024,1900141898,658.01,Revenue,ASKEWS LIBRARY SERVICES LTD,103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,03/12/2024,1900141899,361.75,Revenue,ASKEWS LIBRARY SERVICES LTD,103588
HRA,850,HOUSING SERVICES (HRA),5100,Repairs cyclical,HRA Lift Maintenance,6125070,03/12/2024,5100452118,220.00,Revenue,STANNAH LIFT SERVICES LTD,103865
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,OT Team,Furniture & Equipment Repairs & Maintenance,6140010,03/12/2024,5100454401,294.55,Revenue,STANNAH LIFT SERVICES LTD,103865
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Private Contractors,6151500,03/12/2024,5100454277,"3,042.00",Capital,STANNAH LIFT SERVICES LTD,103865
PLACE AND COMMUNITIES,600,REGENERATION DIRECTOR,6100,Capital - Regen.,Capital Expenditure S106,6144325,03/12/2024,5100450177,"45,299.79",Capital,NHS BEDS LUTON & MK ICB,103994
PLACE AND COMMUNITIES,600,SERVICE DIRECTOR ASSETS & CAPITAL DELIVE,7600,Pre-Schools Maint Fu,Planned Servicing,6121070,03/12/2024,5100450055,325.00,Revenue,SWIFTCLEAN (UK) LTD,104230
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,Westlands OPH,Private Contractors,6151500,03/12/2024,5100454585,268.14,Revenue,PHS GROUP LTD,105345
CHILDREN'S SERVICES,401,EDUCATION SEND AND INCLUSION,4230,Top Up Payments,Direct School Support,6151335,03/12/2024,5100452197,"4,276.92",Revenue,LADY ZIA WERNHER SCHOOL,106708
CHILDREN'S SERVICES,401,EDUCATION SEND AND INCLUSION,4230,School Improvement,Professional Services - Other,6141040,03/12/2024,5100450013,"3,924.02",Revenue,GL ASSESSMENT LTD (GL EDUCATIO,107068
CHILDREN'S SERVICES,401,EDUCATION SEND AND INCLUSION,4230,Wellcomm Project,Professional Services - Other,6141040,03/12/2024,5100450012,"7,499.75",Revenue,GL ASSESSMENT LTD (GL EDUCATIO,107068
CHILDREN'S SERVICES,401,AD SOCIAL CARE & EARLY HELP,4100,LAC External Provide,Contact Expenses Birth Families & LAC,6160940,03/12/2024,5100450518,"87,846.25",Revenue,BARNARDO'S SERVICES LTD,107366
CHILDREN'S SERVICES,401,AD SOCIAL CARE & EARLY HELP,4100,LAC External Provide,Contact Expenses Birth Families & LAC,6160940,03/12/2024,5100450519,"87,846.25",Revenue,BARNARDO'S SERVICES LTD,107366
PLACE AND COMMUNITIES,600,PLACE & C DIRECTOR,6200,Capital - Comm Servs,Professional Services - Consultancy,6141020,03/12/2024,5100449924,"6,200.00",Capital,SYMOLOGY LTD,107391
HRA,850,HOUSING SERVICES (HRA),5100,Neighbourhood Ops,Furniture Equipment and Materials,6140000,03/12/2024,5100452081,229.80,Revenue,DUNSTABLE LOCK & SAFE CO,107525
PLACE AND COMMUNITIES,600,SERVICE DIRECTOR ASSETS & CAPITAL DELIVE,7600,Chiltern Vale Quadra,Repairs Alterations and Maintenance of Buildings,6121000,03/12/2024,5100454316,300.05,Revenue,DUNSTABLE LOCK & SAFE CO,107525
PLACE AND COMMUNITIES,600,EDUCATIONAL TRANSPORT,4350,SEN Transport,Transport Contracts,6151520,03/12/2024,5100454238,"21,251.88",Revenue,BRITANNIA CABS,107974
PLACE AND COMMUNITIES,600,EDUCATIONAL TRANSPORT,4350,Mainstream Schools,Transport Contracts,6151520,03/12/2024,5100454239,"45,353.30",Revenue,BRITANNIA CABS,107974
PLACE AND COMMUNITIES,600,EDUCATIONAL TRANSPORT,4350,Mainstream Schools,Transport Contracts,6151520,03/12/2024,5100454240,"48,835.35",Revenue,BRITANNIA CABS,107974
PLACE AND COMMUNITIES,600,ENVIRONMENT,6800,Grounds Maint - Sth,Private Contractors,6151500,03/12/2024,5100449991,"9,178.74",Revenue,JOHN O' CONNER (GROUNDS MAINTE,108415
PLACE AND COMMUNITIES,600,SERVICE DIRECTOR ASSETS & CAPITAL DELIVE,7600,Leighton Linslade Qu,Repairs Alterations and Maintenance of Buildings,6121000,03/12/2024,5100454373,150.00,Revenue,SMITH OF DERBY LTD,109207
PLACE AND COMMUNITIES,600,SERVICE DIRECTOR ASSETS & CAPITAL DELIVE,7600,Ivel Valley Quadrant,Repairs Alterations and Maintenance of Buildings,6121000,03/12/2024,5100454373,150.00,Revenue,SMITH OF DERBY LTD,109207
PLACE AND COMMUNITIES,600,SERVICE DIRECTOR ASSETS & CAPITAL DELIVE,7600,Shops and Offices,Repairs Alterations and Maintenance of Buildings,6121000,03/12/2024,5100454373,150.00,Revenue,SMITH OF DERBY LTD,109207
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Private Contractors,6151500,03/12/2024,5100454278,"8,666.66",Capital,EMS LIFTS LIMITED,109464
CORPORATE COSTS,160,CORPORATE COSTS,7800,Pension Payments,Pension Payments,5119000,03/12/2024,5100454495,"143,096.84",Revenue,BEDFORD BOROUGH COUNCIL,109540
PLACE AND COMMUNITIES,600,EDUCATIONAL TRANSPORT,4350,Mainstream Schools,Transport Contracts,6151520,03/12/2024,5100447071,"1,104.00",Revenue,BEDFORD BOROUGH COUNCIL,109540
PUBLIC HEALTH,800,ASST DIRECTOR OF PUBLIC HEALTH,8010,PH Other C&YP Contra,Public Health SLA Recharges,6150230,03/12/2024,5100450645,"6,187.50",Revenue,BEDFORD BOROUGH COUNCIL,109540
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Other LAs SLA's & Recharges,6150200,03/12/2024,5100454836,"13,969.92",Revenue,BEDFORD BOROUGH COUNCIL,109540
HRA,850,HOUSING SERVICES (HRA),5100,Community Support,Electricity Costs,6120210,03/12/2024,5100454432,418.37,Revenue,BRITISH GAS TRADING,109714
HRA,850,HOUSING SERVICES (HRA),5100,Tenant Service Chges,Electricity Costs,6120210,03/12/2024,5100454111,344.42,Revenue,NPOWER LTD,109845
PLACE AND COMMUNITIES,600,PARKING,6825,Car Park Mgt &Maint,Electricity Costs,6120210,03/12/2024,5100451731,"2,274.92",Revenue,NPOWER LTD,109845
PLACE AND COMMUNITIES,600,SERVICE DIRECTOR ASSETS & CAPITAL DELIVE,7600,Comm.Leases/Licences,Electricity Costs,6120210,03/12/2024,5100454330,518.31,Revenue,NPOWER LTD,109845
PLACE AND COMMUNITIES,600,SERVICE DIRECTOR ASSETS & CAPITAL DELIVE,7600,Comm.Leases/Licences,Electricity Costs,6120210,03/12/2024,5100454336,667.92,Revenue,NPOWER LTD,109845
PLACE AND COMMUNITIES,600,SERVICE DIRECTOR ASSETS & CAPITAL DELIVE,7600,Comm.Leases/Licences,Electricity Costs,6120210,03/12/2024,5100454332,611.91,Revenue,NPOWER LTD,109845
PLACE AND COMMUNITIES,600,SERVICE DIRECTOR ASSETS & CAPITAL DELIVE,7600,Comm.Leases/Licences,Electricity Costs,6120210,03/12/2024,5100454333,742.87,Revenue,NPOWER LTD,109845
PLACE AND COMMUNITIES,600,SERVICE DIRECTOR ASSETS & CAPITAL DELIVE,7600,Comm.Leases/Licences,Electricity Costs,6120210,03/12/2024,5100454329,442.21,Revenue,NPOWER LTD,109845
PLACE AND COMMUNITIES,600,SERVICE DIRECTOR ASSETS & CAPITAL DELIVE,7600,Comm.Leases/Licences,Electricity Costs,6120210,03/12/2024,5100454335,568.24,Revenue,NPOWER LTD,109845
PLACE AND COMMUNITIES,600,SUSTAINABILITY,7640,Albion - Projects,Electricity Costs,6120210,03/12/2024,5100452304,396.02,Revenue,NPOWER LTD,109845
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,Ferndale OPH,Electricity Costs,6120210,03/12/2024,5100453287,"1,765.57",Revenue,NPOWER LTD,109845
