Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Resources BK0010,Digital Services,Supplies and Services,342051,Computers and Communications,02/10/2023,4185112-9343,"œ106,250.84",DOCUMATION SOFTWARE LTD.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Supplies and Services,384086,Miscellaneous Expenses,02/10/2023,4185122-VOUCHER23NB-BASH012,"œ1,125.00",DURHAM ALLIANCE FOR COMMUNITY CARE.
Neighbourhoods and Climate Change,Community Protection,Supplies and Services,338099,Services,02/10/2023,4185126-HIREAUGUST23,œ945.00,DURHAM ST NICHOLAS PCC.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185130-059-324913,"œ1,980.00",EDMUNDSON ELECTRICAL LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185130-059-324926,œ787.91,EDMUNDSON ELECTRICAL LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185131-059-324947,"œ1,039.12",EDMUNDSON ELECTRICAL LTD.
Adult and Health Services,Head of Adults,Third Party Payments,478151,Purchase of Care,02/10/2023,4185140-ECS640-23,"œ1,242.00",ESSENTIAL CARE & SUPPORT LTD.
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430120,Rendered by Private Contractors,02/10/2023,4185145-SINVO134454,œ869.17,FINNING (UK) LTD.
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,02/10/2023,4185154-103624,œ518.31,G & P JOHNSON LTD T/A NIGHTINGALE COACHES.
Adult and Health Services,Public Health CC0450,Third Party Payments,460803,Contract Payments,02/10/2023,4185157-7610023778,"œ66,258.00",GATESHEAD HEALTH NHS FOUNDATION TRUST.
Resources BK0010,Digital Services,Supplies and Services,342033,Computers and Communications,02/10/2023,4185158-800535,"œ2,172.00",GETECH LTD.
Neighbourhoods and Climate Change,Highways,Third Party Payments,430128,Rendered by Private Contractors,02/10/2023,4185159-1322,œ849.00,GH & RG STOBBS.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185162-06/238306,œ639.60,GREENHAM TRADING LTD.
Neighbourhoods and Climate Change,Highways,Stock A926,926900,Stock in hand-Inventory system,02/10/2023,4185162-06/238378,œ951.72,GREENHAM TRADING LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,145023,Cleaning and Domestic Supplies,02/10/2023,4185162-06/238391,œ900.36,GREENHAM TRADING LTD.
Neighbourhoods and Climate Change,Highways,Stock A926,926900,Stock in hand-Inventory system,02/10/2023,4185162-06/238569,"œ5,898.34",GREENHAM TRADING LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185164-282647,"œ3,894.84",GREENLAY T/A THOMAS SHERRIFF & CO LTD.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,384409,Miscellaneous Expenses,02/10/2023,4185171-HH-CIC-0007,"œ2,216.00",HAYSTAX HUB CIC.
Resources BK0010,Corporate Finance & Commercial Services,Supplies and Services,338066,Services,02/10/2023,4185184-6053,"œ8,133.60",HW CONTROLS & ASSURANCE LTD T/A VALIDERA.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185186-400050600,"œ20,955.29",ICL UK SALES LTD (CLEVELAND POTASH LTD).
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185186-400050601,"œ9,769.96",ICL UK SALES LTD (CLEVELAND POTASH LTD).
Neighbourhoods and Climate Change,Highways,Construction work A908,908105,Construction work,02/10/2023,4185197-28204,"œ1,480.56",JACK COUPE & SONS LTD T/A COUPE LINE.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185208-0113/00051513,"œ1,234.31",JT DOVE LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185208-0213/01010690,"œ3,358.87",JT DOVE LTD.
Neighbourhoods and Climate Change,Highways,Third Party Payments,460503,Contract Payments,02/10/2023,4185211-INV-0010,"œ6,703.20",KERBO CHARGE LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304999,Equipment and Materials,02/10/2023,4185212-SI02-0408590,"œ1,228.80",KILLGERM CHEMICALS LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,338027,Services,02/10/2023,4185214-040723-09,"œ1,719.00",KNETIC LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,338027,Services,02/10/2023,4185214-040723-10,"œ1,031.40",KNETIC LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,338027,Services,02/10/2023,4185214-040723-11,"œ2,544.12",KNETIC LTD.
Neighbourhoods and Climate Change,Environmental Services,Construction work A908,908105,Construction work,02/10/2023,4185215-210079,"œ5,223.01",KOMPAN SCOTLAND LTD.
Neighbourhoods and Climate Change,Environmental Services,Construction work A908,908105,Construction work,02/10/2023,4185215-210081,"œ27,848.81",KOMPAN SCOTLAND LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185223-107001,œ618.00,LEISURETEQ LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185228-568384,"œ5,190.00",LLOYD LTD.
Resources BK0010,Transactional & Customer Services,Supplies and Services,338099,Services,02/10/2023,4185229-120085016,"œ10,409.78",LLOYDS BANK PLC.
Resources BK0010,Digital Services,Supplies and Services,342033,Computers and Communications,02/10/2023,4185235-12660226,"œ2,455.20",MAINTEL EUROPE LTD.
Non-Service Specific,Insurances,Expenditure 8INSEX,810001,Insurance Expenditure,02/10/2023,4185237-7742050,"œ6,600.00",MARSH LTD UK.
Neighbourhoods and Climate Change,Environmental Services,Vehicles Equipment Furniture and Fittings,912529,Purchase-equipment,02/10/2023,4185238-INV243171,œ776.26,MARTON GEOTECHNICAL SERVICES LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,384199,Miscellaneous Expenses,02/10/2023,4185242-INV-2907,"œ1,500.00",MID NITE EXPRESS.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/10/2023,4185256-861512,"œ2,199.60",NATIONWIDE CHIMNEY COMPONENTS LTD.
Adult and Health Services,Adults Excluded,Supplies and Services,338027,Services,02/10/2023,4185260-1800012016784,"œ9,000.00",NEWCASTLE UPON TYNE CITY COUNCIL.
Adult and Health Services,Adults Excluded,Supplies and Services,338027,Services,02/10/2023,4185261-1800012016772,"œ10,500.00",NEWCASTLE UPON TYNE CITY COUNCIL.
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,336005,Advertising E336,02/10/2023,4185262-43515230,œ910.99,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.
Neighbourhoods and Climate Change,Highways,Construction work A908,908105,Construction work,02/10/2023,4185262-43600525,"œ1,226.98",NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185267-1065186,œ624.00,NORTHERN TOOLS & ACCESSORIES.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185267-1065190,"œ1,284.00",NORTHERN TOOLS & ACCESSORIES.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185267-1065215,œ624.00,NORTHERN TOOLS & ACCESSORIES.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/10/2023,4185271-12304-27,"œ1,367.54",OPUS BUILDING SERVICES LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/10/2023,4185271-12304-28,"œ1,469.30",OPUS BUILDING SERVICES LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/10/2023,4185271-12304-29,"œ1,330.46",OPUS BUILDING SERVICES LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/10/2023,4185271-12304-30,"œ1,330.46",OPUS BUILDING SERVICES LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/10/2023,4185271-12304-32,"œ1,389.68",OPUS BUILDING SERVICES LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,384199,Miscellaneous Expenses,02/10/2023,4185274-PP00672,"œ1,210.00",PACT PRINT LTD.
Neighbourhoods and Climate Change,Highways,Stock A926,926900,Stock in hand-Inventory system,02/10/2023,4185277-XL307067,"œ1,624.20",PARK ELECTRICAL DISTRIBUTORS LTD.
Adult and Health Services,Head of Adults,Third Party Payments,478151,Purchase of Care,02/10/2023,4185283-77002715,"œ2,842.02",POTENSIAL LTD T/A POTENS.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304259,Equipment and Materials,02/10/2023,4185286-2123028252,"œ2,047.20",PRECIA-MOLEN UK LTD T/A SHERING WEIGHING LTD.
Children and Young Peoples Services,Head of Education and Skills,Construction work A908,908105,Construction work,02/10/2023,4185311-7660,"œ35,820.00",SAFE STRIP UK LTD.
Adult and Health Services,Head of Adults,Supplies and Services,338066,Services,02/10/2023,4185321-SHAH442,œ716.20,SHAH MEDICAL SERVICES LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185325-36115268,"œ1,305.79",SIG AIR HANDLING UK LTD T/A SK SALES.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,384409,Miscellaneous Expenses,02/10/2023,4185327-1337,"œ41,600.00",SJ SSC LIMITED T/A SPORTSCOOL DURHAM.
Regeneration Economy and Growth,Corporate Property and Land,Premises,120009,Energy Costs,02/10/2023,4185330-591908264,"œ4,173.21",SOUTHERN ELECTRIC.*
Regeneration Economy and Growth,Corporate Property and Land,Premises,120009,Energy Costs,02/10/2023,4185330-591908264/0002,"œ4,072.42",SOUTHERN ELECTRIC.*
Resources BK0010,Legal & Democratic Services,Supplies and Services,338025,Services,02/10/2023,4185336-13460,"œ1,720.00",STUART WRIGHT FUNERAL SERVICE LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,342033,Computers and Communications,02/10/2023,4185338-146398,"œ41,218.27",SWITCHSHOP LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185340-1065118,"œ1,539.56",T CROSSLING & CO LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185340-1065231,œ618.20,T CROSSLING & CO LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185343-9047436222,"œ1,236.72",TARMAC TRADING LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185343-9047446734,œ873.00,TARMAC TRADING LTD.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Premises,150005,Apportioned Exps of Operational Blds,02/10/2023,4185350-7251,"œ2,763.00",THE DURHAM CENTRE LTD.
Regeneration Economy and Growth,Business Durham,Supplies and Services,344033,Telephones,02/10/2023,4185357-005427799,"œ1,172.82",THE PHONE CO-OP.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185364-11147409,"œ1,039.91",TRADECHOICE DISTRIBUTION LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304999,Equipment and Materials,02/10/2023,4185367-65716,"œ5,035.20",TURF CARE SPECIALISTS LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304999,Equipment and Materials,02/10/2023,4185367-65717,"œ5,263.20",TURF CARE SPECIALISTS LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Construction work A908,908105,Construction work,02/10/2023,4185367-65718,"œ1,440.00",TURF CARE SPECIALISTS LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Construction work A908,908105,Construction work,02/10/2023,4185367-65720,"œ1,200.00",TURF CARE SPECIALISTS LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304999,Equipment and Materials,02/10/2023,4185367-65721,œ780.00,TURF CARE SPECIALISTS LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185369-251272,"œ1,791.96",TYNEDALE ROADSTONE LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185369-251273,"œ1,905.18",TYNEDALE ROADSTONE LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185369-251274,œ605.88,TYNEDALE ROADSTONE LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185369-251276,"œ1,951.92",TYNEDALE ROADSTONE LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185369-251278,"œ1,355.90",TYNEDALE ROADSTONE LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185373-6890516886,"œ3,727.80",VIESSMANN LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185376-29154,"œ1,034.40",WARD TIMBER LTD.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,02/10/2023,4185378-VOUCHER21TVF-BASH007,"œ14,000.00",WEST AUCKLAND PARISH COUNCIL.
Resources BK0010,Legal & Democratic Services,Supplies and Services,338025,Services,02/10/2023,4185381-MISC382/2022-23,"œ1,800.00",WHITEHOUSE FUNERAL SERVICES.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/10/2023,4185384-59678,"œ3,724.80",WILLOWCRETE MANUFACTURING COMPANY LTD (MFG).
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/10/2023,4185384-59680,"œ1,767.60",WILLOWCRETE MANUFACTURING COMPANY LTD (MFG).
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/10/2023,4185384-59681,"œ2,601.60",WILLOWCRETE MANUFACTURING COMPANY LTD (MFG).
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/10/2023,4185384-59682,"œ5,762.40",WILLOWCRETE MANUFACTURING COMPANY LTD (MFG).
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185384-59683,"œ1,200.36",WILLOWCRETE MANUFACTURING COMPANY LTD (MFG).
Dedicated Schools Grant BG0015,DSG Schools Block,Supplies and Services,304259,Equipment and Materials,02/10/2023,4185388-SI-2792942,"œ1,143.58",YORKSHIRE PURCHASING ORGANISATION.
Neighbourhoods and Climate Change,Environmental Services,Transport,215005,Running Costs of Vehicles,02/10/2023,4185389-1011007,"œ20,205.36",YOUR NRG LTD.
Neighbourhoods and Climate Change,Environmental Services,Transport,215005,Running Costs of Vehicles,02/10/2023,4185389-1023513,"œ18,425.80",YOUR NRG LTD.
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,02/10/2023,4185104-B95,"œ1,960.00",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230009,Contract Hire,02/10/2023,4185109-07/2023-3466,"œ2,055.96",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,384507,Miscellaneous Expenses,02/10/2023,4185167-INV-1211,œ990.00,REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,338027,Services,02/10/2023,4185244-DCC7001,"œ1,425.00",REDACTED - PAYMENT TO INDIVIDUAL
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,02/10/2023,4185091-VOUCHER20AB-DVLY008,"œ19,182.00",CONSETT & DISTRICT RUGBY FOOTBALL CLUB.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,02/10/2023,4185220-VOUCHER23NB-TEES003,"œ2,313.00",LANDS VILLAGE HALL ASSOCIATION.
Children and Young Peoples Services,Head of Education and Skills,Third Party Payments,440999,Other third party payments E440,02/10/2023,4185230-SI-27,"œ3,900.00",LOKMAN TRAINING LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,336005,Advertising E336,02/10/2023,4185285-INV-2667,"œ2,640.00",POWERPLUS GROUP LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384700,Miscellaneous Expenses,02/10/2023,4185346-RES-09-2023-407,"œ100,000.00",TEES RIVER TRUST.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Supplies and Services,384086,Miscellaneous Expenses,02/10/2023,4185366-VOUCHERHOVL05-23,œ600.00,TRIMDON VILLAGE HALL ASSOCIATION.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338066,Services,02/10/2023,4185383-INV009,"œ4,460.00",WILDLAND RESEARCH LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,384302,Miscellaneous Expenses,02/10/2023,4185101-4100852893,œ600.00,REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384302,Miscellaneous Expenses,02/10/2023,4185136-BATH001,œ500.00,REDACTED - PAYMENT TO INDIVIDUAL
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384700,Miscellaneous Expenses,02/10/2023,4185313-RES-09-2023-412,œ717.00,REDACTED - PAYMENT TO INDIVIDUAL
Neighbourhoods and Climate Change,Highways,Third Party Payments,460224,Contract Payments,03/10/2023,4185982-30197,"œ216,932.54",ARM PIPETEK LTD.
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,03/10/2023,4185986-35251897,"œ1,090.80",BELL TRUCK SALES LTD T/A BELL TRUCK & VAN.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/10/2023,4185990-21450319,œ617.72,BREEDON TRADING LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/10/2023,4185990-21453401,"œ3,251.61",BREEDON TRADING LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/10/2023,4185990-21458759,œ733.54,BREEDON TRADING LTD.
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,03/10/2023,4185994-62250972,œ634.81,BUCHER MUNICIPAL LTD.
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,364359,Grants to Voluntary Organisations,03/10/2023,4185996-0000172093A,"œ1,196.00",BUSY BEARS (DURHAM) LTD.
Resources BK0010,Digital Services,Intangible Assets,917001,Software capitalised licence fees,03/10/2023,4186007-UOTR5144532,"œ10,062.96",CONVERA UK FINANCIAL LTD.
Neighbourhoods and Climate Change,Environmental Services,Stock A926,926004,Stock,03/10/2023,4186016-96446683,"œ1,237.69",DENNIS EAGLE LTD T/A TERBERG MATEC (UK) LTD.
Neighbourhoods and Climate Change,Environmental Services,Stock A926,926004,Stock,03/10/2023,4186016-96446733,œ887.04,DENNIS EAGLE LTD T/A TERBERG MATEC (UK) LTD.
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,03/10/2023,4186016-96446734,"œ1,557.40",DENNIS EAGLE LTD T/A TERBERG MATEC (UK) LTD.
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,03/10/2023,4186016-96446810,"œ3,241.47",DENNIS EAGLE LTD T/A TERBERG MATEC (UK) LTD.
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,03/10/2023,4186017-DE11616156,"œ2,683.03",DENNIS EAGLE LTD.
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,03/10/2023,4186025-S212907,"œ1,102.27",ECON ENGINEERING LTD.
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,03/10/2023,4186028-11856,"œ13,710.30",EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD (ESPA).
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,03/10/2023,4186028-11857,"œ21,569.92",EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD (ESPA).
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,03/10/2023,4186028-11858,"œ36,228.49",EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD (ESPA).
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,03/10/2023,4186028-11859,"œ29,227.41",EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD (ESPA).
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,03/10/2023,4186028-11860,"œ20,946.49",EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD (ESPA).
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,03/10/2023,4186028-11861,"œ31,942.76",EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD (ESPA).
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,03/10/2023,4186028-11862,"œ31,942.76",EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD (ESPA).
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,03/10/2023,4186028-11863,"œ14,623.57",EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD (ESPA).
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,03/10/2023,4186028-11864,"œ18,730.44",EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD (ESPA).
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,03/10/2023,4186028-11865,"œ15,646.88",EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD (ESPA).
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,03/10/2023,4186028-11866,"œ11,723.62",EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD (ESPA).
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,03/10/2023,4186028-11867,"œ62,014.20",EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD (ESPA).
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,03/10/2023,4186028-11868,"œ32,426.40",EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD (ESPA).
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,03/10/2023,4186028-11869,"œ31,960.23",EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD (ESPA).
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,03/10/2023,4186028-11870,"œ35,976.60",EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD (ESPA).
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,03/10/2023,4186028-11871,"œ29,239.20",EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD (ESPA).
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,03/10/2023,4186028-11872,"œ9,490.36",EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD (ESPA).
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,03/10/2023,4186028-11873,"œ10,680.36",EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD (ESPA).
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,03/10/2023,4186028-11874,"œ32,114.81",EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD (ESPA).
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,03/10/2023,4186028-11875,"œ29,544.15",EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD (ESPA).
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,03/10/2023,4186039-IN237134,"œ1,428.00",FM STEELSTOCK LTD.
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,03/10/2023,4186039-IN237135,œ900.00,FM STEELSTOCK LTD.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,304083,Equipment and Materials,03/10/2023,4186049-261107,œ646.38,GM PACKAGING (UK) LTD.
Adult and Health Services,Public Health CC0450,Third Party Payments,460803,Contract Payments,03/10/2023,4186053-2510051180,"œ74,167.13",HARROGATE & DISTRICT NHS FOUNDATION TRUST.
