Ref,Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
25,CAB,Cabinet Office,05-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,GDS - IDENTITY SERVICES - LIVE SERVICE,MASTEK UK LTD,1037231161,"107,400.00"
26,CAB,Cabinet Office,05-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,GDS - IDENTITY SERVICES - LIVE SERVICE,MASTEK UK LTD,1037231161,"108,150.00"
27,CAB,Cabinet Office,05-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - WELFARE SERVICES,COHR - HRBPs,HEALTH MANAGEMENT LTD,1037231225,"41,094.50"
28,CAB,Cabinet Office,06-Dec-24,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - EXPERT ADVISORS,IBCA - DELIVERY PROGRAMME,BLOOM PROCUREMENT SERVICES LTD,1037231315,"70,000.00"
29,CAB,Cabinet Office,06-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,OGP - DATA & ANALYSIS ,CORPORATE DOCUMENT SERVICES LTD,1037231337,"38,693.17"
30,CAB,Cabinet Office,06-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MY CSP LTD,1037231376,"87,814.44"
31,CAB,Cabinet Office,06-Dec-24,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,OFFICE FOR VETERANS AFFAIRS (PROG),NORTHUMBRIA UNIVERSITY,1037231431,"89,995.41"
32,CAB,Cabinet Office,06-Dec-24,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,OFFICE FOR VETERANS AFFAIRS (PROG),UNIVERSITY OF LEICESTER,1037231432,"89,650.71"
33,CAB,Cabinet Office,06-Dec-24,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,OFFICE FOR VETERANS AFFAIRS (ADMIN),INVICTUS UK 2027 LTD,1037231442,"300,000.00"
34,CAB,Cabinet Office,09-Dec-24,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,OFFICE FOR VETERANS AFFAIRS (PROG),IMPERIAL COLLEGE LONDON,1037231503,"40,712.80"
35,CAB,Cabinet Office,09-Dec-24,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,OFFICE FOR VETERANS AFFAIRS (PROG),IMPERIAL COLLEGE LONDON,1037231503,"92,613.80"
36,CAB,Cabinet Office,09-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,PMO SECURITY COORDINATION,CITY OF WESTMINSTER,1037231518,"70,281.00"
37,CAB,Cabinet Office,09-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - WELFARE SERVICES,COHR - HRBPs,HEALTH MANAGEMENT LTD,1037231525,"37,635.00"
38,CAB,Cabinet Office,09-Dec-24,Exp - Purchase Of Goods/Services - Consultancy,GDS - SECURITY & ENGINEERING,MADE TECH LTD,1037231532,"36,850.00"
39,CAB,Cabinet Office,09-Dec-24,Exp - Purchase Of Goods/Services - Consultancy,GDS - SECURITY & ENGINEERING,MADE TECH LTD,1037231532,"44,505.75"
40,CAB,Cabinet Office,09-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SERVICE PAYMENTS,CDDO DATA MARKETPLACE,AGRIMETRICS LTD,1037231533,"65,000.00"
41,CAB,Cabinet Office,09-Dec-24,IA - POA & AUC - COST - ADDITIONS,GOVERNMENT COMMERCIAL AND GRANTS,NQC LTD,1037231538,"252,425.00"
42,CAB,Cabinet Office,09-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SERVICE PAYMENTS,EFT Programme,G4S GAOS CCC EQUALITY ADVISORY AND SUPPORT SERVICES,1037231565,"96,354.00"
43,CAB,Cabinet Office,09-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,COD NETWORK OPS,SYNTURA GROUP LTD,1037231566,"47,627.79"
44,CAB,Cabinet Office,09-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,COD NETWORK OPS,SYNTURA GROUP LTD,1037231566,"51,032.46"
45,CAB,Cabinet Office,10-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,DXW,1037231633,"65,800.00"
46,CAB,Cabinet Office,10-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037231635,"37,943.52"
47,CAB,Cabinet Office,10-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GPG - INTEROPERABILITY ONE DATA PROGRAMME,CHAKRAY UK LTD,1037231673,"30,687.50"
48,CAB,Cabinet Office,10-Dec-24,Exp - Purchase Of Goods/Services - Consultancy,CDDO NCP FUNDED SECURITY PROGRAMMES,CMC PARTNERSHIP CONSULTANCY LTD,1037231689,"26,522.50"
49,CAB,Cabinet Office,11-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037231762,"97,193.26"
50,CAB,Cabinet Office,11-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037231762,"65,000.00"
51,CAB,Cabinet Office,11-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037231762,"40,000.00"
52,CAB,Cabinet Office,11-Dec-24,IA - INFORMATION TECHNOLOGY - COST - ADDITIONS - SOFTWARE ADDITIONS,GBS - PCSPS PENSIONS (ADMIN),INFOR UNITED KINGDOM LTD,1037231777,"49,000.00"
53,CAB,Cabinet Office,11-Dec-24,IA - INFORMATION TECHNOLOGY - COST - ADDITIONS - SOFTWARE ADDITIONS,SITUATION CENTRE (PROG),BRITISH TELECOMMUNICATIONS PLC,1037231786,"255,830.00"
54,CAB,Cabinet Office,11-Dec-24,IA - INFORMATION TECHNOLOGY - COST - ADDITIONS - SOFTWARE ADDITIONS,SITUATION CENTRE (PROG),BRITISH TELECOMMUNICATIONS PLC,1037231786,"51,166.00"
55,CAB,Cabinet Office,11-Dec-24,Exp - Purchase Of Goods/Services - Consultancy,CO MATRIX ADMIN,COVOXA LTD,1037231836,"32,414.98"
56,CAB,Cabinet Office,11-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,CO MATRIX ADMIN,COVOXA LTD,1037231836,"136,560.02"
57,CAB,Cabinet Office,11-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,CO MATRIX ADMIN,COVOXA LTD,1037231836,"27,312.00"
58,CAB,Cabinet Office,11-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,COD NETWORK OPS,SYNTURA GROUP LTD,1037231851,"51,032.46"
59,CAB,Cabinet Office,11-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SERVICE PAYMENTS,CDDO DATA MARKETPLACE,AGRIMETRICS LTD,1037231881,"164,065.28"
60,CAB,Cabinet Office,11-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SERVICE PAYMENTS,CDDO DATA MARKETPLACE,AGRIMETRICS LTD,1037231881,"32,813.05"
61,CAB,Cabinet Office,12-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,COD NETWORK OPS,CANON (UK) LTD,1037231940,"44,733.31"
62,CAB,Cabinet Office,12-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,GDS DIGITAL SERVICE PLATFORMS - ONE LOGIN,FUJITSU SERVICES LTD,1037231969,"82,495.25"
63,CAB,Cabinet Office,12-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,FAST STREAM LEARNING & DEVELOPMENT,KPMG,1037231979,"81,889.90"
64,CAB,Cabinet Office,12-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,FAST STREAM LEARNING & DEVELOPMENT,KPMG,1037231979,"81,889.90"
65,CAB,Cabinet Office,12-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,CAPABILITY - RULES REFORM,KPMG,1037231979,"107,671.21"
66,CAB,Cabinet Office,12-Dec-24,IA - INFORMATION TECHNOLOGY - COST - ADDITIONS - SOFTWARE ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,PA CONSULTING SERVICES LTD,1037231981,"263,480.00"
67,CAB,Cabinet Office,12-Dec-24,IA - INFORMATION TECHNOLOGY - COST - ADDITIONS - SOFTWARE ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,PA CONSULTING SERVICES LTD,1037231981,"52,696.00"
68,CAB,Cabinet Office,12-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,BAE SYSTEMS APPLIED INTELLIGENCE LTD,1037231988,"112,179.86"
69,CAB,Cabinet Office,12-Dec-24,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT HARDWARE ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,BAE SYSTEMS APPLIED INTELLIGENCE LTD,1037231988,"286,678.83"
70,CAB,Cabinet Office,12-Dec-24,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT HARDWARE ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,BAE SYSTEMS APPLIED INTELLIGENCE LTD,1037231988,"57,335.77"
71,CAB,Cabinet Office,12-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,GPG - ACCELERATED DEVELOPMENT SCHEMES,CSL KPMG LLP,1037231991,"42,662.40"
72,CAB,Cabinet Office,12-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,GPG - ACCELERATED DEVELOPMENT SCHEMES,CSL KPMG LLP,1037231991,"45,828.75"
73,CAB,Cabinet Office,12-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,COD CLOUD & APPS,SOFTCAT PLC,1037232013,"29,157.48"
74,CAB,Cabinet Office,12-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,COD CLOUD & APPS,SOFTCAT PLC,1037232013,"165,467.85"
75,CAB,Cabinet Office,12-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,COD CLOUD & APPS,SOFTCAT PLC,1037232013,"33,093.57"
76,CAB,Cabinet Office,12-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,CDDO TRANSFORMATION AND OPERATIONS,SCRUMCONNECT LTD,1037232042,"44,200.00"
77,CAB,Cabinet Office,12-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,CDDO TRANSFORMATION AND OPERATIONS,SCRUMCONNECT LTD,1037232042,"50,900.00"
78,CAB,Cabinet Office,13-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,GDS - NOTIFY PLATFORM,DVLA,1037232060,"1,116,637.77"
79,CAB,Cabinet Office,13-Dec-24,EXP - PERMANENT UK STAFF - EMPLOYER'S SOCIAL SECURITY COSTS - APPRENTICESHIP LEVY,APPRENTICESHIP LEVY,INLAND REVENUE SHIPLEY PAYE,1037232121,"292,797.00"
80,CAB,Cabinet Office,13-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - ORG & CHANGE MAN CONSULTANCY,COD DEVELOPMENT AND ENGINEERING,BLOOM PROCUREMENT SERVICES LTD,1037232124,"230,412.00"
81,CAB,Cabinet Office,13-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,GPG - INDIVIDUAL DEVELOPMENT PROGRAMME,CSL ERNST & YOUNG,1037232143,"37,750.00"
82,CAB,Cabinet Office,13-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,GPG - INDIVIDUAL DEVELOPMENT PROGRAMME,CSL ERNST & YOUNG,1037232143,"65,000.00"
83,CAB,Cabinet Office,13-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GDS - IDENTITY SERVICES - LIVE SERVICE,IPROOV LTD,1037232153,"121,156.20"
84,CAB,Cabinet Office,13-Dec-24,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,IBCA - DELIVERY PROGRAMME,XMA LTD,1037232187,"71,826.30"
85,CAB,Cabinet Office,13-Dec-24,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,IBCA - DELIVERY PROGRAMME,XMA LTD,1037232188,"60,357.98"
86,CAB,Cabinet Office,13-Dec-24,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,IBCA - DELIVERY PROGRAMME,XMA LTD,1037232188,"66,456.00"
87,CAB,Cabinet Office,16-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - ORG & CHANGE MAN CONSULTANCY,CDDO MODERNISING TECHNOLOGY,BLOOM PROCUREMENT SERVICES LTD,1037232199,"794,036.00"
88,CAB,Cabinet Office,16-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - ORG & CHANGE MAN CONSULTANCY,CDDO MODERNISING TECHNOLOGY,BLOOM PROCUREMENT SERVICES LTD,1037232199,"158,807.20"
89,CAB,Cabinet Office,16-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES - LEGAL ADVICE FROM GOVT LEGAL DEPT,GCO ADMIN,AIG LIFE LTD,1037232236,"152,524.51"
90,CAB,Cabinet Office,16-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES - LEGAL ADVICE FROM GOVT LEGAL DEPT,GCO ADMIN,AIG LIFE LTD,1037232236,"161,868.08"
91,CAB,Cabinet Office,16-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GPG - DIGITAL RECRUITMENT PLATFORMS,BOX UK LTD,1037232249,"36,627.00"
92,CAB,Cabinet Office,16-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GRANTS SINGLE APPLICANT PORTAL,PRICE WATERHOUSE COOPERS,1037232292,"136,582.00"
93,CAB,Cabinet Office,16-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GRANTS SINGLE APPLICANT PORTAL,PRICE WATERHOUSE COOPERS,1037232292,"136,582.00"
94,CAB,Cabinet Office,16-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GOV UK APP & AI - CORE,KIN & CARTA UK LTD,1037232323,"25,575.00"
95,CAB,Cabinet Office,17-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,EXPERIAN LTD,1037232503,"39,580.27"
96,CAB,Cabinet Office,17-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GPG - INTEROPERABILITY ONE DATA PROGRAMME,FUJITSU SERVICES LTD,1037232509,"73,007.44"
97,CAB,Cabinet Office,17-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,GCS INTERNATIONAL and MMU,TMW UNLIMITED,1037232510,"25,002.02"
98,CAB,Cabinet Office,17-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,GPG - DIGITAL RECRUITMENT PLATFORMS,OLEEO PLC,1037232544,"140,456.60"
99,CAB,Cabinet Office,18-Dec-24,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,6 POINT 6 LTD,1037232615,"179,331.00"
100,CAB,Cabinet Office,18-Dec-24,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,6 POINT 6 LTD,1037232615,"35,866.20"
101,CAB,Cabinet Office,18-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,GDS SERVICE TRANSFORMATION - ONE LOGIN,MADE TECH LTD,1037232642,"44,000.00"
102,CAB,Cabinet Office,19-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GOVERNMENT COMMERCIAL AND GRANTS,DEPARTMENT FOR BUSINESS AND TRADE,1037232793,"200,000.00"
103,CAB,Cabinet Office,19-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,GOVERNMENT COMMERCIAL AND GRANTS,GOACO GROUP LTD,1037232822,"297,653.54"
104,CAB,Cabinet Office,19-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GCG SERVICES,NQC LTD,1037232839,"93,100.58"
105,CAB,Cabinet Office,19-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,COD OFFICIAL LIVE SERVICE,FRESHWORKS INC,1037232840,"142,480.02"
106,CAB,Cabinet Office,19-Dec-24,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT HARDWARE ADDITIONS,COD NETWORK OPS,XMA LTD,1037232917,"47,275.43"
107,CAB,Cabinet Office,19-Dec-24,IA - INFORMATION TECHNOLOGY - COST - ADDITIONS - SOFTWARE ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,DELOITTE LLP,1037232932,"48,700.00"
108,CAB,Cabinet Office,19-Dec-24,IA - INFORMATION TECHNOLOGY - COST - ADDITIONS - SOFTWARE ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,DELOITTE LLP,1037232932,"84,060.00"
109,CAB,Cabinet Office,19-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,DELOITTE LLP,1037232932,"278,556.00"
110,CAB,Cabinet Office,19-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,DELOITTE LLP,1037232932,"55,711.20"
111,CAB,Cabinet Office,19-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,DELOITTE LLP,1037232932,"61,200.00"
112,CAB,Cabinet Office,19-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,DELOITTE LLP,1037232932,"192,098.00"
113,CAB,Cabinet Office,19-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,DELOITTE LLP,1037232932,"38,419.60"
114,CAB,Cabinet Office,19-Dec-24,IA - INFORMATION TECHNOLOGY - COST - ADDITIONS - SOFTWARE ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,DELOITTE LLP,1037232932,"109,600.00"
115,CAB,Cabinet Office,19-Dec-24,IA - INFORMATION TECHNOLOGY - COST - ADDITIONS - SOFTWARE ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,DELOITTE LLP,1037232932,"142,190.00"
116,CAB,Cabinet Office,19-Dec-24,IA - INFORMATION TECHNOLOGY - COST - ADDITIONS - SOFTWARE ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,DELOITTE LLP,1037232932,"28,438.00"
117,CAB,Cabinet Office,19-Dec-24,IA - INFORMATION TECHNOLOGY - COST - ADDITIONS - SOFTWARE ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,DELOITTE LLP,1037232932,"186,400.00"
118,CAB,Cabinet Office,19-Dec-24,IA - INFORMATION TECHNOLOGY - COST - ADDITIONS - SOFTWARE ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,DELOITTE LLP,1037232932,"37,280.00"
119,CAB,Cabinet Office,20-Dec-24,IA - POA & AUC - COST - ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,DELOITTE LLP,1037232984,"971,332.00"
120,CAB,Cabinet Office,20-Dec-24,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT HARDWARE ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,DELOITTE LLP,1037232984,"25,080.00"
