Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description
MoJ,MoJ HQ,04/01/24,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE - Desktops,Infrastructure Services - EUCS,ATOS IT SERVICES UK LTD,5584435493,"£717,150.60",Information technology related costs
MoJ,MoJ HQ,04/01/24,EXP - PURCHASE OF GOODS/SERVICES - HOSTING - Hosting,Infrastructure Services - EUCS,ATOS IT SERVICES UK LTD,5584435492,"£103,773.73",Information technology related costs
MoJ,MoJ HQ,04/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,Infrastructure Services - EUCS,ATOS IT SERVICES UK LTD,5584435501,"£34,259.56",Information technology related costs
MoJ,MoJ HQ,08/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,Technology Services Tech Debt,ATOS IT SERVICES UK LTD,5584433053,"-£39,790.48",Information technology related costs
MoJ,MoJ HQ,08/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,Technology Services Tech Debt,ATOS IT SERVICES UK LTD,5584431129,"£39,790.48",Information technology related costs
MoJ,MoJ HQ,08/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,Technology Services Tech Debt,ATOS IT SERVICES UK LTD,5584432757,"£73,448.40",Information technology related costs
MoJ,MoJ HQ,08/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,Technology Services Tech Debt,ATOS IT SERVICES UK LTD,5584433432,"£91,524.73",Information technology related costs
MoJ,MoJ HQ,08/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,Technology Services Tech Debt,ATOS IT SERVICES UK LTD,5584433132,"£109,117.81",Information technology related costs
MoJ,MoJ HQ,08/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,Technology Services Tech Debt,ATOS IT SERVICES UK LTD,5584432747,"£127,117.24",Information technology related costs
MoJ,MoJ HQ,22/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,Infrastructure Services - EUCS,ATOS IT SERVICES UK LTD,5584435433,"£45,169.20",Information technology related costs
MoJ,MoJ HQ,26/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - APPLICATION MAINTENANCE AND SUPPORT,Infrastructure Services - EUCS,ATOS IT SERVICES UK LTD,5584435484,"£246,180.22",Information technology related costs
MoJ,MoJ HQ,26/01/24,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE - Desktops,Productivity and Collaboration,ATOS IT SERVICES UK LTD,5584435466,"£39,715.44",Information technology related costs
MoJ,MoJ HQ,26/01/24,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE - Desktops,Productivity and Collaboration,ATOS IT SERVICES UK LTD,5584435487,"£108,917.54",Information technology related costs
MoJ,MoJ HQ,30/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,Technology Services Tech Debt,ATOS IT SERVICES UK LTD,5584436124,"£41,289.61",Information technology related costs
MoJ,MoJ HQ,05/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,Engineering,AUTOMATION LOGIC LTD,INVAL003231,"£89,976.00",Information technology related costs
MoJ,MoJ HQ,08/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,Engineering,AUTOMATION LOGIC LTD,INVAL003233,"£63,348.00",Information technology related costs
MoJ,MoJ HQ,08/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,Engineering,AUTOMATION LOGIC LTD,INVAL003230,"£80,272.86",Information technology related costs
MoJ,MoJ HQ,08/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,Engineering,AUTOMATION LOGIC LTD,INVAL003232,"£105,015.00",Information technology related costs
MoJ,MoJ HQ,30/01/24,EXP - PURCHASE OF GOODS/SERVICES - NETWORKING - Networks VVI,Infrastructure Services - Voice & Video,AVMI KINLY LTD,BILL000063468,"£44,077.75",Information technology related costs
MoJ,MoJ HQ,29/01/24,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES - Research costs,Data and Analysis - Capital Project A - HMCTS Court Reform Evaluation,BASIS SOCIAL LTD,1104,"£35,796.24",Professional services
MoJ,MoJ HQ,29/01/24,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,"Victim, Witness & CJS Delivery",BEDFORDSHIRE POLICE,P2-23/24-FB-Beds,"£407,972.82",Grant payments to Police and Crime Commissioners
MoJ,MoJ HQ,29/01/24,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,"Victim, Witness & CJS Delivery",BEDFORDSHIRE POLICE,P2-23/24-GG-Beds,"£531,869.01",Grant payments to Police and Crime Commissioners
MoJ,MoJ HQ,10/01/24,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,Youth Justice Policy Turnaround (Prog),BIRMINGHAM CITY COUNCIL,TA2324JAN004,"£251,012.75",Grants to voluntary public private and third sector organisations
MoJ,MoJ HQ,26/01/24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - Grants to voluntary and community service organisations,Women & Health Policy  (Programme),BLACK COUNTRY WOMENS AID,WCSCC20222025BLACKCOUNTRYWOMEN3,"£49,104.13",Grants to voluntary public private and third sector organisations
MoJ,MoJ HQ,16/01/24,PPE - POA & AUC (OWNED) - COST - ADDITIONS - OTHER,Projects (Prisons) - In-Cell Technology,BRITISH TELECOMMUNICATIONS PLC,AI5506/391,"£150,513.80",Information technology related costs
MoJ,MoJ HQ,12/01/24,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST - Clerical and Admin,Consolidated staffing invoice,BROOK STREET UK LTD,202430787506,"£27,575.53",Agency staff
MoJ,MoJ HQ,19/01/24,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST - Clerical and Admin,Consolidated staffing invoice,BROOK STREET UK LTD,202430797160,"£31,111.45",Agency staff
MoJ,MoJ HQ,26/01/24,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST - Clerical and Admin,Consolidated staffing invoice,BROOK STREET UK LTD,202430812055,"£33,007.97",Agency staff
MoJ,MoJ HQ,10/01/24,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES - other than legal,Legal Aid,BROWNE JACOBSON LLP,1043627,"£51,370.80",Professional services
MoJ,MoJ HQ,10/01/24,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES - other than legal,Legal Aid,BROWNE JACOBSON LLP,1048518,"£51,370.80",Professional services
MoJ,MoJ HQ,17/01/24,EXP - PURCHASE OF GOODS/SERVICES - NETWORKING - Networks WAN/LAN,Projects (Prisons) - In-Cell Technology,BT BUSINESS DIRECT,AI5506/380,"£49,029.60",Information technology related costs
MoJ,MoJ HQ,05/01/24,EXP - PURCHASE OF GOODS/SERVICES - NETWORKING - Networks WAN/LAN,Infrastructure Services - Networks,BT PAYPHONES,AI5506/359,"£47,121.49",Information technology related costs
MoJ,MoJ HQ,15/01/24,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - Payphones,Infrastructure Services - Networks,BT PAYPHONES,AI5506/379,"£92,655.36",Information technology related costs
MoJ,MoJ HQ,05/01/24,EXP - PURCHASE OF GOODS/SERVICES - NETWORKING - Networks WAN/LAN,Infrastructure Services - Networks,BT PAYPHONES,AI5506/366,"£47,121.49",Information technology related costs
MoJ,MoJ HQ,05/01/24,EXP - PURCHASE OF GOODS/SERVICES - NETWORKING - Networks WAN/LAN,Infrastructure Services - Networks,BT PAYPHONES,AI5506/372,"£47,121.49",Information technology related costs
MoJ,MoJ HQ,10/01/24,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - Charges/Rental-non mobile,Infrastructure Services - Mobile Telephony,BT PLC,VP23075770M06401,"£53,524.52",Information technology related costs
MoJ,MoJ HQ,25/01/24,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - Charges/Rental-non mobile,Infrastructure Services - Mobile Telephony,BT PLC,VP45875770M06301,"£32,639.61",Information technology related costs
MoJ,MoJ HQ,10/01/24,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - Charges/Rental-non mobile,Infrastructure Services - Mobile Telephony,BT PLC,VP02875770M06201QS,"£69,723.55",Information technology related costs
MoJ,MoJ HQ,25/01/24,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - Charges/Rental-non mobile,Infrastructure Services - Mobile Telephony,BT PLC,VP23075770M06501,"£54,301.11",Information technology related costs
MoJ,MoJ HQ,25/01/24,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - Charges/Rental-non mobile,Infrastructure Services - Mobile Telephony,BT PLC,VP02875770M06301,"£73,499.90",Information technology related costs
MoJ,MoJ HQ,23/01/24,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,Youth Justice Policy Turnaround (Prog),BURY MBC,DMTA2324SEPT016,"-£57,905.96",Grants to voluntary public private and third sector organisations 
MoJ,MoJ HQ,23/01/24,CA - OTHER RECEIVABLES - Invoice Overpayments,BALANCE SHEET,BURY MBC,CN6637/TA2324SEPT016,"£57,905.96",Grants to voluntary public private and third sector organisations 
MoJ,MoJ HQ,23/01/24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - Grants to voluntary and community service organisations,Women & Health Policy  (Programme),C2C SOCIAL ACTION,WSSI202225C2C4,"£71,985.00",Grants to voluntary public private and third sector organisations
MoJ,MoJ HQ,04/01/24,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - Recruitment costs,Performance and Business Support,CABINET OFFICE,3835411,"£121,440.00",Fast Stream costs
MoJ,MoJ HQ,29/01/24,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED,Group Security and Delivery,CABINET OFFICE,3836146,"£233,122.80",Outsourced shared services
MoJ,MoJ HQ,25/01/24,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,"Leadership, Talent & Capability",CABINET OFFICE,3836675,"£29,064.00",Staff training learning and development
MoJ,MoJ HQ,11/01/24,EXP-PURCHASE OF GOODS/SERVICES-OTHER PROF SERVICES-COMMERCIAL&CONTRACT MANAGMNT,Business Management - BAU,CABINET OFFICE,3832899,"£32,000.00",Professional services
MoJ,MoJ HQ,30/01/24,EXP-PURCHASE OF GOODS/SERVICES-OTHER PROF SERVICES-COMMERCIAL&CONTRACT MANAGMNT,Business Management - BAU,CABINET OFFICE,3836158,"£4,834,794.19",Professional services
MoJ,MoJ HQ,30/01/24,EXP-PURCHASE OF GOODS/SERVICES-OTHER PROF SERVICES-COMMERCIAL&CONTRACT MANAGMNT,Business Management - BAU,CABINET OFFICE,3836159,"£206,910.00",Professional services
MoJ,MoJ HQ,30/01/24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - OGD FUNDING CONTRIBUTIONS (OUTWARDS),"Leadership, Talent & Capability",CABINET OFFICE,3836093,"£1,392,461.00",Fast Stream costs
MoJ,MoJ HQ,05/01/24,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY - Events and Conferences,Judicial Office - Programme,CALDER CONFERENCES LTD,513334,"£33,847.12",Judicial training and conferences
MoJ,MoJ HQ,09/01/24,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY - Events and Conferences,Judicial Office - Programme,CALDER CONFERENCES LTD,513565,"£26,378.32",Judicial training and conferences
MoJ,MoJ HQ,11/01/24,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY - Events and Conferences,Judicial Office - Programme,CALDER CONFERENCES LTD,513776,"£33,942.80",Judicial training and conferences
MoJ,MoJ HQ,11/01/24,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY - Events and Conferences,Judicial Office - Programme,CALDER CONFERENCES LTD,513775,"£50,395.30",Judicial training and conferences
MoJ,MoJ HQ,11/01/24,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY - Events and Conferences,Judicial Office - Programme,CALDER CONFERENCES LTD,513777,"£27,211.93",Judicial training and conferences
MoJ,MoJ HQ,11/01/24,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY - Events and Conferences,Judicial Office - Programme,CALDER CONFERENCES LTD,513625,"£43,923.08",Judicial training and conferences
MoJ,MoJ HQ,12/01/24,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY - Events and Conferences,Judicial Office - Programme,CALDER CONFERENCES LTD,512322,"£34,805.52",Judicial training and conferences
MoJ,MoJ HQ,12/01/24,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY - Events and Conferences,Judicial Office - Programme,CALDER CONFERENCES LTD,513336,"£31,633.30",Judicial training and conferences
MoJ,MoJ HQ,16/01/24,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY - Events and Conferences,Judicial Office - Programme,CALDER CONFERENCES LTD,513567,"£37,130.48",Judicial training and conferences
MoJ,MoJ HQ,23/01/24,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY - Events and Conferences,Judicial Office - Programme,CALDER CONFERENCES LTD,513564,"£45,629.80",Judicial training and conferences
MoJ,MoJ HQ,25/01/24,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY - Events and Conferences,Judicial Office - Programme,CALDER CONFERENCES LTD,515063,"£28,549.12",Judicial training and conferences
MoJ,MoJ HQ,25/01/24,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY - Events and Conferences,Judicial Office - Programme,CALDER CONFERENCES LTD,515062,"£29,627.34",Judicial training and conferences
MoJ,MoJ HQ,04/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - APPLICATION MAINTENANCE AND SUPPORT,LAA Digital,CAPGEMINI UK PLC,2600110403144,"£69,013.20",Information technology related costs
MoJ,MoJ HQ,23/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - APPLICATION MAINTENANCE AND SUPPORT,Probation Digital,CAPITA BUSINESS SERVICES LTD,6004164458,"£102,204.00",Information technology related costs
MoJ,MoJ HQ,30/01/24,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,Technology Services Projects,CDW LTD,UKSI04213035,"£3,681,036.90",Information technology related costs
MoJ,MoJ HQ,18/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,LAA Digital,CGI IT UK LTD,GB014122823,"£111,569.40",Information technology related costs
MoJ,MoJ HQ,19/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,Customer Services,CGI IT UK LTD,GB014122381,"£373,288.72",Information technology related costs
MoJ,MoJ HQ,11/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - APPLICATION MAINTENANCE AND SUPPORT,Prisons Tech Debt,CLARASYS LTD,INV105152,"£34,935.00",Information technology related costs
MoJ,MoJ HQ,11/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - APPLICATION MAINTENANCE AND SUPPORT,Prisons Tech Debt,CLARASYS LTD,INV105262,"£52,332.00",Information technology related costs
MoJ,MoJ HQ,11/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - APPLICATION MAINTENANCE AND SUPPORT,Prisons Tech Debt,CLARASYS LTD,INV105157,"£67,302.00",Information technology related costs
MoJ,MoJ HQ,11/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - APPLICATION MAINTENANCE AND SUPPORT,Prisons Tech Debt,CLARASYS LTD,INV105261,"£146,793.00",Information technology related costs
MoJ,MoJ HQ,11/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - APPLICATION MAINTENANCE AND SUPPORT,Prisons Tech Debt,CLARASYS LTD,INV105153,"£244,713.00",Information technology related costs
MoJ,MoJ HQ,18/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,HMPPS Digital Shared Service Line,CMC PARTNERSHIP CONSULTANCY LTD,SIN001548,"£73,986.00",Information technology related costs
MoJ,MoJ HQ,29/01/24,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,LawTech,CODEBASE LTD,LAWTECHGRANTCLAIMFORINV11671NOV2023,"£147,543.43",Grants to voluntary public private and third sector organisations
MoJ,MoJ HQ,29/01/24,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,LawTech,CODEBASE LTD,LAWTECHGRANTCLAIMFORINV11787DECEMBER2023,"£148,628.37",Grants to voluntary public private and third sector organisations
MoJ,MoJ HQ,29/01/24,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - Computers,Infrastructure Services - EUCS,COMPUTACENTER (UK) LTD,3884383947,"£782,907.62",Information technology related costs
MoJ,MoJ HQ,09/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,Business Management - BAU,CORE STREAM LTD,MOJCS019,"£55,080.00",Information technology related costs
MoJ,MoJ HQ,03/01/24,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,GPC Billback,CORPORATE TRAVEL MANAGEMENT NORTH LTD,7639,"£38,524.75",Staff travel and subsistence costs
MoJ,MoJ HQ,03/01/24,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,GPC Billback,CORPORATE TRAVEL MANAGEMENT NORTH LTD,7632,"£54,800.75",Staff travel and subsistence costs
MoJ,MoJ HQ,15/01/24,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,GPC Billback,CORPORATE TRAVEL MANAGEMENT NORTH LTD,7850,"£27,376.66",Staff travel and subsistence costs
MoJ,MoJ HQ,15/01/24,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,GPC Billback,CORPORATE TRAVEL MANAGEMENT NORTH LTD,7890,"£62,404.08",Staff travel and subsistence costs
MoJ,MoJ HQ,22/01/24,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,GPC Billback,CORPORATE TRAVEL MANAGEMENT NORTH LTD,8173,"£106,693.12",Staff travel and subsistence costs
MoJ,MoJ HQ,22/01/24,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,GPC Billback,CORPORATE TRAVEL MANAGEMENT NORTH LTD,8082,"£149,701.74",Staff travel and subsistence costs
MoJ,MoJ HQ,29/01/24,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,GPC Billback,CORPORATE TRAVEL MANAGEMENT NORTH LTD,8147,"£116,189.73",Staff travel and subsistence costs
MoJ,MoJ HQ,30/01/24,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,GPC Billback,CORPORATE TRAVEL MANAGEMENT NORTH LTD,8114,"£211,939.95",Staff travel and subsistence costs
MoJ,MoJ HQ,18/01/24,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES - other than legal,Probation Reform Prog Support,CREATE CHANGE LONDON LTD,HMPPS-031-DEC,"£209,034.00",Information technology related costs
MoJ,MoJ HQ,19/01/24,EXP - PURCHASE OF GOODS/SERVICES - HOSTING - Hosting,Infrastructure Services - Hosting,CROWN HOSTING DATA CENTRES LTD,22876,"£249,743.78",Information technology related costs
MoJ,MoJ HQ,05/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - SECURITY,LAA Digital,CSL KPMG LLP,5502757204,"£360,000.00",Consultancy and professional services
MoJ,MoJ HQ,18/01/24,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - Management fee,MoJ Estates Cluster,CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LTD,GB3002-CI-23-14060,"£83,428.85",Property related charges
MoJ,MoJ HQ,24/01/24,Exp - Purchase Of Goods/Services - Consultancy,CJS Data Transformation,DELOITTE LLP,8004360537,"£104,796.00",Professional services
MoJ,MoJ HQ,12/01/24,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - Reprographics,Legal Aid,DEPARTMENT FOR EDUCATION,CORE-PSCR-003955,"£54,000.00",Professional services
MoJ,MoJ HQ,23/01/24,EXP - PURCHASE OF GOODS/SERVICES - IT MANAGEMENT AND CHANGE - Exit Management,Engineering,EGRESS SOFTWARE TECHNOLOGIES LTD,INVUK25160,"£323,730.00",Information technology related costs
MoJ,MoJ HQ,19/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - LICENCES,Infrastructure Services - NICTS,ENTRUST EUROPE LTD,740808661,"£160,822.85",Information technology related costs
MoJ,MoJ HQ,22/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - LICENCES,Infrastructure Services - NICTS,ENTRUST EUROPE LTD,740808504,"£358,076.57",Information technology related costs
MoJ,MoJ HQ,11/01/24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - Judiciary training,Judicial Office - Programme,ERNST & YOUNG LLP,GB01G000495396,"£48,990.00",Judicial training and conferences
MoJ,MoJ HQ,11/01/24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - Judiciary training,Judicial Office - Programme,ERNST & YOUNG LLP,GB01G000495399,"£45,768.00",Judicial training and conferences
MoJ,MoJ HQ,30/01/24,Exp - Purchase Of Goods/Services - Consultancy,Business Management - BAU,ERNST & YOUNG LLP,GB01G000499524,"£565,044.02",Consultancy and professional services
MoJ,MoJ HQ,18/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - APPLICATION DEVELOPMENT,Prisons Tech Debt,FARSIGHT CONSULTING LTD,INV-2576,"£104,175.00",Information technology related costs
MoJ,MoJ HQ,25/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - APPLICATION DEVELOPMENT,Prisons Tech Debt,FARSIGHT CONSULTING LTD,INV-2447,"£41,706.00",Information technology related costs
MoJ,MoJ HQ,18/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - APPLICATION DEVELOPMENT,Prisons Tech Debt,FARSIGHT CONSULTING LTD,INV-2539,"£132,336.00",Information technology related costs
