Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,03/01/2024,Rent (Irrec VAT),Estates,Astral Towers Ltd,5100057906,"340,426.46",Rent (Irrec VAT),W1J 6ER,,,,
HMRC,HMRC,03/01/2024,Counsel Fee VAT Irre,Solicitor's Office & Legal Services,JOANNA VICARY,5100057910,"29,865.90",Counsel Fees,M3 4DN,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,Programme and Operational Delivery,Atos Holding UK 1 Ltd,5100057923,"133,231.51",IT contractors,WC1V 6EA,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,Programme and Operational Delivery,Atos Holding UK 1 Ltd,5100057923,"146,226.01",IT contractors,WC1V 6EA,,,,
HMRC,HMRC,04/01/2024,Virtual Hosting and Infrastructure,CDIO - Core,SOFTCAT LTD,1900446270,"1,367,169.61",Virtual Hosting and Infrastructure,SL7 1LW,,,,
HMRC,HMRC,04/01/2024,IT Software Licenses and Support,CDIO - Core,FUJITSU SERVICES LTD,1900446274,"1,174,395.47",IT Software Licenses and Support,WA3 6GD,,,,
HMRC,HMRC,04/01/2024,Virtual Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900446275,"27,261.53",Virtual Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/01/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900446287,"498,469.15",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/01/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900446288,"54,177.88",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/01/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900446289,"53,652.04",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/01/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900446290,"88,680.25",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/01/2024,Virtual Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900446292,"200,605.07",Virtual Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/01/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900446310,"45,405.44",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/01/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900446311,"65,760.88",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/01/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900446312,"49,171.91",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/01/2024,Virtual Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900446317,"24,834.99",Virtual Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/01/2024,Disposal Seized Gds,Fraud Investigation Service,BIFFA WASTE SERVICES LTD,5100057938,"36,205.39",Disposal Seized Gds,HP12 3TZ,,,,
HMRC,HMRC,04/01/2024,Soft Licen Off shelf,CDIO - Core,XMA LTD,5100057944,"574,588.80",Soft Licen Off shelf,NG11 7EP,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays Supp,PDC Customer Strategy & Tax Design,Atos Holding UK 1 Ltd,5100057946,"29,613.17",Software Development,WC1V 6EA,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays Supp,Programme and Operational Delivery,EQUAL EXPERTS UK LTD,5100057947,"244,234.62",IT contractors,AL1 5HE,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,EQUAL EXPERTS UK LTD,5100057948,"158,429.25",Customs Declaration Service Contractor Costs,AL1 5HE,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,EQUAL EXPERTS UK LTD,5100057949,"242,368.88",Customs Declaration Service Contractor Costs,AL1 5HE,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays Supp,Programme and Operational Delivery,Atos Holding UK 1 Ltd,5100057950,"128,500.00",IT contractors,WC1V 6EA,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,EQUAL EXPERTS UK LTD,5100057952,"660,037.97",Customs Declaration Service Contractor Costs,AL1 5HE,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays HMRC,Unity Business Services,Baringa Partners LLP,5100057955,"44,880.00",Project Support Labour Hours,SW1E 6AJ,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays HMRC,Unity Business Services,Baringa Partners LLP,5100057956,"37,740.00",Project Support Labour Hours,SW1E 6AJ,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,Atos Holding UK 1 Ltd,5100057965,"36,085.00",PROJECT Mandays Supp,WC1V 6EA,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,Atos Holding UK 1 Ltd,5100057966,"39,510.00",PROJECT Mandays Supp,WC1V 6EA,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,Atos Holding UK 1 Ltd,5100057967,"404,815.00",PROJECT Mandays Supp,WC1V 6EA,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,Coforge,5100057968,"42,315.00",Customs Declaration Service Contractor Costs,EC3M 4AJ,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,CGI IT UK LTD,5100057969,"42,480.55",PROJECT Mandays Supp,CF31 9AP,,,,
HMRC,HMRC,04/01/2024,Project support,Strat Planning Customer & Infrastructure,Gleeds Building Surveying Ltd,5100057975,"76,857.00",Inland Border Facilities - Build costs,W1W 6XF,,,,
HMRC,HMRC,04/01/2024,Contin Labor Build,B&T Border Change Delivery,COGNIZANT Technology Solutions,5100057991,"84,651.00",Customs Declaration Service Contractor Costs,EC2M 4AG,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,COGNIZANT Technology Solutions,5100057992,"45,827.00",Customs Declaration Service Contractor Costs,EC2M 4AG,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays Supp,CDIO - Core,FUJITSU SERVICES LTD,5100058002,"40,965.60",PROJECT Mandays Supp,WA3 6GD,,,,
HMRC,HMRC,04/01/2024,OHS,HR,People Asset Management Ltd,5100058069,"48,101.04",Occupational Health Services,WA1 1SL,,,,
HMRC,HMRC,04/01/2024,Rent (Irrec VAT),Estates,COLLIERS INT PROPERTY CONSULT LTD,5100058142,"200,592.00",Rent (Irrec VAT),W1U 7GA,,,,
HMRC,HMRC,04/01/2024,Rent (Irrec VAT),Estates,COLLIERS INT PROPERTY CONSULT LTD,5100058142,"635,208.00",Rent (Irrec VAT),W1U 7GA,,,,
HMRC,HMRC,04/01/2024,SW Lic Sup Off shlf,CDIO - Core,CDW LTD,5100058148,"38,538.72",SW Lic Sup Off shlf,EC4M 7RB,,,,
HMRC,HMRC,04/01/2024,Mail/pickup/del serv,Operational Excellence & Output Mgmt,Whistl Ltd,5100058154,"37,215.17",Mail/pickup/del serv,SL7 1TB,,,,
HMRC,HMRC,04/01/2024,OGD costs,Business Assets & International Policy,FOREIGN COMMONWEALTH & DEVELOPMENT,5100058157,"27,840.61",OGD costs,G75 8EA,,,,
HMRC,HMRC,04/01/2024,Minor AW consultancy,Estates,Gleeds Cost Management Ltd,5100058158,"56,114.33",Minor AW consultancy,W1W 6XF,,,,
HMRC,HMRC,04/01/2024,Consultancy – IT,Programme and Operational Delivery,Amazon Web Services UK,5100058160,"42,818.29",IT contractors,EC2A 2FA,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays HMRC,CDIO - Core,Pennant International Limited,5100058169,"141,431.16",PROJECT Mandays HMRC,GL51 6TL,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays Supp,Programme and Operational Delivery,Atos Holding UK 1 Ltd,5100058170,"27,036.51",IT contractors,WC1V 6EA,,,,
HMRC,HMRC,04/01/2024,SW Lic Sup Off shlf,CDIO - Core,CDW LTD,5100058174,"32,279.26",SW Lic Sup Off shlf,EC4M 7RB,,,,
HMRC,HMRC,04/01/2024,SW Lic Sup mngd Serv,CDIO - Core,FUJITSU SERVICES LTD,5100058182,"67,539.92",SW Lic Sup mngd Serv,WA3 6GD,,,,
HMRC,HMRC,04/01/2024,SW Lic Sup mngd Serv,CDIO - Core,FUJITSU SERVICES LTD,5100058183,"140,887.34",SW Lic Sup mngd Serv,WA3 6GD,,,,
HMRC,HMRC,04/01/2024,SW Lic Sup mngd Serv,CDIO - Core,FUJITSU SERVICES LTD,5100058184,"97,318.15",SW Lic Sup mngd Serv,WA3 6GD,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,EQUAL EXPERTS UK LTD,5100058191,"83,546.25",PROJECT Mandays Supp,AL1 5HE,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,EQUAL EXPERTS UK LTD,5100058192,"26,404.87",PROJECT Mandays Supp,AL1 5HE,,,,
HMRC,HMRC,04/01/2024,Consultancy – IT,Transformation DG & Programme Office,SALESFORCE UK LTD,5100058199,"36,050.70",Consultancy – IT,EC2N 4AY,,,,
HMRC,HMRC,04/01/2024,Consultancy – IT,Transformation DG & Programme Office,SALESFORCE UK LTD,5100058201,"29,285.60",Consultancy – IT,EC2N 4AY,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays Supp,Programme and Operational Delivery,EQUAL EXPERTS UK LTD,5100058210,"55,300.00",IT contractors,AL1 5HE,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays Supp,Fraud Investigation Service,FUJITSU SERVICES LTD,5100058213,"31,058.08",PROJECT Mandays Supp,WA3 6GD,,,,
HMRC,HMRC,04/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,Atos Holding UK 1 Ltd,5100058218,"55,360.17",PROJECT Mandays Supp,WC1V 6EA,,,,
HMRC,HMRC,05/01/2024,Project Development,CDIO - Core,MADE TECH LTD,1900446337,"81,200.00",Project Development,EC2A 4NE,,,,
HMRC,HMRC,05/01/2024,Management of Agreement & Admin Costs,CDIO - Core,FUJITSU SERVICES LTD,1900446344,"548,935.47",Management of Agreement & Admin Costs,WA3 6GD,,,,
HMRC,HMRC,05/01/2024,Virtual Hosting and Infrastructure,CDIO - Core,Amazon Web Services UK,1900446346,"83,504.22",Virtual Hosting and Infrastructure,EC2A 2FA,,,,
HMRC,HMRC,05/01/2024,Courier Services,Estates,Royal Mail Group Ltd,1900446357,"57,234.85",Courier Services,S49 1HQ,,,,
HMRC,HMRC,05/01/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900446364,"38,751.22",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,05/01/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900446366,"149,754.56",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,05/01/2024,System Maintenance,CDIO - Core,ACCENTURE (UK) LTD,1900446382,"556,134.43",System Maintenance,EC3M 3BD,,,,
HMRC,HMRC,05/01/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900446383,"598,302.03",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,05/01/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900446384,"355,540.83",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,05/01/2024,Virtual Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900446385,"87,761.06",Virtual Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,05/01/2024,Virtual Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900446386,"108,106.35",Virtual Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,05/01/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900446388,"159,939.88",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,05/01/2024,Non-IT Contingent Labour,Solicitor's Office & Legal Services,ALEXANDER MANN SOLUTIONS LTD,1900446528,"26,260.01",Labour,EC2N 3AQ,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,CGI IT UK LTD,5100058222,"22,185.00",Modernising Authorisations IT contractors,CF31 9AP,,,,
HMRC,HMRC,05/01/2024,Soft Licen Integral,CDIO - Core,CAPGEMINI,5100058242,"31,713.00",Soft Licen Integral,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,CAPGEMINI,5100058243,"28,356.30",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,CAPGEMINI,5100058250,"80,233.66",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,CAPGEMINI,5100058254,"24,440.63",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,Programme and Operational Delivery,CAPGEMINI,5100058260,"74,612.15",IT contractors,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,CAPGEMINI,5100058263,"53,490.24",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,Maintenance fees,CDIO - Core,CAPGEMINI,5100058264,"65,692.14",Maintenance fees,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,CAPGEMINI,5100058265,"165,448.56",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,PDC Customer Strategy & Tax Design,CAPGEMINI,5100058266,"21,235.64",Software Development,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,Contin Labor Build,B&T Border Change Delivery,NETCOMPANY UK LTD,5100058268,"24,300.00",Contractor services bespoke software development,N1C 4AG,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,Programme and Operational Delivery,CAPGEMINI,5100058273,"205,754.61",IT contractors,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,CAPGEMINI,5100058274,"49,962.91",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,Contin Labor Build,B&T Border Change Delivery,NETCOMPANY UK LTD,5100058278,"299,365.00",Contractor services bespoke software development,N1C 4AG,,,,
HMRC,HMRC,05/01/2024,Contin Labor Build,B&T Border Change Delivery,NETCOMPANY UK LTD,5100058285,"149,850.00",Contractor services bespoke software development,N1C 4AG,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,NETCOMPANY UK LTD,5100058292,"249,471.00",Contractor services bespoke software development,N1C 4AG,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,CDIO Transformation Programmes,CAPGEMINI,5100058293,"27,456.99",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,Contin Labor Build,B&T Border Change Delivery,NETCOMPANY UK LTD,5100058297,"1,033,798.00",Contractor services bespoke software development,N1C 4AG,,,,
HMRC,HMRC,05/01/2024,Contin Labor Build,B&T Border Change Delivery,NETCOMPANY UK LTD,5100058300,"43,740.00",Contractor services bespoke software development,N1C 4AG,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays HMRC,CDIO - Core,CAPGEMINI,5100058304,"25,041.16",PROJECT Mandays HMRC,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,GovDept Serv(VAT Ex),CSG Transformation,NATIONAL SAVINGS & INVESTMENTS,5100058306,"1,241,118.26",GovDept Serv(VAT Ex),SW1V 2QX,,,,
HMRC,HMRC,05/01/2024,GovDept Serv(VAT Ex),Benefits & Credits Delivery,NATIONAL SAVINGS & INVESTMENTS,5100058313,"636,202.30",GovDept Serv(VAT Ex),SW1V 2QX,,,,
HMRC,HMRC,05/01/2024,Consultancy – IT,CDIO - Core,COGNIZANT Technology Solutions,5100058314,"73,080.50",Consultancy – IT,EC2M 4AG,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,CAPGEMINI,5100058335,"31,107.96",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,CAPGEMINI,5100058336,"51,405.54",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,CGI IT UK LTD,5100058368,"24,403.50",PROJECT Mandays Supp,CF31 9AP,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,CAPGEMINI,5100058369,"45,594.71",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,Programme and Operational Delivery,CAPGEMINI,5100058435,"78,159.31",IT contractors,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,Contact Platform Ser,CDIO - Core,CAPGEMINI,5100058436,"22,081.18",Contact Platform Ser,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,Contact Platform Ser,CDIO - Core,CAPGEMINI,5100058437,"27,454.94",Contact Platform Ser,TF3 3BD,,,,
