Organisation Name,Organisation Code,Unique Ref No ,Effective Date,Directorate where expenditure incurred, Supplier Name ,Payment Date,Net amount,Purpose of Spend,"Procurement Classification
(Higher Level)","Procurement Classification
(Lower Level)",CAPITAL / REVEUNE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5681,31.07.2023,ADULT SOCIAL CARE,OAK LODGE RESIDENTIAL HOME,04/07/2023,"2,812.28",6541-Residential EMI,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5682,31.07.2023,ADULT SOCIAL CARE,OAK LODGE RESIDENTIAL HOME,04/07/2023,"2,413.36",6541-Residential EMI,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5683,31.07.2023,ADULT SOCIAL CARE,OAK LODGE RESIDENTIAL HOME,04/07/2023,"2,593.32",6541-Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5684,31.07.2023,ADULT SOCIAL CARE,OAK LODGE RESIDENTIAL HOME,04/07/2023,"2,847.32",6541-Residential EMI,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5685,31.07.2023,ADULT SOCIAL CARE,OAK LODGE RESIDENTIAL HOME,04/07/2023,"2,682.28",6541-Residential EMI,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5686,31.07.2023,ADULT SOCIAL CARE,OAK LODGE RESIDENTIAL HOME,04/07/2023,"3,012.88",6541-Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5687,31.07.2023,"ECONOMY, ENVIRONMENT & COMMUNITIES",OAKLEYS GROUP LTD,04/07/2023,269.11,6410-Materials,SUPPLIES & SERVICES,EQUIPMENT FURNITURE & MATERIALS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5688,31.07.2023,"ECONOMY, ENVIRONMENT & COMMUNITIES",OAKLEYS GROUP LTD,13/07/2023,388.56,6410-Materials to Stores,SUPPLIES & SERVICES,EQUIPMENT FURNITURE & MATERIALS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5689,31.07.2023,"ECONOMY, ENVIRONMENT & COMMUNITIES",OAKLEYS GROUP LTD,26/07/2023,270.08,6410-Materials,SUPPLIES & SERVICES,EQUIPMENT FURNITURE & MATERIALS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5690,31.07.2023,"ECONOMY, ENVIRONMENT & COMMUNITIES",OAKLEYS GROUP LTD,26/07/2023,399.06,6410-Materials,SUPPLIES & SERVICES,EQUIPMENT FURNITURE & MATERIALS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5691,31.07.2023,RESOURCES AND TRANSFORMATION,ODYSSEY LEARNING AND DEVELOPMENT LTD,20/07/2023,"-1,200.00",6625-Consultant Fees,SUPPLIES & SERVICES,SERVICES,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5692,31.07.2023,RESOURCES AND TRANSFORMATION,ODYSSEY LEARNING AND DEVELOPMENT LTD,20/07/2023,"1,200.00",6625-Consultant Fees,SUPPLIES & SERVICES,SERVICES,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5693,31.07.2023,RESOURCES AND TRANSFORMATION,ODYSSEY LEARNING AND DEVELOPMENT LTD,20/07/2023,"4,500.00",6625-Consultant Fees,SUPPLIES & SERVICES,SERVICES,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5694,31.07.2023,CHILDRENS,OFFICER IN CHARGE ESSINGTON,18/07/2023,"13,000.00",6222-Rents,PREMISES,RENTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5695,31.07.2023,CHILDRENS,OFFICER IN CHARGE ESSINGTON,25/07/2023,468.3,6223-Support Under Section 23 of The Childrens Act,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5696,31.07.2023,CHILDRENS,OFFICER IN CHARGE ESSINGTON,25/07/2023,546.35,6223-Support Under Section 23 of The Childrens Act,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5697,31.07.2023,CHILDRENS,OFFICER IN CHARGE ESSINGTON,14/07/2023,269,6223-Support Under Section 23 of The Childrens Act,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5698,31.07.2023,CHILDRENS,OFSTED,28/07/2023,"3,431.00",6223-Professional Fees & Services,SUPPLIES & SERVICES,SERVICES,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5699,31.07.2023,"ECONOMY, ENVIRONMENT & COMMUNITIES",OLD HALL PEOPLES PARTNERSHIP,24/07/2023,"8,750.00",6430-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5700,31.07.2023,"ECONOMY, ENVIRONMENT & COMMUNITIES",OLD HALL PEOPLES PARTNERSHIP,24/07/2023,"5,250.00",6430-Grants to Other Orgs,SUPPLIES & SERVICES,GRANTS (EXP) & SUBSCRIPTIONS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5701,31.07.2023,CHILDRENS,OLD HALL PEOPLES PARTNERSHIP,25/07/2023,"9,000.00",6413-Grants to Other Orgs,SUPPLIES & SERVICES,GRANTS (EXP) & SUBSCRIPTIONS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5702,31.07.2023,ADULT SOCIAL CARE,REDACTED,06/07/2023,908.12,6541-Direct Payment,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5703,31.07.2023,ADULT SOCIAL CARE,REDACTED,06/07/2023,"1,244.00",6541-Direct Payment,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5704,31.07.2023,ADULT SOCIAL CARE,REDACTED,06/07/2023,"1,343.52",6541-Direct Payment,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5705,31.07.2023,"ECONOMY, ENVIRONMENT & COMMUNITIES",ONE STOP PROMOTIONS LTD T/A FLAGS AND FLAGPOLES,19/07/2023,514,6410-Purchase of Furniture & Equipment,SUPPLIES & SERVICES,EQUIPMENT FURNITURE & MATERIALS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5706,31.07.2023,CHILDRENS,OPEN LENS MEDIA CIC,14/07/2023,445,6211-Consultant Fees,SUPPLIES & SERVICES,SERVICES,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5707,31.07.2023,CHILDRENS,OPEN LENS MEDIA CIC,19/07/2023,470,6212-Professional Fees & Services,SUPPLIES & SERVICES,SERVICES,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5708,31.07.2023,CHILDRENS,OPEN LENS PRODUCTIONS LTD,13/07/2023,"2,560.00",6221-External Training,INDIRECT EMPLOYEES,EXTERNAL TRAINING,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5709,31.07.2023,RESOURCES AND TRANSFORMATION,ORACLE SOLUTIONS ASBESTOS LTD,27/07/2023,597,6625-Professional Fees & Services,SUPPLIES & SERVICES,SERVICES,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5710,31.07.2023,CHILDRENS,ORANGE GROVE FOSTERCARE LTD,11/07/2023,"3,115.24",6223-Independent Foster Care-Oth Agency Provision,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5711,31.07.2023,CHILDRENS,ORANGE GROVE FOSTERCARE LTD,11/07/2023,"3,316.20",6223-Independent Foster Care-Oth Agency Provision,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5712,31.07.2023,CHILDRENS,ORANGE GROVE FOSTERCARE LTD,11/07/2023,"3,316.16",6223-Independent Foster Care-Oth Agency Provision,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5713,31.07.2023,CHILDRENS,ORANGE GROVE FOSTERCARE LTD,11/07/2023,"3,445.08",6223-Independent Foster Care-Oth Agency Provision,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5714,31.07.2023,CHILDRENS,ORANGE GROVE FOSTERCARE LTD,11/07/2023,"3,179.36",6223-Independent Foster Care-Oth Agency Provision,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5715,31.07.2023,CHILDRENS,ORANGE GROVE FOSTERCARE LTD,11/07/2023,"3,316.20",6223-Independent Foster Care-Oth Agency Provision,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5716,31.07.2023,CHILDRENS,ORANGE GROVE FOSTERCARE LTD,11/07/2023,"3,115.40",6223-Independent Foster Care-Oth Agency Provision,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5717,31.07.2023,CHILDRENS,ORANGE GROVE FOSTERCARE LTD,11/07/2023,502.05,6223-Independent Foster Care-Oth Agency Provision,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5718,31.07.2023,CHILDRENS,ORANGE GROVE FOSTERCARE LTD,11/07/2023,"3,118.76",6223-Independent Foster Care-Oth Agency Provision,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5719,31.07.2023,CHILDRENS,ORANGE GROVE FOSTERCARE LTD,11/07/2023,"3,316.16",6223-Independent Foster Care-Oth Agency Provision,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5720,31.07.2023,CHILDRENS,ORANGE GROVE FOSTERCARE LTD,11/07/2023,"3,439.15",6223-Independent Foster Care-Oth Agency Provision,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5721,31.07.2023,CHILDRENS,ORANGE GROVE FOSTERCARE LTD,11/07/2023,"1,129.64",6223-Independent Foster Care-Oth Agency Provision,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5722,31.07.2023,CHILDRENS,ORANGE GROVE FOSTERCARE LTD,11/07/2023,"3,316.24",6223-Independent Foster Care-Oth Agency Provision,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5723,31.07.2023,ADULT SOCIAL CARE,ORCHARD HOUSE MIDS LTD,04/07/2023,"4,368.52",6541-Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5724,31.07.2023,ADULT SOCIAL CARE,ORCHARD HOUSE NURSING HOME,04/07/2023,"2,818.68",6541-Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5725,31.07.2023,ADULT SOCIAL CARE,ORCHARD HOUSE NURSING HOME,04/07/2023,"2,549.96",6541-Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5726,31.07.2023,"ECONOMY, ENVIRONMENT & COMMUNITIES",ORIGIN AMENITY SOLUTIONS,17/07/2023,270,6410-Materials,SUPPLIES & SERVICES,EQUIPMENT FURNITURE & MATERIALS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5727,31.07.2023,"ECONOMY, ENVIRONMENT & COMMUNITIES",ORIGIN AMENITY SOLUTIONS,17/07/2023,"1,875.00",6410-Materials,SUPPLIES & SERVICES,EQUIPMENT FURNITURE & MATERIALS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5728,31.07.2023,CHILDRENS,ORION TRAINING & DEVELOPMENT LTD,25/07/2023,"7,201.76",1187-Materials,SUPPLIES & SERVICES,EQUIPMENT FURNITURE & MATERIALS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5729,31.07.2023,ADULT SOCIAL CARE,REDACTED,06/07/2023,"3,554.24",6541-Direct Payment,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5730,31.07.2023,ADULT SOCIAL CARE,OUR CARE LTD,04/07/2023,396,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5731,31.07.2023,ADULT SOCIAL CARE,OUR CARE LTD,04/07/2023,576,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5732,31.07.2023,ADULT SOCIAL CARE,OUR CARE LTD,04/07/2023,567,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5733,31.07.2023,ADULT SOCIAL CARE,OUR CARE LTD,04/07/2023,630,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5734,31.07.2023,ADULT SOCIAL CARE,OUR CARE LTD,04/07/2023,630,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5735,31.07.2023,ADULT SOCIAL CARE,OUR CARE LTD,04/07/2023,522,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5736,31.07.2023,ADULT SOCIAL CARE,OUR CARE LTD,04/07/2023,576,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5737,31.07.2023,ADULT SOCIAL CARE,OUR CARE LTD,04/07/2023,504,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5738,31.07.2023,ADULT SOCIAL CARE,OUR CARE LTD,04/07/2023,567,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
