FORMAT CIAXLONE REPORT,DefnSheetName=_defntemp_,,,,,,,,,,,,,,,,,,
*,Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference,Unique Reference
LIST,Blackpool Council,Foresight Clinical Services Ltd,177579,1003604,7/03/2024,"1,653.00",275.50,External Legal Fees,10493,64712,Experts Fees,Children's Services - 1,CHISER,JEA,Senior Management - 3,JEA2,Senior Management JEA2 - 5,INV-47581,1003604177579INV-47581
LIST,Blackpool Council,Dwf Law Llp,177908,1003830,1/03/2024,"5,448.96",908.16,,,64705,Solicitors Fees,Communication & Regeneration - 1,AMCPI,HJ,Growth & Prosperity Team - 3,HJA1,Growth - 5,157-0461260,1003830177908157-0461260
LIST,Blackpool Council,Tts Group Ltd,177967,1000084,5/03/2024,301.43,50.24,Highfurlong -Pupil Premium,10344,63008,Educational Equipment,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED511,Highfurlong - 5,DE7374288,1000084177967DE7374288
LIST,Blackpool Council,Tts Group Ltd,177968,1000084,5/03/2024,580.26,96.71,Highfurlong -Pupil Premium,10344,63008,Educational Equipment,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED511,Highfurlong - 5,DE7369714,1000084177968DE7369714
LIST,Blackpool Council,Wrps Ltd,178811,1003665,4/03/2024,582.00,97.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14949,100366517881114949
LIST,Blackpool Council,Wrps Ltd,178812,1003665,4/03/2024,"24,217.60","4,036.27",HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14948,100366517881214948
LIST,Blackpool Council,Wrps Ltd,178813,1003665,4/03/2024,"1,257.65",209.61,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14947,100366517881314947
LIST,Blackpool Council,Wrps Ltd,178815,1003665,4/03/2024,"7,248.79","1,208.13",HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14946,100366517881514946
LIST,Blackpool Council,Wrps Ltd,178817,1003665,4/03/2024,"3,427.34",571.22,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14945,100366517881714945
LIST,Blackpool Council,Wrps Ltd,178818,1003665,4/03/2024,583.20,97.20,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14944,100366517881814944
LIST,Blackpool Council,Wrps Ltd,178821,1003665,4/03/2024,"4,702.94",783.82,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14956,100366517882114956
LIST,Blackpool Council,Wrps Ltd,178841,1003665,4/03/2024,"2,209.80",368.30,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14943,100366517884114943
LIST,Blackpool Council,Wrps Ltd,178843,1003665,4/03/2024,"3,232.50",538.75,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14958,100366517884314958
LIST,Blackpool Council,Wrps Ltd,178844,1003665,4/03/2024,"1,517.40",252.90,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14957,100366517884414957
LIST,Blackpool Council,Wrps Ltd,178845,1003665,4/03/2024,"5,176.12",862.69,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14955,100366517884514955
LIST,Blackpool Council,Wrps Ltd,178846,1003665,4/03/2024,"2,415.00",402.50,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14954,100366517884614954
LIST,Blackpool Council,Wrps Ltd,178847,1003665,4/03/2024,"14,490.17","2,415.03",HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14953,100366517884714953
LIST,Blackpool Council,Wrps Ltd,178848,1003665,4/03/2024,"1,791.24",298.54,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14952,100366517884814952
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,178849,1003916,4/03/2024,"1,560.00",260.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02106,1003916178849INV-02106
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,178850,1003916,4/03/2024,"1,050.00",175.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02107,1003916178850INV-02107
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,178852,1003916,4/03/2024,540.00,90.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02108,1003916178852INV-02108
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,178853,1003916,4/03/2024,"1,170.00",195.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02109,1003916178853INV-02109
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,178854,1003916,4/03/2024,"1,680.00",280.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02110,1003916178854INV-02110
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,178855,1003916,4/03/2024,"20,220.00","3,370.00",HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02096,1003916178855INV-02096
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,178856,1003916,4/03/2024,"1,800.00",300.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02098,1003916178856INV-02098
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,178857,1003916,4/03/2024,"1,350.00",225.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02099,1003916178857INV-02099
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,178858,1003916,4/03/2024,"1,200.00",200.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02100,1003916178858INV-02100
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,178859,1003916,4/03/2024,930.00,155.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02101,1003916178859INV-02101
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,178860,1003916,4/03/2024,900.00,150.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02102,1003916178860INV-02102
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,178861,1003916,4/03/2024,360.00,60.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02103,1003916178861INV-02103
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,178862,1003916,4/03/2024,"1,290.00",215.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02104,1003916178862INV-02104
LIST,Blackpool Council,Romano Education Limited,178881,1140161,4/03/2024,503.60,83.93,St Bernadettes -General,10174,60792,Supply Education Support,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED191,St Bernadettes Catholic - 5,RE010450,1140161178881RE010450
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,178890,1003916,4/03/2024,"1,410.00",235.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02105,1003916178890INV-02105
LIST,Blackpool Council,Cavity Extraction Specialists Nw Ltd,178894,1004276,13/03/2024,"2,397.60",399.60,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,1080,10042761788941080
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,178896,1003916,5/03/2024,"1,260.00",210.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02112,1003916178896INV-02112
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,178897,1003916,5/03/2024,360.00,60.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02113,1003916178897INV-02113
LIST,Blackpool Council,Tts Group Ltd,178960,1000084,5/03/2024,303.57,50.60,Moor Park -School Curriculum,90000,63008,VAT ADJUSTMENT,Not Applicable - 1,NA,NA,Schools - Delegated - 3,NA,Not Applicable - 5,DE7375703,1000084178960DE7375703
LIST,Blackpool Council,Lancashire Interpretation & Translation Service Ltd,178965,1002862,7/03/2024,"10,466.40","1,744.40",External Legal Fees,10493,64712,Experts Fees,Children's Services - 1,CHISER,JEA,Senior Management - 3,JEA2,Senior Management JEA2 - 5,LITS/050124/BH,1002862178965LITS/050124/BH
LIST,Blackpool Council,Marshall Leasing Ltd,178967,1004167,5/03/2024,564.00,94.00,Kincraig - General,10135,62201,Contract Hire,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED101,Kincraig Primary - 5,3293940,10041671789673293940
LIST,Blackpool Council,Pitch And Track Ltd,179071,1005254,4/03/2024,672.00,112.00,B'Pool Sports Centre,40011,61012,Maintenance Private Contractor,Resources - 1,TRSTOT,AEB,Buildings - 3,BDLC,Buildings - Leisure Centres - 5,MT03708/0124,1005254179071MT03708/0124
LIST,Blackpool Council,Maths Circle Ltd,179103,1003335,5/03/2024,315.36,52.56,Bispham Endowed -Computer Licences,10031,63532,Computer Running and License Costs,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED031,Bispham Endowed C Of E Primary - 5,94335,100333517910394335
LIST,Blackpool Council,Humly North West Limited,179108,1001787,1/03/2024,"2,442.00",407.00,Bispham Endowed -Supply Costs,10024,60792,Supply Education Support,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED031,Bispham Endowed C Of E Primary - 5,59055,100178717910859055
LIST,Blackpool Council,Travis Perkins Trading Company Limited,179330,1000056,5/03/2024,"1,580.20",263.37,,,61065,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,6938 AAF029,10000561793306938 AAF029
LIST,Blackpool Council,North Liverpool Construction Ltd (Fac067),179332,1003477,5/03/2024,"2,289.77",381.63,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,130756,1003477179332130756
LIST,Blackpool Council,North Liverpool Construction Ltd (Fac067),179333,1003477,5/03/2024,840.00,140.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,130759,1003477179333130759
LIST,Blackpool Council,North Liverpool Construction Ltd (Fac067),179334,1003477,5/03/2024,"1,856.46",309.41,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,130760,1003477179334130760
LIST,Blackpool Council,Wrps Ltd,179341,1003665,4/03/2024,704.80,117.47,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14950,100366517934114950
LIST,Blackpool Council,Wrps Ltd,179343,1003665,4/03/2024,"3,221.66",536.94,HRA Capital Balance Sheet,90080,99999,VAT ADJUSTMENT,Not Applicable - 1,ZCONBS,ZCASUM1,Not Applicable - 3,ZCASUM3,Not Applicable - 5,14951,100366517934314951
LIST,Blackpool Council,Wrps Ltd,179344,1003665,4/03/2024,758.40,126.40,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14923,100366517934414923
LIST,Blackpool Council,Wrps Ltd,179347,1003665,4/03/2024,538.93,89.82,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14921,100366517934714921
LIST,Blackpool Council,Wrps Ltd,179348,1003665,4/03/2024,"3,231.43",538.57,HRA Capital Balance Sheet,90080,99999,VAT ADJUSTMENT,Not Applicable - 1,ZCONBS,ZCASUM1,Not Applicable - 3,ZCASUM3,Not Applicable - 5,14927,100366517934814927
LIST,Blackpool Council,Knight Air Products Limited,179512,1000275,4/03/2024,494.52,82.42,Highfurlong - General,10363,61601,Consumable Supplies,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED511,Highfurlong - 5,328439,1000275179512328439
LIST,Blackpool Council,The James Mercer Group Ltd,179769,1000704,4/03/2024,310.51,51.75,Highfurlong - General,10363,61064,Delegated Maintenance,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED511,Highfurlong - 5,302131,1000704179769302131
LIST,Blackpool Council,Foster Care Associates Limited,179864,1000192,1/03/2024,499.28,0.00,Mother And Baby Fostering,10542,64501,Private Contractors,Children's Services - 1,CHISER,JEA,Senior Management - 3,JEA2,Senior Management JEA2 - 5,38116,100019217986438116
LIST,Blackpool Council,Forbes Solicitors,180136,1000360,5/03/2024,"4,517.40",752.90,SynergyTrust - Highfurlong,10592,63412,Therapeutic Work,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED511,Highfurlong - 5,638594,1000360180136638594
LIST,Blackpool Council,Tts Group Ltd,180139,1000084,8/03/2024,413.96,68.99,Highfurlong -Pupil Premium,10344,63008,Educational Equipment,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED511,Highfurlong - 5,DE7381349,1000084180139DE7381349
LIST,Blackpool Council,Travis Perkins Trading Company Limited,180233,1000056,4/03/2024,"1,578.05",263.01,,,61065,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,6938 AAF022,10000561802336938 AAF022
LIST,Blackpool Council,North Liverpool Construction Ltd (Fac067),180242,1003477,5/03/2024,799.66,133.28,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,130761,1003477180242130761
LIST,Blackpool Council,Fylde Maintenance Services Ltd,181188,1002195,5/03/2024,398.88,66.48,B'Pool Sports Centre,40011,61121,Heating and Ventilation,Resources - 1,TRSTOT,AEB,Buildings - 3,BDLC,Buildings - Leisure Centres - 5,5712,10021951811885712
LIST,Blackpool Council,Jpf Systems Limited,181198,1002135,4/03/2024,816.00,136.00,Bickerstaffe,40062,61012,Maintenance Private Contractor,Resources - 1,TRSTOT,DUP,Dual Use Propeties - 3,BDBH,Buildings - Bickerstaffe House - 5,933562,1002135181198933562
