Organisation name,Organisation Code,Effective date,Directorate / service where expenditure incurred,Service Category label,Service category URI,Supplier (Beneficiary) name,Local supplier (beneficiary) internal reference,Supplier,Supplier registered charity number,VCSE grant,Payment date - G/L Date,Transaction number,Net Amount,Irrecoverable VAT,purpose_of_spend,Procurement classification / merchant category: Council’s procurement category name,Procurement classification / merchant category: CPV label,Procurement classification / merchant category: CPV code,Procurement classification / merchant category: Proclass label,Procurement classification / merchant category: Proclass code,card_transaction,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Doro AB,1274450,,,,24/10/2023,2200351256,"1,028.00",,Payments to Voluntary bodies,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Doro AB,1274450,,,,24/11/2023,2200358291,"1,004.00",,Payments to Voluntary bodies,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Doro AB,1274450,,,,21/12/2023,2200363801,968.00,,Payments to Voluntary bodies,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Red Alert Ltd ,1231238,,,,04/10/2023,2200347861,"2,940.00",,Payments to Voluntary bodies,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Red Alert Ltd ,1231238,,,,03/11/2023,2200353970,"2,940.00",,Payments to Voluntary bodies,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Red Alert Ltd ,1231238,,,,13/12/2023,2200362146,"3,307.50",,Payments to Voluntary bodies,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Tunstall Healthcare (UK) Ltd (Use 3012996),1235586,,,,07/12/2023,2200360700,"47,000.00",,Payments to Voluntary bodies,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Tunstall Response Ltd ,1235587,,,,02/11/2023,2200353643,"12,567.36",,Payments to Voluntary bodies,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,BRG Interim Solutions Limited,1301334,,,,04/10/2023,2200347916,"3,000.00",,Hired and Contracted Services,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,BRG Interim Solutions Limited,1301334,,,,12/10/2023,2200349296,"3,000.00",,Hired and Contracted Services,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,BRG Interim Solutions Limited,1301334,,,,23/10/2023,2200350937,"3,000.00",,Hired and Contracted Services,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,BRG Interim Solutions Limited,1301334,,,,26/10/2023,2200352149,"3,000.00",,Hired and Contracted Services,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,BRG Interim Solutions Limited,1301334,,,,02/11/2023,2200353458,"1,800.00",,Hired and Contracted Services,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,BRG Interim Solutions Limited,1301334,,,,09/11/2023,2200354756,"3,000.00",,Hired and Contracted Services,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,BRG Interim Solutions Limited,1301334,,,,16/11/2023,2200356390,"3,000.00",,Hired and Contracted Services,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,BRG Interim Solutions Limited,1301334,,,,22/11/2023,2200357772,"3,000.00",,Hired and Contracted Services,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,BRG Interim Solutions Limited,1301334,,,,30/11/2023,2200359279,"3,000.00",,Hired and Contracted Services,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,BRG Interim Solutions Limited,1301334,,,,07/12/2023,2200360666,"3,000.00",,Hired and Contracted Services,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Chartered Association ,1252686,,,,06/10/2023,2200348234,608.33,,Training related expenditure,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,LABC ,1234875,,,,30/11/2023,2200359487,"3,230.00",,Training related expenditure,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,20/10/2023,2200350748,910.00,,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,20/10/2023,2200350749,"1,030.00",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,20/10/2023,2200350758,"2,112.00",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,27/10/2023,2200352295,553.00,,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,27/10/2023,2200352296,553.00,,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,14/11/2023,2200355944,686.10,,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,20/11/2023,2200357088,"1,030.00",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,20/11/2023,2200357089,704.00,,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,18/12/2023,2200363109,704.00,,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,18/12/2023,2200363113,601.00,,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,18/12/2023,2200363114,"4,985.00",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,18/12/2023,2200363116,790.00,,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,Clear Skies Software Ltd,1233403,,,,16/10/2023,2200349841,"2,346.23",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,REDACTED,D000000023,,,,21/11/2023,3110597313,"3,318.75",,Income: General Fees and Charges,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,Redact Details,1234806,,,,03/11/2023,2200353783,"1,338.00",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,T/A Idverde ,1231423,,,,27/10/2023,2200352410,"44,339.77",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,T/A Idverde ,1231423,,,,16/11/2023,2200356473,"44,339.77",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,T/A Idverde ,1231423,,,,24/11/2023,2200358355,"66,866.01",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,T/A Idverde ,1231423,,,,18/12/2023,2200363037,"44,339.77",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,TCS EXHUMATIONS SERVICES LTD,1314894,,,,17/10/2023,2200349956,"1,650.00",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Social Investment and Property,Corporate Property,,Newlyn PLC,,,,,20/10/2023,3110589161,"18,708.50",,Uniform Business Rates,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,24 Seven Companies Ltd,1260952,,,,03/11/2023,2200353884,"1,000.00",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,24 Seven Companies Ltd,1260952,,,,03/11/2023,2200353898,"1,500.00",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,05/10/2023,2200348182,"3,816.06",,Architects,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,05/10/2023,2200348183,"8,275.00",,Architects,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,06/10/2023,2200348276,"15,000.00",,Other Consultants,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,06/10/2023,2200348277,"7,080.12",,Architects,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,19/10/2023,2200350564,"2,125.00",,Architects,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,26/10/2023,2200352076,"4,925.00",,Architects,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,13/11/2023,2200355529,"7,080.12",,Architects,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,24/11/2023,2200358402,"4,400.00",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,24/11/2023,2200358403,"2,145.00",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,24/11/2023,2200358404,"1,760.00",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,24/11/2023,2200358406,"2,112.80",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,05/12/2023,2200360210,"6,175.00",,Surveyors,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,05/12/2023,2200360211,"7,080.12",,Architects,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,4i Solutions Ltd,1232084,,,,13/10/2023,2200349672,"16,669.36",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,4i Solutions Ltd,1232084,,,,13/10/2023,2200349674,"10,771.86",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,99 Structural Engineers,1274678,,,,02/10/2023,2200347160,960.00,,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,05/10/2023,2200348047,"4,881.00",,Site Works,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,05/10/2023,2200348048,"2,839.00",,Site Works,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,05/10/2023,2200348050,"33,652.25",,Site Works,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,05/10/2023,2200348056,"3,850.00",,Site Works,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,05/10/2023,2200348063,548.00,,Site Works,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,23/10/2023,2200351083,"7,748.00",,Site Works,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,06/11/2023,2200354145,"2,250.00",,Site Works,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,07/12/2023,2200360683,"1,976.00",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,12/12/2023,2200361757,"8,876.00",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,20/12/2023,2200363679,907.00,,Site Works,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,21/12/2023,2200363836,630.00,,Planned Maintenance (CM),,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,ACS PROFESSIONALS IN CONSTRUCTION LTD,1277658,,,,25/10/2023,2200351923,"66,000.00",,Construction : new asset,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,ACS PROFESSIONALS IN CONSTRUCTION LTD,1277658,,,,25/10/2023,2200351924,"61,046.22",,Surveyors,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,ACS PROFESSIONALS IN CONSTRUCTION LTD,1277658,,,,25/10/2023,2200351925,"79,204.48",,Surveyors,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,ACS PROFESSIONALS IN CONSTRUCTION LTD,1277658,,,,25/10/2023,2200351926,"91,740.79",,Surveyors,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,ACS PROFESSIONALS IN CONSTRUCTION LTD,1277658,,,,30/11/2023,2200359548,"42,114.53",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Akdesign Consultants Ltd,1263929,,,,07/12/2023,2200360869,"1,120.00",,Professional Fees : Non Legal,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,AO Business,1232416,,,,19/10/2023,2200350528,"8,907.95",,Special Maintenance,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,AO Business,1232416,,,,06/12/2023,2200360386,"7,999.33",,Special Maintenance,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,AO Business,1232416,,,,06/12/2023,2200360587,"11,313.12",,Special Maintenance,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,AON UK Limited,1317819,,,,21/12/2023,2200363817,"1,120.00",,Legal Fees & expenses,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,AVVIQ Consulting Limited,1285113,,,,02/10/2023,2200347210,"4,900.00",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,AVVIQ Consulting Limited,1285113,,,,13/12/2023,2200361997,"1,100.00",,Professional Fees : Non Legal,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Access UK Ltd,1287644,,,,04/10/2023,2200347745,"28,301.25",,Other Consultants,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Access UK Ltd,1287644,,,,04/10/2023,2200347746,"14,150.62",,Other Consultants,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Alexander Scaffold Ltd ,1231166,,,,22/10/2023,2200350924,"1,760.00",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,All Saints Catholic College ,1236054,,,,27/11/2023,2200358560,"12,479.57",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,All Urban Limited,1294850,,,,13/11/2023,2200355708,"2,635.00",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Allies & Morrison LLP ,1232371,,,,11/10/2023,2200349188,"3,000.00",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,02/10/2023,2200347310,"44,392.98",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,20/10/2023,2200350733,"627,877.93",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,20/10/2023,2200350736,"382,017.60",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,15/11/2023,2200356222,"7,671.14",,Safety Fence & Barriers,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,24/11/2023,2200358293,"182,024.57",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,30/11/2023,2200359287,"185,110.17",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,30/11/2023,2200359289,"457,781.41",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,18/12/2023,2200363153,"233,349.95",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,29/12/2023,2200364713,"333,285.58",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Antique Bronze Ltd,1232414,,,,29/11/2023,2200359179,"5,450.00",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Aquaneed Ltd,1260944,,,,27/12/2023,2200364444,"18,510.47",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Arcadis Consulting (UK) Ltd ,1232429,,,,06/11/2023,2200354201,"4,038.79",,Design Consultant,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Arcadis Llp ,1232430,,,,15/12/2023,2200362612,"30,000.00",,Other Consultants,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Arcadis Llp ,1232430,,,,22/12/2023,2200364115,"2,755.00",,Other Consultants,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Arcus Consulting Llp,1265536,,,,20/11/2023,2200357050,"2,800.00",,Other Consultants,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Arcus Consulting Llp,1265536,,,,20/11/2023,2200357051,"2,800.00",,Other Consultants,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Arcus Consulting Llp,1265536,,,,23/11/2023,2200357844,"2,800.00",,Other Consultants,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Arcus Consulting Llp,1265536,,,,23/11/2023,2200357847,"2,800.00",,Payments to main contractor,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Arcus Consulting Llp,1265536,,,,06/12/2023,2200360359,"5,900.00",,Other Consultants,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Arcus Consulting Llp,1265536,,,,12/12/2023,2200361754,"5,900.00",,Other Consultants,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Arcus Consulting Llp,1265536,,,,13/12/2023,2200362157,"12,100.00",,Other Consultants,,,,,,0,,,,
