Organisation Name,Organisation Code,Directorate / Service where expenditure Incurred,Supplier Name,Supplier ID,Payment Date,Transaction Number,Net Amount,Expenditure Proclass Code,Expenditure Proclass Category Level 1,Expenditure Proclass Category Level 2,Expenditure Proclass Category Level 3,Card Transaction Yes / No,Capital / Revenue,Service Division Label,Account Code,Account Code Description,Cost Centre Code,Cost Centre Description,Invoice Date,MCC Code,MCC Category,Ledger Year,Ledger Period,LA Short Name,BVACOP Group
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,D & G TROPHIES,65997,28/11/2024,8208466,594.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,12/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",CLEVELAND POLICE AUTHORITY,36253,26/11/2024,10626302,5000.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,ADULT SERVICES,5010,Payments to Other Agencies,30884,SAFEGUARDING & REVIEW TEAM,28/11/2022,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",STOCKTON ARTS CENTRE LTD,36782,26/11/2024,10635835,6984.39,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"CULTURE, LIBRARIES & EVENTS",4037,"Professional, Consultancy and Hired Services",20111,LIBRARIES,27/06/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,12/11/2024,10641258,3341.38,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,08/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ENVIRONMENT, CULTURE, LEISURE & EVENTS CAPITAL",SAM TURNER & SONS LTD,35902,20/11/2024,10641607,3383.01,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,LIBRARIES,C210,PROFESSIONAL & CONSULTANCY,C5329,CIRCULAR TRAIL,22/08/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,WYNYARD HALL,51846,05/11/2024,10641796,560.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30434,CIOC-SBC FOSTERING,23/08/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,22/11/2024,10642095,5818.68,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,15/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",BHP LAW,59972,05/11/2024,10642249,2297.05,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,ADULT SERVICES,4037,"Professional, Consultancy and Hired Services",30883,MENTAL HEALTH ASSESSMENT TEAM,07/08/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,08/11/2024,10642664,623.25,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,1140,Pay - Agency Staff & External Salary Contributions,50941,CREMATORIUM,22/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"FINANCE, DEVELOPMENT & REGEN",CANON (UK) LTD,33052,01/11/2024,10642670,8078.28,192000,Facilities & Management Services,Reprographics,Not Classified,no,REVENUE,STOCKTON ICT & XENTRALL,4021,ICT Costs,40349,LOCAL PRINTERS (MFDs),05/10/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"FINANCE, DEVELOPMENT & REGEN",CANON (UK) LTD,33052,01/11/2024,10642672,1434.66,192000,Facilities & Management Services,Reprographics,Not Classified,no,REVENUE,STOCKTON ICT & XENTRALL,4021,ICT Costs,40349,LOCAL PRINTERS (MFDs),05/10/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,12/11/2024,10642784,7638.99,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,1140,Pay - Agency Staff & External Salary Contributions,30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,22/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE ITEMS,CANON (UK) LTD,33052,06/11/2024,10642990,737.50,192000,Facilities & Management Services,Reprographics,Not Classified,no,REVENUE,BORROWING & PROVISIONS,4021,ICT Costs,40302,ACCOMMODATION STRATEGY,09/10/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,12/11/2024,10643004,7144.28,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,1140,Pay - Agency Staff & External Salary Contributions,30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,29/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",URBIS SCHREDER LTD,63106,05/11/2024,10643233,3117.82,230000,Highway Equipment & Materials ,Not Classified,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4501,PCB Materials,10044,STREET LIGHTING,18/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,XENTRALL,CANON (UK) LTD,33052,01/11/2024,10643389,1599.67,192000,Facilities & Management Services,Reprographics,Not Classified,no,REVENUE,ICT AND DESIGN & PRINT,4021,ICT Costs,90042,D&P COPYING,05/10/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,XENTRALL,CANON (UK) LTD,33052,01/11/2024,10643391,750.00,192000,Facilities & Management Services,Reprographics,Not Classified,no,REVENUE,ICT AND DESIGN & PRINT,4009,"Equipment, Furniture & Materials",90042,D&P COPYING,05/10/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,XENTRALL,CANON (UK) LTD,33052,01/11/2024,10643392,1499.69,192000,Facilities & Management Services,Reprographics,Not Classified,no,REVENUE,ICT AND DESIGN & PRINT,4009,"Equipment, Furniture & Materials",90042,D&P COPYING,05/10/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",RIVERSIDE ICES LTD,53143,12/11/2024,10643418,550.16,111200,Catering,Food & Beverages,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",50896,PRESTON PARK CAFE,15/10/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",RIVERSIDE TRUCK RENTAL LTD,40395,15/11/2024,10643419,213785.60,381600,Vehicle Management,Leasing,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,3004,Vehicle Hire/Lease,50380,VEHICLES,01/10/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TRL SUPPLIES LTD,55506,12/11/2024,10643421,1073.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4009,"Equipment, Furniture & Materials",50236,GROUNDS - GENERAL,15/10/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TRL SUPPLIES LTD,55506,12/11/2024,10643423,1000.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4501,PCB Materials,50257,CORE,15/10/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH CAPITAL,NAPPER ARCHITECTS LTD,79171,19/11/2024,10643564,13690.00,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,TOWN CENTRE INVESTMENT,C210,PROFESSIONAL & CONSULTANCY,C6033,TOWNSCAPE HERITAGE,23/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",RIVERSIDE TRUCK RENTAL LTD,40395,15/11/2024,10643583,-213785.60,381600,Vehicle Management,Leasing,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,3004,Vehicle Hire/Lease,50380,VEHICLES,08/10/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",RIVERSIDE TRUCK RENTAL LTD,40395,15/11/2024,10643584,-28081.46,381600,Vehicle Management,Leasing,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,3004,Vehicle Hire/Lease,50380,VEHICLES,08/10/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",COUNTY DURHAM & DARLINGTON NHS FOUNDATION TRUST,62243,13/11/2024,10643686,4441.92,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,PUBLIC HEALTH,4037,"Professional, Consultancy and Hired Services",30842,SMOKING,01/10/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,12/11/2024,10643708,7796.75,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,06/10/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,XENTRALL,CANON (UK) LTD,33052,13/11/2024,10643745,2987.92,192000,Facilities & Management Services,Reprographics,Not Classified,no,REVENUE,ICT AND DESIGN & PRINT,4021,ICT Costs,90042,D&P COPYING,16/10/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,COMMUNITY SERVICES & TRANSPORT CAPITAL,MIDDLESBROUGH BOROUGH COUNCIL,33176,05/11/2024,10643783,15048.00,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,TRANSPORTATION,C201,CONTRACTOR PAYMENTS,C1927,STRUCTURAL PATCHING,25/09/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH,JACKSONS COMMERCIAL & PRIVATE LAW LLP,48027,15/11/2024,10643857,1400.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,TOWN CENTRE INVESTMENT,4037,"Professional, Consultancy and Hired Services",10087,TOWN CENTRE DEVELOPMENT TEAM,26/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH CAPITAL,REGENT MAINTENANCE LTD,79071,07/11/2024,10643858,1114.00,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,TOWN CENTRE INVESTMENT,C201,CONTRACTOR PAYMENTS,C6033,TOWNSCAPE HERITAGE,12/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,XENTRALL,ROYAL MAIL GROUP PLC,38863,12/11/2024,10643883,1339.96,300000,Mail Services ,Not Classified,Not Classified,no,REVENUE,TRANSACTIONAL FINANCE & HR,4050,Mail Services,90045,TRANSACTIONAL FINANCE,21/10/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,22/11/2024,10643886,7179.84,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,21/10/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES CAPITAL,HLA  SERVICES LTD,62375,06/11/2024,10644007,30574.00,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,PLANNED MAINTENANCE,C201,CONTRACTOR PAYMENTS,C3213,TEES VALLEY MUSIC SERVICE,30/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,COMMUNITY SERVICES & TRANSPORT CAPITAL,MIDDLESBROUGH BOROUGH COUNCIL,33176,05/11/2024,10644036,2686.55,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,TRANSPORTATION,C201,CONTRACTOR PAYMENTS,C1093,STREET LIGHTING SCHEMES,27/09/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",MIDDLESBROUGH BOROUGH COUNCIL,33176,05/11/2024,10644056,-66272.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,5007,Payments to Joint Authorities,10033,HIGHWAY MAINTENANCE,01/10/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",LOW GRANGE QUARRY LTD,78501,01/11/2024,10644225,740.23,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4501,PCB Materials,50257,CORE,30/09/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",SCOTT BROS,35704,05/11/2024,10644228,2238.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,5016,PCB SubContract Work,50257,CORE,30/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",SCOTT BROS,35704,05/11/2024,10644229,2099.12,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,5016,PCB SubContract Work,50257,CORE,30/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",D JONES CONSTRUCTION AND HAULAGE LTD,48895,01/11/2024,10644273,1035.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,5016,PCB SubContract Work,50257,CORE,30/09/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,COMMUNITY SERVICES & TRANSPORT CAPITAL,KIELY BROS LTD,54374,20/11/2024,10644291,110290.42,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,TRANSPORTATION,C201,CONTRACTOR PAYMENTS,C1927,STRUCTURAL PATCHING,31/08/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",C G ROBINSON LTD,35476,15/11/2024,10644312,1934.05,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4501,PCB Materials,50257,CORE,20/10/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",C G ROBINSON LTD,35476,15/11/2024,10644312,1289.36,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4501,PCB Materials,50257,CORE,20/10/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",C G ROBINSON LTD,35476,05/11/2024,10644314,2832.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,5016,PCB SubContract Work,50257,CORE,10/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",C G ROBINSON LTD,35476,05/11/2024,10644314,1888.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,5016,PCB SubContract Work,50257,CORE,10/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",C G ROBINSON LTD,35476,05/11/2024,10644318,1600.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,5016,PCB SubContract Work,50257,CORE,30/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",C G ROBINSON LTD,35476,05/11/2024,10644318,2400.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,5016,PCB SubContract Work,50257,CORE,30/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",C G ROBINSON LTD,35476,05/11/2024,10644319,520.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,5016,PCB SubContract Work,50257,CORE,30/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",SUNBELT RENTALS LIMITED,33478,08/11/2024,10644337,2500.00,100000,Building Construction Materials,Not Classified,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",50227,CFYA MANAGEMENT / COWPEN DEPOT,11/10/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",MARSHALLS (MONO) LTD,36233,01/11/2024,10644340,768.28,230000,Highway Equipment & Materials ,Not Classified,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4501,PCB Materials,50257,CORE,30/09/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH CAPITAL,BGP CONSULTING LLP,37149,12/11/2024,10644353,3600.00,391100,"Works - Construction, Repair & Maintenance",Buildings,Not Classified,no,CAPITAL,TOWN CENTRE INVESTMENT,C210,PROFESSIONAL & CONSULTANCY,C2185,URBAN PARK & LAND BRIDGE,30/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",N E HYDRAULICS LTD,65971,06/11/2024,10644361,665.48,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,5016,PCB SubContract Work,50380,VEHICLES,30/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH CAPITAL,IDENTITY CONSULT LTD,66530,27/11/2024,10644365,1261.95,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,TOWN CENTRE INVESTMENT,C210,PROFESSIONAL & CONSULTANCY,C2177,YARM PUBLIC REALM (LUF),30/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH CAPITAL,IDENTITY CONSULT LTD,66530,01/11/2024,10644367,780.00,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,TOWN CENTRE INVESTMENT,C210,PROFESSIONAL & CONSULTANCY,C2177,YARM PUBLIC REALM (LUF),30/09/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,COMMUNITY SERVICES & TRANSPORT CAPITAL,PREMIER ROADMARKINGS,63341,20/11/2024,10644428,909.87,391400,"Works - Construction, Repair & Maintenance",Roads,Not Classified,no,CAPITAL,TRANSPORTATION,C201,CONTRACTOR PAYMENTS,C1927,STRUCTURAL PATCHING,30/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",PREMIER ROADMARKINGS,63341,20/11/2024,10644432,3808.67,391400,"Works - Construction, Repair & Maintenance",Roads,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,2021,Repairs and Maintenance,10033,HIGHWAY MAINTENANCE,30/09/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",STORM ENVIRONMENTAL LTD,75213,06/11/2024,10644437,3668.20,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4009,"Equipment, Furniture & Materials",50322,TRADE/REFUSE COLLECTION,30/09/2024,0,0,2024,202408,SBC,
