Transaction Date,Cost Centre,Cost Centre (T),Merchant Name,Gross Amount,Account,Account (T),MCC,MCC Description
02/05/2024,LR10,Braywick Nature Centre,Online Shop,180.00,J20,Conference Fees,8220,"Colleges, Universities, Professional Schools"
02/05/2024,LR10,Braywick Nature Centre,Online Shop,30.00,J20,Conference Fees,8220,"Colleges, Universities, Professional Schools"
02/05/2024,MJ49,Elections-Police & Crime,Homebase Ltd,90.00,H10,Equipment Purchase,5200,Home Supply Warehouse Stores
03/05/2024,ML15,Public Relations,Facebk *f9un65yhf2,2.00,E29,Publicity & Marketing,7311,Advertising Services
03/05/2024,ML15,Public Relations,Facebk *qj78y3ljf2,2.00,E29,Publicity & Marketing,7311,Advertising Services
03/05/2024,ML15,Public Relations,Facebk *nwqru3gjf2,2.00,E29,Publicity & Marketing,7311,Advertising Services
03/05/2024,MB01,Centralised Stationery,Stationeryu,278.15,H45,Stationery,5943,"Office, School Supply, and Stationery Stores"
04/05/2024,ML15,Public Relations,Facebk *cwunl48jf2,2.00,E29,Publicity & Marketing,7311,Advertising Services
04/05/2024,ML15,Public Relations,Facebk *ym29c4uhf2,2.00,E29,Publicity & Marketing,7311,Advertising Services
07/05/2024,MT49,Community Warden Scheme,Paypal *maidenheadf,35.00,H10,Equipment Purchase,8398,"Organizations, Charitable and Social Service"
07/05/2024,MT49,Community Warden Scheme,Sq *group Cards,4.79,H10,Equipment Purchase,5947,"Card, Gift, Novelty, and Souvenir Shops"
07/05/2024,MT49,Community Warden Scheme,Sp Patrolstore,71.98,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
08/05/2024,LB82,S E Library Management,Se Online Web,62.40,G40,Staff Public Transport,4112,Passenger Railways
08/05/2024,SADG,Asylum Dispersal Grant,Sopra Steria Limited Ukvc,143.00,J46,Other Expenses,9399,Government Services
08/05/2024,SADG,Asylum Dispersal Grant,Tesco Gift Card,100.00,J46,Other Expenses,5411,Grocery Stores and Supermarkets
08/05/2024,MB06,Planning Enforcement,Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
08/05/2024,LB18,Libraries-Maidenhead,Amazon.Co.Uk*hc85f4zy4,17.96,H10,Equipment Purchase,5969,Other Direct Marketing-Other Direct Marketers
08/05/2024,LB18,Libraries-Maidenhead,Canva* I04140-51706539,99.99,J46,Other Expenses,7221,Photographic Studios
09/05/2024,NA11,Town Hall- Operations,Chairclinic,495.00,H10,Equipment Purchase,7392,"Consulting, Management, and PR Services"
09/05/2024,MJ41,Elections -Parliamentary,Amazon* 204-1565700-03,53.49,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
09/05/2024,MJ41,Elections -Parliamentary,Www.Amazon* 204-990833,16.95,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
09/05/2024,MJ41,Elections -Parliamentary,Www.Amazon* 204-094039,39.60,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
09/05/2024,LR10,Braywick Nature Centre,Www.Amazon* 204-511611,26.98,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
10/05/2024,EC26,"Information, Advice and Support Service",Eig*constantcontact.Com,46.80,H80,Communication,5968,Direct Marketing Continuity Subscription Merchants
10/05/2024,MJ41,Elections -Parliamentary,Amazon.Co.Uk*hc0u69px4,43.28,H10,Equipment Purchase,5969,Other Direct Marketing-Other Direct Marketers
13/05/2024,MA51,Democratic Services,Www.Amazon* 204-170392,17.30,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
13/05/2024,MT49,Community Warden Scheme,Amazon* 202-7844286-82,4.46,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
13/05/2024,ML15,Public Relations,Facebk *vq8t94gjf2,3.00,E29,Publicity & Marketing,7311,Advertising Services
13/05/2024,ML15,Public Relations,Facebk *8cgu44qhf2,2.00,E29,Publicity & Marketing,7311,Advertising Services
13/05/2024,MB38,Aboricultural / Tree Team (Planning),Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
13/05/2024,MB01,Centralised Stationery,The Works,10.00,H45,Stationery,5310,Discount Stores
13/05/2024,MB38,Aboricultural / Tree Team (Planning),Land Registry Ecom Ccc,3.00,J46,Other Expenses,9399,Government Services
13/05/2024,MT49,Community Warden Scheme,Amazon* 202-7844286-82,13.23,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
13/05/2024,MT49,Community Warden Scheme,Amazon* 202-7844286-82,35.17,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
14/05/2024,ML15,Public Relations,Eig*constantcontact.Com,196.00,A77,Professional Subscriptions,5968,Direct Marketing Continuity Subscription Merchants
14/05/2024,SADG,Asylum Dispersal Grant,Www.Argos.Co.Uk,14.00,J46,Other Expenses,5311,Department Stores
14/05/2024,EC26,"Information, Advice and Support Service",Tesco-Stores 6262,3.10,H35,Refreshments,5411,Grocery Stores and Supermarkets
14/05/2024,MB06,Planning Enforcement,Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
14/05/2024,MA51,Democratic Services,Zoom.Us 888-799-9666,4.33,H92,Software,4814,Telecommunication Services
14/05/2024,MB06,Planning Enforcement,Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
14/05/2024,ML15,Public Relations,Facebk *xvjgu24jf2,7.00,E29,Publicity & Marketing,7311,Advertising Services
14/05/2024,SADG,Asylum Dispersal Grant,Www.Argos.Co.Uk,101.00,J46,Other Expenses,5311,Department Stores
14/05/2024,LB82,S E Library Management,Se Strood To,17.05,G40,Staff Public Transport,4112,Passenger Railways
14/05/2024,MC36,Pensions Administration,Gwr Maidenhead To,68.60,G39,Client Public Transport,4112,Passenger Railways
14/05/2024,CT72,Other DFG Funded Social Care Capital,Dri*autodesk,486.00,H92,Software,5734,Computer Software Stores
14/05/2024,ML15,Public Relations,Facebk *7u2gr4uhf2,5.00,E29,Publicity & Marketing,7311,Advertising Services
15/05/2024,MB38,Aboricultural / Tree Team (Planning),Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
15/05/2024,MB38,Aboricultural / Tree Team (Planning),Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
15/05/2024,MB38,Aboricultural / Tree Team (Planning),Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
15/05/2024,MB38,Aboricultural / Tree Team (Planning),Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
15/05/2024,MB38,Aboricultural / Tree Team (Planning),Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
15/05/2024,MB38,Aboricultural / Tree Team (Planning),Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
15/05/2024,MB38,Aboricultural / Tree Team (Planning),The Arboricultural Associ,288.00,J46,Other Expenses,8398,"Organizations, Charitable and Social Service"
15/05/2024,MB38,Aboricultural / Tree Team (Planning),Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
15/05/2024,MB38,Aboricultural / Tree Team (Planning),Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
15/05/2024,ML15,Public Relations,Facebk *jauct4lhf2,12.00,E29,Publicity & Marketing,7311,Advertising Services
15/05/2024,LB80,Libraries-Replacement System,Amazon* 206-7187006-47,149.99,H91,Hardware,5399,Miscellaneous General Merchandise
16/05/2024,MB38,Aboricultural / Tree Team (Planning),Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
16/05/2024,ML15,Public Relations,Facebk *ps8kd4gjf2,17.00,E29,Publicity & Marketing,7311,Advertising Services
16/05/2024,MB38,Aboricultural / Tree Team (Planning),Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
16/05/2024,MB38,Aboricultural / Tree Team (Planning),Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
16/05/2024,MB38,Aboricultural / Tree Team (Planning),Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
16/05/2024,MB38,Aboricultural / Tree Team (Planning),Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
16/05/2024,MB38,Aboricultural / Tree Team (Planning),Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
16/05/2024,MB38,Aboricultural / Tree Team (Planning),Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
17/05/2024,ML15,Public Relations,Facebk *3s2kc4cjf2,25.00,E29,Publicity & Marketing,7311,Advertising Services
17/05/2024,NA11,Town Hall- Operations,Bt Business Bill,181.56,H80,Communication,4814,Telecommunication Services
17/05/2024,LB18,Libraries-Maidenhead,Amazon* 204-7858139-71,12.80,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
17/05/2024,LB18,Libraries-Maidenhead,Amazon* 204-9140663-01,35.99,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
18/05/2024,MJ41,Elections -Parliamentary,Www.Amazon* 204-990833,-16.95,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
19/05/2024,LR10,Braywick Nature Centre,Vmo*vimeo Plus+ Monthl,9.54,J44,Marketing/Promotions,5968,Direct Marketing Continuity Subscription Merchants
19/05/2024,LB82,S E Library Management,Se Online Web,52.70,G40,Staff Public Transport,4112,Passenger Railways
19/05/2024,LB18,Libraries-Maidenhead,Amazon Prime*h76hc6dn4,8.99,J46,Other Expenses,5968,Direct Marketing Continuity Subscription Merchants
20/05/2024,MT49,Community Warden Scheme,Amazon* 202-6274644-40,29.00,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
20/05/2024,LB18,Libraries-Maidenhead,Amazon* 206-2639125-94,5.99,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
21/05/2024,LT80,Guildhall-Meetings & Events,Waitrose 194,31.50,H31,Catering (non-taxable benefit),5411,Grocery Stores and Supermarkets
21/05/2024,MJ20,Civic & Mayoral Costs,Beaconsfield Sstp,27.00,G40,Staff Public Transport,4112,Passenger Railways
21/05/2024,LB18,Libraries-Maidenhead,Amznmktplace*hy4pg1fi4,13.99,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
22/05/2024,MA74,Digital Printing IGEN,Stationeryu,626.88,H45,Stationery,5943,"Office, School Supply, and Stationery Stores"
22/05/2024,MJ41,Elections -Parliamentary,Royal Mail Group,93.60,H70,Postage,9402,Postal Services - Government Only
22/05/2024,MJ20,Civic & Mayoral Costs,Crazy About Framing Vat 3,50.00,J46,Other Expenses,5947,"Card, Gift, Novelty, and Souvenir Shops"
22/05/2024,MB06,Planning Enforcement,Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
22/05/2024,MB06,Planning Enforcement,Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
23/05/2024,SVHM,Homelessness,Royal Courts Of Justice,303.00,J46,Other Expenses,9222,Fines
24/05/2024,SADG,Asylum Dispersal Grant,Ao Retail Limited,119.00,J46,Other Expenses,5722,Household Appliance Stores
24/05/2024,MA51,Democratic Services,Zoom.Us 888-799-9666,129.93,H92,Software,4814,Telecommunication Services
25/05/2024,LB80,Libraries-Replacement System,Contstant Contact,171.00,H80,Communication,5968,Direct Marketing Continuity Subscription Merchants
27/05/2024,PD18,CCTV,Careline365,324.85,J11,Corporate Subscriptions,5999,Miscellaneous and Specialty Retail Stores
28/05/2024,LB18,Libraries-Maidenhead,Sainsburys.Co.Uk,224.03,J47,Events & Activities,5411,Grocery Stores and Supermarkets
28/05/2024,ML15,Public Relations,Facebk *bhjle5lhf2,40.00,E29,Publicity & Marketing,7311,Advertising Services
29/05/2024,CD91,Windsor Town Centre Package - LEP,Www.Planningportal.Co.,289.00,J60,Professional Fees,7399,Other Business Services
29/05/2024,CD91,Windsor Town Centre Package - LEP,Www.Planningportal.Co.,70.00,J60,Professional Fees,7399,Other Business Services
29/05/2024,CD91,Windsor Town Centre Package - LEP,Www.Planningportal.Co.,289.00,J60,Professional Fees,7399,Other Business Services
29/05/2024,CD91,Windsor Town Centre Package - LEP,Www.Planningportal.Co.,70.00,J60,Professional Fees,7399,Other Business Services
29/05/2024,SFRG,Social Fund Reform Grant,Www.Argos.Co.Uk,186.95,H16,Furniture,5311,Department Stores
29/05/2024,MJ41,Elections -Parliamentary,Ab Event Hire Ltd,"2,171.40",F60,Rents & Hire Charges (Expenditure),7929,"Bands, Orchestras, and Miscellaneous Entertainers"
29/05/2024,ML15,Public Relations,Facebk *pj6fv4cjf2,90.00,E29,Publicity & Marketing,7311,Advertising Services
29/05/2024,SFRG,Social Fund Reform Grant,Www.Argos.Co.Uk,315.00,H10,Equipment Purchase,5311,Department Stores
29/05/2024,MJ20,Civic & Mayoral Costs,Bourne End Jewellers L,25.00,J46,Other Expenses,5944,"Clock, Jewelry, Watch, and Silverware Store"
29/05/2024,SFRG,Social Fund Reform Grant,Www.Argos.Co.Uk,296.00,H10,Equipment Purchase,5311,Department Stores
29/05/2024,SFRG,Social Fund Reform Grant,Www.Argos.Co.Uk,186.95,H16,Furniture,5311,Department Stores
29/05/2024,ML15,Public Relations,Facebk *ul2mu4cjf2,60.00,E29,Publicity & Marketing,7311,Advertising Services
29/05/2024,CD91,Windsor Town Centre Package - LEP,Www.Planningportal.Co.,289.00,J60,Professional Fees,7399,Other Business Services
29/05/2024,CD91,Windsor Town Centre Package - LEP,Www.Planningportal.Co.,70.00,J60,Professional Fees,7399,Other Business Services
29/05/2024,MJ41,Elections -Parliamentary,Sp Versapak Int Ltd,"1,490.10",H10,Equipment Purchase,5085,Other Industrial Supplies
30/05/2024,MJ41,Elections -Parliamentary,Amazon* 204-5596578-40,58.66,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
30/05/2024,LB18,Libraries-Maidenhead,Sainsburys.Co.Uk,428.00,J47,Events & Activities,5411,Grocery Stores and Supermarkets
30/05/2024,SFRG,Social Fund Reform Grant,Www.Argos.Co.Uk,315.00,H10,Equipment Purchase,5311,Department Stores
30/05/2024,MJ41,Elections -Parliamentary,Www.Amazon* 204-816350,6.62,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
30/05/2024,ML15,Public Relations,Facebk *4pynw4cjf2,125.00,E29,Publicity & Marketing,7311,Advertising Services
30/05/2024,MJ41,Elections -Parliamentary,Www.Broadwaytravel.Com,757.14,J46,Other Expenses,4722,Travel Agencies and Tour Operators
31/05/2024,ML15,Public Relations,Facebk *g6fqj5lhf2,125.00,E29,Publicity & Marketing,7311,Advertising Services
31/05/2024,LB18,Libraries-Maidenhead,Amazon* 206-8662953-57,6.79,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
01/06/2024,ML15,Public Relations,Facebk *zfu9u58jf2,200.00,E29,Publicity & Marketing,7311,Advertising Services
03/06/2024,MJ41,Elections -Parliamentary,Amazon* 204-7294065-96,17.45,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
03/06/2024,CD91,Windsor Town Centre Package - LEP,Clr*www.Rbwm.Gov.Uk,578.00,J60,Professional Fees,9399,Government Services
03/06/2024,CD91,Windsor Town Centre Package - LEP,Clr*www.Rbwm.Gov.Uk,289.00,J60,Professional Fees,9399,Government Services
03/06/2024,ML15,Public Relations,Facebk *ktp795ljf2,106.04,E29,Publicity & Marketing,7311,Advertising Services
