Transaction Date,Cost Centre,Cost Centre (T),Merchant Name, Gross Amount ,Account,Account (T),MCC,MCC Description
21/04/2023,SFRG,Social Fund Reform Grant,Www.Argos.Co.Uk, 123.95 ,H16,Furniture,5311,Department Stores
21/04/2023,MJ40,Elections -District,Booker Ltd - 38603524, 146.85 ,H31,Catering (non-taxable benefit),5411,Grocery Stores and Supermarkets
23/04/2023,MJ40,Elections -District,Amznmktplace, 83.30 ,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
23/04/2023,MJ40,Elections -District,Amznmktplace, 107.94 ,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
23/04/2023,MJ40,Elections -District,Premier Inn, 143.99 ,J46,Other Expenses,3811,Premier Inn
24/04/2023,MJ40,Elections -District,Amz*amazon.Co.Uk,-20.95 ,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
24/04/2023,LB18,Libraries-Maidenhead,Amazon Music,-8.99 ,H80,Communication,5735,Record Shops
24/04/2023,MJ40,Elections -District,Sainsburys S/mkts, 24.50 ,H31,Catering (non-taxable benefit),5411,Grocery Stores and Supermarkets
24/04/2023,MJ40,Elections -District,Booker Ltd - 38603524, 64.58 ,H30,Catering (taxable benefit),5411,Grocery Stores and Supermarkets
24/04/2023,SVHM,Homelessness,Travelodge Gb0000, 90.76 ,K77,Client Temporary Accommodation,3615,Travelodge
24/04/2023,MA51,Democratic Services,Zoom.Us 888-799-9666, 116.94 ,H92,Software,4814,Telecommunication Services
24/04/2023,MJ40,Elections -District,Booker Ltd - 38603524, 777.08 ,H30,Catering (taxable benefit),5411,Grocery Stores and Supermarkets
25/04/2023,MJ40,Elections -District,Amznmktplace,-44.97 ,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
25/04/2023,MC36,Pensions Administration,Gwr Maidenhead To, 9.20 ,G39,Client Public Transport,4112,Passenger Railways
25/04/2023,LB18,Libraries-Maidenhead,Amznmktplace, 42.76 ,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
25/04/2023,AK81,Postage - Rechargeable,Post Office Counter, 53.25 ,H70,Postage,9402,Postal Services - Government Only
25/04/2023,LB18,Libraries-Maidenhead,Amazon Prime*ym4wx24j5, 95.00 ,J46,Other Expenses,5968,Direct Marketing Continuity Subscription Merchants
25/04/2023,LT80,Guildhall-Meetings & Events,Laithwaites Wine, 263.75 ,H30,Catering (taxable benefit),5921,"Package Stores, Beer, Wine, Liquor"
25/04/2023,LT80,Guildhall-Meetings & Events,Laithwaites Wine, 263.75 ,H30,Catering (taxable benefit),5921,"Package Stores, Beer, Wine, Liquor"
25/04/2023,HE01,"MD/Strategic Director A,C & H",Www.Local.Gov.Uk, 667.08 ,J20,Conference Fees,7399,Other Business Services
25/04/2023,HF05,"Serv Leader: Strategy,Commissioning & Performance",Www.Local.Gov.Uk, 667.08 ,J20,Conference Fees,7399,Other Business Services
25/04/2023,SVHM,Homelessness,Travelodge Gb0000, 732.25 ,K77,Client Temporary Accommodation,3615,Travelodge
26/04/2023,MB30,Planning Development Control,Land Registry Ecom Ccc, 6.00 ,J46,Other Expenses,9399,Government Services
26/04/2023,MB30,Planning Development Control,Land Registry Ecom Ccc, 6.00 ,J46,Other Expenses,9399,Government Services
26/04/2023,MJ40,Elections -District,Amazon.Co.Uk*9x6ea4ct5, 23.85 ,H10,Equipment Purchase,5969,Other Direct Marketing-Other Direct Marketers
26/04/2023,MA69,Facilities Management,Www.Screwfix.Com, 160.31 ,H10,Equipment Purchase,5211,Lumber & Building Materials Stores
27/04/2023,MB01,Centralised Stationery,Theworks, 9.00 ,H45,Stationery,5310,Discount Stores
27/04/2023,MA69,Facilities Management,Screwfix Dir Ltd, 44.91 ,H10,Equipment Purchase,5211,Lumber & Building Materials Stores
27/04/2023,AK81,Postage - Rechargeable,Post Office Counter, 45.40 ,H70,Postage,9402,Postal Services - Government Only
27/04/2023,MA69,Facilities Management,Www.Screwfix.Com, 74.41 ,H10,Equipment Purchase,5211,Lumber & Building Materials Stores
28/04/2023,MJ40,Elections -District,Www.Argos.Co.Uk, 220.00 ,H10,Equipment Purchase,5311,Department Stores
28/04/2023,NA11,Town Hall- Operations,Homebase Ltd, 405.00 ,H10,Equipment Purchase,5200,Home Supply Warehouse Stores
28/04/2023,HE01,"MD/Strategic Director A,C & H",Premier Inn, 620.00 ,J20,Conference Fees,3811,Premier Inn
01/05/2023,ML15,Public Relations,Axate, 2.00 ,A77,Professional Subscriptions,5968,Direct Marketing Continuity Subscription Merchants
01/05/2023,EC26,"Information, Advice and Support Service",Patreon* Membership, 4.82 ,J11,Corporate Subscriptions,5815,"Digital Goods - Media, Books, Movies, Music"
01/05/2023,MJ40,Elections -District,Booker Ltd - 38603524, 271.18 ,H31,Catering (non-taxable benefit),5411,Grocery Stores and Supermarkets
01/05/2023,MJ40,Elections -District,Costco Wholesale #114, 287.41 ,H30,Catering (taxable benefit),7278,"Shopping Clubs, Services"
02/05/2023,MB30,Planning Development Control,Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
02/05/2023,EC26,"Information, Advice and Support Service",Amazon.Co.Uk*9i9x69e05,18.74,H45,Stationery,5969,Other Direct Marketing-Other Direct Marketers
02/05/2023,EC26,"Information, Advice and Support Service",Vistaprint,26.91,E29,Publicity & Marketing,7399,Other Business Services
02/05/2023,MJ40,Elections -District,Wilko.Com,114.00,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
02/05/2023,MJ40,Elections -District,Amznmktplace,214.98,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
02/05/2023,MT10,Legal Services,Llg Enterprises Ltd,246.00,A70,Training - Non-Taxable Benefit,8249,"Schools, Trade and Vocational"
02/05/2023,MY74,Learning and Development,Green Business Centre,390.00,A70,Training - Non-Taxable Benefit,7392,"Consulting, Management, and PR Services"
02/05/2023,EC37,PPS Independent Support,Foreign Exchange Fee, 0.13 ,J81,Bank Charges,,
03/05/2023,LB03,Libraries-Service Promotion,Canva* I03774-26319318,225.99,A77,Professional Subscriptions,7221,Photographic Studios
03/05/2023,LT80,Guildhall-Meetings & Events,Laithwaites Wine,-263.75,H30,Catering (taxable benefit),5921,"Package Stores, Beer, Wine, Liquor"
03/05/2023,MA69,Facilities Management,Premier Inn 44535940,367.00,J46,Other Expenses,3811,Premier Inn
03/05/2023,MC36,Pensions Administration,Gwr Maidenhead To,3.20,G39,Client Public Transport,4112,Passenger Railways
03/05/2023,MJ40,Elections -District,Stafferton Lodge,16.96,H30,Catering (taxable benefit),5812,"Eating Places, Restaurants"
04/05/2023,AK81,Postage - Rechargeable,Post Office Counter,93.35,H70,Postage,9402,Postal Services - Government Only
04/05/2023,LB82,S E Library Management,Se Strood To,42.50,G40,Staff Public Transport,4112,Passenger Railways
04/05/2023,MJ40,Elections -District,Www.Argos.Co.Uk,19.99,H10,Equipment Purchase,5311,Department Stores
04/05/2023,MJ70,State and Ceremonial,Sainsburys S/mkts,21.35,H31,Catering (non-taxable benefit),5411,Grocery Stores and Supermarkets
04/05/2023,SVRT,Disabled Facilites Grant (Revenue),Hurley Riverside P,550.00,F61,Service Charges,7033,Campgrounds and Trailer Parks
05/05/2023,MJ40,Elections -District,Premier Inn 44535940,9.99,H35,Refreshments,3811,Premier Inn
06/05/2023,MA69,Facilities Management,Sq *wycombe Wanderers Foo,172.80,J46,Other Expenses,7929,"Bands, Orchestras, and Miscellaneous Entertainers"
06/05/2023,MJ70,State and Ceremonial,Ryman 1084,104.95,H45,Stationery,5943,"Office, School Supply, and Stationery Stores"
09/05/2023,AK81,Postage - Rechargeable,Post Office Counter,46.90,H70,Postage,9402,Postal Services - Government Only
09/05/2023,EC26,"Information, Advice and Support Service",Amazon.Co.Uk*cp0xx2zp5,7.99,H45,Stationery,5969,Other Direct Marketing-Other Direct Marketers
09/05/2023,MY74,Learning and Development,Eb *local Wildlife Sit,20.00,A70,Training - Non-Taxable Benefit,7399,Other Business Services
10/05/2023,EC26,"Information, Advice and Support Service",Eig*constantcontact.Com,18.00,J11,Corporate Subscriptions,5968,Direct Marketing Continuity Subscription Merchants
10/05/2023,HC21,Place Planning & Capital,Leeds 4 Learning,180.00,J20,Conference Fees,9399,Government Services
10/05/2023,LT80,Guildhall-Meetings & Events,Laithwaites Wine,753.85,H30,Catering (taxable benefit),5921,"Package Stores, Beer, Wine, Liquor"
10/05/2023,MC36,Pensions Administration,Gwr Maidenhead To,-23.20,G39,Client Public Transport,4112,Passenger Railways
10/05/2023,MC36,Pensions Administration,Gwr Maidenhead To,-11.40,G39,Client Public Transport,4112,Passenger Railways
10/05/2023,MJ40,Elections -District,Sq *wycombe Wanderers Foo,"2,064.00",J46,Other Expenses,7929,"Bands, Orchestras, and Miscellaneous Entertainers"
10/05/2023,MT49,Community Warden Scheme,Amazon.Co.Uk*tv11g1ji5,12.01,H10,Equipment Purchase,5969,Other Direct Marketing-Other Direct Marketers
11/05/2023,HE01,"MD/Strategic Director A,C & H",Crosscountrycom,216.00,G39,Client Public Transport,4112,Passenger Railways
11/05/2023,LB18,Libraries-Maidenhead,Amznmktplace,5.99,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
11/05/2023,LB18,Libraries-Maidenhead,Paypal *ehsarc.Com,115.01,H10,Equipment Purchase,5251,Hardware Stores
11/05/2023,LB18,Libraries-Maidenhead,Ironmongerydirect Ltd,124.62,H10,Equipment Purchase,5251,Hardware Stores
11/05/2023,LR10,Braywick Nature Centre,Www.Argos.Co.Uk,27.92,H10,Equipment Purchase,5311,Department Stores
11/05/2023,MJ20,Civic & Mayoral Costs,Www.Windso* Windsor Li,15.00,J46,Other Expenses,8398,"Organizations, Charitable and Social Service"
11/05/2023,MT10,Legal Services,Stampit.Co.Uk,29.20,H10,Equipment Purchase,8999,Professional Services
11/05/2023,NA11,Town Hall- Operations,Bt Business Bill,72.68,H80,Communication,4814,Telecommunication Services
12/05/2023,AK81,Postage - Rechargeable,Post Office Counter,51.80,H70,Postage,9402,Postal Services - Government Only
14/05/2023,ML15,Public Relations,Contstant Contact,169.00,A77,Professional Subscriptions,5968,Direct Marketing Continuity Subscription Merchants
15/05/2023,AK81,Postage - Rechargeable,Post Office Self Serve,24.85,H70,Postage,9402,Postal Services - Government Only
15/05/2023,LB82,S E Library Management,Se Online Web,53.30,G40,Staff Public Transport,4112,Passenger Railways
15/05/2023,LR10,Braywick Nature Centre,Www.Screwfix.Com,47.98,H10,Equipment Purchase,5211,Lumber & Building Materials Stores
15/05/2023,NA11,Town Hall- Operations,Www.Exportaglobal.Co.U,261.10,H10,Equipment Purchase,4214,Motor Freight Carriers
16/05/2023,LB18,Libraries-Maidenhead,Replacement Keys Ltd,5.90,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
16/05/2023,LB18,Libraries-Maidenhead,Paypal *tradesparky,35.89,H10,Equipment Purchase,5251,Hardware Stores
16/05/2023,MB01,Centralised Stationery,Amznmktplace,7.48,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
16/05/2023,MJ20,Civic & Mayoral Costs,Michaels Civic Robes,"1,002.60",J46,Other Expenses,5697,"Alterations, Mending, Seamstresses, Tailors  "
17/05/2023,AK81,Postage - Rechargeable,Post Office Self Serve,31.50,H70,Postage,9402,Postal Services - Government Only
17/05/2023,EC26,"Information, Advice and Support Service",Co-Op Group 500603,3.15,H35,Refreshments,5411,Grocery Stores and Supermarkets
17/05/2023,MA74,Digital Printing IGEN,Sp Springboard,122.09,H22,Materials,5691,Mens and Womens Clothing Stores
17/05/2023,NA11,Town Hall- Operations,Www.Uk-Wheelchair.Co.U,264.99,H10,Equipment Purchase,7399,Other Business Services
18/05/2023,AK81,Postage - Rechargeable,Post Office Self Serve,7.15,H70,Postage,9402,Postal Services - Government Only
18/05/2023,LB18,Libraries-Maidenhead,Paypal *cityelectri,33.92,H10,Equipment Purchase,5065,Electrical Parts and Equipment
18/05/2023,MB01,Centralised Stationery,Stationeryu,185.53,H45,Stationery,5943,"Office, School Supply, and Stationery Stores"
19/05/2023,LR10,Braywick Nature Centre,Tesco Stores 3404,19.75,J46,Other Expenses,5411,Grocery Stores and Supermarkets
19/05/2023,MJ20,Civic & Mayoral Costs,Laithwaites Wine,234.00,J46,Other Expenses,5921,"Package Stores, Beer, Wine, Liquor"
19/05/2023,SVHM,Homelessness,Travelodge Gb0000,808.74,K77,Client Temporary Accommodation,3615,Travelodge
22/05/2023,LB18,Libraries-Maidenhead,Amznmktplace,13.29,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
22/05/2023,LB18,Libraries-Maidenhead,Ironmongerydirect Ltd,124.62,H10,Equipment Purchase,5251,Hardware Stores
22/05/2023,MB01,Centralised Stationery,Stationeryu,561.60,H45,Stationery,5943,"Office, School Supply, and Stationery Stores"
22/05/2023,MJ30,Members Expenses,Www.Local.Gov.Uk,"1,334.16",J20,Conference Fees,7399,Other Business Services
22/05/2023,SFRG,Social Fund Reform Grant,Paypal *argosdirect,185.00,H16,Furniture,5331,Variety Stores
22/05/2023,SFRG,Social Fund Reform Grant,Paypal *argosdirect,195.00,H16,Furniture,5331,Variety Stores
22/05/2023,SFRG,Social Fund Reform Grant,Paypal *argosdirect,391.95,H16,Furniture,5331,Variety Stores
22/05/2023,SFRG,Social Fund Reform Grant,Paypal *argosdirect,391.95,H16,Furniture,5331,Variety Stores
23/05/2023,AK81,Postage - Rechargeable,Post Office Self Serve,40.43,H70,Postage,9402,Postal Services - Government Only
23/05/2023,LB18,Libraries-Maidenhead,Amznmktplace,4.95,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
23/05/2023,LB18,Libraries-Maidenhead,Replacement Keys Ltd,9.05,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
23/05/2023,MB30,Planning Development Control,Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
23/05/2023,MB30,Planning Development Control,Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
23/05/2023,MB30,Planning Development Control,Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
23/05/2023,MB30,Planning Development Control,Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
23/05/2023,MJ20,Civic & Mayoral Costs,Tesco Stores 2668,249.74,J46,Other Expenses,5411,Grocery Stores and Supermarkets
24/05/2023,LB18,Libraries-Maidenhead,Ebay O*25-10087-75848,58.00,H10,Equipment Purchase,5311,Department Stores
24/05/2023,MA51,Democratic Services,Zoom.Us 888-799-9666,116.94,H92,Software,4814,Telecommunication Services
25/05/2023,AK81,Postage - Rechargeable,Post Office Counter,53.90,H70,Postage,9402,Postal Services - Government Only
25/05/2023,MA30,HR Strategic,C2e854601057q Ukvi,"1,199.00",J46,Other Expenses,9399,Government Services
25/05/2023,MA30,HR Strategic,C2e854600556z Ukvi,"1,199.00",J46,Other Expenses,9399,Government Services
25/05/2023,MA30,HR Strategic,C2e854601079q Ukvi,"1,199.00",J46,Other Expenses,9399,Government Services
26/05/2023,AK81,Postage - Rechargeable,Post Office Counter,26.15,H70,Postage,9402,Postal Services - Government Only
26/05/2023,LT80,Guildhall-Meetings & Events,Laithwaites Wine,567.00,H30,Catering (taxable benefit),5921,"Package Stores, Beer, Wine, Liquor"
26/05/2023,MB01,Centralised Stationery,Robert Dyas Windsor,18.68,H45,Stationery,5251,Hardware Stores
26/05/2023,MT65,Community Safety Grant Funded,Amznmktplace,70.72,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
27/05/2023,PD18,CCTV,Careline 08001013333,256.80,A77,Professional Subscriptions,5999,Miscellaneous and Specialty Retail Stores
30/05/2023,LB03,Libraries-Service Promotion,Amznmktplace,11.57,J47,Events & Activities,5999,Miscellaneous and Specialty Retail Stores
30/05/2023,LB03,Libraries-Service Promotion,Www.First4magnets.Com,117.62,J47,Events & Activities,5999,Miscellaneous and Specialty Retail Stores
30/05/2023,MJ30,Members Expenses,Premier Inn,731.00,J20,Conference Fees,3811,Premier Inn
30/05/2023,SVHM,Homelessness,Travelodge Gb0000,55.06,K77,Client Temporary Accommodation,3615,Travelodge
31/05/2023,AK81,Postage - Rechargeable,Post Office Self Serve,33.50,H70,Postage,9402,Postal Services - Government Only
31/05/2023,AK81,Postage - Rechargeable,Stationeryu,448.79,H70,Postage,5943,"Office, School Supply, and Stationery Stores"
31/05/2023,LB18,Libraries-Maidenhead,Carrier Bag Shop,287.00,H10,Equipment Purchase,5199,Other Nondurable Goods
31/05/2023,LR10,Braywick Nature Centre,Clr*www.Rbwm.Gov.Uk,21.00,J46,Other Expenses,9399,Government Services
31/05/2023,LT80,Guildhall-Meetings & Events,Booker Ltd - 38603524,57.46,H30,Catering (taxable benefit),5411,Grocery Stores and Supermarkets
31/05/2023,SVHM,Homelessness,Travelodge Gb0000,318.45,K77,Client Temporary Accommodation,3615,Travelodge
01/06/2023,AK81,Postage - Rechargeable,Post Office Self Serve,47.14,H70,Postage,9402,Postal Services - Government Only
01/06/2023,EC26,"Information, Advice and Support Service",Patreon* Membership,4.86,J11,Corporate Subscriptions,5815,"Digital Goods - Media, Books, Movies, Music"
01/06/2023,LB18,Libraries-Maidenhead,Amznmktplace,203.11,J47,Events & Activities,5999,Miscellaneous and Specialty Retail Stores
01/06/2023,LB82,S E Library Management,Paymate*spun,371.13,A77,Professional Subscriptions,8999,Professional Services
01/06/2023,MJ20,Civic & Mayoral Costs,Bourne End Jewellers L,42.00,J46,Other Expenses,5944,"Clock, Jewelry, Watch, and Silverware Store"
01/06/2023,ML15,Public Relations,Axate,2.00,A77,Professional Subscriptions,5968,Direct Marketing Continuity Subscription Merchants
02/06/2023,AK81,Postage - Rechargeable,Post Office Counter,36.99,H70,Postage,9402,Postal Services - Government Only
02/06/2023,EC26,"Information, Advice and Support Service",Foreign Exchange Fee,0.13,J81,Bank Charges,,
02/06/2023,LB82,S E Library Management,Foreign Exchange Fee,10.21,J81,Bank Charges,,
03/06/2023,LT80,Guildhall-Meetings & Events,Laithwaites Wine,276.68,H30,Catering (taxable benefit),5921,"Package Stores, Beer, Wine, Liquor"
03/06/2023,MJ20,Civic & Mayoral Costs,Mfg Slough,8.99,G10,Vehicle Servicing & Repairs,5541,Service Stations
05/06/2023,LB18,Libraries-Maidenhead,Amznmktplace,12.25,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
05/06/2023,LB18,Libraries-Maidenhead,Homebase Ltd,15.00,H10,Equipment Purchase,5200,Home Supply Warehouse Stores
05/06/2023,LB18,Libraries-Maidenhead,Amznmktplace,48.00,J47,Events & Activities,5999,Miscellaneous and Specialty Retail Stores
05/06/2023,LB18,Libraries-Maidenhead,Amznmktplace,221.65,J47,Events & Activities,5999,Miscellaneous and Specialty Retail Stores
05/06/2023,MB30,Planning Development Control,Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
05/06/2023,MT65,Community Safety Grant Funded,Amznmktplace,35.48,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
05/06/2023,MT65,Community Safety Grant Funded,Amznmktplace,67.32,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
05/06/2023,SVHM,Homelessness,Travelodge Gb0000,301.87,K77,Client Temporary Accommodation,3615,Travelodge
06/06/2023,AK81,Postage - Rechargeable,Post Office Counter,29.15,H70,Postage,9402,Postal Services - Government Only
06/06/2023,AK81,Postage - Rechargeable,Post Office Counter,43.50,H70,Postage,9402,Postal Services - Government Only
06/06/2023,LB18,Libraries-Maidenhead,Amazon.Co.Uk*de6h57jb5,43.60,J47,Events & Activities,5969,Other Direct Marketing-Other Direct Marketers
06/06/2023,MA69,Facilities Management,Tesco Stores Plc,3.00,H31,Catering (non-taxable benefit),5411,Grocery Stores and Supermarkets
06/06/2023,MB01,Centralised Stationery,Stationeryu,64.85,H45,Stationery,5943,"Office, School Supply, and Stationery Stores"
06/06/2023,MB38,Aboricultural / Tree Team (Planning),Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
06/06/2023,MC36,Pensions Administration,Tfl Travel Ch,3.50,G40,Staff Public Transport,4111,Local and Suburban Commuter Transportation
06/06/2023,MC36,Pensions Administration,Zettle_*ethical Caffeine,7.80,G40,Staff Public Transport,5812,"Eating Places, Restaurants"
06/06/2023,MT49,Community Warden Scheme,Amznmktplace,156.00,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
06/06/2023,MT49,Community Warden Scheme,Sp Right-Light.Co.Uk,222.34,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
06/06/2023,MT65,Community Safety Grant Funded,Amznmktplace,22.77,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
06/06/2023,MT65,Community Safety Grant Funded,Amznmktplace,34.45,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
