Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Sub Area,Merchant Category
0000323821,VIVID RESOURCING,01/10/2024,"1,692.00",282.00,Environmental Health,Environmental Health Admin,Agency Staff
0000323834,REDACTED PERSONAL INFORMATION,01/10/2024,"1,700.00",0.00,Housing Needs,Longford Village,Rents
0000323835,REDACTED PERSONAL INFORMATION,01/10/2024,"2,450.00",0.00,Housing Needs,Longford Village,Rents
0000323836,REDACTED PERSONAL INFORMATION,01/10/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000323837,REDACTED PERSONAL INFORMATION,01/10/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000323838,REDACTED PERSONAL INFORMATION,01/10/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000323839,REDACTED PERSONAL INFORMATION,01/10/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000323840,REDACTED PERSONAL INFORMATION,01/10/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000323841,REDACTED PERSONAL INFORMATION,01/10/2024,"1,700.00",0.00,Housing Needs,Longford Village,Rents
0000323842,REDACTED PERSONAL INFORMATION,01/10/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000323843,REDACTED PERSONAL INFORMATION,01/10/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000323844,REDACTED PERSONAL INFORMATION,01/10/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000323845,REDACTED PERSONAL INFORMATION,01/10/2024,"1,450.00",0.00,Housing Needs,Longford Village,Rents
0000323846,REDACTED PERSONAL INFORMATION,01/10/2024,"2,450.00",0.00,Housing Needs,Longford Village,Rents
0000323847,REDACTED PERSONAL INFORMATION,01/10/2024,"1,450.00",0.00,Housing Needs,Longford Village,Rents
0000323848,REDACTED PERSONAL INFORMATION,01/10/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000323849,REDACTED PERSONAL INFORMATION,01/10/2024,"1,700.00",0.00,Housing Needs,Longford Village,Rents
0000323881,REDACTED PERSONAL INFORMATION,18/10/2024,"6,000.00","1,000.00",Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000323882,REDACTED PERSONAL INFORMATION,18/10/2024,"5,220.00",870.00,Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000323959,ROYAL MAIL,29/10/2024,"5,927.15",964.76,Office Services,Postage Holding Account,Holding Account Expenditure
0000323967,REDACTED PERSONAL INFORMATION,01/10/2024,"2,632.92",438.82,Housing Needs,Harper House,Contract cleaning
0000323980,SELLICK PARTNERSHIP LTD,15/10/2024,"1,742.40",290.40,Car Parks,Legal,Agency Staff
0000323997,ASHFORD & ST PETERS,08/10/2024,"1,157.50",0.00,Human Resources,General Staff Exp Unallocated,Medical Advisor
0000324016,FOWLES CRUSHED CONCRETE LTD,04/10/2024,972.00,162.00,Environmental Health,Allotments,Grounds maintained noncontract
0000324018,THE COMPOST BAG COMPANY LTD,04/10/2024,"27,552.00","4,592.00",Depot,Wheelie Bins,Equipment
0000324024,APETITO LTD,04/10/2024,"2,551.49",425.25,Independent Living,Meals on Wheels,Commercial Vehicle Lease
0000324031,KENT COUNTY COUNCIL (KCS),04/10/2024,"3,513.94",444.26,Asset Management,"Car Park Administration, Community Safety CCTV",Electricity
0000324037,VIVID RESOURCING,01/10/2024,"1,692.00",282.00,Environmental Health,Environmental Health Admin,Agency Staff
0000324041,REDACTED PERSONAL INFORMATION,01/10/2024,"3,594.36",599.06,Housing Needs,White House,Contract cleaning
0000324043,FIRST CALL CONTRACT SERVICES,01/10/2024,"1,405.80",234.30,Depot,Street Cleaning,Agency Staff
0000324044,WATSON FUELS,18/10/2024,"20,395.35","3,399.22",Depot,Depot Fuel & Oils,Purchases
0000324081,KOMPAN UK,11/10/2024,"93,358.04","15,559.67",Environmental Health,Parks Strategy,Playground Improvements
0000324082,KOMPAN UK,11/10/2024,"8,233.62","1,372.27",Environmental Health,Parks Strategy,Playground Improvements
0000324091,SPECIALIST FLEET SERVICES LIMITED,18/10/2024,"9,120.49","1,502.85",Depot,"SAT, Refuse Collection, Car Park Administration, Neighbourhood Serv Mgt Support, Street Cleaning, Grounds Maintenance",Commercial Vehicle Maintenance
0000324097,MHR,31/10/2024,"7,642.56","1,273.76",Human Resources,Human Resources,Other Miscellaneous Expenses
0000324125,MOLE VALLEY DISTRICT COUNCIL,25/10/2024,"4,789.66",798.28,Accounts,Accountancy,Other LA Authority MVDC
0000324131,SURREY RECRUITMENT SERVICES LIMITED,01/10/2024,"9,096.70","1,516.11",Depot,"Refuse Collection, Street Cleaning, Grounds Maintenance",Agency Staff
0000324148,SMARTBAGS LTD,01/10/2024,"5,100.00",850.00,Depot,Neighbourhood Serv Mgt Support,Marketing
0000324187,PROFESSIONAL ELECTRICAL SOLUTIONS LTD,01/10/2024,"2,522.28",420.38,Community Safety and Corporate Services,White House Garage Site,Grounds maintained noncontract
0000324188,SELLICK PARTNERSHIP LTD,01/10/2024,"1,742.40",290.40,Car Parks,Legal,Agency Staff
0000324189,SPORTS FOCUS GROUP,04/10/2024,"1,442.00",0.00,Leisure,Youth Projects,Playscheme Vouchers
0000324192,EVERGREEN EXTERIOR SERVICES LTD,04/10/2024,612.00,102.00,Depot,Grounds Maintenance,Operational equip mats & suppl
0000324194,VISION TECHNIQUES UK,01/10/2024,"3,801.60",633.60,Depot,Refuse Collection,Hired Plant and Transport
0000324195,SPELTHORNE BUSINESS FORUM CIC,01/10/2024,"2,500.00",0.00,Chief Exec. Dpt,Economic Development,Stimulate Economic Activity
0000324196,REDACTED PERSONAL INFORMATION,01/10/2024,"1,440.00",240.00,Housing Needs,LAHF properties,LAHF property expenditure
0000324199,REDACTED PERSONAL INFORMATION,01/10/2024,"1,320.00",220.00,Housing Needs,Longford Village,General repairs
0000324200,REDACTED PERSONAL INFORMATION,04/10/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324201,REDACTED PERSONAL INFORMATION,04/10/2024,630.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324202,REDACTED PERSONAL INFORMATION,04/10/2024,630.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324203,REDACTED PERSONAL INFORMATION,04/10/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324204,REDACTED PERSONAL INFORMATION,04/10/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324205,REDACTED PERSONAL INFORMATION,04/10/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324206,NTA MONITOR,25/10/2024,"2,700.00",450.00,Office Services,IT Overheads & Infrastructure,Secure networking
0000324213,REDACTED PERSONAL INFORMATION,04/10/2024,"1,540.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324216,YBC CLEANING SERVICES LTD,01/10/2024,"12,197.04","2,032.84",Office Services,Various,Contract cleaning
0000324217,REDACTED PERSONAL INFORMATION,01/10/2024,"16,179.80",0.00,Housing Needs,Step-Down Accommodation,Rents
0000324219,CENTERPRISE INTERNATIONAL LTD,04/10/2024,"1,159.20",193.20,Information Technology,IT Overheads & Infrastructure,Hardware Support
0000324221,REDACTED PERSONAL INFORMATION,01/10/2024,"2,809.20",468.20,Asset Management,EV Charging Points,Consultants fees
0000324230,PLANNING/ASSET MGMT,04/10/2024,"2,000.00",0.00,Planning,Share Prosperity Fund,Business Growth Plans & Innova
0000324231,PLANNING/ASSET MGMT,04/10/2024,"2,000.00",0.00,Planning,Share Prosperity Fund,Business Growth Plans & Innova
0000324232,PLANNING/ASSET MGMT,04/10/2024,"2,000.00",0.00,Planning,Share Prosperity Fund,Business Growth Plans & Innova
0000324236,REDACTED PERSONAL INFORMATION,11/10/2024,"5,300.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324237,REDACTED PERSONAL INFORMATION,04/10/2024,"5,740.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324238,MAYDENCROFT LTD,11/10/2024,"5,070.00",845.00,Depot,Environmental Enhancements,Grounds maintained noncontract
0000324242,PROFESSIONAL ELECTRICAL SOLUTIONS LTD,04/10/2024,"2,382.00",397.00,Community Safety and Corporate Services,White House Garage Site,Security services
0000324245,JOHN ELLIOTT,04/10/2024,600.00,0.00,Independent Living,Staines Community Centre,Tutors
0000324248,GLAM SLAM LTD,08/10/2024,"1,005.00",167.50,Leisure,Share Prosperity Fund,Cultural Kick Starter Elmsleig
0000324249,CFH DOCMAIL LTD,04/10/2024,"9,313.14","1,552.19",Financial Support,Electoral Registration,Specialised printing
0000324250,CFH DOCMAIL LTD,04/10/2024,"1,220.40",203.40,Financial Support,Electoral Registration,Specialised printing
0000324251,CFH DOCMAIL LTD,04/10/2024,"3,759.94",626.66,Financial Support,Electoral Registration,Specialised printing
0000324254,WEST LONDON FLOORING LTD,04/10/2024,"2,794.50",465.75,Chief Exec. Dpt,Business Incubator,Internal decorations
0000324255,CORNERSTONES BARRISTERS,04/10/2024,"2,160.00",360.00,Car Parks,Homelessness Prevention,Legal and Court Costs
0000324256,POSTURITE (UK) LTD,15/10/2024,"1,012.53",168.75,Chief Exec. Dpt,Spelthorne Youth Hub,Office Furniture Purchase
0000324257,REDACTED PERSONAL INFORMATION,04/10/2024,714.00,119.00,Human Resources,Human Resources,Consultants fees
0000324258,REDACTED PERSONAL INFORMATION,04/10/2024,"1,860.00",0.00,Chief Exec. Dpt,Spelthorne Youth Hub,Consultants fees
0000324259,BLACKSTONE PRINTING LTD,04/10/2024,"2,100.00",350.00,Chief Exec. Dpt,Spelthorne Youth Hub,Printing Art work and Design
0000324261,ASHFORD YOUTH AND COMMUNITY CLUB CIC,04/10/2024,"6,227.17",0.00,Chief Exec. Dpt,Spelthorne Youth Hub Various,General repairs
0000324263,REDACTED PERSONAL INFORMATION,04/10/2024,"1,080.00",180.00,Human Resources,General Staff Exp Unallocated,Consultants fees
0000324264,WYBONE LIMITED,04/10/2024,716.99,119.50,Environment Services,Street Cleaning,Litter Bins
0000324266,APSE,18/10/2024,"5,700.00",950.00,Depot,Grounds Maintenance,Weed Spraying
0000324267,SURREYARBORIST,04/10/2024,660.00,0.00,Depot,Grounds Maintenance,Operational equip mats & suppl
0000324268,FIRST CALL CONTRACT SERVICES,11/10/2024,"2,024.35",337.39,Depot,Street Cleaning,Agency Staff
0000324269,SPECIALIST FLEET SERVICES LIMITED,04/10/2024,"6,867.97","1,127.43",Depot,"SAT, Refuse Collection, Car Park Administration, Neighbourhood Serv Mgt Support, Street Cleaning, Grounds Maintenance",Commercial Vehicle Maintenance
0000324270,NOBLE POLYTHENE LTD,04/10/2024,"3,165.24",527.54,Depot,Grounds Maintenance,Grounds maintained noncontract
0000324271,BRAY ASSOCIATES,04/10/2024,"8,304.00","1,384.00",Depot,Staines Market,External Contracts
0000324273,VIVID RESOURCING,04/10/2024,"1,692.00",282.00,Environmental Health,Environmental Health Admin,Agency Staff
0000324274,VIVID RESOURCING,08/10/2024,748.80,124.80,Environmental Health,Environmental Health Admin,Agency Staff
0000324276,VIVID RESOURCING,08/10/2024,608.40,101.40,Environmental Health,Environmental Health Admin,Agency Staff
0000324277,VIVID RESOURCING,08/10/2024,748.80,124.80,Environmental Health,Environmental Health Admin,Agency Staff
0000324279,VIVID RESOURCING,08/10/2024,764.40,127.40,Environmental Health,Environmental Health Admin,Agency Staff
0000324296,LODGE BROS (FUNERAL) LTD,04/10/2024,815.40,135.90,Depot,All Cemeteries &Burial Grounds,Grounds maintained noncontract
0000324297,LODGE BROS (FUNERAL) LTD,04/10/2024,877.97,146.33,Depot,All Cemeteries &Burial Grounds,Grounds maintained noncontract
0000324300,REDACTED PERSONAL INFORMATION,04/10/2024,816.00,136.00,Housing Needs,Homelessness Prevention,Medical Advisor
0000324305,THE DIGITAL MAZE LTD,04/10/2024,"2,025.00",337.50,Community Safety and Corporate Services,Corporate Publicity,Consultants fees
0000324306,THE OYSTER PARTNERSHIP,04/10/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000324307,THE OYSTER PARTNERSHIP,04/10/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000324308,STREETMASTER PRODUCTS,08/10/2024,943.20,157.20,Depot,Street Cleaning,Operational equip mats & suppl
0000324309,THE OYSTER PARTNERSHIP,04/10/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000324310,SP GRAPHICS,04/10/2024,684.00,114.00,Depot,Grounds Maintenance,Operational equip mats & suppl
0000324315,SAFESITE FACILITIES LTD,04/10/2024,"4,038.81",673.14,Asset Management,Ashford Hospital,Site Security
0000324316,REDACTED PERSONAL INFORMATION,04/10/2024,"6,180.00","1,030.00",Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000324317,STAINES-UPON-THAMES BID LTD,04/10/2024,"12,886.50","2,147.75",Office Services,Staines BID,Rechargeable Works Expenditure
0000324318,G2RECRUITMENT,08/10/2024,"1,029.00",171.50,Environmental Health,Environmental Health Admin,Agency Staff
0000324319,REDACTED PERSONAL INFORMATION,04/10/2024,"4,560.00",760.00,Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000324321,REDACTED PERSONAL INFORMATION,04/10/2024,"14,412.44","2,402.08",Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000324322,REDACTED PERSONAL INFORMATION,04/10/2024,"2,160.00",360.00,Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000324324,SAFESITE SECURITY SOLUTIONS LTD,04/10/2024,"2,871.00",478.50,Asset Management,Ashford Hospital,Site Security
0000324325,APETITO LTD,08/10/2024,"7,613.11",0.00,Independent Living,Meals on Wheels,Food Purchases
0000324331,VIRGIN MEDIA BUSINESS,11/10/2024,"2,474.44",412.41,Information Technology,IT Overheads & Infrastructure,Networking
0000324332,REDACTED PERSONAL INFORMATION,04/10/2024,681.60,113.60,Leisure,Human Resources,Consultants fees
0000324333,LAW MORGAN LTD T/AS MORGAN LAW LTD,04/10/2024,"3,300.00",550.00,Car Parks,Procurement,Agency Staff
0000324335,MORGAN HUNT,04/10/2024,"1,398.60",233.10,Office Services,Customer Services,Agency Staff
0000324339,JADE SECURITY SERVICES LTD,04/10/2024,"3,772.72",628.79,Car Parks,Car Park Administration,Security services
0000324356,CORDELL HEALTH LTD,11/10/2024,"1,625.00",0.00,Leisure,General Staff Exp Unallocated,Medical Advisor
0000324358,REDACTED PERSONAL INFORMATION,08/10/2024,"4,290.00",715.00,Housing Needs,LAHF properties,Purchase of Furniture
0000324366,CFH DOCMAIL LTD,08/10/2024,"6,318.02","1,053.00",Financial Support,Electoral Registration,Postage Direct charge
0000324368,REDACTED PERSONAL INFORMATION,08/10/2024,"1,995.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324369,REDACTED PERSONAL INFORMATION,08/10/2024,910.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324370,REDACTED PERSONAL INFORMATION,11/10/2024,"4,350.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324371,REDACTED PERSONAL INFORMATION,08/10/2024,910.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324372,BRITISH PARKING ASSOCIATION,11/10/2024,"3,858.00",643.00,Car Parks,Car Park Administration,Subscriptions General
0000324373,REDACTED PERSONAL INFORMATION,08/10/2024,"1,332.00",222.00,Housing Needs,Step-Down Accommodation,Contract cleaning
0000324374,REDACTED PERSONAL INFORMATION,08/10/2024,936.00,156.00,Housing Needs,Longford Village,General repairs
0000324376,REDACTED PERSONAL INFORMATION,08/10/2024,"22,692.00","3,782.00",Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324383,PERTEMPS RECRUITMENT PARTNERSHIP LTD,11/10/2024,"1,385.28",230.88,Depot,Refuse Collection,Agency Staff
0000324384,SPINK STEAM CLEANING LTD,08/10/2024,"1,122.00",187.00,Depot,Refuse Collection,Commercial Vehicle Maintenance
0000324391,ISOBEL HARRIS,08/10/2024,"1,200.00",0.00,Leisure,Share Prosperity Fund,Cultural Kick Starter Elmsleig
0000324392,RICARDO-AEA LTD,18/10/2024,"5,768.40",961.40,Environmental Health,Pollution Control,Pollution Control Monitoring
0000324393,TRACE SOLUTIONS LTD,08/10/2024,"4,512.24",752.04,Asset Management,Asset Management Admin,Computer Software
0000324395,REDACTED PERSONAL INFORMATION,11/10/2024,"2,820.00",470.00,Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000324396,BTP FOODSERVICE LTD,08/10/2024,"4,953.88",825.65,Asset Management,Charter Building,Landlord's Subsidy
0000324400,REDACTED PERSONAL INFORMATION,08/10/2024,"3,312.00",0.00,Planning,Development Control,Consultants fees
0000324404,REDACTED PERSONAL INFORMATION,08/10/2024,"6,000.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324407,CORNERSTONES BARRISTERS,08/10/2024,"60,246.00","10,041.00",Planning,Development Control,Legal and Court Costs
0000324411,REDACTED PERSONAL INFORMATION,08/10/2024,"1,212.00",202.00,Housing Needs,Longford Village,General repairs
0000324413,PREMIER SERVICES,08/10/2024,799.80,133.30,Depot,Grounds Maintenance,Security services
0000324414,PREMIER SERVICES,08/10/2024,"3,180.00",530.00,Depot,Grounds Maintenance,Security services
0000324417,REDACTED PERSONAL INFORMATION,08/10/2024,"1,598.40",266.40,Leisure,Human Resources,Consultants fees
0000324418,PREMIER SERVICES,08/10/2024,614.40,102.40,Depot,Neighbourhood Serv Mgt Support,Security services
0000324419,PREMIER SERVICES,08/10/2024,799.80,133.30,Depot,Neighbourhood Serv Mgt Support,Security services
0000324420,SELLICK PARTNERSHIP LTD,08/10/2024,"1,742.40",290.40,Car Parks,Legal,Agency Staff
0000324421,SURREY RECRUITMENT SERVICES LIMITED,08/10/2024,933.12,155.52,Independent Living,Greeno Day Centre,Temporary Staff
0000324423,REDACTED PERSONAL INFORMATION,08/10/2024,"2,560.00",426.67,Leisure,Sunbury Leisure Centre,Consultants fees
0000324424,SURREY RECRUITMENT SERVICES LIMITED,08/10/2024,746.50,124.42,Independent Living,Greeno Day Centre,Temporary Staff
0000324433,FLOWBIRD SMART CITY UK LTD,15/10/2024,706.08,117.68,Car Parks,Car Park Administration,Operational Equipment Maint.
0000324434,REDACTED PERSONAL INFORMATION,15/10/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324435,REDACTED PERSONAL INFORMATION,11/10/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324436,REDACTED PERSONAL INFORMATION,11/10/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324437,REDACTED PERSONAL INFORMATION,15/10/2024,630.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324438,REDACTED PERSONAL INFORMATION,15/10/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324439,REDACTED PERSONAL INFORMATION,15/10/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324440,REDACTED PERSONAL INFORMATION,15/10/2024,"1,540.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324442,REDACTED PERSONAL INFORMATION,11/10/2024,"16,200.00","2,700.00",Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324444,GAMMA BUSINESS COMMUNICATIONS,11/10/2024,"5,187.51",864.59,Information Technology,Office Services,Telephones call charges
0000324446,MATTHEWS ASSOCIATES (UK) LIMITED,11/10/2024,"7,560.00","1,260.00",Planning,Economic Development,Agency Staff
0000324450,TUDOR ENVIRONMENTAL,11/10/2024,"1,098.00",183.00,Depot,Grounds Maintenance,Operational equip mats & suppl
0000324458,REDACTED PERSONAL INFORMATION,11/10/2024,950.14,0.00,Housing Needs,Rent Assure Scheme,Rents
0000324459,REDACTED PERSONAL INFORMATION,11/10/2024,"2,125.00",0.00,Housing Needs,Rent Assure Scheme,Rents
0000324460,REDACTED PERSONAL INFORMATION,11/10/2024,"1,362.94",0.00,Housing Needs,Rent Assure Scheme,Deposit bond claims
0000324471,FIRST CALL CONTRACT SERVICES,15/10/2024,"2,211.79",368.63,Depot,Street Cleaning,Agency Staff
0000324473,REDACTED PERSONAL INFORMATION,11/10/2024,"15,768.00","2,628.00",Planning,Development Control,Consultants fees
0000324474,REDACTED PERSONAL INFORMATION,11/10/2024,"4,959.06",826.51,Housing Needs,LAHF properties,Building Works
0000324475,VIVID RESOURCING,11/10/2024,"1,561.26",260.21,Planning,Planning Policy and Implement,Agency Staff
0000324476,VIVID RESOURCING,11/10/2024,672.00,112.00,Planning,Planning Policy and Implement,Agency Staff
0000324479,PK SAFETY (EVOLVE CORPORATE LTD),15/10/2024,698.71,116.45,Depot,Refuse Collection,Uniforms
0000324482,ACTIVE SURREY SPORTS PARTNERSHIP,11/10/2024,"2,000.00",0.00,Leisure,Sports and Active Lifestyle,Active Surrey Contribution
0000324483,VIVID RESOURCING,18/10/2024,"1,635.60",272.60,Environmental Health,Environmental Health Admin,Agency Staff
0000324484,G2RECRUITMENT,11/10/2024,"1,386.00",231.00,Environmental Health,Environmental Health Admin,Agency Staff
0000324485,VIVID RESOURCING,18/10/2024,748.80,124.80,Environmental Health,Environmental Health Admin,Agency Staff
0000324487,WILKS HEAD AND EVE LLP,11/10/2024,"5,610.00",935.00,Asset Management,General Property Expenses,Valuers
0000324491,SEE SERVICES,15/10/2024,650.28,108.38,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000324493,TOTAL ENVIRONMENTAL COMPLIANCE LIMITED,15/10/2024,774.00,129.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000324496,LIFE IRRIGATION,11/10/2024,"1,740.00",290.00,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000324497,LATIS SCIENTIFIC LTD,11/10/2024,"4,084.62",680.77,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000324498,REDACTED PERSONAL INFORMATION,11/10/2024,915.24,0.00,Leisure,General Staff Exp Unallocated,Consultants fees
0000324499,HHC LEWIS LTD,11/10/2024,"1,830.00",305.00,Leisure,Environmental Health Admin,Staff Advertising
0000324500,USTIGATE LIMITED,11/10/2024,"2,670.24",445.04,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000324501,REDACTED PERSONAL INFORMATION,11/10/2024,"1,710.00",285.00,Asset Management,Benwell P2,Consultants fees
0000324502,REDACTED PERSONAL INFORMATION,11/10/2024,"1,710.00",285.00,Asset Management,Benwell P2,Consultants fees
0000324509,SURREY RECRUITMENT SERVICES LIMITED,11/10/2024,933.12,155.52,Independent Living,Greeno Day Centre,Temporary Staff
0000324512,ACCELERATED MAILING & MARKETING,11/10/2024,867.54,144.59,Office Services,Customer Services,Bureau Printing
0000324513,REDACTED PERSONAL INFORMATION,11/10/2024,"1,000.00",0.00,Housing Needs,Homelessness Prevention,Rents
0000324514,KOMPAN UK,11/10/2024,"72,900.00","12,150.00",Environmental Health,Shepperton Studios S106,Playground Improvements
0000324516,MORGAN HUNT,11/10/2024,"1,398.60",233.10,Office Services,Customer Services,Agency Staff
0000324517,REDACTED PERSONAL INFORMATION,11/10/2024,"2,755.41",0.00,Car Parks,Legal,Consultants fees
0000324519,REDACTED PERSONAL INFORMATION,11/10/2024,"10,821.84","1,803.64",Human Resources,Human Resources,Consultants fees
0000324520,EVERYONE ACTIVE,11/10/2024,"1,120.00",0.00,Leisure,Sports and Active Lifestyle,Inward Investment
0000324525,ANGERMANN GODDARD,11/10/2024,"6,000.00","1,000.00",Asset Management,Elmsleigh,Premises Letting Fees
0000324526,ANGERMANN GODDARD,11/10/2024,"4,500.00",750.00,Asset Management,Elmsleigh,Premises Letting Fees
0000324527,GREEN & PARTNERS LLP,11/10/2024,"6,000.00","1,000.00",Asset Management,Elmsleigh,Premises Letting Fees
0000324528,GREEN & PARTNERS LLP,11/10/2024,"4,500.00",750.00,Asset Management,Elmsleigh,Premises Letting Fees
0000324529,GREEN & PARTNERS LLP,11/10/2024,"3,600.00",600.00,Asset Management,Elmsleigh,Premises Letting Fees
0000324530,BEVAN BRITTAN LLP,11/10/2024,"1,002.00",167.00,Human Resources,Corporate Management,Legal and Court Costs
0000324532,THE OYSTER PARTNERSHIP,11/10/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000324536,CTS RECRUITMENT,11/10/2024,"1,429.92",238.32,Depot,Refuse Collection,Agency Staff
0000324537,SURREY RECRUITMENT SERVICES LIMITED,11/10/2024,"7,876.13","1,312.69",Depot,"Refuse Collection, Street Cleaning, Grounds Maintenance",Agency Staff
0000324539,REDACTED PERSONAL INFORMATION,11/10/2024,"1,800.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324540,REDACTED PERSONAL INFORMATION,11/10/2024,"1,950.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324541,LONDON BOROUGH OF HILLINGDON,15/10/2024,"1,575.50",0.00,Asset Management,Charter Building,Business Rates
0000324542,REDACTED PERSONAL INFORMATION,15/10/2024,"5,400.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324543,REDACTED PERSONAL INFORMATION,11/10/2024,"1,755.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324544,REDACTED PERSONAL INFORMATION,11/10/2024,"1,200.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
