Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Sub Area,Merchant Category
0000314389,REDACTED PERSONAL INFORMATION,12/03/2024,"1,155.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314390,SELLICK PARTNERSHIP LTD,05/03/2024,"1,821.60",303.60,Car Parks,Legal,Agency Staff
0000314391,PROFESSIONAL ELECTRICAL SOLUTIONS LTD,05/03/2024,"1,980.00",330.00,Community Safety and Corporate Services,Grounds Maintenance,Operational equip mats & suppl
0000314400,REDACTED PERSONAL INFORMATION,15/03/2024,897.12,149.52,Housing Needs,White House,Security Systems
0000314401,SMITH AND BYFORD LIMITED,12/03/2024,"1,525.88",254.31,Housing Needs,Longford Village,General repairs
0000314402,REDACTED PERSONAL INFORMATION,05/03/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000314403,REDACTED PERSONAL INFORMATION,05/03/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000314404,REDACTED PERSONAL INFORMATION,05/03/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000314405,REDACTED PERSONAL INFORMATION,05/03/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000314406,REDACTED PERSONAL INFORMATION,05/03/2024,"2,450.00",0.00,Housing Needs,Longford Village,Rents
0000314407,REDACTED PERSONAL INFORMATION,05/03/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000314408,REDACTED PERSONAL INFORMATION,05/03/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000314410,REDACTED PERSONAL INFORMATION,05/03/2024,"2,450.00",0.00,Housing Needs,Longford Village,Rents
0000314411,REDACTED PERSONAL INFORMATION,05/03/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000314412,REDACTED PERSONAL INFORMATION,05/03/2024,"1,450.00",0.00,Housing Needs,Longford Village,Rents
0000314413,REDACTED PERSONAL INFORMATION,05/03/2024,"1,700.00",0.00,Housing Needs,Longford Village,Rents
0000314414,REDACTED PERSONAL INFORMATION,05/03/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000314415,REDACTED PERSONAL INFORMATION,05/03/2024,"3,600.00",0.00,Housing Needs,Homelessness Prevention,Rent Deposits
0000314416,REDACTED PERSONAL INFORMATION,05/03/2024,"1,450.00",0.00,Housing Needs,Longford Village,Rents
0000314417,THE OYSTER PARTNERSHIP,05/03/2024,"3,088.80",514.80,Car Parks,Procurement,Agency Staff
0000314418,THE OYSTER PARTNERSHIP,05/03/2024,"2,745.60",457.60,Car Parks,Procurement,Agency Staff
0000314419,SMITH AND BYFORD LIMITED,05/03/2024,"4,800.82",800.14,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000314420,THE OYSTER PARTNERSHIP,05/03/2024,"3,432.00",572.00,Asset Management,Asset Management Admin,Agency Staff
0000314421,CLYDE & CO LLP,05/03/2024,"1,450.25",241.71,Asset Management,Asset Management Admin,Computer Software
0000314422,REDACTED PERSONAL INFORMATION,05/03/2024,"3,024.00",504.00,Asset Management,General Property Expenses,Consultants fees
0000314423,CLYDE & CO LLP,05/03/2024,"6,517.58",390.00,Asset Management,Elmsleigh,Legal and Court Costs
0000314424,HOLLIS GLOBAL LTD,05/03/2024,"3,024.00",504.00,Asset Management,Spelthorne Leisure Centre,Consultants fees
0000314429,REDACTED PERSONAL INFORMATION,08/03/2024,"14,405.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314432,SELLICK PARTNERSHIP LTD,05/03/2024,"2,263.99",377.33,Car Parks,Legal,Agency Staff
0000314437,J S FRUITERERS,05/03/2024,609.00,0.00,Independent Living,Fordbridge Day Centre,Food Purchases
0000314446,LLOYDS BANK PLC,26/03/2024,671.25,0.00,Accounts,Corporate Management,Bank Charges
0000314447,LLOYDS BANK PLC,26/03/2024,651.65,0.00,Accounts,Corporate Management,Bank Charges
0000314451,LLOYDS BANK PLC,26/03/2024,663.18,0.00,Accounts,Corporate Management,Bank Charges
0000314457,LLOYDS BANK PLC,26/03/2024,655.88,0.00,Accounts,Corporate Management,Bank Charges
0000314467,DAVID JOHN PAPERS LTD,12/03/2024,712.62,118.77,Office Services,Internal Printing,PrintUnit Supplies White Paper
0000314468,SELLICK PARTNERSHIP LTD,05/03/2024,"2,444.87",407.48,Car Parks,Legal,Agency Staff
0000314469,PERTEMPS RECRUITMENT PARTNERSHIP LTD,05/03/2024,"2,181.12",363.52,Depot,Refuse Collection,Agency Staff
0000314470,VANTA STAFFING LTD,05/03/2024,656.26,109.38,Depot,Refuse Collection,Agency Staff
0000314472,REDACTED PERSONAL INFORMATION,26/03/2024,"3,770.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314473,REDACTED PERSONAL INFORMATION,19/03/2024,"1,885.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314474,REDACTED PERSONAL INFORMATION,26/03/2024,"5,220.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314475,REDACTED PERSONAL INFORMATION,26/03/2024,"4,885.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314476,REDACTED PERSONAL INFORMATION,26/03/2024,"7,440.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314477,REDACTED PERSONAL INFORMATION,08/03/2024,"5,568.00",928.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314479,CAFFE KIX LIMITED,05/03/2024,"6,079.55","1,013.26",Depot,Charter Building,Other Miscellaneous Expenses
0000314480,SELLICK PARTNERSHIP LTD,05/03/2024,"2,608.45",434.74,Car Parks,Legal,Agency Staff
0000314485,NOMINET UK,08/03/2024,"1,211.53",201.92,Office Services,IT Overheads & Infrastructure,Networking
0000314487,REDACTED PERSONAL INFORMATION,08/03/2024,"5,558.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314491,REDACTED PERSONAL INFORMATION,05/03/2024,"2,505.00",0.00,Chief Exec. Dpt,Spelthorne Youth Hub,Consultants fees
0000314494,APETITO LTD,12/03/2024,"7,157.06",0.00,Independent Living,Meals on Wheels,Food Purchases
0000314495,REDACTED PERSONAL INFORMATION,26/03/2024,"1,855.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314496,REDACTED PERSONAL INFORMATION,26/03/2024,"1,745.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314498,REDACTED PERSONAL INFORMATION,26/03/2024,"7,642.56","1,273.76",Human Resources,Human Resources,Other Miscellaneous Expenses
0000314501,CFH DOCMAIL LTD,05/03/2024,"1,130.54",188.42,Financial Support,Electoral Registration,Postage Direct charge
0000314502,CUSHMAN AND WAKEFIELD,05/03/2024,"8,029.53",0.00,Asset Management,Porter Building,Service Charge
0000314503,CUSHMAN AND WAKEFIELD,05/03/2024,"82,129.36",0.00,Asset Management,Porter Building,Service Charge
0000314504,CUSHMAN AND WAKEFIELD,05/03/2024,"14,457.99",0.00,Asset Management,Elmbrook House,Service Charge
0000314516,REDACTED PERSONAL INFORMATION,08/03/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314517,REDACTED PERSONAL INFORMATION,12/03/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314518,REDACTED PERSONAL INFORMATION,12/03/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314519,REDACTED PERSONAL INFORMATION,12/03/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314520,REDACTED PERSONAL INFORMATION,12/03/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314521,REDACTED PERSONAL INFORMATION,12/03/2024,"5,022.00",837.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314523,SAGAL,15/03/2024,"8,607.00","1,434.50",Environment Services,Grounds Maintenance,Operational Equipment Maint.
0000314528,CAPITA SOFTWARE SERVICES,19/03/2024,"73,740.00","12,290.00",Office Services,Corporate EDMS Project,Other Works
0000314529,VODAFONE LTD,08/03/2024,"2,094.72",348.62,Information Technology,Office Services,Mobile phones
0000314532,REDACTED PERSONAL INFORMATION,08/03/2024,700.00,0.00,Human Resources,General Staff Exp Unallocated,Consultants fees
0000314533,CFH DOCMAIL LTD,08/03/2024,"9,393.06","1,565.51",Financial Support,Parliamentary Elections 2024,Poll Card Costs
0000314534,LONDON WARRANT ENFORCEMENT,08/03/2024,"1,040.64",0.00,Office Services,Office Services,Office Services
0000314536,SEARCHFLOW LTD,12/03/2024,678.21,110.54,Car Parks,Property acquisition for famil,Other Works
0000314537,ECOTRICITY GROUP LIMITED,15/03/2024,686.50,32.69,Asset Management,Thameside House,Electricity
0000314538,REDACTED PERSONAL INFORMATION,12/03/2024,"1,512.00",252.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314539,REDACTED PERSONAL INFORMATION,12/03/2024,"1,092.00",182.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314540,JLL MANAGING AGENTS,08/03/2024,"15,154.75",0.00,Asset Management,Elmsleigh,Service Charge
0000314543,THE OYSTER PARTNERSHIP,08/03/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000314546,JADE SECURITY SERVICES LTD,08/03/2024,"3,187.58",531.26,Car Parks,Car Park Administration,Security services
0000314547,SAFESITE FACILITIES LTD,08/03/2024,"3,778.23",629.70,Asset Management,Ashford Hospital - Victory Pla,Security services
0000314549,BEVAN BRITTAN LLP,08/03/2024,"1,143.00",190.50,Human Resources,Corporate Management,Legal and Court Costs
0000314552,CLOVER,26/03/2024,"2,371.47",0.00,Car Parks,Car Park Administration,Credit Card Charges
0000314553,BOTTOMLINE TECHNOLOGIES,26/03/2024,903.18,150.53,Accounts,Corporate Management,Bank Charges
0000314555,SPECIALIST FLEET SERVICES LIMITED,12/03/2024,"2,623.90",437.32,Depot,Refuse Collection,Commercial Vehicle Maintenance
0000314556,IDOX SOFTWARE LTD,08/03/2024,"3,300.00",550.00,Information Technology,Apps - Software Developments,Computer Software
0000314558,PROFESSIONAL ELECTRICAL SOLUTIONS LTD,08/03/2024,686.88,114.48,Environment Services,Grounds Maintenance,Weed Spraying
0000314562,VIVID RESOURCING,15/03/2024,"1,440.00",240.00,Environmental Health,Licensing,Agency Staff
0000314563,VIVID RESOURCING,08/03/2024,772.80,128.80,Office Services,Environmental Health Admin,Agency Staff
0000314565,MORGAN HUNT,08/03/2024,"1,134.00",189.00,Office Services,Customer Services,Agency Staff
0000314577,VIRGIN MEDIA BUSINESS,08/03/2024,"12,669.47","2,111.58",Information Technology,IT Overheads & Infrastructure,Networking
0000314582,REDACTED PERSONAL INFORMATION,08/03/2024,"4,272.00",712.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314583,PLACE SUPPORT PARTNERSHIP LTD,08/03/2024,"36,000.00","6,000.00",Projects,Floods & Sustainability,Floods & Sustainability
0000314584,ARCO LTD,12/03/2024,622.78,103.80,Depot,Street Cleaning,Operational equip mats & suppl
0000314586,CIVICA UK LTD,08/03/2024,"72,249.17","12,041.52",Office Services,Customer Services,Computer Software
0000314587,CIVICA UK LTD,08/03/2024,758.05,126.34,Office Services,Customer Services,Computer Software
0000314588,REDACTED PERSONAL INFORMATION,08/03/2024,"4,500.00",750.00,Asset Management,Elmbrook House,Consultants fees
0000314590,FIRST CALL CONTRACT SERVICES,15/03/2024,"1,236.38",206.06,Depot,"Street Cleaning, Refuse Collection",Agency Staff
0000314596,RICARDO-AEA LTD,15/03/2024,"1,015.20",169.20,Environmental Health,Pollution Control,Pollution Control Monitoring
0000314598,SPINK STEAM CLEANING LTD,08/03/2024,840.00,140.00,Depot,Refuse Collection,Commercial Vehicle Maintenance
0000314599,SPINK STEAM CLEANING LTD,08/03/2024,624.00,104.00,Depot,Refuse Collection,Commercial Vehicle Maintenance
0000314601,SPINK STEAM CLEANING LTD,08/03/2024,696.00,116.00,Depot,Refuse Collection,Commercial Vehicle Maintenance
0000314602,SPINK STEAM CLEANING LTD,08/03/2024,954.00,159.00,Depot,Refuse Collection,Commercial Vehicle Maintenance
0000314603,REDACTED PERSONAL INFORMATION,19/03/2024,"4,170.00",695.00,Human Resources,Development Control,Consultants fees
0000314604,SPINK STEAM CLEANING LTD,08/03/2024,984.00,164.00,Depot,Refuse Collection,Commercial Vehicle Maintenance
0000314605,REDACTED PERSONAL INFORMATION,12/03/2024,"1,379.67",0.00,Housing Needs,Rent Assure Scheme,Rents
0000314607,NATIONAL CENTRE FOR BEHAVIOUR CHANGE,08/03/2024,540.00,0.00,Environment Services,Social Prescribing,Other Miscellaneous Expenses
0000314620,SELLICK PARTNERSHIP LTD,08/03/2024,"1,999.80",333.30,Car Parks,Legal,Agency Staff
0000314622,REDACTED PERSONAL INFORMATION,12/03/2024,"1,152.00",192.00,Leisure,Spelthorne Leisure Centre,Consultants fees
0000314624,HHC LEWIS LTD,08/03/2024,"2,018.40",336.40,Human Resources,Asset Management Admin,Staff Advertising
0000314629,REDACTED PERSONAL INFORMATION,12/03/2024,"3,300.00",550.00,Asset Management,Benwell P2,Consultants fees
0000314630,REDACTED PERSONAL INFORMATION,12/03/2024,"3,300.00",550.00,Asset Management,Ashford MSCP,Consultants fees
0000314631,REDACTED PERSONAL INFORMATION,12/03/2024,"3,300.00",550.00,Asset Management,Ashford Hospital,Consultants fees
0000314632,REDACTED PERSONAL INFORMATION,12/03/2024,"3,300.00",550.00,Asset Management,Thameside House,Consultants fees
0000314633,REDACTED PERSONAL INFORMATION,12/03/2024,"3,300.00",550.00,Asset Management,Oast House,Consultants fees
0000314637,THE GREAT OUTDOOR GYM COMPANY,12/03/2024,"18,124.80","3,020.80",Environmental Health,Parks Strategy,Grounds maintained noncontract
0000314639,SURREY POLICE,12/03/2024,"2,909.00",0.00,Community Safety and Corporate Services,Crime&Disorder Reduction Partn,General Expenses
0000314640,THAMESWAY CONTRACTORS LTD,12/03/2024,"1,740.00",290.00,Depot,Street Cleaning,Street Nameplates
0000314641,WATSON FUELS,12/03/2024,"20,636.50","3,439.41",Depot,Depot Fuel & Oils,Purchases
0000314644,GAMMA BUSINESS COMMUNICATIONS,12/03/2024,"5,145.33",857.56,Information Technology,Office Services,Telephones call charges
0000314646,PRODRIVE PERSONNEL LTD,15/03/2024,729.60,121.60,Depot,Grounds Maintenance,Agency Staff
0000314651,PAY360 LTD,26/03/2024,"5,487.20",0.00,Accounts,Customer Services,Computer Software
0000314654,REDACTED PERSONAL INFORMATION,12/03/2024,"1,051.65",0.00,Housing Needs,Homelessness Prevention,Private Renter Support
0000314655,SPECIALIST FLEET SERVICES LIMITED,12/03/2024,"8,628.17","1,438.03",Depot,"Facilities Management, Neighbourhood Serv Mgt Support, Refuse Collection, Grounds maintenance, SAT",Commercial Vehicle Maintenance
