Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Area,Merchant Category
0000323432,REDACTED PERSONAL INFORMATION,13/09/2024,"5,220.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323433,REDACTED PERSONAL INFORMATION,13/09/2024,"4,475.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323434,REDACTED PERSONAL INFORMATION,20/09/2024,"2,015.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323435,REDACTED PERSONAL INFORMATION,10/09/2024,"3,060.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323436,REDACTED PERSONAL INFORMATION,13/09/2024,"3,995.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323438,REDACTED PERSONAL INFORMATION,10/09/2024,"1,800.00",0.00,Chief Exec. Dpt,Spelthorne Youth Hub,Consultants fees
0000323440,IDOX SOFTWARE LTD,10/09/2024,"3,927.00",654.50,Financial Support,Green Initiatives,Computer Software
0000323442,REDACTED PERSONAL INFORMATION,13/09/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323443,REDACTED PERSONAL INFORMATION,13/09/2024,630.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323444,REDACTED PERSONAL INFORMATION,13/09/2024,630.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323445,REDACTED PERSONAL INFORMATION,13/09/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323447,REDACTED PERSONAL INFORMATION,13/09/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323449,REDACTED PERSONAL INFORMATION,13/09/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323452,REDACTED PERSONAL INFORMATION,10/09/2024,"1,245.00",0.00,Planning,Spelthorne Youth Hub,Consultants fees
0000323455,REDACTED PERSONAL INFORMATION,13/09/2024,"5,580.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323457,REDACTED PERSONAL INFORMATION,13/09/2024,910.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323458,REDACTED PERSONAL INFORMATION,13/09/2024,"2,015.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323487,REDACTED PERSONAL INFORMATION,10/09/2024,"2,987.00",0.00,Leisure,Arts Development,Surrey Museums Dev. Office
0000323493,LOCK 24 LTD,10/09/2024,"2,040.00",340.00,Depot,Grounds Maintenance,Security services
0000323495,LOCK 24 LTD,10/09/2024,750.00,125.00,Depot,Grounds Maintenance,Security services
0000323496,GAMMA BUSINESS COMMUNICATIONS,20/09/2024,"5,089.19",848.20,Information Technology,Office Services,Telephones call charges
0000323502,REDACTED PERSONAL INFORMATION,10/09/2024,643.62,107.27,Housing Needs,LAHF properties,Void repair work
0000323504,HOLLIS GLOBAL LTD,10/09/2024,"16,182.00","2,697.00",Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000323505,BRONZE RESTORATIONS CONSULTANCY LTD,10/09/2024,"8,797.01","1,466.17",Asset Management,"Planned Maintenance Programme, Staines Community Centre",Programmed Maintenance
0000323506,SMITH AND BYFORD LIMITED,10/09/2024,"4,085.89",680.98,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000323508,CLEMENTS ENVIRONMENTAL SERVICES,10/09/2024,"1,272.00",212.00,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000323509,GREEN & PARTNERS LLP,10/09/2024,"5,400.00",900.00,Asset Management,Elmsleigh,Legal and Court Costs
0000323530,REDACTED PERSONAL INFORMATION,13/09/2024,"1,540.00",0.00,Housing Needs,"Bed and Breakfast, Grounds Maintenance",Bed & Breakfast Accommodation
0000323535,REDACTED PERSONAL INFORMATION,13/09/2024,"1,260.00",210.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323541,KELTIC,13/09/2024,"2,689.50",448.25,Car Parks,Car Park Administration,Uniforms
0000323559,HONEY  BROTHERS LIMITED,20/09/2024,659.98,110.00,Depot,Grounds Maintenance,Operational Equipment purchase
0000323561,PREMIER SERVICES,13/09/2024,799.80,133.30,Depot,Neighbourhood Serv Mgt Support,Security services
0000323563,REDACTED PERSONAL INFORMATION,13/09/2024,"16,740.00","2,790.00",Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323573,REDACTED PERSONAL INFORMATION,13/09/2024,933.12,155.52,Independent Living,Greeno Day Centre,Temporary Staff
0000323574,G2RECRUITMENT,13/09/2024,"1,029.00",171.50,Environmental Health,Environmental Health Admin,Agency Staff
0000323575,MORGAN HUNT,13/09/2024,"1,398.60",233.10,Office Services,Customer Services,Agency Staff
0000323576,FIRST CALL CONTRACT SERVICES,13/09/2024,"2,249.28",374.88,Depot,Street Cleaning,Agency Staff
0000323577,ACCELERATED MAILING & MARKETING,13/09/2024,903.20,150.53,Office Services,Customer Services,Bureau Printing
0000323581,MORGAN HUNT,13/09/2024,"1,001.70",166.95,Office Services,Customer Services,Agency Staff
0000323584,REDACTED PERSONAL INFORMATION,13/09/2024,"1,100.00",0.00,Housing Needs,Social Prescribing,Clinical Suprevision
0000323585,STAINES-UPON-THAMES BID LTD,13/09/2024,"16,338.64","2,723.11",Office Services,Staines BID,Rechargeable Works Expenditure
0000323586,VIVID RESOURCING,13/09/2024,"1,692.00",282.00,Environmental Health,Environmental Health Admin,Agency Staff
0000323587,E C MILLS LIMITED,13/09/2024,"2,320.00",0.00,Environmental Health,Public Health,Public Burials
0000323588,CLOUD GATEWAY LIMITED,27/09/2024,"1,006.01",167.67,Information Technology,IT Overheads & Infrastructure,Networking
0000323589,DEVONSHIRES SOLICITORS LLP,13/09/2024,818.40,136.40,Car Parks,Step-Down Accommodation,Other Miscellaneous Expenses
0000323599,BRITISH GAS TRADING LTD,17/09/2024,654.47,31.16,Asset Management,Summit Centre,Gas
0000323615,ERNEST DOE & SONS LTD,17/09/2024,"1,217.43",202.90,Depot,Grounds Maintenance,Operational Equipment purchase
0000323637,TECHNE-COMM LTD,17/09/2024,674.40,112.40,Office Services,Mailsafe,Computer Software
0000323640,CAPITA ONE LIMITED,13/09/2024,"6,000.00","1,000.00",Office Services,Customer Services,Computer Software
0000323641,REDACTED PERSONAL INFORMATION,13/09/2024,840.60,140.10,Independent Living,Greeno Day Centre,Temporary Staff
0000323643,REDACTED PERSONAL INFORMATION,13/09/2024,"11,533.92","1,922.32",Asset Management,Porter Building,Consultants fees
0000323644,THE OYSTER PARTNERSHIP,13/09/2024,"3,240.00",540.00,Asset Management,Asset Management Admin,Agency Staff
0000323645,THE OYSTER PARTNERSHIP,13/09/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000323646,THE OYSTER PARTNERSHIP,13/09/2024,"2,059.20",343.20,Asset Management,Asset Management Admin,Agency Staff
0000323648,SURREY COUNTY COUNCIL,13/09/2024,"3,363.00",560.50,Chief Exec. Dpt,Local Land Charges,Other LA Surrey County Council
0000323651,FLOWBIRD SMART CITY UK LTD,13/09/2024,"12,086.10","2,014.35",Car Parks,Car Park Administration,Operational Equipment Maint.
0000323652,REDACTED PERSONAL INFORMATION,13/09/2024,821.09,136.85,Housing Needs,White House,Service Charge
0000323653,REDACTED PERSONAL INFORMATION,13/09/2024,"1,740.00",290.00,Housing Needs,Harper House,Responsive maintenance
