Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Area,Merchant Category
0000324998,REDACTED PERSONAL INFORMATION,01/11/2024,910.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325015,REDACTED PERSONAL INFORMATION,01/11/2024,956.87,159.48,Building Control,Building Control,Consultants fees
0000325020,EON NEXT,01/11/2024,"2,124.93",22.22,Asset Management,Oast House,Electricity
0000325022,PRODRIVE PERSONNEL LTD,05/11/2024,625.92,104.32,Depot,Grounds Maintenance,Agency Staff
0000325027,FNX MEDIA,08/11/2024,"1,200.00",200.00,Community Safety and Corporate Services,Spelthorne Means Business awar,Rechargeable Works Expenditure
0000325032,SMITH AND BYFORD LIMITED,01/11/2024,"5,810.26",968.38,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000325035,STRUCTURAL RENOVATIONS LTD,01/11/2024,"4,860.00",810.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000325074,REDACTED PERSONAL INFORMATION,15/11/2024,"2,551.49",425.25,Independent Living,Meals on Wheels,Commercial Vehicle Lease
0000325077,SIGNWAY SUPPLIES (DATCHET) LIMITED,05/11/2024,727.20,121.20,Depot,Street Cleaning,Street Nameplates
0000325089,REDACTED PERSONAL INFORMATION,01/11/2024,840.00,140.00,Asset Management,"3 Roundwood Ave, Stockley Park",Consultants fees
0000325091,REDACTED PERSONAL INFORMATION,01/11/2024,"28,128.00","4,688.00",Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325092,SPELTHORNE BUSINESS FORUM CIC,01/11/2024,"2,500.00",0.00,Community Safety and Corporate Services,Economic Development,Stimulate Economic Activity
0000325097,REDACTED PERSONAL INFORMATION,05/11/2024,"1,050.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325098,REDACTED PERSONAL INFORMATION,05/11/2024,"1,045.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325107,A CUT ABOVE (SURREY) LIMITED,01/11/2024,"1,440.00",240.00,Depot,Grounds Maintenance,Operational equip mats & suppl
0000325111,SMI GROUP,01/11/2024,751.53,125.25,Depot,Grounds Maintenance,Operational equip mats & suppl
0000325112,FIRST CALL CONTRACT SERVICES,05/11/2024,"1,649.47",274.91,Depot,Street Cleaning,Agency Staff
0000325113,REDACTED PERSONAL INFORMATION,01/11/2024,"2,040.00",340.00,Planning,Planning Policy and Implement,Consultants fees
0000325114,VIVID RESOURCING,05/11/2024,"1,579.20",263.20,Environmental Health,Environmental Health Admin,Agency Staff
0000325115,MOLE VALLEY DISTRICT COUNCIL,26/11/2024,"4,789.66",798.28,Accounts,Accountancy,Other LA Authority MVDC
0000325116,AREA SQ LIMITED,08/11/2024,"116,853.89","19,475.65",Asset Management,Thames Tower,Building Works
0000325117,REDACTED PERSONAL INFORMATION,05/11/2024,"1,050.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325118,REDACTED PERSONAL INFORMATION,05/11/2024,"1,155.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325119,REDACTED PERSONAL INFORMATION,05/11/2024,"1,050.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325120,REDACTED PERSONAL INFORMATION,05/11/2024,"1,155.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325121,REDACTED PERSONAL INFORMATION,05/11/2024,"1,050.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325122,REDACTED PERSONAL INFORMATION,05/11/2024,"1,045.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325123,REDACTED PERSONAL INFORMATION,05/11/2024,"1,050.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325124,REDACTED PERSONAL INFORMATION,05/11/2024,"1,155.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325125,REDACTED PERSONAL INFORMATION,01/11/2024,"1,170.00",195.00,Leisure,Human Resources,Consultants fees
0000325126,G2RECRUITMENT,05/11/2024,"2,073.76",345.63,Environmental Health,Environmental Health Admin,Agency Staff
0000325128,BRAY ASSOCIATES,01/11/2024,"8,304.00","1,384.00",Depot,Staines Market,External Contracts
0000325130,A & C WEBER UK LTD,01/11/2024,"15,734.40","2,622.40",Depot,Wheelie Bins,Equipment
0000325131,REDACTED PERSONAL INFORMATION,01/11/2024,"7,650.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325134,REDACTED PERSONAL INFORMATION,01/11/2024,"6,817.88","1,136.31",Housing Needs,LAHF properties,Void repair work
0000325135,THOMAS DOOR & WINDOW CONTROLS LTD,01/11/2024,"2,205.00",367.50,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000325139,REDACTED PERSONAL INFORMATION,01/11/2024,907.08,151.18,Housing Needs,Harper House,Responsive maintenance
0000325140,REDACTED PERSONAL INFORMATION,01/11/2024,"4,522.87",753.81,Housing Needs,White House,Responsive maintenance
0000325143,TRAFFIC MANAGEMENT CENTRE,01/11/2024,"1,000.00",0.00,Depot,Car Park Administration,Traffic Enforcement Centre
0000325144,BACS IDS,01/11/2024,"2,000.00",0.00,Community Safety and Corporate Services,Share Prosperity Fund,Business Growth Plans & Innova
0000325145,REDACTED PERSONAL INFORMATION,01/11/2024,541.30,0.00,Housing Needs,Longford Village,Council tax (void property)
0000325150,REDACTED PERSONAL INFORMATION,01/11/2024,"8,584.80","1,430.80",Housing Needs,LAHF properties,Void repair work
0000325152,ECOTRICITY GROUP LIMITED,12/11/2024,991.10,47.20,Asset Management,Thameside House,Gas
0000325154,REDACTED PERSONAL INFORMATION,01/11/2024,"4,560.00",760.00,Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000325155,REDACTED PERSONAL INFORMATION,01/11/2024,"8,600.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325157,SURREY WILDLIFE TRUST,05/11/2024,"5,116.80",852.80,Depot,SheppertonStudioRiverAshPrkMan,Grounds maintained noncontract
0000325158,CENTERPRISE INTERNATIONAL LTD,05/11/2024,"1,159.20",193.20,Information Technology,IT Overheads & Infrastructure,Hardware Support
0000325169,AAI MEDIA,01/11/2024,941.32,156.89,Community Safety and Corporate Services,Car Park Administration,Other Miscellaneous Expenses
0000325170,A CUT ABOVE (SURREY) LIMITED,01/11/2024,"1,620.00",270.00,Depot,Grounds Maintenance,Operational equip mats & suppl
0000325171,ASPIRE2BUILD,01/11/2024,"4,050.00",675.00,Environmental Health,Allotments,Grounds maintained noncontract
0000325173,PRODRIVE PERSONNEL LTD,05/11/2024,625.92,104.32,Depot,Grounds Maintenance,Agency Staff
0000325174,REDACTED PERSONAL INFORMATION,01/11/2024,520.00,0.00,Independent Living,Community Care Administration,NWS Alliance Prevention
0000325176,REDACTED PERSONAL INFORMATION,01/11/2024,933.12,155.52,Independent Living,Greeno Day Centre,Temporary Staff
0000325178,ASPIRE2BUILD,01/11/2024,720.00,120.00,Environmental Health,Allotments,Grounds maintained noncontract
0000325183,SURREY RECRUITMENT SERVICES LIMITED,05/11/2024,"6,785.29","1,130.89",Depot,"Refuse Collection, Street Cleaning, Grounds Maintenance",Agency Staff
0000325184,WATSON FUELS,05/11/2024,"18,595.23","3,099.20",Depot,Depot Fuel & Oils,Purchases
0000325185,STAINES-UPON-THAMES BID LTD,05/11/2024,"16,048.38","2,674.73",Office Services,Staines BID,Rechargeable Works Expenditure
0000325186,MARTIN CRANFIELD ASSOCIATES,05/11/2024,"2,989.62",498.27,Environmental Health,Pollution Control,Pollution Control Monitoring
0000325187,REDACTED PERSONAL INFORMATION,05/11/2024,"1,995.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325188,REDACTED PERSONAL INFORMATION,05/11/2024,"1,995.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325189,REDACTED PERSONAL INFORMATION,05/11/2024,910.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325190,REDACTED PERSONAL INFORMATION,05/11/2024,910.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325191,REDACTED PERSONAL INFORMATION,05/11/2024,"6,510.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325197,PERTEMPS RECRUITMENT PARTNERSHIP LTD,05/11/2024,"1,154.40",192.40,Depot,Refuse Collection,Agency Staff
0000325198,MATTHEWS ASSOCIATES (UK) LIMITED,05/11/2024,"9,450.00","1,575.00",Planning,Economic Development,Agency Staff
0000325200,BACS IDS,05/11/2024,"6,228.30",0.00,Environment Services,Sales Ledger Control Account,Refunds
0000325202,REDACTED PERSONAL INFORMATION,26/11/2024,"30,556.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325206,REDACTED PERSONAL INFORMATION,05/11/2024,"44,782.80","7,463.80",Housing Needs,LAHF properties,Void repair work
0000325207,PG MEDIA,05/11/2024,600.00,0.00,Chief Exec. Dpt,Spelthorne Means Business awar,Rechargeable Works Expenditure
0000325208,SURREY RECRUITMENT SERVICES LIMITED,05/11/2024,"6,476.35","1,079.39",Depot,"Refuse Collection, Street Cleaning, Grounds Maintenance",Agency Staff
0000325209,REDACTED PERSONAL INFORMATION,05/11/2024,"1,420.80",236.80,Leisure,Human Resources,Consultants fees
0000325212,DICOL EFFLUENT,19/11/2024,789.00,114.00,Depot,White House Garage Site,Environmental Services
0000325213,REDACTED PERSONAL INFORMATION,19/11/2024,"9,167.18",0.00,Independent Living,Meals on Wheels,Food Purchases
0000325214,PLACE SUPPORT PARTNERSHIP LTD,05/11/2024,"36,000.00","6,000.00",Projects,Share Prosperity Fund,Climate Change Audit
0000325215,ASHFORD & ST PETERS,05/11/2024,"1,263.00",0.00,Human Resources,General Staff Exp Unallocated,Medical Advisor
0000325216,REDACTED PERSONAL INFORMATION,08/11/2024,"2,550.00",0.00,Community Safety and Corporate Services,Spelthorne Youth Hub,Consultants fees
0000325219,SPELTHORNE DIRECT SERVICES LTD,29/11/2024,607.20,101.20,Office Services,Facilities Management,Trade waste collection
0000325222,REDACTED PERSONAL INFORMATION,05/11/2024,"1,615.34",0.00,Housing Needs,Homelessness Prevention,Rentstart SLA
0000325224,REDACTED PERSONAL INFORMATION,05/11/2024,"3,876.92",0.00,Housing Needs,Homelessness Prevention,Rents
0000325227,REDACTED PERSONAL INFORMATION,08/11/2024,"1,782.00",297.00,Planning,Planning Policy and Implement,Consultants fees
0000325228,REDACTED PERSONAL INFORMATION,08/11/2024,"1,782.00",297.00,Planning,Planning Policy and Implement,Consultants fees
0000325229,REDACTED PERSONAL INFORMATION,08/11/2024,"1,782.00",297.00,Planning,Planning Policy and Implement,Consultants fees
0000325231,REDACTED PERSONAL INFORMATION,08/11/2024,"8,015.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325232,REDACTED PERSONAL INFORMATION,08/11/2024,"1,050.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325233,REDACTED PERSONAL INFORMATION,08/11/2024,"1,155.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325235,REDACTED PERSONAL INFORMATION,08/11/2024,"2,112.00",352.00,Planning,Development Control,Consultants fees
0000325236,REDACTED PERSONAL INFORMATION,08/11/2024,"16,179.80",0.00,Housing Needs,Step-Down Accommodation,Rents
0000325241,ZEST 4 TV LTD,12/11/2024,"6,052.08","1,008.68",Community Safety and Corporate Services,Spelthorne Means Business awards,Rechargeable Works Expenditure
0000325244,REDACTED PERSONAL INFORMATION,08/11/2024,"13,168.40","2,183.90",Leisure,Eclipse Leisure Centre,Legal and Court Costs
0000325245,THE BGC GROUP,29/11/2024,"1,213.70",0.00,Accounts,Corporate Management,Brokers fees
0000325246,CFH DOCMAIL LTD,08/11/2024,"3,975.16",662.53,Financial Support,Electoral Registration,Postage Direct charge
0000325247,REDACTED PERSONAL INFORMATION,08/11/2024,"5,394.00",899.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325248,REDACTED PERSONAL INFORMATION,08/11/2024,"2,232.00",372.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325249,REDACTED PERSONAL INFORMATION,08/11/2024,"5,022.00",837.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325251,REDACTED PERSONAL INFORMATION,08/11/2024,"1,643.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325252,REDACTED PERSONAL INFORMATION,08/11/2024,"1,634.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325253,REDACTED PERSONAL INFORMATION,12/11/2024,"1,860.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325254,REDACTED PERSONAL INFORMATION,12/11/2024,"2,015.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325255,REDACTED PERSONAL INFORMATION,08/11/2024,901.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325256,REDACTED PERSONAL INFORMATION,12/11/2024,"15,275.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325257,VIVID RESOURCING,08/11/2024,"2,052.00",342.00,Planning,Planning Policy and Implement,Agency Staff
0000325258,REDACTED PERSONAL INFORMATION,12/11/2024,"14,496.00","2,416.00",Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325263,REDACTED PERSONAL INFORMATION,08/11/2024,"1,471.00",0.00,Housing Needs,Homelessness Prevention,Rent Deposits
0000325264,VIVID RESOURCING,08/11/2024,"1,497.60",249.60,Environmental Health,Environmental Health Admin,Agency Staff
0000325265,VIVID RESOURCING,08/11/2024,"1,692.00",282.00,Environmental Health,Environmental Health Admin,Agency Staff
0000325267,REDACTED PERSONAL INFORMATION,08/11/2024,"2,692.00",0.00,Housing Needs,Homelessness Prevention,Rents
0000325270,REDACTED PERSONAL INFORMATION,08/11/2024,560.00,0.00,Independent Living,Staines Community Centre,Tutors
0000325273,BACS IDS,08/11/2024,549.30,0.00,Environment Services,Sales Ledger Control Account,Refunds
0000325274,CHAIRCOVERDREAMS VENUE STYLIST,08/11/2024,675.00,0.00,Community Safety and Corporate Services,Corporate Publicity,Marketing
0000325276,REDACTED PERSONAL INFORMATION,12/11/2024,"5,580.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325277,REDACTED PERSONAL INFORMATION,15/11/2024,"3,300.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325278,REDACTED PERSONAL INFORMATION,15/11/2024,"2,015.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325279,REDACTED PERSONAL INFORMATION,12/11/2024,"5,550.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325280,REDACTED PERSONAL INFORMATION,12/11/2024,"3,720.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325281,REDACTED PERSONAL INFORMATION,12/11/2024,"2,945.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325282,REDACTED PERSONAL INFORMATION,12/11/2024,840.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325283,REDACTED PERSONAL INFORMATION,12/11/2024,"5,315.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325284,REDACTED PERSONAL INFORMATION,12/11/2024,"5,580.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325285,REDACTED PERSONAL INFORMATION,12/11/2024,"2,640.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325286,REDACTED PERSONAL INFORMATION,12/11/2024,"2,280.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325287,REDACTED PERSONAL INFORMATION,12/11/2024,"5,735.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325288,REDACTED PERSONAL INFORMATION,12/11/2024,"5,580.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325289,CASTLE WATER,15/11/2024,"1,160.62",107.05,Asset Management,Grounds Maintenance,Insurance Excess Charge
0000325290,CASTLE WATER,15/11/2024,663.14,53.33,Asset Management,Grounds Maintenance,Insurance Excess Charge
0000325294,REDACTED PERSONAL INFORMATION,08/11/2024,"1,080.00",180.00,Leisure,Corporate Publicity,Marketing
0000325295,REDACTED PERSONAL INFORMATION,08/11/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325296,REDACTED PERSONAL INFORMATION,08/11/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325297,REDACTED PERSONAL INFORMATION,08/11/2024,630.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325298,VIVID RESOURCING,08/11/2024,"2,052.00",342.00,Planning,Planning Policy and Implement,Agency Staff
0000325303,CALFORDSEADEN LLP,08/11/2024,"7,500.00","1,250.00",Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000325304,REDACTED PERSONAL INFORMATION,08/11/2024,"4,500.00",750.00,Asset Management,Charter Building,Consultants fees
0000325305,USTIGATE LIMITED,08/11/2024,"4,927.10",821.18,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000325307,REDACTED PERSONAL INFORMATION,08/11/2024,875.00,0.00,Leisure,General Staff Exp Unallocated,Medical Advisor
0000325308,SELLICK PARTNERSHIP LTD,08/11/2024,"1,742.40",290.40,Car Parks,Legal,Agency Staff
0000325309,TRACE SOLUTIONS LTD,08/11/2024,"4,512.24",752.04,Asset Management,Asset Management Admin,Computer Software
0000325314,JK BUILD LTD,12/11/2024,"1,044.00",174.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000325320,BLACKSTONE PRINTING LTD,08/11/2024,"1,200.00",200.00,Chief Exec. Dpt,Spelthorne Means Business awar,Rechargeable Works Expenditure
0000325321,G2RECRUITMENT,12/11/2024,"2,052.76",342.13,Environmental Health,Environmental Health Admin,Agency Staff
0000325322,FIRST CALL CONTRACT SERVICES,12/11/2024,"1,799.42",299.90,Depot,Street Cleaning,Agency Staff
0000325323,BLACKSTONE PRINTING LTD,08/11/2024,"2,824.80",470.80,Chief Exec. Dpt,Spelthorne Means Business awar,Rechargeable Works Expenditure
0000325324,PARK PLACE TECHNOLOGIES LIMITED,19/11/2024,"4,905.79",817.63,Office Services,IT Overheads & Infrastructure,Misc. Networking
0000325327,REDACTED PERSONAL INFORMATION,08/11/2024,630.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325328,REDACTED PERSONAL INFORMATION,12/11/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325329,REDACTED PERSONAL INFORMATION,12/11/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325331,SPECIALIST FLEET SERVICES LIMITED,08/11/2024,"12,696.55","2,078.69",Depot,"SAT, Refuse Collection, Car Park Administration, Neighbourhood Serv Mgt Support, Street Cleaning, Grounds Maintenance",Commercial Vehicle Maintenance
0000325332,JADE SECURITY SERVICES LTD,08/11/2024,"3,420.79",570.13,Car Parks,Car Park Administration,Security services
0000325333,REDACTED PERSONAL INFORMATION,08/11/2024,"3,207.60",534.60,Planning,Development Control,Consultants fees
0000325335,CORNERSTONES BARRISTERS,08/11/2024,"9,310.00","1,551.67",Planning,Development Control,Legal and Court Costs
0000325336,CHAIRCOVERDREAMS VENUE STYLIST,08/11/2024,938.24,0.00,Community Safety and Corporate Services,Spelthorne Means Business awar,Rechargeable Works Expenditure
0000325341,PERTEMPS RECRUITMENT PARTNERSHIP LTD,12/11/2024,"1,616.16",269.36,Depot,Refuse Collection,Agency Staff
0000325342,WATSON FUELS,08/11/2024,"18,811.26","3,135.21",Depot,Depot Fuel & Oils,Purchases
0000325346,REDACTED PERSONAL INFORMATION,08/11/2024,713.88,118.98,Housing Needs,Step-Down Accommodation,Other Miscellaneous Expenses
0000325352,TRAVELERS INSURANCE CO LTD,08/11/2024,570.00,0.00,Environmental Health,Neighbourhood Serv Mgt Support,Insurance Excess Charge
0000325353,VODAFONE LTD,08/11/2024,"1,321.22",209.03,Information Technology,Office Services,Mobile phones
0000325354,REDACTED PERSONAL INFORMATION,15/11/2024,"3,080.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325357,SP GRAPHICS,29/11/2024,792.00,132.00,Depot,Street Cleaning,Operational equip mats & suppl
0000325358,CAS ENGINEERING LTD,08/11/2024,"3,289.20",548.20,Car Parks,Car Park Administration,Operational Equipment Maint.
0000325361,CASTLE WATER,12/11/2024,"7,423.48",897.03,Asset Management,Various,Water Charges
0000325363,REDACTED PERSONAL INFORMATION,08/11/2024,850.00,141.66,Community Safety and Corporate Services,Consultants,Consultants fees
0000325367,REDACTED PERSONAL INFORMATION,12/11/2024,"7,565.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325372,REDACTED PERSONAL INFORMATION,08/11/2024,"2,800.00",0.00,Housing Needs,Homelessness Prevention,Rents
0000325373,BACS IDS,08/11/2024,620.00,0.00,Environment Services,Sales Ledger Control Account,Refunds
0000325385,REDACTED PERSONAL INFORMATION,12/11/2024,"25,000.00",0.00,Housing Needs,Homelessness Prevention,Rentstart SLA
0000325386,PREMIER SERVICES,12/11/2024,"3,180.00",530.00,Depot,Grounds Maintenance,Security services
0000325387,SAFEPLAY PLAYGROUND SERVICES LTD,12/11/2024,"2,669.40",444.90,Environmental Health,Grounds Maintenance,Playground Inspections
0000325388,PREMIER SERVICES,12/11/2024,799.80,133.30,Depot,Grounds Maintenance,Security services
0000325389,REDACTED PERSONAL INFORMATION,12/11/2024,933.12,155.52,Independent Living,OPAL,Temporary Staff
0000325390,SELLICK PARTNERSHIP LTD,12/11/2024,"1,742.40",290.40,Car Parks,Legal,Agency Staff
0000325391,VON BRADSKY ENTERPRISES LTD,12/11/2024,"1,000.00",0.00,Planning,Planning Policy and Implement,Design Code
0000325399,REDACTED PERSONAL INFORMATION,12/11/2024,551.23,0.00,Leisure,Attachment of Earnings,Cash received
0000325406,DAVID LOCK ASSOCIATES,12/11/2024,"31,950.00","5,325.00",Planning,Planning Policy and Implement,Design Code
0000325407,REDACTED PERSONAL INFORMATION,12/11/2024,"1,350.00",0.00,Housing Needs,Homelessness Prevention,Rents
0000325418,BACS IDS,12/11/2024,873.00,145.50,Accounts,Corporate Management,Spelthorne Civic Award
0000325420,REDACTED PERSONAL INFORMATION,12/11/2024,"6,388.80","1,064.80",Planning,Development Control,Consultants fees
0000325422,INSIDE HOUSING SOLUTIONS LTD,12/11/2024,"4,800.00",800.00,Environmental Health,Noise Control,OutOfHoursCallService
0000325423,MORGAN LOVELL PLC,12/11/2024,"8,063.20","1,343.87",Asset Management,Charter Building,Building Works
0000325424,REDACTED PERSONAL INFORMATION,12/11/2024,"1,200.00",200.00,Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000325427,SMITH AND BYFORD LIMITED,12/11/2024,"3,663.32",610.55,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000325428,THOMAS DOOR & WINDOW CONTROLS LTD,12/11/2024,"1,328.40",221.40,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000325430,PREMIER SERVICES,12/11/2024,804.00,134.00,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000325431,TOTAL ENVIRONMENTAL COMPLIANCE LIMITED,12/11/2024,737.20,122.88,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000325432,TOTAL ENVIRONMENTAL COMPLIANCE LIMITED,12/11/2024,702.19,117.04,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000325433,THE OYSTER PARTNERSHIP,12/11/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000325434,THE OYSTER PARTNERSHIP,12/11/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000325436,PREMIER SERVICES,12/11/2024,"12,739.50","2,123.25",Asset Management,Thameside House,Site Security
