* Expenditure Category,* Date,TOTAL,* SUPPLIER FINAL
Clothing & Uniform,45237,506.46,DERBY UNITEX LTD
Equipment General,45237,1601,CUBIC TRANSPORTATION SYSTEMS (ITMS) LTD
Partnership Grants,45237,13501.25,CRIMESTOPPERS
Police - Other Third Party Payments,45237,534,CHARTERED MANAGEMENT INSTITUTE
Police - Detained Persons - Other Expenses,45237,3852.2000000000003,CHARLES FELLOWS SUPPLIES LTD
Police - FSS,45237,1926.1,CELLMARK
Police - FSS,45237,528,CELLMARK
Police - FSS,45237,2986.5,CELLMARK
Police - FSS,45237,9224.82,CELLMARK
Hire of Transport,45237,588.88,CAR-PORT UK
Hire of Transport,45237,3132,CAR-PORT UK
Hire of Transport,45237,783,CAR-PORT UK
Hire of Transport,45237,4437,CAR-PORT UK
Police - Vehicle Workshop Equipment,45237,1500,CALIBRATION & CONSULTANCY SERVICES (UK) LTD
PCC Commissioning - Community Liason,45237,10000,BLACKPOOL COUNCIL
Police - Detained Persons - Meals / Refreshments,45237,1066.18,BIDFOOD
Clothing & Uniform,45237,3322,B K S LEATHER
Equipment General,45237,5877.5,AVR GROUP LIMITED
Consultant Fees,45240,962.5,ZELLIS (FORMERLY NORTHGATE ARINSO UK LTD)
Police - Vehicle Workshop Equipment,45240,999,WURTH UK LTD
Vehicle Purchase,45240,337149,WILKER UK LIMITED
Police - Other Third Party Payments,45240,6873.700000000001,WIGAN ATHLETIC COMMUNITY TRUST
Computer Maintenance,45240,6376.59,VERINT SYSTEMS UK LIMITED
Police - Media Campaigns,45240,2000,UCLAN - UNIVERSITY OF CENTRAL LANCASHIRE
Catering Service (External),45240,2613.06,TURNER PRICE LTD
Catering Service (External),45240,710.3800000000001,TURNER PRICE LTD
Catering Service (External),45240,2511.4,TURNER PRICE LTD
Catering Service (External),45240,506.46,TURNER PRICE LTD
Catering Service (External),45240,556.1500000000001,TURNER PRICE LTD
Catering Service (External),45240,716.6,TURNER PRICE LTD
Catering Service (External),45240,619.27,TURNER PRICE LTD
Police - Counsel Fees,45240,595,TLT LLP
Catering Service (External),45240,1076.18,TIFFIN SANDWICHES LTD
Computer Equipment (Hardware),45240,3519,THIRD PARTY SUPPLIER
Computer Hardware,45240,6900,THIRD PARTY SUPPLIER
Computer Equipment (Hardware),45240,3519,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45240,522.48,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45240,552.04,THIRD PARTY SUPPLIER
Police - FSS,45240,20955.63,THIRD PARTY FORENSIC SERVICES
Computer Maintenance,45240,11340,THIRD PARTY FORENSIC SERVICES
Police - Other Third Party Payments,45240,1500,THIRD PARTY FORENSIC SERVICES
Agency Staff,45240,819.23,ACHIEVA GROUP LTD
Police - Other Third Party Payments,45240,3625,THE POLICE ARBORETUM MEMORIAL TRUST
Consultant Fees,45240,18200,THE FLOWHESION FOUNDATION
Equipment General,45240,1286.5,SPECIALITY TEXTILES
Equipment General,45240,1103.3,SLINGERS IRONMONGERS
Police - Vehicle Workshop Parts,45240,516.17,SHORROCK MOTORCYCLES LTD
Equipment General,45240,690,SCENESAFE
Equipment General,45240,582.5,SCENESAFE
Equipment General,45240,682.4100000000001,SCENESAFE
Equipment General,45240,576.05,SCENESAFE
Training Expenses (External),45240,873.4,SCC
Equipment General,45240,1577,ROSTRONS LOCKSMITHS
Vehicle & Plant R&M (External),45240,1051,RIBBLESDALE AUTO ELECTRICS UNITS LTD
Police - Health & Safety - Occ Health,45240,1312.61,AERO HEALTHCARE
Postage & Carriage,45240,4000,QUADIENT UK LTD
Police - Statutory Maintenance,45240,663.04,PROTEC FIRE DETECTION PLC
Police Reactive Maintenance - Building Services,45240,3911.55,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45240,3165.1299999999997,PREMIER OF LYTHAM  LTD
Ext  Adapt  Improv  Etc,45240,4804.74,PILKINGTON BROS (CHURCH) LTD
Police Reactive Maintenance - Building Fabric,45240,507.68,PILKINGTON BROS (CHURCH) LTD
Programmed Work,45240,857.38,PILKINGTON BROS (CHURCH) LTD
Police - Telecom Forensics,45240,1295,PAYPOINT NETWORKS LTD
Police - Vehicle Workshop Parts,45240,658.58,PARTS PLUS
Training Expenses (External),45240,10668,P W AUTOMOTIVE TRAINING LTD
Furniture General,45240,1070,OFFICE CHAIR RENOVATION
Training Expenses (External),45240,1095,NPCC
Recruitment - Advertising,45240,2500,NEWSQUEST MEDIA GROUP
Training Expenses (External),45240,1360,NDORS TRAINER
Training Expenses (External),45240,1200,NDORS TRAINER
Computer Software,45240,695,NCC SERVICES LIMITED
Recruitment - Advertising,45240,1105,NAVY&GREY LTD
Recruitment - Advertising,45240,6935,NATIONAL WORLD PUBLISHING LTD (FORMERLY JPI MEDIA PUBLISHING LTD)
Vehicle & Plant R&M (External),45240,583.65,NATIONAL WINDSCREENS NW
Police - Counsel Fees,45240,2214,MR GEORGE THOMAS
Equipment General,45240,916.1,MILLERS UK LTD
Building Cleaning Contract (External),45240,104296.47000000002,LANCASHIRE COUNTY COUNCIL (200398)
Police - Other Third Party Payments,45240,2461.12,LANCASHIRE COUNTY COUNCIL (200398)
Police - Planned Preventative Maintenance,45240,3250.47,KENDRA ENERGY SOLUTIONS LTD
Police - Airwave,45240,1450,JUMA COMMUNICATIONS LTD
Equipment General,45240,620,JACKSON SKIPS & RECYCLING LTD
Equipment General,45240,720,JACKSON SKIPS & RECYCLING LTD
Computer Licences,45240,851,INFOCAP TECHNOLOGIES LTD
PCC Commissioning - Public Protection,45240,32604,HUMRAAZ
Partnership Grants,45240,7555.11,HM PRISON & PROBATION SERVICE
Police - Surgeons,45240,134904.24,HCRG MEDICAL SERVICES
Clothing & Uniform,45240,886.23,ALTBERG LTD
Equipment General,45240,1000,HARPER SHAW INVESTIGATION CONSULTANTS LTD
Vehicle & Plant R&M (External),45240,858.67,HALFORDS
Lubricants,45240,813.75,FUCHS LUBRICANTS (UK) PLC
Subsistence,45240,632.67,FARINGTON LODGE
Police Reactive Maintenance - Building Services,45240,1097,E-TEC ELECTRICAL LTD
Police Reactive Maintenance - Building Services,45240,1094.06,E-TEC ELECTRICAL LTD
Police - Trainer/Lecturer Fees,45240,1400,ENLIGHTEN TRAINING & CONSULTANCY LTD
Police - Trainer/Lecturer Fees,45240,1400,ENLIGHTEN TRAINING & CONSULTANCY LTD
Police - Trainer/Lecturer Fees,45240,4880,ENLIGHTEN TRAINING & CONSULTANCY LTD
Training Expenses (External),45240,560,ENLIGHTEN TRAINING & CONSULTANCY LTD
Police - Trainer/Lecturer Fees,45240,1400,ENLIGHTEN TRAINING & CONSULTANCY LTD
Police - Trainer/Lecturer Fees,45240,5700,ENLIGHTEN TRAINING & CONSULTANCY LTD
Clothing & Uniform,45240,3596,ENDURA LTD
Clothing & Uniform,45240,1395,ENDURA LTD
Clothing & Uniform,45240,1395,ENDURA LTD
Equipment General,45240,775.97,COLLINS & SONS LOCKSMITHS
Food Provisions General,45240,545.02,COFFEE 1652
Food Provisions General,45240,506.37,COFFEE 1652
Training Expenses (External),45240,730,CJS EVENT SOLUTIONS LTD
Police - Detained Persons - Other Expenses,45240,2407,CHARLES FELLOWS SUPPLIES LTD
Police Reactive Maintenance - Building Fabric,45240,1520,CCH JOINERY (PRESTON) LTD
Ext  Adapt  Improv  Etc,45240,2375,CCH JOINERY (PRESTON) LTD
Police - Vehicle Workshop Equipment,45240,501.11,CALIBRATION & CONSULTANCY SERVICES (UK) LTD
Police - Horse Expenses,45240,895.75,ANIMAL RELATED SERVICES
Equipment General,45240,585.45,BRAKES CATERING EQUIPMENT
Police - Other Third Party Payments,45240,3017.5,BLACKPOOL FC COMMUNITY TRUST
Police - Other Third Party Payments,45240,3014.31,BLACKPOOL FC COMMUNITY TRUST
Police - Other Third Party Payments,45240,50866.95,BLACKPOOL COUNCIL
Food Provisions General,45240,2152.26,BIDFOOD
Hire of Transport,45240,1289,ASSURED AUTOMOBILE ASSESSORS LTD [205138]
Police Reactive Maintenance - Building Fabric,45240,914.6800000000001,ASHTON JOINERY & BUILDING SERVICES LTD
Police Reactive Maintenance - Building Fabric,45240,867.9,ASHTON JOINERY & BUILDING SERVICES LTD
Police Reactive Maintenance - Building Fabric,45240,560.5500000000001,ASHTON JOINERY & BUILDING SERVICES LTD
Police Reactive Maintenance - Building Fabric,45240,701.3399999999999,ASHTON JOINERY & BUILDING SERVICES LTD
Police Reactive Maintenance - Building Fabric,45240,541.48,ASHTON JOINERY & BUILDING SERVICES LTD
Police Reactive Maintenance - Building Fabric,45240,6675.8,ASHTON JOINERY & BUILDING SERVICES LTD
Police Reactive Maintenance - Building Fabric,45240,568.33,ASHTON JOINERY & BUILDING SERVICES LTD
Police Reactive Maintenance - Building Fabric,45240,523.39,ASHTON JOINERY & BUILDING SERVICES LTD
Police Reactive Maintenance - Building Fabric,45240,538.8,ASHTON JOINERY & BUILDING SERVICES LTD
Police Reactive Maintenance - Building Fabric,45240,924,ASHTON JOINERY & BUILDING SERVICES LTD
Police Reactive Maintenance - Building Fabric,45240,633.6,ASHTON JOINERY & BUILDING SERVICES LTD
Police Reactive Maintenance - Building Fabric,45240,1366.01,ASHTON JOINERY & BUILDING SERVICES LTD
Police Reactive Maintenance - Building Fabric,45240,1186.3400000000001,ASHTON JOINERY & BUILDING SERVICES LTD
Police Reactive Maintenance - Building Fabric,45240,1617.77,ASHTON JOINERY & BUILDING SERVICES LTD
Police Reactive Maintenance - Building Fabric,45240,3194.62,ASHTON JOINERY & BUILDING SERVICES LTD
Police Reactive Maintenance - Building Fabric,45240,3862.08,ASHTON JOINERY & BUILDING SERVICES LTD
Programmed Work,45240,2551.19,ASHTON JOINERY & BUILDING SERVICES LTD
Hire of Transport,45240,614.32,ARNOLD CLARK CAR & VAN RENTAL
Vehicle & Plant R&M (External),45240,1959.55,AP FLEET SERVICES LTD
Police - Other Third Party Payments,45244,208544,UKROED LTD
Police - Settlements - Staff,45244,30000,THIRD PARTY SUPPLIER
Clothing & Uniform,45244,515.16,SHORROCK MOTORCYCLES LTD
Agency Staff,45244,652.37,ADECCO UK LTD
Consultant Fees,45244,4598,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45244,5016,REED SPECIALIST RECRUITMENT LTD
Works Fees (External),45244,3106,PORTALPLANQUEST LTD
Police - Airwave,45244,31809.11,OFCOM PMSE
Training Expenses (External),45244,581,NDORS TRAINER
Works Fees (External),45244,16368,LANES GROUP PLC
Vehicle Purchase,45244,49465.53,INTOMOVE LTD
Police - Firearms Ammunition,45244,9990,GMK LTD
Police - Mobile Data,45244,6218.21,EVERYTHING EVERYWHERE LTD
Police - Mobile Data,45244,6203.82,EVERYTHING EVERYWHERE LTD
Food Provisions General,45244,517.54,COFFEE 1652
Computer Licences,45244,3184.81,CELL:CM
Hire of Transport,45244,5052.94,CAR-PORT UK
Police - Horse Expenses,45244,1003.1999999999999,ANIMAL RELATED SERVICES
Police - Dog Expenses,45244,550,ANIMAL RELATED SERVICES
Hire of Transport,45244,538.44,ARNOLD CLARK CAR & VAN RENTAL
Vehicle Purchase,45246,25984.4,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Telecommunications Equipment,45246,22250,4NET TECHNOLOGIES LTD
Catering Service (External),45246,838.9300000000001,TURNER PRICE LTD
Catering Service (External),45246,1687.92,TURNER PRICE LTD
Training Expenses (External),45246,4019.66,ABILITY SMART LTD
Police - Agents Fees,45246,675,THIRD PARTY SUPPLIER
Police Reactive Maintenance - Building Services,45246,675.75,SECURITY SOLUTIONS
Equipment General,45246,2507.2300000000005,SCENESAFE
Police - Conferences,45246,4440,SCENEPRO LTD
Telecommunications Equipment,45246,13331.2,SCC
Computer Equipment (Hardware),45246,2305.68,SCC
Computer Hardware,45246,548.95,SCC
Police - Other Specialist Operational Equipment,45246,1960,SAME DAY PLC GUARDIAN SERVICES
Consultant Fees,45246,4389,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45246,10423.88,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45246,5225,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45246,5120.5,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45246,706.85,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45246,4467.38,REED SPECIALIST RECRUITMENT LTD
Recruitment - Advertising,45246,715,PSL PRINT MANAGEMENT LTD
Printing - External,45246,1800,PSL PRINT MANAGEMENT LTD
Police Reactive Maintenance - Building Services,45246,1641.6,PREMIER OF LYTHAM  LTD
Consultant Fees,45246,2640,POTENTIAL UNEARTHED LTD
Training Expenses (External),45246,3120,POLICE AND CRIME COMMISSIONER FOR SOUTH WALES
Police - Vehicle Workshop Parts,45246,787.69,PARTS PLUS
Police - Media Campaigns,45246,675,ONE SMART COOKIE COMMUNICATIONS
Equipment General,45246,659.99,NISBETS PLC
Computer Licences,45246,33190,NEC SOFTWARE SOLUTIONS (FORMERLY NORTHGATE PUBLIC SERVICES (UK) LTD)
Police - Guest Speakers,45246,500,MR MICHAEL BARTON
Clothing & Uniform,45246,1022.58,MICHAEL LUPTON ASSOCIATES LTD
Clothing & Uniform,45246,4237.5,MICHAEL LUPTON ASSOCIATES LTD
Police - Other Third Party Payments,45246,251804.72,MAYOR'S OFFICE FOR POLICING & CRIME (MET POLICE AUTH)
Police  - Additional Cleaning,45246,15206.410000000002,LANCASHIRE COUNTY COUNCIL (200398)
Petrol,45246,42631.77,ALLSTAR BUSINESS SOLUTIONS LTD [ARVAL PHH BUSINESS SOLUTIONS LTD]
Building Cleaning Contract (External),45246,104932.96000000004,LANCASHIRE COUNTY COUNCIL (200398)
Recruitment - Advertising,45246,790.75,HAVAS PEOPLE LTD
Recruitment - Advertising,45246,640.6,HAVAS PEOPLE LTD
Furniture - H&S,45246,670,GRESHAM OFFICE FURNITURE LTD
Police - Other Third Party Payments,45246,2460,FLEETWOOD TOWN COMMUNITY TRUST
Police - Other Third Party Payments,45246,2785,FLEETWOOD TOWN COMMUNITY TRUST
Police - Other Third Party Payments,45246,2000,FLEETWOOD TOWN COMMUNITY TRUST
Police - Other Third Party Payments,45246,1910,FLEETWOOD TOWN COMMUNITY TRUST
Agency Staff,45246,1350,DRS. DIRECT
Equipment General,45246,6540,D.TEC INTERNATIONAL LTD
Equipment General,45246,6525,D.TEC INTERNATIONAL LTD
Equipment General,45246,3202,CUBIC TRANSPORTATION SYSTEMS (ITMS) LTD
Police - Other Third Party Payments,45246,2970,CLARETS IN THE COMMUNITY LTD
Police - Other Third Party Payments,45246,2888.18,CLARETS IN THE COMMUNITY LTD
Police - Other Third Party Payments,45246,2912.52,CLARETS IN THE COMMUNITY LTD
Police - Vehicle Workshop Parts,45246,835.87,CICELEY COMMERCIALS LTD [227519]
Police - FSS,45246,805.2,CELLMARK
Police - FSS,45246,541.2,CELLMARK
Police - FSS,45246,7766,CELLMARK
Police - FSS,45246,1849.1,CELLMARK
Police - FSS,45246,3592.6,CELLMARK
Computer Equipment (Hardware),45246,9347.08,CDW UK LTD
Computer Equipment (Hardware),45246,4673.54,CDW UK LTD
Hire of Transport,45246,783,CAR-PORT UK
Clothing & Uniform,45246,3549.8,B K S LEATHER
Ext  Adapt  Improv  Etc,45246,1050,ASSA ABLOY SECURITY DOORS
Police Reactive Maintenance - Building Fabric,45246,900.57,ASHTON JOINERY & BUILDING SERVICES LTD
Programmed Service Contracts,45246,2280,ASHTON JOINERY & BUILDING SERVICES LTD
Ext  Adapt  Improv  Etc,45246,7687.89,ASHTON JOINERY & BUILDING SERVICES LTD
Programmed Service Contracts,45246,7835.02,ASHTON JOINERY & BUILDING SERVICES LTD
Police Reactive Maintenance - Building Fabric,45246,6663.48,ASHTON JOINERY & BUILDING SERVICES LTD
Programmed Service Contracts,45246,642.28,ASHTON JOINERY & BUILDING SERVICES LTD
Consultant Fees,45251,18284.58,VICTIM SUPPORT LANCASHIRE
Consultant Fees,45251,2971.57,VICTIM SUPPORT LANCASHIRE
Consultant Fees,45251,22738.13,VICTIM SUPPORT LANCASHIRE
Catering Service (External),45251,2196.2799999999997,TURNER PRICE LTD
