* Expenditure Category,* Date,TOTAL,* SUPPLIER FINAL
Clothing & Uniform,45265,508.4,MICHAEL LUPTON ASSOCIATES LTD
Clothing & Uniform,45265,11918,MEHLER VARIO SYSTEM GMBH
Clothing & Uniform,45265,1458.6,MEHLER VARIO SYSTEM GMBH
Equipment General,45265,514,LUSTALUX LTD
Vehicle & Plant R&M (External),45265,1500,K N TRANSMISSIONS
Waste Collection Charges,45265,990,JACKSON SKIPS & RECYCLING LTD
Police - Telecom Forensics,45265,89940.76000000001,HOME OFFICE
Police - Vehicle Workshop Parts,45265,576.25,GSF CAR PARTS LTD
Police - Vehicle Workshop Parts,45265,689.94,EVANS HALSHAW (PRESTON) LTD
Police - Other Third Party Payments,45265,1540.88,ECRI INSTITUTE
Police - Pathologists Fees,45265,3058.82,DR C A WILSON
Police - Pathologists Fees,45265,3058.82,DR C A WILSON
Food Provisions General,45265,650.19,COFFEE 1652
Training Expenses (External),45265,1100,CJS EVENT SOLUTIONS LTD
Training Expenses (External),45265,970,CJS EVENT SOLUTIONS LTD
Computer Licences,45265,2500,CHORUS INTELLIGENCE LTD
Police - Detained Persons - Other Expenses,45265,1792,CHARLES FELLOWS SUPPLIES LTD
Police -Stray / Dangerous Animals,45265,632.6,ANIMAL RELATED SERVICES
Police -Stray / Dangerous Animals,45265,568.33,ANIMAL RELATED SERVICES
Police -Stray / Dangerous Animals,45265,1245.42,ANIMAL RELATED SERVICES
Police -Stray / Dangerous Animals,45265,647.5,ANIMAL RELATED SERVICES
Training Expenses (External),45265,2100,CELLMARK
Police - FSS,45265,2537.7,CELLMARK
Police - FSS,45265,3076.7,CELLMARK
Police - FSS,45265,695.2,CELLMARK
Police - FSS,45265,704,CELLMARK
Police Reactive Maintenance - Building Fabric,45265,7445,CCH JOINERY (PRESTON) LTD
Hire of Transport,45265,522,CAR-PORT UK
Hire of Transport,45265,4284,CAR-PORT UK
Police - Vehicle Workshop Parts,45265,841.33,BROWNS MITSUBISHI
Police - Damage to Property / Boarding Up,45265,4327.8,BOING RAPID SECURE LTD
Vehicle & Plant R&M (External),45265,1083.81,AP FLEET SERVICES LTD
Vehicle & Plant R&M (External),45265,555,AP FLEET SERVICES LTD
Police - Detained Persons - Meals / Refreshments,45265,932.79,BIDFOOD
Equipment General,45265,7246.5,AVR GROUP LIMITED
Equipment General,45265,5946,AVR GROUP LIMITED
Hire of Transport,45265,538.44,ARNOLD CLARK CAR & VAN RENTAL
Hire of Transport,45265,538.44,ARNOLD CLARK CAR & VAN RENTAL
Hire of Transport,45265,538.44,ARNOLD CLARK CAR & VAN RENTAL
Fixture & Fittings - General,45267,925.05,ZIP WATER (FORMALLY INSTANTA LIMITED)
Computer Maintenance,45267,4297,UNISYS LIMITED
Police - Other Investigative Expenses,45267,7364.75,THIRD PARTY SUPPLIER
Computer Licences,45267,48520.65,THIRD PARTY SUPPLIER
Delegated Grounds Maintenance,45267,586.42,SOCIETE GENERALE EQUIPMENT FINANCE LTD
Police - Scientific Support Equipment,45267,1026.54,SCENESAFE
Computer Equipment (Hardware),45267,4614.23,SCC
Postage & Carriage,45267,651.8,SCC
Police - Waste Collection - ERP,45267,2730,SAME DAY PLC GUARDIAN SERVICES
Consultant Fees,45267,6650,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45267,12461.62,REED SPECIALIST RECRUITMENT LTD
PCC Commissioning - Community Liason,45267,10000,PRESTON & SOUTH RIBBLE (NORTH) STREET PASTORS
Police Reactive Maintenance - Building Services,45267,2950.5899999999997,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45267,2026,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45267,4987.6,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45267,2482.28,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45267,2232.8,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45267,3889.06,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45267,2552.7000000000003,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45267,2931.28,PREMIER OF LYTHAM  LTD
Police - VIPER,45267,39309,POLICE & CRIME COMMISSIONER FOR WEST YORKSHIRE
Police - Statutory Maintenance,45267,724.58,PICKERINGS EUROPE LIMITED
Police - Waste Collection Charges - Clinical,45267,1131.71,PHS GROUP PLC
Police - Waste Collection Charges - Clinical,45267,797.57,PHS GROUP PLC
Rates,45267,1740,PENDLE BOROUGH COUNCIL
Police - Health & Safety - Occ Health,45267,2115,NORTH WEST POLICE BENEVOLENT FUND
Training Expenses (External),45267,1134,NDORS TRAINER
Training Expenses (External),45267,880,NDORS TRAINER
Training Expenses (External),45267,1127,NDORS TRAINER
Training Expenses (External),45267,560,NDORS TRAINER
Training Expenses (External),45267,647,NDORS TRAINER
Training Expenses (External),45267,828,NDORS TRAINER
Training Expenses (External),45267,1119.5,NDORS TRAINER
Training Expenses (External),45267,574,NDORS TRAINER
Training Expenses (External),45267,2369,NDORS TRAINER
Training Expenses (External),45267,880,NDORS TRAINER
Training Expenses (External),45267,880,NDORS TRAINER
Training Expenses (External),45267,1280,NDORS TRAINER
Training Expenses (External),45267,640,NDORS TRAINER
Training Expenses (External),45267,974,NDORS TRAINER
Training Expenses (External),45267,734,NDORS TRAINER
Police - Counsel Fees,45267,2625,MR SEBASTIAN NAUGHTON
Police - Agents Fees,45267,500,MISS MEGAN TOLLITT
Agency Staff,45267,15298.83,MACE LTD
Agency Staff,45267,3671.72,MACE LTD
Agency Staff,45267,18358.6,MACE LTD
Agency Staff,45267,3059.7700000000023,MACE LTD
Consultant Fees,45267,5935.9,LOIS BURTON LTD
Computer Maintenance,45267,932.94,LEIDOS INNOVATIONS UK LTD
Computer Hardware,45267,1173.38,LANCASHIRE COUNTY COUNCIL (200398)
Equipment General,45267,781.29,KEELING CATERING ENGINEERS LTD
Police - Counsel Fees,45267,2475,JOHN BEGGS QC
Consultant Fees,45267,18400,HAMPTON TRUST
Clothing & Uniform,45267,2560.22,ALTBERG LTD
Clothing & Uniform,45267,1737.8,ALTBERG LTD
Police - Vehicle Workshop Parts,45267,644.12,HALLIWELL JONES LIMITED SOUTHPORT
Police - Vehicle Workshop Parts,45267,1769.35,HALLIWELL JONES LIMITED SOUTHPORT
Police - Vehicle Workshop Parts,45267,678.98,HALLIWELL JONES LIMITED SOUTHPORT
Police - Vehicle Workshop Parts,45267,691.5,GSF CAR PARTS LTD
Furniture General,45267,960,GRESHAM OFFICE FURNITURE LTD
Programmed Work,45267,18306,GABLES UK LTD
Programmed Work,45267,15255,GABLES UK LTD
Police - Scientific Support Equipment,45267,7090.0599999999995,FOSTER & FREEMAN LIMITED
Police Reactive Maintenance - Building Services,45267,1101,E-TEC ELECTRICAL LTD
Police Reactive Maintenance - Building Services,45267,832.8,E-TEC ELECTRICAL LTD
Agency Staff,45267,1012.5,DRS. DIRECT
PCC Commissioning - Community Liason,45267,10000,COLNE YOUTH ACTION GROUP
Computer Licences,45267,184358.25,CLUE COMPUTING COMPANY
Police - Other Third Party Payments,45267,2941.18,CLARETS IN THE COMMUNITY LTD
Police - Other Third Party Payments,45267,2970,CLARETS IN THE COMMUNITY LTD
Police - Detained Persons - Other Expenses,45267,3570,CHARLES FELLOWS SUPPLIES LTD
Police Reactive Maintenance - Building Fabric,45267,1695,CCH JOINERY (PRESTON) LTD
Hire of Transport,45267,3132,CAR-PORT UK
Hire of Transport,45267,783,CAR-PORT UK
Hire of Transport,45267,1044,CAR-PORT UK
PCC Commissioning - Community Liason,45267,10000,BURNLEY PENDLE & ROSSENDALE COUNCIL FOR VOLUNTARY SERVICE
Police - Other Third Party Payments,45267,3017.5,BLACKPOOL FC COMMUNITY TRUST
Police - Other Third Party Payments,45267,1471.64,BLACKPOOL FC COMMUNITY TRUST
PCC Commissioning - Community Liason,45267,10000,BLACKPOOL FC COMMUNITY TRUST
Waste Collection Charges,45267,551.22,BIFFA WASTE SERVICES LTD
Hire of Transport,45267,538.44,ARNOLD CLARK CAR & VAN RENTAL
Hire of Transport,45267,614.32,ARNOLD CLARK CAR & VAN RENTAL
Postage & Carriage,45268,4000,QUADIENT UK LTD
Petrol,45268,41007.58,ALLSTAR BUSINESS SOLUTIONS LTD [ARVAL PHH BUSINESS SOLUTIONS LTD]
Petrol,45268,42683.839999999975,ALLSTAR BUSINESS SOLUTIONS LTD [ARVAL PHH BUSINESS SOLUTIONS LTD]
Cleaning & Domestic General,45272,804.44,WRENNALLS GROUP LTD
Clothing & Uniform,45272,2294.7,WILLIAM SUGDEN & SONS LTD
Equipment General,45272,999.4300000000001,WILLIAM MOORE & SON (PRESTON) LTD
PCC Commissioning - Community Liason,45272,9600,WIGAN ATHLETIC COMMUNITY TRUST
Police - Other Third Party Payments,45272,176106,UKROED LTD
Catering Service (External),45272,2793.49,TURNER PRICE LTD
Catering Service (External),45272,510.38,TURNER PRICE LTD
Catering Service (External),45272,555.67,TURNER PRICE LTD
Vehicle Purchase,45272,7375.36,A J ENGINEERING SERVICES LTD
Police - Other Third Party Payments,45272,3000,TRUMACAR CP SCHOOL FUND
Police - Other Third Party Payments,45272,846.87,THIRD PARTY SUPPLIER
PCC Commissioning - Community Liason,45272,8250,ACCRINGTON CHRISTIANS TOGETHER
Police - Other Third Party Payments,45272,535.32,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45272,541.29,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45272,742.22,THIRD PARTY SUPPLIER
Telecommunications Equipment,45272,877.11,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45272,718,THIRD PARTY SUPPLIER
Training Expenses (External),45272,920,THIRD PARTY FORENSIC SERVICES
Clothing & Uniform,45272,2082,THE OUTDOORS COMPANY UK LIMITED
Police - Health & Safety - Occ Health,45272,4200,ST JAMES MEDICAL CENTRE
Works Fees (External),45272,970,SSS PUBLIC SAFETY LTD
Postage & Carriage,45272,1005,SONIC COMMUNICATIONS (INTERNATIONAL) LTD
Hospitality,45272,1666.67,SODEXO LTD
Conference Expenses,45272,1666.67,SODEXO LTD
Conference Expenses,45272,1666.67,SODEXO LTD
Hospitality,45272,1666.67,SODEXO LTD
Equipment General,45272,756.8,SCENESAFE
Computer Equipment (Hardware),45272,20005.5,SCC
Computer Equipment (Hardware),45272,20005.5,SCC
Computer Licences,45272,20138.29,SCC
Equipment General,45272,9748.75,SCC
Vehicle Purchase,45272,19803.58,RENAULT MANCHESTER
Site Investigations,45272,7900,REID JONES PARTNERSHIP
Works Fees (External),45272,22960.74,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45272,2508,REED SPECIALIST RECRUITMENT LTD
Fixture & Fittings - General,45272,570,RED ROSE BLINDS
Police - Health & Safety - Occ Health,45272,636.44,AERO HEALTHCARE
Police Reactive Maintenance - Building Services,45272,607.9200000000001,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45272,4432.900000000001,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45272,2048,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45272,6313.46,PREMIER OF LYTHAM  LTD
Police - Scientific Support Equipment,45272,3311.4,AIR PRODUCTS PLC
Training Expenses (External),45272,1172,NATIONAL CRIME AGENCY
Works Fees (External),45272,8928.7,LUCION ENVIRONMENTAL LTD
Works Fees (External),45272,9788.7,LUCION ENVIRONMENTAL LTD
Consultant Fees,45272,950,LAVAT CONSULTING LTD. T/A PSTAX
PCC Commissioning - Community Liason,45272,10000,LANCASTER CITY COUNCIL [17340]
Rents - General,45272,2141,LANCASHIRE FIRE & RESCUE
Rents - General,45272,625,LANCASHIRE FIRE & RESCUE
Petrol,45272,43606.73000000001,ALLSTAR BUSINESS SOLUTIONS LTD [ARVAL PHH BUSINESS SOLUTIONS LTD]
Police - Counsel Fees,45272,35887.5,JOHN BEGGS QC
PCC Commissioning - Community Liason,45272,7180,HYNDBURN BOROUGH COUNCIL
Police - Doctors Statements,45272,580,HEALTHWORK
Furniture - H&S,45272,535,GRESHAM OFFICE FURNITURE LTD
Equipment General,45272,598.92,FITNESS WAREHOUSE LTD T/A GYM GEAR
Police - Mobile Data,45272,10194.24,EVERYTHING EVERYWHERE LTD
Ext  Adapt  Improv  Etc,45272,30318.73,EQUANS REGENERATION LTD
Agency Staff,45272,1350,DRS. DIRECT
PCC Commissioning - Community Liason,45272,23520,CHORLEY BOROUGH COUNCIL
Police - Detained Persons - Other Expenses,45272,598.69,CHILD ACTION NORTHWEST
Police - Detained Persons - Other Expenses,45272,1714.69,CHILD ACTION NORTHWEST
Police - Detained Persons - Other Expenses,45272,1458.94,CHILD ACTION NORTHWEST
Police - Detained Persons - Other Expenses,45272,534.75,CHILD ACTION NORTHWEST
Police - Detained Persons - Other Expenses,45272,1395,CHILD ACTION NORTHWEST
Police - Detained Persons - Other Expenses,45272,1586.81,CHILD ACTION NORTHWEST
Police - Detained Persons - Other Expenses,45272,1063.69,CHILD ACTION NORTHWEST
Other Energy Costs,45272,1521.02,CERTAS ENERGY UK LTD
PCC Commissioning - Community Liason,45272,2600,CERTAIN CURTAIN THEATRE
Police - Horse Expenses,45272,1360,ANIMAL RELATED SERVICES
Police - FSS,45272,6879.62,CELLMARK
Police - FSS,45272,2066.9,CELLMARK
Police - Property External Fees,45272,856.4,CAPSTICKS SOLICITORS LLP
Waste Collection Charges,45272,2266.7099999999996,BIFFA WASTE SERVICES LTD
Police - Detained Persons - Meals / Refreshments,45272,922.85,BIDFOOD
Lump Sum,45272,1938.4,AVC WISE LTD
Lump Sum,45272,2014.21,AVC WISE LTD
Ext  Adapt  Improv  Etc,45272,4950,ASSA ABLOY SECURITY DOORS
Hire of Transport,45272,538.44,ARNOLD CLARK CAR & VAN RENTAL
Hire of Transport,45272,538.44,ARNOLD CLARK CAR & VAN RENTAL
Equipment,45274,990.7500000000001,WILLIAM MOORE & SON (PRESTON) LTD
Police - Mobile Data,45274,1776,VODAFONE LTD
Delegated Grounds Maintenance,45274,1080,A J BRETHERTON GROUNDWORK & PLANT HIRE
Catering Service (External),45274,590.96,TURNER PRICE LTD
Catering Service (External),45274,539.62,TURNER PRICE LTD
Catering Service (External),45274,2090.8500000000004,TURNER PRICE LTD
Police - Other Third Party Payments,45274,2150,TOWERCOURT TRAINING SOLUTIONS LTD
Clothing & Uniform,45274,3723,TOTAL INSIGNIA LTD
Equipment General,45274,2293.74,THOMAS FATTORINI LTD
Police - Trainer/Lecturer Fees,45274,525.2,THIRD PARTY SUPPLIER
Police - Trainer/Lecturer Fees,45274,500,THIRD PARTY SUPPLIER
Police - Trainer/Lecturer Fees,45274,513.95,THIRD PARTY SUPPLIER
Police - Trainer/Lecturer Fees,45274,529.7,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45274,770,THIRD PARTY SUPPLIER
Police - Trainer/Lecturer Fees,45274,518,THIRD PARTY SUPPLIER
Police - FSS,45274,13415.6,THIRD PARTY FORENSIC SERVICES
Police - FSS,45274,2476.43,THIRD PARTY FORENSIC SERVICES
Police - FSS,45274,14437.72,THIRD PARTY FORENSIC SERVICES
Consultant Fees,45274,215100,THE BRIDGE (IT RECRUITMENT) LIMITED
Other Expenses,45274,765,THE AWARD SCHEME LTD
Training Expenses (External),45274,7197,THE ASSOCIATION OF FLEET PROFESSIONALS LIMITED
Programmed Work,45274,3471,STEWART FERSINA LTD
Cleaning & Domestic General,45274,7997.49,SOUTH RIBBLE BOROUGH COUNCIL
ICT Stock / Stores,45274,2526,SCC
Computer Equipment (Hardware),45274,47307.28,SCC
Training Expenses (External),45274,1000,QA LTD
Training Expenses (External),45274,1000,QA LTD
Police - Vehicle Workshop Parts,45274,539.28,PRESTON TPS (TRADING PARTS SPECIALIST)
Other Expenses,45274,573.53,PPL PRS LTD
Training Expenses (External),45274,2310,POLICE CRIME PREVENTION INITIATIVES LIMITED
Police Reactive Maintenance - Building Fabric,45274,1310.38,PILKINGTON BROS (CHURCH) LTD
Furniture - H&S,45274,666.44,PILKINGTON BROS (CHURCH) LTD
Police - Telecom Forensics,45274,1400,PAYPOINT NETWORKS LTD
Consultant Fees,45274,650,NORTH FILM STUDIOS LIMITED
Training Expenses (External),45274,1360,NDORS TRAINER
Training Expenses (External),45274,960,NDORS TRAINER
Training Expenses (External),45274,960,NDORS TRAINER
Training Expenses (External),45274,640,NDORS TRAINER
Training Expenses (External),45274,807,NDORS TRAINER
Training Expenses (External),45274,640,NDORS TRAINER
Police - Counsel Fees,45274,825,MS VICTORIA VON WACHTER
Police - Counsel Fees,45274,700,MISS CHELSEA BROOKE WARD
Clothing & Uniform,45274,706.4,MICHAEL LUPTON ASSOCIATES LTD
Police - Collaboration Regional Toxicology Service,45274,44961,MERSEYSIDE POLICE AUTHORITY
Police - Collaboration Regional Courier Service,45274,5221,MERSEYSIDE POLICE AUTHORITY
Equipment General,45274,2995,LASER TECH UK LTD
Police - Airwave,45274,1462.5,JUMA COMMUNICATIONS LTD
Police - Vehicle Workshop Parts,45274,1172,JEPSON & CO LTD
Clothing & Uniform,45274,995,HEROQUIP
Police - Promotional Materials,45274,500,HECKFORD PRINTERS LTD
Police - Vehicle Workshop Parts,45274,678.98,HALLIWELL JONES LIMITED SOUTHPORT
Police - Vehicle Workshop Parts,45274,1769.35,HALLIWELL JONES LIMITED SOUTHPORT
Furniture General,45274,1950,GRESHAM OFFICE FURNITURE LTD
Police- Collaboration - CDSE,45274,24259.79,GEOFF SMITH ASSOCIATES LIMITED
Police Reactive Maintenance - Building Fabric,45274,7800,GABLES UK LTD
Police - Trainer/Lecturer Fees,45274,4880,ENLIGHTEN TRAINING & CONSULTANCY LTD
Police - Trainer/Lecturer Fees,45274,2240,ENLIGHTEN TRAINING & CONSULTANCY LTD
Police - Trainer/Lecturer Fees,45274,6150,ENLIGHTEN TRAINING & CONSULTANCY LTD
Police - Trainer/Lecturer Fees,45274,1960,ENLIGHTEN TRAINING & CONSULTANCY LTD
Clothing & Uniform,45274,1100,ENDURA LTD
Clothing & Uniform,45274,3693.75,ENDURA LTD
Clothing & Uniform,45274,1395,ENDURA LTD
Police - Media Campaigns,45274,20516,EMPORIA MARKETING LTD
Police - Other Third Party Payments,45274,1958.1,DR NICHOLAS JOHN TODD
Delegated Grounds Maintenance,45274,566.47,DICKLEIGH CHAINSAW SPECIALIST
Clothing & Uniform,45274,6193.85,DHL SUPPLY CHAIN
Clothing & Uniform,45274,2861.3,DHL SUPPLY CHAIN
Police - Other Third Party Payments,45274,5795,CRITICAL SIMULATIONS LTD
Equipment General,45274,647,CPC (COMBINED PRECISION COMPONENTS) PLC
Computer Licences,45274,2034.23,CHORUS INTELLIGENCE LTD
Rents - General,45274,812.45,CHORLEY BOROUGH COUNCIL
Police - FSS,45274,1113.75,CELLMARK
Police - FSS,45274,7533.35,CELLMARK
Police - FSS,45274,9553.5,CELLMARK
Police - FSS,45274,5466.45,CELLMARK
Police - FSS,45274,880,CELLMARK
Police - FSS,45274,3923.7,CELLMARK
Police - FSS,45274,3322,CELLMARK
Police - Other Third Party Payments,45274,19274.46,CABINET OFFICE
Vehicle & Plant R&M (External),45274,1113.99,AP FLEET SERVICES LTD
Computer Licences,45275,921828,AIRWAVE SOLUTIONS LTD
Consultant Fees,45279,22738.13,VICTIM SUPPORT LANCASHIRE
Catering Service (External),45279,2432.54,TURNER PRICE LTD
Catering Service (External),45279,873.16,TURNER PRICE LTD
Catering Service (External),45279,688.61,TURNER PRICE LTD
Police - Guest Speakers,45279,1000,TONY WHITTLE QPM
Catering Service (External),45279,756.45,TIFFIN SANDWICHES LTD
Subsistence,45279,675,THIRD PARTY SUPPLIER
Computer Hardware,45279,975.2,THIRD PARTY SUPPLIER
Computer Licences,45279,8737.11,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45279,546.08,THIRD PARTY SUPPLIER
Computer Licences,45279,8737.1,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45279,900,THIRD PARTY FORENSIC SERVICES
Agency Staff,45279,831.28,ACHIEVA GROUP LTD
Agency Staff,45279,1457.75,ACHIEVA GROUP LTD
Equipment General,45279,690,SCENESAFE
Equipment General,45279,995.08,SCENESAFE
Equipment General,45279,1207.9199999999996,SCENESAFE
Police - Vehicle Workshop Parts,45279,1156.03,RYBROOK
Police - Vehicle Workshop Parts,45279,1237.93,RYBROOK
Equipment General,45279,1577,ROSTRONS LOCKSMITHS
Equipment General,45279,1114.6,ROBINSON GALE-TASH UK LTD
Police - Other Third Party Payments,45279,960,RESTORATIVE JUSTICE COUNCIL
Consultant Fees,45279,8224.15,REED SPECIALIST RECRUITMENT LTD
Consolidated invoice suspense,45279,150318.03,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45279,4467.38,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45279,4219.19,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45279,689.35,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45279,4765.2,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45279,3971,REED SPECIALIST RECRUITMENT LTD
Postage & Carriage,45279,4000,QUADIENT UK LTD
Printing - External,45279,675,PSL PRINT MANAGEMENT LTD
Printing - External,45279,890,PSL PRINT MANAGEMENT LTD
Police Reactive Maintenance - Building Services,45279,3602.89,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45279,1499.03,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45279,4283.42,PREMIER OF LYTHAM  LTD
Programmed Service Contracts,45279,3552.5,PICKERINGS EUROPE LIMITED
Cleaning & Domestic General,45279,1079.1499999999999,PHS GROUP PLC
Police - Statutory Maintenance,45279,2722.61,PHS COMPLIANCE
Police - Vehicle Workshop Parts,45279,3059.17,PARTS PLUS
Training Expenses (External),45279,1120,NDORS TRAINER
Training Expenses (External),45279,1840,NDORS TRAINER
Training Expenses (External),45279,640,NDORS TRAINER
Police - Horse Expenses,45279,1285,MYERSCOUGH COLLEGE
Police - Horse Expenses,45279,1465,MYERSCOUGH COLLEGE
Police - Counsel Fees,45279,750,MS VICTORIA VON WACHTER
Police - Counsel Fees,45279,600,MS VICTORIA VON WACHTER
Clothing & Uniform,45279,706.4,MICHAEL LUPTON ASSOCIATES LTD
Clothing & Uniform,45279,706.4,MICHAEL LUPTON ASSOCIATES LTD
Clothing & Uniform,45279,706.4,MICHAEL LUPTON ASSOCIATES LTD
Clothing & Uniform,45279,1878,MICHAEL LUPTON ASSOCIATES LTD
Police - Scientific Support Equipment,45279,3018.67,MERCK LIFE SCIENCE UK LTD (FORMALLY SIGMA-ALDRICH CO LTD)
Clothing & Uniform,45279,850.9,MEHLER VARIO SYSTEM GMBH
Training Expenses (External),45279,2470.7,LGC LTD
Rents - General,45279,2471.33,LANCASHIRE COUNTY DEVELOPMENTS (PROPERTY) LTD
Police - Other Third Party Payments,45279,6000,LANCASHIRE COUNTY COUNCIL (200398)
Computer Hardware,45279,926.6,LANCASHIRE COUNTY COUNCIL (200398)
Police  - Additional Cleaning,45279,13867.720000000001,LANCASHIRE COUNTY COUNCIL (200398)
Petrol,45279,41723.170000000006,ALLSTAR BUSINESS SOLUTIONS LTD [ARVAL PHH BUSINESS SOLUTIONS LTD]
Petrol,45279,40639.840000000004,ALLSTAR BUSINESS SOLUTIONS LTD [ARVAL PHH BUSINESS SOLUTIONS LTD]
Equipment General,45279,8700,LANCASHIRE COUNTY COUNCIL (200398)
Equipment General,45279,19350,LANCASHIRE COUNTY COUNCIL (200398)
Police - Counsel Fees,45279,6187.5,JOHN BEGGS QC
Materials General,45279,2833.83,JAMIE EDWARD ROBINSON
Materials General,45279,2833.83,JAMIE EDWARD ROBINSON
Police - Surgeons,45279,134904.24,HCRG MEDICAL SERVICES
Clothing & Uniform,45279,5647.85,ALTBERG LTD
Vehicle & Plant R&M (External),45279,1296.42,HALFORDS
Police - Tyres,45279,11341.58,GOODYEAR SSC
Police Reactive Maintenance - Building Fabric,45279,9000,GABLES UK LTD
Police Reactive Maintenance - Building Fabric,45279,5000,GABLES UK LTD
Police - Autism Network,45279,700,FAMILY PSYCHOLOGY SERVICES LTD
Telecommunications Equipment,45279,363650,EVERYTHING EVERYWHERE LTD
Police - Other Third Party Payments,45279,2338.92,DR NICHOLAS JOHN TODD
Police - Pathologists Fees,45279,3009.58,DR J E MEDCALF
Police - Pathologists Fees,45279,3009.58,DR J E MEDCALF
Police - Pathologists Fees,45279,3066.92,DR J E MEDCALF
Police - Pathologists Fees,45279,3009.58,DR J E MEDCALF
Police - Pathologists Fees,45279,3072.8,DR J E MEDCALF
Police - Pathologists Fees,45279,3009.58,DR J E MEDCALF
Police - Other Third Party Payments,45279,2859.18,CLARETS IN THE COMMUNITY LTD
Police - Horse Expenses,45279,764.97,ANIMAL RELATED SERVICES
Police - Horse Expenses,45279,967.3699999999999,ANIMAL RELATED SERVICES
Police -Stray / Dangerous Animals,45279,4401.85,ANIMAL RELATED SERVICES
Police -Stray / Dangerous Animals,45279,6329.57,ANIMAL RELATED SERVICES
Police -Stray / Dangerous Animals,45279,3250.46,ANIMAL RELATED SERVICES
Police -Stray / Dangerous Animals,45279,11065.78,ANIMAL RELATED SERVICES
Police -Stray / Dangerous Animals,45279,993.01,ANIMAL RELATED SERVICES
Police -Stray / Dangerous Animals,45279,4278.23,ANIMAL RELATED SERVICES
Police -Stray / Dangerous Animals,45279,695.24,ANIMAL RELATED SERVICES
Police -Stray / Dangerous Animals,45279,1071.45,ANIMAL RELATED SERVICES
