* Expenditure Category,* Date,TOTAL,* SUPPLIER FINAL
Hire of Transport,45111,1025.36,ARNOLD CLARK CAR & VAN RENTAL
Waste Collection Charges,45111,2384,BIFFA WASTE SERVICES LTD
Police - Detained Persons - Meals / Refreshments,45111,517.06,BIDFOOD
Equipment General,45111,5463.5,AVR GROUP LIMITED
Equipment General,45111,4880.5,AVR GROUP LIMITED
Staff Long Service Award,45114,1248.5,WORCESTERSHIRE MEDAL SERVICE LTD
Vehicle Purchase,45114,1380,A J ENGINEERING SERVICES LTD
Police - Mobile Data,45114,750,VODAFONE LTD (215385)
Police - Other Specialist Operational Equipment,45114,1199.12,VIKING ARMS LTD
Police - Accreditation,45114,509.5,UNITED KINGDOM ACCREDITATION SERVICE
Catering Service (External),45114,596.25,TURNER PRICE LTD
Catering Service (External),45114,1479.69,TURNER PRICE LTD
Catering Service (External),45114,594.76,TURNER PRICE LTD
Purchase Of Land & Buildings,45114,3328893.21,TLT LLP
Subsistence,45114,1611,THIRD PARTY SUPPLIER
Computer Equipment (Hardware),45114,4502.28,THIRD PARTY SUPPLIER
Agency Staff,45114,722.85,ACHIEVA GROUP LTD
IT Consultancy,45114,3707.83,THIRD PARTY SUPPLIER
Postage & Carriage,45114,4535.26,THIRD PARTY SUPPLIER
Computer Equipment (Hardware),45114,8020.54,THIRD PARTY SUPPLIER
Police - Other Investigative Expenses,45114,6471.6,THIRD PARTY SUPPLIER
Equipment General,45114,3800,THIRD PARTY SUPPLIER
Equipment General,45114,3206.25,THIRD PARTY SUPPLIER
Police - FSS,45114,20810.47,THIRD PARTY FORENSIC SERVICES
Police - FSS,45114,3031.94,THIRD PARTY FORENSIC SERVICES
Police - FSS,45114,10791.2,THIRD PARTY FORENSIC SERVICES
Police - FSS,45114,11763.84,THIRD PARTY FORENSIC SERVICES
Equipment General,45114,799.68,THE ROYAL BRITISH LEGION POPPY APPEAL
IT Consultancy,45114,11200,THE BRIDGE (IT RECRUITMENT) LIMITED
IT Consultancy,45114,8550,THE BRIDGE (IT RECRUITMENT) LIMITED
IT Consultancy,45114,8775,THE BRIDGE (IT RECRUITMENT) LIMITED
IT Consultancy,45114,9500,THE BRIDGE (IT RECRUITMENT) LIMITED
IT Consultancy,45114,9000,THE BRIDGE (IT RECRUITMENT) LIMITED
IT Consultancy,45114,10000,THE BRIDGE (IT RECRUITMENT) LIMITED
IT Consultancy,45114,8100,THE BRIDGE (IT RECRUITMENT) LIMITED
IT Consultancy,45114,11000,THE BRIDGE (IT RECRUITMENT) LIMITED
IT Consultancy,45114,9500,THE BRIDGE (IT RECRUITMENT) LIMITED
IT Consultancy,45114,10000,THE BRIDGE (IT RECRUITMENT) LIMITED
IT Consultancy,45114,9500,THE BRIDGE (IT RECRUITMENT) LIMITED
Police - Drug Testing,45114,852.9,SURESCREEN DIAGNOSTICS LIMITED
Computer Software,45114,44062.25,STERIA SERVICES LIMITED
Computer Software,45114,4418,STERIA SERVICES LIMITED
Waste Collection Charges,45114,550,SOUTH RIBBLE BOROUGH COUNCIL
PCC Commissioning - Public Protection,45114,7500,SOUTH RIBBLE BOROUGH COUNCIL
Delegated Grounds Maintenance,45114,586.42,SOCIETE GENERALE EQUIPMENT FINANCE LTD
Equipment General,45114,1118.3999999999999,SCENESAFE
Equipment General,45114,678,SCENESAFE
Clothing & Uniform,45114,588.72,SCENESAFE
Equipment General,45114,531.37,SCENESAFE
Equipment General,45114,836.36,SCENESAFE
Waste Collection Charges,45114,2611,SAME DAY PLC GUARDIAN SERVICES
Postage & Carriage,45114,4597.36,ROYAL MAIL NW & NW
Equipment General,45114,1577,ROSTRONS LOCKSMITHS
Training Expenses (External),45114,640,RILEY DRIVER TRAINING SERVICES LTD
Training Expenses (External),45114,560,RILEY DRIVER TRAINING SERVICES LTD
Consultant Fees,45114,6270,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45114,713.48,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45114,10450,REED SPECIALIST RECRUITMENT LTD
Police Reactive Maintenance - Building Fabric,45114,614,RED ROSE BUILDING MAINTENANCE
Training Expenses (External),45114,40000,QA LTD
Police Reactive Maintenance - Building Services,45114,947,PUMP SERVICE AND ENGINEERING LTD
Police - Other Third Party Payments,45114,5880,PRESTON NORTH END COMMUNITY & EDUCATION TRUST
Police - Other Third Party Payments,45114,5273.83,PRESTON NORTH END COMMUNITY & EDUCATION TRUST
Police - Other Third Party Payments,45114,2760,PRESTON NORTH END COMMUNITY & EDUCATION TRUST
Police - Other Third Party Payments,45114,2357.3,PRESTON NORTH END COMMUNITY & EDUCATION TRUST
Police Reactive Maintenance - Building Services,45114,1411.52,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45114,4434.89,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45114,4461.09,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45114,2076.2599999999998,PREMIER OF LYTHAM  LTD
Police - Planned Preventative Maintenance,45114,1540,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45114,3673.67,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45114,5818.88,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45114,5566.43,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45114,3708.36,PREMIER OF LYTHAM  LTD
Police - Pathologists Fees,45114,3034.63,ALISON ARMOUR
Training Expenses (External),45114,3960,POTENTIAL UNEARTHED LTD
Training Expenses (External),45114,660,POTENTIAL UNEARTHED LTD
Police Reactive Maintenance - Building Services,45114,550,PHILIP CLEGG ENGINEERING
Computer Licences,45114,1324,ONEFILE LTD
Petrol,45114,38235.14,ALLSTAR BUSINESS SOLUTIONS LTD [ARVAL PHH BUSINESS SOLUTIONS LTD]
Petrol,45114,37491.810000000005,ALLSTAR BUSINESS SOLUTIONS LTD [ARVAL PHH BUSINESS SOLUTIONS LTD]
Computer Equipment (Hardware),45114,2100,NT SECURITY LTD
Equipment General,45114,1759.98,NISBETS PLC
Training Expenses (External),45114,960,NDORS TRAINER
Training Expenses (External),45114,814,NDORS TRAINER
Training Expenses (External),45114,1200,NDORS TRAINER
Training Expenses (External),45114,1520,NDORS TRAINER
Training Expenses (External),45114,1440,NDORS TRAINER
Training Expenses (External),45114,1360,NDORS TRAINER
Training Expenses (External),45114,960,NDORS TRAINER
Training Expenses (External),45114,2835,NDORS TRAINER
Training Expenses (External),45114,1120,NDORS TRAINER
Training Expenses (External),45114,1520,NDORS TRAINER
Training Expenses (External),45114,960,NDORS TRAINER
Training Expenses (External),45114,800,NDORS TRAINER
Police - Horse Expenses,45114,3070,MYERSCOUGH COLLEGE
Police - Counsel Fees,45114,1006,MR LEE BONNER
Police - Counsel Fees,45114,1500,MISS CHELSEA BROOKE WARD
Police - Community Engagement,45114,1700,LGBT OUT IN THE BAY 01
Equipment General,45114,17717.39,LANGUAGE LINE TI LTD
Equipment General,45114,20030.84,LANGUAGE LINE TI LTD
Equipment General,45114,24502.62,LANGUAGE LINE TI LTD
Police - Planned Preventative Maintenance,45114,660,KENDRA ENERGY SOLUTIONS LTD
Police - Planned Preventative Maintenance,45114,2795.5,KENDRA ENERGY SOLUTIONS LTD
Police - Counsel Fees,45114,12574.7,JOHN BEGGS QC
Training Expenses (External),45114,2146.19,INSPIRED LEARNING LTD
Police - Horse Expenses,45114,1360,ANIMAL RELATED SERVICES
Police - Horse Expenses,45114,1232.11,ANIMAL RELATED SERVICES
Police -Stray / Dangerous Animals,45114,627.16,ANIMAL RELATED SERVICES
Police -Stray / Dangerous Animals,45114,781.47,ANIMAL RELATED SERVICES
Police - Horse Expenses,45114,825,ANIMAL RELATED SERVICES
Police - Horse Expenses,45114,514,ANIMAL RELATED SERVICES
Police - Vehicle Workshop Parts,45114,518.55,HALLIWELL JONES LIMITED SOUTHPORT
Training Expenses (External),45114,2750,GREATER MANCHESTER COMBINED AUTHORITY - GMP
Vehicle & Plant R&M (External),45114,630,EVANS HALSHAW (PRESTON) LTD
Equipment General,45114,815,EASTERN SHIRES PURCHASING ORGANISATION
Clothing & Uniform,45114,1210,DMS PROTECTIVE EQUIPMENT LTD
Police - Vehicle Workshop Parts,45114,1695,CV COMPONENTS (FORMERLY ALLIANCE AUTOMOTIVE UK LV LTD)
Vehicle & Plant R&M (External),45114,932.91,AP FLEET SERVICES LTD
Training Expenses (External),45114,3519,COLLEGE OF POLICING
Recruitment - Expenses,45114,1536.9,COLLEGE OF POLICING
Police - Detained Persons - Other Expenses,45114,2853.94,CHILD ACTION NORTHWEST
Police - Detained Persons - Other Expenses,45114,1470.56,CHILD ACTION NORTHWEST
Police - Detained Persons - Other Expenses,45114,819.56,CHILD ACTION NORTHWEST
Police - Detained Persons - Other Expenses,45114,2046,CHILD ACTION NORTHWEST
Police - Detained Persons - Other Expenses,45114,2173.88,CHILD ACTION NORTHWEST
Equipment General,45114,512.54,ARCO LTD
Police - Other Third Party Payments,45114,5212,CHASING THE STIGMA
Computer Equipment (Hardware),45114,11117.68,CDW UK LTD
Computer Equipment (Hardware),45114,653.28,CDW UK LTD
Hire of Transport,45114,984.75,CAR-PORT UK
Training Expenses (External),45114,1330,CAMBRIDGE CENTRE FOR EVIDENCE BASED POLICING LTD
Police - Other Third Party Payments,45114,62500,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST
Police - Other Third Party Payments,45114,3170,BLACKBURN ROVERS COMMUNITY TRUST
Police - Other Third Party Payments,45114,2894.13,BLACKBURN ROVERS COMMUNITY TRUST
Police - Other Third Party Payments,45114,2655,BLACKBURN ROVERS COMMUNITY TRUST
Police - Other Third Party Payments,45114,2578.13,BLACKBURN ROVERS COMMUNITY TRUST
Police - Other Third Party Payments,45114,3170,BLACKBURN ROVERS COMMUNITY TRUST
Police - Other Third Party Payments,45114,2954.32,BLACKBURN ROVERS COMMUNITY TRUST
Police - Other Third Party Payments,45114,2655,BLACKBURN ROVERS COMMUNITY TRUST
Police - Other Third Party Payments,45114,2578.13,BLACKBURN ROVERS COMMUNITY TRUST
Hire of Transport,45114,538.44,ARNOLD CLARK CAR & VAN RENTAL
Hire of Transport,45114,538.44,ARNOLD CLARK CAR & VAN RENTAL
Hire of Transport,45114,538.44,ARNOLD CLARK CAR & VAN RENTAL
Hire of Transport,45114,538.44,ARNOLD CLARK CAR & VAN RENTAL
Hire of Transport,45114,538.44,ARNOLD CLARK CAR & VAN RENTAL
Vehicle Purchase,45119,27216.15,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45119,7165.36,A J ENGINEERING SERVICES LTD
Vehicle Purchase,45119,7165.36,A J ENGINEERING SERVICES LTD
Vehicle Purchase,45119,5399.87,A J ENGINEERING SERVICES LTD
Catering Service (External),45119,3248.12,TURNER PRICE LTD
Catering Service (External),45119,898.2099999999999,TURNER PRICE LTD
Clothing & Uniform,45119,13165.85,TRY & LILLY LTD
Clothing & Uniform,45119,3034.84,TRY & LILLY LTD
Vehicle & Plant R&M (External),45119,1310,THIRD PARTY SUPPLIER
Equipment General,45119,3800,THIRD PARTY SUPPLIER
Equipment General,45119,3206.25,THIRD PARTY SUPPLIER
Police - FSS,45119,14804.94,THIRD PARTY FORENSIC SERVICES
Police - Health & Safety - Occ Health,45119,3957.11,SONOVA UK LTD T/A GORDON MORRIS
Rents - General,45119,575,SHAW LODGE MILLS LTD
Water,45119,12890.91,SCOTTISH WATER BUSINESS STREAM
Equipment General,45119,982.63,SCENESAFE
Equipment General,45119,1335.1399999999999,SCENESAFE
Equipment General,45119,1743.3899999999999,SCENESAFE
Police - Vehicle Workshop Parts,45119,1019.92,RYBROOK
Police - Vehicle Workshop Parts,45119,1486.95,RYBROOK
Police - Property External Fees,45119,8621.25,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45119,9091.5,REED SPECIALIST RECRUITMENT LTD
Police Reactive Maintenance - Building Fabric,45119,614,RED ROSE BUILDING MAINTENANCE
Police Reactive Maintenance - Building Fabric,45119,1136,PSL PRINT MANAGEMENT LTD
Training Expenses (External),45119,640,NDORS TRAINER
Training Expenses (External),45119,741,NDORS TRAINER
Training Expenses (External),45119,821,NDORS TRAINER
Equipment General,45119,1567,LGC LTD
Vehicle Purchase,45119,27863.55,JORDANS & CO (HULL) LTD
Police - Doctors Statements,45119,725,HEALTHWORK
Police - Vehicle Workshop Parts,45119,1350,CV COMPONENTS (FORMERLY ALLIANCE AUTOMOTIVE UK LV LTD)
Clothing & Uniform,45119,2986.83,ARCO LTD
Police - FSS,45119,2001.6,CELLMARK
Police - FSS,45119,2265,CELLMARK
Police Reactive Maintenance - Building Fabric,45119,991.2,C & W BERRY LTD
Lump Sum,45119,1404.68,AVC WISE LTD
Police - Other Third Party Payments,45121,10080,WIGAN ATHLETIC COMMUNITY TRUST
Police - Exchanges Phones - Call Charges,45121,3372.69,4NET TECHNOLOGIES LTD
Vehicle Purchase,45121,17793,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45121,17793,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45121,17848,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45121,17848,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45121,17848,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45121,17848,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45121,17848,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45121,17848,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45121,17848,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45121,17848,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45121,17848,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45121,17848,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45121,17848,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45121,30765.28,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Computer Software,45121,4486.8,VERINT SYSTEMS UK LIMITED
Computer Hardware,45121,21771.37,VENOM IT LTD
Computer Maintenance,45121,6095.28,UK TELEMATICS
Catering Service (External),45121,703.7,TURNER PRICE LTD
Catering Service (External),45121,2234.0299999999997,TURNER PRICE LTD
Computer Data Network,45121,520.62,THIRD PARTY SUPPLIER
Computer Hardware,45121,923,THIRD PARTY SUPPLIER
Computer Equipment (Hardware),45121,7673.16,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45121,1238.22,THIRD PARTY SUPPLIER
Police - Settlements - Staff,45121,5000,THIRD PARTY SUPPLIER
Computer Equipment (Hardware),45121,822.69,THIRD PARTY SUPPLIER
Computer Hardware,45121,5555.6,THIRD PARTY SUPPLIER
Computer Data Network,45121,639.18,THIRD PARTY SUPPLIER
Computer Equipment (Hardware),45121,16255.45,THIRD PARTY SUPPLIER
ICT Stock / Stores,45121,2582,THIRD PARTY SUPPLIER
Police - Counselling,45121,2320,THIRD PARTY SUPPLIER
Equipment General,45121,1575.28,SPANSET LTD
Equipment General,45121,508.02000000000004,SCENESAFE
Computer Licences,45121,1218.12,SCC
Waste Collection Charges,45121,2730,SAME DAY PLC GUARDIAN SERVICES
Postage & Carriage,45121,3876.6400000000003,ROYAL MAIL NW & NW
Police Reactive Maintenance - Building Fabric,45121,614,RED ROSE BUILDING MAINTENANCE
Equipment General,45121,4987.03,PUMP SERVICE AND ENGINEERING LTD
Police Reactive Maintenance - Building Services,45121,619.06,PREMIER OF LYTHAM  LTD
Police - Statutory Maintenance,45121,1122.83,PREMIER OF LYTHAM  LTD
Police - Other Third Party Payments,45121,620,POLICE CRIME PREVENTION INITIATIVES LIMITED
Police - Vehicle Workshop Parts,45121,635.72,PARTS PLUS
Agency Staff,45121,1568.77,OCCUPATIONAL HEALTH STAFFING LTD
Clothing & Uniform,45121,6864.31,ALTBERG LTD
Clothing & Uniform,45121,1083.17,ALTBERG LTD
Clothing & Uniform,45121,1129.57,ALTBERG LTD
Training Expenses (External),45121,1600,NDORS TRAINER
Police - Counsel Fees,45121,750,MR LEE BONNER
Police - Counsel Fees,45121,525,MISS CHELSEA BROOKE WARD
Police - Counsel Fees,45121,1500,MISS CECILY WHITE
PCC Commissioning - Public Protection,45121,52824,LANCASHIRE TEACHING NHS HOSPITALS FT
PCC Commissioning - Public Protection,45121,44020,LANCASHIRE TEACHING NHS HOSPITALS FT
Police - Other Third Party Payments,45121,680.96,LANCASHIRE POLICE FEDERATION
PCC Commissioning - Community Liason,45121,2186,LANCASHIRE COUNTY COUNCIL (200398)
Window Cleaning,45121,679.12,INCREDIBLE WINDOW CLEANING
Window Cleaning,45121,811.72,GWCC
Furniture General,45121,1899.5,GRESHAM OFFICE FURNITURE LTD
Furniture General,45121,1195,GRESHAM OFFICE FURNITURE LTD
Furniture General,45121,3900,GRESHAM OFFICE FURNITURE LTD
Ext  Adapt  Improv  Etc,45121,1971.16,E-TEC ELECTRICAL LTD
Agency Staff,45121,675,DRS. DIRECT
Equipment General,45121,1616,CV COMPONENTS (FORMERLY ALLIANCE AUTOMOTIVE UK LV LTD)
Vehicle & Plant R&M (External),45121,628.58,AP FLEET SERVICES LTD
Vehicle & Plant R&M (External),45121,1182.46,AP FLEET SERVICES LTD
Equipment General,45121,2100,COLLINS & SONS LOCKSMITHS
Training Expenses (External),45121,2357,COLLEGE OF POLICING
Police - Counsel Fees,45121,1500,CHAMPNESS CONSULTING LTD
ICT Stock / Stores,45121,4052.5,CDW UK LTD
Police - Vehicle Workshop Parts,45121,1457.97,BMW UK LTD
Insurances General,45121,4810,ARTHUR J GALLAGHER (UK)
Building & Contents Insurance,45121,1547.76,ARTHUR J GALLAGHER (UK)
Police - Personal Accident,45121,5929.57,ARTHUR J GALLAGHER (UK)
Police - Employers / Public Liability,45121,14866.88,ARTHUR J GALLAGHER (UK)
Insurances General,45121,19367.14,ARTHUR J GALLAGHER (UK)
Police - Employers / Public Liability,45121,27889.28,ARTHUR J GALLAGHER (UK)
Police - Terrorism,45121,28967.23,ARTHUR J GALLAGHER (UK)
Building & Contents Insurance,45121,125323.32,ARTHUR J GALLAGHER (UK)
Police - Employers / Public Liability,45121,843143.84,ARTHUR J GALLAGHER (UK)
Transport Insurance,45121,1183321.44,ARTHUR J GALLAGHER (UK)
Petrol,45125,35985.01999999999,ALLSTAR BUSINESS SOLUTIONS LTD [ARVAL PHH BUSINESS SOLUTIONS LTD]
Rents - General,45126,1382.75,WYRE BOROUGH COUNCIL
Police - Vehicle Workshop Equipment,45126,6539,WURTH UK LTD
Equipment General,45126,4097.49,WEX PHOTO VIDEO
Computer Maintenance,45126,6794.75,VODAFONE LTD (215385)
Police - Other Third Party Payments,45126,173019,UKROED LTD
Police - Other Third Party Payments,45126,3280,ACCRINGTON STANLEY COMMUNITY TRUST
Police - Other Third Party Payments,45126,2925.44,ACCRINGTON STANLEY COMMUNITY TRUST
Police - Other Third Party Payments,45126,2655,ACCRINGTON STANLEY COMMUNITY TRUST
Police - Other Third Party Payments,45126,2613.56,ACCRINGTON STANLEY COMMUNITY TRUST
Clothing & Uniform,45126,3442.5,TOTAL INSIGNIA LTD
Computer Hardware,45126,619.7,THIRD PARTY SUPPLIER
Computer Licences,45126,79438.52,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45126,601.12,THIRD PARTY SUPPLIER
Computer Licences,45126,2375,THIRD PARTY FORENSIC SERVICES
Equipment General,45126,748.56,SPECIALISED CANVAS (FORMERLY FLAGMAKERS)
Equipment General,45126,706.65,SPECIALISED CANVAS (FORMERLY FLAGMAKERS)
Clothing & Uniform,45126,923.43,SCENESAFE
Equipment General,45126,1498.4399999999998,SCENESAFE
Computer Equipment (Hardware),45126,6113.12,SCC
Rents - General,45126,1725,REVOE LEARNING ACADEMY
Consultant Fees,45126,3762,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45126,47025,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45126,5956.5,REED SPECIALIST RECRUITMENT LTD
Police - Media Campaigns,45126,2150,REDTAIL MEDIA
Police Reactive Maintenance - Building Fabric,45126,614,RED ROSE BUILDING MAINTENANCE
Equipment General,45126,1497.8600000000001,RDJ HEARING CARE LTD
Police Reactive Maintenance - Building Services,45126,659.6,PUMP SERVICE AND ENGINEERING LTD
Clothing & Uniform,45126,692.54,PSL PRINT MANAGEMENT LTD
Printing - External,45126,637,PSL PRINT MANAGEMENT LTD
Printing - External,45126,1466.25,PSL PRINT MANAGEMENT LTD
Equipment General,45126,709.92,PSL PRINT MANAGEMENT LTD
Computer Licences,45126,16341,PREMIERTEC CONSULTING LTD T/A CLAREMONT
Police Reactive Maintenance - Building Services,45126,3012.13,PREMIER OF LYTHAM  LTD
Furniture General,45126,553,POSTURITE LTD
Training Expenses (External),45126,780,PERSONAL BEST LIFE COACHING
Police - Other Third Party Payments,45126,3455,ONE SMART COOKIE COMMUNICATIONS
Police - Other Third Party Payments,45126,2135,ONE SMART COOKIE COMMUNICATIONS
Agency Staff,45126,1300.15,OCCUPATIONAL HEALTH STAFFING LTD
Agency Staff,45126,1611.75,OCCUPATIONAL HEALTH STAFFING LTD
Vehicle & Plant R&M (External),45126,985,NORTH WEST TYRE SERVICES LTD T/A HIQ TYRES & AUTOCARE PRESTON
Training Expenses (External),45126,1600,NDORS TRAINER
Training Expenses (External),45126,1172,NATIONAL CRIME AGENCY
Police - Horse Expenses,45126,1075,MYERSCOUGH COLLEGE
Equipment General,45126,689.65,MUNICIPAL SECURITY LTD
Equipment,45126,14804.28,MOTOROLA LTD [229816]
Police - Other Third Party Payments,45126,1009.28,LANCASHIRE POLICE FEDERATION
Rents - General,45126,2471.33,LANCASHIRE COUNTY DEVELOPMENTS (PROPERTY) LTD
Police - Other Third Party Payments,45126,653.93,LANCASHIRE COUNTY COUNCIL (200398)
Police -Stray / Dangerous Animals,45126,676.9,ANIMAL RELATED SERVICES
Rents - General,45126,5911.57,HYNDBURN BOROUGH COUNCIL
Recruitment - Advertising,45126,775.75,HAVAS PEOPLE LTD
Vehicle & Plant R&M (External),45126,987.92,HALFORDS
Furniture General,45126,585,GRESHAM OFFICE FURNITURE LTD
Furniture General,45126,3269,GRESHAM OFFICE FURNITURE LTD
Furniture - H&S,45126,1275,GRESHAM OFFICE FURNITURE LTD
Police Reactive Maintenance - Building Fabric,45126,786.5,GABLES UK LTD
Fixture & Fittings - General,45126,590,E-TEC ELECTRICAL LTD
Fixture & Fittings - General,45126,583.34,EDMUNDSON ELECTRICAL LTD
Clothing & Uniform,45126,1372.25,EDGAR BROTHERS
Clothing & Uniform,45126,984,EDGAR BROTHERS
Police - Doctors Statements,45126,2900,DR A F F GHALY
Police - Vehicle Workshop Parts,45126,1132.42,CV COMPONENTS (FORMERLY ALLIANCE AUTOMOTIVE UK LV LTD)
Vehicle & Plant R&M (External),45126,601.62,AP FLEET SERVICES LTD
Equipment General,45126,2179.92,CUBIC TRANSPORTATION SYSTEMS (ITMS) LTD
Equipment General,45126,1500,COTSWOLD OUTDOOR LTD
Police - Other Third Party Payments,45126,1350,COMPLETE ONLINE SOLUTIONS
Training Expenses (External),45126,829,COLLEGE OF POLICING
Printing - External,45126,522,CHIMP MANAGEMENT LTD
Police - Detained Persons - Other Expenses,45126,4944.5,CHARLES FELLOWS SUPPLIES LTD
Police - FSS,45126,720,CELLMARK
Police - FSS,45126,2347,CELLMARK
Police Reactive Maintenance - Building Fabric,45126,4008,CCH JOINERY (PRESTON) LTD
Ext  Adapt  Improv  Etc,45126,22350.79,CCH JOINERY (PRESTON) LTD
Police - Planned Preventative Maintenance,45126,1429.05,CAMFIL FARR
Rents - General,45126,1712.5,BLACKPOOL COUNCIL
Police - Other Specialist Operational Equipment,45126,527.93,ARNOLD CLARK CAR & VAN RENTAL
Hire of Transport,45126,538.44,ARNOLD CLARK CAR & VAN RENTAL
Police - Other Specialist Operational Equipment,45126,834.17,ARNOLD CLARK CAR & VAN RENTAL
Police - Detained Persons - Meals / Refreshments,45126,1704.4099999999999,BIDFOOD
Equipment General,45126,4365,AVR GROUP LIMITED
Ext  Adapt  Improv  Etc,45127,24776.56,CCH JOINERY (PRESTON) LTD
Travelling Expenses General,45128,1065,WEST MERCIA POLICE & CRIME COMMISSIONER
Training Expenses (External),45128,1026,ABILITY SMART LTD
PCC Commissioning - Public Protection,45128,50301.83,VICTIM SUPPORT LANCASHIRE
PCC Commissioning - Public Protection,45128,198039.83,VICTIM SUPPORT LANCASHIRE
Catering Service (External),45128,501.01000000000005,TURNER PRICE LTD
Catering Service (External),45128,806.28,TURNER PRICE LTD
Catering Service (External),45128,2444.69,TURNER PRICE LTD
Catering Service (External),45128,1854.3,TURNER PRICE LTD
ICT Stock / Stores,45128,680,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45128,548.4,THIRD PARTY SUPPLIER
Computer Hardware,45128,849.12,THIRD PARTY SUPPLIER
Computer Equipment (Hardware),45128,9970.34,THIRD PARTY SUPPLIER
Agency Staff,45128,896.9,ADECCO UK LTD
Agency Staff,45128,890.45,ADECCO UK LTD
Agency Staff,45128,800.11,ADECCO UK LTD
Agency Staff,45128,909.8,ADECCO UK LTD
Agency Staff,45128,954.97,ADECCO UK LTD
Agency Staff,45128,569.53,ADECCO UK LTD
Agency Staff,45128,621.3,ADECCO UK LTD
Agency Staff,45128,683.43,ADECCO UK LTD
Agency Staff,45128,621.3,ADECCO UK LTD
Equipment General,45128,970,TETRA SCENE OF CRIME INTERNATIONAL LTD.
