* Expenditure Category,* Date,TOTAL,* SUPPLIER FINAL
Electricity,45056,2130,NPOWER LTD
Electricity,45056,1990.45,NPOWER LTD
Electricity,45056,1888.62,NPOWER LTD
Electricity,45056,2109.78,NPOWER LTD
Training Expenses (External),45056,654,NDORS TRAINER
Training Expenses (External),45056,1280,NDORS TRAINER
Training Expenses (External),45056,800,NDORS TRAINER
Training Expenses (External),45056,1040,NDORS TRAINER
Training Expenses (External),45056,1120,NDORS TRAINER
Training Expenses (External),45056,800,NDORS TRAINER
Training Expenses (External),45056,1840,NDORS TRAINER
Training Expenses (External),45056,800,NDORS TRAINER
Training Expenses (External),45056,1301,NDORS TRAINER
Training Expenses (External),45056,960,NDORS TRAINER
Training Expenses (External),45056,800,NDORS TRAINER
Training Expenses (External),45056,654,NDORS TRAINER
Training Expenses (External),45056,690,NATIONAL CRIME AGENCY
Training Expenses (External),45056,1172,NATIONAL CRIME AGENCY
Police - Trainer/Lecturer Fees,45056,4125,GREATER MANCHESTER COMBINED AUTHORITY - GMP
Equipment General,45056,1427.4,GMK LTD
Training Expenses (External),45056,1400,ENLIGHTEN TRAINING & CONSULTANCY LTD
Training Expenses (External),45056,1400,ENLIGHTEN TRAINING & CONSULTANCY LTD
Police - Trainer/Lecturer Fees,45056,4880,ENLIGHTEN TRAINING & CONSULTANCY LTD
PCC Commissioning - Public Protection,45056,18940.27,EAST LANCASHIRE HOSPITALS NHS TRUST
Police - Horse Expenses,45056,726.67,ANIMAL RELATED SERVICES
Police - Other Third Party Payments,45056,20000,CIPFA
Police - Guest Speakers,45056,1602,CHARTERED MANAGEMENT INSTITUTE
Police Reactive Maintenance - Building Services,45056,4310,BID GROUP LTD
Hire of Transport,45056,538.44,ARNOLD CLARK CAR & VAN RENTAL
Clothing & Uniform,45058,20045.8,UNITED SHIELD INTERNATIONAL
Police - Other Third Party Payments,45058,119168,UKROED LTD
Computer Data Network,45058,6095.28,UK TELEMATICS
Catering Service (External),45058,608.94,TURNER PRICE LTD
Catering Service (External),45058,1968.4,TURNER PRICE LTD
Catering Service (External),45058,533.11,TIFFIN SANDWICHES LTD
Police - Compensation,45058,1350,THIRD PARTY SUPPLIER
ICT Stock / Stores,45058,2400,THIRD PARTY SUPPLIER
Equipment General,45058,7622.18,THIRD PARTY SUPPLIER
Police - Property External Fees,45058,1500,THIRD PARTY SUPPLIER
Police - FSS,45058,8887.44,THIRD PARTY FORENSIC SERVICES
Clothing & Uniform,45058,638.8,SUPPORT LOGISTICS EUROPE LTD T/S UK TACTICAL
Subsistence,45058,2722.5,SUDELL SANDWICHES
Police - Tyres,45058,851.78,SHORROCK MOTORCYCLES
Clothing & Uniform,45058,9720,SCENESAFE
Equipment General,45058,5256,SCENESAFE
Computer Licences,45058,7145.4,SCC
Clothing & Uniform,45058,1929.3,SBI TACPRO LIMITED
Postage & Carriage,45058,2537.63,ROYAL MAIL NW & NW
Consultant Fees,45058,3642.65,REED SPECIALIST RECRUITMENT LTD
Recruitment - Expenses,45058,1108,REED SPECIALIST RECRUITMENT LTD
Police Reactive Maintenance - Building Services,45058,839.22,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45058,2175.13,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45058,566.34,PHAROS GENERATOR SERVICES LIMITED
Computer Licences,45058,11660,ONCLUSIVE
Clothing & Uniform,45058,1016.8,MICHAEL LUPTON ASSOCIATES LTD
Consultant Fees,45058,2847.5,LAVAT CONSULTING LTD. T/A PSTAX
Police - Other Third Party Payments,45058,1429.75,LANCASHIRE COUNTY COUNCIL (200398)
Vehicle & Plant R&M (External),45058,910,K N TRANSMISSIONS
Rents - General,45058,713.33,HEYSHAM PORTS LTD
Police - Vehicle Workshop Parts,45058,912.72,HALLIWELL JONES LIMITED SOUTHPORT
Police - Vehicle Workshop Parts,45058,578.19,HALLIWELL JONES LIMITED SOUTHPORT
Police - Vehicle Workshop Parts,45058,1047.36,HALLIWELL JONES LIMITED SOUTHPORT
Vehicle & Plant R&M (External),45058,780.98,HALFORDS
Window Cleaning,45058,811.72,GWCC
Training Expenses (External),45058,1400,ENLIGHTEN TRAINING & CONSULTANCY LTD
Clothing & Uniform,45058,8959.48,DHL SUPPLY CHAIN
Training Expenses (External),45058,1200,DEWVA
Police -Stray / Dangerous Animals,45058,679.49,ANIMAL RELATED SERVICES
Police - Horse Expenses,45058,1360,ANIMAL RELATED SERVICES
Training Expenses (External),45058,3687.93,COLLEGE OF POLICING
Training Expenses (External),45058,2620,COLLEGE OF POLICING
Training Expenses (External),45058,2545.6,COLLEGE OF POLICING
Consolidated invoice suspense,45058,3393.43,CLARITY TRAVEL LIMITED
Police - Detained Persons - Other Expenses,45058,2911,CHARLES FELLOWS SUPPLIES LTD
Police - FSS,45058,552.5,CELLMARK
Police - FSS,45058,3373,CELLMARK
Police - FSS,45058,657,CELLMARK
Police - FSS,45058,4722,CELLMARK
Police - FSS,45058,2473.2,CELLMARK
Police - FSS,45058,2304.6,CELLMARK
Police - FSS,45058,560,CELLMARK
Computer Equipment (Hardware),45058,1671.48,CDW UK LTD
Ext  Adapt  Improv  Etc,45058,8240,CCH JOINERY (PRESTON) LTD
Vehicle Purchase,45058,14164.77,BMW FINANCIAL SERVICES
Police - Other Third Party Payments,45058,3930,BLACKBURN ROVERS COMMUNITY TRUST
Police - Other Third Party Payments,45058,2778.97,BLACKBURN ROVERS COMMUNITY TRUST
Police - Other Third Party Payments,45058,5000,BLACKBURN ROVERS COMMUNITY TRUST
Police - Detained Persons - Meals / Refreshments,45058,1139.76,BIDFOOD
Lump Sum,45058,1222.2,AVC WISE LTD
Ext  Adapt  Improv  Etc,45058,10132.29,ASSA ABLOY SECURITY DOORS
Hire of Transport,45058,538.44,ARNOLD CLARK CAR & VAN RENTAL
Hire of Transport,45058,538.44,ARNOLD CLARK CAR & VAN RENTAL
Hire of Transport,45058,538.44,ARNOLD CLARK CAR & VAN RENTAL
Hire of Transport,45058,538.44,ARNOLD CLARK CAR & VAN RENTAL
Police - Exchanges Phones - Call Charges,45063,7865.91,4NET TECHNOLOGIES LTD
Police - Counsel Fees,45063,1842.5,WEIGHTMANS LLP
Police - Counsel Fees,45063,1975,WEIGHTMANS LLP
Police - Counsel Fees,45063,6072.5,WEIGHTMANS LLP
Exchange Phones,45063,952.39,VIRGIN MEDIA BUSINESS LTD
Police - Training Expenses for DHEP ( Degree Holder Entry ),45063,67500,UCLAN - UNIVERSITY OF CENTRAL LANCASHIRE
Police - Other Third Party Payments,45063,600.16,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45063,548.12,THIRD PARTY SUPPLIER
Computer Equipment (Hardware),45063,5003.7,THIRD PARTY SUPPLIER
Computer Equipment (Hardware),45063,4626.5,THIRD PARTY SUPPLIER
Computer Equipment (Hardware),45063,4626.5,THIRD PARTY SUPPLIER
ICT Stock / Stores,45063,937.5,THIRD PARTY SUPPLIER
Computer Equipment (Hardware),45063,4626.5,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45063,4853.34,THE POLICE & CRIME COMMISSIONER FOR CUMBRIA
PCC Commissioning - Public Protection,45063,18200,THE FLOWHESION FOUNDATION
Training Expenses (External),45063,778,THE AT WORK PARTNERSHIP
Consultant Fees,45063,822.5,ACHIEVING SOLUTIONS LTD T/A SHOOT4GOAL
Clothing & Uniform,45063,537.47,SHORROCK MOTORCYCLES
Equipment General,45063,999.88,SELECTAMARK SECURITY SYSTEMS PLC
Training Expenses (External),45063,4251,SANCUS OPERATIONS LTD
Training Expenses (External),45063,4250,SANCUS OPERATIONS LTD
Rents - General,45063,2000,ROSSENDALE LEISURE TRUST LTD
Rates,45063,3192.9,PRESTON CITY COUNCIL
Police - Planned Preventative Maintenance,45063,876,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45063,1391.71,PREMIER OF LYTHAM  LTD
Training Expenses (External),45063,3030,POLICE CRIME PREVENTION INITIATIVES LIMITED
Training Expenses (External),45063,1583.62,POLICE & CRIME COMMISSIONER FOR WEST YORKSHIRE
Police - Other Specialist Operational Equipment,45063,720,POINT SOUTH LIMITED
Police - Telecom Forensics,45063,1225,PAYPOINT NETWORKS LTD
Computer Licences,45063,3344.8,P SHAW CONSULTANCIES (MICROTECH)
Vehicle & Plant R&M (External),45063,928.8,NATIONAL WINDSCREENS NW
Vehicle & Plant R&M (External),45063,625,NATIONAL WINDSCREENS NW
Computer Licences,45063,72965.2,ALLIANTIST LTD
ICT Stock / Stores,45063,3640,MOTOROLA LTD [229816]
ICT Stock / Stores,45063,3660.1,MOTOROLA LTD [229816]
Petrol,45063,34865.58999999999,ALLSTAR BUSINESS SOLUTIONS LTD [ARVAL PHH BUSINESS SOLUTIONS LTD]
Police - Counsel Fees,45063,750,MISS CHELSEA BROOKE WARD
Rates,45063,4012.5,LANCASTER CITY COUNCIL [17340]
Rents - General,45063,2471.33,LANCASHIRE COUNTY DEVELOPMENTS (PROPERTY) LTD
Police - Professional Subscriptions,45063,560,LANCASHIRE COUNTY COUNCIL (200398)
IT Consultancy,45063,129983,JAMES HARVARD LTD
Police - Firearms Ammunition,45063,8910,HOME OFFICE
Police - Vehicle Workshop Equipment,45063,678,HAVSCO LTD
Road Fund Licences,45063,1000,DVLA SWANSEA
Equipment General,45063,14890.51,CUBIC TRANSPORTATION SYSTEMS (ITMS) LTD
Police - Dog Expenses,45063,618.22,ANIMAL RELATED SERVICES
Police - Dog Expenses,45063,1276.04,ANIMAL RELATED SERVICES
Police - Detained Persons - Other Expenses,45063,2041.4,CHARLES FELLOWS SUPPLIES LTD
Hire of Transport,45063,3132,CAR-PORT UK
Vehicle & Plant R&M (External),45063,845,CALIBRATION & CONSULTANCY SERVICES (UK)
Training Expenses (External),45063,641.5,BROCKHOLES ENTERPRISE LTD
Police - Statutory Maintenance,45063,1012,BOON EDAM
Police - Other Specialist Operational Equipment,45063,1358,ARCO LTD
Vehicle Purchase,45065,19785.37,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45065,23889.36,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Equipment General,45065,5760,UROLOGY LAW LTD
Vehicle & Plant R&M (External),45065,623.33,A J ENGINEERING SERVICES LTD
Vehicle & Plant R&M (External),45065,540.09,A J ENGINEERING SERVICES LTD
Vehicle & Plant R&M (External),45065,1550,A J ENGINEERING SERVICES LTD
Vehicle & Plant R&M (External),45065,3175,A J ENGINEERING SERVICES LTD
Catering Service (External),45065,513.24,TURNER PRICE LTD
Catering Service (External),45065,1757.6200000000001,TURNER PRICE LTD
PCC Commissioning - Public Protection,45065,32095.88,TRUST HOUSE LANCASHIRE
Catering Service (External),45065,819.76,TIFFIN SANDWICHES LTD
Catering Service (External),45065,790.22,TIFFIN SANDWICHES LTD
Police - Other Third Party Payments,45065,927.96,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45065,604.51,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45065,604.06,THIRD PARTY SUPPLIER
Computer Equipment (Hardware),45065,9995.75,THIRD PARTY SUPPLIER
Computer Equipment (Hardware),45065,3989.5,THIRD PARTY SUPPLIER
PCC Commissioning - Public Protection,45065,25104,THE WISH CENTRE
PCC Commissioning - Public Protection,45065,28452.75,THE EMILY DAVISON CENTRE
PCC Commissioning - Public Protection,45065,21512.42,THE BIRCHALL TRUST
Training Expenses (External),45065,11880,THE ATACC GROUP
Police Reactive Maintenance - Building Services,45065,1992.1,STULZ UK LTD
Conference Expenses,45065,505.21,ST CATHERINE'S SOCIAL ENTERPRISE LTD
Police Reactive Maintenance - Building Services,45065,532.35,SECURITY SOLUTIONS
Police Reactive Maintenance - Building Services,45065,575,SECURITY SOLUTIONS
Computer Software,45065,22015.730000000003,SCC
Police - Vehicle Workshop Parts,45065,995.11,RYBROOK
Police - Vehicle Workshop Parts,45065,615.71,RYBROOK
Postage & Carriage,45065,3708.06,ROYAL MAIL NW & NW
Police - Vehicle Workshop Parts,45065,600,RIBBLESDALE AUTO ELECTRICS UNITS LTD
Police - Tyres,45065,589.05,RELIANCE MEDICAL LTD
Printing - External,45065,3630,PSL PRINT MANAGEMENT LTD
Printing - External,45065,1435.02,PSL PRINT MANAGEMENT LTD
Printing - External,45065,2070,PSL PRINT MANAGEMENT LTD
Police Reactive Maintenance - Building Services,45065,1632,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45065,8257.2,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45065,4230.61,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45065,6073.179999999999,PREMIER OF LYTHAM  LTD
Police - Planned Preventative Maintenance,45065,3805,PREMIER OF LYTHAM  LTD
Computer Licences,45065,40751.17,POLICE DIGITAL SERVICE
Chronicle,45065,104720.01,POLICE AND CRIME COMMISSIONER FOR CHESHIRE
Police - Community Engagement,45065,9999,PARTICIPATION WORKS NORTH WEST
PCC Commissioning - Public Protection,45065,43565.41,PARENTS AGAINST CHILD SEXUAL EXPLOITATION
PCC Commissioning - Public Protection,45065,30000,PALADIN NSAS
Agency Staff,45065,1267.91,OCCUPATIONAL HEALTH STAFFING LTD
Agency Staff,45065,1181.95,OCCUPATIONAL HEALTH STAFFING LTD
Computer Licences,45065,865,NCC SERVICES LIMITED
Computer Licences,45065,695,NCC SERVICES LIMITED
Telecommunications Equipment,45065,82978.19999999998,MOTOROLA LTD [229816]
Police - Media Campaigns,45065,600,MANCHESTER METROPOLITAN UNIVERSITY
Police - Vehicle Workshop Parts,45065,546.99,LOOKERS
Police - Vehicle Workshop Parts,45065,507.91,LOOKERS
Police - Vehicle Workshop Parts,45065,892.33,LOOKERS
Computer Licences,45065,39375.24,KIM SOFTWARE SOLUTIONS
Police - Planned Preventative Maintenance,45065,1499.28,KENDRA ENERGY SOLUTIONS LTD
Clothing & Uniform,45065,2553.75,KEELA INTERNATIONAL LTD
Vehicle & Plant R&M (External),45065,1245,K N TRANSMISSIONS
Equipment General,45065,191204.07,JENOPTIK TRAFFIC SOLUTIONS UK LTD
PCC Commissioning - Public Protection,45065,20000,HUMRAAZ
Police Reactive Maintenance - Building Fabric,45065,562.5,HIGHER WALTON GLASS LTD
PCC Commissioning - Public Protection,45065,13125,HARV DOMESTIC ABUSE SERVICES
Furniture (Purchase),45065,7185,GRESHAM OFFICE FURNITURE LTD
Computer Licences,45065,2250,EVIDENCE TALKS LTD
PCC Commissioning - Public Protection,45065,17308,EMPOWERMENT CHARITY LANCASHIRE
Training Expenses (External),45065,3963,COLLEGE OF POLICING
Training Expenses (External),45065,3963,COLLEGE OF POLICING
Consolidated invoice suspense,45065,14537.5,CLARITY TRAVEL LIMITED
Police - Vehicle Workshop Parts,45065,1608.18,CICELEY COMMERCIALS LTD [227519]
Training Expenses (External),45065,578.3,CHAPEL HOUSE TRAINING AND CONSULTANCY LTD
Police Reactive Maintenance - Building Fabric,45065,1416.96,CCH JOINERY (PRESTON) LTD
Hire of Transport,45065,4513.96,CAR-PORT UK
Hire of Transport,45065,935.69,CAR-PORT UK
Police - Damage to Property / Boarding Up,45065,29420.5,BOING RAPID SECURE LTD
Police - Professional Subscriptions,45065,1109.21,ASSOCIATION OF POLICE AND CRIME COMMISSIONERS
Police - Media Campaigns,45070,500,WHATEVER NEXT PRODUCTIONS
Catering Service (External),45070,1838.31,TURNER PRICE LTD
Clothing & Uniform,45070,584.16,TOTAL INSIGNIA LTD
Training Expenses (External),45070,71318,THIRD PARTY SUPPLIER
Equipment General,45070,43703,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45070,2100,THIRD PARTY SUPPLIER
Computer Maintenance,45070,7729.96,THIRD PARTY SUPPLIER
Police - FSS,45070,11828,THIRD PARTY FORENSIC SERVICES
Police - Professional Subscriptions,45070,1000,THE INDEPENDENT CUSTODY VISITING ASSOCIATION
Other Expenses,45070,4995,SOUTH RIBBLE BOROUGH COUNCIL
Equipment General,45070,1049.5,SG WORLD LTD
Computer Equipment (Hardware),45070,40121.2,SCC
Computer Maintenance,45070,5680,SCC
Equipment General,45070,1444.71,ROSTRONS LOCKSMITHS
Works Fees (External),45070,3804.84,REED SPECIALIST RECRUITMENT LTD
Works Fees (External),45070,5310.69,REED SPECIALIST RECRUITMENT LTD
Equipment General,45070,2363,PRISMA WORLDWIDE LTD
Police - Planned Preventative Maintenance,45070,1100,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45070,5900.06,PREMIER OF LYTHAM  LTD
Police - Other Third Party Payments,45070,1274.4,PARK RETAIL T/A APPRECIATE BUSINESS SERVICES
Police - Pathologists Fees,45070,1850,PAEDIATRIC & PERINATAL PATHOLOGY SERVICES LTD
Police - Other Third Party Payments,45070,5105,ONE SMART COOKIE COMMUNICATIONS
Vehicle & Plant R&M (External),45070,516.66,OLYMPIC LOCK & SAFEGUARDS LTD
