Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Chief Operating Offi,Agency Non Admn/Cler,Other Manual,5101074863,45133,ACCOUNTABLE RECRUITMENT LTD,-6512.31
City Development,R&M - Building Works,R&M Technical Support,5101075265,45138,LEA BUILDING SERVICES LIMITED,1190
Chief Operating Offi,Agency Admin/Cleric,Professional,5101075515,45139,ACCOUNTABLE RECRUITMENT LTD,4599.14
Adult Services & Hea,Vol Non Profit Orgs,Agency & Contract Services,1905939696,45140,NEW START LTD,31926.5
Adult Services & Hea,Charitable Organisti,Agency & Contract Services,1905939695,45140,SALVATION ARMY HOUSING ASSOCIATION,27144.86
Neighbourhoods,Grants & Subs (Gener,Grants & Subscriptions,1905939669,45140,ALT VALLEY COMMUNITY TRUST,10090.16
Neighbourhoods,Private Contractors,Agency & Contract Services,5101075636,45140,KIRKBY SKIPS LTD,3750
Neighbourhoods,Private Contractors,Agency & Contract Services,5101075638,45140,KIRKBY SKIPS LTD,3485
Neighbourhoods,Private Contractors,Agency & Contract Services,5101075637,45140,KIRKBY SKIPS LTD,3300
Adult Services & Hea,R&M - Building Works,R&M Technical Support,5101075558,45140,RETRO LOVE DELUXE,1250
Neighbourhoods,R&M - Building Works,R&M Technical Support,5101075658,45140,PLANTSCAPE LTD,1120
Neighbourhoods,R&M - Building Works,R&M Technical Support,5101075663,45140,PLANTSCAPE LTD,805
Adult Services & Hea,"Alarms, CCTV, etc",Security & Insurance,5101075612,45140,J BEATTIE & SON LTD,650
Neighbourhoods,Software (General),Computing,5101075698,45141,EDUCATION SOFTWARE SOLUTIONS LTD,105066
Chief Operating Offi,Agency Admin/Cleric,Professional,5101075685,45141,PENNA PLC,21771
Neighbourhoods,Agency Admin/Cleric,Professional,5101075719,45141,PENNA PLC,15340
Neighbourhoods,Consultancy,Professional Fees,5101075737,45141,CJ FOUNDS ASSOCIATES LTD,10400
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101075786,45141,BLISS RECRUITMENT LTD (QUBA SOLUTIO,10000
Adult Services & Hea,Consultancy,Professional Fees,5101075707,45141,PENNA PLC,5900
Children & Young Peo,Environmental Servs.,R & M Private Contractors,5101075688,45141,LIVERPOOL STREETSCENE SERVICES LIMI,5231.89
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944587,45141,MATRIX SCM LTD,5060.45
Neighbourhoods,Agency Admin/Cleric,Professional,1905944596,45141,MATRIX SCM LTD,4540.8
Neighbourhoods,Agency Admin/Cleric,Professional,1905944565,45141,MATRIX SCM LTD,4230.95
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944618,45141,MATRIX SCM LTD,4158.3
Neighbourhoods,Agency Admin/Cleric,Professional,1905944707,45141,MATRIX SCM LTD,3595.25
City Development,R&M - Building Works,R&M Technical Support,5101075743,45141,LEA BUILDING SERVICES LIMITED,3560
Neighbourhoods,Private Contractors,Agency & Contract Services,5101075753,45141,KIRKBY SKIPS LTD,3500
Finance & Resources,Agency Admin/Cleric,Professional,1905944614,45141,MATRIX SCM LTD,3383.55
Children & Young Peo,Agency Admin/Cleric,Professional,1905944778,45141,MATRIX SCM LTD,3323.95
Neighbourhoods,Printing (Outside),Printing & Office Expenses,5101075739,45141,NAGELS (UK) LTD,3165
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101075703,45141,QUICK STAY PROPERTY SOLUTIONS,3150
Neighbourhoods,Agency Admin/Cleric,Professional,1905944558,45141,MATRIX SCM LTD,3005.28
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944553,45141,MATRIX SCM LTD,2903.65
Children & Young Peo,Agency Admin/Cleric,Professional,1905944591,45141,MATRIX SCM LTD,2897.55
Neighbourhoods,Private Contractors,Agency & Contract Services,5101075752,45141,KIRKBY SKIPS LTD,2800
Children & Young Peo,Agency Admin/Cleric,Professional,1905944720,45141,MATRIX SCM LTD,2694.35
Neighbourhoods,Agency Admin/Cleric,Professional,1905944541,45141,MATRIX SCM LTD,2645.6
City Law & Governanc,Agency Admin/Cleric,Professional,1905944615,45141,MATRIX SCM LTD,2601.56
City Law & Governanc,Agency Admin/Cleric,Professional,1905944634,45141,MATRIX SCM LTD,2576
Neighbourhoods,Private Contractors,Agency & Contract Services,5101075720,45141,KIRKBY SKIPS LTD,2460
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944506,45141,MATRIX SCM LTD,2322.92
Children & Young Peo,Agency Admin/Cleric,Professional,1905944704,45141,MATRIX SCM LTD,2140.08
Children & Young Peo,Agency Admin/Cleric,Professional,1905944604,45141,MATRIX SCM LTD,2118
Children & Young Peo,Agency Admin/Cleric,Professional,1905944694,45141,MATRIX SCM LTD,2068.67
City Law & Governanc,Agency Admin/Cleric,Professional,1905944525,45141,MATRIX SCM LTD,2056.28
Children & Young Peo,Agency Admin/Cleric,Professional,1905944746,45141,MATRIX SCM LTD,2052.4
Children & Young Peo,Agency Admin/Cleric,Professional,1905944646,45141,MATRIX SCM LTD,2006.25
Children & Young Peo,Agency Admin/Cleric,Professional,1905944681,45141,MATRIX SCM LTD,1986.74
Children & Young Peo,Agency Admin/Cleric,Professional,1905944647,45141,MATRIX SCM LTD,1951.18
Children & Young Peo,Agency Admin/Cleric,Professional,1905944564,45141,MATRIX SCM LTD,1918.32
Children & Young Peo,Agency Admin/Cleric,Professional,1905944607,45141,MATRIX SCM LTD,1918.32
Children & Young Peo,Agency Admin/Cleric,Professional,1905944515,45141,MATRIX SCM LTD,1867.07
Neighbourhoods,Agency Admin/Cleric,Professional,1905944579,45141,MATRIX SCM LTD,1866.2
Children & Young Peo,Agency Admin/Cleric,Professional,1905944691,45141,MATRIX SCM LTD,1857.45
Neighbourhoods,Agency Admin/Cleric,Professional,1905944768,45141,MATRIX SCM LTD,1849.2
Children & Young Peo,Agency Admin/Cleric,Professional,1905944674,45141,MATRIX SCM LTD,1825.45
Children & Young Peo,Agency Admin/Cleric,Professional,1905944705,45141,MATRIX SCM LTD,1814.4
City Development,Agency Admin/Cleric,Professional,1905944641,45141,MATRIX SCM LTD,1804.15
Children & Young Peo,Agency Admin/Cleric,Professional,1905944502,45141,MATRIX SCM LTD,1793.05
Children & Young Peo,Agency Admin/Cleric,Professional,1905944543,45141,MATRIX SCM LTD,1793.05
Neighbourhoods,Rodent & Pest Contro,Cleaning & Domestic Supplies,5101075807,45141,KILLGERM CHEMICALS LTD,1764.9
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944504,45141,MATRIX SCM LTD,1742.19
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944505,45141,MATRIX SCM LTD,1742.19
Children & Young Peo,Agency Admin/Cleric,Professional,1905944643,45141,MATRIX SCM LTD,1687.35
City Development,Agency Admin/Cleric,Professional,1905944626,45141,MATRIX SCM LTD,1676.36
City Development,Agency Admin/Cleric,Professional,1905944637,45141,MATRIX SCM LTD,1628
Chief Operating Offi,Agency Admin/Cleric,Professional,1905944639,45141,MATRIX SCM LTD,1626.19
Children & Young Peo,Agency Admin/Cleric,Professional,1905944605,45141,MATRIX SCM LTD,1603.9
Children & Young Peo,Agency Admin/Cleric,Professional,1905944715,45141,MATRIX SCM LTD,1600.35
Children & Young Peo,Agency Admin/Cleric,Professional,1905944624,45141,MATRIX SCM LTD,1598.45
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101075708,45141,QUICK STAY PROPERTY SOLUTIONS,1575
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944535,45141,MATRIX SCM LTD,1570.8
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944544,45141,MATRIX SCM LTD,1570.8
Neighbourhoods,Agency Admin/Cleric,Professional,1905944560,45141,MATRIX SCM LTD,1553.3
Children & Young Peo,Agency Admin/Cleric,Professional,1905944592,45141,MATRIX SCM LTD,1546.3
Children & Young Peo,Agency Admin/Cleric,Professional,1905944770,45141,MATRIX SCM LTD,1546.3
Children & Young Peo,Agency Admin/Cleric,Professional,1905944697,45141,MATRIX SCM LTD,1542.1
Children & Young Peo,Agency Admin/Cleric,Professional,1905944696,45141,MATRIX SCM LTD,1542.1
Children & Young Peo,Agency Admin/Cleric,Professional,1905944700,45141,MATRIX SCM LTD,1534.75
Children & Young Peo,Agency Admin/Cleric,Professional,1905944500,45141,MATRIX SCM LTD,1509.55
Children & Young Peo,Agency Admin/Cleric,Professional,1905944755,45141,MATRIX SCM LTD,1496.95
City Development,Agency Admin/Cleric,Professional,1905944619,45141,MATRIX SCM LTD,1486.95
Neighbourhoods,Agency Admin/Cleric,Professional,1905944718,45141,MATRIX SCM LTD,1479.3
Children & Young Peo,Agency Admin/Cleric,Professional,1905944588,45141,MATRIX SCM LTD,1449.15
Children & Young Peo,Agency Admin/Cleric,Professional,1905944640,45141,MATRIX SCM LTD,1447.8
City Law & Governanc,Agency Admin/Cleric,Professional,1905944759,45141,MATRIX SCM LTD,1415.4
Children & Young Peo,Agency Admin/Cleric,Professional,1905944542,45141,MATRIX SCM LTD,1415.05
Children & Young Peo,Agency Admin/Cleric,Professional,1905944633,45141,MATRIX SCM LTD,1401.19
Children & Young Peo,Agency Admin/Cleric,Professional,1905944597,45141,MATRIX SCM LTD,1387.4
Children & Young Peo,Agency Admin/Cleric,Professional,1905944556,45141,MATRIX SCM LTD,1376.95
Children & Young Peo,Agency Admin/Cleric,Professional,1905944566,45141,MATRIX SCM LTD,1323.75
Children & Young Peo,Agency Admin/Cleric,Professional,1905944573,45141,MATRIX SCM LTD,1320.9
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944520,45141,MATRIX SCM LTD,1309
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944552,45141,MATRIX SCM LTD,1309
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944733,45141,MATRIX SCM LTD,1309
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944752,45141,MATRIX SCM LTD,1309
Children & Young Peo,Agency Admin/Cleric,Professional,1905944767,45141,MATRIX SCM LTD,1304.62
Neighbourhoods,Agency Admin/Cleric,Professional,1905944632,45141,MATRIX SCM LTD,1291.5
Neighbourhoods,Agency Admin/Cleric,Professional,1905944722,45141,MATRIX SCM LTD,1291.5
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944710,45141,MATRIX SCM LTD,1281.5
Children & Young Peo,Agency Admin/Cleric,Professional,1905944651,45141,MATRIX SCM LTD,1271.33
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101075736,45141,INSIGHT DIRECT (UK) LIMITED,1266.02
Children & Young Peo,Agency Admin/Cleric,Professional,1905944549,45141,MATRIX SCM LTD,1263.64
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944603,45141,MATRIX SCM LTD,1260.05
Children & Young Peo,Agency Admin/Cleric,Professional,1905944595,45141,MATRIX SCM LTD,1259.3
Children & Young Peo,Agency Admin/Cleric,Professional,1905944517,45141,MATRIX SCM LTD,1255.4
Neighbourhoods,Agency Admin/Cleric,Professional,1905944551,45141,MATRIX SCM LTD,1248.21
Children & Young Peo,Agency Admin/Cleric,Professional,1905944616,45141,MATRIX SCM LTD,1235.02
City Law & Governanc,Agency Admin/Cleric,Professional,1905944645,45141,MATRIX SCM LTD,1216.52
Children & Young Peo,Agency Admin/Cleric,Professional,1905944585,45141,MATRIX SCM LTD,1186.56
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944598,45141,MATRIX SCM LTD,1177.4
Neighbourhoods,R&M - Environ Works,R&M Technical Support,5101075717,45141,FACULTATIEVE TECHNOLOGIES LTD,1174.03
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944536,45141,MATRIX SCM LTD,1149.54
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944764,45141,MATRIX SCM LTD,1144.65
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944550,45141,MATRIX SCM LTD,1138.46
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944548,45141,MATRIX SCM LTD,1128.45
Neighbourhoods,Agency Admin/Cleric,Professional,1905944636,45141,MATRIX SCM LTD,1125.97
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944526,45141,MATRIX SCM LTD,1125.04
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944781,45141,MATRIX SCM LTD,1109.65
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944529,45141,MATRIX SCM LTD,1101.52
City Development,Agency Admin/Cleric,Professional,1905944519,45141,MATRIX SCM LTD,1076.69
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944523,45141,MATRIX SCM LTD,1056.16
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944567,45141,MATRIX SCM LTD,1047.2
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944712,45141,MATRIX SCM LTD,1047.2
City Law & Governanc,Agency Admin/Cleric,Professional,1905944612,45141,MATRIX SCM LTD,1025.5
Chief Operating Offi,Agency Admin/Cleric,Professional,1905944606,45141,MATRIX SCM LTD,1023.05
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944509,45141,MATRIX SCM LTD,1008.36
City Development,Agency Admin/Cleric,Professional,1905944555,45141,MATRIX SCM LTD,989.1
City Development,Agency Admin/Cleric,Professional,1905944622,45141,MATRIX SCM LTD,989.1
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944769,45141,MATRIX SCM LTD,987.31
Neighbourhoods,Agency Admin/Cleric,Professional,1905944744,45141,MATRIX SCM LTD,981.3
City Development,Agency Admin/Cleric,Professional,1905944661,45141,MATRIX SCM LTD,979.25
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944613,45141,MATRIX SCM LTD,977.73
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944721,45141,MATRIX SCM LTD,975.8
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944572,45141,MATRIX SCM LTD,975.1
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944528,45141,MATRIX SCM LTD,964.32
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944531,45141,MATRIX SCM LTD,964.32
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944723,45141,MATRIX SCM LTD,964.32
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944687,45141,MATRIX SCM LTD,951.4
City Development,Agency Admin/Cleric,Professional,1905944623,45141,MATRIX SCM LTD,936.25
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944580,45141,MATRIX SCM LTD,932.4
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944749,45141,MATRIX SCM LTD,932
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944602,45141,MATRIX SCM LTD,931.4
Children & Young Peo,Agency Admin/Cleric,Professional,1905944777,45141,MATRIX SCM LTD,930.65
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944577,45141,MATRIX SCM LTD,929.8
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944510,45141,MATRIX SCM LTD,927.75
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944601,45141,MATRIX SCM LTD,927.75
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944571,45141,MATRIX SCM LTD,925.4
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944581,45141,MATRIX SCM LTD,925.4
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944584,45141,MATRIX SCM LTD,925.4
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944586,45141,MATRIX SCM LTD,925.4
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944575,45141,MATRIX SCM LTD,914.5
Children & Young Peo,Agency Admin/Cleric,Professional,1905944719,45141,MATRIX SCM LTD,912.5
City Development,Agency Admin/Cleric,Professional,1905944729,45141,MATRIX SCM LTD,911.62
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944779,45141,MATRIX SCM LTD,906.5
City Development,Agency Admin/Cleric,Professional,1905944627,45141,MATRIX SCM LTD,891
City Development,Agency Admin/Cleric,Professional,1905944736,45141,MATRIX SCM LTD,880.26
Children & Young Peo,Agency Admin/Cleric,Professional,1905944649,45141,MATRIX SCM LTD,873.3
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944554,45141,MATRIX SCM LTD,863.64
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944518,45141,MATRIX SCM LTD,851.92
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944582,45141,MATRIX SCM LTD,823.97
Children & Young Peo,Agency Admin/Cleric,Professional,1905944521,45141,MATRIX SCM LTD,822.78
Children & Young Peo,Agency Admin/Cleric,Professional,1905944522,45141,MATRIX SCM LTD,822.78
Children & Young Peo,Agency Admin/Cleric,Professional,1905944747,45141,MATRIX SCM LTD,822.78
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944709,45141,MATRIX SCM LTD,821.1
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944652,45141,MATRIX SCM LTD,803.6
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944740,45141,MATRIX SCM LTD,803.6
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944532,45141,MATRIX SCM LTD,803.6
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944533,45141,MATRIX SCM LTD,803.6
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944534,45141,MATRIX SCM LTD,803.6
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944713,45141,MATRIX SCM LTD,803.6
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944726,45141,MATRIX SCM LTD,803.6
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944761,45141,MATRIX SCM LTD,803.6
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944583,45141,MATRIX SCM LTD,799.2
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944545,45141,MATRIX SCM LTD,786.8
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944773,45141,MATRIX SCM LTD,785.4
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944527,45141,MATRIX SCM LTD,785.4
Children & Young Peo,Agency Admin/Cleric,Professional,1905944539,45141,MATRIX SCM LTD,774.56
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944563,45141,MATRIX SCM LTD,768.9
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944629,45141,MATRIX SCM LTD,762.41
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944576,45141,MATRIX SCM LTD,756
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944600,45141,MATRIX SCM LTD,753.05
City Development,Agency Admin/Cleric,Professional,1905944671,45141,MATRIX SCM LTD,751.01
Children & Young Peo,Agency Admin/Cleric,Professional,1905944692,45141,MATRIX SCM LTD,749.3
Children & Young Peo,Agency Admin/Cleric,Professional,1905944654,45141,MATRIX SCM LTD,745.01
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944578,45141,MATRIX SCM LTD,740.32
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944508,45141,MATRIX SCM LTD,740.25
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944708,45141,MATRIX SCM LTD,740.25
Children & Young Peo,Agency Admin/Cleric,Professional,1905944748,45141,MATRIX SCM LTD,739.44
Children & Young Peo,Agency Admin/Cleric,Professional,1905944771,45141,MATRIX SCM LTD,735.7
City Development,Agency Admin/Cleric,Professional,1905944742,45141,MATRIX SCM LTD,734.81
Children & Young Peo,Agency Admin/Cleric,Professional,1905944677,45141,MATRIX SCM LTD,732.25
Children & Young Peo,Agency Admin/Cleric,Professional,1905944711,45141,MATRIX SCM LTD,732.25
Children & Young Peo,Agency Admin/Cleric,Professional,1905944753,45141,MATRIX SCM LTD,729.1
Children & Young Peo,Agency Admin/Cleric,Professional,1905944772,45141,MATRIX SCM LTD,715.3
Neighbourhoods,Agency Admin/Cleric,Professional,1905944737,45141,MATRIX SCM LTD,714
City Development,Agency Admin/Cleric,Professional,1905944725,45141,MATRIX SCM LTD,704.9
City Development,Agency Admin/Cleric,Professional,1905944727,45141,MATRIX SCM LTD,704.9
City Development,Agency Admin/Cleric,Professional,1905944728,45141,MATRIX SCM LTD,704.9
City Development,Agency Admin/Cleric,Professional,1905944739,45141,MATRIX SCM LTD,704.9
City Development,Agency Admin/Cleric,Professional,1905944741,45141,MATRIX SCM LTD,704.9
Children & Young Peo,Agency Admin/Cleric,Professional,1905944717,45141,MATRIX SCM LTD,703.54
Children & Young Peo,Agency Admin/Cleric,Professional,1905944775,45141,MATRIX SCM LTD,701
Children & Young Peo,Agency Admin/Cleric,Professional,1905944667,45141,MATRIX SCM LTD,695.8
Neighbourhoods,Environmental Servs.,R & M Private Contractors,5101075704,45141,K P SUMNER LTD,688
Children & Young Peo,Agency Admin/Cleric,Professional,1905944702,45141,MATRIX SCM LTD,687.75
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944589,45141,MATRIX SCM LTD,687.4
Children & Young Peo,Agency Admin/Cleric,Professional,1905944628,45141,MATRIX SCM LTD,685.84
City Development,Agency Admin/Cleric,Professional,1905944672,45141,MATRIX SCM LTD,685.15
Children & Young Peo,Agency Admin/Cleric,Professional,1905944774,45141,MATRIX SCM LTD,679.1
Neighbourhoods,Agency Admin/Cleric,Professional,1905944501,45141,MATRIX SCM LTD,675.52
Neighbourhoods,Agency Admin/Cleric,Professional,1905944540,45141,MATRIX SCM LTD,675.52
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944546,45141,MATRIX SCM LTD,671.3
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944630,45141,MATRIX SCM LTD,671.3
Neighbourhoods,Agency Admin/Cleric,Professional,1905944557,45141,MATRIX SCM LTD,661.6
Neighbourhoods,Agency Admin/Cleric,Professional,1905944745,45141,MATRIX SCM LTD,661.6
City Law & Governanc,Agency Admin/Cleric,Professional,1905944693,45141,MATRIX SCM LTD,661.29
Children & Young Peo,Agency Admin/Cleric,Professional,1905944662,45141,MATRIX SCM LTD,655.2
Neighbourhoods,Agency Admin/Cleric,Professional,1905944756,45141,MATRIX SCM LTD,645.6
Children & Young Peo,Agency Admin/Cleric,Professional,1905944642,45141,MATRIX SCM LTD,644.14
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944738,45141,MATRIX SCM LTD,642.88
Children & Young Peo,Agency Admin/Cleric,Professional,1905944758,45141,MATRIX SCM LTD,637.2
Children & Young Peo,Agency Admin/Cleric,Professional,1905944776,45141,MATRIX SCM LTD,627.92
City Law & Governanc,Agency Admin/Cleric,Professional,1905944750,45141,MATRIX SCM LTD,621.6
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944537,45141,MATRIX SCM LTD,613.35
Adult Services & Hea,Agency Admin/Cleric,Professional,1905944695,45141,MATRIX SCM LTD,603.24
City Development,Agency Admin/Cleric,Professional,1905944657,45141,MATRIX SCM LTD,598.85
City Development,Agency Admin/Cleric,Professional,1905944658,45141,MATRIX SCM LTD,598.85
City Development,Agency Admin/Cleric,Professional,1905944659,45141,MATRIX SCM LTD,598.85
City Development,Agency Admin/Cleric,Professional,1905944660,45141,MATRIX SCM LTD,598.85
City Development,Agency Admin/Cleric,Professional,1905944669,45141,MATRIX SCM LTD,598.85
City Development,Agency Admin/Cleric,Professional,1905944679,45141,MATRIX SCM LTD,598.85
City Development,Agency Admin/Cleric,Professional,1905944680,45141,MATRIX SCM LTD,598.85
Neighbourhoods,Agency Admin/Cleric,Professional,1905944617,45141,MATRIX SCM LTD,595.7
Neighbourhoods,Agency Admin/Cleric,Professional,1905944699,45141,MATRIX SCM LTD,595.7
City Development,Agency Admin/Cleric,Professional,1905944655,45141,MATRIX SCM LTD,589.4
City Development,Agency Admin/Cleric,Professional,1905944656,45141,MATRIX SCM LTD,585.9
City Development,Agency Admin/Cleric,Professional,1905944664,45141,MATRIX SCM LTD,585.9
Neighbourhoods,Agency Admin/Cleric,Professional,1905944559,45141,MATRIX SCM LTD,582.4
Neighbourhoods,Agency Admin/Cleric,Professional,1905944593,45141,MATRIX SCM LTD,582.4
Neighbourhoods,Agency Admin/Cleric,Professional,1905944621,45141,MATRIX SCM LTD,582.4
Neighbourhoods,Agency Admin/Cleric,Professional,1905944631,45141,MATRIX SCM LTD,582.4
Neighbourhoods,Agency Admin/Cleric,Professional,1905944653,45141,MATRIX SCM LTD,582.4
Neighbourhoods,Agency Admin/Cleric,Professional,1905944714,45141,MATRIX SCM LTD,582.4
Neighbourhoods,Agency Admin/Cleric,Professional,1905944716,45141,MATRIX SCM LTD,582.4
