Beneficiary,Transactiosn Date,TransNo,Procurement,Purpose of Spend,Organisation,Amount
AMZNMktplace TQ0CA1KK4,19/11/2024,31181049,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,217.34
FUNIGLOBAL REINO UNIDO,19/11/2024,31180855,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,130.68
PEEL MEDIA - CAR PARK,19/11/2024,31181067,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,12.00
ScreenPal (formerly Sc,19/11/2024,31176069,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,-58.26
AMAZON  T33DA4DL4,20/11/2024,31181228,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,38.76
AMAZON  T37IH2PM4,20/11/2024,31180991,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,241.44
AMAZON  T380X5OV4,20/11/2024,31180914,"Supplies, Services & Other Expenses",Food,Greater Manchester Combined Authority,89.05
AMAZON  T380X5OV4,20/11/2024,31181127,"Supplies, Services & Other Expenses",Food,Greater Manchester Combined Authority,-23.10
AMAZON  TL8MO4V84,20/11/2024,31181217,"Supplies, Services & Other Expenses",Operational Equipment Consumables,Greater Manchester Combined Authority,9.98
AMAZON  TQ5ZC82O4,20/11/2024,31181083,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,-99.38
AMAZON  TQ5ZC82O4,20/11/2024,31180969,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,-5.60
AMAZON  TQ9QH1S14,20/11/2024,31181029,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,108.26
AMAZON  TR7WV2T14,20/11/2024,31181074,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,5.00
AMZNMktplace TQ31396N4,20/11/2024,31181242,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,35.98
Canva  04323-34674618,20/11/2024,31181206,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,10.99
CO-OP GROUP 108196,20/11/2024,31181232,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,10.25
GM BUSINESS SUPPORT LI,20/11/2024,31181237,"Supplies, Services & Other Expenses",Hospitality,Greater Manchester Combined Authority,60.00
Intuit Ltd Mailchimp,20/11/2024,31181072,"Supplies, Services & Other Expenses",Events,Greater Manchester Combined Authority,18.74
LIDL GB BURY,20/11/2024,31181173,"Supplies, Services & Other Expenses",Food,Greater Manchester Combined Authority,100.76
PRO SUB FEE,20/11/2024,31176027,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,12.00
PRO SUB FEE,20/11/2024,31178517,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,12.00
PRO SUB FEE,20/11/2024,31181118,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,12.00
TESCO STORES 2142,20/11/2024,31181186,"Supplies, Services & Other Expenses",Food,Greater Manchester Combined Authority,20.32
WM MORRISONS STORE,20/11/2024,31180942,"Supplies, Services & Other Expenses",Food,Greater Manchester Combined Authority,30.00
WM MORRISONS STORE,20/11/2024,31181031,"Supplies, Services & Other Expenses",Food,Greater Manchester Combined Authority,57.95
APPLE.COM/BILL,21/11/2024,31175977,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,0.99
LIDL GB BOLTON,21/11/2024,31175965,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,12.49
SAINSBURYS S/MKTS,21/11/2024,31175948,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,50.00
SAINSBURYS S/MKTS,21/11/2024,31175961,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,50.00
SAINSBURYS S/MKTS,21/11/2024,31175972,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,50.00
SAINSBURYS S/MKTS,21/11/2024,31176076,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,50.00
SAINSBURYS S/MKTS,21/11/2024,31176128,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,50.00
SAINSBURYS SUPERMA,21/11/2024,31166846,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,50.00
AMAZON  TL9AX7FS4,22/11/2024,31180938,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,49.99
AMZNMktplace TR1C12O64,22/11/2024,31181033,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,59.99
AMZNMktplace TX3BW3FT4,22/11/2024,31180916,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,53.34
B & Q 1304,22/11/2024,31180965,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,23.41
B & Q 1304,22/11/2024,31181200,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,8.08
BRIAN S.POPE LIMITED,22/11/2024,31180908,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,63.10
ESSO RAMSBOTTOM,22/11/2024,31181164,Transport Related Expenditure,Fuel,Greater Manchester Combined Authority,4.25
HALFORDS 0830,22/11/2024,31181148,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,9.49
IONOS CLOUD LTD,22/11/2024,31180874,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,15.72
IONOS CLOUD LTD,22/11/2024,31180990,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,115.44
IONOS CLOUD LTD,22/11/2024,31181177,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,341.40
ONE STOP FENCING P,22/11/2024,31181126,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,177.60
SAINSBURY´S S/MKT,22/11/2024,31180842,"Supplies, Services & Other Expenses",Operational Equipment Consumables,Greater Manchester Combined Authority,45.90
SCREWFIX DIR LTD,22/11/2024,31180875,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,178.27
TESCO PFS 4194,22/11/2024,31180978,Transport Related Expenditure,Fuel,Greater Manchester Combined Authority,50.37
TESCO PFS 4194,22/11/2024,31181192,Transport Related Expenditure,Fuel,Greater Manchester Combined Authority,58.34
UKRATCHETSTRAPS,22/11/2024,31178473,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,43.07
CO-OP GROUP 070283,24/11/2024,31180944,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,5.61
INST OF ADV MOTORI,24/11/2024,31178793,Indirect Employee Allowances,Devolved Training,Greater Manchester Combined Authority,215.00
AMAZON  FU4E923E5,25/11/2024,31175984,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,36.97
AMAZON  TQ6F02WM4,25/11/2024,31181113,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,35.97
AMAZON  TR3GK2ZI4,25/11/2024,31181003,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,14.58
AMZNMktplace,25/11/2024,31173509,Indirect Employee Allowances,Other Training Expenses,Greater Manchester Combined Authority,-46.99
AMZNMktplace HS5UV0CJ4,25/11/2024,31169086,Indirect Employee Allowances,Other Training Expenses,Greater Manchester Combined Authority,131.99
AMZNMktplace TO6RG22K4,25/11/2024,31178584,"Supplies, Services & Other Expenses",Office Equipment,Greater Manchester Combined Authority,69.99
CIVIL AVIATION AUTHORI,25/11/2024,31180866,"Supplies, Services & Other Expenses",Professional Fees,Greater Manchester Combined Authority,11.13
Decathlon,25/11/2024,31178733,"Supplies, Services & Other Expenses",Overseas Response Team,Greater Manchester Combined Authority,249.95
DISHOOM BIRMINGHAM,25/11/2024,31178701,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,56.36
FOAMS 4 SPORTS,25/11/2024,31181096,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,449.86
HALFORDS 0792,25/11/2024,31178590,"Supplies, Services & Other Expenses",Operational Equipment Non-Consumables,Greater Manchester Combined Authority,5.00
LEONARDO GLASGOW WESTE,25/11/2024,31181129,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,5.00
LIFEBUOYS DIRECT,25/11/2024,31181094,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,209.39
MCDONALDS,25/11/2024,31175993,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,40.35
Mijo,25/11/2024,31181130,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,20.50
NEC CATERING INT,25/11/2024,31178599,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,45.80
OLD SCHOOLHOUSE,25/11/2024,31181026,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,79.12
SAFE DRIVING FOR LIFE,25/11/2024,31178839,Indirect Employee Allowances,Other Training Expenses,Greater Manchester Combined Authority,30.00
SAINSBURYS S/MKTS,25/11/2024,31176147,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,7.00
SCREWFIX DIR LTD,25/11/2024,31181124,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,71.97
SOUTHAMPTON CC PARKING,25/11/2024,31178878,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.00
SQ  MERSEYSIDE FIRE &,25/11/2024,31178535,"Supplies, Services & Other Expenses",Overseas Response Team,Greater Manchester Combined Authority,5.60
SQ  MERSEYSIDE FIRE &,25/11/2024,31178819,"Supplies, Services & Other Expenses",Overseas Response Team,Greater Manchester Combined Authority,4.00
Tebay Services Southb,25/11/2024,31181020,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,30.70
TESCO PFS 2455,25/11/2024,31181060,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,9.15
TESCO PFS 2455,25/11/2024,31178721,Transport Related Expenditure,Fuel,Greater Manchester Combined Authority,59.42
TESCO STORES 3396,25/11/2024,31180939,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,3.35
THISTLE LONDON HEATHRO,25/11/2024,31178433,"Supplies, Services & Other Expenses",Overseas Response Team,Greater Manchester Combined Authority,-15.00
THISTLE LONDON HEATHRO,25/11/2024,31178465,"Supplies, Services & Other Expenses",Overseas Response Team,Greater Manchester Combined Authority,135.00
THISTLE LONDON HEATHRO,25/11/2024,31178598,"Supplies, Services & Other Expenses",Overseas Response Team,Greater Manchester Combined Authority,106.00
THISTLE LONDON HEATHRO,25/11/2024,31178633,"Supplies, Services & Other Expenses",Overseas Response Team,Greater Manchester Combined Authority,235.00
THISTLE LONDON HEATHRO,25/11/2024,31178638,"Supplies, Services & Other Expenses",Overseas Response Team,Greater Manchester Combined Authority,60.00
THISTLE LONDON HEATHRO,25/11/2024,31178828,"Supplies, Services & Other Expenses",Overseas Response Team,Greater Manchester Combined Authority,135.00
THISTLE LONDON HEATHRO,25/11/2024,31178890,"Supplies, Services & Other Expenses",Overseas Response Team,Greater Manchester Combined Authority,135.00
Westmorland HotelTebay,25/11/2024,31181078,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,110.00
Westmorland HotelTebay,25/11/2024,31178646,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,106.82
Westmorland HotelTebay,25/11/2024,31178679,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,38.00
WWW.AMAZON  204-466864,25/11/2024,31173782,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,17.06
ALDI 25 773,26/11/2024,31181171,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,7.01
ASDA STORES 4488,26/11/2024,31180987,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,15.05
Garden Bar Monton Ltd,26/11/2024,31180878,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,67.50
Intuit Ltd Mailchimp,26/11/2024,31181112,"Supplies, Services & Other Expenses",Periodicals & Magazines,Greater Manchester Combined Authority,10.14
Intuit Ltd Mailchimp,26/11/2024,31181141,"Supplies, Services & Other Expenses",Periodicals & Magazines,Greater Manchester Combined Authority,10.07
LEONARDO HOTEL BERLIN,26/11/2024,31180994,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,37.89
LEONARDO HOTEL BERLIN,26/11/2024,31180926,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,11.29
M6 TOLL,26/11/2024,31180948,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.70
MANCHESTER CITY COUNCI,26/11/2024,31180881,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,20.50
NCP MANCHESTER OXFFORD,26/11/2024,31180859,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,14.85
NCP MANCHESTER OXFFORD,26/11/2024,31180956,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,19.80
Q PARK DEANSGATE NORTH,26/11/2024,31178554,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,17.50
STARBUCKS OAKWOOD GATE,26/11/2024,31180867,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,8.05
TIMPSON LIMITED,26/11/2024,31181035,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,18.00
TODAY TEAM LTD,26/11/2024,31180894,"Supplies, Services & Other Expenses",Postage,Greater Manchester Combined Authority,264.00
WWW.EVENTWORKSEUROPE.C,26/11/2024,31181236,"Supplies, Services & Other Expenses",Conference,Greater Manchester Combined Authority,354.00
Zettle_ KIYAM GmbH,26/11/2024,31181064,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,12.49
Zettle_ Shuttle365 Gmb,26/11/2024,31180936,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,6.97
Zettle_ STORM-CAN GmbH,26/11/2024,31180876,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,16.28
AMZNMktplace TA20003E4,27/11/2024,31178400,"Supplies, Services & Other Expenses",Hydrant Equipment,Greater Manchester Combined Authority,224.97
M6 TOLL,27/11/2024,31180913,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.70
M6 TOLL,27/11/2024,31181069,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.70
"MOTO RUGBY, WHS",27/11/2024,31180905,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,15.00
SCREWFIX DIR LTD,27/11/2024,31180844,"Supplies, Services & Other Expenses",Hydrant Equipment,Greater Manchester Combined Authority,87.24
Amazon.co.uk TX7A69074,28/11/2024,31180960,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,28.30
ARCHIES MANCHESTER AIR,28/11/2024,31181030,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,20.97
ARCHIES MANCHESTER AIR,28/11/2024,31181145,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,60.09
AVANTI MTIS,28/11/2024,31180941,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,17.50
CITIPARK,28/11/2024,31181073,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,14.00
Costco Wholesale #105,28/11/2024,31181248,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,19.99
EMP IDEAL P TERCEIRE,28/11/2024,31180831,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,9.53
HIGH PEAK BOROUGH COUN,28/11/2024,31180848,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,6.80
INTERNATIONALWOMENSDAY,28/11/2024,31181107,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,690.00
KEBABS DA PRAIA,28/11/2024,31181056,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,20.36
M6 TOLL,28/11/2024,31181197,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.70
MANCHESTER CITY COUNCI,28/11/2024,31180982,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,20.50
MANCHESTER CITY COUNCI,28/11/2024,31181053,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,20.50
NCP MANCHESTER OXFFORD,28/11/2024,31178653,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,7.50
NCP MANCHESTER OXFFORD,28/11/2024,31180845,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,24.95
NCP MANCHESTER OXFFORD,28/11/2024,31180977,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,19.80
NCP MANCHESTER OXFFORD,28/11/2024,31181052,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,7.50
PAYPAL  LINNEYSEQUE,28/11/2024,31180918,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,40.00
PRESTON CAR PARK,28/11/2024,31181095,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,25.00
Q PARK PICCADILLY PLAC,28/11/2024,31180839,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,10.50
REST DELIA MARTINS,28/11/2024,31181055,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,14.32
ROYAL YACHTING ASSOC,28/11/2024,31181175,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,55.00
SPRINGFIELD SERVICE ST,28/11/2024,31180872,Transport Related Expenditure,Fuel,Greater Manchester Combined Authority,4.83
TEXAN,28/11/2024,31181223,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,176.78
TFL TRAVEL CH,28/11/2024,31181097,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,2.70
TFL TRAVEL CH,28/11/2024,31181203,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,5.40
THE COFFEE HOUSE & KIT,28/11/2024,31181252,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,32.50
THE RANGE,28/11/2024,31181137,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,28.00
STARBUCKS,30/11/2024,31181240,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,11.82
A P H SUPPLIES LTD,01/12/2024,31173748,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,9.00
ADK Security Limited,01/12/2024,31181191,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,61.20
Amazon Prime T14IB3TC4,01/12/2024,31180967,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,8.99
AMZNMktplace T34N85HK4,01/12/2024,31180910,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,17.98
AMZNMktplace TL5HR7LP4,01/12/2024,31181111,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,8.99
B & Q 1057,01/12/2024,31180864,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,53.34
B & Q 1057,01/12/2024,31180966,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,41.31
B & Q 1229,01/12/2024,31180887,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,66.01
B & Q 1304,01/12/2024,31181218,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,13.47
B & Q 1311,01/12/2024,31181168,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,29.55
BEAUMONT ELECTRICAL,01/12/2024,31178734,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,10.00
CROWN DECORATING CENTR,01/12/2024,31178566,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,174.77
CROWN DECORATING CENTR,01/12/2024,31180889,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,-69.30
CROWN DECORATING CENTR,01/12/2024,31180902,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,88.49
CROWN DECORATING CENTR,01/12/2024,31180937,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,43.70
Dulux Decorator Centre,01/12/2024,31181132,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,86.38
eBay O 09-12196-96830,01/12/2024,31181146,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,43.98
eBay O 18-12251-36513,01/12/2024,31181143,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,7.45
eBay O 18-12251-36514,01/12/2024,31181010,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,6.49
eBay O 18-12251-36515,01/12/2024,31180929,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,3.75
ELECTRIC CENTRE,01/12/2024,31181180,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,224.68
ELECTRIC CENTRE,01/12/2024,31181226,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,3.05
ELECTRIC CENTRE,01/12/2024,31181227,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,27.88
ELECTRIC CENTRE,01/12/2024,31180825,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,43.56
ELECTRIC CENTRE,01/12/2024,31180835,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,190.09
ELECTRIC CENTRE,01/12/2024,31180862,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,8.17
ELECTRIC CENTRE,01/12/2024,31180886,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,65.98
ELECTRIC CENTRE,01/12/2024,31180898,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,76.31
ELECTRIC CENTRE,01/12/2024,31180919,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,27.77
ELECTRIC CENTRE,01/12/2024,31181006,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,61.68
ELECTRIC CENTRE,01/12/2024,31181009,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,26.65
ELECTRIC CENTRE,01/12/2024,31181042,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,17.40
ELECTRIC CENTRE,01/12/2024,31181071,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,37.91
ELECTRIC CENTRE,01/12/2024,31181090,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,50.46
George Hill Bolton Bol,01/12/2024,31181172,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,163.31
George Hill Bolton Bol,01/12/2024,31173718,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,365.95
George Hill Bolton Bol,01/12/2024,31180959,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,276.48
George Hill Bolton Bol,01/12/2024,31181102,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,598.26
George Hill Bolton Bol,01/12/2024,31181116,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,95.33
HMG PAINTS LTD,01/12/2024,31180946,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,60.80
MURFIX LIMITED,01/12/2024,31173677,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,151.03
MURFIX LIMITED,01/12/2024,31178562,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,74.17
MURFIX LIMITED,01/12/2024,31180838,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,218.33
MURFIX LIMITED,01/12/2024,31181160,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,97.12
PERTONSTORE COM LTD,01/12/2024,31181013,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,9.00
SCREWFIX DIR LTD,01/12/2024,31180851,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,16.99
SCREWFIX DIR LTD,01/12/2024,31181007,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,41.76
SCREWFIX DIR LTD,01/12/2024,31181028,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,34.99
SCREWFIX DIR LTD,01/12/2024,31181032,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,89.96
SCREWFIX DIRECT,01/12/2024,31181209,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,4.29
SCREWFIX DIRECT,01/12/2024,31180856,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,120.52
SCREWFIX DIRECT,01/12/2024,31180924,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,11.37
SCREWFIX DIRECT,01/12/2024,31180992,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,32.99
SCREWFIX DIRECT,01/12/2024,31181017,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,93.49
SCREWFIX DIRECT,01/12/2024,31181041,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,10.91
SCREWFIX DIRECT,01/12/2024,31181043,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,276.57
SCREWFIX DIRECT,01/12/2024,31181047,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,16.38
SCREWFIX DIRECT,01/12/2024,31181051,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,167.96
SCREWFIX DIRECT,01/12/2024,31181103,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,67.96
SCREWFIX DIRECT,01/12/2024,31181131,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,9.99
SCREWFIX DIRECT,01/12/2024,31181174,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,68.10
SELCO TRADING CTR,01/12/2024,31180927,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,27.54
SELCO TRADING CTR,01/12/2024,31181151,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,43.33
TOOLSTATION LTD,01/12/2024,31181183,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,62.58
TOOLSTATION LTD,01/12/2024,31180906,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,54.54
TOOLSTATION LTD,01/12/2024,31180940,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,56.44
TOOLSTATION LTD,01/12/2024,31180976,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,37.52
