Line,Clearance Date,Reference,Type,Value,Supplier or Redacted Statement,Supplier No.,Directorate/Balance Sheet Heading,Area of Spend,Service Level,Expense Code,Expense Description,,
21,2025-03-06 00:00:00,0014903109,INV,440.76,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Cap Grant Exp,X1101B2000700239,RECH WK O P&T RWO Exp P&T
22,2025-03-06 00:00:00,0014903109,INV,341.49,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Cap Grant Exp,X1101B2000700243,RECH WK O P&T RWO Exp P&T
23,2025-03-24 00:00:00,0041348778,INV,5000,PROJECT CENTRE LTD,03925100,NET ASSETS,Current Assets,Short Term Debtors,B2000,Cap Grant Exp,X1101B2000700262,RECH WK O P&T RWO Exp P&T
24,2025-03-31 00:00:00,0014903257,INV,3433.72,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Cap Grant Exp,X1101B2000700266,RECH WK O P&T RWO Exp P&T
25,2025-03-31 00:00:00,0014903257,INV,2660.36,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Cap Grant Exp,X1101B2000700274,RECH WK O P&T RWO Exp P&T
26,2025-03-06 00:00:00,0014903109,INV,269.48,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Cap Grant Exp,X1101B2000700277,RECH WK O P&T RWO Exp P&T
27,2025-03-06 00:00:00,0014903109,INV,240.62,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Cap Grant Exp,X1101B2000700278,RECH WK O P&T RWO Exp P&T
28,2025-03-06 00:00:00,0014903109,INV,1679.5,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Cap Grant Exp,X1101B2000700280,RECH WK O P&T RWO Exp P&T
29,2025-03-06 00:00:00,0014903109,INV,1070.57,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Cap Grant Exp,X1101B2000700281,RECH WK O P&T RWO Exp P&T
30,2025-03-31 00:00:00,0014903257,INV,908.6,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Cap Grant Exp,X1101B2000700282,RECH WK O P&T RWO Exp P&T
31,2025-03-06 00:00:00,0014903109,INV,216.9,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Cap Grant Exp,X1101B2000700283,RECH WK O P&T RWO Exp P&T
32,2025-03-31 00:00:00,0014903257,INV,216.9,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Cap Grant Exp,X1101B2000700284,RECH WK O P&T RWO Exp P&T
33,2025-03-31 00:00:00,0014903257,INV,918.66,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Cap Grant Exp,X1101B2000701630,RECH WK O P&T Exp RechWK R&D
34,2025-03-31 00:00:00,0014903257,INV,216.9,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Cap Grant Exp,X1101B2000701904,RECH WK O P&T RWO B/F P&T
35,2025-03-03 00:00:00,0041348432,INV,630.2,B W  MAY & SON LTD.,80017100,NET ASSETS,Current Assets,Short Term Debtors,B7500,Dir Inc CozNur,X1105B7500705153,RCH WK BLDG CT RCH WK BLD CT
36,2025-03-03 00:00:00,0041348433,INV,750.94,B W  MAY & SON LTD.,80017100,NET ASSETS,Current Assets,Short Term Debtors,B7500,Dir Inc CozNur,X1105B7500705154,RCH WK BLDG CT RCH WK BLD CT
37,2025-03-13 00:00:00,0016973666,INV,-2950.14,EXPLORE MODULAR LIMITED,80848500,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Cap Grant Exp,X1723B2000807250,RETENTIONS EDU Cont Retention
38,2025-03-24 00:00:00,0016974900,INV,376.36,DOUGS MAINTENANCE SERVICES LTD,80152900,NET ASSETS,Current Liabilities,Short Term Creditors,B0100,Bal bf Coz Nur,X5510B0100050130,RETENTIONS HRA Pri
39,2025-03-24 00:00:00,0016974900,INV,3150.95,DOUGS MAINTENANCE SERVICES LTD,80152900,NET ASSETS,Current Liabilities,Short Term Creditors,B0100,Bal bf Coz Nur,X5510B0100050130,RETENTIONS HRA Pri
40,2025-03-13 00:00:00,0014903166,INV,153258.38,HOO ST WERBURGH PARISH COUNCIL,01124600,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,Cap Grant Exp,X2085B2000750203,S106 OPEN1 CAP ExpPensulaWay
41,2025-03-13 00:00:00,0014903166,INV,17563.85,HOO ST WERBURGH PARISH COUNCIL,01124600,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,Cap Grant Exp,X2085B2000750395,S106 OPEN1 CAP DirExpMC213379
42,2025-03-24 00:00:00,0041350339,INV,328,MOVE REPORTS UK,14569200,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,Cap Grant Exp,X4024B2000800048,CAPR PROP REV Bobby Vant Pnt
43,2025-03-31 00:00:00,0014903257,INV,7000,VOLKER HIGHWAYS LTD,80156300,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,Cap Grant Exp,X4532B2000000000,RES COMM STRUC Direct Expenditure
44,2025-03-31 00:00:00,0014903257,INV,700,VOLKER HIGHWAYS LTD,80156300,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,Cap Grant Exp,X4534B2000999998,S38 ADOPT FEES ExpS38DevFees
45,2025-03-13 00:00:00,0014903165,INV,101104.71,HOO ST WERBURGH PARISH COUNCIL,01124600,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,Cap Grant Exp,X4544B2000750264,S106 OPSPC REV Exp180620 ElmAv
46,2025-03-13 00:00:00,0014903166,INV,11688.1,HOO ST WERBURGH PARISH COUNCIL,01124600,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,Cap Grant Exp,X4544B2000750363,S106 OPSPC REV DirectExp Hllcrst Rtclff
47,2025-03-31 00:00:00,0016976283,INV,225,MICHAEL PARKES SURVEYORS LTD,02065600,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,Cap Grant Exp,X5800B2000000000,HRA CAP REC Direct Expenditure
48,2025-03-31 00:00:00,0016976284,INV,225,MICHAEL PARKES SURVEYORS LTD,02065600,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,Cap Grant Exp,X5800B2000000000,HRA CAP REC Direct Expenditure
49,2025-03-31 00:00:00,0016976285,INV,225,MICHAEL PARKES SURVEYORS LTD,02065600,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,Cap Grant Exp,X5800B2000000000,HRA CAP REC Direct Expenditure
50,2025-03-11 00:00:00,0041348676,INV,720,MEDWAY NORSE LTD,03759400,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C0500,BldgWorks-Main,9S061C0500900022,CHILDASSESSMEN OldVicBdgWks
51,2025-03-20 00:00:00,0041349971,INV,489.5,MEDWAY NORSE LTD,03759400,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C0500,BldgWorks-Main,9S061C0500900022,CHILDASSESSMEN OldVicBdgWks
52,2025-03-20 00:00:00,0041349971,INV,489.5,MEDWAY NORSE LTD,03759400,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C0500,BldgWorks-Main,9S061C0500900022,CHILDASSESSMEN OldVicBdgWks
53,2025-03-13 00:00:00,0041349206,INV,51112.35,DIRECTLINE STRUCTURES LIMITED,80167100,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,ViewRdBusShelt,9X586C1500000000,STROOD ACADEMY Building Wks
54,2025-03-10 00:00:00,0041348832,INV,4050,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,ViewRdBusShelt,9X588C1400000000,VICTORYACADEMY Desgn Fees Ext
55,2025-03-20 00:00:00,0041350051,INV,2025,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,ViewRdBusShelt,9X588C1400000000,VICTORYACADEMY Desgn Fees Ext
56,2025-03-27 00:00:00,0041350702,INV,127402.16,PERFECT HOMES LTD,80166200,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,ViewRdBusShelt,9X588C1500000000,VICTORYACADEMY Building Wks
57,2025-03-27 00:00:00,0041350702,INV,218524.82,PERFECT HOMES LTD,80166200,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,ViewRdBusShelt,9X588C1500000000,VICTORYACADEMY Building Wks
58,2025-03-10 00:00:00,0041348825,INV,3528,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,ViewRdBusShelt,9X589C1400000000,RIVERMEAD Desgn Fees Ext
59,2025-03-20 00:00:00,0041349980,INV,1764,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,ViewRdBusShelt,9X589C1400000000,RIVERMEAD Desgn Fees Ext
60,2025-03-20 00:00:00,0041349246,INV,1960,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,ViewRdBusShelt,9X591C1500000000,GREENACRE ACAD Building Wks
61,2025-03-20 00:00:00,0041349989,INV,1470,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,ViewRdBusShelt,9X591C1500000000,GREENACRE ACAD Building Wks
62,2025-03-13 00:00:00,0041348985,INV,560016.76,NEILCOTT CONSTRUCTION LTD,80147400,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,ViewRdBusShelt,9X591C1500000000,GREENACRE ACAD Building Wks
63,2025-03-13 00:00:00,0041349037,INV,320600.75,LEIGH ACADEMIES TRUST,13787500,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,ViewRdBusShelt,9X592C1500000000,HUNDRED OF HOO Building Wks
64,2025-03-20 00:00:00,0041349820,INV,69645.36,LEIGH ACADEMIES TRUST,13787500,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,ViewRdBusShelt,9X592C1500000000,HUNDRED OF HOO Building Wks
65,2025-03-27 00:00:00,0014903236,INV,835,C J BELL HEALTH & SAFETY LTD,03827400,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1400,ViewRdBusShelt,9X597C1400000000,LUTON PRIM Desgn Fees Ext
66,2025-03-13 00:00:00,0041348217,INV,2922.5,C J BELL HEALTH & SAFETY LTD,03827400,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1400,ViewRdBusShelt,9X597C1400000000,LUTON PRIM Desgn Fees Ext
67,2025-03-13 00:00:00,0016973666,INV,98338.16,EXPLORE MODULAR LIMITED,80848500,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,ViewRdBusShelt,9X597C1500000000,LUTON PRIM Building Wks
68,2025-03-10 00:00:00,0041348822,INV,896.25,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,ViewRdBusShelt,9X603C1400000000,DANE CT SEND Desgn Fees Ext
69,2025-03-20 00:00:00,0041349982,INV,896.25,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,ViewRdBusShelt,9X603C1400000000,DANE CT SEND Desgn Fees Ext
70,2025-03-24 00:00:00,0041350289,INV,98165.45,G A HARPER LTD,80047200,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,ViewRdBusShelt,9X603C1500000000,DANE CT SEND Building Wks
71,2025-03-20 00:00:00,0041349202,INV,14967.53,PORTAKABIN LTD,80165800,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,ViewRdBusShelt,9X604C1500000000,ROWANS SEND Building Wks
72,2025-03-20 00:00:00,0041349208,INV,7866.8,PORTAKABIN LTD,80165800,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,ViewRdBusShelt,9X604C1500000000,ROWANS SEND Building Wks
73,2025-03-27 00:00:00,0041349200,INV,551.86,JASCOM ELECTRICAL CONTRACTORS LTD,80104100,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,ViewRdBusShelt,9X604C1500000000,ROWANS SEND Building Wks
74,2025-03-20 00:00:00,0041349827,INV,3200,LEIGH ACADEMIES TRUST,13787500,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,ViewRdBusShelt,9X606C1500000000,LEIGH AC BN Building Wks
75,2025-03-24 00:00:00,0041350478,INV,5596,THE HOWARD ACADEMY TRUST,04033600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,ViewRdBusShelt,9X607C1500000000,HOWARD BULGE Building Wks
76,2025-03-06 00:00:00,0014903103,INV,20000,REDACTED PERSONAL DATA,13787500,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C7000,CapitalGrants&,9X609C7000751000,CHILDCAREEXPGR 100ofHooCapGrt
77,2025-03-25 00:00:00,0014903224,INV,50000,REDACTED PERSONAL DATA,04033700,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C7000,CapitalGrants&,9X609C7000751010,CHILDCAREEXPGR AllSaintCapGrt
78,2025-03-10 00:00:00,0014903154,INV,830.71,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050105,IMP HSG STOCK AsbestosRemo
79,2025-03-10 00:00:00,0014903156,INV,465.78,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050105,IMP HSG STOCK AsbestosRemo
80,2025-03-25 00:00:00,0014903228,INV,12391.73,RHODAR INDUSTRIAL SERVICES LIMITED,80848100,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050105,IMP HSG STOCK AsbestosRemo
81,2025-03-27 00:00:00,0030276693,INV,26946.74,RHODAR INDUSTRIAL SERVICES LIMITED,80848100,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050105,IMP HSG STOCK AsbestosRemo
82,2025-03-31 00:00:00,0030276706,INV,36865.31,RHODAR INDUSTRIAL SERVICES LIMITED,80848100,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050105,IMP HSG STOCK AsbestosRemo
83,2025-03-10 00:00:00,0030276504,INV,2363.24,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050105,IMP HSG STOCK AsbestosRemo
84,2025-03-25 00:00:00,0014903230,INV,96216.06,TOPCOAT CONSTRUCTION LTD T/A TCL GROUP,80848400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050132,IMP HSG STOCK PrvtBalconyWks
85,2025-03-25 00:00:00,0014903230,INV,-4810.8,TOPCOAT CONSTRUCTION LTD T/A TCL GROUP,80848400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050132,IMP HSG STOCK PrvtBalconyWks
86,2025-03-10 00:00:00,0016972675,INV,8381.88,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050147,IMP HSG STOCK Bldg Front Door
87,2025-03-24 00:00:00,0016974770,INV,2793.96,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050147,IMP HSG STOCK Bldg Front Door
88,2025-03-10 00:00:00,0016972675,INV,4944.8,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050148,IMP HSG STOCK Bldg Back Door
89,2025-03-24 00:00:00,0016974770,INV,5876.22,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050148,IMP HSG STOCK Bldg Back Door
90,2025-03-27 00:00:00,0030276691,INV,944.18,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050148,IMP HSG STOCK Bldg Back Door
91,2025-03-27 00:00:00,0041349084,INV,6645,ACORN ANALYTICAL SERVICES (UK) LIMITED,14570100,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050156,IMP HSG STOCK AsbeSrvy&Sam
92,2025-03-27 00:00:00,0041349894,INV,4265,ACORN ANALYTICAL SERVICES (UK) LIMITED,14570100,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050156,IMP HSG STOCK AsbeSrvy&Sam
93,2025-03-10 00:00:00,0014903154,INV,575.4,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050156,IMP HSG STOCK AsbeSrvy&Sam
94,2025-03-24 00:00:00,0016974820,INV,117.76,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050156,IMP HSG STOCK AsbeSrvy&Sam
95,2025-03-27 00:00:00,0014903235,INV,4399.38,RGE SERVICES LIMITED,80847900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050157,IMP HSG STOCK MainOpSmkDet
96,2025-03-24 00:00:00,0041347651,INV,470.88,PHOENIX COMPLIANCY MANAGEMENT,13797700,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050158,IMP HSG STOCK ElecTesting
97,2025-03-24 00:00:00,0041349154,INV,575.52,PHOENIX COMPLIANCY MANAGEMENT,13797700,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050158,IMP HSG STOCK ElecTesting
98,2025-03-27 00:00:00,0014903235,INV,2496,RGE SERVICES LIMITED,80847900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050158,IMP HSG STOCK ElecTesting
99,2025-03-24 00:00:00,0041350369,INV,538.56,PHOENIX COMPLIANCY MANAGEMENT,13797700,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050158,IMP HSG STOCK ElecTesting
100,2025-03-24 00:00:00,0041350372,INV,538.56,PHOENIX COMPLIANCY MANAGEMENT,13797700,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050158,IMP HSG STOCK ElecTesting
101,2025-03-24 00:00:00,0041350373,INV,418.56,PHOENIX COMPLIANCY MANAGEMENT,13797700,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050158,IMP HSG STOCK ElecTesting
102,2025-03-24 00:00:00,0041350376,INV,765,PHOENIX COMPLIANCY MANAGEMENT,13797700,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050158,IMP HSG STOCK ElecTesting
103,2025-03-27 00:00:00,0014903235,INV,1075.97,RGE SERVICES LIMITED,80847900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050159,IMP HSG STOCK ElecRepairs
104,2025-03-10 00:00:00,0030276502,INV,3692.32,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050166,IMP HSG STOCK BldgWkFlatRoof
105,2025-03-03 00:00:00,0030276482,INV,3206.69,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050166,IMP HSG STOCK BldgWkFlatRoof
106,2025-03-10 00:00:00,0030276501,INV,2712.25,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050166,IMP HSG STOCK BldgWkFlatRoof
107,2025-03-27 00:00:00,0014903235,INV,90.37,RGE SERVICES LIMITED,80847900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,ViewRdBusShelt,9H100C1500050174,IMP HSG STOCK CO2 Dets
