Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,150015,Apportioned Exps of Operational Blds,29/05/2024,4274579-415013249,"œ1,819.85",GAP GROUP LTD.
Neighbourhoods and Climate Change,Environmental Services,Premises,150015,Apportioned Exps of Operational Blds,29/05/2024,4274579-415013252,œ748.00,GAP GROUP LTD.
Neighbourhoods and Climate Change,Highways,Premises,150015,Apportioned Exps of Operational Blds,29/05/2024,4274579-415013255,œ862.84,GAP GROUP LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304357,Equipment and Materials,29/05/2024,4274579-DCC050524,"œ24,133.84",GAP GROUP LTD.
Children and Young Peoples Services,Head of Education and Skills,Third Party Payments,430100,Rendered by Private Contractors,29/05/2024,4274583-SI-0001466,"œ1,683.00",GROUNDWORK NE & CUMBRIA.
Children and Young Peoples Services,Head of Education and Skills,Third Party Payments,430100,Rendered by Private Contractors,29/05/2024,4274584-DL160524A,"œ2,894.75",HANDCRAFTED PROJECTS.
Children and Young Peoples Services,Head of Education and Skills,Third Party Payments,430100,Rendered by Private Contractors,29/05/2024,4274584-DL160524B,"œ1,287.00",HANDCRAFTED PROJECTS.
Children and Young Peoples Services,Head of Education and Skills,Third Party Payments,430100,Rendered by Private Contractors,29/05/2024,4274584-DL160524C,œ536.24,HANDCRAFTED PROJECTS.
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,29/05/2024,4274585-3661,"œ7,579.50",HIGHWAY CONSTRUCTION SERVICES LTD.
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,29/05/2024,4274585-3662,"œ9,046.50",HIGHWAY CONSTRUCTION SERVICES LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304221,Equipment and Materials,29/05/2024,4274589-8749,œ500.00,IBA FABRICATIONS LTD.
Regeneration Economy and Growth,Transport and Contract Services,Construction work A908,908105,Construction work,29/05/2024,4274591-29136,œ744.68,JACK COUPE & SONS LTD T/A COUPE LINE.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,29/05/2024,4274594-32918,"œ3,194.00",JOHN R BUTTERFIELD LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,29/05/2024,4274594-32919,"œ1,480.00",JOHN R BUTTERFIELD LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,29/05/2024,4274594-32920,"œ1,660.00",JOHN R BUTTERFIELD LTD.
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,338044,Services,29/05/2024,4274596-HAR-1-030524,"œ4,873.20",KENMOR PSYCHOLOGICAL CONSULTANCY (KPC) LTD.
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,29/05/2024,4274597-NCL001APR24,"œ2,634.09",KINGSWAY CABS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,29/05/2024,4274600-5324,"œ2,260.70",LINCAB TAXIS.
Adult and Health Services,Public Health CC0450,Third Party Payments,460803,Contract Payments,29/05/2024,4274604-FRQN/00000214,œ524.09,M WHITFIELD LTD.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Employees,080025,Agency Staff,29/05/2024,4274605-2482693,"œ262,539.20",MAGNIT GLOBAL GRI LTD.
Neighbourhoods and Climate Change,Highways,Premises,150015,Apportioned Exps of Operational Blds,29/05/2024,4274614-7003210155,œ745.28,MOBILE MINI UK LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,324001,Provisions E324,29/05/2024,4274615-907628025,œ838.66,MOLSON COORS BREWING COMPANY (UK) LTD.
Neighbourhoods and Climate Change,Highways,Construction work A908,908105,Construction work,29/05/2024,4274624-827586,œ594.96,NATIONAL WORLD PUBLISHING LTD.
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,29/05/2024,4274629-SL08140941INV,œ586.88,NORTHGATE VEHICLE HIRE LTD.
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,29/05/2024,4274629-SL08142481INV,"œ1,052.24",NORTHGATE VEHICLE HIRE LTD.
Neighbourhoods and Climate Change,Environmental Services,Stock A926,926004,Stock,29/05/2024,4274636-26877523,œ727.55,PARTSPLUS.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,29/05/2024,4274639-1409,"œ2,672.60",PODA TAXIS LTD.
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,29/05/2024,4274641-10100/240455,"œ86,437.20",RAINTON CONSTRUCTION LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,29/05/2024,4274642-E063-0424,"œ4,138.09",RAPID MINIBUSES.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,29/05/2024,4274642-E115-0424,œ591.63,RAPID MINIBUSES.
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,29/05/2024,4274642-EAS002-0424,"œ4,756.12",RAPID MINIBUSES.
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,29/05/2024,4274642-EAS093-0424,"œ2,425.89",RAPID MINIBUSES.
Chief Executives Office,Legal & Democratic Services,Supplies and Services,340001,Postages E340,29/05/2024,4274647-9070308155,"œ2,254.12",ROYAL MAIL GROUP PLC.
Children and Young Peoples Services,Head of Childrens Social Care,Third Party Payments,425041,Rendered by Voluntary Organisations,29/05/2024,4274649-3415,"œ61,765.00",SCOTTISH ADOPTION.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Supplies and Services,384086,Miscellaneous Expenses,29/05/2024,4274650-VOUCHER24NB-DCTY002,"œ4,348.00",SHERBURN COMMUNITY ASSOCIATION.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,29/05/2024,4274655-21121,"œ3,252.86",STEADFAST SECURITY SOLUTIONS LTD.
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,479101,Purchase of Care,29/05/2024,4274658-6752/2024,"œ26,219.73",SUPPORTIVE SRC LTD.
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,479101,Purchase of Care,29/05/2024,4274658-6753/2024,"œ26,219.73",SUPPORTIVE SRC LTD.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Supplies and Services,384086,Miscellaneous Expenses,29/05/2024,4274665-VOUCHER24NB-4TOG001,"œ1,100.00",THRISLINGTON BANNER GROUP.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,29/05/2024,4274667-41292,"œ2,769.85",TODDS HIGHWAY MAINTENANCE LTD.
Chief Executives Office,Legal & Democratic Services,Supplies and Services,338066,Services,29/05/2024,4274669-313956/INVCB72,"œ1,500.00",TRINITY CHAMBERS.
Chief Executives Office,Legal & Democratic Services,Supplies and Services,338066,Services,29/05/2024,4274669-313956/INVCB75,œ800.00,TRINITY CHAMBERS.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304221,Equipment and Materials,29/05/2024,4274670-IN0318428,œ506.82,TUDOR (UK) LTD T/A TUDOR ENVIRONMENTAL.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,29/05/2024,4274673-53234,"œ4,676.00",W MARLEY AGRICULTURAL CONTRACTORS LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,29/05/2024,4274673-53235,"œ3,101.00",W MARLEY AGRICULTURAL CONTRACTORS LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,338047,Services,29/05/2024,4274675-2135931,œ660.00,WALT DISNEY COMPANY LTD.
Regeneration Economy and Growth,Corporate Property and Land,Premises,135005,Water Services,29/05/2024,4274676-8888892771413461557,œ723.42,WAVE (AWBN).
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304999,Equipment and Materials,29/05/2024,4274678-0000825222,"œ1,482.19",WICKSTEED LEISURE LTD.
Neighbourhoods and Climate Change,Environmental Services,Construction work A908,908105,Construction work,29/05/2024,4274679-24-0104,"œ43,000.00",WM O SILMON LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,29/05/2024,4274514-02403,"œ4,232.41",REDACTED - PAYMENT TO INDIVIDUAL
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,29/05/2024,4274514-02404,"œ2,614.19",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230012,Contract Hire,29/05/2024,4274514-02406,"œ3,504.13",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,29/05/2024,4274514-02409,"œ2,306.12",REDACTED - PAYMENT TO INDIVIDUAL
