BODY,NAME,EXPENSE AREA,EXPENSE TYPE,REFERENCE,DATE,AMOUNT
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,RAILWAY CHILDREN DAY CARE LTD,Educational Day Nursery,11598243,45093,6010.99
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,RAVENFIELD PRIMARY ACADEMY,Supporting People - Childcare Fees,11598244,45093,6544.51
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,RAWMARSH ASHWOOD PRIMARY SCHOOL(ACADEMY),Supporting People - Childcare Fees,11598245,45093,2920.32
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,SANDHILL PRIMARY ACADEMY,Supporting People - Childcare Fees,11598247,45093,6875.39
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Childcare Fees,11598249,45093,711.36
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Childcare Fees,11598250,45093,871.87
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDSCOPE PRIMARY SCHOOL (ACADEMY),Supporting People - Childcare Fees,11598251,45093,13871.52
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,ROCKINGHAM J & I SCHOOL (ACADEMY),Supporting People - Childcare Fees,11598252,45093,10923.73
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,ROUGHWOOD PRIMARY SCHOOL (ACADEMY),Supporting People - Childcare Fees,11598253,45093,11517.01
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Childcare Fees,11598255,45093,711.36
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Childcare Fees,11598257,45093,1013.69
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,SARAH TOWNSEND,Sporting Entertainment & Culture,11598260,45093,389.37
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Childcare Fees,11598261,45093,1244.88
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Childcare Fees,11598262,45093,533.52
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,BRAMPTON CORTONWOOD INFANT SCHOOL,Supporting People - Childcare Fees,11598263,45093,11243.23
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,ST ANNS JUNIOR & INFANT SCHOOL (ACADEMY),Supporting People - Childcare Fees,11598264,45093,4562.08
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,ST BEDES CATHOLIC PRIMARY SCHOOL:,Supporting People - Childcare Fees,11598265,45093,10312.38
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,"ST JOSEPH'S PRIMARY SCHOOL, DINNINGTON -",Supporting People - Childcare Fees,11598266,45093,2962.87
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,ST MARY'S CATHOLIC PRIMARY SCHOOL,Supporting People - Childcare Fees,11598267,45093,2960
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,SWALLOWNEST PRE-SCHOOL,Supporting People - Childcare Fees,11598271,45093,5921.55
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,SWALLOWNEST PRIMARY SCHOOL (ACADEMY),Supporting People - Childcare Fees,11598272,45093,8971.14
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,SWINTON FITZWILLIAM PRIMARY (ACADEMY),Supporting People - Childcare Fees,11598273,45093,8176.89
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,SWINTON QUEEN PRIMARY (ACADEMY),Supporting People - Childcare Fees,11598274,45093,7665.84
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,ARNOLD NURSERY SCHOOL & CHILDRENS CENTRE,Educational Day Nursery,11598277,45093,27024.85
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,THE MEADOWS COMMUNITY PRE-SCHOOL,Supporting People - Childcare Fees,11598278,45093,5514.41
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,MAISIE DAYS LTD,Supporting People - Childcare Fees,11598279,45093,4179.24
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Childcare Fees,11598280,45093,936.62
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,THORPE HESLEY PRIMARY SCHOOL (ACADEMY),Supporting People - Childcare Fees,11598282,45093,16242.72
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,THRYBERGH FULLERTON C OF E PRIMARY,Supporting People - Childcare Fees,11598283,45093,9546.32
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,THRYBERGH PRIMARY SCHOOL,Supporting People - Childcare Fees,11598284,45093,3228.22
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,THURCROFT INFANT SCHOOL (ACADEMY),Supporting People - Childcare Fees,11598285,45093,13189.6
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,TINY TOTS DAY NURSERY (ROTHERHAM) LTD,Educational Day Nursery,11598286,45093,12277.98
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,TINY TOTS 2 DAY NURSERY (ROTHERHAM) LTD,Educational Day Nursery,11598287,45093,1055.02
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,DINNINGTON COMMUNITY PRIMARY (ACADEMY),Supporting People - Childcare Fees,11598288,45093,1014.58
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,TODWICK EARLY YEARS LTD,Supporting People - Childcare Fees,11598289,45093,6133.03
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,TREETON C OF E PRIMARY SCHOOL (ACADEMY),Supporting People - Childcare Fees,11598290,45093,3734.64
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,TRINITY CROFT C OF E PRIMARY ACADEMY,Supporting People - Childcare Fees,11598291,45093,6917.62
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,VPHPS LTD,Supporting People - Childcare Fees,11598292,45093,8706.78
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,WALES CHILDCARE PARTNERSHIP,Supporting People - Childcare Fees,11598293,45093,8653.51
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,WATH C OF E PRIMARY SCHOOL (ACADEMY),Supporting People - Childcare Fees,11598294,45093,7913.52
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,WATH CENTRAL PRIMARY SCHOOL (ACADEMY),Supporting People - Childcare Fees,11598295,45093,8949.82
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Childcare Fees,11598296,45093,2281.5
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,WHISTON PRE-SCHOOL,Supporting People - Childcare Fees,11598297,45093,7121.01
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,WHISTON WORRYGOOSE J & I SCHOOL ACADEMY,Supporting People - Childcare Fees,11598298,45093,6662.16
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,WICKERSLEY NORTHFIELD PRIMARY (ACADEMY),Supporting People - Childcare Fees,11598299,45093,8700.46
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,WICKERSLEY NURSERY LTD,Educational Day Nursery,11598300,45093,9268.2
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,WICKERSLEY ST. ALBANS C. OF. E. PRIMARY,Supporting People - Childcare Fees,11598301,45093,10385.85
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,WONDER YEARS INSPIRATIONAL DAY CARE,Supporting People - Childcare Fees,11598302,45093,17369.04
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,WOODSETTS PRIMARY SCHOOL (ACADEMY),Supporting People - Childcare Fees,11598303,45093,5424.12
Rotherham Metropolitan Borough Council,Finance & Customer Services,MATRIX SCM LTD,Agency Staff Services,11598304,45091,1925.43
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,MATRIX SCM LTD,Agency Staff Services,11598305,45091,931.12
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHEFFLOCK,Security,11598306,45100,121.67
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,MATRIX SCM LTD,Agency Staff Services,11598307,45091,1316.48
