Body Name,Date Paid,Transaction Number,Amount,Invoice Date,Supplier Name,Supplier Type,Invoice Number,Account,Transaction Type,Transaction Type Description,Supplier Reporting,Expense Area,Cost Centre Description ,Service Area Categorisation,Service Division Categorisation,Expense Type
West Northamptonshire Council,02-Aug-23,51400331648,£630.00,14-Jul-23,Carebank Healthcare LTD,COMPANY,1107,E7150,SPV,AP VAT Spreadsheet Import - Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Domiciliary Care
West Northamptonshire Council,02-Aug-23,51400331794,£650.00,01-Aug-23,Redacted Personal Data,INDIVIDUAL,91400004152,B2000,NCP,AP Non-Commercial Payments,,Homelessness,Private Sector Leasing,Housing and Communities,Housing Solutions,Rents and Leases
West Northamptonshire Council,02-Aug-23,51400331621,£700.00,17-Jul-23,NORTON NURSES,CARE ESTABLISHMENT,33366,E7150,SPV,AP VAT Spreadsheet Import - Payments,,OP North Older People CCP LT [NCC],Physical Support CCP Long Term OP North,Adult Services,Specialist and Complex - Older People [NCC],Domiciliary Care
West Northamptonshire Council,02-Aug-23,51400331692,£700.00,28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/Daysupport/AUG23/WM,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331322,£720.00,28-Jul-23,Jonathan Hazell,COMPANY,978,D4110,II,Incoming Invoice Posting,,Planning Policy & Specialist Services,Historic Environment,Planning - Development Management and Policy,Planning Policy & Specialist Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331795,£750.00,01-Aug-23,Redacted Personal Data,INDIVIDUAL,91400004153,B2000,NCP,AP Non-Commercial Payments,,Homelessness,Private Sector Leasing,Housing and Communities,Housing Solutions,Rents and Leases
West Northamptonshire Council,02-Aug-23,51400331691,£766.80,28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/Respite/AUG23/HB,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331690,£766.80,28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/Respite/AUG23/MG,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331796,£775.00,01-Aug-23,Touchstone Residential,COMPANY,91400004168,D4110,NCP,AP Non-Commercial Payments,,Homelessness,Homeless Prevention Fund,Housing and Communities,Housing Solutions,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331353,£792.00,28-Jul-23,J & S Potter Ltd,COMPANY,3814,B3000,II,Incoming Invoice Posting,,Car parks management Northampton,Upper Mounts Car Park,Assets and Environment,A&E Public Realm & Heritage,"Fixtures, Fittings and Furnishings"
West Northamptonshire Council,02-Aug-23,51400331624,£798.00,17-Jul-23,NORTON NURSES,CARE ESTABLISHMENT,33369,E7150,SPV,AP VAT Spreadsheet Import - Payments,,OP North Older People CCP LT [NCC],Physical Support CCP Long Term OP North,Adult Services,Specialist and Complex - Older People [NCC],Domiciliary Care
West Northamptonshire Council,02-Aug-23,51400176724,£799.16,04-Jul-22,Chubb Fire and Security,COMPANY,9418423,B3110,II,Incoming Invoice Posting,,Property Management [NBC],Hard Facilities Management,Assets and Environment,A&E Works,Fire Prevention Equipment
West Northamptonshire Council,02-Aug-23,51400331132,£818.06,27-Jul-23,ACS Business Supplies,COMPANY,SINV00823678,D5035,II,Incoming Invoice Posting,,Communications & Marketing [NCC],Communications Team,Assistant Chief Executive,Communications and Marketing [NCC],Computer software - annual licence agreement
West Northamptonshire Council,02-Aug-23,51400331636,£822.00,14-Jul-23,Day And Nightcare Assistance,CARE ESTABLISHMENT,29922,E7150,SPV,AP VAT Spreadsheet Import - Payments,,OP North Older People CCP LT [NCC],Physical Support CCP Long Term OP North,Adult Services,Specialist and Complex - Older People [NCC],Domiciliary Care
West Northamptonshire Council,02-Aug-23,51400331580,£828.60,01-Aug-23,ACORN CARE & EDUCATION LTD (SALES),TRADE SUPPLIER,105291,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,02-Aug-23,51400331622,£847.00,17-Jul-23,NORTON NURSES,CARE ESTABLISHMENT,33367,E7150,SPV,AP VAT Spreadsheet Import - Payments,,PD Physical Disability CCP LT [NCC],Physical Support CCP Long Term PD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Domiciliary Care
West Northamptonshire Council,02-Aug-23,51400331668,£894.60,28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/CP,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331585,£897.88,01-Aug-23,ACORN CARE & EDUCATION LTD (SALES),TRADE SUPPLIER,105296,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,02-Aug-23,51400331582,£912.13,01-Aug-23,ACORN CARE & EDUCATION LTD (SALES),TRADE SUPPLIER,105293,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,02-Aug-23,51400331807,£921.00,01-Aug-23,Nabida Care Ltd,CARE ESTABLISHMENT,N1521985 P137229-00001,E7170,CPN,Social Care West Northampton Council CareCost Payments,,Community Team Care Costs - Northampton Hub 1,Mental Health CCP LT Community Northampton 1,Adult Services,Community Teams Care Costs 2,Suppported Living
West Northamptonshire Council,02-Aug-23,51400331583,£954.89,01-Aug-23,ACORN CARE & EDUCATION LTD (SALES),TRADE SUPPLIER,105294,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,02-Aug-23,51400331625,£955.28,14-Jul-23,Day And Nightcare Assistance,CARE ESTABLISHMENT,29849,E7150,SPV,AP VAT Spreadsheet Import - Payments,,TR Transitions CCP LT [NCC],Physical Support CCP Long Term TR,Adult Services,Specialist and Complex - Working Age Adults [NCC],Domiciliary Care
West Northamptonshire Council,02-Aug-23,51400331616,£975.36,14-Jul-23,SANCTUARY OASIS LTD,CARE ESTABLISHMENT,1852,E7150,SPV,AP VAT Spreadsheet Import - Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Domiciliary Care
West Northamptonshire Council,02-Aug-23,51400331628,£993.92,03-Jul-23,Peartree1 Ltd,CARE ESTABLISHMENT,6462,E7150,SPV,AP VAT Spreadsheet Import - Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Domiciliary Care
West Northamptonshire Council,02-Aug-23,51400331693,"£1,000.00",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/Daysupport/AUG23/AS,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331635,"£1,044.96",14-Jul-23,Day And Nightcare Assistance,CARE ESTABLISHMENT,29868,E7150,SPV,AP VAT Spreadsheet Import - Payments,,OP North Older People CCP LT [NCC],Physical Support CCP Long Term OP North,Adult Services,Specialist and Complex - Older People [NCC],Domiciliary Care
West Northamptonshire Council,02-Aug-23,51400331584,"£1,068.90",01-Aug-23,ACORN CARE & EDUCATION LTD (SALES),TRADE SUPPLIER,105295,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,02-Aug-23,51400331673,"£1,134.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/AM,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331842,"£1,143.76",12-Feb-23,Bristow & Sutor,COMPANY,251627,D4510,II,Incoming Invoice Posting,,Council Tax Collection(WNC),Cost Of Collection Council Tax(WNC),Revenue & Benefits,Revenues and Benefits,Debt Recovery
West Northamptonshire Council,02-Aug-23,51400331630,"£1,146.00",02-Jun-23,SureCare Rugby & North Warwickshire Ltd,CARE ESTABLISHMENT,3620,E7150,SPV,AP VAT Spreadsheet Import - Payments,,PD Physical Disability CCP LT [NCC],Physical Support CCP Long Term PD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Domiciliary Care
West Northamptonshire Council,02-Aug-23,51400331640,"£1,162.50",14-Jul-23,ADVANCE HOUSING AND SUPPORT,TRADE SUPPLIER,IN00006997,E7150,SPV,AP VAT Spreadsheet Import - Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Domiciliary Care
West Northamptonshire Council,02-Aug-23,51400331788,"£1,200.00",28-Jul-23,PETER HADDON & PARTNERS,TRADE SUPPLIER,SI-2023073,XB020,II,Incoming Invoice Posting,,Economic Development,24 Guildhall Road Block,Economic Growth & Regeneration,Economic Development,Construction - External Professional Fees
West Northamptonshire Council,02-Aug-23,51400331120,"£1,200.20",18-Jul-23,Pathfinder Legal Services Limited,TRADE SUPPLIER,280254VAT,D4105,II,Incoming Invoice Posting,,PS&E General Estates Management,Estates Management,Assets and Environment,A&E Property and Estates Management,External Legal Fees
West Northamptonshire Council,02-Aug-23,51400331639,"£1,210.96",22-Jun-23,CARERS TRUST NORTH BUCKS & MILTON KEYNES,CARE ESTABLISHMENT,430683,E7150,SPV,AP VAT Spreadsheet Import - Payments,,OP North Older People CCP LT [NCC],Physical Support CCP Long Term OP North,Adult Services,Specialist and Complex - Older People [NCC],Domiciliary Care
West Northamptonshire Council,02-Aug-23,51400331617,"£1,219.20",14-Jul-23,SANCTUARY OASIS LTD,CARE ESTABLISHMENT,1854,E7150,SPV,AP VAT Spreadsheet Import - Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Domiciliary Care
West Northamptonshire Council,02-Aug-23,51400331144,"£1,230.00",09-May-23,U T Service and Maintenance Ltd,COMPANY,UTM12188,B0515,II,Incoming Invoice Posting,,Car parks management Daventry,Closed Circuit TV,Assets and Environment,A&E Public Realm & Heritage,Specialist Servicing and Maintenance
West Northamptonshire Council,02-Aug-23,51400331798,"£1,284.94",31-Jan-23,WEIGHTMANS LLP,TRADE SUPPLIER,2144438,D4705,II,Incoming Invoice Posting,,Insurance - Claims [NCC],Liability Claims,Insurance (Non Shared Service),Insurance [NCC],Insurance Claims Paid
West Northamptonshire Council,02-Aug-23,51400331655,"£1,293.60",26-Jul-23,G M LAWRENCE ELECTRICAL LTD,COMPANY,INV-5955,B0000,II,Incoming Invoice Posting,,Property Management [NBC],Repairs & Maintenance Central Account,Assets and Environment,A&E Works,Building Repair and Maintenance
West Northamptonshire Council,02-Aug-23,51400331661,"£1,320.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/PN,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331670,"£1,320.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/PS,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331663,"£1,320.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/MP,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331658,"£1,320.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/SQ,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331671,"£1,320.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/PB,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331660,"£1,320.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/EB,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331664,"£1,320.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/KK,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331669,"£1,320.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/RA,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331678,"£1,320.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/DC,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331659,"£1,320.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/SL,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331825,"£1,367.07",31-Mar-23,Marston Holdings Limited,COMPANY,50625,D4510,II,Incoming Invoice Posting,,Council Tax Collection(WNC),Cost Of Collection Council Tax(WNC),Revenue & Benefits,Revenues and Benefits,Debt Recovery
West Northamptonshire Council,02-Aug-23,51400331662,"£1,420.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/RB,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331836,"£1,428.83",31-Jan-23,Marston Holdings Limited,COMPANY,51925,D4510,II,Incoming Invoice Posting,,Council Tax Collection(WNC),Cost Of Collection Council Tax(WNC),Revenue & Benefits,Revenues and Benefits,Debt Recovery
West Northamptonshire Council,02-Aug-23,51400331633,"£1,500.00",07-Jul-23,Demidav Ltd,CARE ESTABLISHMENT,A072,E7150,SPV,AP VAT Spreadsheet Import - Payments,,PD Physical Disability CCP LT [NCC],Physical Support CCP Long Term PD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Domiciliary Care
West Northamptonshire Council,02-Aug-23,51400331404,"£1,500.00",25-Jul-23,Abington Roofing Ltd,COMPANY,7911,B0010,II,Incoming Invoice Posting,,Property Management [NBC],Hard Facilities Management,Assets and Environment,A&E Works,Building Structural Maintenance - Reactive
West Northamptonshire Council,02-Aug-23,51400331555,"£1,528.80",26-Jul-23,G M LAWRENCE ELECTRICAL LTD,COMPANY,INV5960,E7265,II,Incoming Invoice Posting,,Property Management [NBC],Hard Facilities Management,Assets and Environment,A&E Works,Street Lighting Maintenance
West Northamptonshire Council,02-Aug-23,51400331514,"£1,600.55",10-Jul-23,ROYAL MAIL,TRADE SUPPLIER,9067926908,D5300,II,Incoming Invoice Posting,,Facilities management [NBC],Post Room - New,Assets and Environment,A&E Facilities Management,Postage & Carriage
West Northamptonshire Council,02-Aug-23,51400331645,"£1,634.11",20-Jul-23,National Autistic Society,EDUCATION,AEM4398171,E7150,SPV,AP VAT Spreadsheet Import - Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Domiciliary Care
West Northamptonshire Council,02-Aug-23,51400331620,"£1,656.00",03-Jul-23,Peartree1 Ltd,CARE ESTABLISHMENT,6459,E7150,SPV,AP VAT Spreadsheet Import - Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Domiciliary Care
West Northamptonshire Council,02-Aug-23,51400331818,"£1,664.25",30-Apr-23,Marston Holdings Limited,COMPANY,56866,D4510,II,Incoming Invoice Posting,,Council Tax Collection(WNC),Cost Of Collection Council Tax(WNC),Revenue & Benefits,Revenues and Benefits,Debt Recovery
West Northamptonshire Council,02-Aug-23,51400322104,"£1,675.20",07-Jul-23,Christoher Michael Gunn T/As Redilift Limited,COMPANY,116527,A6200,II,Incoming Invoice Posting,,Refuse and recycling [SNC],Waste & Recycling,Waste Service,"Refuse, Recycling & Collection [SNC]",Staff Training & Development
West Northamptonshire Council,02-Aug-23,51400331672,"£1,720.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/AA,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331656,"£1,720.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/JW,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331674,"£1,746.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/AS,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331676,"£1,746.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/SEW,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331680,"£1,746.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/MG,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331677,"£1,746.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/CT,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331681,"£1,746.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/WM,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331679,"£1,746.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/HB,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331657,"£1,746.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/CS,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400330651,"£1,835.95",30-Jun-23,PSL Print Management LTD,COMPANY,495794,D3000,II,Incoming Invoice Posting,,Shared Services Business Systems,Support Services Business Systems,"Digital, Technology & Innovation",Shared Services Business Systems & Change,Printing
West Northamptonshire Council,02-Aug-23,51400331513,"£1,865.44",26-Jun-23,ROYAL MAIL,TRADE SUPPLIER,9067825545,D5300,II,Incoming Invoice Posting,,Facilities management [NBC],Post Room - New,Assets and Environment,A&E Facilities Management,Postage & Carriage
West Northamptonshire Council,02-Aug-23,51400331519,"£1,905.42",17-Jul-23,ROYAL MAIL,TRADE SUPPLIER,9068002569,D5300,II,Incoming Invoice Posting,,Facilities management [NBC],Post Room - New,Assets and Environment,A&E Facilities Management,Postage & Carriage
West Northamptonshire Council,02-Aug-23,51400331517,"£1,914.12",03-Jul-23,ROYAL MAIL,TRADE SUPPLIER,9067894159,D5300,II,Incoming Invoice Posting,,Facilities management [NBC],Post Room - New,Assets and Environment,A&E Facilities Management,Postage & Carriage
West Northamptonshire Council,02-Aug-23,51400321686,"£1,920.00",07-Jul-23,Run End to End Ltd,COMPANY,41765,D4110,II,Incoming Invoice Posting,,Public Health Grant Reserve and Reinvestment [NCC],PH - Reserve Expenditure,Public Health,PH - Management and Admin [NCC],Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331675,"£1,946.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/SP,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331667,"£1,946.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/LL,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331532,"£2,016.48",26-Jul-23,G M LAWRENCE ELECTRICAL LTD,COMPANY,INV5977,B0010,II,Incoming Invoice Posting,,Property Management [NBC],Hard Facilities Management,Assets and Environment,A&E Works,Building Structural Maintenance - Reactive
West Northamptonshire Council,02-Aug-23,51400330215,"£2,050.00",07-Jul-23,Redacted Personal Data,INDIVIDUAL,KA2023-PM06,D4110,II,Incoming Invoice Posting,,Coroner Service [NCC],Coroner,Legal and Democratic Services,Coroner Service,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331631,"£2,100.00",07-Jul-23,Demidav Ltd,CARE ESTABLISHMENT,A071,E7150,SPV,AP VAT Spreadsheet Import - Payments,,PD Physical Disability CCP LT [NCC],Physical Support CCP Long Term PD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Domiciliary Care
West Northamptonshire Council,02-Aug-23,51400331143,"£2,118.00",09-May-23,U T Service and Maintenance Ltd,COMPANY,UTM12214,B0515,II,Incoming Invoice Posting,,Car parks management Daventry,Closed Circuit TV,Assets and Environment,A&E Public Realm & Heritage,Specialist Servicing and Maintenance
West Northamptonshire Council,02-Aug-23,51400330652,"£2,189.60",30-Jun-23,PSL Print Management LTD,COMPANY,495792,D3000,II,Incoming Invoice Posting,,Shared Services Business Systems,Support Services Business Systems,"Digital, Technology & Innovation",Shared Services Business Systems & Change,Printing
West Northamptonshire Council,02-Aug-23,51400320930,"£2,244.00",08-Jul-23,Fools Paradise,COMPANY,INV-18128,D4110,II,Incoming Invoice Posting,,Community services,Pride,Housing and Communities,Community Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331666,"£2,346.60",28-Jul-23,Redacted Personal Data,INDIVIDUAL,SLS/AUG23/VK,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
