Body Name,Date Paid,Transaction Number,Amount,Invoice Date,Supplier Name,Supplier Type,Invoice Number,Account,Transaction Type,Transaction Type Description,Supplier Reporting,Expense Area,Cost Centre Description ,Service Area Categorisation,Service Division Categorisation,Expense Type
West Northamptonshire Council,01-Sep-23,51400343205,"£4,000.00",30-Aug-23,ASLAN PSYCHOLOGY LTD,EDUCATION,0.72023,D4110,SPS,AP Spreadsheet Import - Payments,,Educational Psychology,Educational Psychology,Education,Education Psychology,Professional Fees and Hired Services
West Northamptonshire Council,01-Sep-23,51400343364,"£1,599.91",31-Aug-23,AVERY HEALTHCARE,CARE ESTABLISHMENT,N2211320 P138399-00001,E7145,CPN,Social Care West Northampton Council CareCost Payments,,DART Care Costs,Physical Support Res LT Discharge and Review Team,Adult Services,DART Care Costs,Residential Care
West Northamptonshire Council,01-Sep-23,51400343366,£514.29,31-Aug-23,AVERY HOMES SH LIMITED,CARE ESTABLISHMENT,N2112438 P138403-00002,E7145,CPN,Social Care West Northampton Council CareCost Payments,,DART Care Costs,Physical Support Res LT Discharge and Review Team,Adult Services,DART Care Costs,Residential Care
West Northamptonshire Council,01-Sep-23,51400343365,"£4,885.71",31-Aug-23,AVERY HOMES SH LIMITED,CARE ESTABLISHMENT,N2112438 P138403-00001,E7145,CPN,Social Care West Northampton Council CareCost Payments,,DART Care Costs,Physical Support Res LT Discharge and Review Team,Adult Services,DART Care Costs,Residential Care
West Northamptonshire Council,01-Sep-23,51400343368,"£2,664.32",31-Aug-23,BEAUMONT NURSING HOME,CARE ESTABLISHMENT,N1522374 P138397-00001,E7130,CPN,Social Care West Northampton Council CareCost Payments,,DART Care Costs,Physical Support Res LT Discharge and Review Team,Adult Services,DART Care Costs,Nursing Care
West Northamptonshire Council,01-Sep-23,51400343093,£599.40,23-Aug-23,BOLINDA UK LTD,TRADE SUPPLIER,155567,D0230,II,Incoming Invoice Posting,,Library Service,Library Service-Non Book Supplies,Place Shaping,Library Service,Books and Multimedia Supplies
West Northamptonshire Council,01-Sep-23,51400342872,£720.00,29-Aug-23,Campden BRI (Chipping Campden) Ltd,TRADE SUPPLIER,20255768,D7000,II,Incoming Invoice Posting,,Health Protection,Public Food Safety,Regulatory Services,Health Protection and Business Support,Subscriptions
West Northamptonshire Council,01-Sep-23,51400343501,£546.16,24-Aug-23,CANTO LTD,TRADE SUPPLIER,3177,E7150,SPV,AP VAT Spreadsheet Import - Payments,,PD Physical Disability CCP LT [NCC],Physical Support CCP Long Term PD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Domiciliary Care
West Northamptonshire Council,01-Sep-23,51400343500,£819.24,24-Aug-23,CANTO LTD,TRADE SUPPLIER,3168,E7150,SPV,AP VAT Spreadsheet Import - Payments,,PD Physical Disability CCP LT [NCC],Physical Support CCP Long Term PD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Domiciliary Care
West Northamptonshire Council,01-Sep-23,51400332893,"£1,000.00",31-Jul-23,CARE & REPAIR (NORTHAMPTON)LTD,TRADE SUPPLIER,7384,XB000,II,Incoming Invoice Posting,,Disabled Facilities Grants [SNC],Disabled Facilities Grants,Housing and Communities Capital,Disabled Facilities Grants [SNC],"New Construction, Conversion and Renovation"
West Northamptonshire Council,01-Sep-23,51400343505,£630.00,24-Aug-23,Carebank Healthcare LTD,COMPANY,1137,E7150,SPV,AP VAT Spreadsheet Import - Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Domiciliary Care
West Northamptonshire Council,01-Sep-23,51400340115,£771.25,07-Aug-23,CARPET SUPERCENTRE TRADE CARPET CENTRE LTD,TRADE SUPPLIER,A0727,D0100,II,Incoming Invoice Posting,,Homelessness,"Temporary Accommodation Furniture, Fixtures & Fittings",Housing and Communities,Housing Solutions,Furniture
West Northamptonshire Council,01-Sep-23,51400342884,£605.62,29-Aug-23,Day`s Rental,COMPANY,2193759,C0205,II,Incoming Invoice Posting,,New Roads and Street Works Act WNC,New Roads and Street Works Act,Highways & Transport Service WNC,Highways Network WNC,Leased Vehicle Costs
West Northamptonshire Council,01-Sep-23,51400343050,£995.00,06-Jul-23,Dignity Funerals Ltd,COMPANY,00163-19484315-0,D4110,II,Incoming Invoice Posting,,Environmental Protection,Burials & Misc Expenses,Regulatory Services,Environmental Protection and Environmental Crime,Professional Fees and Hired Services
West Northamptonshire Council,01-Sep-23,51400343160,"£5,640.00",21-Aug-23,Redacted Personal Data,INDIVIDUAL,2023-07,D4110,II,Incoming Invoice Posting,,Coroner Service [NCC],Coroner,Legal and Democratic Services,Coroner Service,Professional Fees and Hired Services
West Northamptonshire Council,01-Sep-23,51400343508,"£1,390.50",30-Aug-23,ELYON HEALTHCARE LTD,CARE ESTABLISHMENT,6426,E7150,SPV,AP VAT Spreadsheet Import - Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Domiciliary Care
West Northamptonshire Council,01-Sep-23,51400343482,"£1,390.50",21-Aug-23,ELYON HEALTHCARE LTD,CARE ESTABLISHMENT,6420,E7150,SPV,AP VAT Spreadsheet Import - Payments,,PD Physical Disability CCP LT [NCC],Physical Support CCP Long Term PD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Domiciliary Care
West Northamptonshire Council,01-Sep-23,51400343481,"£1,602.50",21-Aug-23,ELYON HEALTHCARE LTD,CARE ESTABLISHMENT,6421,E7150,SPV,AP VAT Spreadsheet Import - Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Domiciliary Care
West Northamptonshire Council,01-Sep-23,51400343507,"£1,602.50",30-Aug-23,ELYON HEALTHCARE LTD,CARE ESTABLISHMENT,6427,E7150,SPV,AP VAT Spreadsheet Import - Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Domiciliary Care
West Northamptonshire Council,01-Sep-23,51400333294,"£1,000.80",07-Aug-23,ENTERPRISE FLEX-E-RENT,TRADE SUPPLIER,979532,C0205,II,Incoming Invoice Posting,,Social & Leisure [NCC],Social & Leisure - In House,Safeguarding and Wellbeing,Provider Services,Leased Vehicle Costs
West Northamptonshire Council,01-Sep-23,51400343207,£891.00,30-Aug-23,FAVOURS DAY NURSERY LTD,NURSERY,1.52E-05,D4110,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],SEN Alt Provisions,High Needs Block,High Needs Out County [NCC],Professional Fees and Hired Services
West Northamptonshire Council,01-Sep-23,51400343057,"£3,600.00",24-Jul-23,Forstarr Building Services Ltd.,COMPANY,329208,XB000,II,Incoming Invoice Posting,,Floor & Wall Finishes Replacement/Renewal Programme,Floor & Wall Finishes Replacement/Renewal Programme,Assets and Environment Capital,Property Services,"New Construction, Conversion and Renovation"
West Northamptonshire Council,01-Sep-23,51400343371,"£38,990.16",31-Aug-23,FOUR SEASONS (BAMFORD) LIMITED,CARE ESTABLISHMENT,N0722687 P138398-00001,E7145,CPN,Social Care West Northampton Council CareCost Payments,,DART Care Costs,Physical Support Res LT Discharge and Review Team,Adult Services,DART Care Costs,Residential Care
West Northamptonshire Council,01-Sep-23,51400323735,"£10,155.90",20-Oct-22,Fusion21,COMPANY,FUS2223-12631,E6000,II,Incoming Invoice Posting,,Enforcement and Monitoring,Section 106 Monitoring and Administration,Planning - Development Management and Policy,Planning Enforcement and Monitoring,Payments to Other Establishments
West Northamptonshire Council,01-Sep-23,51400342554,"£1,560.00",27-Aug-23,Goodfellows Builders Ltd,COMPANY,3687,B0010,II,Incoming Invoice Posting,,Property Management [NBC],Hard Facilities Management,Assets and Environment,A&E Works,Building Structural Maintenance - Reactive
West Northamptonshire Council,01-Sep-23,51400343087,£960.00,29-Jul-23,Grenadier Grounds and Trees,SOLETRADER,INV-0063,E7000,II,Incoming Invoice Posting,,Parks and open spaces [NBC],Countryside Services,Assets and Environment,A&E Public Realm & Heritage,Private Contractors
West Northamptonshire Council,01-Sep-23,51400333337,"£1,020.00",07-Aug-23,Grenadier Grounds and Trees,SOLETRADER,INV-0086,E7000,II,Incoming Invoice Posting,,Parks and open spaces [NBC],Parks & Open Spaces,Assets and Environment,A&E Public Realm & Heritage,Private Contractors
West Northamptonshire Council,01-Sep-23,51400343213,"£21,487.46",30-Aug-23,Hardwick House School,EDUCATION,INV-0317,D4110,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Professional Fees and Hired Services
West Northamptonshire Council,01-Sep-23,51400343204,"£5,439.00",30-Aug-23,HARPOLE PRE-SCHOOL,NURSERY,EHCPGA2023,D4110,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],SEN Alt Provisions,High Needs Block,High Needs Out County [NCC],Professional Fees and Hired Services
West Northamptonshire Council,01-Sep-23,51400343203,"£5,814.00",30-Aug-23,HARPOLE PRE-SCHOOL,NURSERY,EHCPCW2023,D4110,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],SEN Alt Provisions,High Needs Block,High Needs Out County [NCC],Professional Fees and Hired Services
West Northamptonshire Council,01-Sep-23,51400343497,"£3,968.90",22-Aug-23,Healthcare Evolution Ltd TA Sylviancare Banbury C/O Bibby Commercial Finance Limited,CARE ESTABLISHMENT,10184,E7150,SPV,AP VAT Spreadsheet Import - Payments,,OP North Older People CCP LT [NCC],Physical Support CCP Long Term OP North,Adult Services,Specialist and Complex - Older People [NCC],Domiciliary Care
West Northamptonshire Council,01-Sep-23,51400342350,£936.00,24-Aug-23,J & S Potter Ltd,COMPANY,3856,B3000,II,Incoming Invoice Posting,,Car parks management Northampton,Chalk Lane Car Park,Assets and Environment,A&E Public Realm & Heritage,"Fixtures, Fittings and Furnishings"
West Northamptonshire Council,01-Sep-23,51400333000,£861.18,07-Aug-23,Johnsons 1871 Ltd,COMPANY,JHM21970,D0100,II,Incoming Invoice Posting,,Office Optimisation,Office Optimisation - Lodge Road,Assets and Environment,A&E Facilities Management,Furniture
West Northamptonshire Council,01-Sep-23,51400343367,"£4,988.64",31-Aug-23,Knighton Care Services Limited - Ashdown House,CARE ESTABLISHMENT,N2310604 P138406-00001,E7140,CPN,Social Care West Northampton Council CareCost Payments,,Community Team Care Costs - Daventry,Physical Support Res Reablement Community Daventry,Adult Services,Community Teams Care Costs 1,Rehabilitation And Respite Care
West Northamptonshire Council,01-Sep-23,51400341907,"£1,327.20",06-Jul-23,Kohler Mira Ltd,COMPANY,9066346996,B0005,II,Incoming Invoice Posting,,Property Management [NBC],Hard Facilities Management,Assets and Environment,A&E Works,Building Stuctural Maintenance - Planned
West Northamptonshire Council,01-Sep-23,51400343218,"£2,100.00",30-Aug-23,LDB SEND Consultant,EDUCATION,INV000019,D4110,SPS,AP Spreadsheet Import - Payments,,High Needs Projects,SEND improvement,High Needs Block,High Needs Projects,Professional Fees and Hired Services
West Northamptonshire Council,01-Sep-23,51400343217,"£2,800.00",30-Aug-23,LDB SEND Consultant,EDUCATION,INV000018,D4110,SPS,AP Spreadsheet Import - Payments,,High Needs Projects,SEND improvement,High Needs Block,High Needs Projects,Professional Fees and Hired Services
West Northamptonshire Council,01-Sep-23,51400343496,"£10,636.64",16-Aug-23,LIVABILITY,CARE ESTABLISHMENT,169733,E7150,SPV,AP VAT Spreadsheet Import - Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Domiciliary Care
West Northamptonshire Council,01-Sep-23,51400343485,£547.58,21-Aug-23,Lloyds Bank Commercial Finance T/A LAC Northampton Ltd,CARE ESTABLISHMENT,NN10669,E7150,SPV,AP VAT Spreadsheet Import - Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Domiciliary Care
West Northamptonshire Council,01-Sep-23,51400343219,"£13,966.00",30-Aug-23,MARY HARE SCHOOL,EDUCATION,INV29759,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Non Maint Spec,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343480,"£2,016.64",14-Aug-23,Mentaur Community Support Ltd,CARE ESTABLISHMENT,7450,E7150,SPV,AP VAT Spreadsheet Import - Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Domiciliary Care
West Northamptonshire Council,01-Sep-23,51400343369,"£2,772.00",31-Aug-23,MENTAUR LTD,CARE ESTABLISHMENT,N0537509 P138386-00001,E7145,CPN,Social Care West Northampton Council CareCost Payments,,DART Care Costs,Mental Health Res LT Discharge and Review Team,Adult Services,DART Care Costs,Residential Care
West Northamptonshire Council,01-Sep-23,51400343486,"£3,517.48",21-Aug-23,MUSLYT LTD,CARE ESTABLISHMENT,2928,E7150,SPV,AP VAT Spreadsheet Import - Payments,,OP North Older People CCP LT [NCC],Physical Support CCP Long Term OP North,Adult Services,Specialist and Complex - Older People [NCC],Domiciliary Care
West Northamptonshire Council,01-Sep-23,51400319205,"£18,000.00",26-Jun-23,Neil Morland Housing Consultant Ltd,COMPANY,1333,D4100,II,Incoming Invoice Posting,,Housing strategy and development of affordable housing,Policy & Enablement -Strategic Housing,Housing and Communities,Housing Strategy,Consultancy
West Northamptonshire Council,01-Sep-23,51400343008,"£25,800.00",08-Jun-23,No5 Barrister Chambers,COMPANY,4601,D4105,II,Incoming Invoice Posting,,Development Mangement,Development Management,Planning - Development Management and Policy,Planning - Development Management,External Legal Fees
West Northamptonshire Council,01-Sep-23,51400343169,"£21,080.40",25-Aug-23,NORTHAMPTON GENERAL NHS TRUST,TRUST (OTHER),N0026493,E7000,II,Incoming Invoice Posting,,Coroner Service [NCC],Coroner,Legal and Democratic Services,Coroner Service,Private Contractors
West Northamptonshire Council,01-Sep-23,51400343502,"£1,155.40",24-Aug-23,NORTHAMPTONSHIRE COUNTRY CENTRE,TRADE SUPPLIER,6462,E7150,SPV,AP VAT Spreadsheet Import - Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Domiciliary Care
West Northamptonshire Council,01-Sep-23,51400343220,"£12,500.00",29-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,130923AB,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343236,"£12,500.00",29-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,100923AN,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343222,"£12,500.00",29-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,050923JB,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343210,"£13,966.00",30-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,45147,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343225,"£14,500.00",29-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,230923FP,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343226,"£14,500.00",29-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,500923DCJ,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343231,"£14,500.00",29-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,420923TDR,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343232,"£14,500.00",29-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,430923TPM,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343233,"£14,500.00",29-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,440923OAR,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343237,"£14,500.00",29-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,160823AH,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343239,"£16,500.00",29-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,120923AW,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343238,"£16,500.00",29-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,110923AB,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343234,"£16,500.00",29-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,280923JK,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343235,"£16,500.00",29-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,120923EB,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343228,"£16,500.00",29-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,490923LD,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343230,"£16,500.00",29-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,410923TC,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343227,"£16,500.00",29-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,460923LMP,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343229,"£16,500.00",29-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,400923RM,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343221,"£16,500.00",29-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,140923AM,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343224,"£16,500.00",29-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,480923SRH,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343223,"£16,500.00",29-Aug-23,OVERSTONE PARK SCHOOL,EDUCATION,040923KB,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343132,"£5,687.71",31-Jul-23,PERTHYN,CARE ESTABLISHMENT,2324/00325,A4000,II,Incoming Invoice Posting,,Central Support Services [NCC],LD Reprovision,Adult Services,Central Support Services,Agency Staff
West Northamptonshire Council,01-Sep-23,51400343007,"£7,301.78",31-Mar-23,PSL Print Management LTD,COMPANY,491892-Correction,D5300,II,Incoming Invoice Posting,,Facilities management [NBC],Post Room - New,Assets and Environment,A&E Facilities Management,Postage & Carriage
West Northamptonshire Council,01-Sep-23,51400343199,£672.00,30-Aug-23,QN COACHING LTD,EDUCATION,231-2023,D4110,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],SEN Alt Provisions,High Needs Block,High Needs Out County [NCC],Professional Fees and Hired Services
West Northamptonshire Council,01-Sep-23,51400343215,"£51,000.00",30-Aug-23,QUINTON HOUSE SCHOOL,EDUCATION,SIQUI-003223,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Mainstream,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343209,£552.38,30-Aug-23,Redacted Personal Data,INDIVIDUAL,EHCP TH / AS-SW JULY 23,D4110,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],SEN Alt Provisions,High Needs Block,High Needs Out County [NCC],Professional Fees and Hired Services
West Northamptonshire Council,01-Sep-23,51400343216,£595.00,30-Aug-23,Redacted Personal Data,INDIVIDUAL,11NS,D4110,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],SEN Alt Provisions,High Needs Block,High Needs Out County [NCC],Professional Fees and Hired Services
West Northamptonshire Council,01-Sep-23,51400343134,£700.00,31-Aug-23,Redacted Personal Data,INDIVIDUAL,91400004305,B2000,NCP,AP Non-Commercial Payments,,Homelessness,Private Sector Leasing,Housing and Communities,Housing Solutions,Rents and Leases
West Northamptonshire Council,01-Sep-23,51400333331,"£1,722.03",07-Aug-23,Redacted Personal Data,INDIVIDUAL,19,E7000,II,Incoming Invoice Posting,,PS&E Leisure Investment Property,MULBERRY SQUARE,Assets and Environment,A&E Property and Estates Management,Private Contractors
West Northamptonshire Council,01-Sep-23,51400342603,£531.54,24-Aug-23,REDPALM TECHNOLOGY SERVICES LTD,TRADE SUPPLIER,SI58621,D5015,II,Incoming Invoice Posting,,Desktop Support Contracts,Recharged contracts & purchases,"Digital, Technology & Innovation",Operations,Computer hardware - purchase
West Northamptonshire Council,01-Sep-23,51400334924,"£9,150.00",07-Aug-23,Resources for Change Ltd,COMPANY,2827,XF000,II,Incoming Invoice Posting,,Northamptonshire Holistic Flood Reslilience,Northamptonshire Holistic Flood Reslilience,Assets and Environment Capital,Flood and Water Management,Expenditure on Grants
West Northamptonshire Council,01-Sep-23,51400343370,£738.42,31-Aug-23,RESTGATE LTD T/A OAK LODGE,CARE ESTABLISHMENT,N2310537 P138393-00001,E7140,CPN,Social Care West Northampton Council CareCost Payments,,DART Care Costs,Support with Memory & Cognition Res ST Discharge and Review Team,Adult Services,DART Care Costs,Rehabilitation And Respite Care
West Northamptonshire Council,01-Sep-23,51400343202,"£24,732.34",30-Aug-23,ROYAL SCHOOL FOR THE DEAF,CARE ESTABLISHMENT,10144,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Non Maint Spec,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,01-Sep-23,51400343468,"£1,575.00",30-Jun-23,SANCTUARY OASIS LTD,CARE ESTABLISHMENT,1835,E7150,SPV,AP VAT Spreadsheet Import - Payments,,OP North Older People CCP LT [NCC],Physical Support CCP Long Term OP North,Adult Services,Specialist and Complex - Older People [NCC],Domiciliary Care
West Northamptonshire Council,01-Sep-23,51400343043,"£114,405.60",30-Aug-23,Shoosmiths LLP,COMPANY,91400004300,XA020,NCP,AP Non-Commercial Payments,,HRA Capital [NBC],Street Acquisitions,HRA Capital,HRA Capital [NBC],Acquisition of Buildings
West Northamptonshire Council,01-Sep-23,51400343131,"£197,232.02",31-Aug-23,Shoosmiths LLP,COMPANY,91400004304,XA020,NCP,AP Non-Commercial Payments,,HRA Capital [NBC],Street Acquisitions,HRA Capital,HRA Capital [NBC],Acquisition of Buildings
