Supplier,Purpose of Spend,Date,Net Amount,Order Reference,Procurement Code,Type
REDACTED,Building Materials,04 March 2025,£290.00,PO00051479,MAT,Purchase order

FLOWBIRD SMART CITY UK LIMITED,Car Park Maintenance,04 March 2025,£279.00,PO00051480,CPARK1,Purchase order

Elm Valley Foods Ltd,Performing Arts,04 March 2025,£503.88,PO00051481,PERFORM,Purchase order

CENTENNIAL PROPERTY LTD T/A RENT CONNECT,Homelessness Provision,04 March 2025,"£2,002.00",PO00051483,HOMEPROV,Purchase order

EXPERIAN LTD,Homelessness Provision,04 March 2025,"£1,949.97",PO00051484,HOMEPROV,Purchase order

GRAPE PASSIONS LTD,Catering Supplies - Food & Drink,04 March 2025,£256.56,PO00051485,CAT2,Purchase order

HILLS PROSPECT PLC,Catering Supplies - Food & Drink,04 March 2025,"£1,257.92",PO00051486,CAT2,Purchase order

M J FENCING LTD,Fencing,04 March 2025,£290.00,PO00051491,FENCE,Purchase order

ESSEX COUNTY COUNCIL,Legal Advice,04 March 2025,"£1,113.45",PO00051494,LEGAL4,Purchase order

JIGGINS ENVIRONMENTAL LTD,Property Maintenance,04 March 2025,£350.00,PO00051504,PROP3,Purchase order

M J FENCING LTD,Fencing,04 March 2025,£720.00,PO00051505,FENCE,Purchase order

CHELMSFORD PEST CONTROL,Pest Control,04 March 2025,£250.00,PO00051506,PEST,Purchase order

JMW MEDIA LTD,Promotional Advertising,04 March 2025,"£12,000.00",PO00051508,ADVRT1,Purchase order

CHELMSFORD CULTURAL DEVELOPMENT TRUST,Consultancy,04 March 2025,"£10,000.00",PO00051510,CONSULT,Purchase order

ERNEST DOE & SONS LTD,Digital Maintenance & Support,05 March 2025,£323.10,PO00051511,DIGIT6,Purchase order

TRADE PARTNERS INTENATIONAL LTD,Playground Equipment,05 March 2025,"£30,359.75",PO00051512,PLAY1,Purchase order

ITAB UK LTD,Security - Equipment,05 March 2025,£325.46,PO00051513,SECUR3,Purchase order

SPE WATER TREATMENT LTD,Property Maintenance,05 March 2025,"£12,452.00",PO00051514,PROP3,Purchase order

Forfront ltd.,Software,05 March 2025,"£2,185.21",PO00051515,DIGIT7,Purchase order

PARK RETAIL LTD - APPRECIATE BUSINESS SERVICES,Public Relations,05 March 2025,"£4,450.00",PO00051519,PR,Purchase order

HIGHLINE ROADMARKINGS LTD,Signage - Highway,05 March 2025,"£1,960.19",PO00051521,SIGN4,Purchase order

REDACTED,Temporary Staff,05 March 2025,£262.50,PO00051522,HR2,Purchase order

DIRECT TYRE MANAGEMENT LTD,Tyres & Tubes,05 March 2025,"£2,437.65",PO00051523,VEHIC2,Purchase order

DIRECT TYRE MANAGEMENT LTD,Tyres & Tubes,05 March 2025,"£13,575.35",PO00051524,VEHIC2,Purchase order

FISK FIRE MAINTENANCE LIMITED,Building Repairs,05 March 2025,"£1,600.00",PO00051528,BUILD07,Purchase order

MOVOLYTICS LIMITED,Vehicle Maintenance,05 March 2025,£271.26,PO00051529,VEHIC8,Purchase order

CCS MEDIA LTD,Mobile Devices,05 March 2025,"£1,844.31",PO00051530,DIGIT9,Purchase order

FISK FIRE MAINTENANCE LIMITED,Building Repairs,05 March 2025,£430.00,PO00051532,BUILD07,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,05 March 2025,£598.50,PO00051533,CAT2,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,05 March 2025,£617.50,PO00051534,CAT2,Purchase order

TELEFONICA O2 UK LTD,Telecommunitcations,05 March 2025,"£2,123.00",PO00051535,DIGIT8,Purchase order

INSCRIBE CREATIVE LTD,Design,05 March 2025,£800.00,PO00051536,ADVRT3,Purchase order

Fountainfotos Ltd.,Photography,05 March 2025,£550.00,PO00051537,PHOTO,Purchase order

THE ANGLIA SIGN CASTING LTD,Crematorium Equipment,05 March 2025,£327.74,PO00051540,CREM1,Purchase order

ANGLIAN LIFTS LTD,DFGS Grant,06 March 2025,"£2,680.00",PO00051542,DFGS,Purchase order

NEWMARK GERALD EVE LLP,Consultancy,06 March 2025,"£7,775.00",PO00051543,CONSULT,Purchase order

NEWMARK GERALD EVE LLP,Consultancy,06 March 2025,"£2,663.00",PO00051544,CONSULT,Purchase order

NEWMARK GERALD EVE LLP,Consultancy,06 March 2025,"£4,725.00",PO00051545,CONSULT,Purchase order

NEWMARK GERALD EVE LLP,Consultancy,06 March 2025,"£5,794.00",PO00051546,CONSULT,Purchase order

The Handmade Food Company,Catering Services - External,06 March 2025,£262.50,PO00051552,CAT1,Purchase order

WICKHAM GENSOL LTD,Cleaning Supplies,06 March 2025,"£3,706.00",PO00051553,CLEAN1,Purchase order

BOC GASES,Vehicle Tools and Equipment,06 March 2025,£901.40,PO00051554,VEHIC10,Purchase order

INSCRIBE CREATIVE LTD,Design,06 March 2025,"£1,000.00",PO00051558,ADVRT3,Purchase order

Iken Business Ltd,Cloud Services,06 March 2025,"£12,240.00",PO00051559,DIGIT3,Purchase order

ECLIPSE SECURITY UK LTD,Security Personnel,06 March 2025,"£1,320.00",PO00051561,SECUR4,Purchase order

ENVIROSIGNS LIMITED,Promotional Advertising,06 March 2025,£447.00,PO00051565,ADVRT1,Purchase order

BADDOW ROAD SUPPLIES LTD,PPE Workwear,06 March 2025,"£2,516.42",PO00051567,PPE1,Purchase order

7 2 7 TRUCK & VAN PARTS SPECIALIST,Vehicles Parts,06 March 2025,£828.20,PO00051571,VEHIC7,Purchase order

7 2 7 TRUCK & VAN PARTS SPECIALIST,Vehicles Parts,06 March 2025,£479.00,PO00051573,VEHIC7,Purchase order

Easy Weddings Ltd,Events,06 March 2025,£500.00,PO00051575,EVENTS,Purchase order

BADDOW ROAD SUPPLIES LTD,PPE Workwear,06 March 2025,"£1,117.52",PO00051576,PPE1,Purchase order

HAKO MACHINES LTD,Vehicles Parts,06 March 2025,£760.43,PO00051577,VEHIC7,Purchase order

DENNIS EAGLE LTD,Vehicle Maintenance,06 March 2025,"£2,054.26",PO00051578,VEHIC8,Purchase order

TERBERG MATECK UK LTD,Vehicle Maintenance,06 March 2025,"£1,995.61",PO00051582,VEHIC8,Purchase order

RELAY LTD,Building Repairs,06 March 2025,£750.00,PO00051586,BUILD07,Purchase order

OWLS HALL ENVIRONMENTAL LTD,Building Repairs,06 March 2025,£740.00,PO00051590,BUILD07,Purchase order

FLOWBIRD SMART CITY UK LIMITED,Car Park Equipment,06 March 2025,£453.00,PO00051591,CPARK2,Purchase order

CCS MEDIA LTD,Digital Consumables,06 March 2025,£522.14,PO00051592,DIGIT2,Purchase order

M J FENCING LTD,Fencing,06 March 2025,"£1,330.00",PO00051593,FENCE,Purchase order

LANDSCAPE SUPPLY COMPANY,Vehicle Tools and Equipment,06 March 2025,"£1,382.90",PO00051594,VEHIC10,Purchase order

M R SERVICES ESSEX LTD,Building Materials,06 March 2025,£470.00,PO00051595,MAT,Purchase order

DIRECTA (UK) LTD,Cleaning Supplies,06 March 2025,£371.47,PO00051596,CLEAN1,Purchase order

LANDSCAPE SUPPLY COMPANY,Vehicle Tools and Equipment,06 March 2025,£924.35,PO00051597,VEHIC10,Purchase order

DLF Seeds Ltd.,Seeds & Plants,06 March 2025,"£4,255.20",PO00051598,HORT2,Purchase order

THE SWATCH GROUP (UK) T/A SWISS TIMING,Property Maintenance,07 March 2025,£766.40,PO00051599,PROP3,Purchase order

HIGHLINE ROADMARKINGS LTD,Signage - Highway,07 March 2025,"£1,904.13",PO00051606,SIGN4,Purchase order

HIGHLINE ROADMARKINGS LTD,Signage - Highway,07 March 2025,£623.50,PO00051608,SIGN4,Purchase order

HAYS MONTROSE,Temporary Staff,07 March 2025,"£13,213.10",PO00051611,HR2,Purchase order

HAYS MONTROSE,Temporary Staff,07 March 2025,"£11,525.36",PO00051612,HR2,Purchase order

HAYS MONTROSE,Temporary Staff,07 March 2025,"£12,549.78",PO00051613,HR2,Purchase order

HAYS MONTROSE,Temporary Staff,07 March 2025,"£12,822.48",PO00051614,HR2,Purchase order

Future Promo Ltd,Promotional Advertising,07 March 2025,£615.00,PO00051615,ADVRT1,Purchase order

ESSEX COUNTY COUNCIL,Waste Disposal Services,07 March 2025,"£53,018.70",PO00051617,WASTE2,Purchase order

HAYS MONTROSE,Temporary Staff,07 March 2025,"£22,638.90",PO00051618,HR2,Purchase order

HAYS MONTROSE,Temporary Staff,07 March 2025,"£22,957.82",PO00051619,HR2,Purchase order

HAYS MONTROSE,Temporary Staff,07 March 2025,"£27,566.85",PO00051620,HR2,Purchase order

HAYS MONTROSE,Temporary Staff,07 March 2025,"£26,359.31",PO00051621,HR2,Purchase order

BIRKETTS LLP,Legal Advice,07 March 2025,"£11,418.86",PO00051622,LEGAL4,Purchase order

CCS MEDIA LTD,Digital Consumables,07 March 2025,"£3,085.02",PO00051624,DIGIT2,Purchase order

Letting International Ltd,Homelessness Provision,07 March 2025,"£8,120.00",PO00051625,HOMEPROV,Purchase order

MOBILITY SOLUTIONS (SOUTH) LIMITED,DFGS Grant,07 March 2025,"£5,515.00",PO00051626,DFGS,Purchase order

New Hope Rentals,Homelessness Provision,07 March 2025,"£10,620.00",PO00051627,HOMEPROV,Purchase order

MOBILITY SOLUTIONS (SOUTH) LIMITED,DFGS Grant,07 March 2025,"£4,945.00",PO00051628,DFGS,Purchase order

MOBILITY SOLUTIONS (SOUTH) LIMITED,DFGS Grant,07 March 2025,£935.00,PO00051629,DFGS,Purchase order

BT,Telecommunitcations,07 March 2025,"£5,848.51",PO00051631,DIGIT8,Purchase order

DG ACCESSIBLE DESIGNS LTD,DFGS Grant,07 March 2025,"£1,299.36",PO00051632,DFGS,Purchase order

PP Refurbishments,DFGS Grant,07 March 2025,"£8,997.01",PO00051633,DFGS,Purchase order

The Rent Guarantee Company Ltd,Homelessness Provision,07 March 2025,"£3,808.00",PO00051634,HOMEPROV,Purchase order

W & H ROMAC LTD,Signage - Highway,10 March 2025,£906.76,PO00051637,SIGN4,Purchase order

LAMPWICK CARE LIMITED,Homelessness Provision,10 March 2025,"£1,213.93",PO00051640,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,10 March 2025,£934.17,PO00051644,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,10 March 2025,"£1,155.00",PO00051646,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,10 March 2025,"£1,534.50",PO00051647,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,10 March 2025,"£1,155.00",PO00051648,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,10 March 2025,£792.00,PO00051650,HOMEPROV,Purchase order

CHELMER HOUSING PARTNERSHIP,Homelessness Provision,10 March 2025,"£12,903.61",PO00051651,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,10 March 2025,"£1,386.00",PO00051654,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,10 March 2025,"£1,155.00",PO00051655,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,10 March 2025,"£1,336.50",PO00051656,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,10 March 2025,"£1,155.00",PO00051657,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,10 March 2025,"£1,155.00",PO00051658,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,10 March 2025,"£1,155.00",PO00051659,HOMEPROV,Purchase order

CORPORATE MAILING SOLUTIONS,Tool & Equipment Hire,10 March 2025,£459.59,PO00051660,TOOL2,Purchase order

RETTENDON MEMORIAL HALL,Election Services,10 March 2025,£350.00,PO00051661,LEGAL2,Purchase order

CORPORATE MAILING SOLUTIONS,Election Services,10 March 2025,£490.22,PO00051662,LEGAL2,Purchase order

PALL MALL PREMIER CARS,Vehicles - Private Motor,10 March 2025,£987.50,PO00051663,VEHIC1,Purchase order

HIGHLINE ROADMARKINGS LTD,Signage - Highway,10 March 2025,£359.05,PO00051665,SIGN4,Purchase order

HAYS MONTROSE,Temporary Staff,10 March 2025,£780.35,PO00051666,HR2,Purchase order

HAYS MONTROSE,Temporary Staff,10 March 2025,£780.33,PO00051667,HR2,Purchase order

M J FENCING LTD,Signage - Installation & Maintenance,10 March 2025,£775.00,PO00051668,SIGN2,Purchase order

VIVEDIA LTD,Crematorium Equipment,10 March 2025,"£5,133.00",PO00051669,CREM1,Purchase order

BRAINTREE DISTRICT COUNCIL,Publications,10 March 2025,£498.30,PO00051672,PRINT2,Purchase order

BRAINTREE DISTRICT COUNCIL,Publications,10 March 2025,£290.00,PO00051673,PRINT2,Purchase order

OFF THE KERB PRODUCTIONS,Performing Arts,10 March 2025,"£6,715.03",PO00051674,PERFORM,Purchase order

GUNNEBO ENTRANCE CONTROL LTD,Property Maintenance,10 March 2025,"£1,192.00",PO00051681,PROP3,Purchase order

PHOENIX SOFTWARE LTD,Software,10 March 2025,£681.12,PO00051682,DIGIT7,Purchase order

TOTAL MERCHANDISE LTD,Trophies & Awards,10 March 2025,£524.44,PO00051684,SPORT5,Purchase order

HOUSING ACTION MANAGEMENT LIMITED,Homelessness Provision,10 March 2025,"£4,605.00",PO00051686,HOMEPROV,Purchase order

MICK PERRIN WORLD WIDE LTD,Performing Arts,10 March 2025,"£6,093.40",PO00051689,PERFORM,Purchase order

NEW ERA FUELS LIMITED,Fuel,10 March 2025,"£28,834.33",PO00051692,FUEL1,Purchase order

SAFE & SOUND LIMITED,Building Security,10 March 2025,"£1,452.00",PO00051693,SECUR1,Purchase order

CHEMASTIC LTD,Crematorium Sundries,10 March 2025,£295.00,PO00051694,CREM5,Purchase order

IFZW Maintenance LTD,Crematorium Maintenance,10 March 2025,"£4,925.00",PO00051695,CREM2,Purchase order

ShowPlanr Ltd,Performing Arts,10 March 2025,"£6,736.17",PO00051696,PERFORM,Purchase order

REDACTED,Performing Arts,10 March 2025,£350.00,PO00051697,PERFORM,Purchase order

Nickolds Property Management,Homelessness Provision,10 March 2025,"£7,070.00",PO00051702,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,10 March 2025,"£7,980.00",PO00051703,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,10 March 2025,"£7,665.00",PO00051704,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,10 March 2025,"£7,160.00",PO00051705,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,10 March 2025,"£7,875.00",PO00051706,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,10 March 2025,"£8,295.00",PO00051707,HOMEPROV,Purchase order

TOPTURF IRRIGATION ENGINEERING LTD,Sports Pitches,10 March 2025,£453.00,PO00051712,SPORT1,Purchase order

Nickolds Property Management,Homelessness Provision,10 March 2025,"£74,900.00",PO00051713,HOMEPROV,Purchase order

CHELMSFORD COLLEGE,Community Grants,11 March 2025,"£3,215.00",PO00051719,GRANTS,Purchase order

TMP (UK) LTD,Statutory Advertising,11 March 2025,£350.60,PO00051720,ADVRT2,Purchase order

M J FENCING LTD,Fencing,11 March 2025,"£1,200.00",PO00051721,FENCE,Purchase order

FIRST FENCE LTD,Fencing,11 March 2025,"£1,440.48",PO00051722,FENCE,Purchase order

PREMIER CHEMICALS LONDON LTD,Vehicles Parts,11 March 2025,£986.97,PO00051723,VEHIC7,Purchase order

WOBURN CHEMICALS,Chemicals,11 March 2025,"£1,027.20",PO00051724,CHEM,Purchase order

The Rent Guarantee Company Ltd,Homelessness Provision,11 March 2025,"£3,138.00",PO00051725,HOMEPROV,Purchase order

LAMPWICK CARE LIMITED,Homelessness Provision,11 March 2025,"£1,063.93",PO00051726,HOMEPROV,Purchase order

Stef & Philips Ltd,Homelessness Provision,11 March 2025,"£10,637.00",PO00051727,HOMEPROV,Purchase order

Allianz Engineering,Engineering Services,11 March 2025,£270.00,PO00051734,ENGINEER,Purchase order

CONSTANT COOLING LTD,Building Repairs,11 March 2025,£421.60,PO00051735,BUILD07,Purchase order

TEAM KINETIX,Temporary Staff,11 March 2025,£250.00,PO00051737,HR2,Purchase order

ANIMAL WORKSHOPS,Temporary Staff,11 March 2025,£335.00,PO00051740,HR2,Purchase order

MISTER B,Temporary Staff,11 March 2025,£650.00,PO00051741,HR2,Purchase order

HAKO MACHINES LTD,Vehicles Parts,11 March 2025,£278.40,PO00051742,VEHIC7,Purchase order

AUTO JET,Vehicle Maintenance,11 March 2025,"£1,460.00",PO00051743,VEHIC8,Purchase order

PEST DEFENCE LTD,Pest Control,11 March 2025,£840.00,PO00051748,PEST,Purchase order

FISK FIRE MAINTENANCE LIMITED,Building Repairs,11 March 2025,£262.50,PO00051750,BUILD07,Purchase order

SPE WATER TREATMENT LTD,Digital Maintenance & Support,11 March 2025,"£1,158.00",PO00051752,DIGIT6,Purchase order

JOHN FORD GROUP LTD,DFGS Grant,11 March 2025,"£7,998.50",PO00051755,DFGS,Purchase order

Access & Automation LTD,DFGS Grant,11 March 2025,"£3,950.00",PO00051756,DFGS,Purchase order

ESSEX COUNTY COUNCIL,Community Grants,11 March 2025,"£8,043,000.00",PO00051758,GRANTS,Purchase order

ASHE GREEN CIVIL ENGINEERS LTD,Maintenance,11 March 2025,"£1,200.00",PO00051759,OSREPAIR,Purchase order

HIGHLINE ROADMARKINGS LTD,Signage - Highway,11 March 2025,£860.39,PO00051761,SIGN4,Purchase order

TERBERG MATECK UK LTD,Vehicle Maintenance,11 March 2025,£360.50,PO00051763,VEHIC8,Purchase order

TERBERG MATECK UK LTD,Vehicle Maintenance,11 March 2025,£275.01,PO00051764,VEHIC8,Purchase order

DENNIS EAGLE LTD,Vehicles Parts,11 March 2025,£450.61,PO00051765,VEHIC7,Purchase order

Chartered Institute of Internal Auditors,Training / Course Fees,12 March 2025,£305.00,PO00051774,TRG1,Purchase order

LANDSCAPE SUPPLY COMPANY,Vehicle Tools and Equipment,12 March 2025,£705.39,PO00051775,VEHIC10,Purchase order

I-SEE ACCESS SOLUTIONS,Building Repairs,12 March 2025,"£1,289.00",PO00051777,BUILD07,Purchase order

Epassi UK Limited,Fitness Equipment,12 March 2025,£300.00,PO00051778,SPORT3,Purchase order

PHYSICAL COMPANY,Fitness Equipment,12 March 2025,"£1,175.00",PO00051779,SPORT3,Purchase order

Industrial Products Online Ltd,Fitness Equipment,12 March 2025,£942.00,PO00051780,SPORT3,Purchase order

CHELMSFORD COMMUNITY RADIO,Promotional Signage,12 March 2025,£500.00,PO00051781,SIGN3,Purchase order

Clemas & Co Ltd,Vehicles Parts,12 March 2025,£393.89,PO00051783,VEHIC7,Purchase order

SOUTH ESSEX FASTENERS LTD,Vehicles Parts,12 March 2025,£428.71,PO00051785,VEHIC7,Purchase order

VIP SECURITY (ESSEX) LTD,Temporary Staff,12 March 2025,£275.25,PO00051788,HR2,Purchase order

REDACTED,Temporary Staff,12 March 2025,£314.50,PO00051789,HR2,Purchase order

THIS IS FEVER LTD,Design,12 March 2025,"£5,100.00",PO00051792,ADVRT3,Purchase order

EASY MOBILITY SERVICES,DFGS Grant,12 March 2025,"£6,770.46",PO00051795,DFGS,Purchase order

TERBERG MATECK UK LTD,Vehicles Parts,12 March 2025,£832.86,PO00051797,VEHIC7,Purchase order

TERBERG MATECK UK LTD,Vehicle Maintenance,12 March 2025,£363.24,PO00051799,VEHIC8,Purchase order

EQUITA LTD,Parking Fines Collection,12 March 2025,£465.54,PO00051801,FINES,Purchase order

NEWLYN,Parking Fines Collection,12 March 2025,"£3,121.89",PO00051802,FINES,Purchase order

MARSTON HOLDING LIMITED,Parking Fines Collection,12 March 2025,"£1,256.21",PO00051803,FINES,Purchase order

TRAVELERS INSURANCE COMPANY LTD,Insurance,12 March 2025,"£2,255.45",PO00051804,INSURE,Purchase order

WALLACE KENNELS,Animal Control (not pest),12 March 2025,£480.00,PO00051806,ANIMAL2,Purchase order

Advanced Building and Maintenance Services Limited,DFGS Grant,12 March 2025,"£5,245.00",PO00051809,DFGS,Purchase order

THE SYD LAWRENCE ORCHESTRA LTD,Performing Arts,12 March 2025,"£4,412.34",PO00051811,PERFORM,Purchase order

ESSEX COUNTY COUNCIL,Recruitment Services,13 March 2025,£892.50,PO00051812,HR1,Purchase order

CCS MEDIA LTD,Digital Consumables,13 March 2025,"£2,273.65",PO00051813,DIGIT2,Purchase order

J ODDY & SONS,Fencing,13 March 2025,£328.00,PO00051814,FENCE,Purchase order

SWIFT WELDING LTD,Street Cleaning Services,13 March 2025,"£1,027.29",PO00051815,CLEAN5,Purchase order

ATH TRAINING GROUP LTD,Training / Course Fees,13 March 2025,£795.00,PO00051816,TRG1,Purchase order

REDACTED,Temporary Staff,13 March 2025,£324.00,PO00051817,HR2,Purchase order

REDACTED,Temporary Staff,13 March 2025,£351.00,PO00051818,HR2,Purchase order

ANGLIAN WATER,Water (Utility),13 March 2025,£432.58,PO00051820,WATER,Purchase order

ANGLIAN WATER,Water (Utility),13 March 2025,£624.60,PO00051821,WATER,Purchase order

ANGLIAN WATER,Water (Utility),13 March 2025,£425.19,PO00051822,WATER,Purchase order

EURO LOO,Building Materials,13 March 2025,£487.10,PO00051823,MAT,Purchase order

OMEGA CITYLIFTS SERVICES LTD,Building Repairs,13 March 2025,"£3,606.60",PO00051824,BUILD07,Purchase order

HIGHLINE ROADMARKINGS LTD,Signage - Highway,13 March 2025,£409.60,PO00051828,SIGN4,Purchase order

HIGHLINE ROADMARKINGS LTD,Signage - Highway,13 March 2025,"£1,566.92",PO00051829,SIGN4,Purchase order

HIGHLINE ROADMARKINGS LTD,Signage - Highway,13 March 2025,£291.67,PO00051830,SIGN4,Purchase order

HIGHLINE ROADMARKINGS LTD,Signage - Highway,13 March 2025,"£1,402.58",PO00051831,SIGN4,Purchase order

M J FENCING LTD,Fencing,13 March 2025,£290.00,PO00051832,FENCE,Purchase order

CCS MEDIA LTD,Mobile Devices,13 March 2025,£779.14,PO00051833,DIGIT9,Purchase order

METACOMPLIANCE LTD,Subscriptions,13 March 2025,"£14,116.30",PO00051836,SUBS,Purchase order

HOUSING ACTION MANAGEMENT LIMITED,Homelessness Provision,13 March 2025,"£56,564.10",PO00051838,HOMEPROV,Purchase order

VIP SECURITY (ESSEX) LTD,Security Personnel,13 March 2025,"£1,041.95",PO00051840,SECUR4,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,13 March 2025,£313.25,PO00051841,CAT2,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,13 March 2025,"£1,050.00",PO00051843,CAT2,Purchase order

CHARLES COOPER SPECIALIST DECORATORS LTD,Building Repairs,13 March 2025,£375.00,PO00051844,BUILD07,Purchase order

LIVE NATION (MUSIC) UK LTD,Performing Arts,13 March 2025,£430.31,PO00051845,PERFORM,Purchase order

BRENTWOOD BOROUGH COUNCIL,Traffic Wardens,13 March 2025,"£13,204.38",PO00051848,TRAFF2,Purchase order

ESSEX SUPPLIES (UK) LTD,Cleaning Services - External,13 March 2025,£575.85,PO00051849,CLEAN2,Purchase order

P W Automotive Training Ltd,Training / Course Fees,13 March 2025,£605.00,PO00051851,TRG1,Purchase order

Sage Music Limited,Performing Arts,13 March 2025,"£6,627.70",PO00051852,PERFORM,Purchase order

Half a String,Performing Arts,13 March 2025,£894.11,PO00051853,PERFORM,Purchase order

FLAIR TRAINING,Training / Course Fees,13 March 2025,"£1,580.00",PO00051855,TRG1,Purchase order

