Supplier,Purpose of Spend,Date,Net Amount,Order Reference,Type
DENNIS EAGLE LTD,Vehicle Maintenance,03-Apr-24,"£2,352.05",PO00040387,Purchase order

SIMPLY ACORN GROUP LTD,Tree Management Services,03-Apr-24,"£2,400.00",PO00040392,Purchase order

ESSEX COUNTY COUNCIL,Consultancy,03-Apr-24,"£2,550.46",PO00040377,Purchase order

VIVEDIA LTD,Crematorium Equipment,03-Apr-24,"£4,303.00",PO00040381,Purchase order

IFZW Maintenance LTD,Crematorium Maintenance,03-Apr-24,"£4,334.40",PO00040429,Purchase order

GLADSTONE MRM LTD,Sports Equipment,03-Apr-24,"£4,515.00",PO00040411,Purchase order

LOCATA (HOUSING SERVICES) LTD,Homelessness Provision,03-Apr-24,"£5,333.33",PO00040418,Purchase order

BARBOUR LOGIC LTD,Software,03-Apr-24,"£6,746.00",PO00040384,Purchase order

OBJECTIVE CORPORATION UK LTD,Subscriptions,03-Apr-24,"£8,259.35",PO00040378,Purchase order

HHSRS Enforcement,,03-Apr-24,£280.00,,Procurement card

"HHSRS - Damp, Mould and Excess Cold",,03-Apr-24,£280.00,,Procurement card

Apr to June H&F campaign: 4 x horizontal banners,,03-Apr-24,£283.20,,Procurement card

TRAVELODG TRAVELODGE G THAME,,03-Apr-24,£304.80,,Procurement card

DVLA VEHICLE TAX 0300 1234321,12 Months tax for Isuzu Grafter van reg. LT19AHN including card charge.,03-Apr-24,£322.50,,Procurement card

MP Membership,,03-Apr-24,£354.00,,Procurement card

sport trolley 1 of 2,,03-Apr-24,£439.25,,Procurement card

FIRED EARTH CHELTENHAM CHELTENHAM  ,Emergency shower part for bridal shower,03-Apr-24,£450.74,,Procurement card

J ODDY & SONS,Timber,04-Apr-24,£280.00,PO00040503,Purchase order

MOVOLYTICS LIMITED,Vehicle Maintenance,04-Apr-24,£292.95,PO00040552,Purchase order

FAREWAY TAXIS,Homelessness Provision,04-Apr-24,£328.00,PO00040584,Purchase order

WRITTLE COMMUNITY ASSOCIATION,Election Services,04-Apr-24,£350.00,PO00040515,Purchase order

PEST DEFENCE LTD,Animal Control (not pest),04-Apr-24,£360.00,PO00040535,Purchase order

ESSEX SUPPLIES (UK) LTD,Cleaning Supplies,04-Apr-24,£370.00,PO00040533,Purchase order

ESSEX SUPPLIES (UK) LTD,Cleaning Supplies,04-Apr-24,£399.79,PO00040534,Purchase order

GRANGE EUROPE LTD T/A THE HYGIENE COMPANY,Cleaning Supplies,04-Apr-24,£400.00,PO00040532,Purchase order

New Hope Rentals,Homelessness Provision,04-Apr-24,£420.00,PO00040520,Purchase order

New Hope Rentals,Homelessness Provision,04-Apr-24,£420.00,PO00040575,Purchase order

New Hope Rentals,Homelessness Provision,04-Apr-24,£420.00,PO00040576,Purchase order

New Hope Rentals,Homelessness Provision,04-Apr-24,£420.00,PO00040577,Purchase order

New Hope Rentals,Homelessness Provision,04-Apr-24,£420.00,PO00040578,Purchase order

New Hope Rentals,Homelessness Provision,04-Apr-24,£420.00,PO00040579,Purchase order

New Hope Rentals,Homelessness Provision,04-Apr-24,£420.00,PO00040580,Purchase order

PJR Communications Ltd,Promotional Advertising,04-Apr-24,£545.00,PO00040505,Purchase order

ALL BMS SYSTEMS LTD,Building Repairs,04-Apr-24,£627.07,PO00040562,Purchase order

ASSEMBLE MEDIA GROUP LIMITED,Promotional Advertising,04-Apr-24,£699.00,PO00040504,Purchase order

RENTOKIL INITIAL SERVICES T/A INITIAL WASHROOMS,Cleaning Services - External,04-Apr-24,£787.53,PO00040530,Purchase order

ECLIPSE AUTOMOTIVE TECHNOLOGY LTD,Vehicle Tools and Equipment,04-Apr-24,"£1,290.00",PO00040546,Purchase order

G2 Recruitment Solutions a division of G2V Recruitment Group,Temporary Staff,04-Apr-24,"£1,540.00",PO00040514,Purchase order

INGLETON WOOD LLP,Consultancy,04-Apr-24,"£2,202.30",PO00040550,Purchase order

The Rent Guarantee Company Ltd,Homelessness Provision,04-Apr-24,"£4,074.00",PO00040521,Purchase order

Nickolds Property Management,Homelessness Provision,04-Apr-24,"£4,760.00",PO00040588,Purchase order

Nickolds Property Management,Homelessness Provision,04-Apr-24,"£5,005.00",PO00040587,Purchase order

Nickolds Property Management,Homelessness Provision,04-Apr-24,"£5,670.00",PO00040586,Purchase order

CHELMER HOUSING PARTNERSHIP,Homelessness Provision,04-Apr-24,"£7,910.00",PO00040582,Purchase order

HOUSING ACTION MANAGEMENT LIMITED,Homelessness Provision,04-Apr-24,"£8,058.00",PO00040583,Purchase order

HAYS MONTROSE,Temporary Staff,04-Apr-24,"£9,649.84",PO00040543,Purchase order

CENTENNIAL PROPERTY LTD T/A RENT CONNECT,Homelessness Provision,04-Apr-24,"£9,767.50",PO00040522,Purchase order

Letting International Ltd,Homelessness Provision,04-Apr-24,"£15,434.00",PO00040585,Purchase order

HAYS MONTROSE,Temporary Staff,04-Apr-24,"£18,380.00",PO00040555,Purchase order

BOOKER LTD,Bar Stock,04-Apr-24,"£1,617.09",,Direct Debit

SOLON SECURITY LTD,Stationary,05-Apr-24,£395.00,PO00040622,Purchase order

DENNIS EAGLE LTD,Vehicles Parts,05-Apr-24,£420.15,PO00040624,Purchase order

 HYDRAQUIP HOSE & HYDRAULICS,Vehicle Maintenance,05-Apr-24,£478.40,PO00040625,Purchase order

Solarshield / Techno Films Limited,Building Security,05-Apr-24,£495.00,PO00040608,Purchase order

 HYDRAQUIP HOSE & HYDRAULICS,Vehicle Maintenance,05-Apr-24,£638.18,PO00040626,Purchase order

WILLIAM DE FERRERS SCHOOL (POOL GAS),Election Services,05-Apr-24,£658.85,PO00040599,Purchase order

TELESHORE UK LTD,Crematorium Equipment,05-Apr-24,"£1,378.50",PO00040619,Purchase order

CORNERSTONE BARRISTERS,Consultancy,05-Apr-24,"£2,000.00",PO00040596,Purchase order

SELLICK PARTNERSHIP,Temporary Staff,05-Apr-24,"£2,590.00",PO00040598,Purchase order

ATG ACCESS LTD,Street Furniture,05-Apr-24,"£2,614.25",PO00040611,Purchase order

APSE,Subscriptions,05-Apr-24,"£3,701.00",PO00040621,Purchase order

TERBERG MATECK UK LTD,Vehicle Maintenance,05-Apr-24,"£4,110.94",PO00040632,Purchase order

Nickolds Property Management,Homelessness Provision,05-Apr-24,"£4,310.00",PO00040641,Purchase order

Nickolds Property Management,Homelessness Provision,05-Apr-24,"£4,430.00",PO00040605,Purchase order

Nickolds Property Management,Homelessness Provision,05-Apr-24,"£4,515.00",PO00040590,Purchase order

Nickolds Property Management,Homelessness Provision,05-Apr-24,"£4,620.00",PO00040639,Purchase order

Nickolds Property Management,Homelessness Provision,05-Apr-24,"£5,005.00",PO00040640,Purchase order

Nickolds Property Management,Homelessness Provision,05-Apr-24,"£5,285.00",PO00040606,Purchase order

WE CARE 4 AIR LTD,Testing & Inspection Services,05-Apr-24,"£5,362.50",PO00040612,Purchase order

Nickolds Property Management,Homelessness Provision,05-Apr-24,"£5,530.00",PO00040603,Purchase order

Nickolds Property Management,Homelessness Provision,05-Apr-24,"£5,705.00",PO00040591,Purchase order

Nickolds Property Management,Homelessness Provision,05-Apr-24,"£5,935.00",PO00040604,Purchase order

TERBERG MATECK UK LTD,Vehicle Maintenance,05-Apr-24,"£9,986.99",PO00040637,Purchase order

EAST OF ENGLAND LOCAL GOVERNMENT ASSOCIATION,Subscriptions,05-Apr-24,"£10,821.53",PO00040620,Purchase order

WE CARE 4 AIR LTD,Environmental Monitoring Services ,05-Apr-24,"£15,895.00",PO00040614,Purchase order

CHELMER HOUSING PARTNERSHIP,Homelessness Provision,05-Apr-24,"£25,826.80",PO00040593,Purchase order

THOMSON REUTERS (PROFESSIONAL) UK LTD,Subscriptions,05-Apr-24,"£27,138.84",PO00040597,Purchase order

DOJOUK,Banking,05-Apr-24,£270.89,,Direct Debit

BARCLAYCARD,Banking,05-Apr-24,£626.28,,Direct Debit

FREEDOM COMMUNICAT,Telecoms,05-Apr-24,"£41,807.26",,Direct Debit

Yorkshire Crisp Company Limited,Performing Arts,08-Apr-24,£269.28,PO00040713,Purchase order

BADDOW ROAD SUPPLIES LTD,Uniforms & Workwear (not PPE),08-Apr-24,£307.48,PO00040642,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,08-Apr-24,£330.00,PO00040693,Purchase order

ESSEX SUPPLIES (UK) LTD,Performing Arts,08-Apr-24,£343.32,PO00040712,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,08-Apr-24,£371.25,PO00040689,Purchase order

WOBURN CHEMICALS,Chemicals,08-Apr-24,£374.55,PO00040678,Purchase order

SIGNS FOR YOU LTD,Promotional Signage,08-Apr-24,£400.48,PO00040699,Purchase order

TMP (UK) LTD,Statutory Advertising,08-Apr-24,£411.70,PO00040705,Purchase order

VIP SECURITY (ESSEX) LTD,Security Personnel,08-Apr-24,£430.64,PO00040709,Purchase order

SWIM ENGLAND,Trophies & Awards,08-Apr-24,£438.93,PO00040663,Purchase order

ELIS,Washroom Sanitation Services,08-Apr-24,£461.17,PO00017170,Purchase order

THE EATERY,Catering Supplies - Food & Drink,08-Apr-24,£552.00,PO00040661,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,08-Apr-24,£643.50,PO00040667,Purchase order

WATLING JCB LTD,Vehicle Maintenance,08-Apr-24,£692.74,PO00040696,Purchase order

ASCENDING ARBS TREE SERVICES LTD,Tree Management Services,08-Apr-24,£701.50,PO00040695,Purchase order

PRETTYS,Legal Advice,08-Apr-24,£809.00,PO00040685,Purchase order

VIP SECURITY (ESSEX) LTD,Security Personnel,08-Apr-24,£832.08,PO00040708,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,08-Apr-24,"£1,155.00",PO00040688,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,08-Apr-24,"£1,188.00",PO00040665,Purchase order

STEPHEN GREEN AND ASSOCIATES LTD,Museums & Galleries,08-Apr-24,"£1,209.00",PO00040716,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,08-Apr-24,"£1,237.50",PO00040668,Purchase order

RIVERSIDE TRUCK RENTAL LTD,Recycling Services,08-Apr-24,"£1,326.00",PO00040691,Purchase order

EQUITA LTD,Parking Fines Collection,08-Apr-24,"£1,362.12",PO00040649,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,08-Apr-24,"£1,534.50",PO00040687,Purchase order

NEWLYN,Parking Fines Collection,08-Apr-24,"£2,065.94",PO00040650,Purchase order

JOHN FINCH PARTNERSHIP LTD,Property Management,08-Apr-24,"£3,882.50",PO00040644,Purchase order

NEW HALL SCHOOL TRUST,Performing Arts,08-Apr-24,"£4,475.40",PO00040652,Purchase order

PRETTYS,Legal Advice,08-Apr-24,"£4,568.50",PO00040692,Purchase order

Senbla Ltd,Performing Arts,08-Apr-24,"£4,933.62",PO00040655,Purchase order

Joe Show Ltd,Performing Arts,08-Apr-24,"£6,922.34",PO00040654,Purchase order

Stef & Philips Ltd,Homelessness Provision,08-Apr-24,"£8,788.50",PO00040669,Purchase order

OFF THE KERB PRODUCTIONS,Performing Arts,08-Apr-24,"£13,780.73",PO00040653,Purchase order

ESSEX RECLAMATION,Recycling Services,08-Apr-24,"£20,826.54",PO00040677,Purchase order

KI SOUND & LIGHT LIMITED,Events,08-Apr-24,"£23,625.00",PO00040681,Purchase order

NEW ERA FUELS LIMITED,Fuel,08-Apr-24,"£30,906.40",PO00040660,Purchase order

BARCLAYCARD,Banking,08-Apr-24,£265.60,,Direct Debit

GRAPE PASSIONS LTD,Bar Stock,08-Apr-24,"£7,440.20",,Direct Debit

I-SEE ACCESS SOLUTIONS,Building Repairs,09-Apr-24,£270.00,PO00040768,Purchase order

Elm Valley Foods Ltd,Performing Arts,09-Apr-24,£285.66,PO00040784,Purchase order

POSITIVE WASTE SOLUTIONS LTD,Asbestos Removal,09-Apr-24,£355.00,PO00040764,Purchase order

New Hope Rentals,Homelessness Provision,09-Apr-24,£420.00,PO00040731,Purchase order

New Hope Rentals,Homelessness Provision,09-Apr-24,£420.00,PO00040732,Purchase order

New Hope Rentals,Homelessness Provision,09-Apr-24,£420.00,PO00040779,Purchase order

New Hope Rentals,Homelessness Provision,09-Apr-24,£420.00,PO00040780,Purchase order

New Hope Rentals,Homelessness Provision,09-Apr-24,£420.00,PO00040781,Purchase order

PLENTY OF THYME,Catering Services - External,09-Apr-24,£506.25,PO00040736,Purchase order

ESSEX COUNTY COUNCIL,Recruitment Services,09-Apr-24,£552.00,PO00040722,Purchase order

FULTON PAPER,Paper,09-Apr-24,£670.00,PO00040749,Purchase order

ORCHARD STREET FURNITURE,Street Furniture,09-Apr-24,"£1,201.18",PO00040771,Purchase order

DRIVER HIRE NATIONWIDE,Temporary Staff,09-Apr-24,"£1,778.00",PO00040754,Purchase order

PALL MALL PREMIER CARS,Passenger Transport,09-Apr-24,"£1,843.47",PO00040743,Purchase order

DRIVER HIRE NATIONWIDE,Temporary Staff,09-Apr-24,"£1,967.25",PO00040752,Purchase order

TAMESIDE METROPOLITAN BOROUGH COUNCIL,Subscriptions,09-Apr-24,"£2,000.00",PO00040738,Purchase order

DRIVER HIRE NATIONWIDE,Temporary Staff,09-Apr-24,"£2,168.00",PO00040753,Purchase order

TRAVELERS INSURANCE COMPANY LTD,Insurance,09-Apr-24,"£2,500.00",PO00040746,Purchase order

SELLICK PARTNERSHIP,Temporary Staff,09-Apr-24,"£2,590.00",PO00040774,Purchase order

MEDIGOLD HEALTH CONSULTANCY LIMITED,Healthcare Fees,09-Apr-24,"£2,943.25",PO00040760,Purchase order

MEDIGOLD HEALTH CONSULTANCY LIMITED,Healthcare Fees,09-Apr-24,"£2,943.25",PO00040761,Purchase order

OMNILEDGER LIMITED,Homelessness Provision,09-Apr-24,"£3,550.00",PO00040730,Purchase order

The Rent Guarantee Company Ltd,Homelessness Provision,09-Apr-24,"£3,628.28",PO00040782,Purchase order

ESSEX COUNTY FIRE & RESCUE SERVICE,Digital Maintenance & Support,09-Apr-24,"£5,255.00",PO00040747,Purchase order

M & P DUNN LTD,Building Repairs,09-Apr-24,"£6,986.25",PO00040748,Purchase order

LINK CCTV SYSTEMS,CCTV,09-Apr-24,"£8,320.27",PO00040739,Purchase order

LINK CCTV SYSTEMS,CCTV,09-Apr-24,"£8,320.27",PO00040740,Purchase order

PROPERTY STOP,Homelessness Provision,09-Apr-24,"£24,650.00",PO00040734,Purchase order

PROPERTY STOP,Homelessness Provision,09-Apr-24,"£24,760.00",PO00040733,Purchase order

BOOKER LTD,Bar Stock,09-Apr-24,"£1,362.22",,Direct Debit

ESSEX COUNTY COUNCIL,Legal Advice,10-Apr-24,£378.00,PO00040787,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,10-Apr-24,£382.50,PO00040786,Purchase order

THE ANGLIA SIGN CASTING LTD,Crematorium Equipment,10-Apr-24,£405.95,PO00040793,Purchase order

BLUE LINE SPORTS LTD,Sports Equipment,10-Apr-24,£500.16,PO00040802,Purchase order

Kraftwork Vehicle Refinishing,Insurance,10-Apr-24,£702.65,PO00040808,Purchase order

SIMPLY ACORN GROUP LTD,Tree Management Services,10-Apr-24,"£1,085.00",PO00040804,Purchase order

ASCENDING ARBS TREE SERVICES LTD,Tree Management Services,10-Apr-24,"£2,712.00",PO00040805,Purchase order

DISTRICT COUNCILS' NETWORK,Subscriptions,10-Apr-24,"£5,205.00",PO00040806,Purchase order

HOUSING ACTION MANAGEMENT LIMITED,Homelessness Provision,10-Apr-24,"£8,053.00",PO00040792,Purchase order

COMP VOUCHER SERV,Subscriptions,10-Apr-24,"£1,370.94",,Direct Debit

BARCLAYCARD,Banking,10-Apr-24,"£10,147.32",,Direct Debit

CHELMSFORD VAN HIRE,Homelessness Provision,11-Apr-24,£330.00,PO00040834,Purchase order

CHELMSFORD PEST CONTROL,Pest Control,11-Apr-24,£382.00,PO00040826,Purchase order

New Hope Rentals,Homelessness Provision,11-Apr-24,£420.00,PO00040854,Purchase order

New Hope Rentals,Homelessness Provision,11-Apr-24,£420.00,PO00040855,Purchase order

New Hope Rentals,Homelessness Provision,11-Apr-24,£420.00,PO00040856,Purchase order

New Hope Rentals,Homelessness Provision,11-Apr-24,£420.00,PO00040858,Purchase order

PROATHLETICS LTD,Sports Equipment,11-Apr-24,£451.25,PO00040812,Purchase order

MARSTON HOLDING LIMITED,Debt Collection & Recovery,11-Apr-24,£501.35,PO00040816,Purchase order

BARRY KING TRADING AS ENHANCED SECURITY SOLUTIONS,Property Maintenance,11-Apr-24,£702.00,PO00040820,Purchase order

CORPORATE MAILING SOLUTIONS,Election Services,11-Apr-24,£824.55,PO00040825,Purchase order

SIGNS FOR YOU LTD,Printing & Reprographic Services - External,11-Apr-24,"£1,495.60",PO00040824,Purchase order

JACOBS CERTIFICATED BAILIFFS,Debt Collection & Recovery,11-Apr-24,"£1,897.08",PO00040844,Purchase order

Little Angel Theatre,Performing Arts,11-Apr-24,"£2,647.73",PO00040827,Purchase order

ShowPlanr Ltd,Performing Arts,11-Apr-24,"£5,191.13",PO00040828,Purchase order

Paul Morrissey Limited,Performing Arts,11-Apr-24,"£7,402.86",PO00040830,Purchase order

Crossplatform TV Ltd,Performing Arts,11-Apr-24,"£9,081.08",PO00040829,Purchase order

ROYAL MAIL WEST TE,Postage,11-Apr-24,£250.00,,Direct Debit

CHANDLER MATERIAL SUPPLIES LTD,Tool & Equipment Purchase,12-Apr-24,£407.97,PO00040861,Purchase order

ALL BMS SYSTEMS LTD,Building Repairs,12-Apr-24,£450.00,PO00040872,Purchase order

G2 Recruitment Solutions a division of G2V Recruitment Group,Temporary Staff,12-Apr-24,£478.33,PO00040876,Purchase order

J P LENNARD LTD,Sports Equipment,12-Apr-24,£750.40,PO00040882,Purchase order

LANDSCAPE SUPPLY COMPANY,Vehicle Tools and Equipment,12-Apr-24,"£1,079.29",PO00040880,Purchase order

LAW ABSOLUTE,Temporary Staff,12-Apr-24,"£1,381.05",PO00040867,Purchase order

ANGLIAN WATER BUSI,Fuel,12-Apr-24,"£1,157.88",,Direct Debit

CHELMER MARQUEES,Events,13-Apr-24,"£6,477.55",PO00040889,Purchase order

New Hope Rentals,Homelessness Provision,15-Apr-24,£300.00,PO00040911,Purchase order

THE ANGLIA SIGN CASTING LTD,Crematorium Equipment,15-Apr-24,£327.74,PO00040906,Purchase order

ESSEX SUPPLIES (UK) LTD,Cleaning Supplies,15-Apr-24,£390.49,PO00040937,Purchase order

Tree Life Arboricultural Training Limited,Training / Course Fees,15-Apr-24,£400.00,PO00040932,Purchase order

New Hope Rentals,Homelessness Provision,15-Apr-24,£420.00,PO00040910,Purchase order

New Hope Rentals,Homelessness Provision,15-Apr-24,£420.00,PO00040943,Purchase order

New Hope Rentals,Homelessness Provision,15-Apr-24,£420.00,PO00040944,Purchase order

New Hope Rentals,Homelessness Provision,15-Apr-24,£420.00,PO00040945,Purchase order

INSTITUTE OF CEMETERY & CREMATORIUM MANAGEMENT,Crematorium Equipment,15-Apr-24,£465.00,PO00040905,Purchase order

New Hope Rentals,Homelessness Provision,15-Apr-24,£560.00,PO00040923,Purchase order

New Hope Rentals,Homelessness Provision,15-Apr-24,£560.00,PO00040940,Purchase order

New Hope Rentals,Homelessness Provision,15-Apr-24,£560.00,PO00040941,Purchase order

New Hope Rentals,Homelessness Provision,15-Apr-24,£560.00,PO00040942,Purchase order

HYBRID ECOLOGY LTD,Horticultural Services,15-Apr-24,£740.00,PO00040934,Purchase order

ESSEX SUPPLIES (UK) LTD,Cleaning Services - External,15-Apr-24,£751.88,PO00040928,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,15-Apr-24,£900.00,PO00040936,Purchase order

North Valley Metal Co (Colne) Ltd,Security - Equipment,15-Apr-24,"£1,476.00",PO00040892,Purchase order

REDACTED,Museums & Galleries,15-Apr-24,"£2,160.00",PO00040895,Purchase order

CAPITA BUSINESS SERVICES LTD,Debt Collection & Recovery,15-Apr-24,"£3,004.32",PO00040925,Purchase order

MSO Productions Ltd,Performing Arts,15-Apr-24,"£3,230.89",PO00040901,Purchase order

The Rent Guarantee Company Ltd,Homelessness Provision,15-Apr-24,"£3,699.57",PO00040946,Purchase order

