Supplier,Purpose of Spend,Date,Net Amount,Order Reference,Procurement Code,Type
Nickolds Property Management,Homelessness Provision,19-Jun-24," £5,040.00 ",PO00043294,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,26-Jun-24," £5,040.00 ",PO00043513,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,26-Jun-24," £5,040.00 ",PO00043514,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,26-Jun-24," £5,040.00 ",PO00043520,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,05-Jun-24," £5,000.00 ",PO00042745,HOMEPROV,Purchase order

Redacted,Public Safety & Control,19-Jun-24," £5,000.00 ",PO00043310,SECUR5,Purchase order

MSCRM-ADDONS.COM(PTM) GRAZ,NEWEQUIP,11-Jun-24," £4,995.57 ",,,Procurement card

Nickolds Property Management,Homelessness Provision,12-Jun-24," £4,965.00 ",PO00043095,HOMEPROV,Purchase order

CHAMPION SERVICES GROUP,Cleaning Services - External,04-Jun-24," £4,892.36 ",PO00042702,CLEAN2,Purchase order

W & H ROMAC LTD,Signage - Highway,19-Jun-24," £4,786.44 ",PO00043276,SIGN4,Purchase order

VIVEDIA LTD,Crematorium Equipment,05-Jun-24," £4,773.00 ",PO00042811,CREM1,Purchase order

Nickolds Property Management,Homelessness Provision,05-Jun-24," £4,760.00 ",PO00042749,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,12-Jun-24," £4,760.00 ",PO00043096,HOMEPROV,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,18-Jun-24," £4,713.52 ",PO00043234,CAT2,Purchase order

Nickolds Property Management,Homelessness Provision,05-Jun-24," £4,675.00 ",PO00042740,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,26-Jun-24," £4,655.00 ",PO00043512,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,26-Jun-24," £4,645.00 ",PO00043510,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,05-Jun-24," £4,620.00 ",PO00042741,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,12-Jun-24," £4,620.00 ",PO00043089,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,12-Jun-24," £4,620.00 ",PO00043097,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,19-Jun-24," £4,620.00 ",PO00043293,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,19-Jun-24," £4,590.00 ",PO00043267,HOMEPROV,Purchase order

LINK CCTV SYSTEMS,CCTV,07-Jun-24," £4,573.72 ",PO00042901,CCTV,Purchase order

Nickolds Property Management,Homelessness Provision,05-Jun-24," £4,480.00 ",PO00042746,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,12-Jun-24," £4,480.00 ",PO00043093,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,19-Jun-24," £4,480.00 ",PO00043264,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,26-Jun-24," £4,480.00 ",PO00043515,HOMEPROV,Purchase order

ESSEX COUNTY COUNCIL,Consultancy,20-Jun-24," £4,451.00 ",PO00043338,CONSULT,Purchase order

Nickolds Property Management,Homelessness Provision,19-Jun-24," £4,425.00 ",PO00043259,HOMEPROV,Purchase order

CONSTANT COOLING LTD,Building Repairs,11-Jun-24," £4,365.85 ",PO00043016,BUILD07,Purchase order

GRAPE PASSIONS LTD,Bar Stock,07-Jun-24," £4,312.80 ",,CAT2,Direct Debit

Nickolds Property Management,Homelessness Provision,05-Jun-24," £4,270.00 ",PO00042744,HOMEPROV,Purchase order

Order Blinds Online Ltd,Interior Paint & Finishing,21-Jun-24," £4,211.00 ",PO00043373,BUILD09,Purchase order

REACH EVERY GENERATION,Events,20-Jun-24," £4,200.00 ",PO00043334,EVENTS,Purchase order

Nickolds Property Management,Homelessness Provision,26-Jun-24," £4,165.00 ",PO00043518,HOMEPROV,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,06-Jun-24," £4,113.30 ",PO00042819,CAT2,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,12-Jun-24," £3,982.00 ",PO00043065,CAT2,Purchase order

Nickolds Property Management,Homelessness Provision,05-Jun-24," £3,955.00 ",PO00042751,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,12-Jun-24," £3,955.00 ",PO00043099,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,19-Jun-24," £3,955.00 ",PO00043295,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,26-Jun-24," £3,955.00 ",PO00043528,HOMEPROV,Purchase order

Moore Enterprising Ltd,Performing Arts,20-Jun-24," £3,940.01 ",PO00043345,PERFORM,Purchase order

SJB FLOODLIGHTING LTD,Electrical Services,11-Jun-24," £3,937.20 ",PO00043007,BUILD10,Purchase order

EDFENERGY CUST PLC,Utilities Gas,24-Jun-24," £3,868.78 ",,GAS,Direct Debit

EASY MOBILITY SERVICES,DFGS Grant,18-Jun-24," £3,774.00 ",PO00043241,DFGS,Purchase order

Firstford Limited,Property Management,03-Jun-24," £3,712.00 ",PO00042638,PROP4,Purchase order

The Rent Guarantee Company Ltd,Homelessness Provision,04-Jun-24," £3,710.00 ",PO00042696,HOMEPROV,Purchase order

The Rent Guarantee Company Ltd,Homelessness Provision,10-Jun-24," £3,710.00 ",PO00042966,HOMEPROV,Purchase order

The Rent Guarantee Company Ltd,Homelessness Provision,17-Jun-24," £3,710.00 ",PO00043195,HOMEPROV,Purchase order

The Rent Guarantee Company Ltd,Homelessness Provision,24-Jun-24," £3,710.00 ",PO00043418,HOMEPROV,Purchase order

SIGNWAY SUPPLIES,Signage - Installation & Maintenance,10-Jun-24," £3,692.50 ",PO00042962,SIGN2,Purchase order

NPOWER,Utilities Gas,17-Jun-24," £3,654.02 ",,GAS,Direct Debit

SHELL U.K. LIMITED,Fuel,24-Jun-24," £3,632.43 ",,FUEL1,Direct Debit

DENNIS EAGLE LTD,Vehicles Parts,14-Jun-24," £3,301.84 ",PO00043178,VEHIC7,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,06-Jun-24," £3,274.50 ",PO00042817,CAT2,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,06-Jun-24," £3,273.58 ",PO00042818,CAT2,Purchase order

ESSEX COUNTY COUNCIL,Subscriptions,03-Jun-24," £3,200.00 ",PO00042624,SUBS,Purchase order

Limegreen Electrical Ltd,Performing Arts,26-Jun-24," £3,160.00 ",PO00043538,PERFORM,Purchase order

Sam Bradshaw Productions ltd,Performing Arts,13-Jun-24," £3,127.02 ",PO00043124,PERFORM,Purchase order

COGNIV8 LTD,Consultancy,14-Jun-24," £3,120.00 ",PO00043148,CONSULT,Purchase order

FENN WRIGHT,Property Management,20-Jun-24," £3,000.00 ",PO00043327,PROP4,Purchase order

BARCLAYCARD,Banking,25-Jun-24," £3,000.00 ",,FIN2,Direct Debit

PLENTY OF THYME,Catering Supplies - Food & Drink,19-Jun-24," £2,997.00 ",PO00043297,CAT2,Purchase order

ADECCO UK LTD,Traffic Wardens,24-Jun-24," £2,991.49 ",PO00043428,TRAFF2,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,19-Jun-24," £2,984.96 ",PO00043298,CAT2,Purchase order

PPL PRS LTD,Performing Arts,13-Jun-24," £2,935.22 ",PO00043121,PERFORM,Purchase order

MEDIGOLD HEALTH CONSULTANCY LIMITED,Healthcare Fees,27-Jun-24," £2,915.50 ",PO00043581,HEALTH3,Purchase order

TRAVELERS INSURANCE COMPANY LTD,Insurance,17-Jun-24," £2,800.00 ",PO00043203,INSURE,Purchase order

CHAMPION SERVICES GROUP,Cleaning Services - External,05-Jun-24," £2,780.00 ",PO00042754,CLEAN2,Purchase order

UK MEDIA GROUP LTD,Promotional Advertising,21-Jun-24," £2,750.00 ",PO00043372,ADVRT1,Purchase order

WAVENET LIMITED,Telecoms,25-Jun-24," £2,737.04 ",,DIGIT8,Direct Debit

PLENTY OF THYME,Catering Supplies - Food & Drink,06-Jun-24," £2,678.98 ",PO00042820,CAT2,Purchase order

MOUNTFIELD SERVICES,DFGS Grant,25-Jun-24," £2,595.00 ",PO00043508,DFGS,Purchase order

SELLICK PARTNERSHIP,Temporary Staff,04-Jun-24," £2,590.00 ",PO00042689,HR2,Purchase order

SELLICK PARTNERSHIP,Temporary Staff,26-Jun-24," £2,590.00 ",PO00043547,HR2,Purchase order

HAYS MONTROSE,Street Cleaning Services,03-Jun-24," £2,585.64 ",PO00042633,CLEAN5,Purchase order

The Average Scientist,Performing Arts,18-Jun-24," £2,547.60 ",PO00043218,PERFORM,Purchase order

BADDOW ROAD SUPPLIES LTD,PPE Workwear,27-Jun-24," £2,538.89 ",PO00043576,PPE1,Purchase order

JOHN FINCH PARTNERSHIP LTD,Property Management,25-Jun-24," £2,524.39 ",PO00043507,PROP4,Purchase order

SELLICK PARTNERSHIP,Temporary Staff,18-Jun-24," £2,520.00 ",PO00043243,HR2,Purchase order

VICTORIA BUTTON ARTIST,Consultancy,04-Jun-24," £2,500.00 ",PO00042699,CONSULT,Purchase order

Animal Focused,Training / Course Fees,26-Jun-24," £2,500.00 ",PO00043557,TRG1,Purchase order

CONTAINER for fire risk assessment outcome,NEWEQUIP,03-Jun-24," £2,484.00 ",,,Procurement card

PLENTY OF THYME,Catering Supplies - Food & Drink,19-Jun-24," £2,473.80 ",PO00043299,CAT2,Purchase order

W20 LIMITED T/AS  CCFC EVENTS LIMITED,Catering Services - External,10-Jun-24," £2,400.00 ",PO00042951,CAT1,Purchase order

APSE,Consultancy,19-Jun-24," £2,395.00 ",PO00043296,CONSULT,Purchase order

BOOKER LTD,Bar Stock,04-Jun-24," £2,378.39 ",,CAT2,Direct Debit

M & P DUNN LTD,Building Repairs,12-Jun-24," £2,361.71 ",PO00043035,BUILD07,Purchase order

ESSEX COUNTY COUNCIL,Temporary Staff,11-Jun-24," £2,330.00 ",PO00042994,HR2,Purchase order

PGR Timber Ltd,Building Materials,07-Jun-24," £2,290.34 ",PO00042894,MAT,Purchase order

VIP SECURITY (ESSEX) LTD,Security Personnel,04-Jun-24," £2,281.10 ",PO00042703,SECUR4,Purchase order

ESSEX COUNTY COUNCIL,Temporary Staff,07-Jun-24," £2,250.00 ",PO00042912,HR2,Purchase order

T J COTTIS TRANSPORT LIMITED,Waste Disposal Services,20-Jun-24," £2,250.00 ",PO00043331,WASTE2,Purchase order

Alliance Automotive UK CV Ltd T/a CV Components,Vehicles Parts,18-Jun-24," £2,242.50 ",PO00043253,VEHIC7,Purchase order

DIAL A JET DRAINAGE LTD,Washroom Sanitation Services,07-Jun-24," £2,240.00 ",PO00042880,CLEAN4,Purchase order

ALLPAY INVOICE,Banking,26-Jun-24," £2,227.35 ",,FIN2,Direct Debit

DENNIS EAGLE LTD,Vehicles Parts,21-Jun-24," £2,210.97 ",PO00043392,VEHIC7,Purchase order

BADDOW ROAD SUPPLIES LTD,Recycling Services,27-Jun-24," £2,170.57 ",PO00043577,RECYCL1,Purchase order

Strive Agency Ltd,Publications,10-Jun-24," £2,123.00 ",PO00042947,PRINT2,Purchase order

WALKERS CLEANING SERVICES LTD,Cleaning Services - External,04-Jun-24," £2,115.00 ",PO00042666,CLEAN2,Purchase order

CHAMPION SERVICES GROUP,Cleaning Services - External,04-Jun-24," £2,111.30 ",PO00042701,CLEAN2,Purchase order

LES MILLS FITNESS,Fitness Instructors,27-Jun-24," £2,106.00 ",,SPORT3,Direct Debit

ASCENDING ARBS TREE SERVICES LTD,Tree Management Services,05-Jun-24," £2,104.50 ",PO00042717,TREE,Purchase order

CANFORD AUDIO PLC,Performing Arts,10-Jun-24," £2,059.29 ",PO00042953,PERFORM,Purchase order

Planning Resource Advert for PO/SPO Roles,GENEXPENSE,19-Jun-24," £2,034.00 ",,,Procurement card

Associated Floor Coverings,Building Repairs,21-Jun-24," £2,025.00 ",PO00043365,BUILD07,Purchase order

LIGHT 'N EASY LTD,Electrical Services,04-Jun-24," £2,022.68 ",PO00042664,BUILD10,Purchase order

WESTLANDS COMMUNITY PRIMARY SCHOOL,Election Services,05-Jun-24," £2,019.87 ",PO00042767,LEGAL2,Purchase order

THE INDUSTRIAL MAINTENANCE GROUP LIMITED,Cleaning Supplies,27-Jun-24," £2,015.54 ",PO00043584,CLEAN1,Purchase order

DOUBLE YOLK CONSULTING LTD,Consultancy,28-Jun-24," £2,000.00 ",PO00043610,CONSULT,Purchase order

PPL PRS LTD,Software,12-Jun-24," £1,990.51 ",PO00043080,LICENCE,Purchase order

CHELMSFORD SAFETY SUPPLIES,PPE Workwear,07-Jun-24," £1,978.30 ",PO00042908,PPE1,Purchase order

BALM & DAVIES LTD,Building Repairs,12-Jun-24," £1,977.22 ",PO00043067,BUILD07,Purchase order

UTOPIA CONTRACTS LTD,Performing Arts,27-Jun-24," £1,975.50 ",PO00043590,PERFORM,Purchase order

SFTW (Edinburgh) Ltd,Performing Arts,19-Jun-24," £1,942.71 ",PO00043318,PERFORM,Purchase order

D LINE MARKINGS LTD,Signage - Highway,19-Jun-24," £1,904.63 ",PO00043302,SIGN4,Purchase order

LACONS BREWERY LIM,Bar Stock,17-Jun-24," £1,880.34 ",,CAT2,Direct Debit

BADDOW ROAD SUPPLIES LTD,Street Cleaning Services,27-Jun-24," £1,870.54 ",PO00043573,CLEAN5,Purchase order

BOOKER LTD,Bar Stock,25-Jun-24," £1,866.90 ",,CAT2,Direct Debit

Redacted,Temporary Staff,10-Jun-24," £1,840.00 ",PO00042971,HR2,Purchase order

CORNERSTONE BARRISTERS,Consultancy,11-Jun-24," £1,800.00 ",PO00042986,CONSULT,Purchase order

COMPLETE CONSTRUCTION,Building Repairs,25-Jun-24," £1,795.00 ",PO00043456,BUILD07,Purchase order

DRIVER HIRE NATIONWIDE,Temporary Staff,21-Jun-24," £1,778.00 ",PO00043357,HR2,Purchase order

DRIVER HIRE NATIONWIDE,Temporary Staff,21-Jun-24," £1,778.00 ",PO00043358,HR2,Purchase order

G & B FINCH SOILS,Aggregates,05-Jun-24," £1,755.00 ",PO00042722,AGGRG,Purchase order

TIMBERPLAY LIMITED,Playground Maintenance,20-Jun-24," £1,738.00 ",PO00043322,PLAY2,Purchase order

Redacted,Burial & Cremation,27-Jun-24," £1,738.00 ",PO00043586,CREM4,Purchase order

AUTO JET,Vehicle Maintenance,25-Jun-24," £1,730.00 ",PO00043470,VEHIC8,Purchase order

DIAL A JET DRAINAGE LTD,Building Repairs,10-Jun-24," £1,716.00 ",PO00042963,BUILD07,Purchase order

Phil McIntyre Live Ltd,Performing Arts,02-Jun-24," £1,711.03 ",PO00042605,PERFORM,Purchase order

ORIGIN AMENITY SOLUTIONS,Horticultural Chemicals,03-Jun-24," £1,694.56 ",PO00042613,HORT1,Purchase order

DENNIS EAGLE LTD,Vehicle Maintenance,12-Jun-24," £1,675.59 ",PO00043048,VEHIC8,Purchase order

PALL MALL PREMIER CARS,Vehicle Hire,18-Jun-24," £1,653.00 ",PO00043245,VEHIC5,Purchase order

AUTO JET,Vehicle Maintenance,06-Jun-24," £1,625.00 ",PO00042839,VEHIC8,Purchase order

AUTO JET,Vehicle Maintenance,25-Jun-24," £1,625.00 ",PO00043468,VEHIC8,Purchase order

HILLS PROSPECT PLC,Catering Supplies - Food & Drink,13-Jun-24," £1,619.21 ",PO00043132,CAT2,Purchase order

Kirkman & Jourdain Ltd,Building Repairs,12-Jun-24," £1,604.77 ",PO00043034,BUILD07,Purchase order

M J FENCING LTD,Construction - Permanent Structures,24-Jun-24," £1,600.00 ",PO00043416,BUILD06,Purchase order

ERNEST DOE & SONS LTD,Tool & Equipment Purchase,06-Jun-24," £1,598.00 ",PO00042815,TOOL1,Purchase order

DENNIS EAGLE LTD,Vehicles Parts,25-Jun-24," £1,595.96 ",PO00043466,VEHIC7,Purchase order

JACOBS CERTIFICATED BAILIFFS,Debt Collection & Recovery,11-Jun-24," £1,576.58 ",PO00042988,DEBT,Purchase order

