OrganisationNameLabel,OrganisationURI,EffectiveDate,Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,ServiceCategoryURI,Supplier,SupplierRegisteredCompany Number,PaymentDate,TransactionNumber,NetAmount,IrrecoverableVAT,PurposeOfSpend,ProcurementClassification:ProclassLabel,ProcrementClassification:ProClassCode
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management Account Mgmt,SLDC as Agent,,PAY BY PHONE (PAYPOINT),,03/05/2023,189339,3905.08,0,Pay by Phones fees for 1 April to 31,351400,Street & Traffic Traffic Control
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Westmorland Centre Parking Office,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,CAPITA BUSINESS SERVICES LTD (NCR),,01/05/2023,189360,3633.07,0,PSP charges,261500,HR Training & Conferences
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management People,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,TAMESIDE METROPOLITAN BOROUGH,,11/05/2023,189361,53.35,0,Credit Check provision,202100,Financial Services Subscriptions
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,ICT Group,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Pentest People Limited,,18/05/2023,189362,9750,0,IT Health Check - Year 4,279999,ICT Not Elsewhere Classified
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Kendal Town Hall,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,CUMBRIA WASTE RECYCLING LTD,3162439,16/05/2023,189364,211.25,0,Weekly collection of 5 wheelie bins,182012,Environment Waste Management Recycling
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management Account Mgmt,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,CUMBRIA WASTE RECYCLING LTD,3162439,11/05/2023,189365,80.5,0,Multi storey 660 ltr bin hire (April,182012,Environment Waste Management Recycling
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Business Support Community Services,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,CUMBRIA WASTE RECYCLING LTD,3162439,16/05/2023,189366,149.5,0,Skip emptying 2022/23,182012,Environment Waste Management Recycling
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Business Support Community Services,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,CUMBRIA WASTE RECYCLING LTD,3162439,16/05/2023,189367,1075.73,0,Skip emptying 2022/23,182012,Environment Waste Management Recycling
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Delivery Commercial Services,Housing,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,HM Architecture,439078,23/05/2023,189369,3314.83,0,Langstone House - Full application,391000,Construction Architect
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management Account Mgmt,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,ROYAL MAIL GROUP PLC,,09/05/2023,189394,35.03,0,2022-23 Postal Charges a/c 0055114000 &,301200,Mail Services  Postage
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Business Support Community Services,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,CUMBRIA WASTE RECYCLING LTD,3162439,25/05/2023,189624,30993.84,0,Empty recycling banks 2022/23,182012,Environment Waste Management Recycling
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Business Support Community Services,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,CUMBRIA WASTE RECYCLING LTD,3162439,25/05/2023,189625,27.44,0,Empty recycling banks 2022/23,182012,Environment Waste Management Recycling
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,PSL Print Management Ltd,,11/05/2023,189643,839.06,0,Printing Services,191600,Facilities Printing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management People,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,YATES PLAYGROUNDS LTD,7038694,16/05/2023,189666,3555,0,Supply & install 2.4m Birds Nest Swing,331000,Sports Playground Equipment
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Iceni Projects Limited,5359427,09/05/2023,189713,8781.5,0,Strategic Housing and Employment Needs,150000,Consultancy
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management Regulatory,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,N WESTERN INSHORE FISHERIES &,,25/05/2023,189714,1410,0,Cockle Sampling,111200,Catering Food & Beverages
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management People,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Kendal Community Land Trust,,09/05/2023,189715,215,0,Capacity Grant Funding,250000,Housing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Business Support Community Services,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,BRIAN ARMISTEAD LTD T/A SINKFALL RECYCLI,4133280,03/05/2023,189757,1143.04,0,Tipping charges 2022/23,391110,Construction Buildings Construction
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,PSL Print Management Ltd,,11/05/2023,189786,2063.65,0,Postage costs,191600,Facilities Printing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,PSL Print Management Ltd,,11/05/2023,189788,1556.53,0,Printing Services,191600,Facilities Printing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,PSL Print Management Ltd,,11/05/2023,189789,895,0,Printing Services,191600,Facilities Printing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,PSL Print Management Ltd,,11/05/2023,189790,14723.42,0,Printing Services,191600,Facilities Printing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,PSL Print Management Ltd,,11/05/2023,189791,4992.8,0,Postage costs,191600,Facilities Printing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,PSL Print Management Ltd,,11/05/2023,189792,595.51,0,Printing Services,191600,Facilities Printing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,PSL Print Management Ltd,,11/05/2023,189793,2845.79,0,Postage costs,191600,Facilities Printing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Delivery Commercial Services,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Greaves Tree Services,,09/05/2023,189805,1346,0,Red Bank Rd Car Park - Fell TR1 3,241600,Horticultural Trees & Shrubs
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,ICT Group,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,EE UK LTD (NCR),,01/05/2023,189809,195.28,0,"EE SIM costs, covers until 31/3/23",351000,Street & Traffic Parking Car Parks
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management People,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Holme House Farm Ltd,,09/05/2023,189810,10330.39,0,Holme Farm - Capacity Grant,250000,Housing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management People,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Holme House Farm Ltd,,09/05/2023,189811,2640,0,Holme Farm - Capacity Grant,250000,Housing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management Account Mgmt,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Caddick Construction (NW) Limited,,11/05/2023,189812,71990.26,0,Contract number NW127 - Refurbishment,391100,Construction Buildings
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,ICT Group,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,IT PROFESSIONAL SERVICES (ITPS),,25/05/2023,189813,47.97,0,"SIP phone calls, covers October 2022 to",279999,ICT Not Elsewhere Classified
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Support Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Freeths LLP,,11/05/2023,189847,2619.9,0,procurement of 10 Resource Recovery,280000,Legal Services
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,ICT Group,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,GGP Systems Limited,2685491,11/05/2023,189853,795,0,GGP5/ NGz,270000,Information Communications Technology
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,ICT Group,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,GGP Systems Limited,2685491,11/05/2023,189854,1192.5,0,GGP5/ NGz,270000,Information Communications Technology
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,ICT Group,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,GGP Systems Limited,2685491,11/05/2023,189855,13625,0,GGP5/ NGz,270000,Information Communications Technology
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Delivery Commercial Services,Culture and Related Serv,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Bowland Ecology Ltd,5348761,11/05/2023,189856,880,0,Grange Lido - Update HRA to reflect,152050,Consultancy Property
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Westmorland Centre Parking Office,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,Worldpay (UK) Limited (NCR),,01/05/2023,189948,15,0,Credit card comission,201200,Financial Services Banking
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Westmorland Centre Parking Office,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,Worldpay (UK) Limited (NCR),,01/05/2023,189949,150,0,Credit card comission,201200,Financial Services Banking
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Westmorland Centre Parking Office,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,Worldpay (UK) Limited (NCR),,01/05/2023,189950,15,0,Credit card comission,201200,Financial Services Banking
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Westmorland Centre Parking Office,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,Worldpay (UK) Limited (NCR),,01/05/2023,189951,150,0,Credit card comission,201200,Financial Services Banking
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Delivery Commercial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,CUMBRIA WASTE RECYCLING LTD,3162439,16/05/2023,189952,361.05,0,South Lakeland House 1100Ltr wheeled,182012,Environment Waste Management Recycling
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Delivery Commercial Services,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,CUMBRIA WASTE RECYCLING LTD,3162439,16/05/2023,189953,187.16,0,MIntworks Skip Hire,182012,Environment Waste Management Recycling
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Support Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,GRANTS- MISCELLANEOUS,,16/05/2023,189954,1000,0,Locality donation to fund toilet,201700,Financial Services Grants
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Westmorland Centre Parking Office,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,Worldpay (UK) Limited (NCR),,01/05/2023,189955,15,0,Credit card comission,201200,Financial Services Banking
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Westmorland Centre Parking Office,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,Worldpay (UK) Limited (NCR),,01/05/2023,189956,15,0,Credit card comission,201200,Financial Services Banking
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Westmorland Centre Parking Office,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,CONISTON CORPORATE EMBROIDERY UK LTD,2421673,18/05/2023,190048,25.25,0,Pro RTX Pro Polo Tops (RX101) Medium,149999,Clothing Not Elsewhere Classified
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Westmorland Centre Parking Office,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,CONISTON CORPORATE EMBROIDERY UK LTD,2421673,18/05/2023,190048,84.4,0,Pro RTX Pro Polo Tops (RX101) Medium,149999,Clothing Not Elsewhere Classified
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management People,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Homes For Ulverston CLT Ltd,,31/05/2023,190049,1777,0,Sefton House Grant,250000,Housing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management Regulatory,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,T J Health,,18/05/2023,190050,1364,0,TAXI DRIVERS,311600,Healthcare Services
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management People,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,SOUTH LAKES HOUSING,IP031419,18/05/2023,190051,111.15,0,TVF Management Fee,191700,Facilities Property Management
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management People,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,SOUTH LAKES HOUSING,IP031419,18/05/2023,190051,1190,0,TVF Management Fee,191700,Facilities Property Management
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management People,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,SOUTH LAKES HOUSING,IP031419,18/05/2023,190051,4448.29,0,TVF Management Fee,191700,Facilities Property Management
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management People,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,SOUTH LAKES HOUSING,IP031419,18/05/2023,190051,700,0,TVF Management Fee,191700,Facilities Property Management
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management People,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,SOUTH LAKES HOUSING,IP031419,18/05/2023,190051,232.49,0,TVF Management Fee,191700,Facilities Property Management
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management People,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,SOUTH LAKES HOUSING,IP031419,18/05/2023,190051,1190,0,TVF Management Fee,191700,Facilities Property Management
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Financial Services,Non-Service Payments,,Bravo Benefits Ltd,6758298,18/05/2023,190096,558,0,child care vouchers,202100,Financial Services Subscriptions
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Financial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Bravo Benefits Ltd,6758298,18/05/2023,190097,19.53,0,child care service charge,202100,Financial Services Subscriptions
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,MERITEC LTD,3224622,19/05/2023,190305,10500,0,Revenues Support RW,391200,Construction Engineering
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,MERITEC LTD,3224622,19/05/2023,190306,46695,0,Specialist revenues resource support MS,391200,Construction Engineering
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management Account Mgmt,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,CAPITA BUSINESS SERVICES LTD (NCR),,01/05/2023,190308,1158.88,0,2022/23 Internet payment/bank charges,261500,HR Training & Conferences
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management Account Mgmt,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,CAPITA BUSINESS SERVICES LTD (NCR),,01/05/2023,190308,7019,0,2022/23 Internet payment/bank charges,261500,HR Training & Conferences
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Finance,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,LAVAT Consulting t/a PSTAX,4810070,19/05/2023,190309,7552.5,0,2023/24 W&F PS Tax Club Membership,202100,Financial Services Subscriptions
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Support Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,THOMSON REUTERS (PROFESSIONAL) UK LTD,1679046,23/05/2023,190324,10614.6,0,on line,202100,Financial Services Subscriptions
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management People,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,G2 Recruitment Solutions,,31/05/2023,190375,1105.5,0,Payment for Housing Options Advisor,261413,HR- Temporary Staff- Professional
