Supplier Name,Net Amount,Spend Type,Service,Department,Account,Entry Date,Payment type,
LIGHTSIDE LIMITED, 712.41 , Responsive Repairs           ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,10 Jul 23,Invoiced,
LIGHTSIDE LIMITED, 727.82 ,Communal Lighting             ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,10 Jul 23,Invoiced,
LIGHTSIDE LIMITED, 769.19 , Responsive Repairs           ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,14 Aug 23,Invoiced,
LIGHTSIDE LIMITED, 786.18 ,Communal Lighting             ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,10 Jul 23,Invoiced,
LIGHTSIDE LIMITED, 809.92 , Responsive Repairs           ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,4 Aug 23,Invoiced,
LIGHTSIDE LIMITED," 1,039.49 ", Responsive Repairs           ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,24 Jul 23,Invoiced,
LIGHTSIDE LIMITED," 1,399.29 ", Responsive Repairs           ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,4 Aug 23,Invoiced,
LIGHTSIDE LIMITED," 1,498.26 ", Responsive Repairs           ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,4 Aug 23,Invoiced,
LIGHTSIDE LIMITED," 1,628.40 ", Responsive Repairs           ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,10 Jul 23,Invoiced,
LIGHTSIDE LIMITED," 1,669.60 ", Responsive Repairs           ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,4 Sep 23,Invoiced,
LIGHTSIDE LIMITED," 1,686.72 ",Communal Lighting             ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,11 Sep 23,Invoiced,
LIGHTSIDE LIMITED," 2,454.04 ",Communal Lighting             ,Community Centres             ,Homes & Neighbourhoods,HRA,4 Aug 23,Invoiced,
LIGHTSIDE LIMITED," 2,594.03 ", Responsive Repairs           ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,14 Aug 23,Invoiced,
LIGHTSIDE LIMITED," 3,031.71 ", Responsive Repairs           ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,11 Sep 23,Invoiced,
LIGHTSIDE LIMITED," 3,127.39 ", Responsive Repairs           ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,11 Sep 23,Invoiced,
LIGHTSIDE LIMITED," 4,287.37 ", Responsive Repairs           ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,29 Aug 23,Invoiced,
LIGHTSIDE LIMITED," 4,888.97 ", Responsive Repairs           ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,17 Jul 23,Invoiced,
LIME TRANSPORT LIMITED, 800.00 ,Consultants - Fees            ,New Build                     ,Homes & Neighbourhoods,HRA,14 Aug 23,Invoiced,
LIME TRANSPORT LIMITED, 500.00 ,Consultants - Fees            , Bemerton South /Orkney Hse   ,Homes & Neighbourhoods,HRA,16 Aug 23,Invoiced,
LIME TRANSPORT LIMITED," 3,250.00 ",Consultants - Fees            ,cppfa Charles Simmons House   ,Homes & Neighbourhoods,HRA,14 Aug 23,Invoiced,
LIMONCELLO," 1,215.00 ",Food & Subsistence            ,Inclusive Knowledge Economy   ,Community Wealth Building,General Fund,22 Sep 23,Invoiced,
Lionheart Education," 28,500.00 ",Education Bodies              ,Independent School Fees-post16,Children & Young People,General Fund,18 Aug 23,Invoiced,
LIQUIDLOGIC, 512.57 ,Software Purchase             ,HB Client Side                ,Community Wealth Building,General Fund,28 Jun 23,Invoiced,
LIQUIDLOGIC," 3,989.04 ",Software Purchase             ,Commercial and Risk           ,Resources,General Fund,14 Aug 23,Invoiced,
LIQUIDLOGIC," 7,391.57 ",Software Purchase             ,Commercial and Risk           ,Resources,General Fund,14 Aug 23,Invoiced,
LITTLE ANGELS DAY NURSERY," 1,611.00 ",Direct Payment To N.S.O       ,EY SEND Addnl Costs and Others,Children & Young People,General Fund,26 Jun 23,Invoiced,
LITTLE ANGELS DAY NURSERY," 9,029.37 ",Direct Payment To N.S.O       ,PVI Nursery Education Funding ,Children & Young People,General Fund,5 Sep 23,Invoiced,
LITTLE ANGELS DAY NURSERY," 25,043.09 ",Direct Payment To N.S.O       ,PVI Nursery Education Funding ,Children & Young People,General Fund,6 Jul 23,Invoiced,
LITTLE ANGELS DAY NURSERY LTD," 7,724.12 ",Direct Payment To N.S.O       ,PVI Nursery Education Funding ,Children & Young People,General Fund,5 Sep 23,Invoiced,
LITTLE ANGELS DAY NURSERY LTD," 21,832.15 ",Direct Payment To N.S.O       ,PVI Nursery Education Funding ,Children & Young People,General Fund,6 Jul 23,Invoiced,
Little Garden Cafe, 14.30 ,Purchases General,PAUSE,Children & Young People,General Fund,26 Jul 23,Purchase Card,
Little Garden Cafe, 21.20 ,Purchases General,PAUSE,Children & Young People,General Fund,30 Aug 23,Purchase Card,
LITTLE HAVEN CHILDCARE, 780.00 ,General Fees & Services       ,Childcare Bursaries           ,Community Wealth Building,General Fund,28 Jul 23,Invoiced,
Little Raccoons Day Nursery," 1,627.50 ",Direct Payment To N.S.O       ,PVI Nursery Education Funding ,Children & Young People,General Fund,5 Sep 23,Invoiced,
Little Raccoons Day Nursery," 4,278.00 ",Direct Payment To N.S.O       ,PVI Nursery Education Funding ,Children & Young People,General Fund,6 Jul 23,Invoiced,
LITTLENEMONURSERYLTD, 942.00 ,Direct Payment To N.S.O       ,EY SEND Addnl Costs and Others,Children & Young People,General Fund,26 Jun 23,Invoiced,
LITTLENEMONURSERYLTD," 1,646.40 ",Direct Payment To N.S.O       ,Children In Need - PEL        ,Children & Young People,General Fund,10 Aug 23,Invoiced,
LIVING WELL CIC," 20,623.75 ",Health/Hospital Authorities   ,Positively UK                 ,Public Health,General Fund,12 Jul 23,Invoiced,
Lizzys On The Green, 6.50 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,11 Sep 23,Purchase Card,
LK PRINT LTD, 660.00 ,Printing                      ,Print Services                ,Resources,General Fund,7 Aug 23,Invoiced,
LK PRINT LTD, 832.00 ,Printing                      ,Print Services                ,Resources,General Fund,26 Jul 23,Invoiced,
LK PRINT LTD, 848.00 ,Printing                      ,Print Services                ,Resources,General Fund,22 Aug 23,Invoiced,
LK PRINT LTD," 2,115.00 ",Printing                      ,Print Services                ,Resources,General Fund,14 Sep 23,Invoiced,
LK PRINT LTD," 2,580.00 ",Printing                      ,Print Services                ,Resources,General Fund,14 Sep 23,Invoiced,
LK PRINT LTD," 4,628.00 ",Printing                      ,Print Services                ,Resources,General Fund,3 Jul 23,Invoiced,
LLORET FIRE AND SECURITY LIMITED, 521.31 ,Buildings-General             ,Platform                      ,Community Wealth Building,General Fund,5 Jul 23,Invoiced,
LLOYD SQUARE GARDEN COMMITEE," 19,536.37 ",Other Levies                  ,Council Tax                   ,Corporate,General Fund,7 Jul 23,Invoiced,
Lner Web Sales, 39.20 ,Travel By Public Transpt,London Regional Adoption Agenc,Children & Young People,General Fund,26 Jul 23,Purchase Card,
LOCAL GOVERNMENT & SOCIAL CARE OMBUDSMAN," 1,000.00 ",Training - External Courses   ,Customer Care                 ,Community Engagement & Wellbeing,General Fund,27 Jun 23,Invoiced,
LOCAL GOVERNMENT ASSOCIATION, 555.90 ,Training - External Courses   ,Members Allowances            ,Resources,General Fund,26 Jul 23,Invoiced,
LOCAL GOVERNMENT ASSOCIATION," 1,111.80 ",Training - External Courses   ,Members Allowances            ,Resources,General Fund,11 Jul 23,Invoiced,
Location 1, 3.00 ,Purchases General,COMMUNITY SAFETY - E&R,Homes & Neighbourhoods,General Fund,16 Aug 23,Purchase Card,
Loch Arthur Camphill Community Limited," 1,718.40 ",Non Lbi Day Centre            ,Learning Disability Sup 18-64 ,Adult Social Services,General Fund,11 Jul 23,Invoiced,
Loch Arthur Camphill Community Limited," 1,718.40 ",Non Lbi Day Centre            ,Learning Disability Sup 18-64 ,Adult Social Services,General Fund,18 Aug 23,Invoiced,
Loch Arthur Camphill Community Limited," 1,718.40 ",Non Lbi Day Centre            ,Learning Disability Sup 18-64 ,Adult Social Services,General Fund,18 Aug 23,Invoiced,
Loch Arthur Camphill Community Limited," 1,718.40 ",Non Lbi Day Centre            ,Learning Disability Sup 18-64 ,Adult Social Services,General Fund,18 Aug 23,Invoiced,
LOCTA LTD, 950.00 ,Software Licensing Fees       ,NRPF Network                  ,Homes & Neighbourhoods,General Fund,11 Sep 23,Invoiced,
LOCTA LTD," 5,700.00 ",Software Licensing Fees       ,NRPF Network                  ,Homes & Neighbourhoods,General Fund,4 Aug 23,Invoiced,
LOCTA LTD," 10,450.00 ",Software Licensing Fees       ,NRPF Network                  ,Homes & Neighbourhoods,General Fund,12 Jul 23,Invoiced,
Lodos Food Centre, 17.72 ,Purchases General,COMMUNITY SAFETY - E&R,Homes & Neighbourhoods,General Fund,22 Sep 23,Purchase Card,
LOGISTICS UK, 664.00 ,Repair & Maintenance-General  ,Fleet                         ,Environment & Climate Change,General Fund,9 Aug 23,Invoiced,
LOGISTICS UK, 731.00 ,Purchases General             ,Fleet                         ,Environment & Climate Change,General Fund,7 Jul 23,Invoiced,
LOGISTICS UK, 731.00 ,Repair & Maintenance-General  ,Fleet                         ,Environment & Climate Change,General Fund,4 Aug 23,Invoiced,
LOGISTICS UK, 731.00 ,Repair & Maintenance-General  ,Fleet                         ,Environment & Climate Change,General Fund,6 Sep 23,Invoiced,
Londis, 7.41 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,7 Sep 23,Purchase Card,
Londis, 7.96 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,22 Aug 23,Purchase Card,
LONDON BIN CLEANING LTD, 695.00 ,Cleaning Of Buildings         ,St John St Est Services Team  ,Homes & Neighbourhoods,HRA,19 Sep 23,Invoiced,
LONDON BIN CLEANING LTD, 746.00 ,Purchases General             ,St. John Street Caretakers    ,Homes & Neighbourhoods,HRA,1 Sep 23,Invoiced,
LONDON BIN CLEANING LTD, 783.00 ,Purchases General             ,St. John Street Caretakers    ,Homes & Neighbourhoods,HRA,1 Sep 23,Invoiced,
LONDON BLITZ CLEAN LTD, 688.00 ,SS Dom-Blitz Clean Costs      ,Mental Health Support 18-64   ,Adult Social Services,General Fund,14 Aug 23,Invoiced,
LONDON BLITZ CLEAN LTD," 1,032.00 ",SS Dom-Blitz Clean Costs      ,Physical Support              ,Adult Social Services,General Fund,12 Jul 23,Invoiced,
LONDON BLITZ CLEAN LTD," 1,032.00 ",SS Dom-Blitz Clean Costs      ,Physical Support              ,Adult Social Services,General Fund,31 Aug 23,Invoiced,
LONDON BLITZ CLEAN LTD," 1,032.00 ",SS Dom-Blitz Clean Costs      ,Mental Health Support 18-64   ,Adult Social Services,General Fund,7 Jul 23,Invoiced,
LONDON BLITZ CLEAN LTD," 1,032.00 ",SS Dom-Blitz Clean Costs      ,Mental Health Support 18-64   ,Adult Social Services,General Fund,25 Jul 23,Invoiced,
LONDON BLITZ CLEAN LTD," 1,048.00 ",SS Dom-Blitz Clean Costs      ,Physical Support              ,Adult Social Services,General Fund,30 Aug 23,Invoiced,
LONDON BLITZ CLEAN LTD," 1,732.00 ",SS Dom-Blitz Clean Costs      ,Physical Support 65-74        ,Adult Social Services,General Fund,31 Aug 23,Invoiced,
LONDON BLITZ CLEAN LTD," 4,626.00 ",SS Dom-Blitz Clean Costs      ,Mental Health Support 18-64   ,Adult Social Services,General Fund,3 Aug 23,Invoiced,
LONDON BOROUGH OF BARNET," 1,454.08 ",Purchases General             ,Head of Neighbourhood Services,Homes & Neighbourhoods,HRA,18 Sep 23,Invoiced,
LONDON BOROUGH OF CAMDEN," 3,250.00 ",General Fees & Services       ,Safeguarding Adults           ,Adult Social Services,General Fund,5 Sep 23,Invoiced,
LONDON BOROUGH OF CAMDEN," 5,750.00 ",Training - External Courses   ,MH Training Team              ,Adult Social Services,General Fund,18 Aug 23,Invoiced,
LONDON BOROUGH OF CAMDEN," 2,000.00 ",General Works                 ,LEARNING & SKILLS             ,Community Wealth Building,General Fund,21 Aug 23,Invoiced,
LONDON BOROUGH OF CAMDEN," 15,000.00 ",General Fees & Services       ,Homes for Ukraine (Funded)    ,Homes & Neighbourhoods,General Fund,3 Aug 23,Invoiced,
LONDON BOROUGH OF CAMDEN," 11,500.00 ",General Fees & Services       ,Strat Projs & Transport Plan  ,Environment & Climate Change,General Fund,11 Jul 23,Invoiced,
LONDON BOROUGH OF ENFIELD," 13,421.62 ",Other Local Authority Provisio,Fostering                     ,Children & Young People,General Fund,12 Jul 23,Invoiced,
LONDON BOROUGH OF ENFIELD," 17,349.38 ",Other Local Authority Provisio,Fostering                     ,Children & Young People,General Fund,12 Jul 23,Invoiced,
LONDON BOROUGH OF HACKNEY, 709.18 ,Other Local Authority Provisio,Fostering                     ,Children & Young People,General Fund,10 Aug 23,Invoiced,
LONDON BOROUGH OF HAVERING," 3,704.32 ",General Fees & Services       ,Trading Standards             ,Homes & Neighbourhoods,General Fund,18 Sep 23,Invoiced,
LONDON BOROUGH OF HOUNSLOW," 2,630.18 ",Education Bodies              ,OB Maint Sch SEN Exp - pre16  ,Children & Young People,General Fund,6 Sep 23,Invoiced,
LONDON BOROUGH OF LAMBETH," 4,339.59 ",General Fees & Services       ,Partners In Practice          ,Children & Young People,General Fund,21 Jul 23,Invoiced,
LONDON BOROUGH OF LAMBETH," 5,786.12 ",General Fees & Services       ,Partners In Practice          ,Children & Young People,General Fund,21 Jul 23,Invoiced,
LONDON BOROUGH OF LAMBETH," 7,232.65 ",General Fees & Services       ,Partners In Practice          ,Children & Young People,General Fund,21 Jul 23,Invoiced,
LONDON BOROUGH OF MERTON, 772.87 ,Use Of Counsel-Barristers Fees,Central Overhead              ,Environment & Climate Change,General Fund,11 Aug 23,Invoiced,
LONDON BOROUGH OF NEWHAM, 582.90 ,Property Protection Pets      ,Client Affairs Team           ,Community Wealth Building,General Fund,11 Sep 23,Invoiced,
LONDON BOROUGH OF NEWHAM, 620.00 ,Property Protection Pets      ,Client Affairs Team           ,Community Wealth Building,General Fund,11 Sep 23,Invoiced,
LONDON BOROUGH OF NEWHAM," 1,550.00 ",Property Protection Pets      ,Client Affairs Team           ,Community Wealth Building,General Fund,11 Sep 23,Invoiced,
LONDON BOROUGH OF REDBRIDGE, 650.00 ,Training - External Courses   ,Refuse Collection             ,Environment & Climate Change,General Fund,5 Jul 23,Invoiced,
LONDON BOROUGH OF WALTHAM FOREST," 2,433.61 ",Client Fares                  ,VS Transport SEN & LAC        ,Children & Young People,General Fund,16 Aug 23,Invoiced,
LONDON CARE PLC," 64,532.81 ",Non Lbi Domiciliary Care      ,Homecare Block Contract       ,Adult Social Services,General Fund,5 Sep 23,Invoiced,
LONDON CARE PLC," 66,237.46 ",Non Lbi Domiciliary Care      ,Homecare Block Contract       ,Adult Social Services,General Fund,13 Sep 23,Invoiced,
LONDON CARE PLC," 66,721.20 ",Non Lbi Domiciliary Care      ,Homecare Block Contract       ,Adult Social Services,General Fund,31 Aug 23,Invoiced,
LONDON CARE PLC," 68,455.20 ",Non Lbi Domiciliary Care      ,Homecare Block Contract       ,Adult Social Services,General Fund,15 Aug 23,Invoiced,
LONDON CARE PLC," 69,493.90 ",Non Lbi Domiciliary Care      ,Homecare Block Contract       ,Adult Social Services,General Fund,12 Jul 23,Invoiced,
LONDON CARE PLC," 69,818.20 ",Non Lbi Domiciliary Care      ,Homecare Block Contract       ,Adult Social Services,General Fund,13 Jul 23,Invoiced,
LONDON CARE PLC," 70,088.69 ",Non Lbi Domiciliary Care      ,Homecare Block Contract       ,Adult Social Services,General Fund,27 Jun 23,Invoiced,
LONDON CARE PLC," 70,136.40 ",Non Lbi Domiciliary Care      ,Homecare Block Contract       ,Adult Social Services,General Fund,8 Aug 23,Invoiced,
LONDON CARE PLC," 75,430.68 ",Non Lbi Domiciliary Care      ,Homecare Block Contract       ,Adult Social Services,General Fund,1 Aug 23,Invoiced,
LONDON CARE PLC," 77,131.97 ",Non Lbi Domiciliary Care      ,Homecare Block Contract       ,Adult Social Services,General Fund,24 Jul 23,Invoiced,
LONDON CARE PLC," 78,202.49 ",Non Lbi Domiciliary Care      ,Homecare Block Contract       ,Adult Social Services,General Fund,26 Jul 23,Invoiced,
LONDON CARETAKERS LTD, 500.00 ,Security Services             ,COMMERCIAL PORTFOLIO          ,Community Wealth Building,General Fund,5 Jul 23,Invoiced,
LONDON CARETAKERS LTD, 500.00 ,Security Services             ,COMMERCIAL PORTFOLIO          ,Community Wealth Building,General Fund,8 Aug 23,Invoiced,
LONDON CARETAKERS LTD, 500.00 ,Security Services             ,COMMERCIAL PORTFOLIO          ,Community Wealth Building,General Fund,10 Aug 23,Invoiced,
LONDON CARETAKERS LTD, 500.00 ,Security Services             ,COMMERCIAL PORTFOLIO          ,Community Wealth Building,General Fund,11 Sep 23,Invoiced,
LONDON CARETAKERS LTD, 500.00 ,Security Services             ,COMMERCIAL PORTFOLIO          ,Community Wealth Building,General Fund,11 Sep 23,Invoiced,
LONDON CARETAKERS LTD, 500.00 ,General Works                 ,New River College             ,Community Wealth Building,General Fund,7 Jul 23,Invoiced,
LONDON CARETAKERS LTD, 500.00 ,General Works                 ,New River College             ,Community Wealth Building,General Fund,7 Sep 23,Invoiced,
LONDON CARETAKERS LTD, 500.00 ,Security Services             ,Disposal Costs                ,Homes & Neighbourhoods,HRA,11 Sep 23,Invoiced,
LONDON CARETAKERS LTD, 500.00 ,Security Services             ,HRA Commercial Property       ,Homes & Neighbourhoods,HRA,5 Jul 23,Invoiced,
LONDON CARETAKERS LTD, 500.00 ,Security Services             ,HRA Commercial Property       ,Homes & Neighbourhoods,HRA,8 Aug 23,Invoiced,
LONDON CARETAKERS LTD, 500.00 ,Security Services             ,HRA Commercial Property       ,Homes & Neighbourhoods,HRA,11 Sep 23,Invoiced,
LONDON CARETAKERS LTD, 500.00 ,Security Services             ,HRA Commercial Property       ,Homes & Neighbourhoods,HRA,11 Sep 23,Invoiced,
London Councils, 12.00 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,18 Aug 23,Purchase Card,
London Councils, 12.00 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,10 Aug 23,Purchase Card,
LONDON GRID FOR LEARNING TRUST," 1,695.00 ",TELEPHONE CHARGES             ,Hind House Room               ,Homes & Neighbourhoods,HRA,4 Aug 23,Invoiced,
LONDON GRID FOR LEARNING TRUST," 2,137.34 ",TELEPHONE CHARGES             ,Commercial and Risk           ,Resources,General Fund,10 Aug 23,Invoiced,
LONDON GRID FOR LEARNING TRUST," 2,174.33 ",TELEPHONE CHARGES             ,Commercial and Risk           ,Resources,General Fund,19 Sep 23,Invoiced,
LONDON GRID FOR LEARNING TRUST," 2,380.00 ",TELEPHONE CHARGES             ,Commercial and Risk           ,Resources,General Fund,13 Jul 23,Invoiced,
LONDON HEATING SOLUTIONS," 2,500.00 ", Special Contractors          ,Residential Management Exp    ,Homes & Neighbourhoods,HRA,1 Aug 23,Invoiced,
LONDON METROPOLITAN UNIVERSITY," 39,075.25 ",General Fees & Services       ,Upward Bound                  ,Children & Young People,General Fund,16 Aug 23,Invoiced,
LONDON MOVE," 1,042.00 ",General Fees & Services       ,Residential Management Exp    ,Homes & Neighbourhoods,HRA,7 Aug 23,Invoiced,
LONDON MOVE," 1,150.00 ",General Fees & Services       ,Residential Management Exp    ,Homes & Neighbourhoods,HRA,8 Sep 23,Invoiced,
LONDON MOVE," 1,238.00 ",General Fees & Services       ,Residential Management Exp    ,Homes & Neighbourhoods,HRA,14 Jul 23,Invoiced,
LONDON MOVE," 1,268.00 ",General Fees & Services       ,Residential Management Exp    ,Homes & Neighbourhoods,HRA,7 Aug 23,Invoiced,
London Nw, 12.63 ,Travel By Public Transpt,Housing Advice Team,Homes & Neighbourhoods,General Fund,8 Sep 23,Purchase Card,
London Overground Sst, 10.00 ,Travel By Public Transpt,Homes for Ukraine (Funded)    ,Homes & Neighbourhoods,General Fund,14 Sep 23,Purchase Card,
London Overground Sst, 10.00 ,Travel By Public Transpt,Bright Start Islington West,Children & Young People,General Fund,11 Sep 23,Purchase Card,
London Overground Sst, 20.00 ,Travel By Public Transpt,PAUSE,Children & Young People,General Fund,27 Jul 23,Purchase Card,
London Overground Sst, 20.00 ,Travel By Public Transpt,Post 16 Progression Team,Community Wealth Building,General Fund,8 Aug 23,Purchase Card,
London Overground Sst, 20.00 ,Travel By Public Transpt,Post 16 Progression Team,Community Wealth Building,General Fund,8 Aug 23,Purchase Card,
London Overground Sst, 20.00 ,Travel By Public Transpt,Post 16 Progression Team,Community Wealth Building,General Fund,3 Aug 23,Purchase Card,
London Overground Sst, 20.00 ,Travel By Public Transpt,Post 16 Progression Team,Community Wealth Building,General Fund,3 Aug 23,Purchase Card,
London Overground Sst, 20.00 ,Travel By Public Transpt,Post 16 Progression Team,Community Wealth Building,General Fund,3 Aug 23,Purchase Card,
London Overground Sst, 20.00 ,Travel By Public Transpt,PAUSE,Children & Young People,General Fund,25 Sep 23,Purchase Card,
London Overground Sst, 20.00 ,Travel By Public Transpt,Fleet,Environment & Climate Change,General Fund,11 Sep 23,Purchase Card,
London Overground Sst, 27.00 ,Travel By Public Transpt,Bright Start Islington West,Children & Young People,General Fund,18 Aug 23,Purchase Card,
London Overground Sst, 27.00 ,Travel By Public Transpt,Bright Start Islington West,Children & Young People,General Fund,4 Aug 23,Purchase Card,
London Overground Sst, 27.00 ,Travel By Public Transpt,Bright Start Islington West,Children & Young People,General Fund,4 Aug 23,Purchase Card,
London Overground Sst, 30.00 ,Travel By Public Transpt,Shared Lives,Adult Social Services,General Fund,19 Jul 23,Purchase Card,
London Overground Sst, 30.00 ,Travel By Public Transpt,PAUSE,Children & Young People,General Fund,12 Sep 23,Purchase Card,
London Overground Sst, 30.00 ,Travel By Public Transpt,PAUSE,Children & Young People,General Fund,6 Sep 23,Purchase Card,
LONDON TROPHY SPORTS LIMITED, 592.32 ,Purchases General             ,Sports                        ,Children & Young People,General Fund,5 Jul 23,Invoiced,
LONDON UNDERGROUND LIMITED, 807.50 ,General Works                 ,HWY-Mount View Road           ,Environment & Climate Change,General Fund,27 Jun 23,Invoiced,
LONDON YOUTH," 25,000.00 ",Direct Payment To N.S.O       ,Youth Work - Quality & Impact ,Children & Young People,General Fund,23 Aug 23,Invoiced,
LONDON YOUTH," 28,254.00 ",Direct Payment To N.S.O       ,Youth Work - Quality & Impact ,Children & Young People,General Fund,23 Aug 23,Invoiced,
LONDON YOUTH," 37,500.00 ",Direct Payment To N.S.O       ,Youth Work - Quality & Impact ,Children & Young People,General Fund,23 Aug 23,Invoiced,
LONDON YOUTH GAMES LIMITED," 7,000.00 ",General Fees & Services       ,Leisure Client Services       ,Environment & Climate Change,General Fund,25 Sep 23,Invoiced,
London Zoo, 165.00 ,Activities,Community Development,Homes & Neighbourhoods,HRA,13 Jul 23,Purchase Card,
LONDONNORTHWESTHEALTHCARE, 741.11 ,Health/Hospital Authorities   ,Extra Sexual Health Budget    ,Public Health,General Fund,4 Sep 23,Invoiced,
LONDONSCHOOLOFHYGIENCE&TROPICALMEDICINE," 1,000.00 ",General Fees & Services       ,Public health leadership      ,Public Health,General Fund,29 Jun 23,Invoiced,
LONGACRE TREE SURGERY LTD., 540.00 ,Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,11 Sep 23,Invoiced,
LONGACRE TREE SURGERY LTD., 750.00 ,Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,31 Jul 23,Invoiced,
LONGACRE TREE SURGERY LTD., 850.00 ,Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,11 Sep 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 1,000.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,31 Jul 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 1,080.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,11 Sep 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 1,500.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,11 Sep 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 1,754.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,11 Sep 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 2,000.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,15 Aug 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 2,000.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,11 Sep 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 2,123.79 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,11 Sep 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 2,270.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,31 Jul 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 2,660.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,31 Jul 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 2,720.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,20 Jul 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 2,750.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,20 Jul 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 3,170.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,31 Jul 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 3,240.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,11 Sep 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 3,400.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,31 Jul 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 3,681.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,15 Aug 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 4,427.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,20 Jul 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 4,440.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,11 Sep 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 5,084.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,11 Sep 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 5,191.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,15 Aug 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 5,319.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,20 Jul 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 6,827.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,20 Jul 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 7,900.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,31 Jul 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 8,421.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,31 Jul 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 10,016.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,31 Jul 23,Invoiced,
LONGACRE TREE SURGERY LTD.," 10,203.00 ",Private Sector Provision      ,Tree Service                  ,Environment & Climate Change,General Fund,11 Sep 23,Invoiced,
