Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,
Reporting Period:   2,,,,,,
Start Date:  30 April 2023,,,,,,
End Date:   27 May 2023,,,,,,
Financial Year:  2023/24,,,,,,
,,,,,,
Entity,Vendor Name,Expenditure Account ,Document Number,Clearing Date,Amount (£),Merchant Category
LONDON UNDERGROUND LTD,SOUTH WESTERN RAILWAY,National Rail Qualifying Expenditure Charges,1005\5110270131,12 May 2023,"598,578.00",
TRANSPORT TRADING LTD,LONDON BOROUGH OF SOUTHWARK,Rates,1004\1901694013,05 May 2023,"595,196.00",
LONDON BUS SERVICES LTD,STAGECOACH LONDON,Bus Contract Payments,1006\1900048939,26 May 2023,"578,614.07",
SURFACE TRANSPORT CORP,LONDON COUNCILS,Taxicard Funding,1002\1900075347,26 May 2023,"576,161.70",
LONDON UNDERGROUND LTD,SOUTH WESTERN RAILWAY,National Rail Qualifying Expenditure Charges,1005\5110270128,12 May 2023,"574,809.00",
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005\5110265790,16 May 2023,"572,990.90",
LONDON BUS SERVICES LTD,SULLIVAN BUS & COACH LIMITED,Bus Contract Payments,1006\1900048865,12 May 2023,"572,558.32",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110263740,17 May 2023,"558,957.33",
DOCKLANDS LIGHT RAILWAY,DATA TECH HOLDINGS LTD,Civil Engineering Construction Works,1012\5110258038,10 May 2023,"552,788.94",
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,Road Maintenance,1002\5110271892,15 May 2023,"548,348.58",
LONDON UNDERGROUND LTD,PANASONIC MARKETING EUROPE GMBH,Contracted Services Buildings,1005\5110260331,11 May 2023,"531,698.81",
LONDON UNDERGROUND LTD,THE 4OC LIMITED,Management & Support Consultancy,1005\5110268838,10 May 2023,"512,110.00",
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES,Track General Maintenance,1005\5110276854,24 May 2023,"510,787.30",
SURFACE TRANSPORT CORP,GTT-EMEA LIMITED,CCS Service Contract,1002\5110271410,15 May 2023,"495,568.80",
SURFACE TRANSPORT CORP,SIEMENS MOBILITY LIMITED,Connect PFI Service Costs,1002\5110273548,18 May 2023,"487,438.60",
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Professional Engineering Services,1012\5110278780,26 May 2023,"481,992.96",
LONDON UNDERGROUND LTD,EDF ENERGY,Electricity,1005\1900260673,26 May 2023,"478,373.74",
TFL CORPORATE,PROBRAND LTD,Computer Hardware,1001\5110260750,12 May 2023,"475,896.00",
LONDON UNDERGROUND LTD,EDF ENERGY,Electricity,1005\1900260674,25 May 2023,"474,172.40",
SURFACE TRANSPORT CORP,EURO PARKING COLLECTION PLC,CCS DVLA Costs,1002\5110205170,03 May 2023,"471,601.32",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110269863,24 May 2023,"459,626.97",
TTL PROPERTIES LTD,CONAMAR BUILDING SERVICES LTD,Building Maintenance & Repairs,1040\5110275070,24 May 2023,"455,400.38",
LONDON UNDERGROUND LTD,SCHWEERBAU GMBH & CO.KG,Track General Maintenance,1005\5110265188,24 May 2023,"446,925.29",
RAIL FOR LONDON LIMITED,VOLKERRAIL SPECIALIST BUSINESSES LTD,Track General Maintenance,1020\5110272081,24 May 2023,"444,628.90",
RAIL FOR LONDON LIMITED,ALSTOM ENGINEERING & SERVICES LTD,Vehicle Repairs & Maintenance,1020\5110276304,26 May 2023,"438,584.23",
LONDON UNDERGROUND LTD,BALFOUR BEATTY GROUP LTD,Traction Current,1005\5110271069,24 May 2023,"437,554.99",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BARKING & DAGENHAM,Borough Services - Claim Against Pr Yr Accrual,1002\1900074923,24 May 2023,"431,000.00",
RFL (IINFRASTRUCTURE) LTD,SIEMENS MOBILITY LIMITED,Building Maintenance & Repairs,1025\5110267144,24 May 2023,"421,869.00",
DOCKLANDS LIGHT RAILWAY,MACE MACRO LTD,Professional Engineering Services,1012\5110272756,24 May 2023,"420,388.93",
DOCKLANDS LIGHT RAILWAY,MACE MACRO LTD,Professional Engineering Services,1012\5110262090,17 May 2023,"420,388.93",
TRANSPORT TRADING LTD,MITIE FM LIMITED,Security Services (Guards),1004\5110255345,05 May 2023,"416,314.64",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110263757,17 May 2023,"405,346.49",
TFL CORPORATE,COMPUTACENTER PLC,Software Maintenance,1001\5110262075,17 May 2023,"404,259.53",
TRANSPORT TRADING LTD,NOVACROFT DIRECT LTD,Ticket & Pass Production,1004\1901694516,25 May 2023,"393,363.62",
SURFACE TRANSPORT CORP,VCCP GROUP LLP,Production Artwork And Design For Marketing,1002\5110262156,17 May 2023,"389,507.30",
TTL PROPERTIES LTD,EFFICIO LIMITED,Management & Support Consultancy,1040\5110264105,22 May 2023,"386,900.00",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110263811,17 May 2023,"380,961.68",
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Miscellaneous Costs,1005\5110270400,12 May 2023,"380,301.43",
LUL NOMINEE BCV LIMITED,SIEMENS MOBILITY LIMITED,Signalling Systems,1033\5110248549,03 May 2023,"376,580.68",
TRANSPORT TRADING LTD,ERNST & YOUNG LLP,Financial Statement Audit Fees,1004\5110261746,16 May 2023,"372,553.75",
TRANSPORT TRADING LTD,LONDON BOROUGH OF NEWHAM ,Rates,1004\1901693978,05 May 2023,"372,400.00",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110263766,17 May 2023,"371,137.24",
TRANSPORT TRADING LTD,GBM SERVICES LTD,Office Cleaning,1004\5110263264,23 May 2023,"369,500.99",
TFL CORPORATE,DELOITTE MCS LIMITED ,Management & Support Consultancy,1001\5110261968,17 May 2023,"368,975.00",
SURFACE TRANSPORT CORP,F M CONWAY LTD,Road Maintenance,1002\5110275575,24 May 2023,"366,768.29",
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES,Track General Maintenance,1005\5110264363,10 May 2023,"357,029.44",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Vehicle Repairs & Maintenance,1006\5110254999,11 May 2023,"352,878.96",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110263834,17 May 2023,"352,525.34",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF MERTON,Borough Services - Claim Against Pr Yr Accrual,1002\1900075033,24 May 2023,"352,300.00",
TRANSPORT TRADING LTD,THAMES CLIPPERS,Gross Sales Clearance,1004\800048020,05 May 2023,"349,898.54",
LONDON UNDERGROUND LTD,BALFOUR BEATTY GROUP LTD,Track General Maintenance,1005\5110265718,02 May 2023,"347,534.07",
TFL CORPORATE,INSIGHT DIRECT UK LIMITED,Computer Hardware,1001\5110250456,09 May 2023,"342,946.85",
LONDON UNDERGROUND LTD,1STINRAIL LIMITED,Track General Maintenance,1005\5110265691,02 May 2023,"341,212.90",
TFL CORPORATE,PROBRAND LTD,Computer Hardware,1001\5110256356,02 May 2023,"340,452.61",
TFL CORPORATE,BOXXE LTD,Computer Hardware,1001\5110272265,23 May 2023,"339,969.26",
DOCKLANDS LIGHT RAILWAY,PROGRESS RAIL SERVICES UK LTD,Civil Engineering Construction Works,1012\5110263880,17 May 2023,"339,861.50",
SURFACE TRANSPORT CORP,ROYAL BOROUGH OF KINGSTON UPON THAMES,Borough Services - Claim Against Pr Yr Accrual,1002\1900075034,24 May 2023,"334,841.04",
TFL CORPORATE,SPECIALIST COMPUTER CENTRES LTD,Computer Hardware,1001\5110268329,24 May 2023,"334,675.45",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,Management & Support Consultancy,1002\5110269755,24 May 2023,"332,100.23",
SURFACE TRANSPORT CORP,CSTS LTD,Traffic Signals,1002\5110272348,24 May 2023,"331,122.79",
TRANSPORT TRADING LTD,EDF ENERGY,Electricity,1004\1901694406,25 May 2023,"324,098.94",
TRANSPORT TRADING LTD,VINCI CONSTRUCTION UK LTD,Building Maintenance & Repairs,1004\5110265877,02 May 2023,"318,973.16",
SURFACE TRANSPORT CORP,SIEMENS MOBILITY LIMITED,Traffic Signals,1002\5110273552,18 May 2023,"313,209.02",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110264060,17 May 2023,"310,786.40",
LONDON UNDERGROUND LTD,HYDER CONSULTING (UK) LTD,Professional Engineering Services,1005\5110256830,03 May 2023,"306,430.61",
SURFACE TRANSPORT CORP,Alamacanter,Other Joint Funding Contributions,1002\1900074896,03 May 2023,"303,000.00",
SURFACE TRANSPORT CORP,GEOPLACE LLP,Section 159 Payments,1002\1900075192,12 May 2023,"295,000.00",
RAIL FOR LONDON LIMITED,NETWORK RAIL INFRASTRUCTURE,National Rail Contribution,1020\5110253637,15 May 2023,"294,785.34",
SURFACE TRANSPORT CORP,SOPRA STERIA LTD,Manage IT Services,1002\5110265361,23 May 2023,"291,766.70",
TFL CORPORATE,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1001\5110263858,17 May 2023,"290,187.09",
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES PLC,A13 PFI Service Costs,1002\5110272645,17 May 2023,"287,481.51",
PUBLIC CARRIAGE OFFICE,NSL LIMITED,Management & Support Consultancy,1003\5110259920,04 May 2023,"286,353.49",
TRANSPORT TRADING LTD,VINCI CONSTRUCTION UK LTD,Building Maintenance & Repairs,1004\5110258496,02 May 2023,"281,777.15",
LONDON UNDERGROUND LTD,KONE PLC,Escalators,1005\5110269915,17 May 2023,"280,980.88",
SURFACE TRANSPORT CORP,EDF ENERGY,Electricity,1002\5110263661,09 May 2023,"279,668.82",
LONDON UNDERGROUND LTD,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1005\5110265701,10 May 2023,"278,578.27",
LONDON UNDERGROUND LTD,SCHINDLER LTD,Lift Maintenance,1005\5110265797,09 May 2023,"273,620.59",
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD T/A TARMACKIER JV,Civil Engineering Construction Works,1002\5110276617,24 May 2023,"272,237.48",
LUL NOMINEE SSL LIMITED,CPC PROJECT SERVICES LLP,MR Construction Costs,1031\5110270805,18 May 2023,"269,759.04",
LONDON UNDERGROUND LTD,MULALLEY & CO LTD,Planning & Development Consultancy,1005\5110268363,16 May 2023,"267,675.30",
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LITD ,Bus Contract Payments,1006\1900048937,26 May 2023,"258,682.31",
TRANSPORT TRADING LTD,LONDON BOROUGH OF GREENWICH,Rates,1004\1901694089,05 May 2023,"256,424.00",
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES,Track General Maintenance,1005\5110272726,17 May 2023,"256,046.64",
RAIL FOR LONDON LIMITED,EDF ENERGY,Traction Current,1020\5110278075,26 May 2023,"254,920.98",
RAIL FOR LONDON LIMITED,EDF ENERGY,Traction Current,1020\5110277225,25 May 2023,"253,920.98",
TRANSPORT TRADING LTD,VINCI CONSTRUCTION UK LTD,Building Maintenance & Repairs,1004\5110270413,18 May 2023,"253,075.54",
LONDON UNDERGROUND LTD,WAVE UTILITIES,Water,1005\1900259266,05 May 2023,"250,391.98",
RFL (IINFRASTRUCTURE) LTD,RAIL SAFETY & STANDARDS BOARD,Corporate Subscriptions,1025\5110259774,10 May 2023,"250,000.00",
DOCKLANDS LIGHT RAILWAY,UK POWER NETWORKS LTD,Civil Engineering Construction Works,1012\5110260724,12 May 2023,"250,000.00",
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,Computer Software,1005\5110265703,16 May 2023,"249,614.05",
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES PLC,A13 PFI Service Costs,1002\5110272639,17 May 2023,"247,000.00",
LONDON UNDERGROUND LTD,EDF ENERGY,Electricity,1005\1900260672,25 May 2023,"246,301.52",
SURFACE TRANSPORT CORP,TELENT TECHNOLOGY SERVICES LTD,Traffic Signals,1002\5110263393,17 May 2023,"245,872.84",
LONDON UNDERGROUND LTD,MULALLEY & CO LTD,Planning & Development Consultancy,1005\5110272525,25 May 2023,"244,046.05",
TFL CORPORATE,PROBRAND LTD,Computer Hardware,1001\5110267150,24 May 2023,"240,456.43",
SURFACE TRANSPORT CORP,CITY OF LONDON POLICE ,MPS Employment Costs SM,1002\5110252219,11 May 2023,"240,000.00",
LONDON UNDERGROUND LTD,MCGINLEY SUPPORT SERVICES LTD,Track General Maintenance,1005\5110278006,26 May 2023,"237,877.59",
TFL CORPORATE,DELOITTE MCS LIMITED ,Management & Support Consultancy,1001\5110261975,17 May 2023,"237,275.00",
TFL CORPORATE,DELOITTE MCS LIMITED ,Management & Support Consultancy,1001\5110261970,17 May 2023,"236,900.00",
RFL (IINFRASTRUCTURE) LTD,GB RAILFREIGHT LTD,Equipment Repairs & Maintenance,1025\5110259789,10 May 2023,"232,401.67",
LONDON UNDERGROUND LTD,EDF ENERGY,Electricity,1005\1900259789,12 May 2023,"232,268.86",
TTL PROPERTIES LTD,DELOITTE MCS LIMITED ,Management & Support Consultancy,1040\5110261963,17 May 2023,"231,400.00",
TFL CORPORATE,STRATEGIC RAIL CONSULTANTS LTD,Management & Support Consultancy,1001\5110274952,22 May 2023,"231,121.35",
