Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,,
Reporting Period:  7,,,,,,,,,,
Start Date:  17 September 2023,,,,,,,,,,
End Date: 14 October 2023,,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,,
,,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900049436,29 Sep 2023,"£4,630,370",,,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900049489,13 Oct 2023,"£4,532,473",,,,,
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006/1900049450,29 Sep 2023,"£4,430,114",,,,,
LONDON UNDERGROUND LTD,GREAT WESTERN DEVELOPMENTS LIMITED,Civil Engineering Construction Works,1005/5110322743,21 Sep 2023,"£4,250,000",,,,,
LONDON BUS SERVICES LTD,Blue Triangle Buses Ltd,Bus Contract Payments,1006/1900049439,29 Sep 2023,"£4,233,762",,,,,
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006/1900049496,13 Oct 2023,"£4,197,665",,,,,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005/5110324785,20 Sep 2023,"£4,147,514",,,,,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005/5110334087,27 Sep 2023,"£4,147,514",,,,,
LONDON UNDERGROUND LTD,Dept for LevellingUp Housing&Commun,Property Letting Costs,1005/5110271945,18 Sep 2023,"£4,096,000",,,,,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004/5110331457,27 Sep 2023,"£4,089,537",,,,,
LONDON BUS SERVICES LTD,East London Bus & Coach Company Ltd,Bus Contract Payments,1006/1900049493,13 Oct 2023,"£3,730,585",,,,,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD ,Bus Contract Payments,1006/1900049495,13 Oct 2023,"£3,658,212",,,,,
LUL NOMINEE SSL LIMITED,Ground Transportation Systems UKLtd,Signalling Systems,1031/5110338256,11 Oct 2023,"£3,633,137",,,,,
LONDON BUS SERVICES LTD,London United Busways Limited,Bus Contract Payments,1006/1900049499,13 Oct 2023,"£3,505,548",,,,,
RFL (IINFRASTRUCTURE) LTD,Crossrail Ltd,Signalling Systems,1025/5110325059,27 Sep 2023,"£3,043,213",,,,,
SURFACE TRANSPORT CORP,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1002/5110330725,10 Oct 2023,"£3,010,192",,,,,
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110326515,18 Sep 2023,"£2,970,271",,,,,
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD ,Bus Contract Payments,1006/1900049445,29 Sep 2023,"£2,887,683",,,,,
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Radio Systems Equipment & Maintenance,1005/5110324864,20 Sep 2023,"£2,877,710",,,,,
SURFACE TRANSPORT CORP,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1002/5110331576,10 Oct 2023,"£2,789,808",,,,,
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110333132,27 Sep 2023,"£2,758,015",,,,,
SURFACE TRANSPORT CORP,Siemens Traffic Controls,Contracted Services - Roads,1002/5110311673,21 Sep 2023,"£2,652,192",,,,,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,TLL Lease Costs,1005/5110329498,27 Sep 2023,"£2,491,207",,,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006/1900049490,13 Oct 2023,"£2,367,449",,,,,
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110325547,27 Sep 2023,"£2,250,000",,,,,
LONDON BUS SERVICES LTD,Stagecoach London,Bus Contract Payments,1006/1900049442,29 Sep 2023,"£2,239,878",,,,,
DOCKLANDS LIGHT RAILWAY,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1012/5110332805,04 Oct 2023,"£2,234,656",,,,,
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900049487,13 Oct 2023,"£2,177,944",,,,,
LONDON BUS SERVICES LTD,London Transit Limited,Bus Contract Payments,1006/1900049446,29 Sep 2023,"£2,156,291",,,,,
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006/1900049503,13 Oct 2023,"£2,123,571",,,,,
LONDON UNDERGROUND LTD,HEATHROW AIRPORT LTD ,Cubic Oyster Contract Costs,1005/5110332388,29 Sep 2023,"£2,101,453",,,,,
LUL NOMINEE SSL LIMITED,Ground Transportation Systems UKLtd,Signalling Systems,1031/5110338304,13 Oct 2023,"£2,019,097",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110322397,20 Sep 2023,"£1,954,050",,,,,
DOCKLANDS LIGHT RAILWAY,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1012/5110325063,20 Sep 2023,"£1,869,842",,,,,
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004/800048854,21 Sep 2023,"£1,800,657",,,,,
RAIL FOR LONDON LIMITED,Tram Operations Limited,Franchise/Concession Fixed Fee,1020/5110325345,22 Sep 2023,"£1,719,668",,,,,
SURFACE TRANSPORT CORP,Kier Highways Ltd t/a TarmacKier JV,Road Maintenance,1002/5110340599,11 Oct 2023,"£1,607,377",,,,,
SURFACE TRANSPORT CORP,Kier Highways Ltd t/a TarmacKier JV,Road Maintenance,1002/5110342515,11 Oct 2023,"£1,583,728",,,,,
LONDON BUS SERVICES LTD,Volker Fitzpatrick Ltd,Infrastructure Maintenance and Repair,1006/5110342469,11 Oct 2023,"£1,579,372",,,,,
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110340628,11 Oct 2023,"£1,554,740",,,,,
LUL NOMINEE SSL LIMITED,IG Watteeuw CR s.r.o.,Exchange Loss Realised,1031/2000111293,13 Oct 2023,"£1,475,532",,,,,
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110326545,18 Sep 2023,"£1,449,099",,,,,
LONDON BUS SERVICES LTD,Metrobus Limited,Bus Contract Payments,1006/1900049500,13 Oct 2023,"£1,443,322",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110323641,26 Sep 2023,"£1,437,850",,,,,
SURFACE TRANSPORT CORP,Siemens Traffic Controls,Contracted Services - Roads,1002/5110331364,28 Sep 2023,"£1,429,469",,,,,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900049488,13 Oct 2023,"£1,420,878",,,,,
LONDON UNDERGROUND LTD,Cleshar Contract Services Limited,Fences & Vegetation,1005/5110341123,09 Oct 2023,"£1,388,018",,,,,
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005/5110327573,20 Sep 2023,"£1,374,466",,,,,
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006/1900049502,13 Oct 2023,"£1,366,425",,,,,
TFL CORPORATE,Insight Direct UK Limited,Computer Hardware,1001/5110321368,28 Sep 2023,"£1,353,532",,,,,
DOCKLANDS LIGHT RAILWAY,EDF Energy,1st Outgoing BACS,1012/2000117072,22 Sep 2023,"£1,346,041",,,,,
LUL NOMINEE BCV LIMITED,EKE-Electronics Ltd.,Maintenance Materials,1033/5110335432,05 Oct 2023,"£1,327,816",,,,,
LONDON UNDERGROUND LTD,Panasonic Marketing Europe GmbH,Contracted Services Buildings,1005/5110322076,02 Oct 2023,"£1,286,976",,,,,
LONDON BUS SERVICES LTD,Blue Triangle Buses Ltd,Bus Contract Payments,1006/1900049491,13 Oct 2023,"£1,263,578",,,,,
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110334351,26 Sep 2023,"£1,234,675",,,,,
SURFACE TRANSPORT CORP,Ringway Infrastructure Services Ltd,Road Maintenance,1002/5110342562,11 Oct 2023,"£1,216,066",,,,,
LONDON UNDERGROUND LTD,Lanes Group plc,Building Maintenance & Repairs,1005/5110322282,26 Sep 2023,"£1,198,781",,,,,
SURFACE TRANSPORT CORP,Ringway Infrastructure Services Ltd,Road Maintenance,1002/5110342033,11 Oct 2023,"£1,185,843",,,,,
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110333909,26 Sep 2023,"£1,168,521",,,,,
LONDON UNDERGROUND LTD,Telent Technology Services Ltd,Computer Software,1005/5110321185,20 Sep 2023,"£1,135,711",,,,,
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/1900268826,27 Sep 2023,"£1,135,276",,,,,
SURFACE TRANSPORT CORP,EUROVIA INFRASTRUCTURE LIMITED,Road Maintenance,1002/5110342478,11 Oct 2023,"£1,124,567",,,,,
TFL CORPORATE,ARCADIS GEN UK LIMITED,Software Maintenance,1001/5110329214,19 Sep 2023,"£1,102,554",,,,,
LONDON UNDERGROUND LTD,Balfour Beatty Group Ltd,MR Construction Costs,1005/5110338433,04 Oct 2023,"£1,091,704",,,,,
TFL CORPORATE,AXA PPP HEALTHCARE,Management & Support Consultancy,1001/5110335461,29 Sep 2023,"£1,044,433",,,,,
SURFACE TRANSPORT CORP,ENTERPRISEMOUCHEL LTD ,Road Maintenance,1002/5110339653,11 Oct 2023,"£1,035,600",,,,,
DOCKLANDS LIGHT RAILWAY,EDF Energy,Electricity,1012/5110325518,22 Sep 2023,"£977,351",,,,,
LONDON UNDERGROUND LTD,Dragados S.A.,Civil Engineering Construction Works,1005/5110335262,11 Oct 2023,"£975,196",,,,,
SURFACE TRANSPORT CORP,F M Conway Ltd,Civil Engineering Construction Works,1002/5110342482,11 Oct 2023,"£973,566",,,,,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005/5110324814,20 Sep 2023,"£972,678",,,,,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,TLL Lease Costs,1005/5110334090,27 Sep 2023,"£972,678",,,,,
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110328034,20 Sep 2023,"£970,501",,,,,
SURFACE TRANSPORT CORP,MORGAN SINDALL  PLC,Contracted Services - Roads,1002/5110339646,11 Oct 2023,"£943,495",,,,,
DOCKLANDS LIGHT RAILWAY,Pittville Leasing Ltd,Vehicle Operating Leases,1012/5110338546,03 Oct 2023,"£938,280",,,,,
LONDON UNDERGROUND LTD,Telent Technology Services Ltd,Maintenance of Telecommunications Equipment,1005/5110332839,25 Sep 2023,"£934,434",,,,,
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD ,Bus Contract Payments,1006/1900049497,13 Oct 2023,"£934,393",,,,,
RAIL FOR LONDON LIMITED,Cleshar Contract Services Limited,Fleet,1020/5110332838,06 Oct 2023,"£891,195",,,,,
CYCLE HIRE SCHEME,Serco Ltd,Franchise/Concession Fixed Fee,1016/5110324632,27 Sep 2023,"£866,777",,,,,
SURFACE TRANSPORT CORP,Siemens Traffic Controls,Contracted Services - Roads,1002/5110334030,26 Sep 2023,"£865,109",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110327112,20 Sep 2023,"£840,400",,,,,
LONDON UNDERGROUND LTD,MITIE FM LIMITED,Security Services (Guards),1005/5110330913,05 Oct 2023,"£824,972",,,,,
LONDON UNDERGROUND LTD,MITIE FM LIMITED,Security Services (Guards),1005/5110327129,18 Sep 2023,"£803,148",,,,,
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1001/5110330251,10 Oct 2023,"£790,119",,,,,
LONDON BUS SERVICES LTD,Trapeze ITS Switzerland GmbH,Manage IT Services,1006/5110333914,29 Sep 2023,"£784,185",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110325137,20 Sep 2023,"£735,414",,,,,
SURFACE TRANSPORT CORP,Metropolitan Police Authority,MPS Employment Costs SM,1002/5110333073,11 Oct 2023,"£734,242",,,,,
LONDON BUS SERVICES LTD,London Transit Limited,Bus Contract Payments,1006/1900049498,13 Oct 2023,"£722,894",,,,,
SURFACE TRANSPORT CORP,Metropolitan Police Authority,MPS Employment Costs SM,1002/5110333253,11 Oct 2023,"£721,220",,,,,
TTL PROPERTIES LTD,Herbert Smith LLP,Property development costs,1040/5110329390,20 Sep 2023,"£708,188",,,,,
SURFACE TRANSPORT CORP,MORGAN SINDALL  PLC,Road Maintenance,1002/5110339645,11 Oct 2023,"£706,166",,,,,
SURFACE TRANSPORT CORP,Kier Highways Ltd t/a TarmacKier JV,Road Maintenance,1002/5110342490,11 Oct 2023,"£696,169",,,,,
LUL NOMINEE BCV LIMITED,Siemens Mobility Limited,Signalling Systems,1033/5110340507,06 Oct 2023,"£686,851",,,,,
RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1020/5110338114,04 Oct 2023,"£684,079",,,,,
TRANSPORT TRADING LTD,Perfect Circle JV Ltd,Professional Engineering Services,1004/5110328272,28 Sep 2023,"£674,928",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110325051,20 Sep 2023,"£646,813",,,,,
LONDON UNDERGROUND LTD,1stinrail LTD,Track General Maintenance,1005/5110336104,29 Sep 2023,"£645,200",,,,,
SURFACE TRANSPORT CORP,LONDON COUNCILS,Taxicard Funding,1002/1900076999,03 Oct 2023,"£625,898",,,,,
CYCLE HIRE SCHEME,Serco Ltd,Franchise/Concession Fixed Fee,1016/5110295322,27 Sep 2023,"£622,088",,,,,
CYCLE HIRE SCHEME,Serco Ltd,Franchise/Concession Fixed Fee,1016/5110320149,18 Sep 2023,"£622,088",,,,,
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Signalling Systems,1005/5110339688,13 Oct 2023,"£617,644",,,,,
LONDON BUS SERVICES LTD,Stagecoach London,Bus Contract Payments,1006/1900049494,13 Oct 2023,"£616,790",,,,,
SURFACE TRANSPORT CORP,Metropolitan Police Authority,MPS Employment Costs SM,1002/5110333213,11 Oct 2023,"£613,651",,,,,
SURFACE TRANSPORT CORP,EDF Energy,Electricity,1002/5110325535,22 Sep 2023,"£600,095",,,,,
TRANSPORT TRADING LTD,LONDON BOROUGH OF SOUTHWARK,Rates,1004/1901697745,05 Oct 2023,"£595,189",,,,,
RFL (IINFRASTRUCTURE) LTD,Mott MacDonald Limited,Professional Engineering Services,1025/5110321363,20 Sep 2023,"£584,132",,,,,
RFL (IINFRASTRUCTURE) LTD,Siemens Mobility Limited,Signalling Systems,1025/5110320112,19 Sep 2023,"£583,433",,,,,
DOCKLANDS LIGHT RAILWAY,Cleshar Contract Services Limited,Maintenance Materials,1012/5110327504,27 Sep 2023,"£577,898",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110325138,20 Sep 2023,"£574,002",,,,,
LONDON UNDERGROUND LTD,Delatim Limited,MR Construction Costs,1005/5110333781,26 Sep 2023,"£562,116",,,,,
LONDON UNDERGROUND LTD,Total Gas & Power Ltd,Gas,1005/1900268828,27 Sep 2023,"£550,052",,,,,
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110326521,18 Sep 2023,"£547,957",,,,,
SURFACE TRANSPORT CORP,Siemens Traffic Controls,Cameras,1002/5110324818,28 Sep 2023,"£547,275",,,,,
LONDON BUS SERVICES LTD,SULLIVAN BUS & COACH LIMITED,Bus Contract Payments,1006/1900049452,29 Sep 2023,"£539,206",,,,,
LONDON UNDERGROUND LTD,Cleshar Contract Services Limited,Track General Maintenance,1005/5110330808,20 Sep 2023,"£521,120",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110322384,20 Sep 2023,"£519,473",,,,,
LONDON UNDERGROUND LTD,Telent Technology Services Ltd,Maintenance of Telecommunications Equipment,1005/5110325599,20 Sep 2023,"£514,631",,,,,
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110342789,11 Oct 2023,"£506,216",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110325047,20 Sep 2023,"£489,817",,,,,
DOCKLANDS LIGHT RAILWAY,Ground Transportation Systems Canad,Computer Hardware,1012/5110328689,29 Sep 2023,"£484,360",,,,,
DOCKLANDS LIGHT RAILWAY,Ground Transportation Systems Canad,Computer Hardware,1012/5110328691,29 Sep 2023,"£484,360",,,,,
LONDON UNDERGROUND LTD,Delatim Limited,MR Construction Costs,1005/5110343661,13 Oct 2023,"£478,307",,,,,
SURFACE TRANSPORT CORP,EDF Energy,Electricity,1002/5110325508,25 Sep 2023,"£467,954",,,,,
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005/5110337039,02 Oct 2023,"£465,597",,,,,
TRANSPORT TRADING LTD,MITIE FM LIMITED,Security Services (Guards),1004/5110327130,27 Sep 2023,"£457,134",,,,,
SURFACE TRANSPORT CORP,Siemens Traffic Controls,Connect PFI Service Costs,1002/5110327695,26 Sep 2023,"£455,584",,,,,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Professional Engineering Services,1012/5110338992,04 Oct 2023,"£451,046",,,,,
LUL NOMINEE BCV LIMITED,Alstom Engineering & Services LTD,Exchange Loss Realised,1033/101685075,28 Sep 2023,"£449,704",,,,,
RFL (IINFRASTRUCTURE) LTD,EDF Energy,Electricity,1025/1900001767,28 Sep 2023,"£448,857",,,,,
LONDON UNDERGROUND LTD,KONE PLC,Escalators,1005/5110339649,05 Oct 2023,"£439,069",,,,,
LONDON UNDERGROUND LTD,KONE PLC,Escalators,1005/5110342557,11 Oct 2023,"£439,069",,,,,
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110333905,26 Sep 2023,"£438,584",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110325053,20 Sep 2023,"£432,931",,,,,
DOCKLANDS LIGHT RAILWAY,Mace Macro Ltd,Franchise/Concession Fixed Fee,1012/5110322259,20 Sep 2023,"£430,298",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110322382,20 Sep 2023,"£421,927",,,,,
TFL CORPORATE,Computacenter Plc,Manage IT Services,1001/5110321684,20 Sep 2023,"£417,121",,,,,
TTL PROPERTIES LTD,HA MARKS LTD,Building Maintenance & Repairs,1040/5110336090,09 Oct 2023,"£416,815",,,,,
TRANSPORT TRADING LTD,Perfect Circle JV Ltd,Professional Engineering Services,1004/5110335300,13 Oct 2023,"£413,786",,,,,
TFL CORPORATE,COMPUTACENTER PLC,Manage IT Services,1001/5110330640,11 Oct 2023,"£407,909",,,,,
TRANSPORT TRADING LTD,Novacroft Direct Ltd,Cubic Oyster Contract Costs,1004/5110333906,12 Oct 2023,"£406,647",,,,,
LONDON UNDERGROUND LTD,Cleshar Contract Services Limited,Operational Cleaning,1005/5110330804,27 Sep 2023,"£402,201",,,,,
TRANSPORT TRADING LTD,GBM Services Limited,Office Cleaning,1004/5110326514,18 Sep 2023,"£398,833",,,,,
SURFACE TRANSPORT CORP,Siemens Traffic Controls,Cameras,1002/5110324817,28 Sep 2023,"£398,129",,,,,
TFL CORPORATE,BOXXE Ltd,Computer Hardware,1001/5110332097,29 Sep 2023,"£396,871",,,,,
TTL PROPERTIES LTD,HA MARKS LTD,Building Maintenance & Repairs,1040/5110330627,20 Sep 2023,"£390,582",,,,,
LONDON BUS SERVICES LTD,Via Technologies Europe B.V.,Computer Software,1006/5110330248,19 Sep 2023,"£385,000",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110325055,20 Sep 2023,"£381,347",,,,,
LONDON UNDERGROUND LTD,Delatim Limited,MR Construction Costs,1005/5110343662,13 Oct 2023,"£378,268",,,,,
TRANSPORT TRADING LTD,LONDON BOROUGH OF NEWHAM,Rates,1004/1901697714,05 Oct 2023,"£372,400",,,,,
LONDON UNDERGROUND LTD,Taylor Woodrow Cons BAM Nuttal Ltd,Civil Engineering Construction Works,1005/5110324052,27 Sep 2023,"£371,936",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110325050,20 Sep 2023,"£368,144",,,,,
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LITD ,Bus Contract Payments,1006/1900049440,29 Sep 2023,"£365,517",,,,,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Professional Engineering Services,1012/5110335727,09 Oct 2023,"£364,839",,,,,
TRANSPORT TRADING LTD,EDF Energy,Electricity,1004/1901697446,22 Sep 2023,"£364,518",,,,,
LONDON UNDERGROUND LTD,UK Power Networks Services (Co) Ltd,Electrical Equipment Maintenance,1005/5110333161,04 Oct 2023,"£361,525",,,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Materials - Contractor,1005/5110336108,29 Sep 2023,"£351,503",,,,,
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004/800048853,21 Sep 2023,"£343,928",,,,,
LONDON UNDERGROUND LTD,OTIS LIMITED,Escalators,1005/5110343786,13 Oct 2023,"£343,288",,,,,
RFL (IINFRASTRUCTURE) LTD,Mott MacDonald Limited,Professional Engineering Services,1025/5110332225,11 Oct 2023,"£342,670",,,,,
LONDON UNDERGROUND LTD,OTIS LIMITED,Escalators,1005/5110343385,12 Oct 2023,"£341,338",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110325045,20 Sep 2023,"£336,910",,,,,
LONDON UNDERGROUND LTD,TRACKWORK RESOURCES LTD,Track General Maintenance,1005/5110331367,21 Sep 2023,"£335,579",,,,,
DOCKLANDS LIGHT RAILWAY,Aecom Infrastructure & Envir UK Ltd,Professional Engineering Services,1012/5110321714,19 Sep 2023,"£324,998",,,,,
LUL NOMINEE BCV LIMITED,Siemens Mobility Limited,Signalling Systems,1033/5110320648,20 Sep 2023,"£319,051",,,,,
SURFACE TRANSPORT CORP,Siemens Mobility Limited,PCN and Penalty Fare Processing,1002/5110334541,29 Sep 2023,"£317,004",,,,,
SURFACE TRANSPORT CORP,Siemens Mobility Limited,Manage IT Services,1002/5110338067,02 Oct 2023,"£317,004",,,,,
DOCKLANDS LIGHT RAILWAY,Octavius Infrastructure Ltd,Professional Engineering Services,1012/5110336512,29 Sep 2023,"£316,502",,,,,
TRANSPORT TRADING LTD,VINCI Construction UK Limited,Building Maintenance & Repairs,1004/5110331374,21 Sep 2023,"£313,275",,,,,
LONDON UNDERGROUND LTD,Schweerbau Gmbh & Co.KG *paid bacs*,Maintenance Materials,1005/5110329369,04 Oct 2023,"£312,062",,,,,
LONDON BUS SERVICES LTD,GBM Services Limited,Office Cleaning,1006/5110326406,18 Sep 2023,"£309,660",,,,,
DOCKLANDS LIGHT RAILWAY,Cleshar Contract Services Limited,Maintenance Materials,1012/5110327506,27 Sep 2023,"£308,857",,,,,
LONDON UNDERGROUND LTD,TRACKWORK RESOURCES LTD,Track General Maintenance,1005/5110336117,29 Sep 2023,"£307,600",,,,,
