Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,
Reporting Period:  6,,,,,,
Start Date:  20 August 2023,,,,,,
End Date: 16 September 2023,,,,,,
Financial Year:  2023/24,,,,,,
,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category
TFL CORPORATE,Marsh Services Ltd,General Insurance,1001/5110316651,11 Sep 2023,"8,109,574.88",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006/1900049354,01 Sep 2023,"7,499,613.15",
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900049351,01 Sep 2023,"7,091,311.99",
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006/1900049367,01 Sep 2023,"6,770,449.50",
TFL CORPORATE,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1001/5110315177,06 Sep 2023,"5,654,342.95",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004/5110326329,08 Sep 2023,"5,337,271.27",
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006/1900049399,15 Sep 2023,"5,004,111.25",
TRANSPORT TRADING LTD,Rail Settlement Plan,Rail Settlement Plan - PAYG Creditor,1004/1901696936,01 Sep 2023,"4,851,965.93",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900049387,15 Sep 2023,"4,637,336.67",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900049352,01 Sep 2023,"4,560,298.77",
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006/1900049394,15 Sep 2023,"4,240,657.35",
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006/1900049366,01 Sep 2023,"4,209,566.54",
LONDON BUS SERVICES LTD,Metrobus Limited,Bus Contract Payments,1006/1900049364,01 Sep 2023,"4,173,875.10",
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005/5110310039,23 Aug 2023,"4,147,514.44",
LONDON BUS SERVICES LTD,Blue Triangle Buses Ltd,Bus Contract Payments,1006/1900049355,01 Sep 2023,"4,016,483.13",
LONDON UNDERGROUND LTD,Balfour Beatty Group Ltd,Track General Maintenance,1005/5110328042,14 Sep 2023,"3,875,306.48",
LONDON BUS SERVICES LTD,East London Bus & Coach Company Ltd,Bus Contract Payments,1006/1900049391,15 Sep 2023,"3,798,611.36",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD ,Bus Contract Payments,1006/1900049393,15 Sep 2023,"3,665,621.37",
SURFACE TRANSPORT CORP,Ealing Council,Borough Services - Claim Against Pr Yr Accrual,1002/1900075540,29 Aug 2023,"3,571,000.00",
LONDON BUS SERVICES LTD,London United Busways Limited,Bus Contract Payments,1006/1900049397,15 Sep 2023,"3,493,513.41",
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Computer Hardware,1005/5110308316,22 Aug 2023,"3,359,703.00",
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110315210,21 Aug 2023,"2,986,181.27",
SURFACE TRANSPORT CORP,Kier Highways Ltd t/a TarmacKier JV,Road Maintenance,1002/5110328051,13 Sep 2023,"2,955,364.56",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF CROYDON,Borough Services - Claim Against Pr Yr Accrual,1002/1900076320,06 Sep 2023,"2,948,458.46",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD ,Bus Contract Payments,1006/1900049361,01 Sep 2023,"2,816,752.79",
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110322174,30 Aug 2023,"2,758,014.82",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004/5110326332,08 Sep 2023,"2,552,526.94",
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,TLL Lease Costs,1005/5110318532,23 Aug 2023,"2,491,206.55",
LONDON BUS SERVICES LTD,Stagecoach London,Bus Contract Payments,1006/1900049358,01 Sep 2023,"2,479,437.74",
SURFACE TRANSPORT CORP,Road Management Services A13 Plc,Road Maintenance,1002/5110328063,15 Sep 2023,"2,406,020.57",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006/1900049388,15 Sep 2023,"2,378,703.14",
LONDON BUS SERVICES LTD,London Transit Limited,Bus Contract Payments,1006/1900049362,01 Sep 2023,"2,267,813.15",
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900049385,15 Sep 2023,"2,177,568.21",
LUL NOMINEE SSL LIMITED,Ground Transportation Systems UKLtd,Signalling Systems,1031/5110325767,13 Sep 2023,"2,173,556.78",
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006/1900049401,15 Sep 2023,"2,151,115.33",
SURFACE TRANSPORT CORP,TTC 2000 Limited,CCS Service Contract,1002/5110324349,05 Sep 2023,"2,010,320.68",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900049346,01 Sep 2023,"1,997,738.99",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110309519,23 Aug 2023,"1,949,812.15",
RFL (IINFRASTRUCTURE) LTD,Crossrail Ltd,Signalling Systems,1025/5110318231,12 Sep 2023,"1,913,011.00",
TFL CORPORATE,Marsh Services Ltd,General Insurance,1001/5110329210,15 Sep 2023,"1,890,000.00",
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006/1900049348,01 Sep 2023,"1,858,119.75",
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110327027,12 Sep 2023,"1,843,631.82",
SURFACE TRANSPORT CORP,Road Management Services A13 Plc,Road Maintenance,1002/5110328060,15 Sep 2023,"1,730,000.00",
RAIL FOR LONDON LIMITED,Tram Operations Limited,Franchise/Concession Fixed Fee,1020/5110314852,30 Aug 2023,"1,719,668.08",
SURFACE TRANSPORT CORP,MORGAN SINDALL  PLC,Contracted Services - Roads,1002/5110326242,13 Sep 2023,"1,713,964.38",
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004/800048709,24 Aug 2023,"1,678,239.70",
SURFACE TRANSPORT CORP,Kier Highways Ltd t/a TarmacKier JV,Road Maintenance,1002/5110327463,13 Sep 2023,"1,589,190.36",
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110315216,21 Aug 2023,"1,526,247.62",
SURFACE TRANSPORT CORP,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1002/5110323652,13 Sep 2023,"1,505,096.00",
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005/5110320666,13 Sep 2023,"1,505,096.00",
SURFACE TRANSPORT CORP,London Borough of Greenwich,Borough Services - Claim Against Pr Yr Accrual,1002/1900075830,21 Aug 2023,"1,494,000.00",
TFL CORPORATE,Oracle Corporation UK Ltd,Computer Hardware,1001/5110310427,23 Aug 2023,"1,475,885.95",
SURFACE TRANSPORT CORP,London Borough of Barnet,Borough Services - Claim Against Pr Yr Accrual,1002/1900076295,30 Aug 2023,"1,428,623.90",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900049386,15 Sep 2023,"1,421,634.07",
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005/5110317270,24 Aug 2023,"1,404,604.94",
SURFACE TRANSPORT CORP,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1002/5110323648,13 Sep 2023,"1,394,904.00",
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005/5110320618,13 Sep 2023,"1,394,904.00",
LONDON BUS SERVICES LTD,Metrobus Limited,Bus Contract Payments,1006/1900049398,15 Sep 2023,"1,383,874.36",
DOCKLANDS LIGHT RAILWAY,RTI LTD,Civil Engineering Construction Works,1012/5110325061,07 Sep 2023,"1,368,820.39",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BRENT,Borough Services - Claim Against Pr Yr Accrual,1002/1900075103,13 Sep 2023,"1,349,574.00",
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006/1900049400,15 Sep 2023,"1,329,921.37",
SURFACE TRANSPORT CORP,London Borough of Enfield,Borough Services - Claim Against Pr Yr Accrual,1002/1900075883,30 Aug 2023,"1,320,000.00",
LONDON UNDERGROUND LTD,Equans Services Limited,Building Maintenance & Repairs,1005/5110325562,14 Sep 2023,"1,300,809.90",
SURFACE TRANSPORT CORP,London Borough of Lambeth,Borough Services - Claim Against Pr Yr Accrual,1002/1900076241,06 Sep 2023,"1,289,000.00",
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/1900267149,30 Aug 2023,"1,286,483.60",
LONDON BUS SERVICES LTD,Blue Triangle Buses Ltd,Bus Contract Payments,1006/1900049389,15 Sep 2023,"1,271,526.19",
SURFACE TRANSPORT CORP,London Borough of Camden,Borough Services - Claim Against Pr Yr Accrual,1002/1900076090,05 Sep 2023,"1,225,000.00",
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110319953,25 Aug 2023,"1,211,268.45",
SURFACE TRANSPORT CORP,London Borough of Hillingdon,Borough Services - Claim Against Pr Yr Accrual,1002/1900075831,22 Aug 2023,"1,183,690.06",
SURFACE TRANSPORT CORP,London Borough of Hounslow,Borough Services - Claim Against Pr Yr Accrual,1002/1900075704,30 Aug 2023,"1,157,000.00",
LONDON UNDERGROUND LTD,HEGENSCHEIDT-MFD GMBH,Equipment Repairs & Maintenance,1005/5110325146,07 Sep 2023,"1,136,816.26",
SURFACE TRANSPORT CORP,London Borough of Wandsworth - BSP,Borough Services - Claim Against Pr Yr Accrual,1002/1900076232,12 Sep 2023,"1,136,000.00",
LONDON UNDERGROUND LTD,Telent Technology Services Ltd,Computer Software,1005/5110307938,23 Aug 2023,"1,135,711.07",
RAIL FOR LONDON LIMITED,Cleshar Contract Services Limited,Fleet,1020/5110322841,05 Sep 2023,"1,133,856.58",
LONDON UNDERGROUND LTD,Equans Services Limited,Building Maintenance & Repairs,1005/5110317104,05 Sep 2023,"1,128,991.92",
SURFACE TRANSPORT CORP,London Borough Southwark - BSP,Borough Services - Claim Against Pr Yr Accrual,1002/1900076462,06 Sep 2023,"1,113,687.00",
SURFACE TRANSPORT CORP,London Borough of Haringey,Borough Services - Claim Against Pr Yr Accrual,1002/1900076201,29 Aug 2023,"1,046,996.00",
SURFACE TRANSPORT CORP,Ringway Infrastructure Services Ltd,Road Maintenance,1002/5110328057,13 Sep 2023,"1,045,623.31",
LONDON UNDERGROUND LTD,Telent Technology Services Ltd,Cameras,1005/5110316703,25 Aug 2023,"1,011,238.45",
LONDON UNDERGROUND LTD,Balfour Beatty Group Ltd,MR Construction Costs,1005/5110322749,06 Sep 2023,"1,006,244.27",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF NEWHAM ,Borough Services - Claim Against Pr Yr Accrual,1002/1900076204,05 Sep 2023,"1,004,678.19",
RAIL FOR LONDON LIMITED,Cleshar Contract Services Limited,Fleet,1020/5110312152,29 Aug 2023,"998,967.85",
SURFACE TRANSPORT CORP,ENTERPRISEMOUCHEL LTD ,Road Maintenance,1002/5110327499,13 Sep 2023,"998,090.55",
SURFACE TRANSPORT CORP,Ringway Infrastructure Services Ltd,Road Maintenance,1002/5110327471,13 Sep 2023,"994,097.20",
DOCKLANDS LIGHT RAILWAY,EDF Energy,Electricity,1012/5110317026,23 Aug 2023,"975,525.99",
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,TLL Lease Costs,1005/5110318534,23 Aug 2023,"972,677.77",
LONDON UNDERGROUND LTD,Panasonic Marketing Europe GmbH,Contracted Services Buildings,1005/5110304637,25 Aug 2023,"950,000.00",
LONDON UNDERGROUND LTD,Equans Services Limited,Building Maintenance & Repairs,1005/5110325567,14 Sep 2023,"942,371.23",
SURFACE TRANSPORT CORP,Siemens Traffic Controls,Cameras,1002/5110312110,25 Aug 2023,"935,436.90",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD ,Bus Contract Payments,1006/1900049395,15 Sep 2023,"913,048.70",
LONDON UNDERGROUND LTD,Equans Services Limited,Building Maintenance & Repairs,1005/5110317110,05 Sep 2023,"912,672.10",
SURFACE TRANSPORT CORP,London Borough Southwark - BSP,Borough Services - Claim Against Pr Yr Accrual,1002/1900076324,13 Sep 2023,"887,534.00",
CYCLE HIRE SCHEME,Serco Ltd,Franchise/Concession Fixed Fee,1016/5110312743,30 Aug 2023,"866,777.26",
LUL NOMINEE SSL LIMITED,Ground Transportation Systems UKLtd,Signalling Systems,1031/5110325786,15 Sep 2023,"862,849.42",
SURFACE TRANSPORT CORP,London Borough of Hackney,Borough Services - Claim Against Pr Yr Accrual,1002/1900076380,11 Sep 2023,"856,676.56",
SURFACE TRANSPORT CORP,London Borough of Lewisham,Borough Services - Claim Against Pr Yr Accrual,1002/1900075079,23 Aug 2023,"837,673.70",
SURFACE TRANSPORT CORP,London Borough of Sutton,Borough Services - Claim Against Pr Yr Accrual,1002/1900076200,11 Sep 2023,"824,690.40",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110306679,21 Aug 2023,"823,040.33",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF NEWHAM ,Borough Services - Claim Against Pr Yr Accrual,1002/1900076203,05 Sep 2023,"822,416.63",
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1001/5110308641,23 Aug 2023,"815,627.62",
SURFACE TRANSPORT CORP,EUROVIA INFRASTRUCTURE LIMITED,Road Maintenance,1002/5110328036,13 Sep 2023,"809,220.60",
LONDON UNDERGROUND LTD,MITIE FM LIMITED,Security Services (Guards),1005/5110306255,23 Aug 2023,"806,083.15",
LONDON UNDERGROUND LTD,Telent Technology Services Ltd,Maintenance of Telecommunications Equipment,1005/5110321687,30 Aug 2023,"802,528.01",
LONDON UNDERGROUND LTD,Cleshar Contract Services Limited,Fences & Vegetation,1005/5110317135,30 Aug 2023,"799,630.07",
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LITD ,Bus Contract Payments,1006/1900049356,01 Sep 2023,"788,177.18",
LONDON BUS SERVICES LTD,Trapeze ITS Switzerland GmbH,Manage IT Services,1006/5110315149,11 Sep 2023,"784,185.34",
LONDON BUS SERVICES LTD,Trapeze ITS Switzerland GmbH,Manage IT Services,1006/5110316145,11 Sep 2023,"784,185.34",
LONDON UNDERGROUND LTD,Balfour Beatty Group Ltd,Track General Maintenance,1005/5110328041,14 Sep 2023,"754,268.30",
SURFACE TRANSPORT CORP,London Borough of Richmond Upon Tha,Borough Services - Claim Against Pr Yr Accrual,1002/1900076223,29 Aug 2023,"752,889.00",
TRANSPORT TRADING LTD,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1004/5110325212,07 Sep 2023,"748,429.79",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110306656,21 Aug 2023,"727,118.44",
SURFACE TRANSPORT CORP,London Borough Southwark - BSP,Borough Services - Claim Against Pr Yr Accrual,1002/1900075815,06 Sep 2023,"726,964.00",
LONDON BUS SERVICES LTD,London Transit Limited,Bus Contract Payments,1006/1900049396,15 Sep 2023,"718,318.36",
SURFACE TRANSPORT CORP,L B Hounslow,Contracted Services - Roads,1002/5110318263,21 Aug 2023,"704,575.71",
LONDON UNDERGROUND LTD,Dragados S.A.,Civil Engineering Construction Works,1005/5110322113,13 Sep 2023,"693,070.51",
LONDON UNDERGROUND LTD,Equans Services Limited,Fire and Safety Equipment,1005/5110317113,05 Sep 2023,"690,734.97",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110308843,23 Aug 2023,"689,861.41",
LONDON UNDERGROUND LTD,Equans Services Limited,Fire and Safety Equipment,1005/5110325560,14 Sep 2023,"674,691.53",
LONDON UNDERGROUND LTD,1stinrail LTD,Track General Maintenance,1005/5110318805,22 Aug 2023,"656,467.80",
LONDON BUS SERVICES LTD,East London Bus & Coach Company Ltd,Bus Contract Payments,1006/1900049347,01 Sep 2023,"651,391.49",
TFL CORPORATE,Sentrum IV Limited,Manage IT Services,1001/5110323689,06 Sep 2023,"650,981.64",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110306633,21 Aug 2023,"646,813.41",
LONDON UNDERGROUND LTD,1stinrail LTD,Track General Maintenance,1005/5110325708,08 Sep 2023,"643,374.33",
LONDON UNDERGROUND LTD,Dyer & Butler Ltd,Civil Engineering Construction Works,1005/5110322993,05 Sep 2023,"642,057.63",
LUL NOMINEE BCV LIMITED,EKE-Electronics Ltd.,Maintenance Materials,1033/5110324341,08 Sep 2023,"638,559.36",
LONDON UNDERGROUND LTD,Dyer & Butler Ltd,Civil Engineering Construction Works,1005/5110306729,21 Aug 2023,"630,994.31",
RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1020/5110322753,06 Sep 2023,"630,581.11",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110306643,21 Aug 2023,"618,466.35",
SURFACE TRANSPORT CORP,LONDON COUNCILS,Taxicard Funding,1002/1900076675,01 Sep 2023,"614,938.42",
SURFACE TRANSPORT CORP,EDF Energy,Electricity,1002/5110314052,23 Aug 2023,"612,382.85",
SURFACE TRANSPORT CORP,London Borough of Camden,Borough Services - Claim Against Pr Yr Accrual,1002/1900076092,22 Aug 2023,"610,000.00",
SURFACE TRANSPORT CORP,London Borough Of Havering,Borough Services - Claim Against Pr Yr Accrual,1002/1900076194,06 Sep 2023,"609,920.79",
LONDON BUS SERVICES LTD,Stagecoach London,Bus Contract Payments,1006/1900049392,15 Sep 2023,"609,310.35",
LONDON RIVER SERVICES LTD,UK DOCKS MARINE SERVICES NORTH LTD,Manage IT Services,1007/5110318726,24 Aug 2023,"597,319.13",
TRANSPORT TRADING LTD,LONDON BOROUGH OF SOUTHWARK,Rates,1004/1901696981,01 Sep 2023,"595,189.00",
RFL (IINFRASTRUCTURE) LTD,Siemens Mobility Limited,Signalling Systems,1025/5110309466,23 Aug 2023,"583,433.00",
LONDON UNDERGROUND LTD,Hyder Consulting (UK) Ltd,Professional Engineering Services,1005/5110320544,25 Aug 2023,"561,012.26",
LONDON UNDERGROUND LTD,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1005/5110313686,30 Aug 2023,"550,037.70",
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110315214,21 Aug 2023,"547,956.89",
RFL (IINFRASTRUCTURE) LTD,Siemens Mobility Limited,Signalling Systems,1025/5110307221,04 Sep 2023,"537,217.00",
LONDON RIVER SERVICES LTD,UK DOCKS MARINE SERVICES NORTH LTD,Manage IT Services,1007/5110319278,25 Aug 2023,"530,326.33",
LONDON BUS SERVICES LTD,SULLIVAN BUS & COACH LIMITED,Bus Contract Payments,1006/1900049368,01 Sep 2023,"528,133.28",
TFL CORPORATE,VCCP Group LLP,Production Artwork And Design For Marketing,1001/5110313149,30 Aug 2023,"525,000.00",
TRANSPORT TRADING LTD,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1004/5110316040,29 Aug 2023,"522,504.17",
RFL (IINFRASTRUCTURE) LTD,EDF Energy,Electricity,1025/1900001735,30 Aug 2023,"501,547.37",
SURFACE TRANSPORT CORP,London Borough of Lambeth,Borough Services - Claim Against Pr Yr Accrual,1002/1900076391,06 Sep 2023,"500,000.00",
SURFACE TRANSPORT CORP,EDF Energy,Electricity,1002/5110315089,29 Aug 2023,"486,636.27",
SURFACE TRANSPORT CORP,London Borough of Camden,Borough Services - Claim Against Pr Yr Accrual,1002/1900076409,06 Sep 2023,"476,351.00",
TFL CORPORATE,Computacenter Plc,Computer Hardware,1001/5110310407,25 Aug 2023,"475,200.00",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110306773,21 Aug 2023,"469,952.52",
LONDON UNDERGROUND LTD,Schweerbau Gmbh & Co.KG *paid bacs*,Maintenance Materials,1005/5110315409,05 Sep 2023,"465,518.80",
LONDON UNDERGROUND LTD,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1005/5110313678,30 Aug 2023,"448,441.17",
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005/5110319823,29 Aug 2023,"446,849.66",
LUL NOMINEE BCV LIMITED,Siemens Mobility Limited,Signalling Systems,1033/5110306479,23 Aug 2023,"441,378.86",
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110319955,25 Aug 2023,"438,584.23",
SURFACE TRANSPORT CORP,CSTS Ltd,Connect PFI Service Costs,1002/5110308588,23 Aug 2023,"433,042.77",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110306647,21 Aug 2023,"432,930.97",
DOCKLANDS LIGHT RAILWAY,Mace Macro Ltd,Franchise/Concession Fixed Fee,1012/5110316769,25 Aug 2023,"430,298.16",
SURFACE TRANSPORT CORP,London Borough of Redbridge,Borough Services - Claim Against Pr Yr Accrual,1002/1900076313,06 Sep 2023,"423,406.60",
LONDON UNDERGROUND LTD,Cleshar Contract Services Limited,Operational Cleaning,1005/5110313383,30 Aug 2023,"400,112.84",
SURFACE TRANSPORT CORP,London Borough of Wandsworth - BSP,Borough Services - Claim Against Pr Yr Accrual,1002/1900076230,12 Sep 2023,"400,000.00",
DOCKLANDS LIGHT RAILWAY,UK Power Networks (Operations) Ltd,Electricity,1012/5110317655,11 Sep 2023,"400,000.00",
TRANSPORT TRADING LTD,GBM Services Limited,Office Cleaning,1004/5110315205,21 Aug 2023,"398,832.84",
TRANSPORT TRADING LTD,Novacroft Direct Ltd,Cubic Oyster Contract Costs,1004/5110320777,30 Aug 2023,"398,010.16",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110306899,21 Aug 2023,"393,479.27",
TFL CORPORATE,BOXXE Ltd,Computer Hardware,1001/5110324504,07 Sep 2023,"390,713.20",
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Professional Engineering Services,1012/5110322793,08 Sep 2023,"389,370.25",
SURFACE TRANSPORT CORP,Corporation of London,Borough Services - Claim Against Pr Yr Accrual,1002/1900075911,30 Aug 2023,"388,330.74",
LONDON UNDERGROUND LTD,GT GetTaxi (UK) Ltd,PCO Outsourced Services,1005/5110326249,12 Sep 2023,"384,560.22",
LONDON UNDERGROUND LTD,Octavius Infrastructure Ltd,MR Construction Costs,1005/5110313429,30 Aug 2023,"380,589.59",
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004/800048708,24 Aug 2023,"379,211.00",
TRANSPORT TRADING LTD,LONDON BOROUGH OF NEWHAM,Rates,1004/1901696946,01 Sep 2023,"372,400.00",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF NEWHAM ,Borough Services - Claim Against Pr Yr Accrual,1002/1900076427,06 Sep 2023,"372,322.17",
LONDON UNDERGROUND LTD,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1005/5110313695,30 Aug 2023,"365,533.13",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110306652,21 Aug 2023,"363,195.71",
LONDON UNDERGROUND LTD,KONE PLC,Escalators,1005/5110324071,05 Sep 2023,"355,463.52",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110306671,21 Aug 2023,"354,505.50",
TRANSPORT TRADING LTD,EDF Energy,Electricity,1004/1901697049,04 Sep 2023,"352,142.96",
LONDON UNDERGROUND LTD,Delatim Limited,MR Construction Costs,1005/5110319280,23 Aug 2023,"347,578.11",
DOCKLANDS LIGHT RAILWAY,Mace Macro Ltd,Professional Engineering Services,1012/5110317197,13 Sep 2023,"345,428.53",
LONDON UNDERGROUND LTD,OTIS LIMITED,Escalators,1005/5110325107,07 Sep 2023,"344,538.45",
SURFACE TRANSPORT CORP,London Borough of Camden,Borough Services - Claim Against Pr Yr Accrual,1002/1900076088,05 Sep 2023,"344,000.00",
SURFACE TRANSPORT CORP,London Borough Of Havering,Borough Services - Claim Against Pr Yr Accrual,1002/1900076195,06 Sep 2023,"343,609.04",
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Materials - Contractor,1005/5110328685,15 Sep 2023,"339,366.61",
LUL NOMINEE BCV LIMITED,Siemens Mobility Limited,Signalling Systems,1033/5110306481,23 Aug 2023,"327,687.37",
LONDON UNDERGROUND LTD,TRACKWORK RESOURCES LTD,Track General Maintenance,1005/5110319847,24 Aug 2023,"325,635.14",
TFL CORPORATE,XMA Ltd,Computer Software,1001/5110312248,25 Aug 2023,"319,086.88",
