Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,
Reporting Period:   1,,,,,,
Start Date:  1 April 2023,,,,,,
End Date:   29 April 2023,,,,,,
Financial Year:  2023/24,,,,,,
,,,,,,
Entity,Vendor Name,Expenditure Account ,Document Number,Clearing Date,Amount (£),Merchant Category
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD T/A TARMACKIER JV,Building Maintenance & Repairs,1002\5110263258,26-Apr-23,"2,099,870.19",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900048812,28-Apr-23,"2,061,923.62",
RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1020\5110257637,26-Apr-23,"1,988,692.26",
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD T/A TARMACKIER JV,Building Maintenance & Repairs,1002\5110263205,25-Apr-23,"1,984,414.45",
DOCKLANDS LIGHT RAILWAY,BUCKINGHAM GROUP CONTRACTING LTD,Franchise/Concession Fixed Fee,1012\5110256189,14-Apr-23,"1,973,926.29",
LUL NOMINEE BCV LIMITED,SIEMENS MOBILITY LIMITED,Signalling Systems,1033\5110236629,05-Apr-23,"1,917,049.74",
DOCKLANDS LIGHT RAILWAY,TIFLEX LTD,Maintenance Materials,1012\5110244240,03-Apr-23,"1,806,620.00",
LONDON BUS SERVICES LTD,STAGECOACH LONDON,Bus Contract Payments,1006\1900048746,14-Apr-23,"1,789,531.84",
SURFACE TRANSPORT CORP,F M CONWAY LTD,Building Maintenance & Repairs,1002\5110263429,26-Apr-23,"1,782,374.18",
TFL CORPORATE,OFFICE OF RAIL REGULATION,Terminal 5 PFI Service Costs,1001\5110241311,05-Apr-23,"1,747,142.90",
TRANSPORT TRADING LTD,HEATHROW EXPRESS ,JFT Suspense  - TTL,1004\1901692358,12-Apr-23,"1,725,419.99",
RAIL FOR LONDON LIMITED,TRAM OPERATIONS LIMITED,Franchise/Concession Fixed Fee,1020\5110258000,18-Apr-23,"1,719,668.08",
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1001\5110248560,26-Apr-23,"1,693,813.71",
SURFACE TRANSPORT CORP,F M CONWAY LTD,Road Maintenance,1002\5110263647,26-Apr-23,"1,657,446.74",
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005\5110257881,26-Apr-23,"1,585,267.77",
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES,Track General Maintenance,1005\5110250949,19-Apr-23,"1,557,020.81",
LONDON UNDERGROUND LTD,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1005\5110249501,12-Apr-23,"1,552,836.56",
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1001\5110248558,26-Apr-23,"1,509,491.72",
TFL CORPORATE,SAP UK LTD,Software Maintenance,1001\5110255085,26-Apr-23,"1,458,542.50",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900048813,28-Apr-23,"1,438,132.22",
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1001\5110248559,26-Apr-23,"1,422,000.00",
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5110261213,28-Apr-23,"1,421,865.22",
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Operational Cleaning,1005\5110242326,03-Apr-23,"1,405,452.44",
LONDON UNDERGROUND LTD,HERBERT SMITH LLP,Purchase of Land & Buildings,1005\1900257432,06-Apr-23,"1,395,000.00",
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900048825,28-Apr-23,"1,350,667.57",
SURFACE TRANSPORT CORP,RINGWAY INFRASTRUCTURE SERVICES LTD,Building Maintenance & Repairs,1002\5110262552,26-Apr-23,"1,335,571.32",
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006\1900048827,28-Apr-23,"1,268,334.16",
SURFACE TRANSPORT CORP,ENTERPRISEMOUCHEL LTD ,Building Maintenance & Repairs,1002\5110263136,26-Apr-23,"1,232,741.20",
RAIL FOR LONDON LIMITED,ALSTOM ENGINEERING & SERVICES LTD,Vehicle Repairs & Maintenance,1020\5110237641,05-Apr-23,"1,152,466.44",
TFL CORPORATE,SAP UK LTD,Software Maintenance,1001\5110255087,26-Apr-23,"1,148,898.50",
RAIL FOR LONDON LIMITED,CLESHAR CONTRACT SERVICES,Maintenance of Plant & Equipment,1020\5110259284,18-Apr-23,"1,142,414.85",
TRANSPORT TRADING LTD,ERNST & YOUNG LLP,Financial Statement Audit Fees,1004\5110234974,04-Apr-23,"1,117,661.25",
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Operational Cleaning,1005\5110263325,28-Apr-23,"1,110,024.89",
LONDON UNDERGROUND LTD,LANES GROUP PLC,Building Maintenance & Repairs,1005\5110245415,21-Apr-23,"1,103,165.78",
TFL CORPORATE,AXA PPP HEALTHCARE,Management & Support Consultancy,1001\5110255784,05-Apr-23,"1,095,813.45",
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900048816,28-Apr-23,"1,090,965.86",
TFL CORPORATE,COMPUTACENTER PLC,Computer Hardware,1001\5110254875,26-Apr-23,"1,079,470.78",
LONDON UNDERGROUND LTD,EQUANS SERVICES LIMITED,Equipment Repairs & Maintenance,1005\5110259233,20-Apr-23,"1,063,070.97",
SURFACE TRANSPORT CORP,CITY OF WESTMINSTER,Borough Services,1002\1900074406,03-Apr-23,"1,035,000.00",
TRANSPORT TRADING LTD,THAMES CLIPPERS,Gross Sales Clearance,1004\800047869,06-Apr-23,"1,026,407.90",
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,Security Equipment,1005\5110254256,24-Apr-23,"1,012,614.48",
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Franchise/Concession Fixed Fee,1005\5110251162,20-Apr-23,"972,677.77",
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,Security Equipment,1005\5110253613,12-Apr-23,"958,898.03",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,Management & Support Consultancy,1002\5110263691,27-Apr-23,"926,944.36",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD ,Bus Contract Payments,1006\1900048822,28-Apr-23,"908,256.08",
RFL (IINFRASTRUCTURE) LTD,MOTT MACDONALD LIMITED,Professional Engineering Services,1025\5110254697,24-Apr-23,"877,793.85",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110257837,12-Apr-23,"822,712.95",
CYCLE HIRE SCHEME,SERCO LTD,Concession Maintenance Charge,1016\5110243341,19-Apr-23,"819,097.19",
DOCKLANDS LIGHT RAILWAY,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1012\5110257394,19-Apr-23,"804,448.61",
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LITD ,Bus Contract Payments,1006\1900048744,14-Apr-23,"788,177.18",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,Management & Support Consultancy,1002\5110263686,27-Apr-23,"772,075.41",
LONDON BUS SERVICES LTD,TRAPEZE PTI LTD,Maintenance of Plant & Equipment,1006\5110247123,28-Apr-23,"748,776.77",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110241197,12-Apr-23,"745,257.51",
LONDON UNDERGROUND LTD,MITIE FM LIMITED,Security Services (Guards),1005\5110238864,06-Apr-23,"740,558.40",
LONDON UNDERGROUND LTD,HMRC,Payroll Suspense,1005\1900257907,21-Apr-23,"738,379.00",
DOCKLANDS LIGHT RAILWAY,THALES CANADA TRANSPORTATION SOLUT,Computer Hardware,1012\5110244157,14-Apr-23,"726,540.00",
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES PLC,A13 PFI Service Costs,1002\5110246166,17-Apr-23,"700,000.00",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110240968,12-Apr-23,"688,438.37",
LONDON BUS SERVICES LTD,F M CONWAY LTD,Road Maintenance,1006\5110263443,26-Apr-23,"673,974.43",
LONDON UNDERGROUND LTD,SCHWEERBAU GMBH & CO.KG,Track General Maintenance,1005\5110234399,03-Apr-23,"671,933.01",
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5110244900,13-Apr-23,"655,925.28",
SURFACE TRANSPORT CORP,GREATER LONDON AUTHORITY ,Section 159 Payments,1002\1900074716,05-Apr-23,"646,236.44",
LONDON UNDERGROUND LTD,EQUANS SERVICES LIMITED,Equipment Repairs & Maintenance,1005\5110259290,26-Apr-23,"639,323.36",
TFL CORPORATE,COMPUTACENTER PLC,Computer Hardware,1001\5110251304,25-Apr-23,"626,347.64",
LONDON BUS SERVICES LTD,LONDON TRANSIT LIMITED,Bus Contract Payments,1006\1900048823,28-Apr-23,"624,865.06",
TFL CORPORATE,SAP UK LTD,Software Maintenance,1001\5110244466,19-Apr-23,"621,927.24",
PUBLIC CARRIAGE OFFICE,MARSTON HOLDINGS,Management & Support Consultancy,1003\5110255319,28-Apr-23,"619,154.00",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,Management & Support Consultancy,1002\5110249278,11-Apr-23,"608,372.00",
RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1020\5110264093,26-Apr-23,"607,826.68",
LONDON UNDERGROUND LTD,DYER & BUTLER LTD,Professional Engineering Services,1005\5110260279,26-Apr-23,"606,597.44",
LONDON UNDERGROUND LTD,BALFOUR BEATTY GROUP LTD,MR Construction Costs,1005\5110258602,19-Apr-23,"605,607.25",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110241202,12-Apr-23,"605,555.90",
LONDON BUS SERVICES LTD,STAGECOACH LONDON,Bus Contract Payments,1006\1900048819,28-Apr-23,"596,510.63",
TRANSPORT TRADING LTD,LONDON BOROUGH OF SOUTHWARK,Rates,1004\1901692797,20-Apr-23,"595,840.00",
LONDON BUS SERVICES LTD,SULLIVAN BUS & COACH LIMITED,Bus Contract Payments,1006\1900048756,14-Apr-23,"594,534.26",
TFL CORPORATE,COMPUTACENTER PLC,Computer Consumables,1001\5110242167,17-Apr-23,"586,860.45",
LONDON UNDERGROUND LTD,GROUND TRANSPORTATION SYSTEMS UKLTD,Computer Hardware,1005\5110235170,04-Apr-23,"579,626.00",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110241203,12-Apr-23,"575,389.87",
LONDON UNDERGROUND LTD,L.B FOSTER RAIL TECHNOLOGIES(UK)LTD,Maintenance Materials,1005\5110256363,06-Apr-23,"558,250.00",
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES,Track General Maintenance,1005\5110264412,26-Apr-23,"553,471.55",
SURFACE TRANSPORT CORP,LONDON COUNCILS,Taxicard Funding,1002\1900074998,25-Apr-23,"539,103.72",
SURFACE TRANSPORT CORP,EUROVIA INFRASTRUCTURE LIMITED,Civil Engineering Construction Works,1002\5110263698,26-Apr-23,"534,033.13",
TFL CORPORATE,ST ANNES HOUSE MANAGEMENT COMPANY L,Purchase of Land & Buildings,1001\1900163484,20-Apr-23,"510,800.00",
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Professional Engineering Services,1012\5110256757,26-Apr-23,"501,669.16",
DOCKLANDS LIGHT RAILWAY,RTI LTD,Civil Engineering Construction Works,1012\5110257357,18-Apr-23,"498,119.29",
TFL CORPORATE,DYNATRACE LTD,Computer Software,1001\5110255475,26-Apr-23,"488,797.85",
DOCKLANDS LIGHT RAILWAY,CONST. Y AUX. DE FERROCARRILES S.A,Vehicle Purchases,1012\5110249203,06-Apr-23,"479,090.00",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Vehicle Repairs & Maintenance,1006\5110249906,18-Apr-23,"474,630.00",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110241138,12-Apr-23,"456,470.02",
SURFACE TRANSPORT CORP,SIEMENS MOBILITY LIMITED,Computer Software,1002\5110234577,03-Apr-23,"449,128.91",
LONDON UNDERGROUND LTD,KONE PLC,Escalators,1005\5110248562,19-Apr-23,"439,068.68",
RAIL FOR LONDON LIMITED,ALSTOM ENGINEERING & SERVICES LTD,Vehicle Repairs & Maintenance,1020\5110237646,05-Apr-23,"438,584.23",
RFL (IINFRASTRUCTURE) LTD,SIEMENS MOBILITY LIMITED,Building Maintenance & Repairs,1025\5110240995,12-Apr-23,"426,250.00",
RFL (IINFRASTRUCTURE) LTD,SIEMENS MOBILITY LIMITED,Building Maintenance & Repairs,1025\5110254942,26-Apr-23,"426,250.00",
LONDON UNDERGROUND LTD,SCHWEERBAU GMBH & CO.KG,Track General Maintenance,1005\5110239137,11-Apr-23,"424,767.28",
TRANSPORT TRADING LTD,MITIE FM LIMITED,Security Services (Guards),1004\5110238742,06-Apr-23,"416,314.64",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110241207,12-Apr-23,"405,346.49",
LONDON UNDERGROUND LTD,EMERSON NETWORK POWER LTD,Traction Current,1005\5110242654,18-Apr-23,"403,809.80",
DOCKLANDS LIGHT RAILWAY,GROUND TRANSPORTATION SYSTEMS UKLTD,Computer Hardware,1012\5110252076,13-Apr-23,"402,860.08",
LONDON UNDERGROUND LTD,EQUANS SERVICES LIMITED,Fire and Safety Equipment,1005\5110259291,26-Apr-23,"400,810.67",
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Miscellaneous Costs,1005\5110261293,20-Apr-23,"400,178.76",
TFL CORPORATE,COMPUTACENTER PLC,Software Maintenance,1001\5110235798,05-Apr-23,"399,072.37",
LONDON UNDERGROUND LTD,1STINRAIL LIMITED,Track General Maintenance,1005\5110258900,19-Apr-23,"397,218.69",
LONDON UNDERGROUND LTD,EQUANS SERVICES LIMITED,Equipment Repairs & Maintenance,1005\5110259308,26-Apr-23,"396,837.20",
LUL NOMINEE BCV LIMITED,SIEMENS MOBILITY LIMITED,Signalling Systems,1033\5110236601,05-Apr-23,"392,721.42",
TFL CORPORATE,COMPUTACENTER PLC,Software Maintenance,1001\5110249929,26-Apr-23,"391,068.63",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110240970,12-Apr-23,"382,410.43",
LONDON BUS SERVICES LTD,VOLKER FITZPATRICK LTD,Infrastructure Maintenance and Repair,1006\5110261295,20-Apr-23,"379,107.62",
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,Cameras,1005\5110242722,17-Apr-23,"377,264.00",
LONDON UNDERGROUND LTD,GT GETTAXI (UK) LTD,Travel to/from work (Unsocial Hours),1005\5110257334,19-Apr-23,"372,954.08",
TRANSPORT TRADING LTD,LONDON BOROUGH OF NEWHAM ,Rates,1004\1901692575,20-Apr-23,"372,400.00",
TRANSPORT TRADING LTD,NOVACROFT DIRECT LTD,Ticket & Pass Production,1004\5110256516,12-Apr-23,"366,229.38",
TRANSPORT TRADING LTD,GBM SERVICES LTD,Office Cleaning,1004\5110242380,03-Apr-23,"365,037.87",
SURFACE TRANSPORT CORP,CSTS LTD,Traffic Signals,1002\5110257991,26-Apr-23,"360,068.18",
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1001\5110241684,12-Apr-23,"354,376.36",
LONDON UNDERGROUND LTD,NATIVE LAND LTD,Planning & Development Consultancy,1005\5110260141,19-Apr-23,"352,119.30",
TFL CORPORATE,GREATER LONDON AUTHORITY ,Legal Fees,1001\5110241486,12-Apr-23,"349,880.53",
TFL CORPORATE,SENATOR INTERNATIONAL LTD,Furniture & Equipment,1001\5110247162,25-Apr-23,"347,154.00",
TFL CORPORATE,SPECIALIST COMPUTER CENTRES LTD,Computer Hardware,1001\5110236539,05-Apr-23,"343,574.64",
SURFACE TRANSPORT CORP,CSTS LTD,Traffic Signals,1002\5110245469,11-Apr-23,"342,729.21",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110241506,12-Apr-23,"340,082.77",
LONDON UNDERGROUND LTD,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1005\5110261232,28-Apr-23,"338,513.16",
TFL CORPORATE,MEDIAEDGE,Advertising,1001\5110242647,05-Apr-23,"337,014.00",
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5110238451,05-Apr-23,"333,333.33",
DOCKLANDS LIGHT RAILWAY,CONST. Y AUX. DE FERROCARRILES S.A,Vehicle Purchases,1012\5110249200,27-Apr-23,"324,929.50",
TFL CORPORATE,LEMONGRASS CONSULTING LIMITED,Computer Software,1001\5110252620,24-Apr-23,"321,775.83",
DOCKLANDS LIGHT RAILWAY,CONST. Y AUX. DE FERROCARRILES S.A,Vehicle Purchases,1012\5110255403,27-Apr-23,"321,734.83",
LONDON UNDERGROUND LTD,MCGINLEY SUPPORT SERVICES LTD,Track General Maintenance,1005\5110257901,17-Apr-23,"320,098.44",
SURFACE TRANSPORT CORP,CSTS LTD,Traffic Signals,1002\5110242191,04-Apr-23,"318,607.66",
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005\5110262545,28-Apr-23,"317,592.28",
SURFACE TRANSPORT CORP,SIEMENS TRAFFIC CONTROLS,Cameras,1002\5110257459,27-Apr-23,"317,003.59",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110241184,12-Apr-23,"313,120.64",
TFL CORPORATE,BOXXE LTD,Computer Hardware,1001\5110258892,18-Apr-23,"310,398.33",
SURFACE TRANSPORT CORP,TELENT TECHNOLOGY SERVICES LTD,Traffic Signals,1002\5110248993,26-Apr-23,"309,951.21",
TRANSPORT TRADING LTD,HERBERT SMITH LLP,Legal Fees,1004\5110264611,27-Apr-23,"306,414.17",
RFL (IINFRASTRUCTURE) LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Professional Engineering Services,1025\5110261554,20-Apr-23,"303,085.23",
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,Equipment Repairs & Maintenance,1005\5110253329,25-Apr-23,"302,367.47",
TFL CORPORATE,TELENT TECHNOLOGY SERVICES LTD,Lift Maintenance,1001\5110238425,06-Apr-23,"300,000.00",
TFL CORPORATE,COMPUTACENTER PLC,Manage IT Services,1001\5110251382,21-Apr-23,"299,830.38",
TFL CORPORATE,DELOITTE MCS LIMITED ,Management & Support Consultancy,1001\5110239168,11-Apr-23,"298,800.00",
SURFACE TRANSPORT CORP,TELENT TECHNOLOGY SERVICES LTD,Traffic Signals,1002\5110241198,05-Apr-23,"295,635.97",
SURFACE TRANSPORT CORP,SOPRA STERIA LTD,Manage IT Services,1002\5110241373,12-Apr-23,"290,568.32",
LONDON UNDERGROUND LTD,UK POWER NETWORKS LTD,MR Construction Costs,1005\5110257971,19-Apr-23,"290,555.04",
LONDON UNDERGROUND LTD,OTIS LIMITED,Escalators,1005\5110257295,26-Apr-23,"289,967.65",
LUL NOMINEE SSL LIMITED,CPC PROJECT SERVICES LLP,MR Construction Costs,1031\5110258223,19-Apr-23,"285,828.60",
TFL CORPORATE,PROBRAND LTD,Manage IT Services,1001\5110246036,24-Apr-23,"285,151.06",
TFL CORPORATE,COMPUTACENTER PLC,Computer Hardware,1001\5110242751,17-Apr-23,"284,468.30",
SURFACE TRANSPORT CORP,IMMENSE SIMULATIONS LTD,Computer Software,1002\5110248536,05-Apr-23,"280,000.00",
