Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,,
Reporting Period:   4,,,,,,,,,,
Start Date:  25 June 2023,,,,,,,,,,
End Date:   22 July 2023,,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,,
,,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900049117,07 Jul 2023,"6,730,381.95",,,,,
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006/1900049133,07 Jul 2023,"6,707,312.92",,,,,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004/5110297481,06 Jul 2023,"5,763,389.67",,,,,
TFL CORPORATE,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1001/5110288666,12 Jul 2023,"5,654,342.95",,,,,
RAIL FOR LONDON LIMITED,LONDON RAIL LEASING LIMITED,Vehicle Operating Leases,1020/5110292686,30 Jun 2023,"5,367,912.00",,,,,
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004/1901695588,07 Jul 2023,"5,346,669.12",,,,,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005/5110295414,21 Jul 2023,"4,986,676.77",,,,,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006/1900049175,21 Jul 2023,"4,881,465.54",,,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900049163,21 Jul 2023,"4,506,074.59",,,,,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900049118,07 Jul 2023,"4,431,166.80",,,,,
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006/1900049130,07 Jul 2023,"4,255,621.43",,,,,
LONDON UNDERGROUND LTD,DEPT FOR LEVELLINGUP HOUSING&COMMUN,Property Letting Costs,1005/5110271945,18 Jul 2023,"4,096,000.00",,,,,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,Bus Contract Payments,1006/1900049170,21 Jul 2023,"4,079,101.73",,,,,
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006/1900049132,07 Jul 2023,"4,045,408.58",,,,,
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006/1900049121,07 Jul 2023,"3,848,008.26",,,,,
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006/1900049167,21 Jul 2023,"3,688,174.44",,,,,
SURFACE TRANSPORT CORP,SIEMENS TRAFFIC CONTROLS,Cameras,1002/5110281752,27 Jun 2023,"3,662,390.69",,,,,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD ,Bus Contract Payments,1006/1900049169,21 Jul 2023,"3,636,282.13",,,,,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS LIMITED,Bus Contract Payments,1006/1900049173,21 Jul 2023,"3,484,476.70",,,,,
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005/5110291583,19 Jul 2023,"3,010,192.01",,,,,
LONDON UNDERGROUND LTD,GBM SERVICES LIMITED,Office Cleaning,1005/5110289651,27 Jun 2023,"2,986,181.27",,,,,
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD ,Bus Contract Payments,1006/1900049127,07 Jul 2023,"2,836,461.13",,,,,
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005/5110294830,19 Jul 2023,"2,789,807.99",,,,,
TRANSPORT TRADING LTD,AMERICAN EXPRESS PAYMENT SVCS. LTD.,Cashless Payment Card Ticketing Debtors,1004/1901695622,07 Jul 2023,"2,759,018.39",,,,,
RAIL FOR LONDON LIMITED,ALSTOM ENGINEERING & SERVICES LTD,Vehicle Repairs & Maintenance,1020/5110291957,27 Jun 2023,"2,737,225.17",,,,,
SURFACE TRANSPORT CORP,MORGAN SINDALL  PLC,Contracted Services - Roads,1002/5110300720,19 Jul 2023,"2,546,930.82",,,,,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,TLL Lease Costs,1005/5110301360,21 Jul 2023,"2,491,206.55",,,,,
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,Road Maintenance,1002/5110302490,21 Jul 2023,"2,328,407.01",,,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006/1900049164,21 Jul 2023,"2,322,946.00",,,,,
RAIL FOR LONDON LIMITED,ALSTOM ENGINEERING & SERVICES LTD,Vehicle Repairs & Maintenance,1020/5110292095,28 Jun 2023,"2,250,000.00",,,,,
SURFACE TRANSPORT CORP,MORGAN SINDALL  PLC,Contracted Services - Roads,1002/5110298431,07 Jul 2023,"2,139,693.23",,,,,
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006/1900049177,21 Jul 2023,"2,129,698.56",,,,,
LONDON BUS SERVICES LTD,LONDON TRANSIT LIMITED,Bus Contract Payments,1006/1900049128,07 Jul 2023,"2,127,573.27",,,,,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900049161,21 Jul 2023,"2,102,929.68",,,,,
LUL NOMINEE SSL LIMITED,GROUND TRANSPORTATION SYSTEMS UKLTD,Signalling Systems,1031/5110301745,21 Jul 2023,"2,032,443.98",,,,,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004/5110297576,06 Jul 2023,"1,869,295.10",,,,,
LONDON BUS SERVICES LTD,STAGECOACH LONDON,Bus Contract Payments,1006/1900049124,07 Jul 2023,"1,789,531.84",,,,,
SURFACE TRANSPORT CORP,F M CONWAY LTD,Road Maintenance,1002/5110301718,17 Jul 2023,"1,789,009.03",,,,,
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004/800048352,29 Jun 2023,"1,759,423.30",,,,,
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,Road Maintenance,1002/5110302488,18 Jul 2023,"1,730,000.00",,,,,
RAIL FOR LONDON LIMITED,TRAM OPERATIONS LIMITED,Franchise/Concession Fixed Fee,1020/5110287150,30 Jun 2023,"1,719,668.08",,,,,
LUL NOMINEE SSL LIMITED,GROUND TRANSPORTATION SYSTEMS UKLTD,Civil Engineering Construction Works,1031/5110301753,21 Jul 2023,"1,624,088.62",,,,,
RAIL FOR LONDON LIMITED,STADLER PANKOW GMBH,Exchange Loss Realised,1020/2000071636,21 Jul 2023,"1,572,912.71",,,,,
LONDON UNDERGROUND LTD,GBM SERVICES LIMITED,Office Cleaning,1005/5110289675,27 Jun 2023,"1,526,247.62",,,,,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BROMLEY,Borough Services - Claim Against Pr Yr Accrual,1002/1900075080,10 Jul 2023,"1,408,000.00",,,,,
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006/1900049174,21 Jul 2023,"1,384,223.05",,,,,
SURFACE TRANSPORT CORP,SIEMENS TRAFFIC CONTROLS,Cameras,1002/5110284022,20 Jul 2023,"1,341,368.22",,,,,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900049162,21 Jul 2023,"1,341,009.89",,,,,
LONDON UNDERGROUND LTD,BALFOUR BEATTY GROUP LTD,MR Construction Costs,1005/5110297846,12 Jul 2023,"1,305,338.08",,,,,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HACKNEY,Borough Services - Claim Against Pr Yr Accrual,1002/1900075596,10 Jul 2023,"1,292,393.46",,,,,
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006/1900049176,21 Jul 2023,"1,277,925.64",,,,,
DOCKLANDS LIGHT RAILWAY,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1012/5110297397,12 Jul 2023,"1,276,217.03",,,,,
DOCKLANDS LIGHT RAILWAY,BUCKINGHAM GROUP CONTRACTING LTD,Franchise/Concession Fixed Fee,1012/5110294225,12 Jul 2023,"1,273,725.50",,,,,
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006/1900049165,21 Jul 2023,"1,248,790.92",,,,,
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD T/A TARMACKIER JV,Road Maintenance,1002/5110302531,19 Jul 2023,"1,246,423.83",,,,,
RAIL FOR LONDON LIMITED,ALSTOM ENGINEERING & SERVICES LTD,Vehicle Repairs & Maintenance,1020/5110284993,28 Jun 2023,"1,221,258.27",,,,,
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,Computer Software,1005/5110290763,18 Jul 2023,"1,135,711.07",,,,,
TFL CORPORATE,AXA PPP HEALTHCARE,Management & Support Consultancy,1001/5110296778,04 Jul 2023,"1,095,813.46",,,,,
LONDON UNDERGROUND LTD,LANES GROUP PLC,Building Maintenance & Repairs,1005/5110292701,19 Jul 2023,"1,093,948.27",,,,,
SURFACE TRANSPORT CORP,ENTERPRISEMOUCHEL LTD ,Road Maintenance,1002/5110303208,19 Jul 2023,"1,058,028.85",,,,,
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES,Fences & Vegetation,1005/5110292964,05 Jul 2023,"1,054,784.65",,,,,
RFL (IINFRASTRUCTURE) LTD,EDF ENERGY,Electricity,1025/1900001661,07 Jul 2023,"1,042,755.35",,,,,
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005/5110296186,19 Jul 2023,"1,040,987.18",,,,,
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,Cameras,1005/5110294798,30 Jun 2023,"990,001.44",,,,,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005/5110295409,21 Jul 2023,"972,677.77",,,,,
LONDON UNDERGROUND LTD,EQUANS SERVICES LIMITED,Building Maintenance & Repairs,1005/5110286485,05 Jul 2023,"940,306.38",,,,,
LONDON UNDERGROUND LTD,EQUANS SERVICES LIMITED,Building Maintenance & Repairs,1005/5110300610,20 Jul 2023,"940,306.38",,,,,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF ISLINGTON,Borough Services - Claim Against Pr Yr Accrual,1002/1900074890,19 Jul 2023,"921,445.51",,,,,
DOCKLANDS LIGHT RAILWAY,PITTVILLE LEASING LTD,Vehicle Operating Leases,1012/5110292689,28 Jun 2023,"915,394.87",,,,,
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD ,Bus Contract Payments,1006/1900049171,21 Jul 2023,"912,941.92",,,,,
DOCKLANDS LIGHT RAILWAY,EDF ENERGY,Electricity,1012/5110284391,28 Jun 2023,"906,228.46",,,,,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HAMMERSMITH & FUL,Borough Services - Claim Against Pr Yr Accrual,1002/1900075183,05 Jul 2023,"901,680.17",,,,,
LONDON UNDERGROUND LTD,PANASONIC MARKETING EUROPE GMBH,Contracted Services Buildings,1005/5110289182,12 Jul 2023,"900,000.00",,,,,
SURFACE TRANSPORT CORP,EDF ENERGY,Electricity,1002/5110303197,19 Jul 2023,"868,756.26",,,,,
LONDON UNDERGROUND LTD,PANASONIC MARKETING EUROPE GMBH,Contracted Services Buildings,1005/5110282699,03 Jul 2023,"850,000.00",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110292753,19 Jul 2023,"825,200.50",,,,,
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1001/5110279008,29 Jun 2023,"818,459.94",,,,,
CYCLE HIRE SCHEME,SERCO LTD,Franchise/Concession Fixed Fee,1016/5110281730,27 Jun 2023,"814,664.93",,,,,
CYCLE HIRE SCHEME,SERCO LTD,Franchise/Concession Fixed Fee,1016/5110282684,28 Jun 2023,"814,664.93",,,,,
LONDON UNDERGROUND LTD,MITIE FM LIMITED,Security Services (Guards),1005/5110291272,19 Jul 2023,"804,782.37",,,,,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF CAMDEN,Borough Services - Claim Against Pr Yr Accrual,1002/1900075491,04 Jul 2023,"800,000.00",,,,,
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1001/5110279004,27 Jun 2023,"795,636.29",,,,,
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LITD ,Bus Contract Payments,1006/1900049122,07 Jul 2023,"788,177.18",,,,,
SURFACE TRANSPORT CORP,EUROVIA INFRASTRUCTURE LIMITED,Road Maintenance,1002/5110302004,20 Jul 2023,"772,192.58",,,,,
LONDON UNDERGROUND LTD,EQUANS SERVICES LIMITED,Building Maintenance & Repairs,1005/5110286484,05 Jul 2023,"767,640.12",,,,,
SURFACE TRANSPORT CORP,RINGWAY INFRASTRUCTURE SERVICES LTD,Road Maintenance,1002/5110302515,19 Jul 2023,"767,513.85",,,,,
RAIL FOR LONDON LIMITED,CLESHAR CONTRACT SERVICES,Fleet,1020/5110291369,13 Jul 2023,"766,075.33",,,,,
LONDON UNDERGROUND LTD,EQUANS SERVICES LIMITED,Building Maintenance & Repairs,1005/5110300615,20 Jul 2023,"761,585.25",,,,,
LONDON BUS SERVICES LTD,TRAPEZE ITS SWITZERLAND GMBH,Manage IT Services,1006/5110281945,30 Jun 2023,"759,618.96",,,,,
LUL NOMINEE BCV LIMITED,SIEMENS MOBILITY LIMITED,Signalling Systems,1033/5110285496,28 Jun 2023,"755,365.35",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110292788,19 Jul 2023,"745,162.46",,,,,
SURFACE TRANSPORT CORP,F M CONWAY LTD,Road Maintenance,1002/5110304323,21 Jul 2023,"722,984.73",,,,,
RFL (IINFRASTRUCTURE) LTD,SIEMENS MOBILITY LIMITED,Signalling Systems,1025/5110286895,05 Jul 2023,"702,117.00",,,,,
RAIL FOR LONDON LIMITED,CLESHAR CONTRACT SERVICES,Fleet,1020/5110283696,10 Jul 2023,"702,044.74",,,,,
LONDON BUS SERVICES LTD,LONDON TRANSIT LIMITED,Bus Contract Payments,1006/1900049172,21 Jul 2023,"697,385.96",,,,,
TFL CORPORATE,SENTRUM IV LIMITED,Manage IT Services,1001/5110283272,20 Jul 2023,"650,098.53",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110292454,19 Jul 2023,"646,813.41",,,,,
LONDON BUS SERVICES LTD,STAGECOACH LONDON,Bus Contract Payments,1006/1900049168,21 Jul 2023,"616,352.24",,,,,
LONDON UNDERGROUND LTD,EQUANS SERVICES LIMITED,Fire and Safety Equipment,1005/5110285826,05 Jul 2023,"607,142.84",,,,,
LONDON UNDERGROUND LTD,BATTERSEA PROJECT PHASE3B DEVCO LTD,Civil Engineering Construction Works,1005/5110295473,04 Jul 2023,"606,795.28",,,,,
TRANSPORT TRADING LTD,LONDON BOROUGH OF SOUTHWARK,Rates,1004/1901695510,04 Jul 2023,"595,189.00",,,,,
LONDON BUS SERVICES LTD,SULLIVAN BUS & COACH LIMITED,Bus Contract Payments,1006/1900049134,07 Jul 2023,"594,767.14",,,,,
TTL PROPERTIES LTD,PERFECT CIRCLE JV LTD,Furniture & Equipment,1040/5110293565,28 Jun 2023,"583,833.50",,,,,
RFL (IINFRASTRUCTURE) LTD,MOTT MACDONALD LIMITED,Professional Engineering Services,1025/5110293185,17 Jul 2023,"579,226.30",,,,,
LONDON UNDERGROUND LTD,DYER & BUTLER LTD,Civil Engineering Construction Works,1005/5110283875,27 Jun 2023,"554,359.58",,,,,
LONDON UNDERGROUND LTD,GBM SERVICES LIMITED,Office Cleaning,1005/5110289658,27 Jun 2023,"547,956.89",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110292721,19 Jul 2023,"546,774.67",,,,,
LONDON UNDERGROUND LTD,EDF ENERGY,Electricity,1005/1900262977,29 Jun 2023,"545,030.79",,,,,
SURFACE TRANSPORT CORP,LONDON COUNCILS,Road Maintenance,1002/5110296775,05 Jul 2023,"540,000.00",,,,,
LONDON UNDERGROUND LTD,EDF ENERGY,Electricity,1005/1900263390,04 Jul 2023,"534,482.17",,,,,
LONDON UNDERGROUND LTD,1STINRAIL LTD,Track General Maintenance,1005/5110297828,06 Jul 2023,"522,753.00",,,,,
RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1020/5110298203,12 Jul 2023,"522,316.01",,,,,
SURFACE TRANSPORT CORP,F M CONWAY LTD,Road Maintenance,1002/5110302912,19 Jul 2023,"498,858.35",,,,,
SURFACE TRANSPORT CORP,EALING COUNCIL,Borough Services - Claim Against Pr Yr Accrual,1002/1900075506,05 Jul 2023,"498,000.00",,,,,
RAIL FOR LONDON LIMITED,EDF ENERGY,Electricity,1020/5110253211,29 Jun 2023,"467,668.71",,,,,
LUL NOMINEE BCV LIMITED,SIEMENS MOBILITY LIMITED,Signalling Systems,1033/5110280128,28 Jun 2023,"457,252.04",,,,,
TRANSPORT TRADING LTD,MITIE FM LIMITED,Security Services (Guards),1004/5110291271,19 Jul 2023,"457,134.34",,,,,
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES,Operational Cleaning,1005/5110296270,05 Jul 2023,"453,660.58",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110292804,19 Jul 2023,"452,728.92",,,,,
LONDON UNDERGROUND LTD,KONE PLC,Escalators,1005/5110298152,11 Jul 2023,"450,546.81",,,,,
LONDON UNDERGROUND LTD,KONE PLC,Escalators,1005/5110300649,13 Jul 2023,"447,744.80",,,,,
SURFACE TRANSPORT CORP,ROYAL BOROUGH OF GREENWICH,Planning & Development Consultancy,1002/5110287939,05 Jul 2023,"442,661.35",,,,,
RAIL FOR LONDON LIMITED,ALSTOM ENGINEERING & SERVICES LTD,Vehicle Repairs & Maintenance,1020/5110284995,28 Jun 2023,"438,584.23",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110292725,19 Jul 2023,"432,930.97",,,,,
LONDON UNDERGROUND LTD,WAVE UTILITIES,Water,1005/1900263392,05 Jul 2023,"430,729.76",,,,,
LONDON UNDERGROUND LTD,WAVE UTILITIES,Water,1005/1900263438,10 Jul 2023,"430,729.76",,,,,
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD T/A TARMACKIER JV,Road Maintenance,1002/5110301921,19 Jul 2023,"430,015.58",,,,,
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES,Track General Maintenance,1005/5110297438,06 Jul 2023,"419,241.41",,,,,
LONDON UNDERGROUND LTD,TAYLOR WOODROW CONS BAM NUTTAL LTD,Civil Engineering Construction Works,1005/5110295383,05 Jul 2023,"415,203.82",,,,,
LONDON BUS SERVICES LTD,F M CONWAY LTD,Road Maintenance,1006/5110301791,19 Jul 2023,"413,506.66",,,,,
SURFACE TRANSPORT CORP,NETWORK RAIL INFRASTRUCTURE,Road Maintenance,1002/5110272141,13 Jul 2023,"411,817.43",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110292732,19 Jul 2023,"410,990.16",,,,,
TFL CORPORATE,COMPUTACENTER PLC,Manage IT Services,1001/5110287791,11 Jul 2023,"410,610.14",,,,,
TRANSPORT TRADING LTD,NOVACROFT DIRECT LTD,Cubic Oyster Contract Costs,1004/5110294369,06 Jul 2023,"408,042.89",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110292802,19 Jul 2023,"405,734.70",,,,,
DOCKLANDS LIGHT RAILWAY,UK POWER NETWORKS (OPERATIONS) LTD,Electricity,1012/5110285017,27 Jun 2023,"400,000.00",,,,,
TRANSPORT TRADING LTD,GBM SERVICES LIMITED,Office Cleaning,1004/5110289650,27 Jun 2023,"398,832.84",,,,,
RAIL FOR LONDON LIMITED,EDF ENERGY,Electricity,1020/5110287836,13 Jul 2023,"397,403.02",,,,,
TFL CORPORATE,BOXXE LTD,Computer Hardware,1001/5110299349,12 Jul 2023,"395,757.52",,,,,
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES,Track General Maintenance,1005/5110297395,05 Jul 2023,"393,535.13",,,,,
LONDON UNDERGROUND LTD,GPX ENGINEERING LTD,Track General Maintenance,1005/5110299303,11 Jul 2023,"389,764.75",,,,,
RAIL FOR LONDON LIMITED,VINCI CONSTRUCTION UK LTD,Civil Engineering Construction Works,1020/5110299728,20 Jul 2023,"388,124.99",,,,,
TFL CORPORATE,TURNER & TOWNSEND PROJECT ,Management & Support Consultancy,1001/5110278202,07 Jul 2023,"379,832.50",,,,,
LONDON UNDERGROUND LTD,GROUND TRANSPORTATION SYSTEMS UKLTD,Signalling Systems,1005/5110301944,21 Jul 2023,"374,279.78",,,,,
TRANSPORT TRADING LTD,LONDON BOROUGH OF NEWHAM,Rates,1004/1901695468,04 Jul 2023,"372,400.00",,,,,
TFL CORPORATE,TURNER & TOWNSEND PROJECT ,Management & Support Consultancy,1001/5110265107,07 Jul 2023,"370,525.76",,,,,
RAIL FOR LONDON LIMITED,EDF ENERGY,Electricity,1020/5110262618,29 Jun 2023,"367,498.59",,,,,
SURFACE TRANSPORT CORP,TELENT TECHNOLOGY SERVICES LTD,Connect PFI Service Costs,1002/5110285767,28 Jun 2023,"364,470.02",,,,,
TRANSPORT TRADING LTD,EDF ENERGY,Electricity,1004/1901695363,27 Jun 2023,"358,019.84",,,,,
DOCKLANDS LIGHT RAILWAY,TIFLEX LTD,Maintenance Materials,1012/5110286498,05 Jul 2023,"352,298.88",,,,,
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004/800048351,29 Jun 2023,"346,730.00",,,,,
LONDON UNDERGROUND LTD,EDF ENERGY,Electricity,1005/1900263816,12 Jul 2023,"332,383.21",,,,,
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,Road Maintenance,1002/5110302497,18 Jul 2023,"332,352.70",,,,,
LONDON UNDERGROUND LTD,1STINRAIL LTD,Track General Maintenance,1005/5110292107,28 Jun 2023,"329,603.03",,,,,
TFL CORPORATE,SAFETYCULTURE PTY LTD,Management & Support Consultancy,1001/5110290483,03 Jul 2023,"328,000.00",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110292797,19 Jul 2023,"325,887.43",,,,,
TRANSPORT TRADING LTD,VINCI CONSTRUCTION UK LIMITED,Building Maintenance & Repairs,1004/5110289066,29 Jun 2023,"325,380.65",,,,,
TFL CORPORATE,LEMONGRASS CONSULTING LIMITED,Computer Software,1001/5110299308,19 Jul 2023,"321,775.83",,,,,
SURFACE TRANSPORT CORP,SIEMENS MOBILITY LIMITED,Manage IT Services,1002/5110293610,05 Jul 2023,"317,003.59",,,,,
LUL NOMINEE BCV LIMITED,GLOBAL MEDIA GROUP SERVICES LTD,Escalators,1033/5110287157,05 Jul 2023,"315,819.00",,,,,
TRANSPORT TRADING LTD,VINCI CONSTRUCTION UK LIMITED,Building Maintenance & Repairs,1004/5110286516,05 Jul 2023,"314,160.63",,,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Materials - Contractor,1005/5110294013,29 Jun 2023,"312,824.11",,,,,
SURFACE TRANSPORT CORP,BT REPAYMENTS/OPENREACH,Civil Engineering Construction Works,1002/5110284629,28 Jun 2023,"307,709.78",,,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Materials - Contractor,1005/5110303749,20 Jul 2023,"305,282.67",,,,,
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,Road Maintenance,1002/5110302495,18 Jul 2023,"305,187.96",,,,,
RFL (IINFRASTRUCTURE) LTD,GB RAILFREIGHT LTD,Vehicle Repairs & Maintenance,1025/5110294781,04 Jul 2023,"301,340.53",,,,,
LONDON UNDERGROUND LTD,MORGAN SINDALL CON. & INFRA JV BEMO,Civil Engineering Construction Works,1005/5110298323,12 Jul 2023,"297,756.94",,,,,
LONDON UNDERGROUND LTD,EDF ENERGY,Electricity,1005/1900263031,03 Jul 2023,"296,117.18",,,,,
SURFACE TRANSPORT CORP,FRASERS (CENTRAL HOUSE) LTD,Other Joint Funding Contributions,1002/1900075696,04 Jul 2023,"294,600.00",,,,,
DOCKLANDS LIGHT RAILWAY,UK POWER NETWORKS SERVICES (CO) LTD,Civil Engineering Construction Works,1012/5110298227,10 Jul 2023,"292,415.69",,,,,
LONDON UNDERGROUND LTD,TELEFONIKA KABLE SA,Electrical Equipment Maintenance,1005/5110282660,06 Jul 2023,"292,326.96",,,,,
