Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,
Reporting Period:  5,,,,,,
Start Date:  23 July 2023,,,,,,
End Date: 19 August 2023,,,,,,
Financial Year:  2023/24,,,,,,
,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category
TFL CORPORATE,Asset Management Consulting Ltd,Staff Training,1001/5110315879,15 Aug 2023,"6,500.00",
TRANSPORT TRADING LTD,Computacenter Plc,Management & Support Consultancy,1004/5110296189,26 Jul 2023,"6,495.88",
LONDON UNDERGROUND LTD,Pablon Tools Limited,Pumps & Drainage,1005/5110313412,09 Aug 2023,"6,494.78",
LONDON UNDERGROUND LTD,South Western Railway,National Rail Qualifying Expenditure Charges,1005/5110305956,16 Aug 2023,"6,480.08",
TFL CORPORATE,INSTITUTION OF MECHANICAL ENGS,Staff Training,1001/5110307360,18 Aug 2023,"6,477.00",
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005/5110299692,09 Aug 2023,"6,476.48",
CYCLE HIRE SCHEME,Serco Ltd,Franchise/Concession Fixed Fee,1016/5110295659,26 Jul 2023,"6,476.36",
LONDON UNDERGROUND LTD,Pablon Tools Limited,Stock of Lifts and Escalators,1005/5110310948,03 Aug 2023,"6,469.45",
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005/5110295223,26 Jul 2023,"6,468.00",
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005/5110301792,09 Aug 2023,"6,468.00",
LONDON RIVER SERVICES LTD,HAYLEY GROUP PLC,Franchise/Concession Fixed Fee,1007/5110304020,16 Aug 2023,"6,466.20",
TFL CORPORATE,AECOM Limited,Management & Support Consultancy,1001/5110304598,10 Aug 2023,"6,465.93",
RFL (IINFRASTRUCTURE) LTD,Watson Fuels,Non Recyclable Waste Disposal/Refuse Collection,1025/5110284940,01 Aug 2023,"6,460.00",
RAIL FOR LONDON LIMITED,4-RAIL Services Limited,Track General Maintenance,1020/5110311639,09 Aug 2023,"6,456.63",
LUL NOMINEE SSL LIMITED,HAYLEY GROUP PLC,Stock of Fleet,1031/5110306439,26 Jul 2023,"6,456.00",
VICTORIA COACH STATN LTD,iDBUS,VCS Repayments & Commission,1008/1900004811,28 Jul 2023,"6,445.61",
LUL NOMINEE SSL LIMITED,HAYLEY GROUP PLC,Fleet,1031/5110296901,26 Jul 2023,"6,442.80",
TRANSPORT TRADING LTD,LONDON BOROUGH OF ISLINGTON,Rates,1004/1901696372,01 Aug 2023,"6,442.00",
RAIL FOR LONDON LIMITED,BDB Pitmans LLP,MR Construction Costs,1020/5110315139,14 Aug 2023,"6,440.40",
LONDON BUS SERVICES LTD,EE Limited,Radio Systems Equipment & Maintenance,1006/5110300726,07 Aug 2023,"6,429.61",
TFL CORPORATE,Telent Technology Services Ltd,Computer Software,1001/5110307856,31 Jul 2023,"6,418.78",
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Fleet,1005/5110299669,07 Aug 2023,"6,411.50",
LONDON UNDERGROUND LTD,JOHN BRADLEY & SON (SPRINGS) LTD,Stock Of Track,1005/5110293879,24 Jul 2023,"6,408.30",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Building Maintenance & Repairs,1005/5110304188,01 Aug 2023,"6,400.90",
LONDON UNDERGROUND LTD,Depot Rail Ltd,Plant & Equipment Purchases,1005/5110313531,11 Aug 2023,"6,400.70",
RFL (IINFRASTRUCTURE) LTD,NSAR LIMITED,Staff Training,1025/5110308615,09 Aug 2023,"6,398.00",
TTL PROPERTIES LTD,Wildwood Creative LLP,Management & Support Consultancy,1040/5110312933,09 Aug 2023,"6,395.00",
TFL CORPORATE,Investigo,Management & Support Consultancy,1001/5110311549,10 Aug 2023,"6,390.00",
LUL NOMINEE SSL LIMITED,WECS PRECISION LTD,Stock of Fleet,1031/5110310017,02 Aug 2023,"6,384.00",
TRANSPORT TRADING LTD,LONDON BOROUGH OF LAMBETH,Rates,1004/1901696380,01 Aug 2023,"6,384.00",
LONDON UNDERGROUND LTD,Solution Rail Limited,Research & Study Fees,1005/5110303781,24 Jul 2023,"6,356.76",
SURFACE TRANSPORT CORP,MK Surveys,Professional Engineering Services,1002/5110307316,01 Aug 2023,"6,350.00",
SURFACE TRANSPORT CORP,Ashurst LLP,Legal Fees,1002/5110312134,07 Aug 2023,"6,338.00",
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900179163,26 Jul 2023,"6,328.50",
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900180266,02 Aug 2023,"6,328.50",
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900181459,09 Aug 2023,"6,328.50",
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900182573,16 Aug 2023,"6,328.50",
RAIL FOR LONDON LIMITED,Ground Transportation Systems UKLtd,Management & Support Consultancy,1020/5110305673,16 Aug 2023,"6,324.00",
LONDON UNDERGROUND LTD,NORTON & ASSOCIATES LTD,Track General Maintenance,1005/5110313401,11 Aug 2023,"6,320.00",
SURFACE TRANSPORT CORP,ComCab (London) Limited,Vehicle Purchases,1002/5110307436,31 Jul 2023,"6,317.55",
TRANSPORT TRADING LTD,LONDON BOROUGH OF NEWHAM,Rates,1004/1901696287,01 Aug 2023,"6,312.00",
TFL CORPORATE,VCCP Group LLP,Production Artwork And Design For Marketing,1001/5110298139,01 Aug 2023,"6,305.02",
LUL NOMINEE SSL LIMITED,Electromech RS Ltd,Component Repairs Sub Contracted,1031/5110304357,25 Jul 2023,"6,305.00",
LUL NOMINEE SSL LIMITED,Electromech RS Ltd,Component Repairs Sub Contracted,1031/5110304828,03 Aug 2023,"6,305.00",
RAIL FOR LONDON LIMITED,Ground Transportation Systems UKLtd,Management & Support Consultancy,1020/5110308478,31 Jul 2023,"6,289.25",
LONDON UNDERGROUND LTD,Pullman Rail Ltd,Fleet,1005/5110311573,07 Aug 2023,"6,285.91",
TFL CORPORATE,Insight Executive Group Limited,Management & Support Consultancy,1001/5110303846,01 Aug 2023,"6,250.00",
TFL CORPORATE,Insight Executive Group Limited,Management & Support Consultancy,1001/5110303847,01 Aug 2023,"6,250.00",
LONDON UNDERGROUND LTD,Alstom Engineering & Services LTD,Signalling Systems,1005/5110295630,26 Jul 2023,"6,250.00",
LONDON UNDERGROUND LTD,KETECH SYSTEMS LTD,Vehicle Repairs & Maintenance,1005/5110307211,27 Jul 2023,"6,244.51",
LONDON UNDERGROUND LTD,KETECH SYSTEMS LTD,Vehicle Repairs & Maintenance,1005/5110317318,18 Aug 2023,"6,244.51",
LONDON UNDERGROUND LTD,TRACKWORK RESOURCES LTD,Track General Maintenance,1005/5110310828,03 Aug 2023,"6,240.08",
LONDON UNDERGROUND LTD,EYEDOT (EUROPE) LTD,Maintenance Materials,1005/5110296616,24 Jul 2023,"6,222.00",
LONDON UNDERGROUND LTD,COMECH METROLOGY,Plant & Equipment Purchases,1005/5110307440,28 Jul 2023,"6,212.43",
TFL CORPORATE,Thomas Editorial Limited,Management & Support Consultancy,1001/5110315996,15 Aug 2023,"6,200.00",
RAIL FOR LONDON LIMITED,Houghton International,Stock of Fleet,1020/5110306003,08 Aug 2023,"6,197.82",
RAIL FOR LONDON LIMITED,Houghton International,Stock of Fleet,1020/5110306006,08 Aug 2023,"6,197.82",
LONDON UNDERGROUND LTD,PROGRESS RAIL SERVICES UK LTD,Track General Maintenance,1005/5110297226,26 Jul 2023,"6,186.00",
LONDON UNDERGROUND LTD,Delatim Limited,MR Construction Costs,1005/5110304926,24 Jul 2023,"6,173.21",
TRANSPORT TRADING LTD,LONDON BOROUGH OF NEWHAM,Rates,1004/1901696288,01 Aug 2023,"6,171.00",
TRANSPORT TRADING LTD,LONDON BOROUGH OF CAMDEN,Rates,1004/1901696301,01 Aug 2023,"6,171.00",
TFL CORPORATE,Investigo,Management & Support Consultancy,1001/5110314535,15 Aug 2023,"6,165.00",
LT MUSEUM TRADING LTD,Mosaic Fulfilment Solutions,LTM Warehousing & Packaging,1024/5110311679,04 Aug 2023,"6,154.08",
LONDON TRANSPORT MUSEUM,Safeguard Pest Control,Health & Safety Pest Control,1011/5110304905,25 Jul 2023,"6,140.00",
RAIL FOR LONDON LIMITED,O2 UK Limited,Telephony Mobile,1020/1900008168,24 Jul 2023,"6,126.61",
LUL NOMINEE SSL LIMITED,Electromech RS Ltd,Component Repairs Sub Contracted,1031/5110304360,25 Jul 2023,"6,105.00",
LONDON RIVER SERVICES LTD,VINCI Construction UK Limited,Building Maintenance & Repairs,1007/5110294897,26 Jul 2023,"6,100.85",
LONDON UNDERGROUND LTD,MCNEALY BROWN LTD,Stock of Signals and Electricals,1005/5110306465,28 Jul 2023,"6,090.30",
LONDON UNDERGROUND LTD,Pablon Tools Limited,Pumps & Drainage,1005/5110311129,03 Aug 2023,"6,087.76",
LONDON UNDERGROUND LTD,Whitmore Europe Limited,Track General Maintenance,1005/5110291910,03 Aug 2023,"6,073.16",
LONDON RIVER SERVICES LTD,Port of London Authority,Franchise/Concession Fixed Fee,1007/5110297936,02 Aug 2023,"6,068.87",
SURFACE TRANSPORT CORP,Redspeed International  Ltd,PCN and Penalty Fare Processing,1002/5110303349,14 Aug 2023,"6,062.40",
TTL PROPERTIES LTD,Quill Construction Limited,Building Maintenance & Repairs,1040/5110313477,11 Aug 2023,"6,030.00",
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900178253,26 Jul 2023,"6,026.81",
SURFACE TRANSPORT CORP,Sky High Plc,Manage IT Services,1002/5110294861,07 Aug 2023,"6,016.00",
TRANSPORT TRADING LTD,PeopleScout Limited,Recruitment Expenses,1004/5110304261,16 Aug 2023,"6,015.00",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110303787,15 Aug 2023,"6,000.19",
TFL CORPORATE,Straight fwrd Communications Ltd,Advertising,1001/5110306942,31 Jul 2023,"6,000.00",
SURFACE TRANSPORT CORP,Siemens Traffic Controls,Connect PFI Service Costs,1002/5110307474,15 Aug 2023,"6,000.00",
LONDON UNDERGROUND LTD,PROGRESS RAIL SERVICES UK LTD,Stock Of Track,1005/5110302581,08 Aug 2023,"6,000.00",
TFL CORPORATE,Investigo,Management & Support Consultancy,1001/5110311052,03 Aug 2023,"6,000.00",
TFL CORPORATE,Format Consulting Ltd,Planning & Development Consultancy,1001/5110303336,15 Aug 2023,"6,000.00",
SURFACE TRANSPORT CORP,REDACTED,Legal Fees,1002/1900076125,08 Aug 2023,"6,000.00",
RAIL FOR LONDON LIMITED,O2 UK Limited,Telephony Mobile,1020/1900008235,11 Aug 2023,"5,998.98",
LONDON UNDERGROUND LTD,SCHUNK CARBON TECHNOLOGY LIMITED,Fleet,1005/5110312804,08 Aug 2023,"5,981.88",
LONDON UNDERGROUND LTD,HA MARKS LTD,Building Maintenance & Repairs,1005/5110313934,14 Aug 2023,"5,980.00",
TFL CORPORATE,Insight Executive Group Limited,Management & Support Consultancy,1001/5110300828,25 Jul 2023,"5,976.00",
TFL CORPORATE,DeepStore Limited,Document Archive & Storage,1001/5110312253,07 Aug 2023,"5,968.34",
LUL NOMINEE SSL LIMITED,MORGANITE ELECTRICAL CARBON LTD,Fleet,1031/5110294627,26 Jul 2023,"5,945.60",
LONDON UNDERGROUND LTD,Siemens Mobility Limited,Computer Software,1005/5110293674,25 Jul 2023,"5,937.58",
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Plant & Equipment Purchases,1005/5110305720,25 Jul 2023,"5,930.00",
LONDON UNDERGROUND LTD,Pablon Tools Limited,Signalling Systems,1005/5110311010,03 Aug 2023,"5,922.50",
DOCKLANDS LIGHT RAILWAY,Dyer & Butler Ltd,Civil Engineering Construction Works,1012/5110303727,15 Aug 2023,"5,920.46",
LONDON UNDERGROUND LTD,DIRECT TRACK SOLUTIONS LTD,Stock Of Track,1005/5110307510,31 Jul 2023,"5,920.00",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Track General Maintenance,1005/5110309946,07 Aug 2023,"5,913.00",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Track General Maintenance,1005/5110309984,07 Aug 2023,"5,913.00",
LONDON UNDERGROUND LTD,Hiremech Limited,Plant & Equipment Purchases,1005/5110310502,07 Aug 2023,"5,912.50",
SURFACE TRANSPORT CORP,CSTS Ltd,Connect PFI Service Costs,1002/5110300140,07 Aug 2023,"5,909.01",
TFL CORPORATE,Insight Executive Group Limited,Management & Support Consultancy,1001/5110307469,11 Aug 2023,"5,900.00",
LONDON UNDERGROUND LTD,KINGSBEECH LTD,Stock of Fleet,1005/5110314584,14 Aug 2023,"5,899.00",
LUL NOMINEE SSL LIMITED,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1031/5110295778,26 Jul 2023,"5,898.00",
LUL NOMINEE SSL LIMITED,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1031/5110295994,26 Jul 2023,"5,893.68",
TFL CORPORATE,Adfield Harvey Ltd,Advertising,1001/5110305664,26 Jul 2023,"5,878.90",
LONDON UNDERGROUND LTD,South Western Railway,National Rail Qualifying Expenditure Charges,1005/5110305950,16 Aug 2023,"5,854.62",
LONDON BUS SERVICES LTD,Corporate Document Services Ltd,Production Artwork And Design For Marketing,1006/5110308094,02 Aug 2023,"5,852.48",
LONDON BUS SERVICES LTD,Brightly Software Limted,Computer Software,1006/5110314186,17 Aug 2023,"5,850.00",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110304440,02 Aug 2023,"5,832.00",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD ,Bus Contract Payments,1006/1900049257,04 Aug 2023,"5,819.41",
RAIL FOR LONDON LIMITED,Atlas Rail Ltd,Plant & Equipment Purchases,1020/5110311384,04 Aug 2023,"5,817.00",
LUL NOMINEE SSL LIMITED,Electromech RS Ltd,Component Repairs Sub Contracted,1031/5110304428,25 Jul 2023,"5,805.00",
CYCLE HIRE SCHEME,VCCP Group LLP,Production Artwork And Design For Marketing,1016/5110298132,01 Aug 2023,"5,800.00",
TRANSPORT TRADING LTD,Harris Installations Services Ltd,Furniture & Equipment,1004/5110315953,18 Aug 2023,"5,799.60",
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Maintenance Materials,1005/5110300152,02 Aug 2023,"5,799.60",
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Maintenance Materials,1005/5110300588,02 Aug 2023,"5,799.60",
LONDON UNDERGROUND LTD,TEW Plus Ltd,MR Construction Costs,1005/5110316616,18 Aug 2023,"5,797.36",
TFL CORPORATE,BT SERVICE AGILITY,Telephony Fixed,1001/1900182698,10 Aug 2023,"5,797.00",
LONDON UNDERGROUND LTD,Equans Services Limited,Equipment Repairs & Maintenance,1005/5110284553,08 Aug 2023,"5,796.44",
LONDON UNDERGROUND LTD,TRELLEBORG INDUSTRIAL AVS,Stock of Fleet,1005/5110283855,01 Aug 2023,"5,788.40",
LONDON UNDERGROUND LTD,TRELLEBORG INDUSTRIAL AVS,Stock of Fleet,1005/5110291301,28 Jul 2023,"5,788.40",
LONDON UNDERGROUND LTD,TRELLEBORG INDUSTRIAL AVS,Stock of Fleet,1005/5110293502,01 Aug 2023,"5,788.40",
LONDON UNDERGROUND LTD,TRELLEBORG INDUSTRIAL AVS,Stock of Fleet,1005/5110294952,01 Aug 2023,"5,788.40",
CYCLE HIRE SCHEME,VCCP Group LLP,Production Artwork And Design For Marketing,1016/5110300643,07 Aug 2023,"5,779.00",
LONDON UNDERGROUND LTD,Pullman Rail Ltd,Fleet,1005/5110306144,25 Jul 2023,"5,763.33",
LUL NOMINEE BCV LIMITED,Konecranes Demag UK Ltd,Plant & Equipment Purchases,1033/5110299851,02 Aug 2023,"5,760.00",
LONDON UNDERGROUND LTD,BT SERVICE AGILITY,Telephony Fixed,1005/1900265251,17 Aug 2023,"5,750.50",
LONDON UNDERGROUND LTD,Biffa Waste Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110303276,09 Aug 2023,"5,750.36",
LUL NOMINEE SSL LIMITED,C E F,Electrical Equipment Maintenance,1031/5110310086,16 Aug 2023,"5,749.00",
TRANSPORT TRADING LTD,CITY OF LONDON ,Rates,1004/1901696309,01 Aug 2023,"5,733.00",
LONDON UNDERGROUND LTD,Daisy Corporate Services TradingLtd,Computer Hardware,1005/5110294810,26 Jul 2023,"5,731.00",
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110299408,02 Aug 2023,"5,725.19",
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110303244,14 Aug 2023,"5,725.19",
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110305842,16 Aug 2023,"5,725.19",
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110305844,16 Aug 2023,"5,725.19",
TRANSPORT TRADING LTD,Harris Installations Services Ltd,Furniture & Equipment,1004/5110310799,08 Aug 2023,"5,722.50",
LONDON UNDERGROUND LTD,A&A Electrical Distributors Ltd,Stock of Fleet,1005/5110316704,18 Aug 2023,"5,715.00",
LONDON UNDERGROUND LTD,Musgrove Ltd,Fleet,1005/5110317137,18 Aug 2023,"5,712.00",
RAIL FOR LONDON LIMITED,EE Limited,Computer Hardware,1020/5110315068,15 Aug 2023,"5,706.00",
LONDON UNDERGROUND LTD,HAWKER SIDDELEY SWITCHGEAR LTD,Stock of Other Spares,1005/5110251168,28 Jul 2023,"5,700.00",
LUL NOMINEE BCV LIMITED,Bio-Circle Surface Technology Ltd,Equipment Repairs & Maintenance,1033/5110299869,07 Aug 2023,"5,700.00",
LONDON UNDERGROUND LTD,Xylem Water Solutions UK Ltd,Stock of Lifts and Escalators,1005/5110295204,26 Jul 2023,"5,691.75",
LONDON UNDERGROUND LTD,BRITISH SAFETY COUNCIL,Staff Training,1005/5110243550,15 Aug 2023,"5,690.50",
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110303254,14 Aug 2023,"5,687.19",
SURFACE TRANSPORT CORP,T-Kartor Content Management AB,Street Furniture,1002/5110295502,28 Jul 2023,"5,684.00",
LONDON UNDERGROUND LTD,TRELLEBORG INDUSTRIAL AVS,Stock of Fleet,1005/5110263796,01 Aug 2023,"5,657.60",
LONDON UNDERGROUND LTD,TRELLEBORG INDUSTRIAL AVS,Stock of Fleet,1005/5110263822,31 Jul 2023,"5,657.60",
LONDON UNDERGROUND LTD,TRELLEBORG INDUSTRIAL AVS,Stock of Fleet,1005/5110278298,31 Jul 2023,"5,657.60",
LUL NOMINEE SSL LIMITED,SOUTH EAST SUPPLIES LTD,Fleet,1031/5110309366,01 Aug 2023,"5,657.20",
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110299415,02 Aug 2023,"5,649.19",
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110299417,02 Aug 2023,"5,649.19",
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110303241,14 Aug 2023,"5,649.19",
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110303243,14 Aug 2023,"5,649.19",
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110303245,14 Aug 2023,"5,649.19",
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110303247,14 Aug 2023,"5,649.19",
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110303249,14 Aug 2023,"5,649.19",
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110303252,14 Aug 2023,"5,649.19",
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110303253,14 Aug 2023,"5,649.19",
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110306719,16 Aug 2023,"5,649.19",
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110306723,16 Aug 2023,"5,649.19",
LONDON UNDERGROUND LTD,BRITISH SAFETY COUNCIL,Staff Training,1005/5110314774,11 Aug 2023,"5,646.00",
LONDON UNDERGROUND LTD,COMECH METROLOGY,Plant & Equipment Purchases,1005/5110311159,04 Aug 2023,"5,638.46",
SURFACE TRANSPORT CORP,Gleeds Cost Management Limited,Professional Engineering Services,1002/5110299395,26 Jul 2023,"5,624.40",
LONDON UNDERGROUND LTD,ALSTOM TRANSPORT LTD,Fleet,1005/5110303352,26 Jul 2023,"5,622.00",
LONDON UNDERGROUND LTD,UNIPART RAIL LTD,Stock of Fleet,1005/5110303716,15 Aug 2023,"5,616.00",
RAIL FOR LONDON LIMITED,EE Limited,Computer Hardware,1020/5110315072,15 Aug 2023,"5,613.81",
SURFACE TRANSPORT CORP,MediaEdge:CIA,Management & Support Consultancy,1002/5110301923,28 Jul 2023,"5,606.86",
LUL NOMINEE SSL LIMITED,Electromech RS Ltd,Component Repairs Sub Contracted,1031/5110304919,04 Aug 2023,"5,605.00",
LUL NOMINEE SSL LIMITED,Electromech RS Ltd,Component Repairs Sub Contracted,1031/5110304921,03 Aug 2023,"5,605.00",
LUL NOMINEE SSL LIMITED,Electromech RS Ltd,Component Repairs Sub Contracted,1031/5110307346,01 Aug 2023,"5,605.00",
LUL NOMINEE SSL LIMITED,Electromech RS Ltd,Component Repairs Sub Contracted,1031/5110310896,04 Aug 2023,"5,605.00",
LUL NOMINEE SSL LIMITED,Electromech RS Ltd,Component Repairs Sub Contracted,1031/5110312982,09 Aug 2023,"5,605.00",
SURFACE TRANSPORT CORP,Pell Frischmann Consultants Ltd,Professional Engineering Services,1002/5110306133,16 Aug 2023,"5,600.00",
LONDON UNDERGROUND LTD,Wisen Innovation,Civil Engineering Construction Works,1005/5110310942,04 Aug 2023,"5,593.00",
SURFACE TRANSPORT CORP,O2 UK Limited,Telephony Mobile,1002/5110306575,17 Aug 2023,"5,592.00",
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Plant & Equipment Purchases,1005/5110301029,09 Aug 2023,"5,589.12",
RAIL FOR LONDON LIMITED,CPC Project Services LLP,Management & Support Consultancy,1020/5110313342,18 Aug 2023,"5,580.00",
SURFACE TRANSPORT CORP,MediaEdge:CIA,Advertising,1002/5110301927,28 Jul 2023,"5,576.57",
LONDON UNDERGROUND LTD,CEC HEATING SERVICES,Vehicle Repairs & Maintenance,1005/5110307058,01 Aug 2023,"5,564.00",
LONDON UNDERGROUND LTD,CEC HEATING SERVICES,Vehicle Repairs & Maintenance,1005/5110307798,01 Aug 2023,"5,564.00",
SURFACE TRANSPORT CORP,Senator International Ltd,Furniture & Equipment,1002/5110303660,15 Aug 2023,"5,562.48",
LONDON UNDERGROUND LTD,ARK Signalling Consultancy,Professional Engineering Services,1005/5110299394,08 Aug 2023,"5,561.00",
LONDON UNDERGROUND LTD,VOITH TURBO LTD,Fleet,1005/5110306499,28 Jul 2023,"5,559.04",
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Fleet,1005/5110306497,26 Jul 2023,"5,557.50",
LONDON UNDERGROUND LTD,Grosvenor Contracts Leasing Limited,Vehicle Operating Leases,1005/5110294241,27 Jul 2023,"5,557.09",
TRANSPORT TRADING LTD,O2 UK Limited,Telephony Mobile,1004/1901696530,11 Aug 2023,"5,556.45",
RAIL FOR LONDON LIMITED,EE Limited,Computer Hardware,1020/5110315070,15 Aug 2023,"5,545.53",
SURFACE TRANSPORT CORP,REDACTED,Legal Fees,1002/1900076311,07 Aug 2023,"5,540.00",
SURFACE TRANSPORT CORP,LA International Computer Consultan,Management & Support Consultancy,1002/5110307403,07 Aug 2023,"5,517.28",
LONDON UNDERGROUND LTD,KONE PLC,Escalators,1005/5110308550,31 Jul 2023,"5,511.88",
SURFACE TRANSPORT CORP,Wragge & Co,Legal Fees,1002/1900076119,28 Jul 2023,"5,511.00",
LONDON UNDERGROUND LTD,Grosvenor Contracts Leasing Limited,Operating Lease Expense - Motor Vehicles,1005/5110294179,27 Jul 2023,"5,510.78",
RAIL FOR LONDON LIMITED,Equans Services Limited,Fire and Safety Equipment,1020/5110301103,02 Aug 2023,"5,508.60",
LONDON UNDERGROUND LTD,Templestock,Furniture & Equipment,1005/5110316608,16 Aug 2023,"5,500.00",
TTL PROPERTIES LTD,Momentum Transport Planning Ltd,Property development costs,1040/5110312333,07 Aug 2023,"5,500.00",
TFL CORPORATE,Investigo,Management & Support Consultancy,1001/5110316154,15 Aug 2023,"5,500.00",
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900178251,26 Jul 2023,"5,496.98",
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900179356,02 Aug 2023,"5,496.98",
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900180718,09 Aug 2023,"5,496.98",
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900181855,16 Aug 2023,"5,496.98",
LONDON UNDERGROUND LTD,First Response Training and Consult,Staff Training,1005/5110309369,03 Aug 2023,"5,490.00",
LONDON UNDERGROUND LTD,COMECH METROLOGY,Plant & Equipment Purchases,1005/5110308488,31 Jul 2023,"5,480.12",
TFL CORPORATE,VCCP Group LLP,Production Artwork And Design For Marketing,1001/5110302703,09 Aug 2023,"5,478.13",
TFL CORPORATE,Quay Office Furnishers Ltd,Office Accommodation Moves,1001/5110315127,16 Aug 2023,"5,475.00",
LONDON UNDERGROUND LTD,NORTON & ASSOCIATES LTD,Civil Engineering Construction Works,1005/5110297465,25 Jul 2023,"5,475.00",
TFL CORPORATE,Investigo,Management & Support Consultancy,1001/5110316093,15 Aug 2023,"5,468.75",
VICTORIA COACH STATN LTD,VINCI Construction UK Limited,Building Maintenance & Repairs,1008/5110294903,26 Jul 2023,"5,466.66",
TRANSPORT TRADING LTD,CITY OF LONDON ,Rates,1004/1901696307,01 Aug 2023,"5,460.00",
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT,Fleet,1005/5110251877,09 Aug 2023,"5,456.30",
TTL PROPERTIES LTD,Commander Building Services Limited,Building Maintenance & Repairs,1040/5110294662,26 Jul 2023,"5,456.22",
LONDON UNDERGROUND LTD,COMECH METROLOGY,Plant & Equipment Purchases,1005/5110308484,31 Jul 2023,"5,448.64",
LONDON UNDERGROUND LTD,Tidyco Ltd,Fleet,1005/5110297144,26 Jul 2023,"5,445.44",
TFL CORPORATE,Harris Installations Services Ltd,Furniture & Equipment,1001/5110313576,14 Aug 2023,"5,444.80",
LUL NOMINEE SSL LIMITED,KNORR-BREMSE RAIL SYSTEMS LTD,Stock of Fleet,1031/5110302475,09 Aug 2023,"5,444.30",
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Protective Clothing,1005/5110252222,27 Jul 2023,"5,441.70",
LONDON UNDERGROUND LTD,PSV GLASS - (ABL HOLDING) LTD,Vehicle Repairs & Maintenance,1005/5110309245,01 Aug 2023,"5,430.00",
RFL (IINFRASTRUCTURE) LTD,Lanes Group plc,Building Maintenance & Repairs,1025/5110306540,18 Aug 2023,"5,428.76",
TRANSPORT TRADING LTD,LONDON BOROUGH OF SOUTHWARK,Rates,1004/1901696319,01 Aug 2023,"5,426.00",
