Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,
Reporting Period:  11,,,,,,,,,
Start Date: 07/01/2024,,,,,,,,,
End Date: 03/02/2024,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,
,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006/1900049844,19-Jan-24,"6,898,208.99",,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006/1900049831,19-Jan-24,"6,776,089.82",,,,
TRANSPORT TRADING LTD,HEATHROW EXPRESS ,JFT Suspense  - TTL,1004/1901700417,17-Jan-24,"6,421,333.44",,,,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004/5110391973,22-Jan-24,"5,726,814.30",,,,
TFL CORPORATE,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1001/5110370579,09-Jan-24,"5,654,342.95",,,,
TFL CORPORATE,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1001/5110382103,17-Jan-24,"5,654,342.95",,,,
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006/1900049918,02-Feb-24,"5,258,290.13",,,,
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006/1900049843,19-Jan-24,"4,898,256.33",,,,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900049829,19-Jan-24,"4,789,050.27",,,,
LONDON BUS SERVICES LTD,Metrobus Limited,Bus Contract Payments,1006/1900049841,19-Jan-24,"4,640,726.41",,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900049906,02-Feb-24,"4,538,584.86",,,,
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006/1900049913,02-Feb-24,"4,420,253.53",,,,
LONDON BUS SERVICES LTD,Blue Triangle Buses Ltd,Bus Contract Payments,1006/1900049832,19-Jan-24,"4,339,236.72",,,,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005/5110381729,22-Jan-24,"4,147,514.44",,,,
LONDON UNDERGROUND LTD,Dept for LevellingUp Housing&Commun,Property Letting Costs,1005/5110271945,17-Jan-24,"4,096,000.00",,,,
TRANSPORT TRADING LTD,Rail Settlement Plan,Rail Settlement Plan - PAYG Creditor,1004/1901700420,19-Jan-24,"4,008,089.65",,,,
LONDON UNDERGROUND LTD,Panasonic Marketing Europe GmbH,Contracted Services Buildings,1005/5110378582,17-Jan-24,"3,917,673.80",,,,
LONDON BUS SERVICES LTD,East London Bus & Coach Company Ltd,Bus Contract Payments,1006/1900049910,02-Feb-24,"3,875,496.10",,,,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD ,Bus Contract Payments,1006/1900049912,02-Feb-24,"3,677,813.63",,,,
LONDON BUS SERVICES LTD,London United Busways Limited,Bus Contract Payments,1006/1900049916,02-Feb-24,"3,573,434.02",,,,
RFL (IINFRASTRUCTURE) LTD,Crossrail Ltd,Traction Current,1025/5110379535,10-Jan-24,"3,293,405.25",,,,
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD ,Bus Contract Payments,1006/1900049838,19-Jan-24,"3,255,056.95",,,,
LUL NOMINEE SSL LIMITED,Ground Transportation Systems UKLtd,Signalling Systems,1031/5110394491,31-Jan-24,"3,247,575.16",,,,
SURFACE TRANSPORT CORP,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1002/5110386531,08-Jan-24,"3,010,192.01",,,,
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110384268,08-Jan-24,"2,986,181.27",,,,
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110395460,26-Jan-24,"2,857,511.18",,,,
SURFACE TRANSPORT CORP,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1002/5110386534,31-Jan-24,"2,789,807.99",,,,
TFL CORPORATE,Boldyn Networks UK Limited,Other Government Grants,1001/1700008226,18-Jan-24,"2,542,985.00",,,,
DOCKLANDS LIGHT RAILWAY,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1012/5110390614,24-Jan-24,"2,540,287.82",,,,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,TLL Lease Costs,1005/5110381741,22-Jan-24,"2,491,206.55",,,,
LONDON UNDERGROUND LTD,Balfour Beatty Group Ltd,Track General Maintenance,1005/5110388712,16-Jan-24,"2,479,522.06",,,,
LONDON UNDERGROUND LTD,Dragados S.A.,Civil Engineering Construction Works,1005/5110389638,31-Jan-24,"2,331,332.25",,,,
SURFACE TRANSPORT CORP,Siemens Traffic Controls,Contracted Services - Roads,1002/5110382439,17-Jan-24,"2,330,749.26",,,,
LONDON BUS SERVICES LTD,Stagecoach London,Bus Contract Payments,1006/1900049835,19-Jan-24,"2,307,740.07",,,,
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900049904,02-Feb-24,"2,286,584.25",,,,
SURFACE TRANSPORT CORP,Road Management Services A13 Plc,Road Maintenance,1002/5110390630,17-Jan-24,"2,273,689.43",,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006/1900049907,02-Feb-24,"2,269,888.85",,,,
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006/1900049920,02-Feb-24,"2,217,381.98",,,,
LONDON UNDERGROUND LTD,Balfour Beatty Group Ltd,Track General Maintenance,1005/5110397501,01-Feb-24,"2,185,575.49",,,,
LONDON BUS SERVICES LTD,London Transit Limited,Bus Contract Payments,1006/1900049839,19-Jan-24,"2,080,158.03",,,,
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110396811,30-Jan-24,"2,023,379.26",,,,
LUL NOMINEE BCV LIMITED,EKE-Electronics Ltd.,Maintenance Materials,1033/5110389634,19-Jan-24,"1,930,933.50",,,,
TTL PROPERTIES LTD,Earls Court Partnership Limited,Purchase of Associates Loan Notes (Activity),1040/1900007150,26-Jan-24,"1,850,000.00",,,,
SURFACE TRANSPORT CORP,MORGAN SINDALL  PLC,Road Maintenance,1002/5110386413,08-Jan-24,"1,819,705.69",,,,
RAIL FOR LONDON LIMITED,Tram Operations Limited,Franchise/Concession Fixed Fee,1020/5110385756,11-Jan-24,"1,804,361.73",,,,
SURFACE TRANSPORT CORP,Road Management Services A13 Plc,Road Maintenance,1002/5110390628,17-Jan-24,"1,634,850.00",,,,
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005/5110383885,17-Jan-24,"1,616,060.64",,,,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900049905,02-Feb-24,"1,613,964.14",,,,
RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1020/5110390732,26-Jan-24,"1,611,616.85",,,,
TFL CORPORATE,Office Of Rail Regulation,National Rail Long Term Charges,1001/5110380637,10-Jan-24,"1,593,437.50",,,,
TRANSPORT TRADING LTD,CITY OF WESTMINSTER,Rates,1004/1901700802,01-Feb-24,"1,575,640.00",,,,
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110383456,08-Jan-24,"1,526,247.62",,,,
TRANSPORT TRADING LTD,ITSO Limited,Cubic Oyster Contract Costs,1004/5110392929,30-Jan-24,"1,500,700.00",,,,
RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1020/5110386578,08-Jan-24,"1,491,189.57",,,,
LONDON BUS SERVICES LTD,Metrobus Limited,Bus Contract Payments,1006/1900049917,02-Feb-24,"1,483,589.88",,,,
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110383167,17-Jan-24,"1,480,869.63",,,,
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006/1900049919,02-Feb-24,"1,478,594.68",,,,
TTL PROPERTIES LTD,Platinum Holdco Limited,Purchase of Associates Loan Notes (Activity),1040/1900007038,18-Jan-24,"1,470,000.00",,,,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004/5110389600,18-Jan-24,"1,466,576.69",,,,
LONDON BUS SERVICES LTD,Blue Triangle Buses Ltd,Bus Contract Payments,1006/1900049908,02-Feb-24,"1,406,592.60",,,,
TFL CORPORATE,BOXXE LIMITED,Computer Software,1001/5110381634,10-Jan-24,"1,389,126.73",,,,
LONDON UNDERGROUND LTD,Balfour Beatty Group Ltd,MR Construction Costs,1005/5110392815,24-Jan-24,"1,388,931.53",,,,
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110383529,15-Jan-24,"1,325,158.50",,,,
SURFACE TRANSPORT CORP,Kier Highways Ltd t/a TarmacKier JV,Road Maintenance,1002/5110396185,31-Jan-24,"1,310,707.49",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110384508,24-Jan-24,"1,304,114.64",,,,
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110372198,25-Jan-24,"1,293,668.71",,,,
TRANSPORT TRADING LTD,Global Outdoor Media Limited,Advertising,1004/5110378390,10-Jan-24,"1,234,178.09",,,,
TFL CORPORATE,COMPUTACENTER PLC,Computer Hardware,1001/5110384682,24-Jan-24,"1,188,629.00",,,,
SURFACE TRANSPORT CORP,Siemens Traffic Controls,Contracted Services - Roads,1002/5110383440,23-Jan-24,"1,185,999.78",,,,
SURFACE TRANSPORT CORP,Ringway Infrastructure Services Ltd,Road Maintenance,1002/5110396346,31-Jan-24,"1,183,015.93",,,,
LONDON UNDERGROUND LTD,Battersea Project Phase3B DevCo Ltd,Civil Engineering Construction Works,1005/5110388303,15-Jan-24,"1,167,951.94",,,,
LONDON UNDERGROUND LTD,Telent Technology Services Ltd,Computer Software,1005/5110383075,17-Jan-24,"1,134,751.17",,,,
TFL CORPORATE,COMPUTACENTER PLC,Computer Software,1001/5110384081,24-Jan-24,"1,134,169.50",,,,
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004/800049567,11-Jan-24,"1,123,682.30",,,,
LONDON UNDERGROUND LTD,Equans Services Limited,Building Maintenance & Repairs,1005/5110378296,08-Jan-24,"1,083,750.43",,,,
SURFACE TRANSPORT CORP,ENTERPRISEMOUCHEL LTD ,Road Maintenance,1002/5110396187,31-Jan-24,"1,069,228.87",,,,
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD ,Bus Contract Payments,1006/1900049914,02-Feb-24,"1,064,447.69",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110382906,17-Jan-24,"1,046,023.11",,,,
SURFACE TRANSPORT CORP,Kier Highways Ltd t/a TarmacKier JV,Road Maintenance,1002/5110396208,31-Jan-24,"996,106.35",,,,
LONDON UNDERGROUND LTD,Lanes Group plc,Building Maintenance & Repairs,1005/5110388447,31-Jan-24,"995,059.74",,,,
RAIL FOR LONDON LIMITED,Cleshar Contract Services Limited,Fleet,1020/5110394519,01-Feb-24,"974,483.19",,,,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005/5110381726,22-Jan-24,"972,677.77",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110384521,24-Jan-24,"955,991.84",,,,
TTL PROPERTIES LTD,Herbert Smith LLP,Purchase of Land & Buildings,1040/1900007149,25-Jan-24,"937,500.00",,,,
SURFACE TRANSPORT CORP,MORGAN SINDALL  PLC,Road Maintenance,1002/5110391294,01-Feb-24,"935,412.60",,,,
DOCKLANDS LIGHT RAILWAY,UK Power Networks Services (Co) Ltd,Civil Engineering Construction Works,1012/5110386586,10-Jan-24,"914,027.72",,,,
TTL PROPERTIES LTD,HA MARKS LTD,Building Maintenance & Repairs,1040/5110386016,24-Jan-24,"881,640.88",,,,
LONDON UNDERGROUND LTD,Equans Services Limited,Building Maintenance & Repairs,1005/5110378293,08-Jan-24,"876,099.07",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110382905,17-Jan-24,"861,305.42",,,,
LONDON UNDERGROUND LTD,RMCon International GmbH,Computer Software,1005/5110377575,11-Jan-24,"861,175.00",,,,
TFL CORPORATE,Insight Direct UK Limited,Computer Software,1001/5110383780,17-Jan-24,"841,444.64",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110384485,24-Jan-24,"830,176.19",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110382907,17-Jan-24,"825,192.19",,,,
LONDON UNDERGROUND LTD,MITIE FM LIMITED,Security Services (Guards),1005/5110389635,17-Jan-24,"805,167.07",,,,
RAIL FOR LONDON LIMITED,Cleshar Contract Services Limited,Fleet,1020/5110385710,23-Jan-24,"784,453.73",,,,
LONDON BUS SERVICES LTD,Trapeze ITS Switzerland GmbH,Manage IT Services,1006/5110378499,12-Jan-24,"784,185.34",,,,
TFL CORPORATE,HCL Technologies UK Ltd,Manage IT Services,1001/5110389549,31-Jan-24,"775,000.00",,,,
SURFACE TRANSPORT CORP,EDF Energy,Electricity,1002/5110398431,01-Feb-24,"730,026.52",,,,
RFL (IINFRASTRUCTURE) LTD,Mott MacDonald Limited,Professional Engineering Services,1025/5110383428,17-Jan-24,"724,117.00",,,,
LONDON BUS SERVICES LTD,Stagecoach London,Bus Contract Payments,1006/1900049911,02-Feb-24,"707,885.16",,,,
LONDON UNDERGROUND LTD,Telent Technology Services Ltd,Maintenance of Telecommunications Equipment,1005/5110380865,08-Jan-24,"685,641.56",,,,
LONDON UNDERGROUND LTD,Telent Technology Services Ltd,Maintenance of Telecommunications Equipment,1005/5110399052,02-Feb-24,"682,083.00",,,,
LONDON UNDERGROUND LTD,1stinrail LTD,Track General Maintenance,1005/5110385872,09-Jan-24,"679,117.55",,,,
TFL CORPORATE,COMPUTACENTER PLC,Computer Hardware,1001/5110384683,24-Jan-24,"675,825.00",,,,
LONDON UNDERGROUND LTD,Cleshar Contract Services Limited,Fences & Vegetation,1005/5110380027,09-Jan-24,"671,013.54",,,,
LONDON UNDERGROUND LTD,Delatim Limited,Civil Engineering Construction Works,1005/5110378449,16-Jan-24,"658,118.68",,,,
LONDON UNDERGROUND LTD,Cleshar Contract Services Limited,Fences & Vegetation,1005/5110383791,17-Jan-24,"647,217.65",,,,
LONDON UNDERGROUND LTD,Dyer & Butler Ltd,Civil Engineering Construction Works,1005/5110377006,30-Jan-24,"643,624.82",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110384526,24-Jan-24,"639,050.72",,,,
SURFACE TRANSPORT CORP,LONDON COUNCILS,Taxicard Funding,1002/1900077976,31-Jan-24,"621,450.91",,,,
LUL NOMINEE SSL LIMITED,Ground Transportation Systems UKLtd,Signalling Systems,1031/5110394501,02-Feb-24,"618,938.35",,,,
SURFACE TRANSPORT CORP,Yunex Limited,Road Maintenance,1002/5110397271,31-Jan-24,"613,929.21",,,,
LONDON UNDERGROUND LTD,Schweerbau Gmbh & Co.KG *paid bacs*,Maintenance Materials,1005/5110381402,15-Jan-24,"612,049.22",,,,
SURFACE TRANSPORT CORP,P Ducker Systems Ltd,Computer Software,1002/5110390230,17-Jan-24,"611,896.92",,,,
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110396100,31-Jan-24,"587,334.88",,,,
LONDON UNDERGROUND LTD,Cleshar Contract Services Limited,Fences & Vegetation,1005/5110380023,09-Jan-24,"578,658.25",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110384516,24-Jan-24,"562,242.50",,,,
LONDON UNDERGROUND LTD,Cleshar Contract Services Limited,Fences & Vegetation,1005/5110383786,17-Jan-24,"558,903.52",,,,
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110385425,08-Jan-24,"547,956.89",,,,
SURFACE TRANSPORT CORP,TAYLOR WOODROW INFRASTRUCTURE LTD,Road Maintenance,1002/5110396126,31-Jan-24,"544,064.28",,,,
TFL CORPORATE,Boldyn Networks UK Limited,Maintenance of Telecommunications Equipment,1001/5110385942,10-Jan-24,"534,917.64",,,,
SURFACE TRANSPORT CORP,Ringway Infrastructure Services Ltd,Road Maintenance,1002/5110396156,31-Jan-24,"524,487.11",,,,
LONDON UNDERGROUND LTD,MULALLEY & CO LTD,Civil Engineering Construction Works,1005/5110391058,18-Jan-24,"518,980.76",,,,
DOCKLANDS LIGHT RAILWAY,Dyer & Butler Ltd,Civil Engineering Construction Works,1012/5110390726,24-Jan-24,"512,668.49",,,,
TRANSPORT TRADING LTD,MITIE FM LIMITED,Security Services (Guards),1004/5110377593,15-Jan-24,"511,980.72",,,,
LONDON UNDERGROUND LTD,TURNER & TOWNSEND PROJECT MANAGEMEN,Professional Engineering Services,1005/5110382550,17-Jan-24,"508,953.00",,,,
LONDON BUS SERVICES LTD,SULLIVAN BUS & COACH LIMITED,Bus Contract Payments,1006/1900049845,19-Jan-24,"508,835.08",,,,
LONDON UNDERGROUND LTD,Cleshar Contract Services Limited,Track General Maintenance,1005/5110387486,10-Jan-24,"505,756.78",,,,
LONDON UNDERGROUND LTD,Cleshar Contract Services Limited,Track General Maintenance,1005/5110397288,31-Jan-24,"503,429.13",,,,
SURFACE TRANSPORT CORP,Kier Highways Ltd t/a TarmacKier JV,Road Maintenance,1002/5110396116,31-Jan-24,"500,516.62",,,,
SURFACE TRANSPORT CORP,Siemens Traffic Controls,Management & Support Consultancy,1002/5110383435,17-Jan-24,"497,373.29",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110384518,24-Jan-24,"495,238.52",,,,
TTL PROPERTIES LTD,CONAMAR BUILDING SERVICES LTD,Building Maintenance & Repairs,1040/5110396798,02-Feb-24,"483,808.04",,,,
LONDON UNDERGROUND LTD,Lendlease Jacobs Joint Venture,Civil Engineering Construction Works,1005/5110383367,23-Jan-24,"483,037.36",,,,
SURFACE TRANSPORT CORP,Yunex Limited,Road Maintenance,1002/5110388021,11-Jan-24,"480,194.08",,,,
LONDON BUS SERVICES LTD,Volker Fitzpatrick Ltd,Infrastructure Maintenance and Repair,1006/5110383163,10-Jan-24,"476,451.89",,,,
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110383520,10-Jan-24,"468,962.17",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110384499,24-Jan-24,"459,844.67",,,,
TFL CORPORATE,COMPUTACENTER PLC,Manage IT Services,1001/5110384677,24-Jan-24,"450,954.99",,,,
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005/5110395474,26-Jan-24,"448,971.48",,,,
TFL CORPORATE,COMPUTACENTER PLC,Manage IT Services,1001/5110384678,24-Jan-24,"445,031.79",,,,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,1st Outgoing BACS,1012/2000118564,02-Feb-24,"441,799.25",,,,
SURFACE TRANSPORT CORP,EDF Energy,Electricity,1002/5110398456,01-Feb-24,"439,364.42",,,,
LONDON UNDERGROUND LTD,KONE PLC,Escalators,1005/5110390933,17-Jan-24,"439,068.68",,,,
LONDON UNDERGROUND LTD,KONE PLC,Escalators,1005/5110390920,17-Jan-24,"439,068.68",,,,
LONDON UNDERGROUND LTD,GPX Engineering Ltd,Track General Maintenance,1005/5110386625,08-Jan-24,"431,830.44",,,,
SURFACE TRANSPORT CORP,P Ducker Systems Ltd,Computer Software,1002/5110390229,17-Jan-24,"430,841.40",,,,
RFL (IINFRASTRUCTURE) LTD,EDF Energy,Electricity,1025/1900001856,01-Feb-24,"430,822.52",,,,
DOCKLANDS LIGHT RAILWAY,Mace Operate Limited,Franchise/Concession Fixed Fee,1012/5110388877,24-Jan-24,"430,298.16",,,,
LUL NOMINEE BCV LIMITED,Siemens Mobility Limited,Signalling Systems,1033/5110382898,10-Jan-24,"428,766.84",,,,
LONDON UNDERGROUND LTD,Delatim Limited,Civil Engineering Construction Works,1005/5110389785,15-Jan-24,"426,349.64",,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Materials - Contractor,1005/5110391540,18-Jan-24,"422,770.39",,,,
LONDON UNDERGROUND LTD,O2 UK Limited,Telephony Mobile,1005/5110376834,09-Jan-24,"421,880.00",,,,
LONDON UNDERGROUND LTD,GPX Engineering Ltd,Track General Maintenance,1005/5110386649,08-Jan-24,"420,874.35",,,,
LONDON UNDERGROUND LTD,RMCon International GmbH,Software Maintenance,1005/5110377146,11-Jan-24,"419,464.00",,,,
DOCKLANDS LIGHT RAILWAY,TIFLEX LTD,Maintenance Materials,1012/5110383623,17-Jan-24,"415,960.00",,,,
TFL CORPORATE,BOXXE LIMITED,Computer Software,1001/5110388220,15-Jan-24,"409,299.63",,,,
LONDON UNDERGROUND LTD,GT GetTaxi (UK) Ltd,PCO Outsourced Services,1005/5110393744,24-Jan-24,"405,751.13",,,,
LONDON UNDERGROUND LTD,Taziker Industrial Ltd,Civil Engineering Construction Works,1005/5110391845,01-Feb-24,"404,770.00",,,,
SURFACE TRANSPORT CORP,TTC 2000 Limited,CCS Service Contract,1002/5110387186,12-Jan-24,"404,375.69",,,,
LONDON UNDERGROUND LTD,Cleshar Contract Services Limited,Operational Cleaning,1005/5110395074,25-Jan-24,"401,156.86",,,,
TRANSPORT TRADING LTD,GBM Services Limited,Office Cleaning,1004/5110384246,08-Jan-24,"400,561.97",,,,
TTL PROPERTIES LTD,NATIONAL WESTMINTSTER BANK,Bond Issue  - Deferred Costs,1040/1900006999,12-Jan-24,"400,000.00",,,,
RFL (IINFRASTRUCTURE) LTD,EDF Energy,Electricity,1025/1900001852,12-Jan-24,"397,092.21",,,,
SURFACE TRANSPORT CORP,Siemens Traffic Controls,Management & Support Consultancy,1002/5110383988,23-Jan-24,"382,800.71",,,,
LONDON BUS SERVICES LTD,London Transit Limited,Bus Contract Payments,1006/1900049915,02-Feb-24,"377,516.09",,,,
SURFACE TRANSPORT CORP,Yunex Limited,Computer Software,1002/5110377848,10-Jan-24,"374,847.00",,,,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Professional Engineering Services,1012/5110399050,02-Feb-24,"368,166.04",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110384502,24-Jan-24,"367,492.73",,,,
SURFACE TRANSPORT CORP,Telent Technology Services Ltd,Road Maintenance,1002/5110395933,01-Feb-24,"365,710.78",,,,
LONDON UNDERGROUND LTD,Lendlease Jacobs Joint Venture,Civil Engineering Construction Works,1005/5110383664,24-Jan-24,"361,448.65",,,,
TFL CORPORATE,TURNER & TOWNSEND PROJECT MANAGEMEN,Professional Engineering Services,1001/5110382548,17-Jan-24,"351,075.98",,,,
DOCKLANDS LIGHT RAILWAY,Aecom Infrastructure & Envir UK Ltd,Professional Engineering Services,1012/5110390203,26-Jan-24,"349,895.95",,,,
LONDON UNDERGROUND LTD,OTIS LIMITED,Escalators,1005/5110381631,23-Jan-24,"348,277.92",,,,
LONDON UNDERGROUND LTD,OTIS LIMITED,Escalators,1005/5110381319,16-Jan-24,"342,888.45",,,,
LONDON UNDERGROUND LTD,OTIS LIMITED,Escalators,1005/5110381464,16-Jan-24,"339,024.25",,,,
LONDON UNDERGROUND LTD,GT GetTaxi (UK) Ltd,PCO Outsourced Services,1005/5110396158,31-Jan-24,"331,035.52",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110384524,24-Jan-24,"328,837.85",,,,
TRANSPORT TRADING LTD,Novacroft Direct Ltd,Cubic Oyster Contract Costs,1004/5110388072,26-Jan-24,"327,155.81",,,,
LONDON UNDERGROUND LTD,Delatim Ltd,MR Construction Costs,1005/5110389782,17-Jan-24,"327,019.16",,,,
LONDON UNDERGROUND LTD,TRACKWORK RESOURCES LTD,Track General Maintenance,1005/5110392920,23-Jan-24,"324,849.32",,,,
LONDON BUS SERVICES LTD,Volker Fitzpatrick Ltd,Infrastructure Maintenance and Repair,1006/5110396130,31-Jan-24,"318,713.36",,,,
TFL CORPORATE,Daisy Corporate Services TradingLtd,Telephony Fixed,1001/5110385681,30-Jan-24,"313,888.32",,,,
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/1900275767,18-Jan-24,"312,469.39",,,,
TFL CORPORATE,STRATEGIC RAIL CONSULTANTS LTD,Professional Engineering Services,1001/5110383935,18-Jan-24,"311,587.00",,,,
LONDON BUS SERVICES LTD,GBM Services Limited,Office Cleaning,1006/5110383677,17-Jan-24,"309,659.81",,,,
