Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,
Reporting Period:  12,,,,,,
Start Date:  04 February 2024,,,,,,
End Date: 02 March 2024,,,,,,
Financial Year:  2023/24,,,,,,
,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category
TRANSPORT TRADING LTD,Rail Settlement Plan,Rail Settlement Plan - PAYG Creditor,1004/1901701059,16/02/2024,"£5,438,648",
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006/1900050035,01/03/2024,"£5,298,258",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900049948,16/02/2024,"£5,192,593",
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006/1900049962,16/02/2024,"£4,885,134",
LONDON BUS SERVICES LTD,Metrobus Limited,Bus Contract Payments,1006/1900049960,16/02/2024,"£4,613,658",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900050023,01/03/2024,"£4,548,014",
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006/1900050030,01/03/2024,"£4,442,159",
LONDON BUS SERVICES LTD,Blue Triangle Buses Ltd,Bus Contract Payments,1006/1900049951,16/02/2024,"£4,377,168",
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005/5110396188,21/02/2024,"£4,147,514",
LONDON BUS SERVICES LTD,East London Bus & Coach Company Ltd,Bus Contract Payments,1006/1900050027,01/03/2024,"£3,963,696",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD ,Bus Contract Payments,1006/1900050029,01/03/2024,"£3,647,613",
LONDON BUS SERVICES LTD,London United Busways Limited,Bus Contract Payments,1006/1900050033,01/03/2024,"£3,515,468",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD ,Bus Contract Payments,1006/1900049957,16/02/2024,"£3,369,369",
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110415036,29/02/2024,"£3,340,096",
SURFACE TRANSPORT CORP,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1002/5110402937,28/02/2024,"£3,010,192",
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110395422,05/02/2024,"£2,986,181",
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Radio Systems Equipment & Maintenance,1005/5110388307,06/02/2024,"£2,817,580",
DOCKLANDS LIGHT RAILWAY,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1012/5110401864,21/02/2024,"£2,816,185",
SURFACE TRANSPORT CORP,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1002/5110402938,28/02/2024,"£2,789,808",
LUL NOMINEE SSL LIMITED,Ground Transportation Systems UKLtd,Signalling Systems,1031/5110408977,28/02/2024,"£2,665,658",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004/5110406557,16/02/2024,"£2,502,674",
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,TLL Lease Costs,1005/5110396180,21/02/2024,"£2,491,207",
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900050021,01/03/2024,"£2,327,967",
LONDON UNDERGROUND LTD,Balfour Beatty Group Ltd,Track General Maintenance,1005/5110411612,29/02/2024,"£2,301,713",
SURFACE TRANSPORT CORP,Road Management Services A13 Plc,Road Maintenance,1002/5110403487,15/02/2024,"£2,273,689",
LONDON BUS SERVICES LTD,Stagecoach London,Bus Contract Payments,1006/1900049954,16/02/2024,"£2,257,641",
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006/1900050037,01/03/2024,"£2,240,400",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006/1900050024,01/03/2024,"£2,101,781",
LONDON BUS SERVICES LTD,London Transit Limited,Bus Contract Payments,1006/1900049958,16/02/2024,"£2,025,196",
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110411704,28/02/2024,"£1,900,616",
SURFACE TRANSPORT CORP,Tarmac Kier Joint Venture,Road Maintenance,1002/5110409409,28/02/2024,"£1,821,119",
RAIL FOR LONDON LIMITED,Tram Operations Limited,Franchise/Concession Fixed Fee,1020/5110397095,09/02/2024,"£1,810,810",
SURFACE TRANSPORT CORP,Road Management Services A13 Plc,Road Maintenance,1002/5110403483,15/02/2024,"£1,634,850",
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110395432,05/02/2024,"£1,526,248",
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006/1900050036,01/03/2024,"£1,515,160",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900050022,01/03/2024,"£1,504,985",
RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1020/5110413962,28/02/2024,"£1,488,597",
LONDON BUS SERVICES LTD,Metrobus Limited,Bus Contract Payments,1006/1900050034,01/03/2024,"£1,488,449",
SURFACE TRANSPORT CORP,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1002/5110400450,28/02/2024,"£1,461,204",
LONDON BUS SERVICES LTD,Blue Triangle Buses Ltd,Bus Contract Payments,1006/1900050025,01/03/2024,"£1,409,439",
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/1900277361,07/02/2024,"£1,386,667",
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/1900277878,22/02/2024,"£1,354,626",
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110393980,07/02/2024,"£1,325,159",
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1001/5110407351,26/02/2024,"£1,304,700",
SURFACE TRANSPORT CORP,Kier Transportation Ltd,Road Maintenance,1002/5110409434,28/02/2024,"£1,236,719",
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110410399,28/02/2024,"£1,234,014",
TRANSPORT TRADING LTD,Global Outdoor Media Limited,Advertising,1004/5110390896,13/02/2024,"£1,187,386",
LONDON UNDERGROUND LTD,Lanes Group plc,Building Maintenance & Repairs,1005/5110403995,28/02/2024,"£1,182,845",
DOCKLANDS LIGHT RAILWAY,EDF Energy,Electricity,1012/5110400979,22/02/2024,"£1,175,128",
LUL NOMINEE SSL LIMITED,Ground Transportation Systems UKLtd,Signalling Systems,1031/5110408993,01/03/2024,"£1,165,116",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110396061,26/02/2024,"£1,158,738",
LONDON UNDERGROUND LTD,Telent Technology Services Ltd,Computer Software,1005/5110388673,07/02/2024,"£1,135,711",
RAIL FOR LONDON LIMITED,EDF Energy,Electricity,1020/5110315105,16/02/2024,"£1,125,620",
LUL NOMINEE SSL LIMITED,Alstom Engineering & Services LTD,Equipment Repairs & Maintenance,1031/5110402821,09/02/2024,"£1,082,560",
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110411716,28/02/2024,"£1,080,375",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD ,Bus Contract Payments,1006/1900050031,01/03/2024,"£1,035,270",
LONDON UNDERGROUND LTD,Equans Services Limited,Building Maintenance & Repairs,1005/5110390843,09/02/2024,"£1,033,358",
DOCKLANDS LIGHT RAILWAY,EDF Energy,Electricity,1012/5110400968,07/02/2024,"£1,024,760",
LONDON UNDERGROUND LTD,MULALLEY & CO LTD,Civil Engineering Construction Works,1005/5110411570,26/02/2024,"£1,024,411",
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1001/5110407355,27/02/2024,"£1,003,957",
LONDON UNDERGROUND LTD,Dyer & Butler Ltd,Civil Engineering Construction Works,1005/5110413908,28/02/2024,"£1,002,230",
CYCLE HIRE SCHEME,Serco Ltd,Franchise/Concession Fixed Fee,1016/5110390208,07/02/2024,"£1,000,000",
SURFACE TRANSPORT CORP,Ringway Infrastructure Services Ltd,Road Maintenance,1002/5110411557,28/02/2024,"£981,839",
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005/5110396613,21/02/2024,"£972,678",
SURFACE TRANSPORT CORP,TAYLOR WOODROW INFRASTRUCTURE LTD,Road Maintenance,1002/5110411711,28/02/2024,"£944,088",
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110398405,09/02/2024,"£937,611",
LONDON UNDERGROUND LTD,NETWORK RAIL INFRASTRUCTURE,Signalling Systems,1005/5110393465,19/02/2024,"£935,365",
PUBLIC CARRIAGE OFFICE,NSL Limited,PCO Outsourced Services,1003/5110400708,07/02/2024,"£924,458",
SURFACE TRANSPORT CORP,Metropolitan Police Authority,MPS Employment Costs SM,1002/5110394589,19/02/2024,"£881,749",
LUL NOMINEE BCV LIMITED,GALLDRIS SERVICES LIMITED,Civil Engineering Construction Works,1033/5110404295,28/02/2024,"£881,029",
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004/800049797,08/02/2024,"£878,071",
LONDON BUS SERVICES LTD,Volker Fitzpatrick Ltd,Infrastructure Maintenance and Repair,1006/5110411683,28/02/2024,"£867,234",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110396049,21/02/2024,"£864,335",
LONDON UNDERGROUND LTD,Equans Services Limited,Building Maintenance & Repairs,1005/5110390846,09/02/2024,"£863,840",
RAIL FOR LONDON LIMITED,EUROQUARZ GmbH,Exchange Gain Realised,1020/2000074138,01/03/2024,"£860,470",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110396076,26/02/2024,"£850,987",
LONDON UNDERGROUND LTD,EMERSON NETWORK POWER LTD,Electrical Equipment Maintenance,1005/5110396182,09/02/2024,"£848,975",
SURFACE TRANSPORT CORP,Tarmac Kier Joint Venture,Road Maintenance,1002/5110411731,28/02/2024,"£830,531",
DOCKLANDS LIGHT RAILWAY,UK Power Networks Services (Co) Ltd,Civil Engineering Construction Works,1012/5110402155,08/02/2024,"£826,295",
LONDON UNDERGROUND LTD,Hitachi Energy UK Limited,Electrical Equipment Maintenance,1005/5110397875,06/02/2024,"£825,574",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110393399,14/02/2024,"£820,308",
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1001/5110398480,27/02/2024,"£819,983",
SURFACE TRANSPORT CORP,Metropolitan Police Authority,MPS Employment Costs SM,1002/5110393994,19/02/2024,"£814,516",
SURFACE TRANSPORT CORP,Tarmac Kier Joint Venture,Road Maintenance,1002/5110411689,28/02/2024,"£810,182",
LONDON UNDERGROUND LTD,MITIE FM LIMITED,Security Services (Guards),1005/5110401121,21/02/2024,"£805,167",
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Radio Systems Equipment & Maintenance,1005/5110388035,06/02/2024,"£795,185",
LONDON BUS SERVICES LTD,Trapeze ITS Switzerland GmbH,Manage IT Services,1006/5110398505,29/02/2024,"£784,185",
SURFACE TRANSPORT CORP,Ringway Infrastructure Services Ltd,Road Maintenance,1002/5110411727,28/02/2024,"£774,569",
LUL NOMINEE BCV LIMITED,Siemens Mobility Limited,Signalling Systems,1033/5110395436,07/02/2024,"£716,251",
SURFACE TRANSPORT CORP,EDF Energy,Electricity,1002/5110406530,22/02/2024,"£713,475",
SURFACE TRANSPORT CORP,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1002/5110400449,28/02/2024,"£709,420",
LONDON UNDERGROUND LTD,Taziker Industrial Ltd,Civil Engineering Construction Works,1005/5110399051,19/02/2024,"£684,729",
LONDON BUS SERVICES LTD,Stagecoach London,Bus Contract Payments,1006/1900050028,01/03/2024,"£681,053",
LONDON BUS SERVICES LTD,London Transit Limited,Bus Contract Payments,1006/1900050032,01/03/2024,"£670,159",
LONDON UNDERGROUND LTD,Dyer & Butler Ltd,Civil Engineering Construction Works,1005/5110387439,01/03/2024,"£653,639",
LONDON UNDERGROUND LTD,Battersea Project Phase3B DevCo Ltd,Civil Engineering Construction Works,1005/5110406922,19/02/2024,"£652,400",
SURFACE TRANSPORT CORP,GREATER LONDON AUTHORITY ,Section 159 Payments,1002/1900078324,01/03/2024,"£628,931",
LONDON UNDERGROUND LTD,Equans Services Limited,Fire and Safety Equipment,1005/5110390867,09/02/2024,"£626,406",
LONDON UNDERGROUND LTD,1stinrail LTD,Track General Maintenance,1005/5110414503,29/02/2024,"£624,607",
SURFACE TRANSPORT CORP,LONDON COUNCILS,Taxicard Funding,1002/1900078256,22/02/2024,"£609,922",
DOCKLANDS LIGHT RAILWAY,Dyer & Butler Ltd,Civil Engineering Construction Works,1012/5110406791,21/02/2024,"£605,443",
SURFACE TRANSPORT CORP,Yunex Limited,Contracted Services - Roads,1002/5110398978,28/02/2024,"£604,897",
SURFACE TRANSPORT CORP,MITIE FM LIMITED,Security Services (Guards),1002/5110407810,01/03/2024,"£600,894",
RFL (IINFRASTRUCTURE) LTD,Siemens Mobility Limited,Signalling Systems,1025/5110387668,06/02/2024,"£583,433",
RFL (IINFRASTRUCTURE) LTD,Siemens Mobility Limited,Signalling Systems,1025/5110404257,13/02/2024,"£583,433",
TTL PROPERTIES LTD,Herbert Smith LLP,Other Professional Fees,1040/1900007290,12/02/2024,"£576,440",
LONDON UNDERGROUND LTD,Taylor Woodrow Cons BAM Nuttal Ltd,Civil Engineering Construction Works,1005/5110394409,08/02/2024,"£576,187",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110396078,21/02/2024,"£569,047",
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110395408,05/02/2024,"£547,957",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110396074,26/02/2024,"£544,970",
TTL PROPERTIES LTD,HA MARKS LTD,Building Maintenance & Repairs,1040/5110393388,06/02/2024,"£527,975",
SURFACE TRANSPORT CORP,Telent Technology Services Ltd,Road Maintenance,1002/5110401225,07/02/2024,"£522,550",
LONDON UNDERGROUND LTD,Balfour Beatty Group Ltd,MR Construction Costs,1005/5110406843,21/02/2024,"£522,491",
TRANSPORT TRADING LTD,MITIE FM LIMITED,Security Services (Guards),1004/5110401134,28/02/2024,"£517,965",
TRANSPORT TRADING LTD,MITIE FM LIMITED,Security Services (Guards),1004/5110387423,06/02/2024,"£511,981",
LONDON UNDERGROUND LTD,MTR Corporation (UK) Limited,Civil Engineering Construction Works,1005/5110408766,23/02/2024,"£506,172",
SURFACE TRANSPORT CORP,MITIE FM LIMITED,Security Services (Guards),1002/5110401154,19/02/2024,"£505,729",
LONDON BUS SERVICES LTD,SULLIVAN BUS & COACH LIMITED,Bus Contract Payments,1006/1900049964,16/02/2024,"£505,250",
SURFACE TRANSPORT CORP,Yunex Limited,Contracted Services - Roads,1002/5110400034,14/02/2024,"£504,206",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110393401,14/02/2024,"£503,241",
LONDON UNDERGROUND LTD,Dragados S.A.,Civil Engineering Construction Works,1005/5110403607,28/02/2024,"£481,574",
SURFACE TRANSPORT CORP,TTC 2000 Limited,CCS Service Contract,1002/5110401332,09/02/2024,"£450,515",
RFL (IINFRASTRUCTURE) LTD,Mott MacDonald Limited,Professional Engineering Services,1025/5110394636,21/02/2024,"£448,151",
TFL CORPORATE,COMPUTACENTER PLC,Manage IT Services,1001/5110398433,27/02/2024,"£445,360",
LONDON BUS SERVICES LTD,Ringway Infrastructure Services Ltd,Road Maintenance,1006/5110411698,28/02/2024,"£444,473",
LONDON UNDERGROUND LTD,KONE PLC,MR Construction Costs,1005/5110397465,20/02/2024,"£438,668",
DOCKLANDS LIGHT RAILWAY,Octavius Infrastructure Ltd,Professional Engineering Services,1012/5110403630,14/02/2024,"£432,946",
DOCKLANDS LIGHT RAILWAY,Mace Operate Limited,Franchise/Concession Fixed Fee,1012/5110397949,21/02/2024,"£430,298",
LONDON UNDERGROUND LTD,Delatim Limited,MR Construction Costs,1005/5110396852,27/02/2024,"£426,626",
RAIL FOR LONDON LIMITED,Rhomberg Sersa UK Ltd,Civil Engineering Construction Works,1020/5110403624,12/02/2024,"£423,491",
LONDON UNDERGROUND LTD,1stinrail LTD,Track General Maintenance,1005/5110395463,06/02/2024,"£420,289",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110396072,21/02/2024,"£419,077",
TFL CORPORATE,VCCP Group LLP,Production Artwork And Design For Marketing,1001/5110396317,21/02/2024,"£418,000",
LONDON UNDERGROUND LTD,GT GetTaxi (UK) Ltd,PCO Outsourced Services,1005/5110409320,27/02/2024,"£410,909",
DOCKLANDS LIGHT RAILWAY,RTI LTD,Maintenance Materials,1012/5110408070,19/02/2024,"£409,780",
TFL CORPORATE,BOXXE LIMITED,Computer Software,1001/5110403407,14/02/2024,"£409,527",
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110393984,07/02/2024,"£408,246",
TRANSPORT TRADING LTD,GBM Services Limited,Office Cleaning,1004/5110395386,05/02/2024,"£400,562",
CYCLE HIRE SCHEME,Serco Ltd,Franchise/Concession Fixed Fee,1016/5110390210,07/02/2024,"£393,155",
LUL NOMINEE BCV LIMITED,GALLDRIS SERVICES LIMITED,Civil Engineering Construction Works,1033/5110407827,16/02/2024,"£389,575",
LONDON UNDERGROUND LTD,Enerveo Ltd,MR Construction Costs,1005/5110408145,28/02/2024,"£386,341",
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/1900277360,07/02/2024,"£376,957",
LUL NOMINEE BCV LIMITED,Alstom Engineering & Services LTD,Maintenance Materials,1033/5110404804,01/03/2024,"£375,160",
RAIL FOR LONDON LIMITED,Arriva Rail London,Franchise/Concession Fixed Fee,1020/5110378570,06/02/2024,"£372,703",
TRANSPORT TRADING LTD,VINCI Construction UK Limited,Building Maintenance & Repairs,1004/5110392842,05/02/2024,"£371,246",
LONDON UNDERGROUND LTD,Telent Technology Services Ltd,Maintenance of Telecommunications Equipment,1005/5110406739,21/02/2024,"£370,697",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110396077,21/02/2024,"£361,992",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110396065,21/02/2024,"£360,683",
SURFACE TRANSPORT CORP,Yunex Limited,Contracted Services - Roads,1002/5110399315,28/02/2024,"£342,047",
TRANSPORT TRADING LTD,EDF Energy,Electricity,1004/1901701060,22/02/2024,"£331,886",
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/1900277448,09/02/2024,"£331,592",
TFL CORPORATE,Lemongrass Consulting Limited,Computer Software,1001/5110397652,05/02/2024,"£321,777",
SURFACE TRANSPORT CORP,Yunex Limited,Road Maintenance,1002/5110411242,28/02/2024,"£320,000",
SURFACE TRANSPORT CORP,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1002/5110400540,28/02/2024,"£319,542",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110396071,21/02/2024,"£319,094",
LONDON UNDERGROUND LTD,Morgan Sindall Con. & Infra JV Bemo,Civil Engineering Construction Works,1005/5110404047,14/02/2024,"£315,955",
TFL CORPORATE,Gallagher Bassett Internat. Ltd,Claim Settlements,1001/1900211571,08/02/2024,"£310,162",
LONDON BUS SERVICES LTD,GBM Services Limited,Office Cleaning,1006/5110394528,05/02/2024,"£309,660",
LONDON UNDERGROUND LTD,Telent Technology Services Ltd,Maintenance of Telecommunications Equipment,1005/5110391496,14/02/2024,"£309,347",
TRANSPORT TRADING LTD,EDF Energy,Electricity,1004/1901700421,14/02/2024,"£304,899",
SURFACE TRANSPORT CORP,Siemens Mobility Limited,Contracted Services - Roads,1002/5110398976,28/02/2024,"£304,450",
TTL PROPERTIES LTD,Cleshar Contract Services Limited,Building Maintenance & Repairs,1040/5110394539,20/02/2024,"£304,422",
SURFACE TRANSPORT CORP,Telent Technology Services Ltd,Road Maintenance,1002/5110411013,28/02/2024,"£303,065",
SURFACE TRANSPORT CORP,Telent Technology Services Ltd,Road Maintenance,1002/5110402835,09/02/2024,"£303,065",
LONDON UNDERGROUND LTD,OTIS LIMITED,Escalators,1005/5110405063,14/02/2024,"£300,530",
TFL CORPORATE,Kantar Public UK Ltd,Research & Study Fees,1001/5110389581,07/02/2024,"£300,000",
RAIL FOR LONDON LIMITED,EDF Energy,Traction Current,1020/5110409591,22/02/2024,"£296,372",
SURFACE TRANSPORT CORP,EC Harris LLP,Computer Software,1002/5110399788,28/02/2024,"£295,000",
LONDON UNDERGROUND LTD,KONE PLC,Escalators,1005/5110401238,08/02/2024,"£290,238",
LONDON UNDERGROUND LTD,UK Power Networks Services (Co) Ltd,Electrical Equipment Maintenance,1005/5110400347,21/02/2024,"£285,563",
TTL PROPERTIES LTD,HA MARKS LTD,Building Maintenance & Repairs,1040/5110412275,28/02/2024,"£282,924",
RFL (IINFRASTRUCTURE) LTD,Inspire Structures Ltd,Building Maintenance & Repairs,1025/5110404687,19/02/2024,"£282,517",
SURFACE TRANSPORT CORP,Road Management Services A13 Plc,Road Maintenance,1002/5110403488,15/02/2024,"£280,726",
TTL PROPERTIES LTD,HA MARKS LTD,Building Maintenance & Repairs,1040/5110399905,14/02/2024,"£276,030",
TRANSPORT TRADING LTD,Wandsworth Borough Council,Photography & Video,1004/5110394545,09/02/2024,"£273,222",
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005/5110403025,09/02/2024,"£272,317",
LUL NOMINEE BCV LIMITED,Alstom Engineering & Services LTD,Maintenance Materials,1033/5110404828,14/02/2024,"£268,239",
RFL (IINFRASTRUCTURE) LTD,GB RAILFREIGHT LTD,Vehicle Repairs & Maintenance,1025/5110414513,01/03/2024,"£264,324",
LONDON UNDERGROUND LTD,Lendlease Jacobs Joint Venture,Civil Engineering Construction Works,1005/5110398463,22/02/2024,"£259,843",
DOCKLANDS LIGHT RAILWAY,MTR Corporation (UK) Limited,Civil Engineering Construction Works,1012/5110409544,21/02/2024,"£258,775",
SURFACE TRANSPORT CORP,Road Management Services A13 Plc,Retentions Control Account > 1Year,1002/1900078120,16/02/2024,"£257,405",
DOCKLANDS LIGHT RAILWAY,Aecom Infrastructure & Envir UK Ltd,Professional Engineering Services,1012/5110401239,23/02/2024,"£256,898",
SURFACE TRANSPORT CORP,Telent Technology Services Ltd,Road Maintenance,1002/5110402830,09/02/2024,"£256,865",
CYCLE HIRE SCHEME,Serco Ltd,Franchise/Concession Fixed Fee,1016/5110390167,07/02/2024,"£255,912",
DOCKLANDS LIGHT RAILWAY,Cleshar Contract Services Limited,Maintenance Materials,1012/5110396796,14/02/2024,"£252,597",
SURFACE TRANSPORT CORP,Yunex Limited,Contracted Services - Roads,1002/5110392140,14/02/2024,"£247,313",
TFL CORPORATE,Infosys Limited,IT Consultancy,1001/5110382530,08/02/2024,"£244,095",
LONDON UNDERGROUND LTD,Wingate Electrical PLC,Civil Engineering Construction Works,1005/5110408164,19/02/2024,"£241,331",
RFL (IINFRASTRUCTURE) LTD,STRATEGIC RAIL CONSULTANTS LTD,Professional Engineering Services,1025/5110410597,27/02/2024,"£240,061",
SURFACE TRANSPORT CORP,CITY OF LONDON POLICE ,MPS Employment Costs SM,1002/5110395042,14/02/2024,"£240,000",
DOCKLANDS LIGHT RAILWAY,RTI LTD,Maintenance Materials,1012/5110408066,19/02/2024,"£237,762",
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Materials - Contractor,1005/5110404133,19/02/2024,"£235,942",
LONDON UNDERGROUND LTD,Wave Utilities,Water,1005/1900278726,29/02/2024,"£234,450",
LONDON UNDERGROUND LTD,Abellio London Ltd,Franchise/Concession Fixed Fee,1005/5110371658,08/02/2024,"£233,863",
SURFACE TRANSPORT CORP,Road Management Services A13 Plc,Road Maintenance,1002/5110403486,15/02/2024,"£233,415",
LONDON UNDERGROUND LTD,Cleshar Contract Services Limited,Track General Maintenance,1005/5110402851,09/02/2024,"£231,074",
TRANSPORT TRADING LTD,Novacroft Direct Ltd,Manage IT Services,1004/5110401999,14/02/2024,"£226,519",
RAIL FOR LONDON LIMITED,Giffen Group Ltd,Infrastructure Maintenance and Repair,1020/5110411151,23/02/2024,"£221,367",
