BATCH ID,NAME VEND,INVOICEID,Line,AMT LINE , DESCRIPTION, ISSUED DATE,AMT TOTAL,Department,PRO CLASS 1
280323L     ,CMT                           ,219673,1,"6,873.20",PROTECTIVE EQUIPT - PARTS               ,03/04/2023,,Technical & Support Service,Emergency Services
040423L     ,CMT                           ,220953,1,860,PROTECTIVE EQUIPT - PARTS               ,11/04/2023,860,Technical & Support Service,Emergency Services
110423L     ,RS COMPONENTS LTD             ,2210178206,1,615.68,PURCHASE                                ,17/04/2023,840.63,Technical & Support Service,Furniture & Soft Furnishings
110423L     ,RS COMPONENTS LTD             ,2210178206,2,157.68,PURCHASE                                ,17/04/2023,,Technical & Support Service,Furniture & Soft Furnishings
110423L     ,RS COMPONENTS LTD             ,2210178206,3,21.51,PURCHASE                                ,17/04/2023,,Technical & Support Service,Furniture & Soft Furnishings
110423L     ,RS COMPONENTS LTD             ,2210178206,4,45.76,PURCHASE                                ,17/04/2023,,Technical & Support Service,Furniture & Soft Furnishings
180423B     ,RS COMPONENTS LTD             ,2210597119,1,341.32,RADIO                                   ,24/04/2023,341.32,Enterprise Application Group (ICT),ICT
120423K     ,RS COMPONENTS LTD             ,2210639826,1,751.1,RADIO                                   ,24/04/2023,751.1,Enterprise Application Group (ICT),ICT
290323L     ,STITCHTECH LIMITED            ,222041,1,"1,650.00",UNIFORMS - POMS                         ,11/04/2023,"1,650.00",Technical & Support Service,Clothing
270323K     ,STITCHTECH LIMITED            ,222083,1,105,UNIFORMS - POMS                         ,11/04/2023,311,Technical & Support Service,Clothing
270323K     ,STITCHTECH LIMITED            ,222083,2,206,UNIFORMS - POMS                         ,11/04/2023,,Technical & Support Service,Clothing
210423P     ,CORE IMS LTD                  ,23/0055,1,"7,061.24",GENERAL                                 ,27/04/2023,"7,061.24",People Services,Consultancy
050423L     ,BUREAU VERITAS                ,230003340,1,"116,480.44",SCIENTIFIC SERVICES                     ,17/04/2023,"116,480.44",Procurement,Environmental Services
030423B     ,BUREAU VERITAS                ,23003340,1,"116,480.43",SCIENTIFIC SERVICES                     ,11/04/2023,"116,480.43",Procurement,Environmental Services
903145,APPLUS LLT                    ,23019,1,"2,916.00",GENERAL                                 ,28/04/2023,"3,183.00",Technical & Support Service,Consultancy
903145,APPLUS LLT                    ,23019,2,267,GENERAL                                 ,28/04/2023,,Technical & Support Service,Consultancy
220323 PROP ,MULALLEY & CO LTD             ,2303/091,1,"7,912.31",DEVELOPMENT  EXPENSES-CONTRACT          ,03/04/2023,"7,912.31",Property Department,Consultancy
290323L     ,XACT CONSULTANCY & TRAINING LT,23-1461,1,"23,088.00",TRAINING CONTRACT - OTHER               ,11/04/2023,"23,088.00",Training and Professional Development,Human Resources
170423P     ,Adobe Systems Software Ireland,2382289702,1,575.88,SUBSCRIPTIONS                           ,20/04/2023,575.88,London Resilience Group,Financial Services
200323L     ,Coniston Ltd.                 ,24508,1,"65,242.21",DEVELOPMENT  EXPENSES-CONTRACT          ,03/04/2023,"65,242.21",Property Department,Consultancy
200323L     ,Coniston Ltd.                 ,24509,1,"122,902.86",DEVELOPMENT  EXPENSES-CONTRACT          ,03/04/2023,"122,902.86",Property Department,Consultancy
800190029,"Mitie FM Limited,             ",2.47E+13,1,715.86,REACTIVE BUILDING FABRIC                ,03/04/2023,715.86,Property Department,Works - Construction
800190044,"Mitie FM Limited,             ",2.47E+13,1,"9,540.80",PLANNED SOFT FM CONTRACT                ,03/04/2023,"13,717.21",Property Department,Facilities & Management Services
800190044,"Mitie FM Limited,             ",2.47E+13,2,"4,176.41",PLANNED SOFT FM CONTRACT                ,03/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,6,9.59,REACTIVE SOFT FM CONTRACT               ,11/04/2023,"4,441.03",Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,10,37.77,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,4,24.63,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,8,15.6,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,28,88.68,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,24,31.95,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,29,10.67,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,18,27.84,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,20,27.84,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,47,133.02,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,46,68.97,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,33,11.69,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,44,1.51,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,42,647.5,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,12,44.07,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,14,12.54,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,11,44.34,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,52,37.77,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,30,"1,127.15",REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,27,125.63,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,15,39.41,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,19,27.84,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,23,103.4,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,35,221.7,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,39,27.84,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,31,29.02,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,50,11.5,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,3,37.63,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,5,27.84,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,9,7,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,7,7.63,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,17,18.06,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,22,26.28,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,25,13.55,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,21,577.48,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,26,7.63,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,38,6.97,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,41,29.55,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,48,1.51,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,40,88.68,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,1,6.45,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,2,27.84,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,13,26.88,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,16,35.74,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,49,65.69,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,37,32.84,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,36,46.8,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,32,118.24,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,34,39.93,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,45,27.84,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,43,129.16,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190104,"Mitie FM Limited,             ",2.47E+13,51,44.34,REACTIVE SOFT FM CONTRACT               ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,1,"3,335.87",PLANNED SOFT FM CONTRACT                ,11/04/2023,"249,019.15",Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,5,"1,777.00",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,12,"1,278.03",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,14,948.03,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,9,"1,832.94",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,23,"1,679.54",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,21,"6,533.77",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,67,"4,504.30",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,27,"1,484.41",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,26,"2,613.38",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,58,"1,329.27",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,55,"1,731.87",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,57,"2,556.94",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,2,"2,035.96",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,10,"1,320.39",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,17,"1,578.01",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,20,"1,096.47",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,49,"4,955.25",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,46,"3,248.85",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,38,"3,081.29",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,52,"1,470.28",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,79,984.12,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,97,"1,091.03",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,92,"1,227.69",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,75,"1,178.88",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,74,"1,016.84",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,85,"1,880.31",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,63,"1,246.41",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,69,"4,754.06",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,94,"1,007.97",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,73,"1,679.72",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,60,"1,056.90",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,19,"1,842.26",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,62,"1,699.60",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,71,"3,162.75",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,66,"3,613.91",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,51,"2,127.29",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,36,"1,122.32",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,84,"1,647.16",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,65,"1,459.55",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,68,"1,628.75",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,96,"1,464.20",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,95,"1,211.37",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,89,"1,508.74",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,24,205.2,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,16,"1,179.18",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,28,"1,651.69",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,25,"1,877.26",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,22,"1,214.17",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,33,"1,184.35",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,32,"2,793.79",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,40,"2,277.98",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,31,"1,193.60",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,43,917.37,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,53,"1,899.07",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,64,"2,818.88",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,81,"1,607.18",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,78,"2,392.67",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,76,"1,055.80",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,77,"1,420.28",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,72,880.22,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,70,"2,333.55",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,82,"2,226.22",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,93,"1,040.02",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,88,656.43,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,83,"1,150.93",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,4,"1,756.27",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,6,"1,308.19",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,3,"1,549.48",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,11,"1,231.91",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,8,"2,298.11",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,7,"1,824.52",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,13,"1,385.44",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,29,664.27,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,18,"2,199.49",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,30,"1,274.64",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,15,812.62,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,42,856.76,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,41,"1,532.32",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,61,"1,715.89",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,39,"2,289.82",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,56,"1,433.82",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,45,"1,221.69",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,47,"1,437.68",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,35,"1,054.69",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,50,"1,265.38",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,54,746.93,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,80,"1,062.78",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,86,"2,335.43",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,59,"1,413.08",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,44,"1,100.29",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,48,959.23,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,34,798.39,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,37,943.1,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,91,"1,545.81",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,87,"52,982.50",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190108,"Mitie FM Limited,             ",2.47E+13,90,"32,039.10",PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190120,"Mitie FM Limited,             ",2.47E+13,1,157.19,PLANNED SOFT FM CONTRACT                ,11/04/2023,"10,110.63",Property Department,Facilities & Management Services
800190120,"Mitie FM Limited,             ",2.47E+13,6,83.73,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190120,"Mitie FM Limited,             ",2.47E+13,8,60.22,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190120,"Mitie FM Limited,             ",2.47E+13,11,44.67,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190120,"Mitie FM Limited,             ",2.47E+13,7,86.37,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190120,"Mitie FM Limited,             ",2.47E+13,27,79.14,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190120,"Mitie FM Limited,             ",2.47E+13,29,307.88,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190120,"Mitie FM Limited,             ",2.47E+13,95,92.01,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190120,"Mitie FM Limited,             ",2.47E+13,15,69.95,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190120,"Mitie FM Limited,             ",2.47E+13,18,123.15,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
800190120,"Mitie FM Limited,             ",2.47E+13,32,62.64,PLANNED SOFT FM CONTRACT                ,11/04/2023,,Property Department,Facilities & Management Services
