Wigan Council orgn ref E08000010,,,
Beneficiary,Date,Merchant Category,Amount (Net of VAT)
Arriva UK Bus,05/11/2020,Home To School,636.80
Asda George Com Leeds,05/05/2020,Furnished Accomodation,737.08
Asda Store 4726,10/04/2020,Equipment Furniture & Materials,500.00
Asda Superstore,11/05/2020,Equipment Furniture & Materials,"3,500.00"
Asda Superstore,15/06/2020,Equipment Furniture & Materials,500.00
Ayrefield Developments Li,24/08/2020,Payments to Private Contractors,658.33
B&m 056 - Parsonage,21/01/2022,Equipment Furniture & Materials,986.44
Baker Ross,11/01/2021,Printing & Stationery Supplies,541.76
Baker Ross,13/01/2022,Entertainment Services,"1,358.55"
Bannerbuzz.Co.Uk,09/03/2022,Marketing & Publicity,815.09
Beds 4 U,14/04/2020,Equipment Furniture & Materials,748.00
Bensonsforbedsretail,04/03/2021,Equipment Furniture & Materials,500.00
Bensonsforbedsretail,04/03/2021,Equipment Furniture & Materials,500.00
Booking.Com Bv,08/09/2021,Hospitality,"1,109.30"
Bowker Lettings,21/07/2020,Payments to Private Contractors,583.33
Bowker Lettings,19/11/2020,Payments to Private Contractors,500.00
Bowker Lettings Ltd,21/02/2022,Payments to Private Contractors,833.33
Bowker Lettings Ltd,23/03/2022,Payments to Private Contractors,791.67
Brickhouse Farm Cottages,10/04/2020,Payments to Carers,750.00
Brickhouse Farm Cottages,21/01/2021,Employee Subsistence,500.00
Britannia Hotel,03/02/2022,Payments to Private Contractors,661.00
Britannia Hotel,10/03/2022,Employee Subsistence,898.50
Britannia Hotel,10/03/2022,Payments to Private Contractors,829.00
C & D Systems Ltd,09/06/2020,Computer Software (Licences & Maintenance),820.00
Carpetright,16/03/2022,Equipment Furniture & Materials,"1,211.65"
Ccbcoffice,17/01/2022,Equipment Furniture & Materials,996.00
Ccbcoffice,10/03/2022,Equipment Furniture & Materials,664.00
Certsure Llp,03/12/2020,"Education, Training, Exam Fees",660.00
Chorley Nissan Wigan,08/03/2021,Equipment Furniture & Materials,649.00
Coptrz Ltd,08/12/2021,Equipment Furniture & Materials,"1,997.00"
Crowdfund* Crowdfunder,02/11/2021,Equipment Furniture & Materials,520.83
Crowdfund* Crowdfunder,02/12/2021,Equipment Furniture & Materials,625.00
Crowdfund* Crowdfunder,12/01/2022,Equipment Furniture & Materials,"1,000.00"
Crystal Hearing,02/11/2021,Computer Software (Licences & Maintenance),"2,580.00"
Currys Business,11/11/2021,Equipment Furniture & Materials,697.36
Currys Online,01/05/2020,Computer Equipment,822.50
Currys Online,01/05/2020,Computer Equipment,826.67
Currys Online,07/01/2021,Grants to External Bodies,636.65
Currys Online,03/09/2021,Equipment Furniture & Materials,929.00
Currys Online,08/09/2021,Grants to External Bodies,607.48
Dfs Trading Limited,03/04/2020,Equipment Furniture & Materials,"2,026.00"
Dfs Trading Limited,04/06/2020,Equipment Furniture & Materials,"1,458.00"
Dfs Trading Limited,06/07/2020,Equipment Furniture & Materials,868.00
Discover Holidays Ltd,14/08/2020,Employee Transport Costs,500
Discover Holidays Ltd,14/08/2020,Employee Transport Costs,500
Dolphin Leisure,02/11/2021,Equipment Furniture & Materials,"2,458.33"
Dootson Llp,24/08/2020,Professional Fees,978.75
E.On Energy Solutions,04/03/2021,Equipment Furniture & Materials,500.00
E.On Energy Solutions,03/12/2021,Electricity,"2,965.24"
Express Furniture,19/10/2020,Equipment Furniture & Materials,"1,114.00"
Facebk *8874u9kjn2,09/12/2021,Advertising (Non Employee),700.00
Facebk *bu8hkabkn2,17/01/2022,Advertising (Non Employee),585.38
Facebk *ehmkxabkn2,17/01/2022,Advertising (Non Employee),700.00
Facebk *fhclzc3kn2,17/03/2022,Advertising (Non Employee),695.08
Facebk *l8ez9atjn2,17/01/2022,Advertising (Non Employee),583.33
Facebk 8gn6k5ppw2,07/09/2021,Advertising (Non Employee),500.00
Facebk Ce93z8fjn2,09/12/2021,Advertising (Non Employee),700.00
Facebk Nmr7n9kjn2,09/12/2021,Advertising (Non Employee),700.00
Facebk Vcsef67qw2,07/09/2021,Advertising (Non Employee),500.00
Facebk Wgq5s8kkn2,09/11/2021,Advertising (Non Employee),700.00
Facebk Zjprttnpw2,03/09/2020,Advertising (Non Employee),600.58
Facebk Zjprttnpw2,01/10/2020,Advertising (Non Employee),600.58
Fr Jones And Son Ltd,03/07/2020,Grounds Maintenance,595.00
G2m Capital Limited,06/08/2020,Payments to Private Contractors,500
Gift Card,05/08/2020,Payments to Carers,500
Gift Card,05/08/2020,Payments to Carers,750
Gift Card,07/08/2020,Payments to Carers,500
Gift Card,04/09/2020,Payments to Carers,500.00
Gift Card,01/10/2020,Equipment Furniture & Materials,500.00
Gift Card,13/10/2020,Payments to Carers,"1,000.00"
Gift Card,04/11/2020,Payments to Carers,500.00
Gift Card,04/11/2020,Payments to Carers,750.00
Gift Card,04/11/2020,Payments to Carers,500.00
Gift Card,03/12/2020,Payments to Carers,500.00
Gift Card,03/12/2020,Payments to Carers,750.00
Gift Card,04/12/2020,Payments to Carers,750.00
Gift Card,11/01/2021,Payments to Carers,500.00
Gift Card,12/01/2021,Payments to Carers,500.00
Gift Card,12/01/2021,Payments to Carers,750.00
Gift Card,12/01/2021,Payments to Carers,500.00
Gift Card,12/01/2021,Payments to Carers,500.00
Gl-Assesment.Co.Uk,10/04/2020,"Books, Publications and Resources",942.91
Gl-Assesment.Co.Uk,14/01/2022,"Books, Publications and Resources",715.74
Gl-Assesment.Co.Uk,14/01/2022,"Books, Publications and Resources",752.64
Gl-Assesment.Co.Uk,07/03/2022,"Books, Publications and Resources",542.91
Google *ads4878110966,03/09/2020,Advertising (Non Employee),500.00
Google *ads4878110966,01/10/2020,Advertising (Non Employee),500.00
Google *ads9158817690,08/07/2020,Equipment Furniture & Materials,500.00
Google Ads9158817690,09/06/2020,Advertising (Non Employee),500.00
Google Ads9158817690,08/07/2020,Advertising (Non Employee),500.00
Google Ads9158817690,08/07/2020,Advertising (Non Employee),500.00
Google Ads9158817690,06/08/2020,Advertising (Non Employee),500
Hi Warrington - Re,08/09/2021,Payments to Private Contractors,599.00
Hi Warrington - Re,21/09/2021,Employee Subsistence,530.00
Hi Warrington - Re,21/09/2021,Employee Subsistence,530.00
Highstreetvouchers,21/01/2022,Equipment Furniture & Materials,968.30
Hmcourts-Service.G,07/01/2021,Equipment Furniture & Materials,500.00
Holiday Inn Expres,13/11/2020,Payments to Private Contractors,578.00
Holiday Inn Express Leigh,21/01/2021,Payments to Private Contractors,505.00
Holiday Inn Express Leigh,21/01/2021,Payments to Private Contractors,566.00
Holiday Inn Express Leigh,21/01/2021,Payments to Private Contractors,645.00
Holiday Inn Express Leigh,13/12/2021,Payments to Private Contractors,526.67
Holiday Inn Express Leigh,13/12/2021,Payments to Private Contractors,526.67
Holiday Inn Express Leigh,13/12/2021,Payments to Private Contractors,526.67
Holiday Inn Express Leigh,13/12/2021,Payments to Private Contractors,715.00
Holiday Inn Express Leigh,13/12/2021,Payments to Private Contractors,731.67
Holiday Inn Express Leigh,13/12/2021,Payments to Private Contractors,833.33
Holiday Inn Express Leigh,13/12/2021,Payments to Private Contractors,833.33
Holiday Inn Express Leigh,13/12/2021,Payments to Private Contractors,833.33
Holiday Inn Express Leigh,14/12/2021,Payments to Private Contractors,756.67
Holiday Inn Express Leigh,14/12/2021,Payments to Private Contractors,815.00
Holiday Inn Express Leigh,14/12/2021,Payments to Private Contractors,833.33
Holiday Inn Express Leigh,15/12/2021,Payments to Private Contractors,683.92
Holiday Inn Express Leigh,15/12/2021,Payments to Private Contractors,833.33
Holiday Inn Express Leigh,21/12/2021,Payments to Private Contractors,833.33
Holiday Inn Express Leigh,12/01/2022,Payments to Private Contractors,750.00
Holiday Inn Express Leigh,12/01/2022,Payments to Private Contractors,833.33
Holiday Inn Express Leigh,12/01/2022,Payments to Private Contractors,833.33
Holiday Inn Express Leigh,12/01/2022,Payments to Private Contractors,833.33
Holiday Inn Express Leigh,12/01/2022,Payments to Private Contractors,833.33
Holiday Inn Express Leigh,17/01/2022,Payments to Private Contractors,840.83
Holiday Inn Express Leigh,03/02/2022,Equipment Furniture & Materials,618.00
Holiday Inn Express Leigh,21/02/2022,Payments to Private Contractors,500.00
Holiday Inn Express Leigh,21/02/2022,Payments to Private Contractors,514.17
Holiday Inn Express Wi,20/09/2021,Payments to Private Contractors,511.00
Holiday Inn Express Wi,21/09/2021,Payments to Private Contractors,511.00
Holidays With Care Ltd,12/10/2020,Equipment Furniture & Materials,500.00
Holidays With Care Ltd,13/10/2020,Equipment Furniture & Materials,500.00
Holidays With Care Ltd,16/10/2020,Equipment Furniture & Materials,500.00
Hotel At Booking.Com,02/11/2021,Payments to Private Contractors,754.00
Hotel At Booking.Com,09/11/2021,Employee Subsistence,519.95
Hotel At Booking.Com,10/11/2021,Payments to Private Contractors,590.75
Hotel At Booking.Com,12/11/2021,Hospitality,629.40
Hotel At Booking.Com,12/11/2021,Hospitality,779.00
Hotel At Booking.Com,12/11/2021,Hospitality,907.00
Hotjar,08/12/2020,Computer Equipment,856.75
Hse,03/02/2022,Equipment Furniture & Materials,715.00
Hunters Estate Agents,17/01/2022,Equipment Furniture & Materials,865.39
Ibis Styles Haydock,15/02/2021,Payments to Private Contractors,770.96
Ibis Styles Haydock,16/02/2021,Payments to Private Contractors,819.95
Ibis Styles Haydock,17/02/2021,Payments to Private Contractors,696.00
Ibis Styles Haydock,11/03/2021,Payments to Private Contractors,707.54
Ibis Styles Haydock,11/03/2021,Payments to Private Contractors,707.54
Ibis Styles Haydock,11/03/2021,Payments to Private Contractors,712.00
Ibis Styles Haydock,08/09/2021,Payments to Private Contractors,553.00
Ibis Styles Haydock,08/09/2021,Payments to Private Contractors,512.62
Ibis Styles Haydock,02/11/2021,Payments to Private Contractors,500.89
Ibis Styles Haydock,13/12/2021,Payments to Private Contractors,777.62
Ibis Styles Haydock,13/12/2021,Payments to Private Contractors,754.46
Ibis Styles Haydock,13/12/2021,Payments to Private Contractors,"1,000.00"
Ibis Styles Haydock,14/12/2021,Employee Subsistence,"1,000.00"
Ibis Styles Haydock,14/12/2021,Payments to Private Contractors,"1,000.00"
Ibis Styles Haydock,15/12/2021,Payments to Private Contractors,900.00
Ibis Styles Haydock,15/12/2021,Payments to Private Contractors,794.55
Ibis Styles Haydock,15/12/2021,Payments to Private Contractors,794.55
Ibis Styles Haydock,12/01/2022,Payments to Private Contractors,824.67
Ikea Ltd Shop Online,07/08/2020,Equipment Furniture & Materials,635
Ikea Ltd Shop Online,04/03/2022,Equipment Furniture & Materials,"1,597.50"
Instrotech Ltd,11/01/2022,Payments to Private Contractors,569.99
Instrotech Ltd,13/01/2022,Payments to Private Contractors,569.99
Isaca,09/06/2020,"Education, Training, Exam Fees",904.95
Iz *expedius Prope,11/08/2020,Rent,800
Iz *expedius Prope,11/08/2020,Rent,800
Kay Pictures,02/03/2021,Equipment Furniture & Materials,754.32
Kay Pictures,08/02/2022,Equipment Furniture & Materials,892.06
Kids Allowed Limited,07/12/2021,Private Day Care,990.20
Kingspan Water Energy,04/03/2022,Repairs & Maintenance (Non CPMF),582.00
Langfords Limited,02/04/2020,Direct Materials,"1,066.67"
Lock And Key Centr,08/04/2020,Equipment Furniture & Materials,546.08
Lock And Key Centr,06/07/2020,Furnished Accomodation,657.60
Lock And Key Centr,03/09/2020,Equipment Furniture & Materials,619.22
Lock And Key Centr,01/10/2020,Equipment Furniture & Materials,743.07
Lock And Key Centr,08/03/2021,Equipment Furniture & Materials,543.71
Lock And Key Centr,08/03/2021,Equipment Furniture & Materials,543.71
Lock And Key Centr,04/02/2022,Equipment Furniture & Materials,509.01
Lock And Key Centr,04/02/2022,Equipment Furniture & Materials,509.01
Lock And Key Centr,04/02/2022,Equipment Furniture & Materials,559.08
Mailchimp,05/03/2021,Marketing & Publicity,751.36
Mailchimp,07/09/2021,Marketing & Publicity,741.55
Mailchimp,01/11/2021,Advertising (Non Employee),758.90
Mailchimp,21/12/2021,Marketing & Publicity,765.69
Mailchimp,12/01/2022,Marketing & Publicity,778.27
Mailchimp,08/02/2022,Marketing & Publicity,762.00
Mailchimp,09/03/2022,Marketing & Publicity,828.37
Marks&spencer Plc,15/12/2020,Equipment Furniture & Materials,524.72
Mas Seeds Ltd,04/03/2022,Grounds Maintenance,701.00
Medisave,02/02/2022,Equipment Furniture & Materials,876.25
Mesnes Street Carpet Ce,11/05/2020,Equipment Furniture & Materials,"1,000.00"
Msft *<e0100gadkw>,06/12/2021,Computer Equipment,616.00
Music Mark,04/03/2021,Equipment Furniture & Materials,"1,080.00"
N/A,04/03/2022,Equipment Furniture & Materials,660.42
Nets*ajproducts.Co.U,04/03/2022,Equipment Furniture & Materials,756.00
Novadata Tachograph An,07/09/2020,Equipment Furniture & Materials,585.00
Novadata Tachograph An,01/10/2020,Equipment Furniture & Materials,585.00
Novadata Tachograph An,11/01/2021,Equipment Furniture & Materials,606.60
Novadata Tachograph An,02/12/2021,Equipment Furniture & Materials,585.00
Novotel Manchester Wes,21/12/2020,Employee Subsistence,"1,725.46"
Novotel Manchester Wes,12/01/2021,Employee Subsistence,"1,000.00"
Novotel Manchester Wes,14/01/2021,Payments to Private Contractors,501.56
Novotel Manchester Wes,14/01/2021,Payments to Private Contractors,801.80
Novotel Manchester Wes,14/01/2021,Payments to Private Contractors,"1,000.00"
Novotel Manchester Wes,21/01/2021,Payments to Private Contractors,688.12
Novotel Manchester Wes,21/01/2021,Payments to Private Contractors,833.33
Novotel Manchester Wes,16/02/2021,Payments to Private Contractors,697.35
Novotel Manchester Wes,16/02/2021,Payments to Private Contractors,"1,000.00"
Novotel Manchester Wes,14/12/2021,Payments to Private Contractors,628.25
Oak Furnitureland Group L,06/11/2020,Equipment Furniture & Materials,"1,529.98"
Ofsted Internet,03/03/2021,Professional Fees,758.33
One4all,08/06/2020,Payments to Carers,"2,506.50"
One4all,08/06/2020,Payments to Carers,"2,881.50"
Pall Mall Carpets,14/04/2020,Equipment Furniture & Materials,744.00
Pall Mall Carpets,14/04/2020,Equipment Furniture & Materials,991.67
Park Hall Hotel,15/12/2021,Payments to Private Contractors,546.00
Patten Arms Hotel,06/08/2020,Payments to Private Contractors,594
Patten Arms Hotel,13/10/2020,Payments to Private Contractors,"2,133.96"
Patten Arms Hotel,16/11/2020,Payments to Private Contractors,833.33
Patten Arms Hotel,16/11/2020,Payments to Private Contractors,833.33
Paypal *energymovel,08/12/2021,Equipment Furniture & Materials,899.00
Paypal *energymovel,08/12/2021,Equipment Furniture & Materials,899.00
Paypal *energymovel,13/01/2022,Payments to Private Contractors,899.00
Paypal *energymovel,13/01/2022,Payments to Private Contractors,899.00
Paypal *ensignflags,02/11/2021,Equipment Furniture & Materials,650.00
Paypal *nxpoweruklt On,03/12/2021,Equipment Furniture & Materials,765.60
Physio Supplies Ltd,11/03/2022,Equipment Furniture & Materials,528.12
Pooles Domestics,14/04/2020,Equipment Furniture & Materials,528.95
Powersheds Limited,04/03/2022,Repairs & Maintenance (Non CPMF),"3,313.30"
Pp*mmp Media,19/01/2022,Grants to External Bodies,529.00
Premier Inn 44536565,14/12/2021,Payments to Private Contractors,580.34
Premier Inn 44536565,15/12/2021,Equipment Furniture & Materials,604.00
Premier Inn 44536565,03/03/2022,Payments to Private Contractors,564.52
Premier Inn44017435,13/12/2021,Payments to Private Contractors,503.33
Premier Inn44017435,12/01/2022,Payments to Private Contractors,574.52
Premier Inn44018275,12/01/2022,Payments to Private Contractors,534.51
Premier Inn44018275,12/01/2022,Payments to Private Contractors,587.01
Premier Inn44018275,09/02/2022,Equipment Furniture & Materials,593.91
Premier Inn44027170,24/01/2022,Payments to Private Contractors,710.75
Premier Inn44521235,03/03/2022,Payments to Private Contractors,816.67
Quayticketsmoto,02/12/2021,Entertainment Services,933.96
Red Driving School,14/04/2020,Equipment Furniture & Materials,536.19
Redactive,14/02/2022,Equipment Furniture & Materials,654.00
Regatta,10/11/2021,Equipment Furniture & Materials,743.22
Ribby Hall Village,03/04/2020,Equipment Furniture & Materials,509.00
Rics Com Gbp Cybs,08/03/2021,Equipment Furniture & Materials,828.00
Rics Com Gbp Cybs,09/11/2021,Conferences,750.00
Rics Com Gbp Cybs,08/03/2022,Equipment Furniture & Materials,960.04
Rics Subs UK Cybs,08/03/2021,Equipment Furniture & Materials,539.00
Rics Subs UK Cybs,08/03/2022,Equipment Furniture & Materials,539.00
Rics Subs UK Cybs,08/03/2022,Equipment Furniture & Materials,539.00
Rics Subs UK Cybs,09/03/2022,Equipment Furniture & Materials,539.00
Rics Subs UK Cybs,09/03/2022,Equipment Furniture & Materials,539.00
Rnib Charity,13/01/2022,Equipment Furniture & Materials,898.80
Rnib Charity,13/01/2022,Equipment Furniture & Materials,901.80
Rosebank,21/09/2021,Professional Fees,555.97
Rsl Awards Limited,07/12/2020,Equipment Furniture & Materials,605.00
Sachas Hotel,13/12/2021,Payments to Private Contractors,577.50
Sachas Hotel,17/01/2022,Payments to Private Contractors,"1,000.00"
Sachas Hotel,21/01/2022,Payments to Private Contractors,968.00
Sdm Carpets And Floorin,11/03/2021,Payments to Carers,605.00
Seca Limited,02/09/2021,Equipment Furniture & Materials,880.80
Seca Limited,22/11/2021,Equipment Furniture & Materials,734.00
Signwaves Limited,04/03/2022,Direct Materials,912.32
Simarc,08/09/2021,Ground Rent,539.63
Simunix,11/01/2022,Payments to Private Contractors,"3,000.00"
Southern Electric,09/03/2022,Electricity,666.67
Sp * Shawcross Furnitu,21/12/2021,Payments to Private Contractors,750.00
Sp * Timberjacks,16/09/2021,"Clothing, Uniform and Laundry",765.00
Sporting Lodge Inns (L,06/05/2020,Payments to Carers,"1,000.00"
Sporting Lodge Inns (L,15/06/2020,Payments to Carers,500.00
Sporting Lodge Inns (L,15/06/2020,Payments to Carers,"1,000.00"
Sporting Lodge Inns (L,09/09/2020,Payments to Carers,535.50
Sporting Lodge Inns (L,01/10/2020,Employee Subsistence,535.50
Sporting Lodge Inns (L,03/02/2021,Payments to Carers,567.00
Sporting Lodge Inns (L,03/02/2021,Payments to Carers,567.00
Sportsdirect.Com,09/09/2021,"Clothing, Uniform and Laundry",724.99
Sportsdirect.Com,03/02/2022,"Clothing, Uniform and Laundry","4,824.99"
Sumup *summerfield Shop,16/09/2021,Equipment Furniture & Materials,"3,015.00"
Tahdah Verified,03/11/2021,"Education, Training, Exam Fees",570.00
Team Teach,09/02/2021,Learning and Development,675.00
Team Teach,08/02/2022,Learning and Development,600.00
Termtex Ltd,03/03/2022,"Clothing, Uniform and Laundry",692.00
Termtex Ltd,03/03/2022,"Clothing, Uniform and Laundry",900.50
The Arches Carpet Wareh,07/12/2020,Equipment Furniture & Materials,500.00
The Bedroom Shop Ltd,03/09/2020,Equipment Furniture & Materials,939.97
The Bedroom Shop Ltd,01/10/2020,Equipment Furniture & Materials,939.97
The Mercury Bolton,22/06/2020,Payments to Private Contractors,779.17
The Mercury Hotel,08/06/2020,Payments to Private Contractors,693.00
The Mercury Hotel,07/07/2020,Payments to Private Contractors,658.33
The Mercury Hotel,07/07/2020,Payments to Private Contractors,658.33
The Mercury Hotel,07/07/2020,Payments to Private Contractors,633.33
The Mercury Hotel,07/07/2020,Payments to Private Contractors,600.00
The Mercury Hotel,07/07/2020,Payments to Private Contractors,900.00
The Mercury Hotel,08/07/2020,Payments to Private Contractors,612.50
The Mercury Hotel,08/07/2020,Payments to Private Contractors,612.50
The Mercury Hotel,08/07/2020,Payments to Private Contractors,750.00
The Mercury Hotel,08/07/2020,Payments to Private Contractors,858.33
The Mercury Hotel,10/08/2020,Payments to Private Contractors,758.33
The Mercury Hotel,11/08/2020,Payments to Private Contractors,529.37
The Mercury Hotel,12/08/2020,Payments to Private Contractors,503.33
The Mercury Hotel,12/08/2020,Payments to Private Contractors,586.67
The Mercury Hotel,14/09/2020,Payments to Private Contractors,514.17
The Mercury Hotel,14/09/2020,Payments to Private Contractors,539.00
The Mercury Hotel,15/09/2020,Payments to Private Contractors,577.00
The Mercury Hotel,01/10/2020,Employee Subsistence,539.00
The Mercury Hotel,01/10/2020,Employee Subsistence,567.00
The Mercury Hotel,01/10/2020,Employee Subsistence,577.00
The Mercury Hotel,01/10/2020,Employee Subsistence,617.00
The Mercury Hotel,16/02/2021,Payments to Private Contractors,641.67
The Mercury Hotel,16/02/2021,Payments to Private Contractors,641.67
The Paddock,13/01/2022,Grants to External Bodies,585.00
The Paddock,13/01/2022,Grants to External Bodies,585.00
The Pavilion,09/09/2020,Equipment Furniture & Materials,921.67
The Pavilion,01/10/2020,Equipment Furniture & Materials,"1,106.00"
The Towel Shop,04/03/2022,"Clothing, Uniform and Laundry",913.64
Thetrainline.Com,23/11/2020,Home To School,538.30
Thetrainline.Com,07/09/2021,Employee Transport Costs,547.60
Toolstore UK Wholesale,04/03/2022,Direct Materials,501.77
Tough Furniture,06/04/2020,Equipment Furniture & Materials,607.00
Trainline.Com,10/11/2021,Employee Transport Costs,537.94
Travelodge Gb0000,12/01/2022,Payments to Private Contractors,552.57
Travelodge Gb0000,18/01/2022,Equipment Furniture & Materials,963.73
Travelodge Gb0000,24/01/2022,Payments to Private Contractors,591.47
Travelodge Gb0000,24/01/2022,Payments to Private Contractors,653.95
Travelodge Gb0000,03/03/2022,Payments to Private Contractors,771.99
Travelodge Gb0000,04/03/2022,Payments to Private Contractors,684.99
Travelodge Gb0000,04/03/2022,Payments to Private Contractors,724.92
Uavhub,19/01/2022,Payments to Private Contractors,"1,330.00"
Uk Point Of Sale Group,08/11/2021,Direct Materials,633.40
Warner Leisure Htls Bkng,12/10/2020,Equipment Furniture & Materials,500.00
Warner Leisure Htls Bkng,12/10/2020,Equipment Furniture & Materials,500.00
Wayfair #3042723114,14/04/2020,Equipment Furniture & Materials,988.96
Wayfair* Wayfair 36056,03/09/2021,Equipment Furniture & Materials,849.99
Welcome Break,14/01/2022,Payments to Private Contractors,601.20
Westholme,04/03/2021,Equipment Furniture & Materials,706.87
Wex Photo,12/01/2022,Equipment Furniture & Materials,602.08
Wex Photo,12/01/2022,Equipment Furniture & Materials,602.08
Wf* Wayfair 2592050558,06/07/2020,Equipment Furniture & Materials,503.97
Wigan Council,03/12/2020,Equipment Furniture & Materials,500.00
Wigan Council,04/11/2021,Equipment Furniture & Materials,755.58
Winnard & Brown,07/04/2020,Payments to Private Contractors,867.00
Winnard & Brown,14/12/2021,Payments to Private Contractors,550.00
Wright Foundation,02/09/2021,Equipment Furniture & Materials,525.00
Www.Adass.Org.Uk,10/03/2022,Equipment Furniture & Materials,550.00
Www.Agri-Gem.Co.Uk,03/09/2020,Equipment Furniture & Materials,538.60
Www.Agri-Gem.Co.Uk,01/10/2020,Equipment Furniture & Materials,646.32
Www.Busybees.Com,07/10/2020,Private Day Care,752.00
Www.Busybees.Com,07/10/2020,Private Day Care,814.67
Www.Cpag.Org.Uk,06/11/2020,"Books, Publications and Resources",775.49
Www.Designersofas4u.Co,03/09/2021,Equipment Furniture & Materials,959.45
Www.Elecsa.Co.Uk,13/01/2022,"Education, Training, Exam Fees",990.00
Www.Focus-Training.Com,16/12/2021,"Education, Training, Exam Fees",500.00
Www.Healthcareconferen,08/03/2021,Equipment Furniture & Materials,516.25
Www.Irrv.Org.Uk,04/02/2022,Equipment Furniture & Materials,"1,440.00"
Www.Johnlewis.Com,06/10/2020,Equipment Furniture & Materials,769.00
Www.Lmsmusicsupplies.C,07/12/2020,Equipment Furniture & Materials,622.50
Www.Ndiver.Com,04/03/2022,Equipment Furniture & Materials,"1,454.40"
Www.Officefurnitureonline,04/02/2021,Equipment Furniture & Materials,970.00
Www.Parkviewsolicitors,12/10/2020,Payments to Carers,900.00
Www.Screwfix.Com,04/03/2022,Equipment Furniture & Materials,661.50
Www.Scs.Co.Uk,05/05/2020,Equipment Furniture & Materials,"1,450.98"
Www.Scs.Co.Uk,04/06/2020,Equipment Furniture & Materials,938.98
Www.Scs.Co.Uk,15/07/2020,Equipment Furniture & Materials,675.00
Www.Scs.Co.Uk,07/08/2020,Equipment Furniture & Materials,1490.98
Www.Skatehut.Co.Uk,01/11/2021,Equipment Furniture & Materials,"1,573.60"
Www.Solace.Org.Uk,06/10/2020,Equipment Furniture & Materials,600.00
Www.Solopress.Com,13/08/2020,Equipment Furniture & Materials,2385.63
Www.Thetranscriptionag,03/03/2022,Professional Fees,577.38
Www.Voucherexpress.Co.,11/05/2020,Equipment Furniture & Materials,500.00
Xl Displays Ltd,17/01/2022,Equipment Furniture & Materials,833.00
Zoom.Gbp,09/12/2020,Equipment Furniture & Materials,599.90
