Local Authority,Directorate,Service Area,Service Division,Expense Type,Supplier Name,Transaction Number,Payment Date,Expense Category, Invoice Value  £ ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PUBLIC PROTECTION & REGULATORY SERVICES,SERVICES,N E REGIONAL EMPLOYERS ORGANISATION,5122731488,12.05.2023,REVENUE," 1,344.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PUBLIC PROTECTION & REGULATORY SERVICES,SERVICES,N E REGIONAL EMPLOYERS ORGANISATION,5122738674,12.06.2023,REVENUE," 1,848.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PUBLIC PROTECTION & REGULATORY SERVICES,OTHER AGENCIES,GATESHEAD COUNCIL,3300311526,26.04.2023,REVENUE," 29,525.25 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,SERVICES,EMS XL MEDICAL & HEALTH,5122731433,12.05.2023,REVENUE, 660.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,SERVICES,EMS XL MEDICAL & HEALTH,5122731451,12.05.2023,REVENUE, 660.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,SERVICES,EMS XL MEDICAL & HEALTH,5122731526,12.05.2023,REVENUE, 660.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,SERVICES,EMS XL MEDICAL & HEALTH,5122731527,12.05.2023,REVENUE, 660.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,SERVICES,EMS XL MEDICAL & HEALTH,5122731528,12.05.2023,REVENUE, 660.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,SERVICES,EMS XL MEDICAL & HEALTH,5122731564,12.05.2023,REVENUE, 660.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,SERVICES,EMS XL MEDICAL & HEALTH,5122732963,19.05.2023,REVENUE, 660.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,SERVICES,EMS XL MEDICAL & HEALTH,5122734791,26.05.2023,REVENUE, 660.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,SERVICES,EMS XL MEDICAL & HEALTH,5122736499,02.06.2023,REVENUE, 660.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,PRINTING/STATIONERY/GENERAL OFFICE EQUIPMENT,ALPHAGRAPHICS,5122736495,05.06.2023,REVENUE, 421.75 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,SERVICES,EFFECTIVE SECURITY SERVICES LTD T/A PROFESSIONAL SECURITY,5122739283,13.06.2023,REVENUE, 445.50 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,SERVICES,EMS XL MEDICAL & HEALTH,5122739352,14.06.2023,REVENUE, 660.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,SERVICES,EMS XL MEDICAL & HEALTH,5122739803,16.06.2023,REVENUE, 660.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,SERVICES,EMS XL MEDICAL & HEALTH,5122741995,23.06.2023,REVENUE, 660.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,"CLOTHING, UNIFORMS & LAUNDRY",KELTIC CLOTHING LIMITED,5122724076,13.04.2023,REVENUE," 1,240.40 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,CONTRACT HIRE/OPERATING LEASES,RIVERSIDE TRUCK RENTAL LIMITED,5122727902,27.04.2023,REVENUE," 1,610.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,CONTRACT HIRE/OPERATING LEASES,RIVERSIDE TRUCK RENTAL LIMITED,5122740123,16.06.2023,REVENUE," 1,610.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,SERVICES,VIPAUK  UK LTD,5122739873,19.06.2023,REVENUE," 1,495.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,"REPAIRS, ALTERATIONS & MAINTENANCE",TERMINIX UK LIMITED,5122722851,05.04.2023,REVENUE," 1,490.30 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,SERVICES,BRITISH TELECOMMUNICATIONS PLC,5122727775,26.04.2023,REVENUE," 1,083.16 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,"REPAIRS, ALTERATIONS & MAINTENANCE",TERMINIX UK LIMITED,5122729326,03.05.2023,REVENUE, 484.20 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,ENVIRONMENTAL ENFORCEMENT,DIRECT TRANSPORT COSTS,LIFT SAFE LTD,5122739824,15.06.2023,REVENUE, 522.50 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PARKING SERVICES,EQUIPMENT/FURNITURE/MATERIALS,PARKARE LIMITED,5122721827,03.04.2023,REVENUE, 541.50 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PARKING SERVICES,COMMUNICATIONS & COMPUTING,INSTITUTION OF CIVIL ENGINEERING SURVEYORS,5122723999,13.04.2023,REVENUE," 5,999.81 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PARKING SERVICES,SERVICES,PARKING AND TRAFFIC REGULATIONS OUTSIDE LONDON (PATROL),5122724778,21.04.2023,REVENUE," 1,145.40 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PARKING SERVICES,SERVICES,PARK NOW LIMITED,5122728171,27.04.2023,REVENUE," 7,541.06 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PARKING SERVICES,COMMUNICATIONS & COMPUTING,EDESIX LTD,5122725015,02.05.2023,REVENUE," 6,872.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PARKING SERVICES,EQUIPMENT/FURNITURE/MATERIALS,FLOWBIRD SMART CITY UK LTD,5122732222,19.05.2023,REVENUE, 448.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PARKING SERVICES,SERVICES,PARK NOW LIMITED,5122734024,22.05.2023,REVENUE," 7,666.45 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PARKING SERVICES,PUBLIC TRANSPORT,STATION TAXIS (SUNDERLAND) LIMITED,3300311949,26.05.2023,REVENUE," 3,343.17 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PARKING SERVICES,SERVICES,JOHN NIXON LTD,5122736718,05.06.2023,REVENUE, 960.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PARKING SERVICES,EQUIPMENT/FURNITURE/MATERIALS,PARKARE LIMITED,5122737674,07.06.2023,REVENUE," 8,776.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PARKING SERVICES,EQUIPMENT/FURNITURE/MATERIALS,PARKARE LIMITED,5122737675,07.06.2023,REVENUE, 952.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PARKING SERVICES,EQUIPMENT/FURNITURE/MATERIALS,PARKARE LIMITED,5122737677,07.06.2023,REVENUE," 6,728.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PARKING SERVICES,SERVICES,PARKARE LIMITED,5122727778,27.04.2023,REVENUE," 1,251.78 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PARKING SERVICES,SERVICES,PARKARE LIMITED,5122734062,22.05.2023,REVENUE," 1,236.18 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PARKING SERVICES,SERVICES,PARKARE LIMITED,5122730004,05.05.2023,REVENUE," 1,111.80 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PARKING SERVICES,SERVICES,NAGELS UK LIMITED,5122736783,08.06.2023,REVENUE," 1,570.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PARKING SERVICES,SERVICES,SETON UK,5122740863,21.06.2023,REVENUE, 791.90 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PUBLIC PROTECTION & REGULATORY SERVICES,CONTRACT HIRE/OPERATING LEASES,ENTERPRISE FLEX-E-RENT,5122737354,06.06.2023,REVENUE, 693.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,PUBLIC PROTECTION & REGULATORY SERVICES,CONTRACT HIRE/OPERATING LEASES,ENTERPRISE FLEX-E-RENT,5122740095,16.06.2023,REVENUE, 716.10 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,SERVICES,ARTVENTURERS SUNDERLAND WEST AND WASHINGTON,5122726783,10.05.2023,REVENUE," 1,035.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,SERVICES,NORTH NEWS & PICTURES,5122731571,16.05.2023,REVENUE, 790.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,SERVICES,A R C ENTERTAINMENTS,5122735179,25.05.2023,REVENUE," 4,110.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,SERVICES,GARY MILLER & SONS,5122736339,01.06.2023,REVENUE, 800.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,SERVICES,SOLACE IN BUSINESS,5122738308,12.06.2023,REVENUE," 5,490.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,PUBLIC TRANSPORT,STATION TAXIS (SUNDERLAND) LIMITED,3300312276,20.06.2023,REVENUE," 4,198.82 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,SERVICES,SOLACE IN BUSINESS,5122743273,27.06.2023,REVENUE," 4,446.13 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,MISCELLANEOUS EXPENSES,DS MEDIA AND EVENTS,5122733215,22.05.2023,REVENUE," 10,000.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,CATERING SUPPLIES,SAINSBURY'S SUPERMARKETS,7003672657,31.03.2023,REVENUE, 573.33 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,MISCELLANEOUS EXPENSES,BRITISH TRIATHLON,5122735206,31.05.2023,REVENUE," 150,000.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,SERVICES,CHANNY THOMPSON,5122740297,16.06.2023,REVENUE, 600.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,PRINTING/STATIONERY/GENERAL OFFICE EQUIPMENT,ALPHAGRAPHICS,5122741460,23.06.2023,REVENUE, 595.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,MISCELLANEOUS EXPENSES,SMART VISION AND EVENTS LTD,5122737830,09.06.2023,REVENUE, 500.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,SERVICES,O'BRIENS FUN FAIRS & CATERING,5122732729,30.05.2023,REVENUE," 1,200.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,SERVICES,SMART OUTDOOR MEDIA LTD,5122736851,05.06.2023,REVENUE, 500.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,SERVICES,CENTRE STAGE,5122736463,06.06.2023,REVENUE, 500.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,SERVICES,BOARDWALK LEISURE LTD,5122737854,07.06.2023,REVENUE," 1,000.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,SERVICES,KW READER AND SONS LIMITED,5122737968,08.06.2023,REVENUE," 2,000.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,SERVICES,NOBLES BROTHERS FUNFAIRS,5122739839,15.06.2023,REVENUE," 1,500.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,SERVICES,PHOENIX EYE LTD,5122741176,20.06.2023,REVENUE," 3,221.50 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,SERVICES,I-STAGE GROUP,5122742325,23.06.2023,REVENUE," 2,950.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,SERVICES,HATTON TRAFFIC MANAGEMENT LIMITED,5122743965,29.06.2023,REVENUE, 901.70 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,EVENTS,RENTS,HERRENKNECHT INTERNATIONAL LTD,5122724283,25.04.2023,REVENUE," 11,550.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,DEVELOPMENT CONTROL,MISCELLANEOUS EXPENSES,JPIMEDIA PUBLISHING LTD,5122721620,03.04.2023,REVENUE, 886.86 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,DEVELOPMENT CONTROL,SERVICES,WATERMAN INFRASTRUCTURE & ENVIRONMENT LTD,5122722208,03.04.2023,REVENUE," 9,107.52 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,DEVELOPMENT CONTROL,MISCELLANEOUS EXPENSES,JPIMEDIA PUBLISHING LTD,5122724097,14.04.2023,REVENUE," 1,637.28 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,DEVELOPMENT CONTROL,MISCELLANEOUS EXPENSES,JPIMEDIA PUBLISHING LTD,5122724913,19.04.2023,REVENUE," 1,227.96 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,DEVELOPMENT CONTROL,MISCELLANEOUS EXPENSES,JPIMEDIA PUBLISHING LTD,5122727334,26.04.2023,REVENUE," 1,023.30 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,DEVELOPMENT CONTROL,MISCELLANEOUS EXPENSES,JPIMEDIA PUBLISHING LTD,5122728375,28.04.2023,REVENUE," 1,091.52 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,DEVELOPMENT CONTROL,SERVICES,WATERMAN INFRASTRUCTURE & ENVIRONMENT LTD,5122728683,03.05.2023,REVENUE," 3,952.32 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,DEVELOPMENT CONTROL,SERVICES,BSI BRITISH STANDARDS OFFICE,5122731386,11.05.2023,REVENUE, 714.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,DEVELOPMENT CONTROL,SERVICES,URBAN DESIGN LONDON,5122732775,17.05.2023,REVENUE, 750.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,DEVELOPMENT CONTROL,MISCELLANEOUS EXPENSES,JPIMEDIA PUBLISHING LTD,5122730601,25.05.2023,REVENUE, 818.64 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,DEVELOPMENT CONTROL,MISCELLANEOUS EXPENSES,JPIMEDIA PUBLISHING LTD,5122731594,25.05.2023,REVENUE, 613.98 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,DEVELOPMENT CONTROL,MISCELLANEOUS EXPENSES,JPIMEDIA PUBLISHING LTD,5122735641,31.05.2023,REVENUE, 750.42 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,DEVELOPMENT CONTROL,SERVICES,WATERMAN INFRASTRUCTURE & ENVIRONMENT LTD,5122736587,02.06.2023,REVENUE," 1,847.28 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,DEVELOPMENT CONTROL,MISCELLANEOUS EXPENSES,JPIMEDIA PUBLISHING LTD,5122736801,05.06.2023,REVENUE, 818.64 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,DEVELOPMENT CONTROL,MISCELLANEOUS EXPENSES,JPIMEDIA PUBLISHING LTD,5122738978,13.06.2023,REVENUE, 955.08 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,DEVELOPMENT CONTROL,SERVICES,BRITISH STANDARDS INSTITUTION,5122739728,15.06.2023,REVENUE," 2,376.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,DEVELOPMENT CONTROL,MISCELLANEOUS EXPENSES,JPIMEDIA PUBLISHING LTD,5122740017,19.06.2023,REVENUE," 1,432.62 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,DEVELOPMENT CONTROL,MISCELLANEOUS EXPENSES,JPIMEDIA PUBLISHING LTD,5122742178,26.06.2023,REVENUE," 1,023.30 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,BUILDING CONTROL,OTHER TRADING UNITS WITHIN LA,TOTAL RESOURCES (UK) LTD,5122739620,19.06.2023,REVENUE," 3,344.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SECURITY SERVICES,COMMUNICATIONS & COMPUTING,BRITISH TELECOMMUNICATIONS PLC,5122725022,18.04.2023,REVENUE," 1,294.66 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SECURITY SERVICES,CLEANING & DOMESTIC,MITIE FS UK LTD,5122725014,18.04.2023,REVENUE, 427.93 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SECURITY SERVICES,EQUIPMENT/FURNITURE/MATERIALS,WIRELESS CCTV LTD,5122727099,03.05.2023,REVENUE," 2,310.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SECURITY SERVICES,COMMUNICATIONS & COMPUTING,MONITOR COMPUTER SYSTEMS LTD,5122731884,15.05.2023,REVENUE," 1,853.04 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SECURITY SERVICES,SERVICES,BRITISH TELECOMMUNICATIONS PLC,5122731663,22.05.2023,REVENUE," 6,372.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SECURITY SERVICES,SERVICES,BRITISH TELECOMMUNICATIONS PLC,5122731664,22.05.2023,REVENUE," 1,668.41 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SECURITY SERVICES,SERVICES,BRITISH TELECOMMUNICATIONS PLC,5122731665,22.05.2023,REVENUE," 8,100.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SECURITY SERVICES,COMMUNICATIONS & COMPUTING,BRITISH TELECOMMUNICATIONS PLC,5122731909,22.05.2023,REVENUE," 1,270.08 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SECURITY SERVICES,COMMUNICATIONS & COMPUTING,BRITISH TELECOMMUNICATIONS PLC,5122732111,22.05.2023,REVENUE, 704.97 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SECURITY SERVICES,COMMUNICATIONS & COMPUTING,BRITISH TELECOMMUNICATIONS PLC,5122733756,22.05.2023,REVENUE, 429.12 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SECURITY SERVICES,COMMUNICATIONS & COMPUTING,BRITISH TELECOMMUNICATIONS PLC,5122733996,22.05.2023,REVENUE," 3,661.51 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SECURITY SERVICES,EQUIPMENT/FURNITURE/MATERIALS,WIRELESS CCTV LTD,5122736364,05.06.2023,REVENUE," 19,000.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SECURITY SERVICES,EQUIPMENT/FURNITURE/MATERIALS,BALFOUR BEATTY LIVING PLACES,5122738466,13.06.2023,REVENUE," 2,139.45 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SECURITY SERVICES,EQUIPMENT/FURNITURE/MATERIALS,WIRELESS CCTV LTD,5122742826,28.06.2023,REVENUE," 1,543.50 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SECURITY SERVICES,COMMUNICATIONS & COMPUTING,SAVILLE GROUP LTD,5122743038,30.06.2023,REVENUE," 2,550.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SAFER COMMUNITIES,COMMUNICATIONS & COMPUTING,EDESIX LTD,5122726191,25.04.2023,REVENUE, 586.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SAFER COMMUNITIES,MISCELLANEOUS EXPENSES,EVERYONE ACTIVE ADMINISTRATION SERVICES LIMITED,5122735706,26.05.2023,REVENUE," 1,000.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SAFER COMMUNITIES,PRINTING/STATIONERY/GENERAL OFFICE EQUIPMENT,ALPHAGRAPHICS,5122722631,05.04.2023,REVENUE," 4,479.77 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SAFER COMMUNITIES,EQUIPMENT/FURNITURE/MATERIALS,MEON MARKETING LLP,5122728689,02.05.2023,REVENUE, 584.51 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SAFER COMMUNITIES,SERVICES,PJ BOUNCY CASTLES,5122725403,19.04.2023,REVENUE, 580.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SAFER COMMUNITIES,SERVICES,EXCALIBUR FABRICATIONS LTD,5122725766,26.04.2023,REVENUE,-450.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SAFER COMMUNITIES,CATERING SUPPLIES,AUNT MAUD'S MEALS ON WHEELS,5122735846,16.06.2023,REVENUE, 833.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,JOINT COMMISSIONING,EQUIPMENT/FURNITURE/MATERIALS,EXCALIBUR FABRICATIONS LTD,5122723666,12.04.2023,REVENUE, 450.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,JOINT COMMISSIONING,PUBLIC TRANSPORT,COMPASS COMMUNITY TRANSPORT LIMITED,5122724603,17.04.2023,REVENUE, 856.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,JOINT COMMISSIONING,PRINTING/STATIONERY/GENERAL OFFICE EQUIPMENT,STATEX PRESS NORTHERN LIMITED,5122734120,12.06.2023,REVENUE," 2,358.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,JOINT COMMISSIONING,SERVICES,PJ BOUNCY CASTLES,5122740117,16.06.2023,REVENUE, 510.00 ,,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,JOINT COMMISSIONING,SERVICES,SALVATION ARMY - SUNDERLAND,5122742191,23.06.2023,REVENUE," 1,222.50 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,JOINT COMMISSIONING,RENTS,SALVATION ARMY - SUNDERLAND,5122742468,23.06.2023,REVENUE," 3,470.00 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SAFER COMMUNITIES,EQUIPMENT/FURNITURE/MATERIALS,SOLON SECURITY LIMITED,5122722392,03.04.2023,REVENUE," 23,145.57 ",,,,,,
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,REGULATORY SERVICES,SAFER COMMUNITIES,SERVICES,NEWCASTLE CITY COUNCIL,5122727314,25.04.2023,REVENUE," 128,227.57 ",,,,,,
